never be the same again (feat. lisa 'left eye' lopes),"Never Be The Same Again. Ooh, yeah. Never be the same again. I call you up whenever things go wrong. You're always there. You are my shoulder to cry on. I can't believe it took me quite so long. To take the forbidden step. Is this something that I might regret?. (Come on, come on). Nothing ventured nothing gained. (You are the one). A lonely heart that can't be tamed. (Come on, come on). I'm hoping that you feel the same. This is something that I can't forget. I thought that we would just be friends. Things will never be the same again. It's just the beginning it's not the end. Things will never be the same again. It's not a secret anymore. Now we've opened up the door. Starting tonight and from now on. We'll never, never be the same again. Never be the same again. Now I know that we were close before. I'm glad I realised I need you so much more. And I don't care what everyone will say. It's about you and me. And we'll never be the same again. I thought that we would just be friends (oh yeah). Things will never be the same again (Never be the same again). It's just the beginning it's not the end (We've only just begun). Things will never be the same again. It's not a secret anymore. Now we've opened up the door (Opened up the door). Starting tonight and from now on. We'll never, never be the same again. Never be the same again. Night and day. Black beach sand to red clay. The Us to Uk. Nyc to La. From sidewalks to highways. See it'll never be the same. What I'm sayin'. My mind frame never changed ëtil you came rearranged. But sometimes it seems completely forbidden. To discover those feelings that we kept so well hidden. Where there's no competition. And you render my condition. Though improbable itís not impossible. For a love that could be unstoppable. But wait. A fine lineís between fate and destiny. Do you believe in the things that were just meant to be?. When you tell me the stories of your quest for me. Picturesque is the picture you paint effortlessly. And as our energies mix and begin to multiply. Everyday situations, they start to simplify. So things will never be the same between you and I. We intertwined our life forces and now weíre unified. I thought that we would just be friends. Things will never be the same again. It's just the beginning it's not the end. Things will never be the same again. It's not a secret anymore. Now we've opened up the door. Starting tonight and from now on. We'll never, never be the same again (Come on, come on). Things will never be the same again (You are the one). Never be the same again. It's not a secret any more. We'll never be the same again. It's not a secret any more. We'll never be the same again. Never be the same again. Never be the same again. Never be the same again. Never be the same again"
version of me,"This is not your playground. I'm not here for you to shoot me down. Preying on my weakness. Even when you're not around. Nothing lasts forever. But you're wrapped around my dna. And I'm hiding in the corner. As the wounded kid I was. Like it was yesterday. Like nothing's changed. All that you've done you see. Ever so quietly. Comes creeping back up on me. Haunting me, goading me. Why can't you let go of me?. I don't have the patience anymore. That's not me. I won't be the version of me. The one you think you're comfortable with. The one you think you had your fun with. If I can't trust myself. Why should I trust anyone else?. All that you've done you see. Ever so quietly. Keeps creeping back up on me. Haunting me, goading me. Why can't you let go of me?. I don't have the patience anymore. Tthat's not me. I won't be the version of me. The one you think you're comfortable with. The one you think you had your fun with. That's not me. That's not me. I won't be the version of me. The one you think you're comfortable with. The one you think you had your fun with. If I can't trust myself. Why should I trust anyone else?"
better alone,I understand your point of view letting me go. But I thought you had more faith. Everything I´ve done for you. You made the mistakes and now you throw this in my face. And I have worked so hard for you all of this time and you cast me aside. I understand your point of view. . Chorus:. But I can´t seem to get my head around. All the things that I feel good about always seem to disappear. And every time I think I´ve got this all worked out. Something chews me up and spits me out. But there´s nothing left to fear. I´m better alone my dear. . You couldn't pick a better time to give me the news. Why don´t you kick me when I´m down?. I´d always believed in you. Defended your name but you have not been true. I gave you so much of my life I´ve compromised and you tell me goodbye. You couldn´t pick a better time. . Chorus:. And I can´t seem to get my head around. All the things that I feel good about always seem to disappear. And every time I think I´ve got this all worked out. Something chews me up and spits me out. But there´s nothing left to fear. I´m better alone my dear. . I know I really should thank you for setting me free. It´s really amazing the changes I´m starting to feel. It's not gonna be long till I´m fit and strong. Deliverance helped me heal still I wonder if you ever wish you still had me. . Will I ever get my head around. All the things that I feel good about that always seem to disappear. When every time I think I´ve got this all worked out. Something chews me up and spits me out. But there´s nothing left to fear. No No No. . I can´t seem to get my head around. All the things that I feel good about that always seem to disappear. No No. . And every time I think I´ve got this figured out. Something screws me up and drags me down. But there´s nothing left to fear. I´m better alone my dear
the moment you believe,Time to face what you're hiding from. Don't have to do this on your own. Together we are strong. We don't need anyone. No matter what they say. The time has come. I'm ready now to start a new beginning. With all our hopes and all our dreams. And I know the stars will shine for you and for me. From the moment you believe. I know they think that I'm no good for you. But we both know that they're wrong. Together we can fight. Show everyone we're right. I don't care what they say. Our time has come. I'm ready now to start a new beginning. With all our hopes and all our dreams. And I know the stars will shine for you and for me. From the moment you believe. When you believe there's nothing you can't overcome. When you believe the earth is brighter than the sun. I believe. (When you believe there's nothing you can't overcome). (I believe). I'm ready now to start a new beginning. With all our hopes and all our dreams. And I. I know the stars will shine for you and for me. From the moment you believe. From the moment you believe
don't let me go,"There’s times when fake goodbyes made you cry. But this time you don’t. And I was only joking I was broken when you told me to go. Don’t make up the wrong mind. Don’t forget the good times. Let me stay a little longer cause if I’m gone-. I can’t make it right. In just one night we could go back in time maybe. Go back and find where we both went wrong. It won’t take long I know. Don’t let me go. Oh don’t let me go. I’m not giving up I’m still in love, is all I need you to say. And I don’t need an answer just a chanceto. make the pain go away. So don’t make up the wrong mind. Don’t forget the good times. Let me stay a little longer cause if I’m gone-. I can’t make it right.... I beg you to find what it takes to forgive meof. all my mistakes. Cause if I walk out of your life. There’ll be no way back this time. Don’t let me go. Don’t make up the wrong mind. Don’t forget the good times. Stay a little longer cause if I’m gone-. I can’t make it right. In just one night we could go back in time maybe. Go back and find where we both went wrong. It won’t take long I know. Don’t let me go. Oh don’t let me go."
northern star,They tried to catch a falling star. Thinking that she had gone too far. She did but kept it hidden well. Until she cracked and then she fell. If all the history is true. She's gonna end up just like you. You made it to the other side. But tell me who will be my guide. They build you up so they can tear you down. Trust the ocean you'll never drown. Who is next?. Who's gonna steal your crown?. You'll see. I have learnt my lesson well. The truth is out there I can tell. Don't look back and don't give in to their lies and goodbyes. Northern star. Fulfil the longing in your heart. Then we will never be apart. And if they dare to question you. Just tell them that our love is true. They buy your dreams so they can sell your soul. Is it any wonder we've lost control?. Feelings come. Feelings go.. I have learnt my lesson well.. The truth is out there I can tell. Don't look back and don't succumb to their lies and goodbyes. Live your life without regret.. Don't be the someone who they forget. When you're lost reach out for me. And you'll see she's not far.. Northern star.. Northern star.. I have learnt my lesson well. The truth is out there I can tell. Don't look back and don't succumb to their lies and goodbyes. Live your life without regret. Don't be someone who they forget. When you're lost reach out for me. And you'll see she's not far. Northern star.. Northern star.. Northern star.
first day of my life,So I found a reason to stay alive. Try a little harder see the other side. Talking to myself. Too many sleepless nights. Trying to find a meaning to this stupid life. I don’t want your sympathy. Sometimes I don’t know who to be. Hey what you're looking for. No one has the answer. They just want more. Hey who’s gonna make it right. This could be the first. Day of my life. So I found a reason. To let it go. Tell you that I’m smiling. But I still need to grow. Will I find salvation in the arms of love. Will it stop me searching will it be enough. I don’t want your sympathy. Sometimes I don’t know who to be. Hey what you're looking for. No one has the answer but you just want more. Hey who’s gonna make it right. This could be the first day of my life. The first time to really feel alive. The first time to break the chain. The first time to walk away from pain. Hey what you're looking for. No one has the answer we just want more. Hey who’s gonna make it right. This could be the first day of your life. Hey what you're looking for. No one has the answer they just want more. Hey who’s gonna shine a light?. This could be the first day of my life
room for love,"Stumbling down the same old street. That used to be paved with gold. Nothing I see is impressing me. Maybe I'm getting old. I never knew hiding around the corner. Was a promise of another road. ''cause just when you think. It's over you burst open. I'm moving on. Something is telling me now. I've got room for love. Somebody said, gotta make room for love. Holding up a sign, a room for love. You've got enough. Make room for love. Something is telling me now. I've got room for love. Somebody said, gotta make room for love. Holding up a sign, a room for love. You've got enough. Make room for love. Caught up in veiled emotion. But nothing is set in stone. Questioning your devotion. Gave me the courage to just let go. I made the move, yeah. ''cause waiting around that corner. Was everything I dreamed coming true. Just when you think. It's over you burst wide open. I'll take it all. Something is telling me now. I've got room for love. Somebody said, gotta make room for love. Holding up a sign, a room for love. You've got enough. Make room for love. Something is telling me now. I got room for love. Somebody said, gotta make room for love. Holding up a sign, a room for love. You've got enough. Make room for love. Let it fill you up. Open up your heart. It'll leave you breathless. Make room for love. Let it take you high, you deserve it. Let it fill you up. Open up your heart. It will leave you breathless. Make room for love. Let it take you high, you deserve it. Something is telling me now. I've got room for love. Somebody said I gotta make room for love. I'm holding up a sign for love. You've got enough. Make room for love. Make room for love. Holding up a sign, a room for love. You've got enough. Make room for love"
understand,"I?m looking at the floor. I?m looking anywhere to try to put my head into. a different place. I?m stopping it before. Before I think about the promise to myselfthat. I?m about to break. Fall into day dreams inside these walls. I must be out of my mind. Cause I don?t even know you. But all I do is think about your face. And I don?t wanna call you. But I wish I had your number just in case. And I never thought someone could shake me like. you can. Some things weren?t designed to understand. I hope you didn?t see. I hope you didn?t notice if you did I hope you. looked away. I?ll keep it all to me. I?ll keep on running cause it?s only when I?m. running that. I feel safe. As I fall I must be out of my mind. Cause I don?t even know you.... TV shows and cars that won?t slow down. I should be looking for a chance but don?t know how. Disillusion never let me down. Don?t lose it now, don?t lose it. I don?t even know you..."
set you free,"Oh oh ohh. Oxygen. Back Again. Brace myself. Turn the music up. Ready now, I don't wanna stop. The beat and the rhythm. The music is taking over me. And I know, I'm back where I belong. Ain't nobody gonna turn it down. Ain't nobody gonna tell me who to be. Let the music set you free. Ain't no body gonna take control. Nothing else can ever give me what I need. Let the music set you free. Oh oh ohh. Oh oh ohh. Can you feel it?. Take control. Caress the pace. It resonates, boom boom. Boom boom. Lights are blinding me. See clearly now, I need to be free. The beat and the rhythm. The music is taking over me. And I know, I'm back where I belong. Ain't nobody gonna turn it down. Ain't nobody gonna tell me who to be. Let the music set you free. Ain't no body gonna take control. Nothing else can ever give me what I need. Let the music set you free. Can you feel it?. Ain't nobody gonna change me. Ain't nobody gonna change me, change me. Let the music set you free yeah yeah. Ain't nobody gonna take control. Nothing else can ever give me what I need. Let the music set you free, yeah yeah!"
positively somewhere,. I'm here going nowhere. And that's how I want it to stay. Nobody beside me. And I wouldn't want it any other way. I've tried to be someone. Somebody they want me to be. I'm back in my own skin now. And I wouldn't want it any other way. I'm positively somewhere. I'm absolutely right now. Here inside of me. I'm who I wanna be. It's a beautiful day. I'm falling down the freeway. Definately sunshine. The state of mind I'm in. Like the feeling when you win. It's a beautiful day. Too long I've been searching. For something that I'll never find. But that's all behind me now. And I wouldn't want it any other way. I wouldn't want it any other way. I'm positively somewhere. I'm absolutely right now. Here inside of me. I'm who I wanna be. It's a beautiful day. I'm falling down the freeway. Definately sunshine. The state of mind I'm in. Like the feeling when you win. It's a beautiful day. It's a beautiful day. (Beautiful day). I wouldn't want it any other way. I wouldn't want it any other way. I'm positively somewhere. I'm absolutely right now. Here inside of me. I'm who I wanna be. It's a beautiful day. I'm falling down the freeway. Definately sunshine. The state of mind I'm in. Like the feeling when you win. It's a beautiful day. State of mind I'm in. Like the feeling when you win. It's a beautiful day
