billie jean,"She was more like a beauty queen from a movie scene. I said don't mind, but what do you mean I am the one. Who will dance on the floor in the round. She said I am the one who will dance on the floor in the round. She told me her name was Billie Jean,. as she caused a scene. Then every head turned with eyes that dreamed. of being the one. Who will dance on the floor in the round. People always told me be careful of what you do. And don't go around breaking young girls' hearts. And mother always told me be careful of who you love. And be careful of what you do 'cause the lie becomes the truth. Billie Jean is not my lover. She's just a girl who claims that I am the one. But the kid is not my son. She says I am the one, but the kid is not my son. For forty days and forty nights. The law was on her side. But who can stand when she's in demand. Her schemes and plans. 'Cause we danced on the floor in the round. So take my strong advice,. Just remember to always think twice. (Do think twice). She told my baby that's a threat. As she looked at me. Then showed a photo of a baby crying. Eyes were like mine. Go on dance on the floor in the round, baby. People always told me be careful of what you do. And don't go around breaking young girls' hearts. She came and stood right by me. Then the smell of sweet perfume. This happened much too soon. She called me to her room. Billie Jean is not my lover. She's just a girl who claims that I am the one. But the kid is not my son. Billie Jean is not my lover. She's just a girl who claims that I am the one. But the kid is not my son. She says I am the one, but the kid is not my son. She says I am the one, but the kid is not my son. Billie Jean is not my lover. She's just a girl who claims that I am the one. But the kid is not my son. She says I am the one, but the kid is not my son. She says I am the one, she says he is my son. She says I am the one. Billie Jean is not my lover. Billie Jean is not my lover. Billie Jean is not my lover. Billie Jean is not my lover. Billie Jean is not my lover. Billie Jean is not my lover"
love never felt so good (feat. justin timberlake),"[Justin Timberlake]. Dance. Let me see you move, come on. Dance. Let me see you move. [Michael Jackson]. Baby, love never felt so good. And I doubt if it ever could. Not like you hold me, hold me. Oh baby, love never felt so fine. And I doubt if it's never mine. Not like you hold me, hold me. And the night is gonna be just fine. Gotta fly, gotta see, can't believe. I can't take it. 'Cause baby, every time I love you. It's in and out of my life, in out baby. Tell me, if you really love me. It's in and out of my life, in out baby. 'Cause baby, love never felt so good. [Justin Timberlake]. Baby, love never felt so fine. And I'd doubt if it was ever mine. Not like you hold me, hold me. Oh baby, love never felt so good. And I doubt if it ever could. Not like you hold me, hold me. And the night through the thick and thin. Gotta fly, gotta see, can't believe. I can't take it cause. Baby, every time I love you. In and out of my life, in out baby. Tell me, if you really love me. It's in and out of my life, in out baby. Baby, love never felt so good. [Justin Timberlake]. Dancin'. Let me see you move, come on. Let me see you move. Dancin'. Let me see you move, come on. I said let me see you move. Michael. [Michael Jackson]. And the night, that is good. Gotta fly, gotta see, can't believe. I can't take it 'cause. Baby, every time I love you. In and out of my life, in out baby. Tell me, if you really love me. It's in and out of my life, driving me crazy. 'Cause Baby, love never felt so good. Baby, every time I love you. It's in and out of my life, in out baby. Tell me, if you really love me. It's in and out of my life, driving me crazy. 'Cause baby, love never felt so good. So good, oh feel good. It never felt so good. Love never felt so good. It never felt so good. It never felt so good. It never felt so good"
thriller,"It's close to midnight. something evil's lurkin' in the dark. Under the moonlight. You see a sight that almost stops your heart. You try to scream. But terror takes the sound before you make it. You start to freeze. As horror looks you right between the eyes. You're paralyzed. 'Cause this is thriller. Thriller night. And no one's gonna save you. From the beast about to strike. You know it's thriller. Thriller night. You're fighting for your life. Inside a killer. Thriller tonight, yeah. You hear the door slam. And realize there's nowhere left to run. You feel the cold hand. And wonder if you'll ever see the sun. You close your eyes. And hope that this is just imagination. Girl, but all the while. You hear a creature creepin' up behind. You're outta time. 'Cause this is thriller. Thriller night. There ain't no second chance. Against the thing with the forty eyes, girl. (Thriller). (Thriller night). You're fighting for your life. Inside a killer. Thriller tonight. Night creatures call. And the dead start to walk in their masquerade. There's no escaping the jaws of the alien this time. (They're open wide). This is the end of your life. They're out to get you. There's demons closing in on every side. They will possess you. Unless you change that number on your dial. Now is the time. For you and I to cuddle close together, yeah. All through the night. I'll save you from the terror on the screen. I'll make you see. That this is thriller. Thriller night. 'Cause I can thrill you more. Than any ghost would ever dare try. (Thriller). (Thriller night). So let me hold you tight. And share a. (killer, diller, chiller). (Thriller here tonight). 'Cause this is thriller. Thriller night. Girl, I can thrill you more. Than any ghost would ever dare try. (Thriller). (Thriller night). So let me hold you tight. And share a. (killer, thriller). I'm gonna thrill you tonight. [Rap]. Darkness falls across the land. The midnight hour is close at hand. Creatures crawl in search of blood. To terrorize y'all's neighborhood. And whosoever shall be found. Without the soul for getting down. Must stand and face the hounds of hell. And rot inside a corpse's shell. I'm gonna thrill you tonight. (Thriller, thriller). I'm gonna thrill you tonight. (Thriller night, thriller)). I'm gonna thrill you tonight. Ooh, babe, I'm gonna thrill you tonight. Thriller night, babe. [Rap]. The foulest stench is in the air. The funk of forty thousand years. And grizzly ghouls from every tomb. Are closing in to seal your doom. And though you fight to stay alive. Your body starts to shiver. for no mere mortal can resist. the evil of the thriller"
heal the world,"''Think about the generations and they say:. - We want to make it a better place. For our children. And our children's children. So that they know. It's a better world for them. And think if they can. Make it a better place?"". There's a place in your heart. And I know that it is love. And this place could be. Much brighter than tomorrow. And if you really try. You'll find there's no need to cry. In this place you'll feel. There's no hurt or sorrow. There are ways to get there. If you care enough for the living. Make a little space. Make a better place. Heal the world. Make it a better place. For you and for me. And the entire human race. There are people dying. If you care enough for the living. Make it a better place. For you and for me. If you want to know why. There's love that cannot lie. Love is strong. It only cares of joyful giving. If we try we shall see. In this bliss. We cannot feel fear or dread. We stop existing and start living. Then it feels that always. Love's enough for us growing. So make a better world. Make a better world. Heal the world. Make it a better place. For you and for me. And the entire human race. There are people dying. If you care enough for the living. Make a better place. For you and for me. And the dream we were conceived in. Will reveal a joyful face. And the world we once believed in. Will shine again in grace. Then why do we keep strangling life. Wound this earth, crucify its soul. Though it's plain to see. This world is heavenly, be God's glow. We could fly so high. Let our spirits never die. In my heart I feel. You are all my brothers. Create a world with no fear. Together we'll cry happy tears. See the nations turn their swords. Into plowshares. We could really get there. If you cared enough for the living. Make a little space. To make a better place. Heal the world. Make it a better place. For you and for me. And the entire human race. There are people dying. If you care enough for the living. Make a better place. For you and for me. There are people dying. If you care enough for the living. Make a better place. For you and for me. You and for me. (Make a better place) [3x]. You and for me. (Heal the world we live in). You and for me. (Save it for our children) [3x]"
ben,"Ben, the two of us need to look no more. We both found what we were looking for. With a friend to call my own. I'll never be alone. And you, my friend, will see. You've got a friend in me. (You've got a friend in me). Ben, you're always running here and there. (Here and there). You feel you're not wanted anywhere (anywhere). If you ever look behind. And don't like what you find. There's something you should know. You've got a place to go. (You've got a place to go). I used to say ""I"" and ""me"". Now it's ""us"", now it's ""we"". (I used to say ""I"" and ""me"". Now it's ""us"", now it's ""we""). Ben, most people would turn you away. (Turn you away). I don't listen to a word they say. (A word they say). They don't see you as I do. I wish they would try to. I'm sure they'd think again. If they had a friend like Ben. (A friend). Like Ben. (Like Ben). Like Ben"
you are not alone,"Another day has gone. I'm still all alone. How could this be. You're not here with me. You never said good-bye. Someone tell me why. Did you have to go. And leave my world so cold. Everyday I sit and ask myself. How did love slip away. Something whispers in my ear and says. That you are not alone. I am here with you. Though you're far away. I am here to stay. You are not alone. I am here with you. Though we're far apart. You're always in my heart. You are not alone. 'Lone, 'lone, why, 'lone. Just the other night. I thought I heard you cry. Asking me to come. And hold you in my arms. I can hear your prayers. Your burdens I will bear. But first I need your hand. Then forever can begin. Everyday I sit and ask myself. How did love slip away. Something whispers in my ear and says. That you are not alone. I am here with you. Though you're far away. I am here to stay. You are not alone. I am here with you. Though we're far apart. You're always in my heart. You are not alone. Whisper three words and I'll come runnin'. Fly...and girl you know that I'll be there. I'll be there. You are not alone. I am here with you. Though you're far away. I am here to stay. You are not alone. I am here with you. Though we're far apart. You're always in my heart. You are not alone. (You are not alone). I am here with you. (I am here with you). Though you're far away. (Though you're far away). I am here to stay. (You and me). You are not alone. (You're always in my heart). I am here with you. Though we're far apart. You're always in my heart. You are not alone. Not alone. You are not alone, you are not alone. Say it again. You are not alone, you are not alone. Not alone, not alone. You just reach for me girl. In the morning, in the evening. Not alone, not alone. You and me, not alone. Together, together"
we are the world,"Lionel Richie. There comes a time when we hear a certain call. Lionel Richie & Stevie Wonder:. When the world must come together as one. Stevie Wonder:. There are people dying. Paul Simon:. And it's time to lend a hand to life. Paul Simon & Kenny Rogers:. The greatest gift of all. Kenny Rogers:. We can't go on pretending day by day. James Ingram:. That someone, somewhere will soon make a change. Tina Turner:. We are all part of God's great big family. Billy Joel:. And the truth, you know, love is all we need. Michael Jackson:. We are the world, we are the children. We are the ones who make a brighter day. So let's start giving. Diana Ross:. There's a choice were making. Were saving our own lives. Michael & Diana Ross:. It's true we'll make a better day. Just you and me. Dionne Warwick:. Send them your heart. So they'll know that someone cares. Dionne Warwick & Willie Nelson:. And their lives will be stronger and free. Willie Nelson:. As God has shown us by turning stones to bread. Al Jarreau:. And so we all must lend a helping hand. Bruce Springsteen:. We are the world, we are the children. Kenny Logins:. We are the ones who make a brighter day. So let's start giving. Steve Perry:. There's a choice were making. Were saving our own lives. Daryl Hall:. It's true we'll make a better day. Just you and me. Michael Jackson:. When you're down and out, there seems no hope at all. Huey Lewis:. But if you just believe there's no way we can fall. Cyndi Lauper:. Well, well, well, well let us realize that a change can only come. Kim Carnes:. When we. Kim Cranes & Cyndi Lauper & Huey Lewis:. Stand together as one. We are the world, we are the children. We are the ones who make a brighter day. So let's start giving. There's a choice were making. Were saving our own lives. It's true we'll make a better day. Just you and me. We are the world, we are the children. We are the ones who make a brighter day. So let's start giving. Bob Dylan:. Theres a choice were making. Were saving our own lives. It's true we'll make a better day. Just you and me. We are the world, we are the children. We are the ones who make a brighter day. So let's start giving. There's a choice we're making. We're saving our own lives. Bob Dylan:. It's true we'll make a better day. Just you and me. We are the world, we are the children. We are the ones who make a brighter day. So let's start giving. Ray Charles:. There's a choice we're making. We're saving our own lives. It's true we'll make a better day. Just you and me. Stevie Wonder & Bruce Springsteen:. We are the world, we are the children. We are the ones who make a brighter day. So let's start giving. Stevie Wonder:. There's a choice we're making. We're saving our own lives. It's true we'll make a better day. Just you and me. Stevie Wonder & Bruce Springsteen:. We are the world, we are the children. We are the ones who make a brighter day. So let's start giving. Bruce Springsteen:. There's a choice we're making. We're saving our own lives. It's true we'll make a better day. Just you and me. We are the world, we are the children. We are the ones who make a brighter day. So let's start giving. There's a choice we're making. We're saving our own lives. It's true we'll make a better day. Just you and me. James Ingram:. We are the world, we are the children. We are the ones who make a brighter day. So let's start giving. Ray Charles:. There's a choice we're making. We're saving our own lives. It's true we'll make a better day. Just you and me. We are the world, we are the children. We are the ones who make a brighter day. So let's start giving. There's a choice we're making. We're saving our own lives. It's true we'll make a better day. Just you and me"
smooth criminal,"As he came into the window. It was the sound of a crescendo. He came into her apartment. He left the bloodstains on the carpet. She ran underneath the table. He could see she was unable. So she ran into the bedroom. She was struck down, it was her doom. Annie, are you ok?. So, Annie are you ok. Are you ok, Annie?. Annie, are you ok?. So, Annie are you ok. Are you ok, Annie?. Annie, are you ok?. So, Annie are you ok?. Are you ok, Annie? Annie, are you ok?. So, Annie are you ok, are you ok Annie?. (Annie are you ok?). (Will you tell us that you're ok?). (There's a sign in the window). (That he struck you - a crescendo Annie). (He came into your apartment). (He left the bloodstains on the carpet). (Then you ran into the bedroom). (You were struck down). (It was your doom). Annie, are you ok?. So, Annie are you ok?. Are you ok, Annie?. Annie, are you ok?. So, Annie are you ok?. Are you ok, Annie?. Annie, are you ok?. So, Annie are you ok?. Are you ok, Annie?. You've been hit by. You've been hit by a smooth criminal. So they came into the outway. It was Sunday - what a black day. Mouth to mouth resuscitation. Sounding heartbeats - intimidations. Annie, are you ok?. So, Annie are you ok. Are you ok, Annie. Annie, are you ok?. So, Annie are you ok. Are you ok, Annie. Annie, are you ok?. So, Annie are you ok?. Are you ok, Annie?. Annie, are you ok?. So, Annie are you ok,. Are you ok Annie?. (Annie are you ok?). (Will you tell us that you're ok?). (There's a sign in the window). (That he struck you - a crescendo Annie). (He came into your apartment). (Left the bloodstains on the carpet). (Then you ran into the bedroom). (You were struck down). (It was your doom). (Annie are you ok?). (So, Annie are you ok?). (Are you ok Annie?). (You've been hit by). (You've been struck by a smooth criminal). Okay, I want everybody to clear. The area right now!. Aaow!. (Annie are you ok?). I don't know!. (Will you tell us that you're ok?). I don't know!. (There's a sign in the window). I don't know!. (That he struck you - a crescendo Annie). I don't know!. (He came into your apartment). I don't know!. (Left the bloodstains on the carpet). I don't know why baby!. (The you ran into the bedroom). I don't know. (You were struck down). (It was your doom - Annie!). (Annie are you ok?). Dad gone it - baby!. (Will you tell us that you're ok?). Dad gone it - baby!. (There's a sign in the window). Dad gone it - baby!. (That he struck you - a crescendo Annie). Hoo! Hoo!. (He came into your apartment). Dad gone it!. (Left the bloodstains on the carpet). Hoo! Hoo! Hoo!. (The you ran into the bedroom). Dad gone it!. (You were struck down). (It was your doom - Annie!). Aaow!!!"
beat it,"They told him don't you ever come around here. Don't wanna see your face, you better disappear. The fire's in their eyes and their words are really clear. So beat it, just beat it.. You better run, you better do what you can. Don't wanna see no blood, don't be a macho man. You wanna be tough, better do what you can. So beat it, but you wanna be bad. Just beat it, beat it, beat it, beat it. No one wants to be defeated. Showin' how funky and strong is your fight. It doesn't matter who's wrong or right. Just beat it, beat it. Just beat it, beat it. Just beat it, beat it. Just beat it, beat it. They're out to get you, better leave while you can. Don't wanna be a boy, you wanna be a man. You wanna stay alive, better do what you can. So beat it, just beat it. You have to show them that you're really not scared. You're playin' with your life, this ain't no truth or dare. They'll kick you, then they beat you,. Then they'll tell you it's fair. So beat it, but you wanna be bad. Just beat it, beat it, beat it, beat it. No one wants to be defeated. Showin' how funky and strong is your fight. It doesn't matter who's wrong or right. Just beat it, beat it, beat it, beat it. No one wants to be defeated. Showin' how funky and strong is your fight. It doesn't matter who's wrong or right. Just beat it, beat it, beat it, beat it. No one wants to be defeated. Showin' how funky and strong is your fight. It doesn't matter who's wrong or right. Just beat it, beat it. Beat it, beat it, beat it. Beat it, beat it, beat it, beat it. No one wants to be defeated. Showin' how funky and strong is your fight. It doesn't matter who's wrong or who's right. Just beat it, beat it, beat it, beat it. No one wants to be defeated. Showin' how funky and strong is your fight. It doesn't matter who's wrong or right. Just beat it, beat it, beat it, beat it. No one wants to be defeated. Showin' how funky and strong is your fight. It doesn't matter who's wrong or right. Just beat it, beat it. Beat it, beat it, beat it. Beat it, beat it, beat it, beat it. No one wants to be defeated. Showin' how funky and strong is your fight. It doesn't matter who's wrong or who's right. Just beat it, beat it, beat it, beat it. No one wants to be defeated. Showin' how funky and strong is your fight. It doesn't matter who's wrong or right. Just beat it, beat it, beat it, beat it. No one wants to be defeated. Showin' how funky and strong is your fight. It doesn't matter who's wrong or right. Just beat it, beat it, beat it, beat it. No one wants to be defeated. Just beat it, beat it. Beat it, beat it, beat it"
they don't care about us,"Skinhead. Deadhead. Everybody. Gone bad. Situation. Aggravation. Everybody. Allegation. In the suite. On the news. Everybody. Dog food. Bang bang. Shock dead. Everybody's. Gone mad. All I wanna say is that. They don't really care about us. All I wanna say is that. They don't really care about us. Beat me. Hate me. You can never. Break me. Will me. Thrill me. You can never. Kill me. Jew me. Sue me. Everybody. Do me. Kick me. Kick me. Don't you. Black or white me. All I wanna say is that. They don't really care about us. All I wanna say is that. They don't really care about us. Tell me what has become of my life. I have a wife and two children who love me. I am the victim of police brutality, no. I'm tired of bein' the victim of hate. Your rapin' me of my pride. Oh for God's sake. I look to heaven to fulfill its prophecy. Set me free. Skin head. Dead head. Everybody. Gone bad. Trepidation. Speculation. Everybody. Allegation. In the suite. On the news. Everybody. Dog food. Black man. Black mail. Throw the brother. In jail. All I wanna say is that. They don't really care about us. All I wanna say is that. They don't really care about us. Tell me what has become of my rights. Am I invisible 'cause you ignore me. Your proclamation promised me free liberty, no. I'm tired of bein' the victim of shame. They're throwin' me in a class with a bad name. I can't believe this is the land from which I came. You know I really do hate to say it. The government don't wanna see. But if Roosevelt was livin'. He wouldn't let this be, no, no. Skin head. Dead head. Everybody. Gone bad. Situation. Speculation. Everybody. Litigation. Beat me. Bash me. You can never. Trash me. Hit me. Kick me. You can never. Get me. All I wanna say is that. They don't really care about us. All I wanna say is that. They don't really care about us. Some things in life they just don't wanna see. But if Martin Luther was living. He wouldn't let this be, no, no, no, yeah, yeah, yeah, yeah. Skin head. Dead head. Everybody's. Gone bad. Situation. Segregation. Everybody. Allegation. In the suite. On the news. Everybody. Dog food. Kick me. Kick me. Don't you. Wrong or right me. (They keep me on fire). All I wanna say is that. They don't really care about us. (They keep me on fire). All I wanna say is that. They don't really care about us. (I'm there to remind you). All I wanna say is that. They don't really care about us. All I wanna say is that. They don't really care about. All I wanna say is that. They don't really care about. All I wanna say is that. They don't really care about us"
