move on,"I wish Tracy Chapman was my friend. She would know exactly what to say. Beginnings always hide themselves in ends. At some point, I will be okay. I got high when I met you. I got high to forget you. I feel pain, I don't want to. But I have to, yeah, I have to. If I want to move on, move on, move on, move on. If I want to move on, move on, move on, move on. If I want to move on (Move on) , move on (Move on). Move on (Move on) , move on. If I want to move on (Move on) , move on (Move on). Move on (Move on) , move on. Went to see some shaman in Malay. To hear some things I wanted to hear. Everyone just wants to feel good. Everyone just wants to disappear. Call up girls that live in my hometown. To help fill up the minutes. Lit a match and saged my house down. It didn't make a difference. So I got high when I met you. I got high to forget you. I feel pain, I don't want to. But I have to, yeah, I have to. If I want to move on, move on, move on, move on. If I want to move on, move on, move on, move on. If I want to move on (Move on) , move on (Move on). Move on (Move on) , move on. I know I got to move on (Move on) , move on (Move on). Move on (Move on) , move on"
i took a pill in ibiza,"I took a pill in Ibiza. To show Avicii I was cool. And when I finally got sober. felt 10 years older. But fuck it, it was something to do. I'm living out in L. A. I drive a sports car just to prove. I'm a real big baller. cause I made a million dollars. And I spend it on girls and shoes. But you don't wanna be high like me. Never really knowing why like me. You don't ever wanna step off. that roller coaster and be all alone. You don't wanna ride the bus like this. Never knowing who to trust like this. You don't wanna be stuck up on that stage singing. Stuck up on that stage singing. All I know are sad songs, sad songs. Darling, all I know are sad songs, sad songs. I'm just a singer who already blew his shot. I get along with old timers. Cause my name's a reminder. of a pop song people forgot. And I can't keep a girl, no. Cause as soon as the sun comes up. I cut 'em all loose and work's my excuse. But the truth is I can't open up. But you don't wanna be high like me. Never really knowing why like me. You don't ever wanna step off. that roller coaster and be all alone. You don't wanna ride the bus like this. Never knowing who to trust like this. You don't wanna be stuck up on that stage singing. Stuck up on that stage singing. All I know are sad songs, sad songs. Darling, all I know are sad songs, sad songs. I took a plane to my hometown. I brought my pride and my guitar. All my friends are all gone. but there's manicured lawns. And the people still think I'm a star. I walked around downtown. I met some fans on Lafayette. They said ""Tell us how to make it. 'cause we're getting real impatient"". So I looked 'em in the eye and said. You don't wanna be high like me. Never really knowing why like me. You don't ever wanna step off. that roller coaster and be all alone. You don't wanna ride the bus like this. Never knowing who to trust like this. You don't wanna be stuck up on that stage singing. Stuck up on that stage singing. All I know are sad songs, sad songs. Darling, all I know are sad songs, sad songs"
i took a pill in ibiza (seeb remix),"I took a pill in Ibiza. To show Avicii I was cool. And when I finally got sober, felt 10 years older. But fuck it, it was something to do. I'm living out in LA. I drive a sports car just to prove. I'm a real big baller cause I made a million dollars. And I spend it on girls and shoes. But you don't wanna be high like me. Never really knowing why like me. You don't ever wanna step off that roller coaster. And be all alone. You don't wanna ride the bus like this. Never knowing who to trust like this. You don't wanna be stuck up on that stage singing. Stuck up on that stage singing. All I know are sad songs, sad songs. Darling, all I know are sad songs, sad songs. I, I, I, I know are sad songs. I, I, I, I know are sad songs. I, I, I, I know are sad songs. I'm just a singer who already blew his shot. I get along with old timers. Cause my name's a reminder. Of a pop song people forgot. And I can't keep a girl, no. Cause as soon as the sun comes up. I cut 'em all loose and work's my excuse. But the truth is I can't open up. But you don't wanna be high like me. Never really knowing why like me. You don't ever wanna step off that roller coaster. And be all alone. You don't wanna ride the bus like this. Never knowing who to trust like this. You don't wanna be stuck up on that stage singing. Stuck up on that stage singing. All I know are sad songs, sad songs. Darling, all I know are sad songs, sad songs. I, I, I, I know are sad songs. I, I, I, I know are sad songs. I, I, I, I know are sad songs. I, I, I, I know are sad songs. I, I, I, I know are sad songs"
song about you,"Put all your stuff in a box in my room. I don't wanna write no song about you. But you show up in everything that I do. Ooh, ooh-ooh. Since you've been gone, ain't got nothin' to do. I sleep until noon, I wake up and feel bad. I think I miss somethin' I never had. Ooh, ooh-ooh. I just wanna unwind, unwind. Everything that makes me feel confined. Sometimes I hate sunshine. Sometimes I hate sunshine. Put all your stuff in a box in my room. I don't wanna write no song about you. But you show up in everything that I do. Ooh, ooh-ooh. Now it's a cold war, who will call first?. Try to be productive at work, I just can't. I miss you a lot, but I ain't comin' back. Ooh, ooh-ooh. I just wanna unwind, unwind. Everything that makes me feel confined. Sometimes I hate sunshine. Sometimes I hate sunshine. Put all your stuff in a box in my room. I don't wanna write no song about you. But you show up in everything that I do. Ooh, ooh-ooh. Yeah, yeah. All your love letters and a pair of Ray-Bans. I'm growin' my beard, movin' back in my van. Your side of the bed still smells like you though. And these memories of us, it's brutal. You know, you know exactly how I feel. We broke up, but you be on my mind still. And the worst type of sadness you could have. Is when you miss somethin' that doesn't miss you back. Put all your stuff in a box in my room. I don't wanna write no song about you. But you show up in everything that I do. Ooh, ooh-ooh"
stuck in the middle,"Perfume in my shirt. Puts me in the past. Too lonely to be happy. But too afraid to ask. Here I am again. Stuck in the middle. Here I am again. Stuck in the middle. Too young to settle down. Too old to be in bars. It's hard to take it easy. It's easy to be hard. Here I am again. Stuck in the middle. Here I am again. Stuck in the middle. Forgive me, I am building my ship as it sails. How do I become who I wanna be. While still remaining myself?. People love the old me. I don't know where he's gone. Too tired to be famous. Too vain to be unknown, yeah. Here I am again. Stuck in the middle. Here I am again. Stuck in the middle. Here I am again. Stuck in the middle. (Here I am, here I am again). (Here I am, here I am again). Here I am again. Stuck in the middle, ah. (Here I am, here I am again). (Here I am). (Here I am, here I am again). (Here I am). (Here I am, here I am again). (Here I am). (Here I am, here I am again). (Here I am)"
cooler than me,"If I could write you a song to make you fall in love. I would already have you up under my arm. I used up all of my tricks. I hope that you like this. But you probably won't. You think you're cooler than me. You got designer shades just to hide your face. And you wear 'em around like you cooler than me. And you never say hey or remember my name. And it's probably 'cause. You think you're cooler than me.. You got your hot crowd. Shoes on your feet. And you wear 'em around like it ain't shit. But you don't know the way that you look. When your steps make that much noise -- shh. See I got you all figured out. You need everyone's eyes. Just to feel seen. Behind your make-up. Nobody knows. Who you even know. Who do you think you are. If I could write you a song to make you fall in love. I would already have you up under my arm. I used up all of my tricks. I hope that you like this. But you probably won't. You think you're cooler than me.. You got designer shades just to hide your face. And you wear them around. Like you cooler than me. And you never say hey or remember my name. And it's probably 'cause. You think you're cooler than me.. You got your hot crowd. Switch in your walk. And you don't even look when you pass by,. But you don't know the way that you look. When your steps make that much noise -- shh. I got you all figured out. You need everyone's eyes. Just to feel seen. Behind your make-up. Nobody knows. Who you even know. Who do you think that you are. 'Cos it's your scene. You got no doubt. We've all seen. You got your head in the club. If I could write you a song to make you fall in love. I would already have you up under my arm. I used up all of my tricks. I hope that you like this. But you probably won't. You think your cooler than me.. You got designer shades just to hide your face. And you wear them around like you cooler than me. And you never say hey or remember my name. And it's probably 'cause. You think you're cooler than me."
not that simple,"When we first met. I was just a sophomore. We spent the night on lydia's couch. I didn't know you were gonna break my heart then. I didn't know the pain I'd feel right now. And I smiled, yes I smiled. But underneath are memories. That I'm trying, yeah I'm trying. To let go. But it's not that simple. Type of misery. All these mixed up signals. In my head. I still hear these echoes. Of when you loved me. But now you're just someone in my mind. That used to be mine. People used to say I didn't deserve you. I was cool with that, cause I felt the same. But then they played my song on the radio. And I don't think you liked who I became. And so you left, yeah you left. On someone else's arm now. And I'm trying, yeah I'm trying. To let go. But it's not that simple. Type of misery. All these mixed up signals. In my head. I still hear these echoes. Of when you loved me. But now you're just someone in my mind. That used to be mine. Cause baby your beauty marks. Are like shooting stars. And my goofy heart is one of cupids darts. I'm just a nervous guy. And these words of mine. Will reverse the time. To when you were mine. Cuz it's not that simple. Type of misery. All these mixed up signals. But it's not that simple. Type of misery. All these mixed up signals. In my head. I still hear these echoes. Of when you loved me. But now you're just someone in my mind. That used to be mine"
please don't go,"Just run away. From these lies. Back to yesterday. Safe tonight. I feel the sun creeping up like tik tok. I'm trying to keep you in my head but if not. We'll just keep running from tomorrow with our lips locked. Yeah you got me begging begging baby please don't go. If I wake up tomorrow will you still be here. I don't know. If you feel the way I do. If you leave I'm gonna find you. Baby please don't go go go go. Baby please don't go go go go. Baby please don't go go go go. Baby please don't. Baby please don't. Baby please don't runaway. From my bed and start another day. Stay instead. I feel the sun creeping up like tik tok. I'm trying to keep you in my head but if not. We'll just keep running from tomorrow with our lips locked. Yeah you got me begging begging baby please don't go. If I wake up tomorrow will you still be here. I don't know. If you feel the way I do. If you leave I'm gonna find you. Baby please don't go go go go. Baby please don't go go go go. Baby please don't go go go go. Baby please don't. Baby please don't. I stay running from tomorrow. I stay running from tomorrow. Well I stay running from tomorrow. Said I stay running from tomorrow. Baby please don't go (please don't go). If I wake up tomorrow will you still be here. I don't know. If you feel the way I do. If you leave I'm gonna find you. (I'm gone, I'm gone, I'm gonna find you). Baby please don't go go go go. Baby please don't go go go go. (don't leave me, leave me). Baby please don't go go go go. Baby please don't. Baby please don't. Runaway"
i don't trust myself,"No I'm not the man I used to be lately. See you met me at an interesting time. And if my past is any sign of your future. Then I should warn you before I let you inside. Hold on to whatever you find baby. Hold on to whatever helps you through. Hold on to whatever you find baby. I don't trust myself with loving you. I do my best to act like she doesn't phase me. As if I pull girls just like her all the time. I even waited seven days before I called her. But she can play this game much better than I. See I've got girls in every state, now they hate me. Cause I'm leavin just as fast as I came. And if my past is any sign of my future. I'll probably end up not remembering her name. Hold on to whatever you find baby. Hold on to whatever helps you through. Hold on to whatever you find baby. I don't trust myself with loving you. She deserves better. Better better. Better than me. Better than me. That she deserves better. Better better. Better than me. Better than me. That she deserves better. Better than me. That she deserves better. Better than me. Hold on to whatever you find baby. Hold on to whatever helps you through. Hold on to whatever you find baby. I don't trust myself with loving you. Cause I'm not the man I used to be lately. Yeah you met me at an interesting time. And if my past is any sign of your future. Then I should warn you, warn you before I let you inside. Hold on to whatever you find baby. Hold on to whatever helps you through. Hold on to whatever you find baby. I don't trust myself with loving you"
looks like sex,"Alright. Forget them other boys baby. Forget them other guys. Yeah I see a nose ring. Might as well be a bull's eye. I used to pull girls like you, nope!. Now I know nine. You ain't a mixtape chick baby. Had to sell a million for your tights. Say ayo. Can you hear me?. Uh, can you hear me?. One more time, say ayo. Can you hear me?. I can make it rain, make this all go all night. You just give me the dream. Make it a deal alright. That ass makes me wanna oooh. You know exactly what you do. How I'd really like to take that home. Everybody here knows. She looks like sex, sex, sex, sex. She looks like sex, sex, sex, sex. She looks like sex, sex, sex, sex. She looks like sex, sex, sex, sex. She looks like.... Liking what I see girl. Trying not to let it show. Lemme see your brains up. You gotta let them know. I don't mean to be rude but. Baby I can break you off. You can sleep with the minute man. But I'm all night long. Say ayo. Can you hear me?. Can you hear me?. One more time, ayo. Can you hear me?. I can make it rain, make this all go all night. You just give me the dream. Make it a deal alright. That ass makes me wanna oooh. You know exactly what you do. How I'd really like to take that home. Everybody here knows. She looks like sex, sex, sex, sex. She looks like sex, sex, sex, sex. She looks like sex, sex, sex, sex. She looks like sex, sex, sex, sex. She looks like.... That ass makes me wanna oooh. You know exactly what you do. How I'd really like to take that home. Everybody here knows. She looks like sex, sex, sex, sex. She looks like sex, sex, sex, sex. She looks like sex, sex, sex, sex. She looks like sex, sex, sex, sex. She looks like..."
