the climb,"I can almost see it. That dream I'm dreaming. But there's a voice inside my head saying. You'll never reach it. Every step I'm taking. Every move I make. Feels lost with no direction. My faith is shaken. But I, gotta keep trying. Gotta keep my head held high. There's always gonna be another mountain. I'm always gonna want to make it move. Always gonna be an uphill battle. Sometimes I'm going to have to lose. Ain't about how fast I get there. Ain't about what's waiting on the other side. It's the climb. The struggles I'm facing. The chances I'm taking. Sometimes might knock me down. But no, I'm not breaking. I may not know it. But these are the moment that I'm gonna remember most and. Just gotta keep going. And I, I got to be strong. Just keep pushing on, cause. There's always gonna be another mountain. I'm always gonna want to make it move. Always gonna be an uphill battle. Sometimes you're going to have to lose. Ain't about how fast I get there. Ain't about what's waiting on the other side. It's the climb. There's always gonna be another mountain. I'm always gonna want to make it move. Always gonna be an uphill battle. Sometimes I'm going to have to lose. Ain't about how fast I get there. Ain't about what's waiting on the other side. It's the climb. Keep on moving. Keep climbing. Keep the faith. Baby. It's all about. It's all about the climb. Keep the faith. Keep your faith"
nothing breaks like a heart,"This world can hurt you. It cuts you deep and leaves a scar. Things fall apart. But nothing breaks like a heart. And nothing breaks like a heart. I heard you on the phone last night. We live and die by pretty lies. You know it, oh, we both know it. These silver bullet cigarettes. This burning house, there's nothing left. It's smoking, we both know it. We got all night to fall in love. But just like that we fall apart. We're broken, we're broken. Well nothing, nothing, nothing gon' save us now. Well, there's broken silence. By thunder crashing in the dark (Crash in the dark). And this broken record. Spin endless circles in the bar (Spin 'round in the bar). This world can hurt you. It cuts you deep and leaves a scar. Things fall apart. But nothing breaks like a heart. And nothing breaks like a heart. We'll leave each other cold as ice. And high and dry, the desert wind. Is blowin', is blowin'. Remember what you said to me?. We were drunk in love in Tennessee. And I hold it, we both know it. Nothing, nothing, nothing gon' save us now. Nothing, nothing, nothing gon' save us now. Well, there's broken silence. By thunder crashing in the dark (Crash in the dark). And this broken record. Spin endless circles in the bar (Spin 'round in the bar). This world can hurt you. It cuts you deep and leaves a scar. Things fall apart. But nothing breaks like a heart. And nothing breaks like a heart. Nothing breaks like a heart. And nothing breaks like a heart. My heart, my heart. Nothing, nothing, nothing gon' save us now. My heart, my heart. Nothing, nothing, nothing gon' save us now. Well, there's broken silence. By thunder crashing in the dark (Crash in the dark). And this broken record. Spin endless circles in the bar (Spin 'round in the bar). This world can hurt you. It cuts you deep and leaves a scar. Things fall apart. But nothing breaks like a heart. But nothing breaks like a heart. But nothing breaks like a heart. But nothing breaks like a heart"
wrecking ball,"We clawed, we chained, our hearts in vain. We jumped, never asking why. We kissed, I fell under your spell. A love no one could deny. Don't you ever say I just walked away. I will always want you. I can't live a lie, running for my life. I will always want you. I came in like a wrecking ball. I never hit so hard in love. All I wanted was to break your walls. All you ever did was break me. Yeah you, you wreck me. I put you high up in the sky. And now, you're not coming down. It slowly turned, you let me burn. And now, we're ashes on the ground. Don't you ever say I just walked away. I will always want you. I can't live a lie, running for my life. I will always want you. I came in like a wrecking ball. I never hit so hard in love. All I wanted was to break your walls. All you ever did was break me. I came in like a wrecking ball. Yeah, I just closed my eyes and swung. Left me crouching in a blaze and fall. All you ever did was break me. Yeah you, you wreck me. I never meant to start a war. I just wanted you to let me in. And instead of using force. I guess I should've let you in. I never meant to start a war. I just wanted you to let me in. I guess I should've let you win. Don't you ever say I just walked away. I will always want you. I came in like a wrecking ball. I never hit so hard in love. All I wanted was to break your walls. All you ever did was break me. I came in like a wrecking ball. Yeah, I just closed my eyes and swung. Left me crouching in a blaze and fall. All you ever did was break me. Yeah you, you wreck me. Yeah you, you wreck me"
we can't stop,"It's our party we can do what we want. It's our party we can say what we want. It's our party we can love who we want. We can kiss who we want. We can screw who we want. It's our party we can do what we want. It's our party we can say what we want. It's our party we can love who we want. We can kiss who we want. We can screw who we want. Red cups and sweaty bodies everywhere. Hands in the air like we don't care. Cause we came to have so much fun now. Got somebody here might get some now. If you're not ready to go home. Can I get a hell no?. Cause we gonna go all night. Till we see the sunlight alright. So la da di da di we like to party. Dancing with Miley. Doing whatever we want. This is our house. This is our rules. And we can't stop. And we won't stop. Can't you see it's we who own the night. Can't you see it's we who bout' that life. And we can't stop. And we won't stop. We run things, things don't run we. Don't take nothing from nobody. It's our party we can do what we want. It's our party we can say what we want. It's our party we can love who we want. We can kiss who we want. We can screw how we want. To my homegirls here with the big butts. Shaking it like we at a strip club. Remember only God can judge us. Forget the haters cause somebody loves ya. And everyone in line in the bathroom. Trying to get a line in the bathroom. We all so turned up here. Getting turned up yea yea. So la da da di we like to party. Dancing with Miley. Doing whatever we want. This is our house. This is our rules. And we can't stop. And we won't stop. Can't you see it's we who own the night. Can't you see it's we who bout' that life. And we can't stop. And we won't stop. We run things, things don't run we. Don't take nothing from nobody. It's our party we can do what we want. It's our party we can say what we want. It's our party we can love who we want. We can kiss who we want. We can screw who we want. It's our party we can do what we want to. It's our house we can love who we want to. It's our song we can sing if we want to. It's my mouth I can say what I want to. Yea, yea, yeah. And we can't stop. And we won't stop. Can't you see it's we who own the night. Can't you see it's we who bout' that life. And we can't stop. And we won't stop. We run things, things don't run we. Don't take nothing from nobody. Yeah, yeah, yeah"
party in the u.s.a.,"I hopped off the plane at LAX. with a dream and my cardigan. welcome to the land of fame excess (whoa),. Am I gonna fit in?. Jumped in the cab,. Here I am for the first time. Look to my right and I see the Hollywood sign. This is all so crazy. Everybody seems so famous. My tummy's turnin' and I'm feelin' kinda home sick. Too much pressure and I'm nervous,. That's when the taxi man turned on the radio. and a Jay-Z song was on. and a Jay-Z song was on. and a Jay-Z song was on. So I put my hands up. They're playing my song,. And the butterflies fly away. Noddin' my head like yeah. Movin' my hips like yeah. I got my hands up,. They're playing my song. I know I'm gonna be ok. Yeah, It's a party in the USA. Yeah, It's a party in the USA. Get to the club in my taxi cab. Everybody's lookin' at me now. Like ""who's that chick that's rockin' kicks?. She gotta be from out of town"". So hard with my girls not around me. Its definitely not a Nashville party. 'Cause all I see are stilettos. I guess I never got the memo. My tummy's turnin' and I'm feelin kinda home sick. Too much pressure and I'm nervous. That's when the D.J. dropped my favorite tune. and a Britney song was on. and a Britney song was on. and a Britney song was on. So I put my hands up. They're playing my song,. And the butterflies fly away. Noddin' my head like yeah. Movin my hips like yeah. I got my hands up,. They're playin my song. I know I'm gonna be ok. Yeah, It's a party in the USA. Yeah, It's a party in the USA. Feel like hoppin' on a flight (on a flight). Back to my hometown tonight (town tonight). Something stops me every time (every time). The DJ plays my song and I feel alright. So I put my hands up. They're playing my song,. And the butterflies fly away. Noddin' my head like yeah. Movin' my hips like yeah. I got my hands up,. They're playin' my song. I know I'm gonna be ok. Yeah, It's a party in the USA. Yeah, It's a party in the USA. So I put my hands up. They're playing my song,. And the butterflies fly away. Noddin' my head like yeah. Movin' my hips like yeah. I got my hands up,. They're playin' my song. I know I'm gonna be ok. Yeah, It's a party in the USA. Yeah, It's a party in the USA"
when i look at you,"Everybody needs inspiration. Everybody needs a song. A beautiful melody. When the night's so long. 'Cause there's no guarantee. That this life is easy. Yeah. When my world is falling apart. When there's no light to break up the dark. That's when I. I... I look at you. When the waves are flooding the shore. And I can't find my way home anymore. That's when I,. I... I look at you. When I look at you... I see forgiveness. I see the truth. You love me for who I am. Like the stars hold the moon. Right there where they belong. And I know I'm not alone. Yeah. When my world is falling apart. When there's no light to break up the dark. That's when I,. I... I look at you. When the waves are flooding the shore. And I can't find my way home anymore. That's when I,. I... I look at you. You appear just like a dream to me. Just like Kaleydoscope colors. That cover me. All I need. Every breath that I breathe. Don't you know?. You're beautiful. Yeah yeah... When the waves are flooding the shore. And I can't find my way home anymore. That's when I,. I... I look at you. I look at you. Yeah yeah.... Oh oh.... You appear just like a dream to me..."
true friend,"We signed our cards in letters BFF*. You've got a million ways to make me laugh. You're lookin' out for me; you've got my back. It's so good to have you around. You know the secrets I could never tell. And when I'm quiet you break through my shell. Don't feel the need to do a rebel yell. Cause you keep my feet on the ground. You're a true friend. You're here till the end. You pull me aside. When something ain't right. Talk to me now and into the night. 'Til it's alright again. You're a true friend. You don't get angry when I change the plans. Somehow you're never out of second chances. Won't say ""I told you"" when I'm wrong again. I'm so lucky that I've found. A true friend. You're here till the end. You pull me aside. When something ain't right. Talk to me now and into the night. 'Til it's alright again. true friends will go to the ends of the earth. Till they find the things you need. Friends hang on through the ups and the downs. Cause they've got someone to believe in. A true friend. You're here till the end. You pull me aside. When something ain't right. Talk to me now and into the night. No need to pretend. Oh, You're a true friend. You're here till the end. You pull me aside. When something ain't right. Talk to me now and into the night. 'Til it's alright again. You're a true friend. You're a true friend. You're a true friend. (*BFF = Best Friends Forever)"
adore you,"Baby, baby. Are you listening. Wondering. Where you've been all my life. I just started living. Oh baby. Are you listening. When you say you love me. Know I love you more. And when you say you need me. Know I need you more. Boy I adore you-u-u-u. I adore you-u-u-u. Baby. Can you hear me. When I'm crying out for you. I'm scared oh, so scared. But when you're near me. I feel like I'm standing with an army. I am armed with weapons. When you say you love me. Know I love you more. And when you say you need me. Know I need you more. Boy I adore you-u-u-u. I adore you-u-u-u. I love lying next to you. I could do this for eternity. You and me. We're meant to be in holy matrimony. God knew exactly what he was doing. When he led me to you. When you say you love me. Know I love you more. And when you say you need me. Know I need you more. Boy I adore you-u-u-u. I adore you-u-u-u. When you say you love me. Know I love you more. And when you say you need me. Know I need you more. Boy I adore you-u-u-u. I adore you-u-u-u"
7 things,"I probably shouldn't say this. But at times I get so scared. When I think about the previous. Relationship we've shared. It was awesome but we lost it. It's not possible for me not to care. Now we're standing in the rain. But nothing's ever gonna change. Until you hear, my dear. The 7 things I hate about you. The 7 things I hate about you. You're vain, your games, you're insecure. You love me, you like her. You make me laugh, you make me cry. I don't know which side to buy. Your friends they're jerks. And when you act like them, just know it hurts. I wanna be with the one I know. And the 7th thing I hate the most that you do. You make me love you. It's awkward and it's silent. As I wait for you to say. What I need to hear now. Your sincere apology. And when you mean it, I'll believe it. If you text it, I'll delete it. Let's be clear. I'm not coming back. You're taking 7 steps here. The 7 things I hate about you. You're vain, your games, you're insecure. You love me, you like her. You make me laugh, you make me cry. I don't know which side to buy. Your friends they're jerks. And when you act like them, just know it hurts. I wanna be with the one I know. And the 7th thing I hate the most that you do. You make me love you. Compared to all the great things. That would take too long to write. I probably should mention. The 7 that I like. The 7 things I like about you. Your hair, your eyes, you old Levi's. And when we kiss, I'm hypnotized. You make me laugh, you make me cry. But I guess that's both I'll have to buy. Your hand in mine. When we're intertwined everything's alright. I wanna be with the one I know. And the 7th thing I like the most that you do. You make me love you. you do Ooh"
malibu,"I never came to the beach. Or stood by the ocean. I never sat by the shore. Under the sun with my feet in the sand. But you brought me here and I'm happy that you did. 'Cause now I'm as free as birds catching the wind. I always thought I would sink, so I never swam. I never went boatin', don't get how they are floatin'. And sometimes I get so scared of what I can't understand. But here I am, next to you. The sky's more blue in Malibu. Next to you in Malibu. Next to you. We watched the sun go down as we were walking. I'd spent the rest of my life standing here talking. You would explain the current, as I try to smile. Hoping I just stay the same. And nothing will change. And it'll be us, just for a while. Do we even exist?. That's when I make the wish. To swim away with the fish. Is it supposed to be this hot all summer long?. I never would've believed you. If three years ago you told me. I'd be here writing this song. But here I am, next to you. The sky's more blue in Malibu. Next to you in Malibu. Next to you. Next to you. The sky's so blue in Malibu. Next to you. We are just like the waves that flow back and forth. Sometimes I feel like I'm drowning. And you're there to save me. And I wanna thank you with all of my heart. It's a brand new start. A dream come true in Malibu"
the best of both worlds,"Oh yeah. Come on. You get the limo out front. Hottest styles, every shoe, every color. Yeah when your famous it can be kinda fun. Its really you but no one ever discovers. In some ways you're just like all your friends. But on stage you're a star. You get the best of both worlds. Chillin' out, take it slow. Then you rock out the show. You get the best of both worlds. Mix it all together and you know that it's the best of both worlds. The best of both worlds. You go the movie premiers (is that Orlando Bloom?). Hear your songs on the radio. Livin' two lives is a little weird. But schools cool cuz nobody knows. Yeah you get to be a small town girl. But big time when you play your guitar. You get the best of both worlds. Chillin' out take it slow. Then you rock out the show. You get the best of both worlds. Mix it all together and you know that it's the best of both. You know the best of both worlds. Pictures and autographs. You get your face in all the magazines. The best parts that you get to be who ever you wanna be. Yeah best of both. You get the best of both. Come on best of both. Who would of thought that a girl like me. Would double as a superstar. You get the best of both worlds. Chillin' out, take it slow. Then you rock out the show. You get the best of both worlds. Mix it all together and you know that it's the best of both worlds. You get the best of both worlds. Without the shades and the hair. You can go anywhere. You get the best of both girls. Mix it all together. Oh yea. It's so much better cuz you know you've got the best of both worlds"
butterfly fly away,"You tucked me in. Turn out the light. Kept me safe and sound. At night. Little girls depend on things like that. Brushed my teeth and combed my hair. Had to drive me everywhere. You were always there. When I looked back. You had to do it all alone. Make a living. And make a home. Must have been as hard as it could be. And when I couldn't sleep at night. Scared things wouldn't turn out right. You would hold my hand. And sing to me. Caterpillar in the tree. How you wonder who you'll be. Can't go far. But you can always dream. Wish you may and wish you might. Don't you worry. Hold on tight. I promise you there will come a day. Butterfly fly away. Butterfly fly away. Butterfly fly away. Got you're wings. Now you can't stay. Take those dreams. And make them all come true. Butterfly fly away. Butterfly fly away. You've been waiting for this day. All along you know just what to do. Butterfly, Butterfly, Butterfly. Butterfly fly away. Butterfly fly away. Butterfly fly away"
jolene,"Jolene, Jolene, Jolene, Jolene. Oh I'm begging of you, please don't take my man. Jolene, Jolene, Jolene, Jolene. Please don't take him even though you can. Your beauty is beyond compare. With flaming locks of auburn hair. With ivory skin and eyes of emerald green. Your smile is like a breath of spring. Your skin is soft like summer rain. And I cannot compete with you, Jolene. And I could easily understand. How you could easily take my man. But you don't know what he means to me, Jolene. And he talks about you in his sleep. And there's nothing I can do to keep. From crying when he calls your name, Jolene. Jolene. Jolene, Jolene, Jolene, Jolene. Please don't take him even though you can. Jolene, Jolene, Jolene, Jolene. Please don't take him even though you can. I had to have this talk with you. My happiness depends on you. And whatever you decide to do, Jolene. And you could have your choice of men. But I could never love again. Cause he's the only one for me, Jolene. Jolene. Jolene, Jolene, Jolene, Jolene. Oh I'm begging of you, please don't take my man. Jolene, Jolene, Jolene, Jolene. Please don't take him even though you can. Jolene, Jolene"
you'll always find your way back home,"You wake up, it's raining and it's monday,. Looks like one of those rough days. Time's up, you're late again,. So get out the door. Sometimes you feel like running. Find a whole new life and jump in. Let go, get up and hit the dance floor. But when the lights go down it's the ending of the show. And you're feeling like you got nowhere to go. Don't you know. You can change your hair. And you can change your clothes. You can change your mind,. That's just the way it goes. You can say goodbye, and you can say hello. But you'll always find your way back home. You can change your style,. Yeah your can change your jeans. You can learn to fly and you can chase your dreams. You can laugh and cry but everybody knows. You'll always find your way back home. Your best friends, your little hometown. Are waiting up wherever you go now. You know that you can always turn around. Cause this world is big and it's crazy. And this girl is thinking that maybe. This life is what some people dream about. Cause when I'm feeling down and I am all alone. I've always got a place where I can go. Cause I know. You can change your hair. And you can change your clothes. You can change your mind,. That's just the way it goes. You can say goodbye, and you can say hello. But you'll always find your way back home. You can change your style,. Yeah your can change your jeans. You can learn to fly and you can chase your dreams. You can laugh and cry but everybody knows. You'll always find your way back home. Where they know exactly who you are. (back home) where the real you is the superstar. (back home), you know it's never too far away. You can change your hair. And you can change your clothes. You can change your mind,. That's just the way it goes. You can say goodbye, and you can say hello. But you'll always find your way back. You can change your hair. And you can change your clothes. You can change your mind,. That's just the way it goes. You can say goodbye, and you can say hello. But you'll always find your way back home. You can change your style,. Yeah your can change your jeans. You can learn to fly and you can chase your dreams. You can laugh and cry but everybody knows. You'll always find your way back home. You'll always find your way back home. You'll always find your way back home. You'll always find your way back home. You'll always, you'll always find your way. You'll always find your way back home"
don't dream it's over (feat. ariana grande),"There is freedom within, there is freedom without. Try to catch the deluge in a paper cup. There's a battle ahead, many battles are lost. But you'll never see the end of the road. While you're traveling with me. Hey now, hey now. Don't dream it's over. Hey now, hey now. When the world comes in. They come, they come. To build a wall between us. We know they won't win. Now I'm towing my car, there's a hole in the roof. My possessions are causing me suspicion. But there's no proof. In the paper today tales of war and of waste. But you turn right over to the T. V. page. Hey now, hey now. Don't dream it's over. Hey now, hey now. When the world comes in. They come, they come. To build a wall between us. We know they won't win. Now I'm walking again to the beat of a drum. And I'm counting the steps to the door of your heart. Only shadows ahead barely clearing the roof. Get to know the feeling of liberation and relief. Hey now, hey now. Don't dream it's over. Hey now, hey now. When the world comes in. They come, they come. To build a wall between us. We know they won't win"
