bang bang,"I was five and he was six. We rode on horses made of sticks. He wore black and I wore white. He would always win the fight. Bang bang, he shot me down. Bang bang, I hit the ground. Bang bang, that awful sound. Bang bang, my baby shot me down. Seasons came and changed the time. When I grew up I called him mine. He would always laugh and say. ""Remember when we used to play"". ""Bang bang, I shot you down"". ""Bang bang, you hit the ground"". ""Bang bang, that awful sound"". ""Bang bang, I used to shoot you down"". Music played and people sang. Just for me the church bells rang. Now he's gone I don't know why. Until this day, sometimes I cry. He didn't even say goodbye. He didn't take the time to lie. Bang bang, he shot me down. Bang bang, I hit the ground. Bang bang, that awful sound. Bang bang, my baby shot me down. Baby shot me down..."
these boots are made for walking,"you keep saying you've got something for me.. something you call love, but confess. you've been messin' where you shouldn't have been messin'. and now someone else is gettin' all your best. these boots are made for walking, and that's just what they'll do. one of these days these boots are gonna walk all over you.. you keep lying, when you oughta be truthin'. and you keep loosin' when you oughta not bet. you keep samin' when you oughta be changin'. now what's right is right, but you ain't been right yet. these boots are made for walking, and that's just what they'll do. one of these days these boots are gonna walk all over you.. you keep playin' where you shouldn't be playin. and you keep thinkin' that you will never get burnt. I just found me a brand new box of matches. and what he knows you ain't had time to learn. and my boots are made for walking, and that's just what they'll do. one of these days these boots are gonna walk all over you.. are you ready boots? start walkin'!"
something stupid,I know I stand in line until you think. You have the time to spend an evening with me. And if we go someplace to dance. I know that there's a chance you won't be leaving with me. And afterwards we drop into a quiet little place. And have a drink or two....... And then I go and spoil it all by saying. Something stupid like I love you. I can see it in your eyes that you despise. The same old lines you heard the night before....... And though it's just a lie to you for me it's true....... And never seemed so right before. I practice every day to find some clever lines. To say to make the meaning come true....... But then I think I'll wait until the evening gets late. And I'm alone with you. The time is right your perfume fills my head....... The stars get red and oh the night's so blue....... And then I go and spoil it all by saying. Something stupid like I love you
another gay sunshine day,"Welcome to our swaree. Flaming hot pink bouquets. New rainbow milky way (Come out and play). Chorus:. Another gay, Another gay. Another gay sunshine day. Chickens will dance with bears. Wolves prance and walk on air. Reach out and take me there (come out and play). [chorus x4]. New sun's risin. New day's are commin'. Darkness breakin. Let's get the ground quakin (let's go). Heads are bobbin. Legs are flip floppin. Booties shakin. Let's get the ground quakin. It's alright it's okay. Another gay sunshine day. [Chorus x7]"
summer wine,"Strawberries, cherries and an angel kissing spring. My summer wine is really made from all these things. I walked in town on silver spurs that jingled to. A song that I had only sang to just a few. She saw my silver spurs and said let's pass some time. And I will give to you...summer wine. Oh..oh..oh...summer wine. Strawberries, cherries and an angel kissing spring. My summer wine is really made from all these things. Take off your silver spurs and help me pass the time. And I will give to you...summer wine. Oh...summer wine. My eyes grew heavy and my lips they could not speak. I tried to get up but I couldn't find my feet. She reassured me with the unfamiliar line. And then she gave to me...more summer wine. Woh..woh..oh...summer wine. Strawberries, cherries and an angel kissing spring. My summer wine is really made from all these things. Take off your silver spurs and help me pass the time. And I will give to you...summer wine. Mm...summer wine. When I woke up, the sun was shining in my eyes. My silver spurs were gone, my head felt twice its size. She took my silver spurs, a dollar and a dime. And left me craving for...more summer wine. Oh..oh..summer wine. Strawberries, cherries and an angel kissing spring. My summer wine is really made from all these things. Take off those silver spurs, help me pass the time. And I will give to you my summer wine. Oh...oh...summer wine"
feelin' kinda sunday (featuring frank sinatra),"(Feelin' kinda Sunday, feelin' kinda Sunday, feelin' kinda Sunday). (Feelin' kinda Sunday, feelin' kinda Sunday, feelin' kinda Sunday). Hey Mr. Sunlight, gonna outshine your bright,. I'm talking out of my head, I'm so high on life.. Don't you know that it's gonna be a ""thousand-and-one"" day.. And I'm feelin' kinda Sunday, (feelin' kinda Sunday), feelin' kinda Sunday.. Pardon my glow-on, but from the high I'm on,. I see myself in this world right where I belong,. There's nothing can hold me down , it's a ""get-up-and-run"" day.. And I'm feelin' kinda Sunday (Sunday), feelin' kinda Sunday (Sunday),. Feelin' kinda Sunday, (Sunday).. The bells I hear in me say I should be getting up soon,. Been travelling all morning long, but I'm still here in my room.. Got to give in to (in to) this feelin' I'm on to, (I'm on to). I'm looking at love coloured windows, and liking the view,. It's just the beginning of a happy go funday,. And I'm feelin' kinda Sunday (feelin' kinda Sunday),. Feelin' kinda Sunday (feelin' kinda Sunday),. Feelin' kinda Sunday (feelin' kinda Sunday).. (La, la la la la, la la la la, la la la la la la la,). It's just the beginning of a happy go funday,. And I'm feelin' kinda Sunday (Sunday), feelin' kinda Sunday (Sunday). Feelin' kinda Sunday (Sunday), feelin' kinda Sunday (Sunday). Feelin' kinda Sunday (Sunday), feelin' kinda Sunday (Sunday)..."
call me,"If you're feeling sad and lonely. There's a service I can render. Tell the one who loves you only. I can be so warm and tender. Call me, don't be afraid, you can call me. Maybe it's late, but just call me. Tell me and I'll be around. When it seems your friends desert you. There's somebody thinking of you. I'm the one who'll never hurt you. Maybe that's because I love you. Call me, don't be afraid, you can call me. Maybe it's late, but just call me. Tell me and I'll be around. Now don't forget me. 'Cause if you let me. I will always stay by you. You gotta trust me. That's how it must be. There's so much that I can do. Call me, don't be afraid, you can call me. Maybe it's late, but just call me. Tell me and I'll be around. If you call I'll be right with you. You and I should be together. Take this love I long to give you. I'll be at your side forever. Call me, don't be afraid, you can call me. Maybe it's late, but just call me. Tell me and I'll be around"
100 years,"I'm not gonna say everything is okay. 'Cause okay is not the way that I feel.. I'm not gonna be any fools' Christmas tree. Let'em hang gifts on me that aren't real. I'm not gonna take second best. I've got no use for the rest.. World you better hear what I say. 'Cause for me true love could be. 100 years away.. I'm not giving in to a smile or a grin. On a face huh I might never see again.. I'm not gonna fly in some big phoney sky. On a ride that I know just can't win.. And I'm not gonna take second best. No I've got no use for the rest.. So world you better hear what I say. Cause for me true love could be. 100 years away.. And if it is, I'll wait."
the shadow of your smile,The shadow of your smile. When you are gone. Will color all my dreams. And light the dawn. Look into my eyes. My love and see. All the lovely things. You are to me. Our wistful little star. Was far too high. A teardrop kissed your lips. And so did I. Now when I remember spring. All the joy that love can bring. I will be remembering. The shadow of your smile
you only live twice,"You Only Live Twice or so it seems,. One life for yourself and one for your dreams.. You drift through the years and life seems tame,. Till one dream appears and love is its name.. And love is a stranger who'll beckon you on,. Don't think of the danger or the stranger is gone.. This dream is for you, so pay the price.. Make one dream come true, you only live twice.. And love is a stranger who'll beckon you on,. Don't think of the danger or the stranger is gone.. This dream is for you, so pay the price.. Make one dream come true, you only live twice.. (from James Bond 007 - You Only Live Twice, 1967)"
