unwritten,"I am unwritten, can't read my mind, I'm undefined. I'm just beginning, the pen's in my hand,. ending unplanned. Staring at the blank page before you. Open up the dirty window. Let the sun illuminate the words that you could not find. Reaching for something in the distance. So close you can almost taste it. Release your inhibition. Feel the rain on your skin. No one else can feel it for you. Only you can let it in. No one else, no one else. Can speak the words on your lips. Drench yourself in words unspoken. Live your life with arms wide open. Today is when your book begins. The rest is still unwritten. Oh, oh. I break tradition, sometimes my tries,. are outside the lines. We've been conditioned to not make mistakes,. but I can't live that way. Staring at the blank page before you. Open up the dirty window. Let the sun illuminate the words. that you could not find. Reaching for something in the distance. So close you can almost taste it. Release your inhibition. Feel the rain on your skin. No one else can feel it for you. Only you can let it in. No one else, no one else. Can speak the words on your lips. Drench yourself in words unspoken. Live your life with arms wide open. Today is when your book begins. Feel the rain on your skin. No one else can feel it for you. Only you can let it in. No one else, no one else. Can speak the words on your lips. Drench yourself in words unspoken. Live your life with arms wide open. Today is when your book begins. The rest is still unwritten. Staring at the blank page before you. Open up the dirty window. Let the sun illuminate the words that you could not find. Reaching for something in the distance. So close you can almost taste it. Release your inhibition. Feel the rain on your skin. No one else can feel it for you. Only you can let it in. No one else, no one else. Can speak the words on your lips. Drench yourself in words unspoken. Live your life with arms wide open. Today is when your book begins. Feel the rain on your skin. No one else can feel it for you. Only you can let it in. No one else, no one else. Can speak the words on your lips. Drench yourself in words unspoken. Live your life with arms wide open. Today is when your book begins. The rest is still unwritten. The rest is still unwritten. The rest is still unwritten. Oh, yeah, yeah"
pocketful of sunshine,"Oh, yeah, yeah, yeah. I got a pocket, got a pocket full of sunshine. I got a love, and I know that it's all mine, oh. Do what you want, but you're never gonna break me. Sticks and stones are never gonna shake me, no. I got a pocket, got a pocket full of sunshine. I got a love, and I know that it's all mine, oh. Wish that you could, but you ain't gonna own me. Do anything you want, you can't slow me down, no. Take me away (take me away). A secret place (a secret place). A sweet escape(a sweet escape). Take me away (take me away). Take me away (take me away). To better days (to better days). Take me away (take me away). A hiding place (a hiding place). I got a pocket, got a pocket full of sunshine. I got a love, and I know that it's all mine, oh. Do what you want, but you're never gonna break me. Sticks and stones are never gonna shake me, no. Take me away (take me away). A secret place (a secret place). A sweet escape(a sweet escape). Take me away (take me away). Take me away (take me away). To better days (to better days). Take me away (take me away). A hiding place (a hiding place). There's this place that I go. That nobody know. Where the rivers flow. And I call it home. And there's no more lies. In the darkness there's light. And nobody cries. There's only butterflies. Take me away (take me away). A secret place (a secret place). A sweet escape(a sweet escape). Take me away (take me away). Take me away (take me away). To better days (to better days). Take me away (take me away). A hiding place (a hiding place). Take me away (take me away). A secret place (a secret place). A sweet escape(a sweet escape). Take me away (take me away). Take me away (take me away). To better days (to better days). Take me away (take me away). A hiding place (a hiding place). The sun is on my side. And take me for a ride. I smile up to the sky. I know I'll be all right. The sun is on my side. And take me for a ride. I smile up to the sky. I know I'll be all right"
soulmate,"Incompatible, it don't matter though. 'cos someone's bound to hear my cry. Speak out if you do. you're not easy to find. Is it possible Mr. Loveable. is already in my life?. right in front of me. or maybe you're in disguise. Who doesn't long for someone to hold. who knows how to love you without being told. somebody tell me why I'm on my own. if there's a soulmate for everyone. Here we are again, circles never end. how do I find the perfect fit. there's enough for everyone. but I'm still waiting in line. Who doesn't long for someone to hold. who knows how to love you without being told. somebody tell me why I'm on my own. if there's a soulmate for everyone. If there's a soulmate for everyone. Most relationships seem so transitory. They're all good but not the permanent one. Who doesn't long for someone to hold. who knows how to love you without being told. somebody tell me why I'm on my own. if there's a soulmate for everyone. Who doesn't long for someone to hold. who knows how to love you without being told. somebody tell me why I'm on my own. if there's a soulmate for everyone. If there's a soulmate for everyone"
happy,"Little noise knockin' at my door. Cussin' me out. Got late of my job the night before. Can't figure how. I'm gonna fix tomorrow and. Yesterday's still a mess. Can you tell me what's the point, man. It all seems meaningless. I wish that I could step away and breathe. This world is trying swallowing me. Clear away the clouds inside my head. Someone just tell me that it's ok now. What are you worrying about. Got my dreams, got my life, got my love. Got my friends, got the sunshine above. Why am I making this hard on myself. When there's so many beautiful reasons I have to be happy. People lie, people hide. People cry, people fight. And they don't know why, yeh. If fear is all that we should fear. Then why do we so afraid of. 'Cause it is only in our heads. Someone please say that it's ok now. What are you worrying about. Got my dreams, got my life, got my love. Got my friends, got the sunshine above. Why am I making this hard on myself. When there's so many beautiful reasons I have to be happy. Any day I'll go back thinking that if one is against me. And the world wants to fight me. Preparing to the battle an enemy unseen. During my stressing I'm blinded to the lessons. It could be a blessing. If I be confessing. I'm trying to be. It's harder. But it's ok now. What are you worrying about. Got my dreams, got my life, got my love. Got my friends, got the sunshine above. Why am I making this hard on myself. When there's so many beautiful reasons I have to be happy. So many reasons to be happy. Got my dreams, got my life, got my love. Got my friends, got the sunshine above. Why am I making this hard on myself. When there's so many beautiful reasons I have to be happy"
wild horses,"""Wild Horses"". Hmmm woah yea.... I feel these four walls closing in. My face up against the glass. Im looking out... hmm. Is this my life im wondering. It happened so fast. How do I turn this thing around. Is this the bed I chose to make. Its greener pastures i'm thinking about hmm. Wide open spaces far away. All I want is the wind in my hair. To face the fear but, not feel scared. [Chorus:]. wild horses I want to be like you. Throwing caution to the wind. I'll run free too. Wish I could recklessly love, like im longing too. Run with the wild horses, run with the wild horses!. Ohh yeaaa yea. I see the girl I wanna be. Riding bare back, care free along the shore. If only that someone was me. Jumpin head first headlong without a thought. To act and damn the consequence. I wish it could be that easy. But fear surrounds me like a fence. I wanna break freee ee yeah ohh. All I want is the wind in my hair. To face the fear but, not feel scared. Hoohhh woah woah. [Chorus:]. wild horses I want to be like you. Throwing caution to the wind. I'll run free too. Wish I could recklessly love, like im longing too. I wanna run with the wild horses, run with the wild horses!. Ohh yeaaa yea. I wanna run too.. Hohhh woah oh woah oh. Breaklessly abandoning my self before you. I wanna open up my heart tell him how I feel. [Chorus:]. wild horses I want to be like you. Throwing caution to the wind. I'll run free too. Wish I could recklessly love, like im longing too. I wanna run with the wild horses, run with the wild horses! [X2]. Hooaah woah ohh woah. Yeeaaaah. I wanna run with the wild horses"
single,Ah yeah that's right. All you single people out there. This is for you. I'm not waitin' around for a man to save me. (Cos I'm happy where I am). Don't depend on a guy to validate me. (No no). I don't need to be anyone's baby. (Is that so hard to understand?). No I don't need another half to make me whole. Make your move if you want doesn't mean I will or won't. I'm free to make my mind up you either got it or you don't. [Chorus:]. This is my current single status. My declaration of independence. There's no way I'm tradin' places. Right now a star's in the ascendant. I'm single. (Right now). That's how I wanna be. I'm single. (Right now). That's how I wanna be. Ah yeah Uh Huh that's right. Don't need to be on somebody's arm to look good. (I like who I am). I'm not saying I don't wanna fall in love 'cos I would. I'm not gonna get hooked up just 'cos you say I should. (Can't romance on demand). I'm gonna wait so I'm sorry if you misunderstood. [Chorus]. Everything in it's right time everything in it's right place. I know I'll settle down one day. But 'til then I like it this way it's my way. Eh I like it this way. Make your move if you want doesn't mean I will or won't. I'm free to make my mind up you either got it or you don't. 'Til then I'm single. This is my current single status. My declaration of independence. There's no way I'm tradin' places. Right now a star's in the ascendant
love like this (feat. sean kingston),"Never find a love like this. Well we go back so far,. Swingin in your back yard,. All the things that we used to do. We were cool back in high school. Ooh I really liked you,. Must have been your attitude.. That's why you keep on runnin. In and out of my mind.. As the years they'll roll by,. Baby, now I know why. I keep comin back to you.. You're the only one that knows me,. Love it when you hold me,. I'd never find a love like this.. Let me hear you say,. Now I'll never be lonely,. Look at what you've shown me,. I'd never find a love like this. Well this life tries to keep us apart. You keep callin me back to your heart.. Let me hear you say,. I'm so glad you found me,. Wrap your world around me,. Never find a love like this.. All the guys tried to take me,. You're the one who saved me,. I feel like I owe you my life.. And as strange as it may seem,. I'll go if you take me. I'm willing to sacrifice.. That's why you keep on runnin. In and out of my mind.. As the years, they'll roll by,. It's not hard to know why. I keep comin back to you.. You're the only one that knows me,. Love it when you hold me,. I'd never find a love like this.. Let me hear you say,. Now I'll never be lonely,. Look at what you've shown me,. Never find a love like this.. Cause this life tries to keep us apart,. You keep calling me back to your heart.. Let me hear you say,. I'm so glad you found me,. Wrap your world around me,. Never find a love like this.. May never find a love, love, love a love like this,. That still make me think about my middle school kiss.. I sit here in this chair and I wish. For you not to leave me now.. My friends they always told me. Not to make you my wifey,. Man they was putting you down.. And now they see we rollin,. Me and you, we strollin,. They don't wanna come around.. Let me hear you say,. You're the only one that knows me,. Love it when you hold me,. I'd never find a love like this.. Let me hear you say,. Now I'll never be lonely,. Look at what you've shown me,. I'd never find a love like this.. When this life tries to keep us apart,. You keep callin me back to your heart.. Let me hear you say,. I'm so glad you found me,. Wrap your world around me,. Never find a love like this,. Oh whoa...(oh whoa...) I'd never find a love like this...(x5). When this life tries to keep us apart,. You keep callin me back to your heart,. Let me hear you say,. Oh whoa...(oh whoa...) never find a love like this.. Oh whoa...(oh whoa...) never find a love like this"
strip me,"La la la la la la. Everyday I fight for. All my future somethings. A thousand little awards. I have to choose between. I could spend a lifetime. Earning things that I don't need. That's like chasing rainbows. And coming home empty. And if you strip me,. Strip it all away. If you strip me,. What would you find. If you strip me,. Strip it all away. I'll be alright. Take what you want. Steal my pride. Build me up. Or cut me down to size. Shut me out. But I'll just scream. Im only one voice in a million. But you aint taking that from me. Oh oh no you aint taking that from me x 4. I dont need a microphone. To say what I've been thinking. My heart is like a loudspeaker. That's always on eleven. And if you strip me,. Strip it all away. If you strip me,. What would you find. If you strip me,. Strip it all away. I'm still the same. Take what you want. Steal my pride. Build me up. Or cut me down to size. Shut me out. But I'll just scream. Im only one voice in a million. But you aint taking that from me. Oh oh no you aint taking that from me x 4. Cause when it all boils down. At the end of the day. It's what you do and say. That makes you who you are. Makes you think about,. Think about it. Doesn't it. Sometimes all it takes is one voice. Take what you want. Steal my pride. Build me up. Or cut me down to size. Shut me out. But I'll just scream. Im only one voice in a million. But you aint taking that from me. Oh oh no you aint taking that from me x 4. Take what you want. Steal my pride. Build me up. Or cut me down to size. Shut me out. But I'll just scream. Im only one voice in a million. But you aint taking that from me. Oh oh no you aint taking that from me x 4. La la la la la la"
these words,"These words are my own. Threw some chords together. The combination D-E-F. It's who I am, it's what I do. And I was gonna lay it down for you. I try to focus my attention. But I feel so A-D-D. I need some help, some inspiration. (But it's not coming easily). Whoah oh.... Trying to find the magic. Trying to write a classic. Don't you know, don't you know, don't you know?. Waste-bin full of paper. Clever rhymes, see ya later. These words are my own. From my heart flow. I love you, I love you, I love you, I love you. There's no other way. To better say. I love you, I love you.... Read some byron, shelly and keats. Resited in over a Hip-Hop beat. I'm having trouble saying what I mean. With dead poets and drum machines. I know I had some studio time booked. But I couldn't find a killer hook. Now you're gonna raise the bar right up. Nothing I write is ever good enough. These words are my own. From my heart flow. I love you, I love you, I love you, I love you. There's no other way. To better say. I love you, I love you.... These words are my own. From my heart flow. I love you, I love you, I love you, I love you. There's no other way. To better say. I love you, I love you.... I'm getting off my stage. The curtain's pull away. No hyper bowl to hide behind. My naked soul exposé. Whoah.. oh.. oh.. oh.. whoah.. oh... Trying to find the magic. Trying to write a classic. Waste-bin full of paper. Clever rhymes, see you later. These words are my own. From my heart flow. (Don't you know). I love you, I love you, I love you, I love you. There's no other way. To better say. I love you I love you. These words are my own. From my heart flow. I love you, I love you, I love you, I love you. There's no other way. (There's no better way). To better say. I love you I love you. These words are my own. They're from my heart. I love you, I love you. That's all I got to say,. Can't think of a better way. And that's all I got to say. I love you, is that okay..."
(no more) what ifs (feat. eve),"All the could-be's buzzin' 'round. My mind a thousand-timely cloud. And now I can not see the sun. All the worries on my list. Rush like lamings off a cliff. I'm powerless to save even one. All my friends tell me I'm thinking too much. It's not over 'til it's over. Because today is trouble enough. Live tomorrow, 'til tomorrow. I'm not jinxing what could be. Second guessing what I see. There is you and there is me. No what if's. My crossing fingers knocking wood. 'cause worrying about we could. Spoil the moment when it's good. No more what ifs. Could-be's. One day's. If only's. That intro's looping on and on. Don't really get to feel the song. When it's only playing in my head. If I don't listen with my heart. Trust my instincts from the start. Then I'm as done, as done can get. So I'm not. I'm not jinxing what could be. Second guessing what I see. There is you and there is me. No what if's. My crossing fingers knocking wood. 'cause worrying about we could. Spoil the moment when it's good. No more what ifs. Could-be's. One day's. If only's. If the sky falls down. What if it don't work out. What if a black cat crosses my path. Does that mean you and me, we're not gonna last?. What if Mr Right turns out to be wrong?. What if there's no happy ending for this song. What if the one for me is the one that's she's with. When my heart feels love, or will my head believes it?. I'm thinking too much.. It's not over 'til it's over. 'cause today is trouble enough. Live tomorrow, 'til tomorrow. I'm not jinxing what could be. Second guessing what I see. There is you and there is me. No what if's. My crossing fingers knocking wood. 'cause worrying about we could. Spoil the moment when it's good. No more what ifs. Could-be's. One day's. If only's"
