say it right,"In the day, in the night. Say it right, say it all. You either got it or you don't. You either stand or you fall. When your will is broken. When it slips from your hand. When there's no time for joking. There's a hole in the plan. Oh, you don't mean nothing at all to me. No, you don't mean nothing at all to me. But you've got what it takes to set me free. Oh, you could mean everything to me. I can't say that I'm not lost and at fault. I can't say that I don't love the light and the dark. I can't say that I don't know that I am alive. And all of what I feel I could show. You tonight, you tonight. Oh, you don't mean nothing at all to me. No, you don't mean nothing at all to me. But you've got what it takes to set me free. Oh, you could mean everything to me. From my hands I could give you. Something that I made. From my mouth. I could sing you another brick that I laid. From my body I could show you a place. God knows. You should know the space is holy. Do you really want to go?"
promiscuous (feat. timbaland),"- Am I turning you off?. - Nope.. - Didn't think so. How you doing, young lady?. The feeling that you give me really drive me crazy. You're dope have a player by the choke. I was at a loss for words first time that we spoke. You're looking for a girl that'll treat you right. Have you lookin' for her in the daytime with a light. You might be the type if I play my cards right. I'll find out by the end of the night. You expect me to just let you hit it. But will you still respect me if you get it. All I can do is try give me one chance. What's the problem I don't see no ring on your hand. I'll be the first to admit I'm curious about you. You seem so innocent. You wanna get in my world get lost in it. Boy I'm tired of runnin' let's walk for a minute. Refrão:. Promiscuous girl, wherever you are. I'm all alone and it's you that I want. Promiscuous boy, you already know. That I'm all yours, what you waiting for?. Promiscuous girl, you're teasing me. You know what I want and I got what you need. Promiscuous boy, let's get to the point. Cuz we're on a roll. You ready?. Roses are red, some diamonds are blue. Chivalry is dead, but you're still kinda cute. Hey, I can't take my mind off you. Where you at? Do you mind if I come through?. I'm out of this world, come with me to my planet. Get you on my level, do you think that you can handle it?. They call me Thomas, last name Crown. Recognize game, I'm'a lay mines down. I'm a big girl, I can handle myself. But if I get lonely I may need your help. Pay attention to me, I don't talk for my health. I want you on my team - so does everybody else. Shh maybe we can keep it on the low. Let your guard down, ain't nobody gotta know. If you with it, girl, I know a place we can go. What kind of girl do you take me for?. Refrão. Don't be mad, don't get mean. Don't get mad, don't be mean. Wait, I don't mean no harm. I can see you with my T-shirt on. I can see you with nothin' on. Feelin' on me before you bring that on. Bring that on?. You know what I mean. Girl, I'm a freak, you shouldn't say those things. I'm only trynna get inside of your brain. To see if you can work me the way you say. It's okay, it's alright, I got something that you're. Gonna like. Is it the truth or are you talking trash?. Is your game Mvp like Steve Nash?. Promiscuous girl, wherever you are. I'm all alone and it's you that I want. Promiscuous boy, I'm calling your name. But you're driving me crazy the way you're making me wait. Promiscuous girl, you're teasing me. You know what I want and I got what you need. Promiscuous boy, we're one and the same. So we don't gotta play games no more"
all good things (come to an end),Honestly what will become of me. I don't like reality. It's way too clear to me. But really life is daily. We are what we don't see. We miss everything daydreaming. Flames to dust. Lovers to friends. Why do all good things come to an end?. Traveling I always stop at exits. Wondering if I'll stay. Young and restless. Living this way I stress less. I want to pull away when the dream dies. The pain sets it and I don't cry. I only feel gravity and I wonder why. Flames to dust. Lovers to friends. Why do all good things come to an end?. Dogs were whistling a new tune. Barking at the new moon. Hoping it would come soon so that they could die. Flames to dust. Lovers to friends. Why do all good things come to an end?. When the dogs were barking at the new moon. Whistling a new tune. Hoping it would come soon. And the sun was wondering if it should. stay away for a. day until the feeling went away. And the sky was falling and the clouds were dropping. and the the rain forgot how to bring salvation. And the dogs were barking at the new moon. Whistling a new tune. So they could die. Hoping it would come soon so that they could die
i'm like a bird,"You're beautiful, that's for sure. You'll never ever fade. You're lovely but it's not for sure. I won't ever change. And though my love is rare. Though my love is true. (Chorus:). I'm like a bird, I'll only fly away. I don't know where my soul is, I don't know where my. home is. (and baby all I need for you to know is). I'm like a bird, I'll only fly away. I don't know where my soul is, I don't know where my. home is. All I need for you to know is. Your faith in me brings me to tears. Even after all these years. And it pains me so much to tell. That you don't know me that well. And though my love is rare. And though my love is true. (Chorus). It's not that I wanna say goodbye. It's just that every time you try to tell me, me that you love me. Each and every single day I know. I'm gonna have to eventually give you away. And though my love is rare,rare,rare. And though my love is true. Hey I'm just scared. That we may fall through. (Chorus) 2x"
turn off the light,"It's getting so lonely inside this bed. Don't know if I should lick my wounds or say woe is me instead. And there's an aching inside my head. It's telling me I'm better off alone. But after the midnight morning will come. And the day will see if you're gonna get some. Refrão. They say that girl ya know she act too tough tough tough. Well it's till I turn off the light, turn off the light. They say that girl you know she act so rough rough rough. Well it's till I turn off the light, turn off the light. And I say follow me, follow me down, down down. Till' you see all my dreams. Not everything in this magical world is quite what it seems. I looked above the other day. Cause I think I'm good and ready for a change. I live my life by the moon. If it's high play it low, if it's harvest go slow and if it's full, then go. But after the midnight morning will come. And the day will see if you're gonna get some. Refrão. I'm searching for things that I just cannot see. Why don't you don't you don't you come and be whit me. I pretend to be cool with me, want to believe. That I can do it on my own without my heart on my sleeve. I'm running, I'm running, catch up with me life. Where is the love that I'm looking to find. It's all in me, can't you see, why can't you, why can't you see it's all in me, yeah. All in me, yeah. Where is your logic. (Turn off the light). Who do you need. (Turn off the light). And I say follow me follow me follow me down down down down. Till' you see all my dreams. Not everything in this magical world is quite what it seems. Follow me follow me down down down down. Turn off the light, turn off the light. Follow me down follow me down down down. Turn off the light, turn off the light. And I say follow me follow me follow me donw donw down down. Till'you see all my dreams, see all my dreams. Follow me follow me follow me down down down down. Till'you see all my dreams, see all my dreams. Where is your logic. Who do you need. Where can turn"
"quando, quando, quando (duet with michael buble)","Tell me when will you be mine. Tell me quando, quando, quando. We can share a love divine. Please don't make me wait again. When will you say yes to me. (When will you say yes to me). Tell me quando, quando, quando. (Tell me quando, quando, quando). You mean happiness to me. (You mean happiness to me). Oh my love, please tell me when. Every moment's a day. (Every moment's a day). Every day seems a lifetime. (Every day seems like a lifetime). Let me show you the way. (Let me show you the way). To a joy beyond compare. (I can't wait a moment more). (Tell me quando, quando, quando). Tell me quando, quando, quando. (Just say it's me that you adore). And then darling, tell me when. Every moment's a day. (Every moment's a day). Every day seems a lifetime. Let me show you the way. (Let me show you the way). To a joy beyond compare. I can't wait a moment more. (I can't wait a moment more). Tell me quando, quando, quando. Say it's me that you adore. And then darling, tell me when. Oh my darling, tell me when. And then darling, tell me when. Oh my darling, tell me when. Oh when"
free,"Visions of you. Visions of me. Everything we wanted. I wanna be frozen in time. Forever in this moment. How you wanna live?. What you wanna be?. How you wanna be?. So alive. What you wanna do?. What you wanna be?. I know you wanna live your life right. The night is young, and so are we. We can do anything. Oh love baby. The night is young, and so are we. We can be anyone. Oh love baby. Cause we are. Free free free free free free. And life is. Free free free free free free. Don't worry baby, I'll be here. To make sure you're feeling fine. You can let go of all your fears. Cuz you're not going home tonight. How you wanna live. What you wanna be. Don't you know you make me feel so alive. What you wanna do. What you wanna be. I know you wanna live your life right. The night is young, and so are we. We can do anything. Oh love baby. The night is young, and so are we. We can be anyone. Oh love baby. Cause we are. Free free free free free free. And life is. Free free free free free free. Baby it's all good. (Baby it's all good). When I look at you. (When I look at you). And I see that you. (And I see that you). Made it through everything. (Made it through everything). After all of the ups and downs. (all of the ups and down). We figured it out. (We figured it out). And I will know. How to ride it out. The night is young, and so are we. We can do anything. Oh love baby. The night is young, and so are we. We can be anyone. Oh love baby. Cause we are. Free free free free free free. And life is. Free free free free free free"
morning after dark,"Go Timbo. I be the same when it all goes up. I be the same when it all goes down. Not the first one, open it up. I be the last one closin it out. Don’t know if I’ll give you a shot yet. Lil Mama I’m peepin your style. Do I think you’re dope enough, yup. One way of findin it out. The way you came at me, boo. Don’t care, not afraid I’m like Wild. Really want it from head to toe. Question if she gon let it out. Anyway the hour glass go. I don’t worry anyhow. Why don’t we see where it go. Let’s figure it out. (Chorus). When the cats come out the bats come out to playy Yeahh. In the morning after. The dawn is here, be gone be on your wayy Yeahh. In the morning after. When the cats come out the bats come out to playy Yeahh. In the morning after. The dawn is here, be gone be on your wayy Yeahh. In the morning after Dark. Owww, Oooohhh Owww. Come on SoShy. [SoShy]. I got a little secret for ya. I never sleep when comes the night. But everytime I smack my fingers. I switch back into the light. My moon belong to your sun. Your fire is burning my mind. Is it love or is it lust. Something that I just can’t describe (ah). Am I the one and only (ah). Cause you’re the only one (ah). It felt so long and lonely (ah). Waiting for you to come…. It’s lookin bright and early. I’m willing to close my eyes. This is the unusual story. Timbo and SoShy. (Chorus). When the cats come out the bats come out to playy Yeahh. In the morning after. The dawn is here, be gone be on your wayy Yeahh. In the morning after. When the cats come out the bats come out to playy Yeahh. In the morning after. The dawn is here, be gone be on your wayy Yeahh. In the morning after Dark. Go Nelly. I need some REM but I don't like sleeping alone. So come and pick me up as soon as you put down the phone. I wanna get into trouble, later you'll carry me home. I wanna go undercover, I just wanna rattle your bones. Yes, I'm the one and only but I'm not the only one. So let's work overtime on this shit, it ends with the sun. Maybe we can start a riot, maybe we can run this town. Maybe I'll be your vampire, we could figure it out. (Chorus). When the cats come out the bats come out to playy Yeahh. In the morning after. The dawn is here, be gone be on your wayy Yeahh. In the morning after. When the cats come out the bats come out to playy Yeahh. In the morning after. The dawn is here, be gone be on your wayy Yeahh. In the morning after Dark. Dark dark dark dark dark. In the morning after dark. Dark dark dark dark dark. In the morning after dark. Please don’t leave me girl. In the morning after dark. Please don’t leave me girl. (Please don’t leave me girl). When the cats come out the bats come out to playy... When the cats come out the bats come out to playy... Play play... The dawn is here be on your way. When the cats come out the bats come out to playy... Play play play... The dawn is here be on your way (way way way way…)"
spirit indestructible,"From my one square foot window I see outside. I've got chains on my feet, but not in my mind. I'll be dancing all day, see the sun outside. Don't know how long it will be. Can't stop me. I have a spirit indestructible. A heart that loving was made for. A body that's a miracle. I have a spirit indestructible. A heart that was made pure. Unbreakable and that's for sure. Unshakeable, so give me more. Through my tired eyes I phase out the rain. With a meditation, I erase my pain. There's a rhythm flowing through every vein. And the melody is never ending. I have a spirit indestructible. A heart that loving was made for. A body that's a miracle. I have a spirit indestructible. A heart that was made pure. Unbreakable and that's for sure. Unshakeable, so give me more. A-E-I-O-U.... And though they may, and though they may. Take you away, take you away. You'll never break, you'll never break. And though they may, though they may. Take you away, take you away. They'll never break, they'll never break you. I have a spirit indestructible. A heart that loving was made for. A body that's a miracle. I have a spirit indestructible. A heart that was made pure. Unbreakable and that's for sure. Unshakeable so give me more. A-E-I-O-U..."
phoenix,"Mother. Just lay your head down. You been running through flames of the candle. And your done. It's time to find your wings again. Turn your face towards the sun. Some battles can't be won. Like a phoenix. Rising from the ashes. Like a phoenix. Rising from the flame. You're gonna be alright. You're gonna be alright. You're gonna be alright again. Oh, brother. Your hands are tired. You've been holding the world up. And you're losing your grip. If you knew now what you knew then. Then maybe you'd be whole again. But everyone falls down. But, like a phoenix. Rising from the ashes. Like a phoenix. Rising from the pain. You're gonna be alright. You're gonna be alright. You're gonna be alright again. You build a castle in the clouds. Mind the fire burning down. But you're still standing anyway. When all you needed from the start. Was waiting there inside your heart to be born again. Like a phoenix. Like a phoenix. You're gonna be alright. You're gonna be alright. You're gonna be alright again, alright again. You're gonna be alright. You're gonna be alright. You're gonna be alright again"
