fuck u betta,"I, I feel like I'm losing my mind, mind. She crept into your life, life. And cut me up like a knife, knife, yeah. Hey, hey, few things that I wanna say, ay. Still got my dignity, ay. No one'll love you like me, ay. She's prettier than I'll ever be. Got yourself a beauty queen, yeah. But there's one thing I gotta say. She can fuck you good, but I can fuck you betta. Etta, etta, etta, etta, etta, etta, ay. Etta, etta, etta, etta, etta, etta, ay. I can fuck you betta. Etta, etta, etta, etta, etta, etta, ay. She can fuck you good, but I can fuck you. My way, remember screaming my name, ame. Cause I can sex your brain, ain. But she don't do it that way, ay, no. She's prettier than I'll ever be. Got yourself a beauty queen, yeah. But there's one thing I gotta say. She can fuck you good, but I can fuck you betta. Etta, etta, etta, etta, etta, etta, ay. Etta, etta, etta, etta, etta, etta, ay. I can fuck you betta. Etta, etta, etta, etta, etta, etta, ay. She can fuck you good, but I can fuck you. I know she's perfect and worth it. I bet she's beautiful. But can she love you and touch you until you go. You keep on tryin' to hide it. But we both know. She can fuck you good, but I can fuck you betta. She can fuck you good, but I can fuck you betta. Etta, etta, etta, etta, etta, etta, ay. Etta, etta, etta, etta, etta, etta, ay. I can fuck you betta. Etta, etta, etta, etta, etta, etta, ay. She can fuck you good, but I can fuck you. I know she's perfect and worth it. I bet she's beautiful. But can she love you and touch you until you go. You keep on tryin' to hide it. But we both know. She can fuck you good, but I can fuck you betta. Etta, etta, etta, etta, etta, etta, ay. Etta, etta, etta, etta, etta, etta, ay. I can fuck you betta. Etta, etta, etta, etta, etta, etta, ay. She can fuck you good, but I can fuck you betta. I can fuck you betta, baby!"
am i dreaming?,"I woke up sleeping. Stars on my pillow. Jar full of secrets. That only I know. I don't want to stay. But I don't want to go. Take a snapshot inside my soul. I don't want to stay. But I don't want to go. Take a snapshot inside my soul. Am I dreaming?. I don't even know what's real. Crazy feeling. Is all I know how to feel. Oh, oh, oh. Oh, oh. Am I dreaming?. Cause I don't even know what's real. Oh, oh, oh, oh. Oh, oh. Am I dreaming?. Cause I don't even know what's real. I got some memories. I can't leave behind. Pictures of faces. I wish I could hide. I don't want to stay. But I don't want to go. Take a snapshot inside my soul. I don't want to stay. But I don't want to go. Take a snapshot inside my soul. Am I dreaming?. I don't even know what's real. Crazy feeling. Is all I know how to feel. Oh, oh, oh. Oh, oh. Am I dreaming?. Cause I don't even know what's real. Oh, oh, oh, oh. Oh, oh. Am I dreaming?. Cause I don't even know what's real. I woke up sleeping. Stars on my pillow. Jar full of secrets. That only I know. I don't want to stay. But I don't want to go. Take a snapshot inside my soul. I don't want to stay. But I don't want to go. Take a snapshot inside my soul. Am I dreaming?. I don't even know what's real. Crazy feeling. Is all I know how to feel. Oh, oh, oh, oh. Oh, oh. Am I dreaming?. Cause I don't even know what's real"
anarchy,"Anarchist. Anarchist. Anarchist. Anarchist. Welcome to me and my anarchy. I'm just the way my mom made me. For the people that don't understand me. I don't give a fuck, I'm not your wifey. Raised by wolves, I'm an anarchist. I don't play by the rules, I'm an anarchist. I fall off the rails like an anarchist. Fucked with a lot of boys that I don't miss, oh. Anarchist. Yeah, I'm an anarchist. Anarchist. And I'm living my life. Running riots with my family. I ain't trying to hide my story. Even swinging on the pole was a part of me. Proper knees at this club party. Yeah, you don't know me. Showing off my body while I'm on trapeze. Got in a lot of trouble when I was fifteen. But I was saved by the anarchy. Anarchist. Yeah, I'm an anarchist. Anarchist. And I'm living my life. Anarchist. Yeah, I'm an anarchist. Anarchist. And I'm living my life. Feeling pretty wearing all my black and red. Black and red, black and red, black and red. Feeling pretty wearing all my black and red. Black and red, black and red, black and red. Just so pretty [?] black and red. Black and red, black and red, black and red. Anarchy. Made me. Understand me. You don't understand me. Anarchy. Made me. You don't understand me. Understand me. Welcome to me and my anarchy"
back against the wall,"Funny how they do it these days. It's got me backed up, got me locked in chains. Don't give a fuck about this. Don't give a fuck about that. Sometimes I don't go your way. Don't believe you say everyday can be the same. Don't give a fuck about that!. No-oh-oh, I'ma stand here with my back against the wall. Back against the wall, oh oh oh. I'ma stand here with my back against the wall. Back against the wall, oh oh oh. Time to rip the tape of your mouth. Ready for some trouble when the truth comes out. 'Cause I'm all about that. Yeah, I'm all about that. No need go silence in the crowd. We just get loud when we're pushed to the ground. Yeah, we all about. I say we all about that, yeah!. No-oh-oh, I'ma stand here with my back against the wall. Back against the wall, oh oh oh. I'ma stand here with my back against the wall. Back against the wall, oh oh oh. No no no, I'ma stand here with my back against the wall. Back against the wall, oh oh oh. I'ma stand here with my back against the wall. Back against the wall, oh oh oh"
bad dog,"I just found out that I'm fucking with a bad dog. But the beast in me she know how to train a bad dog. Woof like a bad dog, sit and be a good dog. Or I'ma put you down bang bang like a mad dog. Oh oh oh oh oh , I'm breathin' on your skin. Oh oh oh oh oh, you feel me closin' in. Oh oh oh oh oh. You're just an animal that I caught. You know I'm yours so rip my clothes off. And it's like oh oh and then we oh oh. Just come inside my cage you bad dog. You're just an animal that I caught. You know I'm yours so rip my clothes off. And it's like oh oh and then we oh oh. Just come inside my cage you bad dog. Keep you on a leash tie you up like a bag dog. Taste me on your teeth when you bite like a bad dog. Woof like a bad dog beg be a good dog. Or I'ma put you down bang bang like a mad dog. Oh oh oh oh oh , I'm breathin' on your skin. Oh oh oh oh oh, you feel me closin' in. Oh oh oh oh oh. You're just an animal that I caught. You know I'm yours so rip my clothes off. And it's like oh oh and then we oh oh. Just come inside my cage you bad dog. You're just an animal that I caught. You know I'm yours so rip my clothes off. And it's like oh oh and then we oh oh. Just come inside my cage you bad dog. Revenge is sweet like licorice. I poison you with just a kiss, a kiss, a kiss. You're just an animal that I caught. Your hands are tied I got my wish. Now say your prayer cause this is it, is it, is it. You're just an animal that I caught. You know I'm yours so rip my clothes off. And it's like oh oh and then we oh oh. Just come inside my cage you bad dog. You're just an animal that I caught. You know I'm yours so rip my clothes off. And it's like oh oh and then we oh oh. Just come inside my cage you bad dog."
believe,"You taught me the shit I must know. So I'm walking out here solo. Listening to the beatles. and my favorite thing they said was. All you really need is love. I know they can be critical. But the only time we give up. Is when were in heaven. Yeah. Just hold your head up high. (if you do believe you do believe). Spread your wings and fly. (coz I do believe I do believe). Someday we will find a place that we are finally free. Hold your flag up high. Do you believe in. (I do believe I do believe in). (I do believe I do believe in). X3. May 25th '86 my house burned down into bits. But we didn't let it stop us no we begun life on the bus. Shit makes all the flowers grow, unusual is beautiful. And every single one of us yeah we'll meet in heaven. Yeah. Just hold your head up high. (if you do believe you do believe). Spread your wings and fly. (coz I do believe I do believe). Someday we will find a place that we are finally free. Hold your flag up high. Do you believe in. (I do believe I do believe in). (I do believe I do believe in). X3"
black and blue,"Raindrops on her cheek,. But the sky is dry.. School uniform is torn,. But she won't say why.. Now Alice are you okay?. Are you sure that you're fine?. Is there somethin' your tryna hide?. [Chorus]. Girls and boys alike. Time to end this fight. Before it's too late. Now you just gotta know. I'm here for you. And I will fight until I'm. Black and blue. Cause sticks and stones,. May break my bones. But it's all worth if. I've got you. Because I'm here for you. For you, for you. Because I'm here for you. For you, y-y-you. Because I'm here for you. [Verse 2]. Daydreamin' out the window. Prayin' for help. Too young to talk but he knows. A leather belt. No Sonny, it's not okay. Cause, I heard his cry. And his daddy still denies. [Chorus]. [Bridge]. Cause I am just like you. But I got away. These bruises make me. Who I am today. And no, I'm not okay. I'm just great. Pemass by my side. Thank you Mr. Wade. And you just gotta know. I'm here for you(you 4x). And I will fight until. I'm black and blue(blue 4x). Cause sticks and stones. May break my bones. But it's all worth while. If I've got you..."
black sunshine,"Might as well give it a try. I get excited when I see the light. Looking for a reason why. I should know. I-I-I. I know I know, you don't all agree. And now you're disappointed in me. But I'm a rebellion and I wanna be free, so. And they call him black sunshine. Oh, will be gone for a while. 'Cause I'm gonna get myself a new best friend. Until the end, I love him 'til the end. End, ay-end. I love him 'til the end. End, ay-end. My black sunshine. Until death do us part. Got a bad cracked light. I can't see far. The gravel leaves me scarred. But this love got me hurt. I-I-I. I know I know, you don't all agree. And now you're disappointed in me. But I'm a rebellion and I wanna be free, so. And they call him black sunshine. Oh, will be gone for a while. 'Cause I'm gonna get myself a new best friend. Until the end, I love him 'til the end. End, ay-end. I love him 'til the end. End, ay-end. My black sunshine. My black sunshine. My black sunshine. My black sunshine. My black sunshine"
blow your house down,"Honey,. Don't waste your time. I know you love me. Get to the back of the line. Honey,. Oh, oh, don't make me say it again. Oh, oh, 'cause I'm a careful one. And coun't you to one, two.... Ima chew you up and spit you out. I'll blow your house down. I'll blow your house down. I'll blow your house down. Ima chew you up and spit you out. I'll blow your house down. I'll blow your house down. I'll blow your house down. Honey,. You know I never let you uhhh. That means you love me. A little bit more. Honey,. Oh, oh, don't make me say it again. Oh, oh, 'cause I'm a careful one. And coun't you to one, two.... Ima chew you up and spit you out. I'll blow your house down. I'll blow your house down. I'll blow your house down. Ima chew you up and spit you out. I'll blow your house down. I'll blow your house down. I'll blow your house down. And let the first little boy thought that he was the shit. And the second little boy tried to sneak me a kiss. And the bad little boy, he just bought me a drink. And they both went home alone. And they both went home alone. And they both went home alone. And they both went home alone. And they both went home alone. Ima chew you up and spit you out. I'll blow your house down. I'll blow your house down. I'll blow your house down. Ima chew you up and spit you out. I'll blow your house down. I'll blow your house down. I'll blow your house down. Ima chew you up and spit you out. I'll blow your house down. I'll blow your house down. I'll blow your house down. Ima chew you up and spit you out. I'll blow your house down. I'll blow your house down. I'll blow your house.... I'll blow your house down"
boom,"I'm fucked. Boom, shakalaka-laka-laka. Get the money, bling. Boom, shakalaka-laka-laka. Get the money, meow. All eyes on me. All eyes on me. Brr-brr-boom, ba boom. I run the jungle like a cheetah. Yeah I'm a fighter. A bull in china. Brr-brr-boom. Rub my pussy like a tiger. Come in the ring if you dare-re-re. Come in the ring if you dare-re-re. Come in the ring if you dare-re-re. Come in the ring if you dare-re-re. Boom, shakalaka-laka-laka. Get the money, bling. Boom, shakalaka-laka-laka. Get the money, meow. All eyes on me. All eyes on me. Brr-brr-boom, ba boom. I run the jungle like a cheetah. Yeah I'm a fighter. A bull in China. Brr-brr-boom. Rub my pussy like a tiger. Come in the ring if you dare-re-re. Come in the ring if you dare-re-re. Come in the ring if you dare-re-re. Come in the ring if you dare-re-re. Boom, shakalaka-laka-laka. Get the money, bling. Boom, shakalaka-laka-laka. Get the money, meow. Boom, boom, meow. Come in the ring if you dare-re-re. Come in the ring if you dare-re-re. Come in the ring if you dare-re-re. Come in the ring if you dare-re-re. Boom, shakalaka-laka-laka. Get the money, bling. Boom, shakalaka-laka-laka. Get the money, meow. Oi, bruv, you want some of this little goody good good?. Don't fuck with me, unless you're really gonna fuck me good"
