step by step,"Step by step. Ooh baby. Gonna get to you girl. Step by step (Ah!). Step by step. Ooh baby. Gonna get to you girl. Step by step. Ooh baby. Really want you in my world. (Step) Hey girl, in your eyes. I see a picture of me all the time. (Step) And girl, when you smile. You got to know that you drive me wild. (step by step) Ooh baby. You're always on my mind. (step by step) Ooh girl. I really think it's just a matter of time. Step by step. Ooh baby. Gonna get to you girl. Step by step. Ooh baby. Really want you in my world. (step) Hey girl, can't you see. I've got to have you all just for me. (step) And girl, yes it's true. No one else will ever do. (step by step) Ooh baby. You're always on my mind. (step by step) Ooh girl. I really think its just a matter of time. Step by step. Ooh baby. Gonna get to you girl. Step by step. Ooh baby. Really want you in my world. (Step). (Step). (Step). (Step by step). Step 1: We can have lots of fun. Step 2: There's so much we can do. Step 3: It's just you and me. Step 4: I can give you more. Step 5: Don't you know that the time has arrived?. (Ah!). (Step by step). Don't you know I need you?. (Step by step). Yes, I do girl. (Step by step) Ooh baby. You're always on my mind. (Step by step) Ooh girl. I really think it's just a matter of time. Step by step (step by step girl). Ooh baby. Gonna get to you girl (to you girl). Step by step (yeah). Ooh baby. I want you, I need you. I want you in my world. Step by step (ooh ooh ooh). To you girl. Step by step (oh girl). Really want you in my world. Step by step. Ooh baby. Gonna get to you girl. Step by step"
please don't go girl,"We've been together for a long time, baby. Do you have to leave?. Please don't go girl. I just can't live without you. Please don't go girl. So listen to me... (Don't go, girl). Please don't go girl. You would ruin my whole world. Tell me you'll stay. Never ever go away. I love you (I love you). I guess I always will. Girl, you're my best friend. Girl, you're my love within. I just want you to know. That I will always love you. Ooh, baby. Tell me you'll stay. Never ever go away. I need you (I need you). I guess I always will. Girl, you're my best friend. Girl, you're my love within. I just want you to know. That I will always love you. Ooh, baby. (Please don't go girl). I'm gonna always love you girl. I'm gonna love you girl until the end of time. Tell me girl. You're gonna always be mine. Please don't go girl. You would ruin my whole world. Tell me you'll stay. Never ever go away. I love you (I love you). I guess I always will. Girl, you're my best friend. Girl, you're my love within. I just want you to know. That I will always love you. Ooh, baby. (Please don't go girl). (Please don't go girl). Please don't go girl. (Please don't go girl). Please don't go, baby. (Please don't go girl). Please don't go girl. (Please don't go girl). Please don't go darlin'. (Please don't go girl). Please don't go, baby, no"
i'll be loving you (forever),"Yeah. I'm not that kind of guy who can take a broken heart. So don't ever leave. I don't want to see us part. The very thought of losing you means. That everything. Would go down under. (Chorus:). I'll be loving you forever. Just as long as you want me to be. I'll be loving you forever. All this love's for you and me, yeah. (I'll be loving you). I'll be. (I'll be loving you). Loving you. (The things you do). Yeah, it's forever. (I'll be loving you). I'll be. (I'll be loving you). Loving you, yeah. I count the blessings that keep our love new. There's one for me. And a million for you. There's just so much that I want to say. But when I look at you. All my thoughts get in the way. (Chorus). We've learned to fall to every turn by now. This love will last forever. I can see it all now. (I'll be loving you). I'll be. (I'll be loving you). Loving you. (The things you do). Yeah, it's forever. (I'll be loving you). I'll be. (I'll be loving you). Loving only you, girl. Oh girl. I'll be loving only you. (I'll be loving you). (I'll be loving you)"
tonight,"Remember when we said: “girl, please don't go”. And how I'd be loving you forever.... Taught you 'bout hanging tough. As long as you've got the right stuff. Didn't we girls? Ooh ooh. Didn't we girls? Aah, aah. Well I guess it's a brand new day after all. Every time we hear the curtain call. See the girls with the curls in their hair. The buttons and the pins and the loud fanfares. Tonight, tonight. Remember when we traveled 'round the world. We met a lot of people and girls.... Fan mail from everywhere. Showed us how you care. Didn't it girls? Ooh, ooh. Didn't it girls? Aah, aah. Well I guess it's a brand new day after all. Every time we hear the curtain call. See the girls with the curls in their hair. The buttons and the pins and the loud fanfares. Tonight, tonight. Tonight, tonight. Tonight, tonight. Tonight, tonight. Sounds good. Hey fellas, let's do it. Here we go. La, la, la, la, la, la tonight. La, la, la, la, la, la tonight. Tonight, tonight. Tonight, tonight, alright. Tonight, tonight. Tonight, tonight, It's time to take it home now. La, la, la, la, la, la tonight. La, la, la, la, la, la tonight. La, la, la, la, la, la tonight. La, la, la, la, la, la tonight"
baby i believe in you,"Baby, I believe in you. And every little thing you do. Every time we kiss. It always feels like this. I believe in you. Baby, I believe in us. And every little inch of our trust. Whether I'm around,. You never let me down. I believe in you.. Maybe I might sound crazy. For the way I feel about you. But Baby you're just so amazing. And I'm so in love, girl, with you. I believe in you. Oh girl. There is something about you"
2 in the morning,"I know you must have had a long day. Cause at six o'clock I heard you say,. There was something that was on your mind. But you ain't told me and it's almost nine. Now it's nine o'clock and I thought we could talk. But you ain't givin' it, girl. Will this ever end? Girl, it's almost ten. Gotta know if you're mad at me before Grey's Anatomy. Cause we could drag this out all night, until.... Chorus:. It's 2 in the morning. Girl, what do you wanna do?. Do you wanna fight? Wanna say goodnight?. If you tell me you want it, this could be over.... Cause it's 2 in the mourning. Girl, what do you wanna do?. Do you wanna fight? Wanna say goodnight?. If you tell me you want it, this could be over.... Lights are out, don't wanna wake you so, I'm creepin'. in. I know you're hurt cause baby, I'm not sleepin' in. My favorite pair of boxers that you make look so hot,. girl. Girl, you look asleep but I know that you're not,. girl. And now it's 12 o'clock and I thought I should talk. But girl, you're not listening. Here we go again, you know I like it when.... You got your back to me,. But now when you're mad at me. Please look at me and say goodnight. Chorus. I wanna come over, baby, turn over. Girl, I've been laying up all night,. Just waiting for your kiss goodnight. Even if you're mad at me,. You know we shouldn't go to bed angry. Chorus. We could work it out, We could work it out. We could work it out, I wanna come over.... We could work it out, We could work it out. We could work it out, I wanna come over..."
you got it (the right stuff),"The right stuff. The right stuff. First time was a great time. Second time was a blast. Third time I fell in love. Now I hope it lasts. I can see it in your walk. Tell 'em when you talk. See it in everything you do. Even in your thoughts. You got the right stuff, baby. Love the way you turn me on. You got the right stuff, baby. You're the reason why I sing this song. All that I needed was you. Oh girl, you're so right. And all that I wanted was you. You made all my dreams come true. Chorus:. Oh, oh, oh, oh, oh. Oh, oh, oh, oh. Oh, oh, oh, oh, oh. The right stuff. Oh, oh, oh, oh, oh. Oh, oh, oh, oh. Oh, oh, oh, oh, oh. The right stuff. Your first kiss was a sweet kiss. Second kiss had a twist. Third and your fourth kiss. I don't want to miss. I can see it in your walk. Tell 'em when you talk. See it in everything you do. Even in your thoughts. You got the right stuff, baby. Love the way you turn me on. You got the right stuff, baby. You're the reason why I sing this song. All that I needed was you. In my life, you're so right. And all that I wanted was you. You made all...every one of my dreams come true. Repeat Chorus. The right stuff, girl, yeah baby, yeah. You know you got the right stuff. And girl, yeah, baby. You know, you know you got it, girl. In my life, you're so right. You made all...you know what you did"
angel,"Angel, angel. Angel, baby you make my dreams come true. Angel, spend my whole life pleasing you. Angel, baby you are the one for me. Angel, come and set my loving free, my loving free. Baby, you are the best thing in my life. You know you're sweeter that sugar and spice. Baby, you are for me, you know. Dream come true. I want to spend my whole life loving only you. There are so many things that we can do. Just give me the chance to prove it all to you. Angel, baby you make my dreams come true. Angel, spend my whole life pleasing you. Angel, baby you are the one for me. Angel, come and set my loving free. Everyday girl when I come home from school. I can hardly wait to talk to you. Nobody can ever take your love from me. I really love you girl and that's the way it's got to be. There are so many places we can go. Let's see a movie at the picture show. Angel, baby you make my dreams come true. Angel, spend my whole life pleasing you. Angel, baby you are the one for me. Angel, come and set my loving free. Yo (What's up man? What's up?). Is everybody here?. Yeah. Jon?. -I'm here. Donnie and Danny?. -We're here. Jordan and Joe?. - I'm here, and I'm here. Since everybody's here. Let's tell them what ANGEL means. -Word up. A, it means I'm always gonna love you. N, I'm never gonna leave you. G, is for your good good lovin'. E, is for your everlasting love. L, is 'cause I love you, really really love you. Angel, baby you make my dreams come true. Angel, spend my whole life pleasing you. Angel, baby you are the one for me. Angel, come and set my loving free, set it free. Angel, baby you make my dreams come true. Angel, spend my whole life pleasing you. Angel, baby you are the one for me. Angel, come and set my loving free, my loving free"
new kids on the block,"NEW KIDS ON THE BLOCK. . We know you've heard this beat many, many times. But we bet you've never heard it with such a vicious rhyme. A rhyme with class and plenty of clout. To show you sucher M.C.'s what it's about. We hear the same stories everywhere we go. Hey, it's Nynuk who stole the show. So for all you party people who are in a state of shock. We're The New Kids On The Block!. Chillin' on the corner, the first day we arrived. >From the looks of the hoods, we didn't think we'd survive. Second day we were there, we were walking down the street. With a rhyme in mind and a funky beat. . But when we turned into the alley, to our surprise. We saw a bunch of hoods right before our eyes. They looked us up and down once, twice and again. There must have been a hundred to a hundred and ten. So, I looked over my shoulder right at my friend. He said 'Nice knowing you' but this is the end. . So we battened down the hatches and prepared to fight. Then all of a sudden I seen the light. The time was right, the time to rock. 'Cause everybody knows, we're The New Kids On The Block.. . We're also devistating when we're on stage. The fans start screaming and yelling with rage. With mic's in hand and rhymes with clout. So watch it sucker MCs or we're gonna turn you out. . We never talk trash, our rhymes are clean. Our rhymes are never vague and we say nothing obscene. So any sucker MCs who wanna battle us. Can you go at least 20 lines without a cuss?. Cause once we start to jam, you'll be in a state of shock. Clear the way party people, we're The New Kids On The Block. . Move it sucker MCs or you're gonna feel the wrath. So don't get caught up in the aftermath. Cause we're the funky MCs of the hip hop craze. Our rhymes are done by law and are sure to amaze. . With a DJ cutting records, steady cross bass. We'll leave all you party people stuck in a daze. I say we're fresh, new and you know it's true. Now let me introduce you to the rest of the crew. . J, he's fresh. He's the master of mix. There ain't no rhyme that he can't fix. Spinster's next, he's the king of the spin. And if you wanna battle, you ain't gonna win. . Then there's Popeye, but we call him Jordan. The kid's so fresh, there'll never be boredom. Next is jon, whose word is true. But the party people know him as the runner GQ. . I'm Dexter P. the wizard of word. I'm the greatest MC that you've ever heard. Now that you know we're a gang and you know we don't play"
happy birthday,"Happy birthday to you, this is your day.. On this day for you we're gonna love you in every way.. This is your day, your day, happy birthday to you, to you, to you.. Happy birthday to you, you're still young.. Age is just a number, don't you stop having fun.. This is your day, your day, happy birthday to you.. This day only comes once every year,. because you're so wonderful with each and everything you do, hey!. Happy birthday to you, this is your day.. On this day for you we're gonna love you in every way.. This is your day, your day, happy birthday to you, to you.. This day is only for you, 'cause you're so special in every way,"
