close (feat. tove lo),"Oh damn, oh damn, oh damn I'm so perplexed. With just one breath, I'm locked in. Oh damn, oh damn, oh damn I'm so perplexed. On that, it's almost shocking. I know, I know you know you're scared. Your heart, your mind, your soul, your body. They won't, they won't, they won't be careful. But I guess that you don't know me. Cause if I want you, and I want you, babe. Ain't going backwards, won't ask for space. Cause space is just a word. Made up by someone who's afraid to get too. Close, ooh. Oh, so close, ooh. I want you close, ooh. Cause space is just a word. Made up by someone who's afraid to get close. Oh, so close, ooh. I want you close, ooh. Oh I want you close. And close ain't close enough, no. Oh man, oh man. I am not really known for ever being speechless. But now, but now somehow. My words roll off my tongue right onto your lips. I'm keeping cool while you keep smiling. Saying all the things I'm thinking. Oh man, oh man I am like you. So I want proof of what you're feeling. Cause if I want you, and I want you, babe. Ain't going backwards, won't ask for space. Cause space is just a word. Made up by someone who's afraid to get too. Close, ooh. Oh, so close, ooh. I want you close, ooh. Cause space was just a word. Made up by someone who's afraid to get close. Oh, so close, ooh. I want you close, ooh. Oh I want you close. And close ain't close enough, no. Cause if I want you, and I want you, babe. Ain't going backwards, won't ask for space. Cause space was just a word. Made up by someone who's afraid to get too. Close. Close, ooh. Oh, so close, ooh. I want you close, ooh. Cause space was just a word. Made up by someone who's afraid to get close. Oh, so close, ooh. I want you close, ooh. Oh, I want you close. And close ain't close enough, no. Yeah baby. Tell me baby what you want. Oh, I want you close. And close ain't close enough, no"
right now (with robin schulz),"You are my water, my sun, my moon and stars. Your heart is all I need. It's dark when you're gone. I want to be where you are, where you are (na, na). Every time you go away, you're always tryna fight. How bad I want you, bad I want you. I could try to fill the space with someone else tonight. But I don't want to (I don't want to) , I don't want to. Right now, you know I miss your body. So I won't kiss nobody until you come back home. And I swear, the next time that I hold you. I won't let you go nowhere. You'll never be alone, I'll never let you go. You lead, I follow, no sleep. That's what you said (that's what you said). that's what you said (that's what you said). And you should know. You leave, I'm hollow. I need you in my bed (I need you in my). you in my bed (I need you in my). Every time you go away, you're always tryna find. How bad I want you (ayy) , bad I want you (bad I want you). I could try to fill the space with someone else tonight. But I don't want to (I don't want to) , I don't want to (oh). Right now, you know I miss your body. So I won't kiss nobody (won't kiss nobody, baby). until you come back home (oh). And I swear, the next time that I hold you. I won't let you go nowhere (let go). You'll never be alone (never be alone) , I'll never let you go. Yeah, oh, yeah, ohh, no. I will never let you go, no, no. Yeah, oh, no. Right now, you know I miss your body. So I won't kiss nobody until you come back home. And I swear, the next time that I hold you. I won't let you go nowhere. You'll never be alone. Right now, you know I miss your body. So I won't kiss nobody (nobody) , until you come back home. And I swear, the next time that I hold you (ooh). I won't let you go nowhere (I won't let you go). You'll never be alone (oh) , I'll never let you go. Oh, you'll not be alone, ooh, yeah. I'll be there, I'll never let you go"
jealous,"I don't like the way he's looking at you. I'm starting to think you want him too. Am I crazy, have I lost ya?. Even though I know you love me. Can't help it. I turn my cheek, music up. And I'm puffing my chest. I'm getting ready to face you. Can call me obsessed. It's not your fault that they hover. I mean no disrespect. It's my right to be hellish. I still get jealous. Cause you're too sexy, beautiful. And everybody wants a taste. That's why (that's why). I still get jealous. Cause you're too sexy, beautiful. And everybody wants a taste. That's why (that's why). I still get jealous. I wish you didn't have to post it all. I wish you'd save a little bit just for me. Protective or possessive (yeah). Call it passive or aggressive. I turn my cheek, music up. And I'm puffing my chest. I'm getting ready to face you. Can call me obsessed. It's not your fault that they hover. I mean no disrespect. It's my right to be hellish. I still get jealous. Cause you're too sexy, beautiful. And everybody wants a taste. That's why (that's why). I still get jealous. Cause you're too sexy, beautiful. And everybody wants a taste. That's why (that's why). I still get jealous. You're the only one invited. I said there's no one else for you. Cause you know I get excited (yeah). When you get jealous too. I turn my cheek, music up. And I'm puffing my chest. I'm getting ready to face you. Can call me obsessed. It's not your fault that they hover. I mean no disrespect. It's my right to be hellish. I still get jealous. Cause you're too sexy, beautiful. And everybody wants a taste. That's why (that's why). I still get jealous. Cause you're too sexy, beautiful. And everybody wants a taste. That's why (that's why). I still get jealous. Oh (that's why). I still get jealous. Oh (that's why). I still get jealous"
who i am,"I wanna someone to love me. For who I am. I wanna someone to need me,. Is that so bad?. I wanna someone to love me. For who I am. Nothing make sense,. nothing make sense anymore. Nothing is right,. Nothing is right when you're gone. I'm losing my breath,. I'm losing my right to be wrong. I'm frightened to death. I'm frightened that I won't be strong. I wanna someone to love me. for who I am. I wanna someone to need me,. Is that so bad?. I wanna break all the madness,. But it's all I have. I wanna someone to love me. For who I am. Shakin it off,. Shaking off all of the pain. Breaking my heart,. Breaking my heart once again. I wanna someone to love me. For who I am. I wanna someone to need me,. Is that so bad?. I wanna break all the madness,. But it's all I have. I wanna someone to love me. For who I am. For who I am. I wanna someone to love me. For who I am. I wanna someone to need me,. Is that so bad?. I wanna break all the madness,. But it's all I have. I wanna someone to love me. For who I am"
introducing me,"I'm good at wasting time. I think lyrics need to rhyme. And you're not asking. But I'm tryna grow a mustache. I eat cheese. But only on pizza, please. And sometimes on a homemade quesadilla. Otherwise it smells like feet to me. And I, I really like it. When the moon looks like a toenail. And I love it when you say my name. If you wanna know, here it goes, gonna tell you this. A part of me that shows. If we're close gonna let you see. Everything. But remember that you asked for it. I'm tryna do my best to impress. But it's easier to let you. Take a guess at the rest. But you wanna hear the things in my brain. My heart. Well you asked for it. For your perusing. At times confusing. Slightly amusing. Introducing me. Do-do do-do-do-do-do. Do-do do-do-do-do-do. La-da-da-da la-da-da-da-da-da-da-da-da. I never trust a dog to watch my food. And I like to use the word ""dude"". As a noun or an adverb or an adjective. And I, I've never been into cars. I like really cool guitars and superheros. And checks with lots of zeros on them. I love the sound of violins and making someone. Smi-I-I-ile. If you wanna know, here it goes, gonna tell you this. A part of me that shows. If we're close gonna let you see. Everything. But remember that you asked for it. I'm tryin' to do my best to impress. But it's easier to let you. Take a guess at the rest. But you wanna hear the things in my brain. My heart. Well you asked for it. For your perusing. At times confusing. Possibly amusing. Introducing me. Well, you probably know more than you ever wanted to. So be careful when you ask next ti-I-I-ime. So, if you wanna know, here it goes, gonna tell you this. A part of me that shows. If we're close gonna let you see. Everything. But remember that you asked for it. I'm tryna do my best to impress. But its easier to let you. Take a guess at the rest. But you wanna hear the things in my brain. My heart. Well you asked for it. For your perusing. At times confusing. hopefully amusing. Introducing me. Do-do do-do-do-do-do. Do-do do-do-do-do-do. Introducing me"
jealous (feat. tinashe),"Nick J, Tinashe, it's the remix. I don't like the way he's looking at you. I'm starting to think you want him too. Am I crazy? Have I lost ya. Even though I know you love me. Can't help it. I turn my cheek, music up. And I'm puffing my chest. I'm getting ready to face you. Can call me obsessed. It's not your fault that they hover. I mean no disrespect. It's my right to be hellish. I still get jealous. Cause you're too fucking beautiful. And everybody wants a taste. That's why (that's why). I still get jealous. Cause you're too fucking beautiful. And everybody wants your sex. That's why (that's why). I still get jealous. Listen. I'm the type to never sweat no chick. Ain't nobody but you. Got me stressin' this way and you know. Now the struggle's always real. Girls be stepping in my space. All up in your face. How am I supposed to feel?. I turn my cheek, music up. And I'm puffing my chest. I'm getting ready to face you. Can call me obsessed. It's not your fault that they hover. I mean no disrespect. It's my right to be hellish. I still get jealous. Cause you're too fucking beautiful. And everybody wants a taste. That's why (that's why). I still get jealous. Cause you're too fucking beautiful. And everybody wants your sex. That's why (that's why). I still get jealous. You're the only one invited. I said there's no one else for you. 'Cause you know I get excited (yeah). When you get jealous too. I turn my cheek, music up. And I'm puffing my chest. I'm getting ready to face you. Can call me obsessed. It's not your fault that they hover. I mean no disrespect. It's my right to be hellish. I still get jealous. Cause you're too fucking beautiful. And everybody wants a taste. That's why (that's why). I still get jealous. Cause you're too fucking beautiful. And everybody wants your sex. That's why (that's why). I still get jealous. That's why (that's why). I still get jealous. That's why (that's why). I still get jealous"
chains,"With her wine-stained lips, yeah she's nothing but trouble. Cold to the touch, but she's warm as the devil. Gave her my heart but she wanted my soul. She tasted a break and I can? t get more. You got me in chains. You got me in chains for your love. But I wouldn't change. No, I wouldn't change this love. You got me in chains. You got me in chains for your love. But I wouldn't change. No, I wouldn't change this love. Tried to break the chains. But the chains only break me. Tried to break the chains. But the chains only break me. Alone in the night 'til she knocks on my door. Wasted again but I can't say no (no). Baby, tell me why, why you do, do me wrong?. Baby, tell me why, why you do, do me wrong?. Gave you my heart, but you took my soul. You got me in chains. You got me in chains for your love. But I wouldn't change. No, I wouldn't change this love. You got me in chains. You got me in chains for your love. But I wouldn't change. No, I wouldn't change this love. Tried to break the chains. But the chains only break me. Tried to break the chains. But the chains only break me. Baby, tell me why, why you do, do me wrong?. Baby, tell me why, why you do, do me wrong?. Gave you my heart, but you took my soul. You got me in chains. You got me in chains for your love. But I wouldn't change. No, I wouldn't change this love. You got me in chains. You got me in chains for your love. But I wouldn't change. No, I wouldn't change this love. Tried to break the chains. But the chains only break me"
give love a try,"You, you like driving on a Sunday. You, you like taking off on Monday. You, you're like a dream, a dream come true. I, I'm just a face you never notice. Now I'm just trying to be honest. With myself, with you, with the world. You might think that I'm a fool. For falling over you. So tell me what can I do to prove to you. That it's not so hard to do. Give love a try, one more time. 'Cause you know that I'm on your side. Give love a try, one more time. How did it play out like a movie,. Now every time its beat can move me,. And I can't get your smile off my mind. In your eyes, when i saw them for the first time,. And that I was gonna love you for a long time. With a love so real, so right. 'Cause you might think that I'm a fool. For falling over you. So tell me what can i do to prove to you. That it's not so hard to do. Give love a try, one more time. 'Cause you know that I'm on your side. Give love a try, one more time. One more time"
voodoo,"Oh man down. You're shaking his solid ground. You're running me wild. And breaking me down, down. Desperate now. Way you do it, I don't know how. You're drinking me dry. Throwin' fuel on a fire, fire. And we ain't enough. If this is what you call love. I swear I'm better alone. I feel ya claws sinkin' in. Gettin' under my skin like. Voodoo, ee-yea ee-yea. V-V-Voodoo, ee-yea ee-yea. You got me too attached, keep me comin' right back. And just like that, got me comin' right back like. Voodoo, ee-yea ee-yea. V-V-Voodoo, ee-yea ee-yea. You got me too attached, keep me comin' right back. And I know that I ain't fuckin' with your voodoo. Voodoo do voo voo voo voo voo. And all my life. Can't hold on to you this tight. Phasin' you out. Just a face in the crowd, baby. And this ain't enough. If this is what you call love. I think I'm better alone. I feel your claws sinkin' in. Getting under my skin like. Voodoo, ee-yea ee-yea. V-V-Voodoo, ee-yea ee-yea. You got me too attached, keep me comin' right back. And just like that, got me comin' right back like. Voodoo, ee-yea ee-yea. V-V-Voodoo, ee-yea ee-yea. You got me too attached, keep me comin' right back. And I know that I ain't fuckin' with your voodoo. Fakin' the rush. Is almost like callin' it love. So why are you callin' it love?. Yeah why are you callin' it love?. Voodoo, ee-yea ee-yea. V-V-Voodoo, ee-yea ee-yea. You got me too attached, keep me comin' right back. And just like that, got me comin' right back like. Voodoo, ee-yea ee-yea. V-V-Voodoo, ee-yea ee-yea. You got me too attached, keep me comin' right back. And I know that I ain't fuckin' with your voodoo. Voodoo. Oh no. I ain't fuckin' with your voodoo"
chainsaw,"I'll take a chainsaw to the sofa. Where I held your body close for so long. So long. Walk in the house, lights are off. In the closet by the door, there's your coat. I wasn't thinking of you before. Too many rooms in this house so I keep going out. What the hell is that about?. I gotta find a way to be okay. Maybe I'll just take a chainsaw to the sofa. Where I held your body close for so long. So long. I'm gonna break the fucking china. Cause it's just one more reminder. You're gone, you're gone. When I get home, tv on. Drink in my glass, better make it strong. Some nights wanna fill this place. With a tight dress and a pretty face. Keep find things you left on purpose. Did you plan, that your timing's perfect. I gotta find a way to be okay. Maybe I'll just take a chainsaw to the sofa. Where I held your body close for so long. So long. I'm gonna break the fucking china. Cause it's just one more reminder. You're gone, you're gone. We were building brick by brick. Now it's just a quicksand home, yeah. So I'll take a chainsaw to the sofa. Where I held your body close for so long, so long. Yeah, so long. I can put a sign in the lawn. But it would mean I would wanna let you go. And I don't wanna let you go. I can put a sign on the lawn. But it would mean I would wanna let you go. And I don't wanna let you go. I'll just take a chainsaw to the sofa. Where I held your body close for so long. So long. I'll burn everything that binds us. Take a lighter to the mattress you're on. We were building brick by brick. Now it's just a quicksand home, yeah. I'll take a chainsaw to the sofa. Where I held your body close for so long, so long. Yeah, so long"
