hard white,"Work hard, just to get half back. Used to work hard, just to get half back. Now I'm gettin' to it that way. (Straight up, straight up). I ain't coming through unless the bag straight. I used to work hard just to get half back. Used to work hard, just to get half back. Ayo, just last week I told 'em to pick a side. I bust shots, don't duck if it don't apply. Bae out in Paris, he told me to pick a ride. Sike, made you look, I still didn't pick a guy. I'm the trophy of the game, everybody tryna win me. Me, Olivier, Jourdan Dunn, my baby, Winnie. Partying in Paris, these bitches is embarrassed. 'Cause they know I'm the queen. I still didn't pick an heiress. Mirror, mirror, who's the fairest?. You the motherfucking fairest, Nicki. What I drop on this watch?. I don't know, about a hundred-fifty. I'm who they wishin' to be. These hoes is on the 'Gram, Nicki pitchin' a ki'. 'Bout to cop Neverland, Michael up in the tree. You got bars and still broke?. You might as well took a plea, uh. Be in the bando. Or would you rather move weight, Don Pablo? Uh. Work hard, just to get half back. Used to work hard, just to get half back. Now I'm gettin' to it that way (Straight up, straight up). I ain't coming through unless the bag straight. I used to work hard just to get half back. Used to work hard, just to get half back. Ayo, just last week I told 'em they run done. My legacy could never be undone. I'm a prodigy, R. I. P Thun-Thun. Got these bitches shook. They shocked, no stun-gun. I'm the billy, billy goat, the GOAT, the GOAT's here. Vintage Hermès by Jean Paul Gaultier. Lagerfeld customize my gold chair. I run the point, you bitches just go cheer. Uh, look at my knockoffs, I told 'em knock it off. Anything that Nicki do, you know they knock it off. Put my crown on again, and I'ma knock it off. Anything with Nicki in it, they gon' pocket off. I mean profit off, my plug drop it off. You see them copyin' my hair, tell 'em, ""Chop it off"". Uh, bad gyal whip, the top is off. You nuh see him downgrade when mi drop 'em off. Uh, I ain't never play the ho position. I ain't ever have to strip to get the pole position. Hoes is dissin'? Okay, these hoes is wishin'. You're in no position to come for O's position. I ain't movin' weight. But I'm in the dope position. I ain't movin' weight. But I'm in the dope position. Work hard, just to get half back. Used to work hard, just to get half back. Now I'm gettin' to it that way. (Straight up, straight up). I ain't coming through unless the bag straight. I used to work hard just to get half back. Used to work hard, just to get half back. W-w-w-w-w-work hard. W-w-w-w-w-work hard. J-j-just last week, I told 'em to pick a side. I-I-I bust shots, don't duck if they don't apply"
bust down barbiana,"Bust down, Barbiana, bust down, Barbiana. Bust down and pick that shit up. Bust down and pick that shit up. Bust it open and pick that shit up. Bust it open and pick that shit up. Uh, ayo, I been a bad bitch, cockiana (Cockiana). And I'm still winnin', Pacquiana (Pacquiana). Percocets, popiana, killin' everybody beat. Thank you next, Ariana (Ariana). You gon' have to give me topiana (Topiana). If you tryna get some sloppiana (Sloppiana). I call my opps Oppiana (Oppiana). Then shut down Yves Saint, Lauriana (Lauriana). I don't want you on my page, blockiana (Blockiana). Flow tailor made, like Teyana (Like Teyana). They copyin' my style, copiana. Roger that, over copiana. Benihana to Katana, bitch, I been a Donna. He screamin' ""My government, "" O-Onika Tanya. You look like Nicki now, still you tacky-ana. To keep it 100, bitch you wacky-ana. In the hood like Kiana, or a Tatiana. Immigrant from Trinidad, rep Americana. I'm 'bout to shut it down at Met Galiana. You peanut head bitches is always jellyana. I'm 'bout to get a ring in my bellyana. Tattoo my man name. Then give him some Beckiana (Beckiana). 85, comma, plus three zeros (Three zeros). Plus another comma plus three zeros (Three zeros). Then add a dot (Dot). Bop a dot dot, bop a dot dot doh. Been at the top. Before this song came out. Bitch you been a thot (Been a thot). Bust down, Barbiana, bust down, Barbiana (Barbiana). Then back that shit up (That shit up). On the gang, then back that shit up (That shit up). On the mags, then back that shit up (That shit up). Bust down, Barbiana, bust down (Bust down). Then pick that shit up (That shit up). On the gang, Barbiana (Barbiana). Bust down, bust down, Barbiana (Barbiana). Uh. Bust down and pick that shit up. Bust down and pick that shit up. Bust it open and pick that shit up. Bust it open and pick that shit up"
boss ass bitch (feat. ptaf),"I'm a boss-ass bitch, bitch, bitch, bitch, bitch, bitch, bitch. I'm a boss-ass bitch, bitch, bitch, bitch, bitch, bitch, bitch. I'm a boss-ass bitch, bitch, bitch, bitch, bitch, bitch, bitch. I'm a boss-ass bitch, bitch, bitch, bitch, bitch, bitch, bitch. I'm a boss-ass. Yo, I employ these niggas. They be grown men but I little boy these niggas. Want the cookie so I gotta Chips Ahoy! these niggas. But I never iphone, Android these niggas. Use rubbers with 'em, I don't never raw these niggas. More money than 'em, I'm-a son all these niggas. I ain't shoppin' but it's like I gotta store these niggas. Put 'em on time out and never call these niggas. Pussy like girls, damn, is my pussy gay?. It's a holiday: Play With My Pussy Day. Pussy this, pussy that, pussy taken. Pussy ride dick like she a Jamaican. Pussy stay warm, pussy on vacation. You loose bitches need a pussy renovation. You could eat it with a pussy reservation. Pussy 'bout to get a standin' ovation. Clap, clap-clap for this pussy, nigga. But I can't give this pussy to a pussy nigga. Aw, man, slow down. I'm-a get you something that you could hold down. But I can't give you head, I'm too ill for that. I'm-a make a movie still, kill Bill for that. Cause what the fuck?! This ain't Chanel, nigga, custom done?. What the fuck, I ain't smokin' hot?! Bust me down?. You the same clown nigga that was runnin' me down?. Now you all up in the sauce cause you wanna be down. I said, rule #1 to be a boss-ass bitch. Never let a clown nigga try to play you. If he play you, then rule #2. Fuck his best friends then make 'em yes men. And get a dick pic, and then you press send. And send a red heart, and send a kissy face. And tell him that his friends love how your pussy taste. And that's rule 3: I'm the school T. My wrist look like I am a jewel thief. But that's just cause I am a boss bitch. That macaroni cheese and grill my swordfish. Bitch, bitch, bitch, bitch, bitch, bitch, bitch. I'm a boss-ass bitch, bitch, bitch, bitch, bitch, bitch, bitch. I'm a boss-ass bitch, bitch, bitch, bitch, bitch, bitch, bitch. If he catch my drift he could catch my jizz. I be out in Cali runnin' all my businesses. I be out in Cali watchin' back my Christmas vids. Everytime I fuck 'em, yes, I tell him this is his. Looked down at it, and I said, ""This is big!"". Man, my game so cold I said, ""This is rigged"". Best flow in the game, this is not a lie. Tell 'em bitches cross their T's and dot their I. I came back, bitches' flow still boring. I said ""Damn, man, go back to whoring"". You know I still lead the league in scoring. You know I'm still bad and I'm still foreign. I'm-a give bitches time to get hot. Chill out at the game, New York, knickerbock. If they actually got bars, they could rock. But if not, I'm-a destroy chicks a lot. Oh, but on the real, I'm in album mode. Just dropped this freestyle before these files get old. When I lay low, bitches be safe and sound. When I come back they better not make a sound. I hear you. When I'm back on the prowl. You bitches better have my money. Cause I'm comin' for you. Oh, oh. Uh, okay. I order rich bitch sauce. Rich bitch cold: got a rich bitch cough. Which bitch want it? I go rich bitch off. Cause you know my style gettin' bit, ripped-off. When I'm at the restaurant: rich bitch sauce. Rich bitch cold, I got a rich bitch cough. Which bitch want it? I go rich bitch off. And you know my style gettin' bit, ripped-off. Off! Off! Off! Off! Off! Off! Off!. I'm a bo-I'm a boss. Ask Lil Wayne who the five-star bitch is. Ask Lil Wayne who the five-star bitch is. Ask Lil Wayne, ask Lil Wayne. Ask Lil Wayne who the five-star bitch is. Ask Birdman who the five-star bitch is. Ask Young Money who the five-star bitch is. Who the 5 star bitch is, who the five-star bitch is. Ask Birdman who the five-star bitch is. Ask Lil Wayne, ask Lil Wayne. Ask Lil Wayne who the five-star bitch is"
anaconda,"My anaconda don't. My anaconda don't. My anaconda don't want none. Unless you got bunz, hun. Boy toy named Troy, used to live in Detroit. Big dope dealer money, he was gettin' some coins. Was in shootouts with the law, but he live in a palace. Bought me Alexander McQueen. He was keeping me stylish. Now that's real, real, real. Gun in my purse, bitch, I came dressed to kill. Who wanna go first? I had them push daffodils. I'm high as hell, I only took a half a pill. I'm on some dumb shit. By the way, what he say?. He can tell I ain't missing no meals. Come through and fuck him in my automobile. Let him eat it with his grills. And he tellin' me to chill. And he telling me it's real, that he love my sex appeal. Say he don't like em boney. He want something he can grab. So I pulled up in the Jag. And I hit him with the jab like. Dun-d-d-dun-dun-d-d-dun-dun. My anaconda don't. My anaconda don't. My anaconda don't want none. Unless you got bunz, hun. Oh my gosh, look at her butt. Oh my gosh, look at her butt. Oh my gosh, look at her butt. (Look at her butt). Look at, look at, look at. Look, at her butt. This dude named Michael used to ride motorcycles. Dick bigger than a tower, I ain't talking about Eiffel's. Real country-ass nigga. Let me play with his rifle. Pussy put his ass to sleep. Now he calling me NyQuil. Now that bang, bang, bang. I let him hit it cause he slang cocaine. He toss my salad like his name Romaine. And when we done, I make him buy me Balmain. I'm on some dumb shit. By the way, what he say?. He can tell I ain't missing no meals. Come through and fuck him in my automobile. Let him eat it with his grills. And he telling me to chill. And he telling me it's real, that he love my sex appeal. Say he don't like em boney. He want something he can grab. So I pulled up in the Jag. Mayweather with the jab like. Dun-d-d-dun-dun-d-d-dun-dun. My anaconda don't. My anaconda don't. My anaconda don't want none. Unless you got bunz, hun. Oh my gosh, look at her butt. Oh my gosh, look at her butt. Oh my gosh, look at her butt. (Look at her butt). Look at, look at, look at. Look, at her butt. Little in the middle but she got much back. Little in the middle but she got much back. Little in the middle but she got much back. (Oh my God, look at her butt). My anaconda don't. My anaconda don't. My anaconda don't want none. Unless you got bunz, hun. Don't my anaconda don't. My anaconda don't. Don't want none. Unless you got buns, hun. Oh my gosh, look at her butt. Oh my gosh, look at her butt. Oh my gosh, look at her butt. (Look at her butt). Look at, look at, look at. Look, at her butt. Yeah, he love this fat ass, hahahahahaha!. Yeah! This one is for my bitches. With a fat ass in the fucking club. I said, where my fat ass big bitches. In the club?. Fuck the skinny bitches!. Fuck the skinny bitches in the club!. I wanna see all the big fat ass. Bitches in the muthafuckin' club. Fuck you if you skinny bitches, what? Kyuh. Hahaa, hahaa. I got a big fat ass (ass, ass, ass). Come on!"
good form,"Eardrummers. Uh, uh, huh, uh, huh. Uh, yo, hold up, hold up. Uh, uh, uh, uh, uh. Yo hold up, hold up, hold up, okay, hold up. You see a bad bitch coming, tell yo ass to hold up. I'm in that new new meeting Nunu when I roll up. I told the valet, ""Park the Benz and bring the Rolls up"". Yo hold up, hold up, hold up, okay, hold up. He see me lookin' pretty every time he scroll up. Might gotta let the blicky hit you if you stroll up. Now put your hands up, it's a hold up. Run me the money. 'Cause I be the baddie B, Barbie Tingz. Banging body B, everybody be on my D. Yo I gotta be in reality, suck a D if you doubted me. Back of the back, back of the back. Back of the back, back of the back. Who on Barbie D? Who on Barbie D? Everybody. Who you gotta see? Honestly, on my odyssey. I'm the baddest B, I don't even know how to speak. Hat to the hat to the back and relax. you in the back of the 'Bach. See a bitch got more coins than a game room. So we ain't ever hatin' in TheShadeRoom. See I keep my sons in a playroom. So me and you ain't ever in the same room. I tell him eat the cookie 'cause it's good for him. And when he eat the cookie he got good form. He know I don't ever cheat because I'm good to him. Might gotta have his baby, nurses yellin' push for him. You see I let him eat the cookie 'cause it's good for him. And when he bite, he eat the cookie he got good form. He know that when I'm pullin' up I'm in a good foreign. I be like ooh he love me, ooh he love me, good form. Come on, come on, come on. I be like ooh he love me, ooh he love me, good form. I slick, slick drop the top like lip slips. So he tryna smash like when the whip flips. I hit licks just to floss with this wrist. And when I leave my bitches we all say, ""Kiss kiss"". I'm in that new new De Larenta, tryna land Bugs Bunny. 'Cause all I want is karats and some big drug money. I'm only loyal to the niggas that'll bust guns for me. The jig up, it's a stick up, money, the money. 'Cause I be the baddie B, Barbie Tingz. Bangin' body B, everybody be on my D. Yo I gotta be in reality, suck a D if you doubted me. Back of the back, back of the back. Back of the back, back of the back. Who on Barbie D? Who on Barbie D? Everybody. Who you gotta see? Honestly, on my odyssey. I'm the baddest B, I don't even know how to speak. Hat to the hat to the back and relax. you in the back of the 'Bach. See a bitch get more press than a key pad. Before you suck me off, get a knee pad. See I pull the strings like a tea bag. I'm prolly with my jeweler playin' freeze tag. I tell him eat the cookie 'cause it's good for him. And when he eat the cookie he got good form. He know I don't ever cheat because I'm good to him. Might gotta have his baby, nurses yellin' push for him. You see I let him eat the cookie 'cause it's good for him. And when he bite, he eat the cookie he got good form. He know that when I'm pullin' up I'm in a good foreign. I be like ooh he love me, ooh he love me, good form. Come on, come on, come on. I be like ooh he love me, ooh he love me, good form. Come on"
monster,"[Bon Iver]. I shoot the lights out. Hide til its bright out. Whoa, just another lonely night. Are you willing to sacrifice your life?. [Rick Ross]. Bitch I'm a monster no good blood sucker. Fat muthaf-cker now look who's in trouble. As you run through my jungle all you hear is rumbles. Kanye West sample, here's one for example. [Chorus]. Gossip gossip. N-ggas just stop it. Everybody know (I'm a muthaf-cking monster). I'ma need to see your f-cking hands at the concert. I'ma need to see your f-cking hands at the concert. Profit profit, n-gga I got it. Everybody know I'm a muthaf-cking monster. I'ma need to see your f-cking hands at the concert. I'ma need to see your f-cking hands at the. The best living or dead hands down huh?. Less talk more head right now huh?. And my eyes more red than the devil is. And I'm bout to take it to another level bitch. There you go again, aint nobody as cold as this. Do the rap and the track tripled up and no assist. But my only focus is staying on some bogus sh-t. Argue with my older bitch acting like I owe her sh-t. I heard the people sayin raps are gettin trap mayne. Bought the chain that always give me back pain. F-ckin up my money so yeh I had to act sane. Chi n-gga but he's hold of his accent. She came up to me and said this the number 2. If you wanna make it number one your number 2 now. This that goose an' malibu I call it Malibooya. God damn Yeezy How I hit em with the new style. Know that muthaf-cker well, what you gon do now. Whatever ever I wanna do, gosh its cool now. Nah gonna do, uhh its a new now. Think yo muthaf-cker really reall need to cool down. Cause you will never get on top off this. So mommy best advice is to get on top of this. Have you ever had sex with a pharoah. I put the p-ssy in a sarcophagus. Now she claiming I bruise her esophagus. Head of the class and she just want a swallowship. I'm living the future so the presence is my past. My presence is a present kiss my ass. [Kanye West - Chorus]. Gossip gossip. N-ggas just stop it. Everybody know (I'm a muthaf-cking monster). I'ma need to see your f-cking hands at the concert. I'ma need to see your f-cking hands at the concert. Profit profit, n-gga I got it. Everybody know I'm a muthaf-cking monster. I'ma need to see your f-cking hands at the concert. I'ma need to see your f-cking hands at the. [Jay-Z]. Sasquatch, Godzilla, King Kong. Lochness, Goblin, Ghoul, a zombie with no conscience. Question what do all these things have in common. Everybody knows I'm a muthaf-cking monster. Conquer, stomp ya, stop your silly nonsense. None of you n-ggas know where the swamp is. None of you n-ggas have seen the carnage that I've seen. I still here fiends scream in my dream. Murder murder in black convertibles. I kill a block I murder avenues. Rape and pillage a village, women and children. Everybody wanna know what my achilles heel is. LOVE I dont get enough of it. All I get is these vampires and blood suckers. All I see is these n-ggas I've made millionnaires. Milling about, spilling there feelings in the air (shot at Beanie?). All I see is these fake f-cks with no fangs. Tryna draw blood with my ice cold veins. I smell a massacre. Seems to be the only way to back you bastards up. [Chorus]. Gossip gossip. N-ggas just stop it. Everybody know (I'm a muthaf-cking monster). I'ma need to see your f-cking hands at the concert. I'ma need to see your f-cking hands at the concert. Profit profit, n-gga I got it. Everybody know I'm a muthaf-cking monster. I'ma need to see your f-cking hands at the concert. I'ma need to see your f-cking hands at the. [Nicki Minaj]. Pull up in the monster. Automobile gangster. With a bad b-tch that came from Sri Lanka. Yeah I'm in that Tonka, colour of Willy Wonka. You could be the King but watch the Queen conquer. Ok first things first I'll eat your brains. Then I'mma start rocking gold teeth and fangs. Casue that's what a muthaf-cking monster do. Hairdresser from milan, thats what monster do. Monster Giuseppe heel that's the monster shoe. Young money is the roster and the monster crew. And I'm all up all up all up in the bank with the funny face. And if I'm fake I aint notice cause my money aint. So let me get this straight wait I'm the rookie. But my features and my shows ten times your pay. 50k for a verse no album out!. Yeah my money's so tall that my barbie's gotta climb it. Hotter than a middle eastern climate. Find it 20 mataran dutty whine it. While it, nicki on a pit while I sign it. How these n-ggas so one-track minded. But really really I don't give a F-U-C-K. Forget barbie f-ck nicki she's fake. She's on a diet but my pockets eating cheese cake. And I'll say boy the Chucky is Child's play. Just killed another career it's a mild day. Besides 'Ye they can't stand besides me. I think me, you and (?) menage friday. Pink wig thick ass give em whip lash. I think big get cash make em blink fast. Now look at what you just saw I think this is what you live for. Aaahhhh, I'm a muthaf-cking monster!. [Bon Iver]. I-I crossed the line-line. And I'll-I'll let God decide-cide. I-I wouldn't last these shows. So I-I am headed home. (repeated)"
chun-li,"Ayo, look like I'm goin' for a swim. Dunk on 'em, now I'm swingin' off the rim. Bitch ain't comin' off the bench. While I'm comin' off the court fully drenched. Here, get some haterade, get ya thirst quenched. Styled on 'em in this Burberry trench. These birds copy every word, every inch. But gang gang got the hammer and the wrench (brr). I pull up in that quarter milli off the lot. Oh, now she tryna be friends like I forgot. Show off my diamonds like I'm signed by the Roc. Ain't pushin' out his babies 'til he buy the rock. Ayo, I been on, bitch, you been conned. Bentley tints on, Fendi prints on. I mean I been Storm, X-Men been formed. He keep on dialin' Nicki like the Prince song. I-I-I been on, bitch, you been conned. Bentley tints on, Fendi prints on. Ayo, I been off, Lara been Croft. Plates say Chun-Li, drop the Benz off. Oh, I get it, they paintin' me out to be the bad guy. Well when's the last time. you see a bad guy do the rap game like me?. I went and copped the chopsticks. put it in my bun just to pop shit. I'm always in the top shit, box seats. bitch, fuck the gossip. How many a' them coulda did it with finnesse?. Now everybody like: She really is the best. You play checkers, couldn't beat me playin' chess. Now I'm about to turn around and beat my chest. Bitch, it's King Kong, yes, it's King Kong. Bitch, it's King Kong, this is King Kong. Chinese ink on, Siamese links on. Call me 2 Chainz, name go ding dong. Bitch, it's King Kong, yes, I'm King Kong. This is King Kong? Yes, Miss King Kong. In my kingdom wit my Timbs on. How many championships? What? Six rings on. They need rappers like me, they need rappers like me. So they can get on their fucking keyboards. and make me the bad guy, Chun-Li. Ayo, I been on, bitch, you been conned. Bentley tints on, Fendi prints on. I mean I been Storm, X-Men been formed. He keep on dialin' Nicki like the Prince song. I-I-I been on, bitch, you been conned. Bentley tints on, Fendi prints on. Ayo, I been off, Lara been Croft. Plates say Chun-Li, drop the Benz off. I come alive, I, I'm always sky high. Designer thigh highs, it's my lifestyle. I come alive, I, I'm always sky high. Designer thigh highs, it's my lifestyle. I need a Mai Tai, so fuckin' sci-fi. Gimee the password to the fuckin' wifi"
"only (feat. drake, lil wayne, chris brown)","[Nicki Minaj]. Yo, I never fucked Wayne, I never fucked Drake. All my life man, fuck's sake. If I did, I'd a mènage with 'em. And let him eat my ass like a cupcake. My man full, he just ate. I don't duck nobody but tape. Yea, that was a set up for a punchline on duct tape. Worried bout if my butt fake. Worried 'bout y'all niggas us straight. These girls are my sons, John and Kate plus eight. When I walk in, sit up straight, I don't give a fuck if I was late. Dinner with my man on a G5. Is my idea of an update. Hut 1, hut two, big titties, big butt too. Fuck with them real niggas. Who don't tell niggas what they up to. Had to show bitches where the top is. Ring finger where the rock is. These hoes couldn't test me. Even if the name was pop quiz. Bad bitches who I fuck with. Mad bitches we don't fuck with. I don't fuck with them chickens. Unless they last name was cutlet. Let it soak in like seasonin'. And tell 'em bitch blow me, Lance Stephenson. [Chris Brown]. Raise your bottle and cup in the sky. Sparks in the air like the fourth of july. Nothing but bad bitches in here tonight. Oh if you lame and you know it be quiet. Nothing but real niggas only, bad bitches only. Riches niggas only, independent bitches only. Boss niggas only, thick bitches only. I got my real niggas here by my side, only. [Drake]. I never fucked Nicki cause she got a man. But when that's over I'm the first in line. And the other day in her Maybach I thought God damn. This is the perfect time. We had just come from that video. You know La traffic, how the city slow. She was sitting down on that big butt. But I was still staring at the titties though. Yeah, lowkey it may be high key. I been peeped that you like me you know. Who the fuck you really wanna be with besides me. I mean it doesn't take much for us. To do this shit quietly, I mean. She say I'm obsessed with thick women and I agree. That's right I like my girls Bbw. Type to wanna suck you dry. And then eat some lunch with you. So thick that everybody else in the room is so uncomfortable. Ass on Houston Texas. But the face look just like Claire Huxtable. Oh, yeah, you the man in the city. When the mayor fuck with you. The Nba players fuck with you. The bad ass bitches doing makeup and hair fuck with you. Oh, that's cause I believe in something not staying for it. And Nicki if you ever tryna fuck. Just give me the heads up so I can plan for it. (Pinkprint, aye!). [Chris Brown]. Raise your bottle and cup in the sky. Sparks in the air like the fourth of july. Nothing but bad bitches in here tonight. Oh if you lame and you know it be quiet. Nothing but real niggas only, bad bitches only. Riches niggas only, independent bitches only. Boss niggas only, thick bitches only. I got my real niggas here by my side, only. [Lil' Wayne]. I never fucked Nicki and that's fucked up. If I did fuck, she'd be fucked up. Whoever is hittin'. Ain't hittin' it right. Cause she actin' like she need dick in her life. That's another story, I'm no story teller. I piss greatness like gold and jello. All my goons so overzealous. I'm from Holly Groove, the holy Mecca. Calender say I got money for days. I squirm and I shake. But I'm stuck in my ways. My girlfriend will beat a bitch up if she wave. Baby and I fucked with her surfboard, surfboard. My eyes are so bright, I take cover for shade. Don't have my money? I take mothers instead. You got the hiccups, you swallowed the truth. Then I make you burp, boy, treat beef like sirloin. I'm talkin' bout runnin' in houses with army guns. So think about your son and daughter rooms. Got two hoes with me, messed up, they got smaller guns. Ain't thinkin' bout your son and daughter rooms. This is just crazy my nigga, I mean brazy, my nigga. That money talk, I just rephrase it, my nigga. Blood gang take the B, I'll behead ya, my nigga. Fucking for reals if you mouth off. I blow your face off. I mean pop-pop-pop then I take off. Nigga now you see me, nigga now you don't. Like Jamie Foxx acting like Ray Charles. 16 in a clip, one in the chamber. 17 ward bully with 17 bullets. My story is how I went from poor me. To police pour me a drink and celebrate with me. [Chris Brown]. Raise your bottle and cup in the sky. Sparks in the air like the fourth of july. Nothing but bad bitches in here tonight. Oh if you lame and you know it be quiet. Nothing but real niggas only, bad bitches only. Riches niggas only, independent bitches only. Boss niggas only, thick bitches only. I got my real niggas here by my side, only"
barbie dreams,"Uh. R. I. P. to B. I. G. Classic shit. I'm looking for a nigga to give some babies. A hand full of Weezy, sprinkle of Dave East. Man, I ain't got no type, like Jxmmi and Swae Lees. But if he can't fuck three times a night, peace. I tried to fuck 50 for a powerful hour. But all the nigga wanna do is talk Power for hours. Beat the pussy up, make sure it's a K-O. Step your banks up like you're moving that ya-yo. Somebody go and make sure Karrueche okay though. I heard she think I'm tryna give the coochie to Quavo. They always wanna beat it up, goon up the pussy. Man, maybe I should let him autotune up the pussy. All these Bow Wow challenge niggas lying and shit. Man, these Fetty Wap niggas stay eyeing my shit. Drake worth a hundred milli, always buying me shit. But I don't know if the pussy wet or if he crying and shit. Meek still be in my DMs, I be having to duck him. ""I used to pray for times like this"". Face ass when I fuck him. Man, Uzi is my baby, he ain't takin' an L. But he took it literally when I said, ""Go to hell"". Used to fuck with Young Thug, I ain't addressing this shit. C-c-caught him in my dressing room, stealing dresses and shit. I used to give this nigga with a lisp testers and shit. How you want the pu-thy? Can't say your Ss and shit. Dreams of fucking one of these little rappers. I'm just playing, but I'm saying. Dreams of fucking one of these little rappers. I'm just playing, but I'm saying. Dreams of fucking one of these little rappers. I'm just playing, but I'm saying. Dreams of fucking one of these little rappers. I'm just playing, but I'm saying. I remember when I used to have a crush on Special Ed. Shoutout Desiigner, 'cause he made it out of special ed. You wanna fuck me, you gotta give some special head. 'Cause this pussy had these niggas on some special meds. Like Mike Tyson, he was biting my shit. Talking 'bout, ""Yo, why you got these niggas fighting and shit? "". On the real, I should make these niggas scrap for the pussy. Young M. A. and Lady Luck, get the strap for this pussy, uh. And I would've had Odell Beckham banging the cake. 'Til I saw him hopping out of cars dancing to Drake. I been a five-star bitch, man, word to Gotti. I'ma do that nigga Future dirty, word to Scotty. Had to cancel DJ Khaled, boy, we ain't speaking. Ain't no fat nigga telling me what he ain't eating. YG and The Game with the hammer yelling, ""Gang, gang"". This ain't what I meant when I said a gang bang. Tekashi want a ménage, I said tre-way. Curved him and went the Kim and Kanye way. Em, cop the Barbie Dreamhouse then you can play the part. I ain't tryna bust it open in the trailer park. Dreams of fucking one of these little rappers. I'm just playing, but I'm saying. Dreams of fucking one of these little rappers. I'm just playing, but I'm saying. Dreams of fucking one of these little rappers. I'm just playing, but I'm saying. Dreams of fucking one of these little rappers. I'm just playing, but I'm saying. Barbie dreams. Barbie dreams. I'm just playing, but I'm saying. Dreams. You know I'm all about them dollars. I be supporting them scholars. I let him give me some brain. But he wanted me to ride it. So I said, ""fuck it, I'm in"". He want a cut like a trim. And if he act like he know. I let him fuck it again. I got them bars, I'm indicted. I'm popping, I'm uninvited. I said just lick on the clitoris, nigga, don't fucking bite it. I ride his, in the circle. I turn Stefan into Urkel. I go around and around and I'ma go down in slow motion. Then I pick it up, look at it. I said, ""daddy, come get at it, "" uh. Yellow brick road, he said that I am a wiz at it. Yeah, they want it, want it. You know I flaunt it, flaunt it. I'm a trendsetter. Everything I do, they do. Yeah, put 'em up on it, on it. Dimelo papi, papi. Yo quiero sloppy, sloppy. I'll give it to you if you beat it up like Baki, Baki. I'ma kill 'em with the shoe, no ceiling is in the roof. And I'm big, give me the loot, twelve cylinders in the Coupe. I get down with the chrome, I tell 'em when I'ma shoot. I just bang, bang, bang, real killers is in my group. Gorillas is in my unit, vacationin' where it's humid. And I shine, shine, shine, got diamonds all in my cubans. I'm in LA Times more than when niggas lootin'. And my flow spit crack, I think that nigga usin'. He done bodied everybody, in closing these bitches losin'. Using, using up a bitch movin'. No I ain't Studdard and no I ain't Ruben. Damn, a bitch snoozin'. Shoutout to my Jews, l'chaim, Rick Rubin. Big fat titties, yes, they be protrudin'. I be like, fuck 'em, fuck 'em, bring the lube in. I be like fuck 'em, fuck 'em, bring the lube in"
super bass,"This one is for the boys with the boomer system. Top down, Ac with the cooler system. When he come up in the club, he be blazin' up. Got stacks on deck like he savin' up. And he ill, he real, he might gotta deal. He pop bottles and he got the right kind of bill. He cold, he dope, he might sell coke. He always in the air, but he never fly coach. He a muthafuckin trip, trip. Sailor of the ship, ship. When he make it drip, drip. Kiss him on the lip, lip. That's the kind of dude I was lookin' for. And yes you'll get slapped if you're lookin' hoe. I said, excuse me you're a hell of a guy. I mean my, my, my, my you're like pelican fly. I mean, you're so shy and I'm loving your tie. You're like slicker than the guy with the thing on his eye, oh. Yes I did, yes I did, somebody please tell him who the F I is. I am Nicki Minaj, I mack them dudes up. Back coupes up, and chuck the deuce up. [Ester Dean]. Boy you got my heartbeat runnin' away. Beating like a drum and it's coming your way. Can't you hear that boom, badoom, boom. Boom, badoom, boom, bass. He got that super bass. Boom, badoom, boom, boom, badoom, boom, bass. Yeah that's that super bass. (Boom, badoom, boom, boom super bass). (Boom, badoom, boom, boom super bass). Boom, badoom, boom, boom. Badoom, boom, he got that super bass. Boom, badoom, boom, boom. Badoom, boom,Yeah that's that super bass. This one is for the boys in the polos. Entrepeneur niggas in the moguls. He could ball with the crew, he could solo. But I think I like him better when he dolo. And I think I like him better with the fitted cap on. He ain't even gotta try to put the mac on. He just gotta give me that look, when he give me that look. Then the panties comin' off, uh. Excuse me, you're a hell of a guy. You know I really got a thing for American guys. I mean, sigh, sickenin' eyes. I can tell that you're in touch with your feminine side. Yes I did, yes I did, somebody please tell him who the F I is. I am Nicki Minaj, I mack them dudes up. Back coupes up, and chuck the deuce up. Boy you got my heartbeat runnin' away. Beating like a drum and it's coming your way. Can't you hear that boom, badoom, boom. Boom, badoom, boom, bass. He got that super bass. Boom, badoom, boom, boom, badoom, boom, bass. Yeah that's that super bass. (Boom, badoom, boom, boom super bass). (Boom, badoom, boom, boom super bass). Boom, badoom, boom, boom. Badoom, boom, he got that super bass. Boom, badoom, boom, boom. Badoom, boom, Yeah that's that super bass. See I need you in my life for me to stay. No, no, no, no, no I know you'll stay. No, no, no, no, no don't go away. Boy, you got my heartbeat runnin' away. Don't you hear that heartbeat comin' your way. Oh it be like, boom, badoom, boom, boom. Badoom, boom, bass. Can't you hear that boom, badoom, boom, boom. Badoom, boom, bass. Boy you got my heartbeat runnin' away. Beating like a drum and it's coming your way. Can't you hear that boom, badoom, boom. Boom, badoom, boom, bass. He got that super bass. Boom, badoom, boom, boom, badoom, boom, bass. Yeah, that's that super bass. (Boom, badoom, boom, boom super bass). (Boom, badoom, boom, boom super bass). Boom, badoom, boom, boom. Badoom, boom, he got that super bass. Boom, badoom, boom, boom. Badoom, boom, Yeah that's that super bass"
