baby love (feat. will.i.am),"(Nicole). I remember like it was yesterday. first kiss and I knew you changed the game. you had me, exactly, where you wanted. and I'm on it, and I aint ever gon let you get away. holding hands never made me feel this way. so special, boy its your... your smile, we so in Love (lalalalaaa). yeeeah we so in Love (Lalalalalaaa). and I just can't get enough of your. lalala Lovee. yeeah we so in love love. I want you to know.... You are my baby love my baby love. you make the sun come up. ohh boy (ohh boy). you're my every everything that I could ever dream of. You are my baby love my baby love. you make the sun come up. ohh boy (ohh boy). you're my every every every everything. In a minute now we're still holding it down. butterflies everytime he comes around. you make me, so crazy, its crazy, ohh baby. I don't ever wanna be with no one else. you're the only one that ever made me melt. you're special, boy it's your, your style. we so in Love (lalalalalaaa). yeeeah we so in love Lalalalalalaa. and I just can't get enough. of your lalala Love. yeah thats all I'm thinking of. Love, I want you to know. You are my baby love my baby love. you make the sun come up. ohh boy (ohh boy). you're my every everything that I could ever dream of. You are my baby love my baby love. you make the sun come up. ohh boy (ohh boy). you're my every everything that I could ever dream of. You are my baby love my baby love. you make the sun come up. ohh boy (ohh boy). you're my every everything that I could ever dream of. You are my baby love my baby love. you make the sun come up. ohh boy (ohh boy). you're my every every every everything. everything everything ohh. everything everything ohh. (Will.I.am). You always and forever you my sunshine. on my mind constant. think about you all the time (you're my everything). (Nicole). Everything everything ohh. everything everything ohh. (Will.I.am). you ma new school (love). you ma old school (love). and it's true you're the one I'm thinking of. (Nicole). You are my baby love my baby love. you make the sun come up. ohh boy (ohh boy). you're my every everything that I could ever dream of. You are my baby love my baby love. you make the sun come up. ohh boy (ohh boy). you're my every every every everything. You are my baby love my baby love. you make the sun come up. ohh boy (ohh boy). you're my every every every everything. You are my baby love my baby love. you make the sun come up ( you make the sun come up on a cloudy day, you're my number one, you're my special thing). ohh boy (ohh boy). you're my every every every everything. everything everything ohh. everything everything ohh. you are my baby baby baby baby love. everything everything ohh. everything everything ohh. you're my everything. you are my baby baby baby baby love"
don't hold your breath,"You can't touch me now there's no feeling left. If you think I'm coming back, don't hold your breath. What you did to me boy I can't forget. If you think I'm coming back, don't hold your breath. I was under a spell, such a long time,. couldn't break the chains. You played with my heart,. told me up all your lies and games. It took all the strength I had. but I crawled up on my feet again. Now you're trying to lure me back but. No, those days are gone, my friend. I loved you so much that I thought someday. that you could change. But all you brought me was a heart full of pain. You can't touch me now there's no feeling left. If you think I'm coming back, don't hold your breath. What you did to me boy I can't forget. If you think I'm coming back, don't hold your breath. Don't hold your breath. I was worried about you. but you never cared about me none. You took my money and I know that you,. you could do so much. I gave you everything but nothing was ever enough. You were always jealous over such crazy stuff. You can't touch me now there's no feeling left. If you think I'm coming back, don't hold your breath. What you did to me boy I can't forget. If you think I'm coming back, don't hold your breath. Don't hold your breath. Move on, don't look back. I jumped off a train running off the tracks. Your day is gone face the facts. A bad movie ends and the screen fades to black. What you did to me boy I can't forget. If you think I'm coming back... (don't hold your breath). You can't touch me now there's no feeling left. If you think I'm coming back, don't hold your breath. What you did to me boy I can't forget. If you think I'm coming back, don't hold your breath. Don't hold your breath. Don't hold your breath"
poison,"(RedOne) Nicole... Yeah. [Verse 1]. Got venom dripping from my lips. Know who you're about to kiss. Think that you can handle it, boy, it's on. Just step into the danger zone. Shake it if you wanna roll, never bend,. Just take control, stakes are on. So sick, get a grip, gonna stick to a stick. I don't think that I can stop this. Pick it up, let it drop, when it drops slip it up. Oh no, I'll never stop. [Chorus]. That bad girl power I got, I'll abuse it tonight. Cause tonight got poison on my mind. That power I got you'll be mine when I stay till real late. Got poison on my mind. I got that poison (uh huh), I got that poison (uh huh). I got that poison, that poison on my mind. I got that poison (uh huh), I got that poison (uh huh). I got that poison, that poison on my mind. [Verse 2]. So cool out, let her in the scene. Cause tonight I need to kiss a sexy little dirty scream, yeah, it's on. Then I get you in my sleep, it ought to be extreme. You're so cool, baby, you're so mean (Turn me on, turn me on). So sick, get a grip, gonna stick to a stick. I don't think that I can stop this. Pick it up, let it drop, when it drops slip it up. Oh no, I'll never stop, hey. [Chorus]. That bad girl power I got, I'll abuse it tonight. Cause tonight got poison on my mind. That power I got, you'll be mine when I stay till real late. Got poison on my mind. I got that poison (uh huh), I got that poison (uh huh). I got that poison, that poison on my mind. I got that poison (uh huh), I got that poison (uh huh). I got that poison, that poison on my mind. [Bridge]. I got that poison, that poison, that poison. I'll make you fall in love with me. (Turn me on, turn me on). I got that poison, that poison, that poison. I'll make you fall in love with me. (Turn me on, turn me on). That bad girl power I got, I'll abuse it tonight. Got poison on my mind. That power I got, you'll be mine till the light. Got poison on my mind. [Chorus]. That bad girl power I got, I'll abuse it tonight. Cause tonight got poison on my mind. That power I got, you'll be mine when I stay till real late. Got poison on my mind. I got that poison (uh huh), I got that poison (uh huh, uh huh). Got poison on my mind. I got that poison (uh huh), I got that poison (uh huh, uh huh). Got poison on my mind. Crédito: Portal Nicole"
right there (feat. 50 cent),"50, Nicole. It's just another one. Another number one. I'm complex, difficult to understand. I don't know if it's me, it's just to make a better man. I wanna it in the morning, right early I want it. I rise as the sunrise, baby now get up on it. Give to me good, shawty work it like it should. You follow instructions, then I follow instructions. The ultimate seduction, more kissing and touching. Feels super natural, first chance I'm at you. Come here baby and be my baby. And be my baby oh oh oh. Come here baby put your hands on my body. Hands on my body oh oh oh. Right there keep it right there. I love when you put it right there oh oh oh. Yeah yeah oh oh oh, yeah. Me like the way that you hold my body. Me like the way that you touch my body. Me like the way that you kiss my. Yeah yeah yeah yeah me like it. Me like the way that he put it on me. Me like the way that he push up on me. Me like the way that he goin' down down down down down. No me never gonna let no girl take him from me. Never gonna let no girl steal him form me. Never gonna let the girl keep the close now. I tell'em eh eh don't too close now. Come here baby and be my baby. And be my baby oh oh oh. Come here baby put your hands on my body. Hands on my body oh oh oh. Right there keep it right there. I love when you put it right there oh oh oh. Yeah yeah oh oh oh yeah. I like the way that you talk dirty. Don't wash your mouth I I like it dirty. You like to please yeah I like that. Yeah yeah yeah yeah me like it. I like the way that you keep me coming. That yeah you so good you had me running. Me like the way that he goin' down down down down down. No I ain't never gonna let no girl take him from me. Never gonna let no girl steal him from me. Never gonna let the girl keep that close now. I tell'em eh eh you too close now. Come here baby and be my baby. And be my baby oh oh oh. Come here baby put your hands on my body. Hands on my body oh oh oh. Right there, keep it right there. I love when you put it right there oh oh oh. Yeah yeah oh oh oh yeah. I like it when you freaky I'm freaky. I'll explore your body completely, til you feel like you need me. Chest to chest I reckon, I get to kiss you in neck. Come correct to make a sweat, it's making us wet. Say my name, say my name, positions we change. I ain't joking girl, I'm stroking I ain't playing no games. Jackpot, backshot, still roughly taken. My pleasure is pleasing you, you should feel the same too. Do we know how to work it? You got that got that. Put it on you work it You got that got that. Do you feel good for your let down good for you yeah. He got that got that. All my girls if you mad put it down let me hear you say yeah. All my ladies if you mad put it down let me hear you say yeah. Do we work that like you like that?. When you got up on that you do you right back?. Say yeah, all my girls say yeah. Come here baby and be my baby. And be my baby oh oh oh. Come here baby put your hands on my body. Hands on my body oh oh oh. Right there, keep it right there. I love it when you put it right there oh oh oh. Yeah yeah oh oh oh yeah. Come here baby, come be my baby. Come be my baby oooh. Come here baby, put your hands on my body. Put your hands on my body like yeah. Right there, keep it right there. I love when you put it right there oh oh oh. Come here baby and be my baby. And be my baby oh oh oh. Come here baby put your hands on my body. Hands on my body oh oh oh. Right there, keep it right there. I love it when you put it right there oh oh oh. Yeah yeah oh oh oh yeah"
wet,"I feel like everybody is standing around me, watching me now. I feel like whatever I do tonight will be the talk of the town. They wanna know how I'm gonna move my body when the beat goes. 'Cause something comes over me when the beat goes. Well I'ma rip my clothes off. Take a leap and surf through the crowd, yeah, yeah!. Tripping down my neck, soaking wet. Sink or swim or you'll drown, yeah, yeah!. Let's get a little wet!. I like the way you're working me out!. Let's get a little wet!. I like the way you're working me out!. Body is getting super hot, feels like 100 degrees. I'm waiting for a man with a fan who can give me a breeze. If you touch me there please beware you can start up a fire. I don't mind if you take me home and pull me up in the shower. Well I'ma rip my clothes off. Take a leap and surf through the crowd, yeah, yeah!. Tripping down my neck, soaking wet. Sink or swim or you'll drown, yeah, yeah!. Let's get a little wet!. I like the way you're working me out!. Let's get a little wet!. I like the way you're working me out!. I love it when the heat from the beat melts me to the ground. I love it when it gets so wet, starts trickling down. This beat is filthy, dirty, I feel it all over me. Well I'ma rip my clothes off. Take a leap and surf through the crowd, yeah, yeah!. Tripping down my neck, soaking wet. Sink or swim or you'll drown, yeah, yeah!. Let's get a little wet!. I like the way you're working me out!. Let's get a little wet!. I like the way you're working me out!"
your love,"Boy, you don't know how much I like it. It is so hard not to bite it. Just a little, know you like it. I'll do whatever you want. Somethin 'bout you so enticin'. Even when I try to fight it. Knock me out like Michael Tyson. I'll do whatever you want. And I, I'm never letting you go baby. I, love you so baby. Love me the most baby. Ain't going nowhere. Like froze baby. Do whatever you want, baby. And everything you do, baby. Be whatever you need. 'Cause your love makes me feel like. Du, du, du, du. Boy your love makes me feel like. Du, du, du, du. Boy your touch makes me feel like. Du, du, du, du. Boy your love makes me feel like. Du, du, du, du. 'Cause your love makes me feel like. Yeah baby you got me. Yeah my body like Bugatti. You know everybody wants one. You got everything they don't. You get all my loving. All my kisses when we're hugging. Mc Hammer girls can't touch this. I got everything they don't. And I, I'm never letting you go baby. I, love you so baby. Love me the most baby. Ain't going nowhere. Like froze baby. Do whatever you want, baby. And everything you do, baby. Be whatever you need. 'Cause your love makes me feel like. Du, du, du, du. Boy your love makes me feel like. Du, du, du, du. Boy your touch makes me feel like. Du, du, du, du. Boy your love makes me feel like. Du, du, du, du. 'Cause your love makes me feel like. I need you in the daytime. Especially in the night time. I'm never in my right mind when I'm with you. I need your body on me. Whenever you go I get lonely. You won't believe how much I'm missing you. Your love makes me feel like. Your love makes me feel like. Your love makes me feel like. Your love makes me feel like. Your love makes me feel like. 'Cause your love makes me feel like. Du, du, du, du. Boy your love makes me feel like. Du, du, du, du. Boy your touch makes me feel like. Boy your love makes me feel like. 'Cause your love makes me feel like"
pretty,"When I was your woman. And you was my man. You used to say the sweetest things to me. But you was always good like that. You used to tell me I was pretty. The best that you ever had. But it was nothing more than boring to you. Being with the perfect ten. So my, my nails were done. I had my hair on point. Got my, my body talking the way you like it boy. Yes I played the part. Then you broke my heart. As if I mean nothing to you. Can't believe how you make me feel pretty. Pretty upset. Pretty broken. I feel so pretty. Pretty messed up. Pretty much done. Now without you, super pretty. I will never be pretty messed up. I don't wanna be pretty no more. When I was your woman. And you was my man. I tried to share my world with you. But you was still I don't give a damn. You just tell me I was pretty. And if that's all that I am. It's like you never even knew me. Or tried to get know me. Was just an accesory. Oh can't believe. How you make me feel pretty. Pretty upset. Pretty broken. I feel so pretty. Pretty messed up. Pretty much done. Now without you, super pretty. I will never be pretty messed up. I don't wanna be pretty no more. If I have to do it. All over again. I just hope this gon be headed different. Cause you made me question. The woman I really am. I don't know why I put up with you. Can't believe. How you make me feel pretty. Pretty upset. Pretty broken. I feel so pretty. Pretty messed up. Pretty much done. Now without you, super pretty. I will never be pretty messed up. I don't wanna be pretty no more"
whatever u like (feat. t.i.),"Ladies and gentlemen. I know what you want. She's hot as a stove. Her name is Nicole. I'll do whatever you like. I'll do whatever you like. I can do, I can do. I do, I do whatever you like. Don't cha want it?. I'll do whatever you like. I'll do whatever you like. I can do, I can do. I do, I do whatever you like. Boy, you want my body. Wanna ride it like a Harley. Once or twice around the block. I bet I'll have you saying ‘woh woh'. First stop, let me pop. Drop like a helicop. Pay attention on me. While I show you the scenario. You charming me boy. Yeah boy, you're charming me. Just like this beat is gonna do. on the radio. I thought you knew me by way you're talking to me. You get any closer to me. Then I might just have to let it go. Something ‘bout that cocky thing,. you got me wanna see what's really going on. I do the thing, I do the thing you wanna (Ladies an gentlemen). I'm gonna do, do anything you wanna (I know what you want). I do the thing, I do the thing you wanna (She's hot as a stove). I'm gonna do, do anything you wanna (Her name is Nicole). I'll do whatever you like. I'll do whatever you like. I can do, I can do. I do, I do whatever you like. I'll do whatever you like. I'll do whatever you like. I can do, I can do. I do, I do whatever you like. Yeah. Work it out girl. Make a bed. You put the cat in the nap. I'll tell you what side I get,. all night lover. See the cheek. Wanna see me, make it speak. Watch it while mommy teaching. I won't stutter. I can tell you had never had a touch. Hood up while I show this much,. I'll do that for ya. Playing a step. Promise I can make it rain. Lemme see that suger, king. You like that, don't cha. Something ‘bout that cocky thing. You got me wanna see what's really going on. I do the thing, I do the thing you wanna (Ladies an gentlemen). I'm gonna do, do anything you wanna (I know what you want). I do the thing, I do the thing you wanna (She's hot as a stove). I'm gonna do, do anything you wanna (Her name is Nicole). I'll do whatever you like. I'll do whatever you like. I can do, I can do. I do, I do whatever you like. I'll do whatever you like. I'll do whatever you like. I can do, I can do. I do, I do whatever you like. See me in the back. Chick like that. Get you to run around. But I can hear like that. I said you run around. I'm the shit like that. Eat it, beat it, till it's swollen. You gonna need an icepack. I'll tell her big thang poppin'. Let me hear you say that. Lay back, play that, purp,. Kush, blowing in the may back. Work my company. Three year and you're wanting me. Imagine what they done to me. On top of me, upunder me. Accept no imitation baby. Other can't be hatin'. And they'll be all in ya face. I mean all in the wussy. See, I can take you on vacation. A weekend ball in the A. You hit me up four in the mornin'. What you callin' to stay, shorty. Something ‘bout that cocky thing. You got me wanna see what's really going on. I do the thing, I do the thing you wanna (Ladies an gentlemen). I'm gonna do, do anything you wanna (I know what you want). I do the thing, I do the thing you wanna (She's hot as a stove). I'm gonna do, do anything you wanna (Her name is Nicole). I'll do whatever you like. I'll do whatever you like. I can do, I can do. I do, I do whatever you like. I'll do whatever you like. I'll do whatever you like. I can do, I can do. Wait a minute, motherfucker. I've been looking all night,. Wanna kiss you one time. Mommy do what you like. Go head pull it pull it pull it. First you gotta get it right. I can love you long time. I become a big crime. Then I'll pull it pull it pull it. What she want it uptight. I promise a goodnight. Girl, you're gonna sleep tight. When I pull it pull it pull it. Wanna look at your eyes. When you get the big prize. Gonna give it a kind. When I pull it pull it pull it"
don't cry for me argentina,"It won't be easy, you'll think it strange. When I try to explain how I feel. That I still need your love. After all that I've done. You won't believe me. All you will see is a girl you once knew. Although she's dressed up to the nines. At sixes and sevens with you. I had to let it happen, I had to change. Couldn't stay all my life down at heel. Looking out of the window. Staying out of the sun. So I chose freedom. Running around, trying everything new. But nothing impressed me at all. I never expected it to. Don't cry for me Argentina. The truth is I never left you. All through my wild days, my mad existence. I kept my promise, don't keep your distance. And as for fortune, and as for fame. I never invited them in. Though it seemed to the world. They were all I desired. They are illusions. They're not the solutions they promised to be. The answer was here all the time. I love you, and hope you love me. Don't cry for me Argentina. Don't cry for me Argentina. The truth is I never left you. All through my wild days, my mad existence. I kept my promise, don't keep your distance. Have I said too much?. There's nothing more I can think of to say to you. But all you have to do is look at me to know. That every word is true. Don't cry for me Argentina"
winning women (feat. rihanna),"Nicole. Ri-rihanna. Ni-ni-nicole. Ri-rihanna. Ni-ni-nicole. Ri-rihanna. Ni-ni-nicole. Gonna win it no limit, strong women we are. Gotta win it no limit, strong women we are. Gonna win it no limit, strong women we are. Gotta win it no limit, strong women we are. Where them girls at (girls at). That like to be in charge. When the heat get too hot, they just keep turnin' it up. Never let 'em cheat-sheet, they just sweat, gotta go hard. Where those winning women that's really willin to take it off!. Where them girls at (girls at). That like to be in charge. When the heat gets too hot, just keep turnin' it up. Never let 'em cheat-sheet, they just sweat, gotta go hard. Where those winning women that's really willin to take it off!. Uh-uh-uh-uh huh. When you see both of us on catwalk representing our culture. Uh-uh-uh-uh huh. Well the time and day has changed. Where the women wear the pants without changing the last name. Uh-uh-uh-uh huh. Where the word diva, diva, mean viva, viva, we run las vegas. Uh-uh-uh-uh huh. And then the stock exchange, bang, than we got claim to the. Change. All, all, all a girl want, wants. All a girl need, needs. It's just all those, simple things like to be cared for. Just to have him, be there for. All that matters, it's those sweet things. That's all a girl really wants. Where them girls at (girls at). That like to be in charge. When the heat get too hot, they just keep turnin' it up. Never let 'em cheat-sheet, they just sweat, gotta go hard. Where those winning women that's really willin to take it off!. Where them girls at (girls at). That like to be in charge. When the heat gets too hot, just keep turnin' it up. Never let 'em cheat-sheet, they just sweat, gotta go hard. Where those winning women that's really willin to take it off!. Uh-uh-uh-uh huh. We are too confident, me and her talk to phil, never happen again. Uh-uh-uh-uh huh. We don't wait, we get paid, for a trait holiday, we sip lemonade. Uh-uh-uh-uh huh. Instead of doing what he wants, we do what we want, buying. Homes in geneva. Uh-uh-uh-uh huh. Like when the sound baby glance, rings, and that means. More than things. All, all, all a girl want, wants. All a girl need, needs. It's just of those, simple things like to be cared for. Just to have him, be there for. All that matters, it's those sweet things. That's all a girl really wants. Where them girls at (girls at). That like to be in charge. When the heat get too hot, they just keep turnin' it up. Never let 'em cheat-sheet, they just sweat, gotta go hard. Where those winning women that's really willin to take it off!. Where them girls at (girls at). That like to be in charge. When the heat gets too hot, just keep turnin' it up. Never let 'em cheat-sheet, they just sweat, gotta go hard. Where those winning women that's really willin to take it off!"
