up (feat. demi lovato),"I drew a broken heart. Right on your window pane. Waited for your reply. Here in the pouring rain. Just breathe against the glass. Leave me some kind of sign. I know the hurt won't pass, yeah. Just tell me it's not the end of the line. Just tell me it's not the end of the line. I never meant to break your heart. Now, I won't let this plane go down. I never meant to make you cry. I'll do what it takes to make this fly. Oh, you gotta hold on. Hold on to what you're feeling. That feeling is the best thing. The best thing, alright. I'm gonna place my bet on us. I know this love is heading. In the same direction. That's up. You drew a question mark. But you know what I want. I wanna turn the car, yeah. Right back to where it was. So let's built a bridge, yeah. From your side to mine. I'll be the one to cross over. Just tell me it's not the end of the line. Just tell me it's not the end of the line. I never meant to break your heart. Now, I won't let this plane go down. I never meant to make you cry. I'll do what it takes to make this fly. Oh, you gotta hold on. Hold on to what you're feeling. That feeling is the best thing. The best thing, alright. I'm gonna place my bet on us. I know this love is heading. In the same direction. That's up. Girl, I know we could climb. Back to where we were then. Feel it here, in my heart. Put my heart in your hand. Well, I hope and I pray. That you'll do understand. If you did, all you have to say is. Yeah, yeah yeah yeah yeah. Yeah, yeah yeah yeah yeah. I'm waiting for ya. Yeah, yeah yeah yeah yeah. Yeah, yeah yeah yeah yeah. I never meant to break your heart. Now, I won't let this plane go down. I never meant to make you cry. I'll do what it takes to make this fly. Oh, you gotta hold on. Hold on to what you're feeling. That feeling is the best thing. The best thing, alright. I'm gonna place my bet on us. I know this love is heading. In the same direction. That's up"
excuses,"I've been thinking bout, thinking bout you too much. Lately it's been like you in there when we touch. I've tried everything, but we keep losing us. Oh I, Oh I, guess everything ain't enough. Why can't you just be open and talk to me. Asking how you feel, then you get up and leave. Talking you and me, used to come easily. Oh I, Oh I, but right now we hardly speak. So, tell me now, do ya?. Do ya even know what you do to me. Going out of my mind, every secret that your keeping. Oh, why won't you let me in. Oh darlin, oh darlin, na-ahh-ahh. But it's useless. Every time you pull me back with one kiss. And I'm telling everyone. You didn't mean to do it, and we can make it through this. Oh darlin, oh darlin. But I'm just making up excuses. You and I, you and I been like this way too long. All I know it shouldn't be this hard to hold on. It's hard to be around you but I hate it when your gone. Oohh, tell me what's going wrong, yeah. So, tell me now, do ya. Do ya even know what you do to me. Going out of my mind, every secret that your keeping. Oh, why won't you let me in. Oh darlin, oh darlin, na-ahh-ahh. But it's useless. Every time you pull me back with one kiss. And I'm telling everyone. You didn't mean to do it, and we can make it through this. Oh darlin, oh darlin. But I'm just making up excuses. I could blame myself. But it's your fault as well. We're crying out for help, ohh. I could blame myself. But it's your fault as well. We're crying out, crying out. Saying do ya, do ya even know what you do to me. I'm going out of my mind. Every secret that your keeping. Oh, why won't you let me in. Oh, why won't you let me in, a-aah-aah. But it's useless. Every time you pull me back with one kiss. And I'm telling everyone. You didn't mean to do it, and we can make it through this. Oh darlin, oh darlin. I'm just making up excuses. (Wo-oh-oh-oh-ohh-oh). (Wo-oh-oh-oh-ohh-oh-oh). (Wo-oh-oh-oh-ohh-o-ohh-ohh-o-oh). (Wo-oh-oh-oh-ohh-oh). (Wo-oh-oh-oh-ohh-oh). (Wo-oh-oh-oh-ohh). And I'm telling everyone. You didn't mean to do it. And we can make it through this. Oh darlin, oh darlin. But I'm just making up excuses"
moves (feat. snoop dogg),"Olly Murs. Big Snoop Dogg. You know we 'bout to make moves, ya dig?. I walk in the club like a million bucks. First I hit the bar for a couple of shots. We got the beautiful women I think I'm making em blush. Then I spill my drink trying to cover it up. I got those dad dance moves they ain't ready for them. Got the bad man groove go steady on them. Hey, senorita in her beautiful dress. Do ya wanna dance she's telling me yes. I got confidence in myself. But that's just tequila giving me help. Tryna cover it up so you never tell. I feel like dancing with you. It's your moves baby. Cos I can't dance in the way that you do. But I got that love that you ain't used to. Hey, and when the DJ's spinning that song that we groove to. Oh my, come and teach me how to dance. Slow down, DJ play that track. Check out my kung-fu kicks like I'm under attack. I wave my arms like this from front to back. Bet you never seen a bad mother dance like that. Then you're backing me in with a kiss on the lips. Jump into the middle come and wiggle your hips. My love, take my hand, I'll give you a spin. Step once, step twice, let the party begin. I got confidence in myself. But that's just tequila giving me help. Tryna cover it up so you never tell. I feel like dancing with you. It's your moves baby. Cos I can't dance in the way that you do. But I got that love that you ain't used to. Hey, and when the DJ's spinning that song that we groove to. Oh my, come and teach me how to dance. Dance to the rhythm of the D. O. dub, G and a thug. Watch how I be in the club. Lookin', starin', darin', comparin'. In my book, they say sharin' is carin'. So give me a taste (haha). And make your hips just dip to the bass. And watch me run the line. See what I come to find?. It's your moves baby. Cos I can't dance in the way that you do. But I got that love that you ain't used to. Hey, and when the DJ's spinning that song that we groove to. Oh my, come and teach me how to dance. It's near the end of the night so when am I taking you home. You got me feeling like I can dance now. A disco in paradise when I was feeling alone. I got that feeling like I can dance. It's your moves baby. Cos I can't dance in the way that you do. But I got that love that you ain't used to. Hey, and when the DJ's spinning that song that we groove to. Oh my, come and teach me how to dance"
dance with me tonight,"Ladies and Gentlemen. We've got a special treat for you tonight. I'm gonna call my friend Olly up here to. To sing to you ladies. Olly!. Let's go man. My name is Olly nice to meet you can I tell you, baby. Look around there's a whole pretty ladies. But not like you, you shine so bright, yeah. I was wondering if you and me could spend a minute. On the floor up and close getting lost in it. I won't give up without a fight. I just wanna. OOh baby. I just want you to dance with me tonight. So come on. OOh baby. I just want you to dance with me tonight. We're getting sweaty, hot and heavy in the crowd now. Loosen up and let your hands go downtown. Go with it girl, yeah just close your eyes, yeah. I feel the music moving through your body. Looking at you I can tell you want me. Don't stop keep going till the morning light, yeah. When I saw you there. Sitting all alone in the dark. Acting like you didn't have a care. I knew right then you'd be mine. We'd be dancing the whole damn night right. OOh baby. I just want you to dance with me tonight. So come on. OOh baby. I just want you to dance with me tonight. Break it down now (yeah, yeah, yeah, yeah). (Come on) Shake it like that (yeah, yeah, yeah, yeah). Now bring it all back. To dance with me tonight. One more time, one more time, come on now. (Yeah, yeah, yeah, yeah) Do your thing. (Yeah, yeah, yeah, yeah) Everybody sing. I just want you to dance with me tonight (come on). (1, 2, 3, 4) I just wanna. (Shake your body) OOh baby (shake your body). I just want you to dance with me tonight. Everybody, everybody, come on now. (Everybody) Just close your eyes. We can dance all through the night. I just want you to dance with me tonight (shake your body). Everybody sing (shake your body). Just close your eyes (oh baby). All through the night. I just want you to dance with me tonight. (Shake your body). Come on (shake your body). Just close your eyes (shake your body). All through the night. I just want you to dance with me tonight"
troublemaker (feat. flo rida),"You're a troublemaker. You're a troublemaker. You ain't nothing but a troublemaker girl. You had me hooked again from the minute you sat down. The way you bite your lip. Got my head spinnin' around. After a drink or two. I was putty in your hands. I don't know if I have the strength to stand. Oh oh oh. Trouble troublemaker yeah. That's your middle name. Oh oh oh. I know you're no good but you're stuck in my brain. And I wanna know. Why does it feel so good but hurt so bad. Oh oh oh. My mind keeps saying. Run as fast as you can. I say I'm done but then you pull me back. Oh oh oh. I swear you're giving me a heart attack. Troublemaker!. It's like you're always there in the corners of my mind. I see a silhouette every time I close my eyes. There must be poison in those fingertips of yours. Cause I keep comin' back again for more. Oh oh oh. Trouble troublemaker, yeah. That's your middle name. Oh oh oh. I know you're no good but you're stuck in my brain. And I wanna know. Why does it feel so good but hurt so bad. Oh oh oh. My mind keeps saying. Run as fast as you can. I say I'm done but then you pull me back. Oh oh oh. I swear you're giving me a heart attack. Troublemaker. Why does it feel so good but hurt so bad. Oh oh oh. My mind keeps saying. Run as fast as you can. Troublemaker. I say I'm done but then you pull me back. Oh oh oh. I swear you're giving me a heart attack. Troublemaker. Maybe I'm insane. Cause I keep doing the same damn thing. Thinking one day we gon' change. But you know just how to work that back. And make me forget my name. What the hell you do I won't remember. I'll be gone until November. And you'll show up again next summer, yeah!. Typical middle name is Prada. Fit you like a glove girl. I'm sick of the drama. You're a troublemaker. But damn girl it's like I love the trouble. And I can't even explain why. Why does it feel so good but hurt so bad. Oh oh oh. My mind keeps saying. Run as fast as you can. Troublemaker. I say I'm done but then you pull me back. Oh oh oh. I swear you're giving me a heart attack. Troublemaker. Why does it feel so good but hurt so bad. Oh oh oh. My mind keeps saying. Run as fast as you can. Troublemaker. I say I'm done but then you pull me back. Oh oh oh. I swear you're giving me a heart attack. Troublemaker"
heart skips a beat (feat. rizzle kicks),"My heart skips, skips, skips, skips, skips, skips a beat. Olly Murs. Rizzle Kicks. I can see. You're not yourself. Even when you're here with me. I know that you're some-where else. So put another record on. Kiss me and leave me on. Nothing really matters when we're dancing. Listen to the same sad song playing on repeat. 'Cos everytime we come this close my heart skips skips a beat. So come on, spin me around. No I don't wanna go home. 'Cos when you hold me like this you know my heart skips skips a beat. I know I should but I can't leave it alone. When you hold me like this, that's when my heart skips skips a beat. So hung up. We can't let go. If you really have to leave. One more time just move me slow. So put another record on. Play it on the beat. Nothing really matters when we're dancing. 'Cos all you ever need to know. Is what you do to me. That everytime you hold me close my heart skips skips a beat. So come on, spin me around. No I don't wanna go home. 'Cos when you hold me like this you know my heart skips skips a beat. I know I should but I can't leave it alone. When you hold me like this, that's when my heart skips skips a beat. Rizzle Kicks. At the start of the night I was like ""let's have a team tour"". Playing with this lady inside, not like before. The flaps keep going up and down like a see-saw. I shoulda just taken her to the cinema to see Saw. Would she let me sit with her, I figured. Her figure's a sure sure winner. Cause I got a mate from the back, I'm a skip her. You make my heart skip, skip, skip, skip, skip, skip a beat. So come on, spin me around. No I don't wanna go home. 'Cos when you hold me like this you know my heart skips skips a beat. I know I should but I can't leave it alone. When you hold me like this, that's when my heart skips skips a beat. My heart skips skips a beat. My heart skips a beat. My heart skips skips a beat"
that girl,"There's a girl but I let her get away. It's all my fault. 'Cause pride got in the way. And I'd be lying. If I said I was ok. About that girl the one I let get away. I keep saying no. This can't be the way we're supposed to be. I keep saying no. There's gotta be a way to get you close to me. Now I know you gotta. Speak up if you want somebody. Can't let him get away, oh no. You don't wanna end up sorry. The way that I'm feeling everyday. No, no, no, no. There's no hope for the broken heart. No, no, no, no. There's no hope for the broken. There's a girl but I let her get away. It's my fault. 'Cause I said I needed space. I've been torturing myself night and day. About that girl, the one I let get away. I keep saying no. This can't be the way we're supposed to be. I keep saying no. There's gotta be a way to get. There's gotta be a way to get you close to me. You gotta. Speak up if you want somebody. Can't let him get away, oh no. You don't wanna end up sorry. The way that I'm feeling everyday. No, no, no, no. There's no hope for the broken heart. No, no, no, no. There's no hope for the broken. No home for me. No home 'cause I'm broken. No room to breathe. And I got no one to blame. No home for me. No home 'cause I'm broken. About that girl the one I let get away. So you better. Speak up if you want somebody. Can't let him get away, oh no. You don't wanna end up sorry. The way that I'm feeling everyday. No, no, no, no. There's no hope for the broken heart. No, no, no, no. There's no hope for the broken. You don't wanna lose at love. It's only gonna hurt too much. I'm telling you. You don't wanna lose at love. It's only gonna hurt too much. I'm telling you. You don't wanna lose at love. 'Cause there's no hope for the broken heart. About that girl the one I let get away"
grow up,"I thought about you the other day. What the hell happened with you and me?. Cause, oh, ain't no lovin' no more. You ain't as cool as you used to be. Closer to the mirror than you are to me. I said, oh, had to show you that door. Someday I hope we can fix it. 'Cause I ain't too proud to try. Say hi to your friends. And if they ever ask you why. We don't talk. Know you gotta grow up. Ain't you sick of being immature?. Talkin' loud 'cause you insecure. You always turn it up, turn it up, turn it up, c'mon. Why you always gotta show off?. You're so offended, I already know. But when you hear this on the radio. You're gonna turn it up, turn it up, turn it up. 'Cause it's all about you-oh-oh-oh-oh-oh-oh-oh-oh. It's all about you-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh. Now you said some stuff. That you can't take back. How did you think that I would react?. Cause you, you must be out of your mind, no. How did we go straight from love to hate?. Now it's so deep that we can't be mates. I said, oh, we should give it some time. Someday I hope we can fix it. 'Cause I ain't too proud to try. Say hi to your friends. And if they ever ask you why. We don't talk. Know you gotta grow up. Ain't you sick of being immature?. Talkin' loud 'cause you insecure. You always turn it up, turn it up, turn it up, c'mon. Why you always gotta show off?. You're so offended, I already know. But when you hear this on the radio. You're gonna turn it up, turn it up, turn it up. 'Cause it's all about you-oh-oh-oh-oh-oh-oh-oh-oh. It's all about you-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh. Oh-oh-oh-oh-oh. Oh-oh-oh-oh-oh. Anytime you start it. You're growing up a little darlin'. Oh-oh-oh-oh-oh. Oh-oh-oh-oh-oh. Anytime you start it. You're growing up a little darlin'. Know you gotta grow up. (Know you gotta grow up). Ain't you sick of being immature?. (Ain't you sick of being immature?). Talkin' loud 'cause you insecure. (Talkin' loud 'cause you insecure). You always turn it up, turn it up, turn it up, c'mon. Why you always gotta show off?. (Why you always gotta show off?). You're so offended, I already know. (You're so offended, I already know). But when you hear this on the radio. You're gonna turn it up, turn it up, turn it up. 'Cause it's all about you-oh-oh-oh-oh-oh-oh-oh-oh. It's all about you-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh. Anytime you start it. You're growing up a little darlin'. 'Cause it's all about you-oh-oh-oh-oh-oh-oh-oh-oh. It's all about you-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh. Anytime you start it. You're growing up a little darlin'"
love me again,"You walk in, you're with him. It ain't exactly hard to notice. Yeah, yeah, yeah. Watch you dance in his hands. It's hard to deal with all this closeness. Closeness. Now I'm standing here all alone. Putting numbers up in my phone. But none of these girls compare to you. Free drinks baby I'm a mess. Too late to second guess. One thing I gotta ask you. Can you love, can you love, can you love me again?. I messed up, I know what I did wrong. But don't say it's the end. Can you love, can you love, can you love me again?. Let's forgive and forget. Cause I'm hating this mistake I'm in. Can you love, can you love. Can you love me again? (oh, na, na). Hey, l-l-love me again (oh, na, na). Hey, l-l-love me again (oh, na, na). Hey, l-l-love me again (oh, na, na). Hey, l-l-love me again. Confession; I'm messed up. Chapters gone, why can't we close it?. Yeah, yeah, yeah. See you there in the dark. It's like you're moving in slow motion. Emotion (can you love, can you love, can you love?). Now I'm standing here all alone. Putting numbers up in my phone. But none of these girls compare to you. Free drinks baby I'm a mess. Too late to second guess. One thing I gotta ask you. Can you love, can you love, can you love me again?. I messed up, I know what I did wrong. But don't say it's the end. Can you love, can you love, can you love me again?. Let's forgive and forget. 'Cause I'm hating this mistake I'm in. Can you love, can you love. Can you love me again? (oh, na, na). Hey, l-l-love me again (oh, na, na). Hey, l-l-love me again (oh, na, na). Hey, l-l-love me again (oh, na, na). Hey, L-l-love me again. Missing that missing that hot body. Missing you putting that up on me. Wishing you wouldn't hang up on me. (Can you love, can you love, can you love?). Cause Im missing that, missing that hot body. Missing you putting that up on me. Wishing you wouldn't hang up on me, yeah. Hey, l-l-love me again (oh, na, na). Hey, l-l-love me again (can you love me?). Hey, l-l-love me again (oh, na, na). Hey, l-l-love me again (can you love me?). Hey, l-l-love me again (oh, na, na). Hey, l-l-love me again (can you love me?). Hey, l-l-love me again (oh, na, na). Hey, l-l-love me again (can you love me?). Hey, l-l-love me again (oh, na, na). Hey, l-l-love me again (can you love me again?). Hey, l-l-love me again (oh, na, na). Hey, l-l-love me again (can you love me again?). L-l-love me again"
look at the sky,"Look at the sky as you walk through life. So that tears won't overflow your heart. As you remember the spring day so bright. On this lonely, lonely night. Look at the sky when you walk through life. See how the stars blow away your tears flow. As you remember the summer day so bright. On this lonely, lonely night. Happiness may seem just out of sight. Beyond the clouds, try as we might. Look at the sky when you walk through life. So that tears won't overflow your heart. As we cry our way down the street. On this lonely, lonely night. As you remember all autumn day so bright. On this lonely, lonely night. Sadness is something we find out too soon. There in the stars and the shadow of the moon. Look at the sky when you walk through life. So that tears won't overflow your heart. As we cry in our winter days. On this lonely, lonely night. On this lonely, lonely night. Look at the sky when you walk through life. On this lonely night"
