little things,"Your hand fits in mine. Like it's made just for me. But bear this in mind. It was meant to be. And I'm joining up the dots. With the freckles on your cheeks. And it all makes sense to me. I know you've never loved. The crinkles by your eyes. When you smile. You've never loved. Your stomach or your thighs. The dimples in your back. At the bottom of your spine. But I'll love them endlessly. I won't let these little things. Slip out of my mouth. But if I do. It's you. Oh it's you. They add up to. I'm in love with you. And all these little things. You can't go to bed. Without a cup of tea. And maybe that's the reason. That you talk in your sleep. And all those conversations. Are the secrets that I keep. Though, it makes no sense to me. I know you've never loved. The sound of your voice on tape. You never want to know how much you weight. You still have to squeeze into your jeans. But you're perfect to me. I won't let these little things. Slip out of my mouth. But if it's true. It's you. It's you. They add up to. I'm in love with you. And all these little things. You'll never love yourself. Half as much as I love you. You'll never treat yourself right, darlin'. But I want you to. If I let you know. I'm here for you. Maybe you'll love yourself like I love you. I've just let these little things. Slip out of my mouth. 'Cause it's you. Oh it's you. It's you. They add up to. And I'm in love with you. And all these little things. I won't let these little things. Slip out of my mouth. But if it's true. It's you. It's you. They add up to. I'm in love with you. And all your little things"
story of my life,"Written in these walls are the stories. That I can't explain. I leave my heart open. But it stays right here empty for days. She told me in the morning. She don't feel the same about us in her bones. It seems to me that when I die. These words will be written on my stone. And I'll be gone gone tonight. The ground beneath my feet is open wide. The way that I've been holdin' on too tight. With nothing in between. The story of my life I take her home. I drive all night to keep her warm and time. Is frozen (the story of, the story of). The story of my life I give her hope. I spend her love. Until she's broke inside. The story of my life (the story of, the story of). Written on these walls. Are the colors that I can't change. Leave my heart open. But it stays right here in its cage. I know that in the morning now. I see us in the light upon a hill. Althought I am broken. My heart is untamed, still. And I'll be gone gone tonight. The fire beneath my feet is burning bright. The way that I've been holdin' on so tight. With nothing in between. The story of my life I take her home. I drive all night to keep her warm and time. Is frozen (the story of, the story of). The story of my life I give her hope. I spend her love. Until she's broke inside. The story of my life (the story of, the story of). And I've been waiting for this time to come around. But baby running after you. Is like chasing the clouds. The story of my life I take her home. I drive all night to keep her warm and time. Is frozen. The story of my life. I give her hope (give her hope). I spend her love. Until she's broke inside (until she's broke inside). The story of my life (the story of, the story of). The story of my life. The story of my life (the story of, the story of). The story of my life"
drag me down,"I've got fire for a heart, I'm not scared of the dark. You've never seen it look so easy. I got a river for a soul and baby you're a boat. Baby, you're my only reason. If I didn't have you there would be nothing left. The shell of a man that could never be his best. If I didn't have you I'd never see the sun. You taught me how to be someone, yeah. All my life you stood by me. When no one else was ever behind me. All these lights, they can't blind me. With your love, nobody can drag me down. All my life you stood by me. When no one else was ever behind me. All these lights, they can't blind me. With your love, nobody can drag me down. Nobody, nobody. Nobody can drag me down. Nobody, nobody. Nobody can drag me down. I've got fire for a heart, I'm not scared of the dark. You've never seen it look so easy. I got a river for a soul and baby you're a boat. Baby, you're my only reason. If I didn't have you there would be nothing left. The shell of a man that could never be his best. If I didn't have you I'd never see the sun. You taught me how to be someone, yeah. All my life you stood by me. When no one else was ever behind me. All these lights, they can't blind me. With your love, nobody can drag me down. Nobody, nobody. Nobody can drag me, down. Nobody, nobody. Nobody can drag me. All my life you stood by me. When no one else was ever behind me. All these lights, they can't blind me. With your love, nobody can drag me down. All my life you stood by me. When no one else was ever behind me. All these lights, they can't blind me. With your love, nobody can drag me down. Nobody, nobody. Nobody can drag me, down. Nobody, nobody. Nobody can drag me down. Nobody, nobody. Nobody can drag me, down. Nobody, nobody. Nobody can drag me down"
perfect,"I might never be your knight in shining armor. I might never be the one you take home to mother. And I might never be the one who brings you flowers. But I can be the one, be the one tonight. When I first saw you. From across the room. I could tell that you were curious (Oh, yeah). Girl, I hope you're sure. What you're looking for. 'Cause I'm not good at making promises. But if you like causing trouble up in hotel rooms. And if you like having secret little rendezvous. If you like to do the things. You know that we shouldn't do. Baby, I'm perfect. Baby, I'm perfect for you. And if you like midnight driving with the windows down. And if you like going places. We can't even pronounce. If you like to do whatever you've been dreaming about. Baby, you're perfect. Baby, you're perfect. So let's start right now. I might never be the hand you put your heart in. Or the arms that hold you any time you want them. But that don't mean that we can't live here in the moment. 'Cause I can be the one. You love from time to time. When I first saw you. From across the room. I could tell that you were curious (Oh, yeah). Girl, I hope you're sure. What you're looking for. Cause I'm not good at making promises. But if you like causing trouble up in hotel rooms. And if you like having secret little rendezvous. If you like to do the things. You know that we shouldn't do. Baby, I'm perfect. Baby, I'm perfect for you. And if you like midnight driving with the windows down. And if you like going places. We can't even pronounce. If you like to do whatever you've been dreaming about. Baby, you're perfect. Baby, you're perfect. So let's start right now. And if you like cameras flashing every time we go out. (Oh, yeah). And if you're looking for someone. To write your breakup songs about. Baby, I'm perfect. Baby, we're perfect. But if you like causing trouble up in hotel rooms. And if you like having secret little rendezvous. If you like to do the things. You know that we shouldn't do. Baby, I'm perfect. Baby, I'm perfect for you. And if you like midnight driving with the windows down. And if you like going places. We can't even pronounce. If you like to do whatever you've been dreaming about. Baby, you're perfect. Baby, you're perfect. So let's start right now"
you & i,"I figured it out. I figured it out from black and white. Seconds and hours. Maybe they had to take some time. I know how it goes. I know how it goes from wrong and right. Silence and sound. Did they ever hold each other tight, like us?. Did they ever fight, like us?. You and I. We don't want to be like them. We can make it 'till the end. Nothing can come between. You and I. Not even the Gods above. Can separate the two of us. No, nothing can come between. You and I. Oh, you and I. I figured it out. Saw the mistakes of up and down. Meet in the middle. There's always room for common ground. I see what it's like. I see what it's like for day and night. Never together. 'Cause they see things in a different light. Like us. They never tried, like us. You and I. We don't want to be like them. We can make it 'till the end. Nothing can come between. You and I. Not even the Gods above. Can separate the two of us. 'Cause you and I. We don't want to be like them. We can make it 'till the end. Nothing can come between. You and I. Not even the God's above. Can separate the two of us. No, nothing can come between. You and I (you and I). Oh, you and I. You and I. We can make it if we try. You and I. Oh You and I"
what makes you beautiful,"You're insecure. Don't know what for. You're turning heads when you walk through the door. Don't need make up. To cover up. Being the way that you are is enough. Everyone else in the room can see it. Everyone else but you. Baby you light up my world like nobody else. The way that you flip your hair gets me overwhelmed. But when you smile at the ground it ain't hard to tell. You don't know, oh oh. You don't know you're beautiful. If only you saw what I can see. You'll understand why I want you so desperately. Right now I'm looking at you and I can't believe. You don't know, oh oh. You don't know you're beautiful oh oh. But that's what makes you beautiful. So c-come on. You got it wrong. To prove I'm right I put it in a song. I don't know why. You're being shy. And turn away when I look into your eyes. Everyone else in the room can see it. Everyone else but you. Baby you light up my world like nobody else. The way that you flip your hair gets me overwhelmed. But when you smile at the ground it ain't hard to tell. You don't know, oh oh. You don't know you're beautiful. If only you saw what I can see. You'll understand why I want you so desperately. Right now I'm looking at you and I can't believe. You don't know, oh oh. You don't know you're beautiful, oh oh. That's what makes you beautiful. Na-na-na-na-na-naaa-na-na. Na-na-na-na-na. Na-na-na-na-na-naaa-na-na. Na-na-na-na-na. Baby you light up my world like nobody else. The way that you flip your hair gets me overwhelmed. But when you smile at the ground it ain't hard to tell. You don't know, oh oh. You don't know you're beautiful. Baby you light up my world like nobody else. The way that you flip your hair gets me overwhelmed. But when you smile at the ground it ain't hard to tell. You don't know, oh oh. You don't know you're beautiful. If only you saw what I can see. You'll understand why I want you so desperately. Right now I'm looking at you and I can't believe. You don't know, oh oh. You don't know you're beautiful, oh oh. You don't know you're beautiful, oh oh. That's what makes you beautiful"
history,"You've gotta help me. I'm losing my mind. Keep getting the feel. You want to leave this all behind. Thought we were going strong. I thought we were holding on. Aren't we?. No, they don't teach ya this in school. Now my hearts breaking. And I don't know what to do. Thought we were going strong. Thought we were holding on. Aren't we?. You and me got a whole lot of history. We could be the greatest team that the world has ever seen. You and me got a whole lot of history. So don't let it go, we can make some more. We can live forever. All of the rumours, all of the fights. But we always find a way to make it out alive. Thought we were going strong. Thought we were holding on. Aren't we?. You and me got a whole lot of history. We could be the greates team that the world has ever seen. You and me got a whole lot of history. So don't let it go, we can make some more. We can live forever. Minibars, expensive cars, hotel rooms. and new tattoos, and the good champagne. and private planes. But we don't need anything. Cause' the truth is out. I realise that without you here. Like there's just a lie. This is not the end. This is not the end. We can make ,it you know ,it you know. You and me got a whole lot of history. We could be the greatest team that the world has ever seen. You and me got a whole lot of history. So don't let it go, we can make some more. We can live forever. You and me got a whole lot of history. We could be the greatest team that the world has ever seen. You and me got a whole lot of history. So don't let it go, we can make some more. We can live forever. So, don't let me go. So, don't let me go. We can live forever. Baby, don't you know. Baby, don't you know. We can live forever"
they don't know about us,"People say we shouldn't be together. We're too young to know about forever. But I say they don't know what they talk talk talkin' about. Cause this love is only getting stronger. So I don't wanna wait any longer. I just wanna tell the world that you're mine, girl. Ohh?. They don't know about the things we do. They don't know about the I love you's. But I bet you if they only knew. They will just be jealous of us. They don't know about the up all night's. They don't know I've waited all my life. Just to find a love that feels this right. Baby, they don't know about. They don't know about us. Just one touch and I was a believer. Every kiss it gets a little sweeter. It's getting better. It's getting better all the time, girl. They don't know about the things we do. They don't know about the I love you's. But I bet you if they only knew. They will just be jealous of us. They don't know about the up all night's. They don't know I've waited all my life. Just to find a love that feels this right. Baby, they don't know about. They don't know about us. They don't know how special you are. They don't know what you've done to my heart. They can say anything they want. Cause, they don't know about us. They don't know what we do best. That's between me and you, our little secret. But I wanna tell them. I wanna tell the world that your mine, girl. They don't know about the things we do. They don't know about the I love you's. But I bet you if they only knew. They will just be jealous of us. They don't know about the up all night's. They don't know I've waited all my life. Just to find a love that feels this right. Baby they don't know about. They don't know about us. They don't know about the things we do. They don't know about the I love you's. But I bet you if they only knew. They will just be jealous of us. They don't know about the up all night's. They don't know I've waited all my life. Just to find a love that feels this right. Baby they don't know about. They don't know about us. They don't know about us"
night changes,"Going out tonight. Changes into something red. Her mother doesn't like that kind of dress. Everything she never had, she's showing off. Driving too fast. Moon is breaking through her hair. She's heading for something that she won't forget. Having no regrets is all that she really wants. We're only getting older, baby. And I've been thinking about it lately. Does it ever drive you crazy?. Just how fast the night changes. Everything that you've ever dreamed of. Disappearing when you wake up. But there's nothing to be afraid of. Even when the night changes. It will never change me and you. Chasing it tonight. Doubts are running around her head. He's waiting, hides behind a cigarette. Heart is beating loud, and she doesn't want it to stop. Moving too fast. Moon is lighting up her skin. She's falling, doesn't even know it yet. Having no regrets is all that she really wants. We're only getting older, baby. And I've been thinking about it lately. Does it ever drive you crazy?. Just how fast the night changes. Everything that you've ever dreamed of. Disappearing when you wake up. But there's nothing to be afraid of. Even when the night changes. It will never change me and you. Going out tonight. Changes into something red. Her mother doesn't like that kind of dress. Reminds her of the missing piece of innocence she lost. We're only getting older, baby. And I've been thinking about it lately. Does it ever drive you crazy?. Just how fast the night changes. Everything that you've ever dreamed of. Disappearing when you wake up. But there's nothing to be afraid of. Even when the night changes. It will never change, baby. It will never change, baby. It will never change me and you"
one thing,"I've tried playing it cool. But, when I'm looking at you. I can't ever be brave. 'Cause you make my heart race. Shot me out of the sky. You are my kryptonite. You keep making me weak, yeah. Frozen and can't breath. Some things gotta get loud. 'Cause I'm dying just to make you see. That I need you here with me now. 'Cause you've got that one thing. So, get out, get out, get out of my head. And fall into my arms instead. I don't, I don't, don't know what it is. But I need that one thing and. You've got that one thing. Now I'm climbing the walls. But you don't notice at all. That I'm going out of my mind. All day and all night. Some things gotta get out. 'Cause I'm dying just to know your name. And I need you here with me now. 'Cause you've got that one thing. So, get out, get out, get out of my head. And fall into my arms instead. I don't, I don't, don't know what it is. But I need that one thing. Get out, get out, get out of my mind. And c'mon, come in to my life. I don't, I don't, don't know what it is. But I need that one thing and. You've got that one thing. Oh, oh, oh, oh. Oh, oh, oh, oh. Oh, oh, oh, oh. You've got that one thing. Get out, get out, get out of my head. And fall into my arms instead. So, get out, get out, get out of my head. And fall into my arms instead. I don't, I don't, don't know what it is. But I need that one thing. Get out, get out, get out of my mind (out of my mind). And c'mon, come in to my life. I don't, I don't, don't know what it is. But I need that one thing and. You've got that one thing"
