i can't tell,"These are the last ten mintues before you go. and what could I tell you, I don't know. Your bag is packed you've got your raincoat on. you're still here but your love is gone. Now I could lock you in a cage and throw away the key. I could put you on an island with sharks in the sea. I could tie you up put a leash around your neck. But it doesn't make sense to hold you back. Because like . .. I can't tell the sun to shine in the night. I can't tell the moon to warm up it's light. I can't tell the summer forever to stay. I can't tell your love not to fade away. Like I can't the clouds to stop the rain. I can't tell the ocean to swallow my pain. I can't tell the time to bring back yesterday. I can't tell your love not to fade away. You look out of the window into the night. I know there is someone waitin' outside. it's too late to fight I can't even cry. Nothing can stop your last goodbye. Now I could put you in chains or build a chinese wall. Could kiss you night and day no one will hear you call. I could pay the police to keep you in town. But if love wants to fly you can't keep it down. Because like . .. I can't tell the sun to shine in the night. I can't tell the moon to warm up it's light. I can't tell the summer forever to stay. I can't tell your love not to fade away. Like I can't the clouds to stop the rain. I can't tell the ocean to swallow my pain. I can't tell the time to bring back yesterday. Like I can't tell your love not to fade away (oh no). And now when you close the door it won't change anything anymore. I felt the million miles between us, long before. And now when you close the door it won't change anything anymore. I felt the million miles between us, long before (long before...). And now when you close the door it won't change anything anymore. I felt the million miles between us, long before"
17 tragedy,"a boy, a girl. and a summer where it all began. we lived on love. and saltwater kisses in the rain. came fallin down on us. we never saw the sun again. she was my 17 tragedy. more than a bittersweet summerdream. tell me destiny could it be that. everybody needs a little. 17 tragedy. we drove all night. knowin'it would never be the same. goodbye in your eyes. still wish I could see them smile again. since you left I can't forget. those days were never gone. with 17 in love you are. so close- so near. and much too far. wanna stay forever. in my heart 17. how I wish our time could come back. how I wish we didn't end so sad. how I wish we'd wish together. those days back here forever. come and get here next to me. and say you still wanna be 17"
5 days,"It was love at first sight. on the second of july. Met her on the third floor. Four times in one night. It was a little bit of magic. And the time stood still. She took me to another side. she got the key to my will. Tell me how could such a good thing only last.... One, two three, four. Five days once in a lifetime. Five nights. Too good to be true. The universe is passin' by. But I can't forget our. One, two, three, four. Five days-sunshine-one-way-trip. Where she touched my soul when I touched her lips. She said ""boy take me to whereever you go. destination anywhere"". But destiny said no.. Tell me how could such a good thing only last.... One, two three, four. Five days once in a lifetime. Five nights. Too good to be true. The universe is passin' by. But I can't forget our. One, two, three, four. Five days once in a lifetime. Five nights. Too good to be true. The universe is passin' by. But I can't forget our. One, two, three, four. (Five days) Can't you hear me. (Five nights) from where you are?. (Five days) Can't you feel me?. (Five nights) You're still my love. It was so great when we were together, baby. So great when we were together. It was so great when our days were endless, baby. So great when we were together. Tell me how could our ""forever"" only last.... One, two three, four. Five days once in a lifetime. Five nights. Too good to be true. The universe is passin' by. But I can't forget our. One, two, three, four. Five days once in a lifetime. Five nights. Too good to be true. The universe is passin' by. But I can't forget our. One, two, three, four. (Five days) Can't you hear me. (Five nights) from where you are?. (Five days) Can't you feel me?. (Five nights) You're still my love. It was so great when we were together, baby. So great when we were together. It was so great when our days were endless, baby. So great when we were together"
a night to remember,I woke up today in stereo. They played my song on the radio. Bright morning light I know you like it. But I run to my car and get inside. I'm already daydreaming about tonight. Tonight is the night don't try to fight it. And even if they would say. I could have forever and a day. No way I don't want forever I just want tonight. Oh and this could be a night to remember. You and me and a night to remember. I know that we would never surrender. Even when the sun is risin' again. This could be the night to remember. You and me and a night to remember. I know that we would never surrender. Even when the sun is rising. Yea yea. I get off the car and on the floor. I could never-ever-never-never ask for more. Only the moon is full of sorrow. So let's light up this night is state of the art. The DJ's on and he's working hard. Nobody cares about tomorrow. And even if they would triy to say. I could have forever and a day. No way - I don't want forever I just want tonight. Oh and this could be a night to remember. You and me and a night to remember. I know that we would never surrender. Even when the sun is rising again. It's just begun there's no way back. Tonight's a day turned into black. A little supernatural emotion. I wanna see that midnight sunshine. A little bit of dream come true time. This could be a night to remember. You and me and a night to remember. This could be a night to remember. You and me and a night to remember. I know that we would never surrender. Even when the sun is rising again. This could be the night to remember. You and me and a night to remember. I know that we would never surrender. Even when the sun is rising. Repeat till end. Yea yeaa. Yea yeaa. Yea yeaa. Yea yeaa. Yea yeaa. A night to remember never surrender
amazing,The first sun is slowly killin' the night. I hear you breath constantly by my side. I gotta leave. Silently I wash out my office coffee cup. And I wish I could ignore the hands of the clock. I gotta leave ? you're still half asleep. I keep on watchin' your face. Try to remember your dream for me. And by the way. Everyday you're so damn amazing. A little bit of angel ? half dream away. You're like gravity ? you're holdin' me. So how am I supposed to leave. When you're so damn amazing. Amazing. I can't untie though I know it's just for a while. So I turn around to catch one last sleepy smile. I gotta leave ? you're still half asleep. I can't stop watchin' your face. Try to remember your dream for me. And by the way
be careful not to be too careful,I always knew how to lock up my soul. Exception all cases when I give up control. Was always afraid to lose myself and you. You worry too much 'bout being lonely. But I can tell you you're not the only. Who is need of someone. Someone who can catch your fall. Be careful with your lover take care of your soul. Be careful with your words and don't you lose. control. Be careful with your feelings and take care of your friends. But be careful not to be too careful. We got it all but we wasted it away. There is so much that we never say. We stand all along with our backs against the wall. Tell me who can catch our fall. Yeah yeah yeah. Be careful with your lover take care of your soul. Be careful with your words and don't you lose. control. Be careful with your feelings and take care of your friends. But be careful not to be too careful. But be careful not to be too careful. We stand all along with our backs against the wall. Tell me who can catch your fall. Be careful with your lover take care of your soul. Be careful with your words and don't you lose. control. Be careful with your feelings and take care of your friends. But be careful not to be too careful. Be careful with your lover take care of your soul. Be careful with your words and don't you lose. control. Be careful with your feelings and take care of your friends. But be careful not to be too careful
beautiful,"Like a thunderstorm on a summer day. She came out of nowhere and that can say. She´s a supernova shinin´ through the night. A never sleeping satellite. She´s a damn good reason for the sun to ride. When you see her smile in the morning light. When she cries, she cries a wishing well. Played hide and seek with the hounds of hell. She throws you down to take you high. Into her private sky. She´s so. Beautiful beautiful beautiful beautiful beautiful. Beautiful beautiful beautiful beautiful beautiful. Magical, mystical, irresistible, cosmical. A wonderful overkill and most of all beautiful. Ooooh ooh ooh aha. Ooooh ooh ooh. She´s so oooh ooh ooh. aha oooh ooh ooh. Beautiful. mmh so beautiful. You wanna call her name from the highest hill. And she´s better than a 5-million-dollar bill. She swims with you to atlantis´ coast. To keep you save while the world explodes. She´s diving down to keep you high. Inside her velvet sky. She´s so. Beautiful beautiful beautiful beautiful beautiful. Beautiful beautiful beautiful beautiful beautiful. Magical, mystical, irresistible, cosmical. A wonderful overkill and most of all beautiful. Ooooh ooh ooh. She´s so beautiful. She´s so oooh ooh ooh. Aha oooh ooh ooh. Beautiful. She´s a mermaid who´s left her fairytale. She wrote a brandnew song for the nightingale. Sometimes I think she´s invented but. Thank-god she´s made of flesh and blood.. She´s everything I´ve ever missed the more. But most of all she is. Beautiful beautiful beautiful beautiful beautiful. Beautiful wonderful powerful magical mystical. Irresistible overkill and most of all beau-ti-ful. Ooooh ooh ooh. She´s so beautiful. She´s so oooh ooh ooh. Aha oooh ooh ooh. Repeat several times"
celebrate youth,"When you're young. Don't slow down before. You feel old. Patrick 'Cause there's so much more. To this life. Way too beautiful to ignore. Nuo. So go out. On the street and dance. Find a girl. Celebrate Maybe just romance. Maybe love. Maybe just another thrill. But sure we will. Youth. Chorus. Celebrate youth. While we feel young. And make it last forever. Songtexte Dance on the streets and to this song. Celebrate youth while you feel young. Songtext. When you think. That you've seen it all. Go and try. Lyrics The impossible. Loose your mind. And find out what lies behind. Lyric And you'll see. There's never enough time. Chorus (2x). Liedertexte No we won't stop to celebrate. Won't stop to celebrate. Liedertext We won't. No we won't stop to celebrate. Won't stop to celebrate. Alle So come on let's go out tonight. Chorus (2x). No we won't stop to celebrate. Patrick Won't stop to celebrate. We won't. No we won't stop to celebrate. Nuo Won't stop to celebrate. And we feel ? young. What I just can't have. Celebrate. My heart is torn. Sacrificed, I just let it go. Baby, girl, just listen. Youth Cos Lady there?s just one thing to know, yeah. You see my soul is crying. Songtexte But I just can?t let go. Girl, I feel like dying. Songtext I still have this hole. Chorus. I always want what I just can?t have. Lyrics I always get what I just don?t need. I always want what I just can?t have. Lyric I seem to lose when I try to suceed. And I get away to be free again. Liedertexte Free at last, yeah. I?m running away from my inner fears. Liedertext From my past, yeah. What I just can't have. Some people have noone. Alle They search a lifetime lonely. But we have each other, mama. Patrick And I?m pretty sure for this lifetime only. You see my soul is crying. Nuo But I just can?t let go. Girl, I feel like dying. Celebrate I still have this hole. Chorus. I can?t sleep at night. Youth I can dream all day about ya. And I get away to be free again. Songtexte Free at last. I?m running away from my inner fears. Songtext From my past. Chorus (2x)"
crazy,5 o'clock in the morning. I'm still waiting for you to come home. And I guess my loneliness won't leave me alone (no no). I'm starrin' at my walls now. And see my world in black and white. You are in my dreams. You are on my mind. You're my always shining light. And I wish I would wake up yesterday. The day before my dreams were crept away. You're driving me crazy. And since you are gone I feel so lonely. You're driving me crazy. I know that you're the one come back to me. You're driving me crazy. And since you are gone I feel so lonely. You're driving me crazy. You drive me craa...eah....eah.... You driving me crazy. You driving me crazy. The way you always touched me. And all the gloomy words you left behind. Are crawling on the backseat of my mind (oh yeah). And I wish I would wake up yesterday. The day before my dreams were crept away. You're driving me crazy. And since you are gone I feel so lonely. You're driving me crazy. I know that you're the one come back to me. You're driving me crazy. And since you are gone I feel so lonely. You're driving me crazy. You drive me craa...eah...eah...eah...eaazy. Come back to me (oh oh all right all right). Come back to me. I've been so lonely tonight. And since you are gone I feel so lonely. You're driving me crazy. I know that you're the one come back to me. You're driving me crazy. And since you are gone I feel so lonely. You're driving me crazy. You drive me cra...eah...eahh.... You're driving me crazy. You drivin' me crazy
eject my heart,come on over - let me stroke your hair. try to look into your eyes -. but there´s no one there. a scene of destruction - no sign of doubt. all I want is - just some way out. cold things never catch fire. help me out of this you beautiful liar. I don´t regret the day we met. but eject my heart. cold things never catch fire. help me out of of this beautiful liar. I forgive you for all you haven´t done. but eject my heart it´s my only one. You say you must be goin´-. standin´ in the door. you didn´t dare to need me-. you didn´t talk anymore. I feel no affection in your last embrace. seems love itself has left this place. why should i cry. For love at anyonce. ooohh oh oh oh ooooh. yeah yeah yeah yeaaah. cold things never catch fire. help me out of of this beautiful liar. I forgive you for all you haven´t done. but eject my heart it´s my only one
emotionally connected,I've got nothing but thoughts of you in my head. Everything else is just passin' by. And again and again this feeling will run. Everyday and everynight. We will never have to lie. We will never have to say goodbye. Because we are - because we are. Emotionally connected we are. So love infected. Emotionally connected we are. So in love respect it. Emotionally connected we are. In love and I just. Told you I don't know what to do. When I fall in love with you. Emotionally connected. Emotionally connected. Emotionally connected. You don't go nowhere without my love. I never have to make you stay. Now I see you standin' by the door. Even though you're miles away. We will never have to lie. We will never have to say goodbye. Because we are - because we are. Emotionally connected we are. So love infected. Emotionally connected we are. So in love respect it. Emotionally connected we are. In love and I just. Told you I don't know what to do. When I fall in love with you. Emotionally connected. Emotionally connected. Emotionally connected. Because we are - because we are. Emotionally connected we are. So love infected. Emotionally connected we are. So in love respect it. Emotionally connected we are. In love and I just. Told you I don't know what to do. When I fall in love with you. (Repeat till end). I just. Told you I don't know. Told you I don't know. Told you I don't know. Told you
finally,"Out of here and now and in your eyes. I see a million tears passin by and by. Patrick It was hart sometimes to keep our love alive. But we tried to go on. Nuo Yes we tried, we tried, we tried. I look back, in the review-mirror. Finally A long road, of a strong believe, that.... Chorus. Finally. It’s you and me. Songtexte Worlds are breakin‘ down. And no one can see. That finally. Songtext We will be. Two everlasting souls. In a wild wild sea. Lyrics Finally. We never wasted time to count our scares. But they always told us , who we are. Lyric We tried to heal the wounds with all our love. Two soulmates, with one heart. Liedertexte. I look back, in the review-mirror. A long road, of a strong believe, that.... Liedertext. Chorus. Out of here and now and in your eyes. I see a million stars fallin‘ down. Alle Tonight .... Chorus"
girl in the moon,Something beautiful touched my soul. Something from the outside to control. And I can´t wait till the end of the day. When she comes over to take me away. She makes me fly. It´s in her eyes. She´s my girl in the moon. An angel put a smile upon her face. She is my girl in the moon. In the dawn she´s gone without a trace. Ain´t nobody else´s girl. No one can tear us apart. How I wish I´d carry her forever in my heart. On my own I watch the stars tonight. I´m longing for her until it hurts inside. I hope she comes at the end of the day. She enfolds me to take me away. She makes me cry. It´s in her eyes. She´s my girl in the moon. An angel put a smile upon her face. She is my girl in the moon. In the dawn she´s gone without a trace. Ain´t nobody else´s girl. No one can tear us apart. How I wish I´d carry her forever in my heart. She´s my girl in the moon. An angel put a smile upon her face. She is my girl in the moon. In the dawn she´s gone without a trace. Ain´t nobody else´s girl. No one can tear us apart. I know I will be with her soon. She is my girl- girl in the moon
gone,"All the moves I was afraid to make. All the chances that I didn't take. Oh I cried out loud when they were gone. There was so much I should have said. For some reason I chose silence instead. And I cried out loud when you were gone. I was movin' in the wrong direction. Now I'm tryin' to get away from affection. All the years I was too blind to see. That a friend was standin' next to me. Why do people always start to appreciate. When it's gone, when it's done, when it's too late. People always start to appreciate. When it's gone when it's too late. When it's gone when it's too late. When it's gone when it's too late. Life can be much more than it seems. Try to seize your day and live your dreams. 'cause you will cry out loud. when they are gone. When do we stop to take it all for granted. it's always gone before we understand it. we don't take care of us until we're torn. we don't take care of friends until they're gone. Why do people always start to appreciate. When it's gone, when it's done, when it's too late. People always start to appreciate. When it's gone when it's too late. When it's gone then it's too late. Try to realize what is fake what is true. try to make up your mind who's important to you. then you'll never know the feelin' of sorrow. for all that is gone. Why do people always start to appreciate. When it's gone, when it's done, when it's too late. People always start to appreciate. When it's gone when it's too late. When it's gone then it's too late. Why do people always start to appreciate. When it's gone, when it's done, when it's too late. People always start to appreciate. When it's gone then it's too late"
here we come again,"Refrain 1. No mountain high enough to stop us,. No ocean wild enough to rock us,. No down can keep us from the top. Cause here we come, here we come again.. I'm your sunshine on a rainy day,. I won't let you down, I might be. A million miles away but I'll be still around.. I feel like we could save the world tonight,. No matter what they say, we're on our way.. Refrain 1. Refrain 2. No storm is strong enough to break us,. No river will ever seperate us,. Nothing can get in our way,. Cause here we come, here we come again.. Let me guide you through the clouds tonight,. Until the end is through,. I'll be there until the stars can light,. Watching over you.. Hey, I'm telling you it's possible,. No matter what they say,. We're on our way.. Refrain 1 & 2. To ride the storm, to carry on,. Together nothing can go wrong,. A brandnew day, and you know, hey,. We're on our way. 2 x Refrain 1 & 2"
