rush rush,"You're the whisper of a summer breeze. You're the kiss that puts my soul at ease. What I'm sayin' is I'm into you. Here's my story, and the story goes. You give love. You get love. And more than heaven knows. You're gonna see. I'm gonna run, I'm gonna try. I'm gonna take this love right to ya. All my heart, all the joy. Oh, baby, baby, please. Rush, rush. Hurry, hurry lover, come to me. Rush, rush. I wanna see, I wanna see you free with me. Rush, rush. I can feel it, I can feel you all through me. Rush, rush. Oh, what you do to me. And all I want from you is what you are. And even if you're right next to me. It's still too far away. If I'm not inside your arms. I get traumatic, baby, yes I know. But I need you. I want you. Oh, man, I love you so. You're gonna see. I'm gonna run, I'm gonna try. I'm gonna take this love right to ya. All my heart, all the joy. Oh, baby, baby, please. Rush, rush. Hurry, hurry lover, come to me. Rush, rush. I wanna see, I wanna see you free with me. Rush, rush. I can feel it, I can feel you all through me. Rush, rush. Oh, what you do to me. When you kiss me up and down. Turn my senses all around. Oh, baby, oh, baby. I don't know just how or why. But no one else has touched me so deep, so deep. So deep inside. You're gonna see. I'm gonna run, I'm gonna try. I'm gonna take this love right to ya. All my heart, all the joy. Oh, baby, baby, please. Rush, rush. Hurry, hurry lover, come to me. Rush, rush. I wanna see, I wanna see you free with me. Rush, rush. I can feel it, I can feel you all through me. Rush, rush. Oh, what you do to me. Rush, rush. Hurry, hurry lover, come to me. Rush, rush. I wanna see, I wanna see you free with me. Rush, rush. I can feel it, I can feel you all through me. Rush, rush. Oh, what you do to me"
cold hearted,"(Elliot Wolff). He's a cold-hearted snake. Look into his eyes. Oh oh oh. He's been tellin' lies. He's a lover boy at play. He don't play by rules. Oh oh oh. Girl don't play the fool--no. You're the one givin' up the love. Anytime he needs it. But you turn your back and then he's off. and runnin' with the crowd. You're the one to sacrifice. Anything to please him. Do you really think he thinks about you. when he's out. He's a cold-hearted snake. Look into his eyes. Oh oh oh. He's been tellin' lies. He's a lover boy at play. He don't play by rules. Oh oh oh. Girl don't play the fool--no. It was only late last night. He was out there sneakin'. Then he called you up to check that you. were waiting by the phone. All the world's a candy store. He's been trick or treatin'. When it comes to true love girl with him. there's no one home. He's a cold-hearted snake. Look into his eyes. Oh oh oh. He's been tellin' lies. He's a lover boy at play. He don't play by rules. Oh oh oh. Girl don't play the fool--no. You could find somebody better girl. He could only make you cry. You deserve somebody better girl. He's c-cold as ice. He's a cold-hearted snake. Look into his eyes. Oh oh oh. He's been tellin' lies. He's a lover boy at play. He don't play by rules. Oh oh oh. Girl don't play the fool--no. He's a cold-hearted snake. Look into his eyes. Oh oh oh. He's been tellin' lies. He's a lover boy at play. He don't play by rules. Oh oh oh. Girl don't play the fool--(repeat to fade). Rap:. How come how come. he can he can tell-a tell-a you're-a you're-a. Always always number number one without a doubt. (He's he's one one cold cold snake snake). When-a when-a. he is he is always always squirmin' squirmin'. Like a little snake under-a e-ver-y-a rock. (No no give give, all all take take). You've been you've been workin' workin' on the on the love. And he's been only only playing. undercover all the while. (One one smooth smooth sharp sharp tongue tongue). Take a take another 'nother look into his eyes. (He he just just talks). And you will only see a reptile"
(it's just) the way that you love me,It ain't the clothes that you wear. It ain't the things that you buy. It ain't your house on the hill. It ain't the plane that you fly. It ain't your black limousine. It ain't your ninety-foot yacht. It ain't the things that you'll get. It ain't the things that you got. It ain't the money or the diamond rings. Honey I ain't impressed with your material things. It's the way that you love me. It's just the way that you love me. It's the way that you love me. It's just the way that you love me. It ain't your friends at the top. It ain't their fortune and fame. It ain't your heavy connections. It ain't the Hollywood game. Ain't famous people or the parties they throw. Honey I ain't impressed with all the people you know. It's just the way that you love me. (In the heat of the night). It's just the way that you love me. (Baby). It's just the way that you love me. (When you're loving me right). It's just the way that you love me. (Baby). It's just the way that you love me. (And the things that you do). It's just the way that you love me. (Baby). It's just the way that you love me. (Make me crazy for you). It's just the way that you love me. It ain't the money or the diamond rings. Honey I ain't impressed with those material things. It ain't the trips to Brazil. It ain't the weekends in Rome. It ain't the French Riviera. You know I'd rather stay home. Ain't the Bahamas. It ain't Monaco. Honey I ain't impressed. With all the places we go. It's just the way that you love me. The way that you love me. The way that you love me. It's just the way that you love me. The way that you love me. (It ain't the money). It's just the way that you love me. (Or the diamond rings). The way that you love me. (Ain't what you buy me baby). It's just the way that you love me. (Ain't material things). The way that you love me. (Ain't your Maserati). It's just the way that you love me. (Your house on the hill). The way that you love me. (It ain't the parties). It's just the way that you love me. (Or the trips to Brazil). Watch me dancin'....
straight up,Lost in a dream. Don't know which way to go. (Let me tell you that). You aren't all that you seem. And baby I'm movin' way too slow. I've been a fool before. Wouldn't like to get my love caught. In the slammin' door. How about some information please. Straight up now tell me. Do you really want to love me forever oh oh oh. Or am I caught in a hit and run. Straight up now tell me. Is it gonna be you and me together oh oh oh. Or are you just having fun?. Time's standing still. Waiting for some small clue. (Let me tell you that). I keep getting chills. When I think your love is true. I've been a fool before. Wouldn't like to get my love caught. In the slammin' door. How about some information please. Straight up now tell me. Do you really want to love me forever oh oh oh. Or am I caught in a hit and run. Straight up now tell me. Is it gonna be you and me together oh oh oh. Or are you just having fun?. You are so hard to read. You play hide and seek. With your true intentions. If you're only playing games. I'll just have to say: buh buh buh buh buh buh bye. Do do you love me. Do do you love me. (Hey baby). Do do you love me. Do do you love me. (Hey baby). Do do you love me. Do do you love me. (Hey baby). Do do you love me. Do do you love me. (Tell me baby). I've been a fool before. Wouldn't like to get my love caught. In the slammin' door. Are you more than hot for me. Or am I a page in your history book. I don't mean to make demands. But the word and the deed go hand in hand. How about some information please (please please please). Straight up now tell me x3. Tell me. Straight up now tell me. Tell me. Straight up now tell me x2. Straight up now tell me. Do you really want to love me forever oh oh oh. Or am I caught in a hit and run. Straight up now tell me. Is it gonna be you and me together oh oh oh. Or are you just having fun?. Straight up now tell me. Do you really want to love me forever oh oh oh. Or am I caught in a hit and run. Straight up now tell me. Is it gonna be you and me together oh oh oh. Or are you just having fun?.
vibeology,"(P. Lord / S. St. Victor / V.J. Smith). Ooh work it baby. A give me that vibe. Uh what is it?. Chorus:. Ya got that vibeology. That V-I-B-Eology. Your body is pumped. Next to me. Ya got that sensuality. And oh I love what ya do. When ya do what ya do. Ya got me pumped. In the groove. When ya move. I'm in a funky way I'm. I'm in a funky way I'm. Horny horns!!. I'm in a funky way a. Give me that. I'm in a funky way a. Give me that vibeology. Vibeology now what is that?. Well it's the study. Of the chemistry. Between you and me.. Chorus. Vibeology. Feelings you send me. Vibeology. A funky beat and then he's. Ooh. Vibeology. Oh the vibes the vibes. Vibeology. Ayee, ayee.... I'm in a funky way a. Give me that. I'm in a funky way a. Give me that vibe. I'm in a funky way a. Give me that. Vibeology. Those vibes they keep. Getting to me. I don't know what to do. A give me that vibe. I'm in a funky way. Oh I'm in a. A give me that vibe. I'm in a funky way. Vibeology. I'm in a. Uh it would be very. Unvibeolistic of you to. Uhruh. Not get into the vibes I'm. Sending you. Right there uh you see. Love is like a.... And oh I love what ya do. Ya got me pumped. In the groove when ya move. I'm in a funky way. Vibeology. A funky beat and then he's. Ooh. Vibeology. Oh the vibes the vibes. Vibeology."
ain't never gonna give you up,(Elliot Wolff / Howie Tee / Bryan Abrams / Mark Calderon / Kevin Thornton / Sam Watters). Well there's not a bit of truth in what you hear. Just a whole lot of jealousy out there smearin'. My good name all over the place. Just to get you thinkin' that I'm two faced. But I would never go south. I was never dreamin' of anybody else. You're the only one I'd ever be with. I got a whole lot to say but babe the truth is. Chorus:. Ain't never gonna give you up. Ain't never gonna let you down baby. Ain't never gonna give you up. Hey hey hey hey. Yea yea yea. Ain't never gonna give you up. Yea yea yea. Ain't never gonna let you down baby. I wanna be right there for you so don't. Believe another word cause all those low girls. Only wanna put the split between us. They keep getting off on all the fuss. But I will always treat you. Just the way I always I'd do. You're the only one I'd ever be with. I got a whole lot to say but babe the truth is. Chorus. Baby don't you know that I want to be with you. Chorus
the way that you love me,It ain't the clothes that you wear. It ain't the things that you buy. It ain't your house on the hill. It ain't the plane that you fly. It ain't your black limousine. It ain't your ninety-foot yacht. It ain't the things that you'll get. It ain't the things that you got. It ain't the money or the diamond rings. Honey I ain't impressed with your material things. It's the way that you love me. It's just the way that you love me. It's the way that you love me. It's just the way that you love me. It ain't your friends at the top. It ain't their fortune and fame. It ain't your heavy connections. It ain't the Hollywood game. Ain't famous people or the parties they throw. Honey I ain't impressed with all the people you know. It's just the way that you love me. (In the heat of the night). It's just the way that you love me. (Baby). It's just the way that you love me. (When you're loving me right). It's just the way that you love me. (Baby). It's just the way that you love me. (And the things that you do). It's just the way that you love me. (Baby). It's just the way that you love me. (Make me crazy for you). It's just the way that you love me. It ain't the money or the diamond rings. Honey I ain't impressed with those material things. It ain't the trips to Brazil. It ain't the weekends in Rome. It ain't the French Riviera. You know I'd rather stay home. Ain't the Bahamas. It ain't Monaco. Honey I ain't impressed. With all the places we go. It's just the way that you love me. The way that you love me. The way that you love me. It's just the way that you love me. The way that you love me. (It ain't the money). It's just the way that you love me. (Or the diamond rings). The way that you love me. (Ain't what you buy me baby). It's just the way that you love me. (Ain't material things). The way that you love me. (Ain't your Maserati). It's just the way that you love me. (Your house on the hill). The way that you love me. (It ain't the parties). It's just the way that you love me. (Or the trips to Brazil).
ho-down,(Elliot Wolff / Howie Hersh /Da' Count / Paula Abdul / Robb Boldt / Jesse Greer / Irving Mills / Cab Calloway / Clarence Gaskill). Chorus:. That's what I want. That's what I need. That's what I want. Ho-down. She sprays her lies around her like the clouds release the rain. And endless stream of promises that vaporize again. Remember last Tuesday when you said it was the end. You caught her in your Nissan getting funky with your best friend. She will never change till her flesh is under dirt. But then at least she's hangin' with neighbors she deserves. Forgive me if I seem to sound a little on the loose. But I cannot pour sugar just to sweeten up the truth. I would like to wish her to a long forgotten dream. Happened early morning when I was just two or three. Everyone around who didn't quite fit in the mix. Turned and waved goodbye and disappeared without a hitch. Except my friend Billy who live just across the way. The world belonged to us forever on from that day. Until we ran into that sneaky girl from down the street. Who tried to smile so pretty stealing Billy right from me. Chorus. The world spun around her everywhere that she would go. But even my friend Billy knew that she was just a - oh no. She had such a way to twist and turn a simple truth. Told my friend Billy I had been a little loose. Then Billy took her by the arm and left me standing all along. I just had to wait there watching them do-se-do. Till Billy pushed her in the deepest darkest hole around. It was goodbye sneaky girl - ho down. I would like to wish her for her a place to somewhere far. A place in outer space to some exotic little star. A million miles away would probably suit the planet fine. Someplace where it's clear she is gone and you are mine. Or maybe some romantic little island in the sea. As far away as it is possible to be. She can have the flowers and the wind. And I can have my baby back with me once again. Chorus. I would like to wish for her another little story. My daddy said to me when I was just a little girly. He told me 'bout a pretty graceful lovely lady bird. Who never could find a nest good enough for her. From every tree she landed in she saw one that was better. So off she went before she ever could regain her breath. Wasn't it a pity when she finally hit the ground. It was goodbye lovely birdy - ho down.
(it's just) the way that you love me,It ain't the clothes that you wear. It ain't the things that you buy. It ain't your house on the hill. It ain't the plane that you fly. It ain't your black limousine. It ain't your ninety-foot yacht. It ain't the things that you'll get. It ain't the things that you got. It ain't the money or the diamond rings. Honey I ain't impressed with your material things. It's the way that you love me. It's just the way that you love me. It's the way that you love me. It's just the way that you love me. It ain't your friends at the top. It ain't their fortune and fame. It ain't your heavy connections. It ain't the Hollywood game. Ain't famous people or the parties they throw. Honey I ain't impressed with all the people you know. It's just the way that you love me. (In the heat of the night). It's just the way that you love me. (Baby). It's just the way that you love me. (When you're loving me right). It's just the way that you love me. (Baby). It's just the way that you love me. (And the things that you do). It's just the way that you love me. (Baby). It's just the way that you love me. (Make me crazy for you). It's just the way that you love me. It ain't the money or the diamond rings. Honey I ain't impressed with those material things. It ain't the trips to Brazil. It ain't the weekends in Rome. It ain't the French Riviera. You know I'd rather stay home. Ain't the Bahamas. It ain't Monaco. Honey I ain't impressed. With all the places we go. It's just the way that you love me. The way that you love me. The way that you love me. It's just the way that you love me. The way that you love me. (It ain't the money). It's just the way that you love me. (Or the diamond rings). The way that you love me. (Ain't what you buy me baby). It's just the way that you love me. (Ain't material things). The way that you love me. (Ain't your Maserati). It's just the way that you love me. (Your house on the hill). The way that you love me. (It ain't the parties). It's just the way that you love me. (Or the trips to Brazil). Watch me dancin'....
ain't never gonna give you up,(Elliot Wolff / Howie Tee / Bryan Abrams / Mark Calderon / Kevin Thornton / Sam Watters). Well there's not a bit of truth in what you hear. Just a whole lot of jealousy out there smearin'. My good name all over the place. Just to get you thinkin' that I'm two faced. But I would never go south. I was never dreamin' of anybody else. You're the only one I'd ever be with. I got a whole lot to say but babe the truth is. Chorus:. Ain't never gonna give you up. Ain't never gonna let you down baby. Ain't never gonna give you up. Hey hey hey hey. Yea yea yea. Ain't never gonna give you up. Yea yea yea. Ain't never gonna let you down baby. I wanna be right there for you so don't. Believe another word cause all those low girls. Only wanna put the split between us. They keep getting off on all the fuss. But I will always treat you. Just the way I always I'd do. You're the only one I'd ever be with. I got a whole lot to say but babe the truth is. Chorus. Baby don't you know that I want to be with you. Chorus
