beautiful girl,Nicky's in the corner. With a black coat on. Running from a bad home. With some cat inside. Now where did you find her. Among the neon lights. That haunt the streets outside. She says. Stay with me. Beautiful girl. Stay with me. Beautiful girl. Stay with me. She wants to go home. From doorway to doorway. Street corner to corner. With the neon ghosts in the city. And she says. Stay with me (4x). She's so scared. So very frightened. Anything could happen. Right here tonight. by bia_sr ^^
"london, london","I'm wandering round and round, nowhere to go. I'm lonely in London, London, is lovely so. I cross the streets without fear, everybody keeps the way clear. I know there's no one here to say hello. I know they keep the way clear. I am lonely in London without fear. I'm wandering round and round, nowhere to go. While my eyes, go looking for flying saucers in the sky. Yes my eyes, go looking for flying saucers in the sky. Oh, sunday, monday, autumn pass by me. And people hurry on so peacefully. A group approach the policeman,. He seems so pleased to please them. It's good to live at least and I agree. He seemed so pleased at least. And it's so good to live in peace. And Sunday, Monday years and I agree. (Chorus). I choose no face to look at, choose no way. I just happen to be here and it's ok. Green grass, blue eyes, gray sky. God bless, silent pain and happiness. I came around to say yes, and I say. Green grass, blue eyes, gray sky. God bless, silent pain and happiness. I came around to say yes, and I say. (Chorus x3)"
beautiful girl,Nicky's in the corner. With a black coat on. Running from a bad home. With some cat inside. Now where did you find her. Among the neon lights. That haunt the streets outside. She says. Stay with me. Beautiful girl. Stay with me. Beautiful girl. Stay with me. She wants to go home. From doorway to doorway. Street corner to corner. With the neon ghosts in the city. And she says. Stay with me (4x). She's so scared. So very frightened. Anything could happen. Right here tonight. by bia_sr ^^
careless whispers,"I feel so unsure. as I take your hand and lead to the dance floor. as the music dies, something in your eyes. calls to mind the silver screen. and all its sad good-byes. I'm never gonna dance again. guilty feet have got no rhythm. though it's easy to pretend. I know you're not a fool. Should've known better than to cheat a friend. and waste the chance that I've been given. so I'm never gonna dance again. the way I danced with you. Time can never mend. the careless whispers of a good friend. to the heart and mind. ignorance is kind. there's no comfort in the truth. pain is all you'll find. I'm never gonna dance again. guilty feet have got no rhythm. though it's easy to pretend. I know you're not a fool. Should've known better than to cheat a friend. and waste this chance that I've been given. so I'm never gonna dance again. the way I danced with you. Never without your love. Tonight the music seems so loud. I wish that we could lose this crowd. Maybe it's better this way. We'd hurt each other with the things we'd want to say. We could have been so good together. We could have lived this dance forever. But now whose gonna dance with me. Please stay. And I'm never gonna dance again. guilty feet have got no rhythm. though it's easy to pretend. I know you're not a fool. Should've known better than to cheat a friend. and waste the chance that I've been given. so I'm never gonna dance again. the way I danced with you. (Now that you're gone) Now that you're gone. (Now that you're gone) What I did's so wrong, so wrong. that you had to leave me alone"
crazy little thing called love,"This thing called love I just cant handle it. This thing called love I must get round to it. I aint ready. Crazy little thing called love. This (this thing) called love. (called love). It cries (like a baby). In a cradle all night. It swings (woo woo). It jives (woo woo). It shakes all over like a jelly fish. I kinda like it. Crazy little thing called love. There goes my baby. She knows how to rock n roll. She drives me crazy. She gives me hot and cold fever. Then she leaves me in a cool cool sweat. I gotta be cool... relax. Get hip, Get on my tracks. Take a back seat, hitch-hike. And take a long ride on my motor bike. Until Im ready. Crazy little thing called love. I gotta be cool relax, get hip. Get on my tracks. Take a back seat, hitch-hike. And take a long ride on my motor bike. Until Im ready (ready freddie). Crazy little thing called love. This thing called love. I just cant handle it. This thing called love I must get round to it. I aint ready. Crazy little thing called love"
fire and rain,"Just yesterday morning they let me know you were gone. Suzanne the plans they made put an end to you. I walked out this morning and I wrote down this song. I just can't remember who to send it to. I've seen fire and I've seen rain. I've seen sunny days that I thought would never end. I've seen lonely times when I could not find a friend. But I always thought that I'd see you again. Won't you look down upon me, Jesus. You've got to help me make a stand. You've just got to see me through another day. My body's aching and my time is at hand. And I won't make it any other way. oh, I've seen fire and I've seen rain. I've seen sunny days that I thought would never end. I've seen lonely times when I could not find a friend. But I always thought that I'd see you again. I’ve been walking my mind to an easy time. My back turned towards the sun. Lord knows when the cold wind blows it’ll turn your head around. Well, there’s hours of time on the telephone line. To talk about things to come. Sweet dreams and flying machines in pieces on the ground.. oh, I've seen fire and I've seen rain. I've seen sunny days that I thought would never end. I've seen lonely times when I could not find a friend. But I always thought that I'd see you, baby, one more time again, now. Thought I'd see you one more time again. There's just a few things coming my way this time around, now. Thought I'd see you, thought I'd see you fire and rain, now"
imagine (cover),Imagine there's no heaven. It's easy if you try. No hell bellow us. Above us only sky. Imagine all the people. Living for today. Imagine there's no countries. It isn't hard to do. Nothing to kill or die for. And no religion too. Imagine all the people. Living life in peace. You may say I'm a dreamer. But I'm not the only one. I hope someday you'll join us. And the world will be as one. Imagine no possessions. I wonder if you can. No need for greed or hunger. A brotherhood of man. Imagine all the people. Sharing all the world. You may say I'm a dreamer. But I'm not the only one. I hope someday you'll join us. And the world live as one. And the world live as one. And the world live as one
is this love,"I wanna love you and treat you right. I wanna love you every day and every night. We'll be together with a roof right over our heads. We'll share the shelter of my single bed. We'll share the same room, yeah, oh jah provide the. bread. Is this love, is this love, is this love. Is this love that I'm feeling?. Is this love, is this love, is this love. Is this love that I'm feeling?. I wanna know, wanna know, wanna know now. I got to know, got to know, got to know now. I, I, I, I, I, I, I, I, I, I'm willing and able. so I throw my cards on your table"
isn't she lovely,"Isn't she lovely. Isn't she wonderfull. Isn't she precious. Less than one minute old. I never thought through love we'd be. Making one as lovely as she. But isn't she lovely made from love. Isn't she pretty. Truly the angel's best. Boy, I'm so happy. We have been heaven blessed. I can't believe what God has done. through us he's given life to one. But isn't she lovely made from love. Isn't she lovely. Life and love are the same. Life is Aisha. The meaning of her name. Londie, it could have not been done. Without you who conceived the one. That's so very lovely made from love."
jealous guy,I was dreaming of the past. and my heart was beating fast. I began to lose control. I began to lose control. I didnt mean to hurt you. I'm sorry that I made you cry. I didnt want to hurt you. I'm just a jealous guy. I was feeling insecure. You might not love me anymore. I was shivering inside. I was shivering inside. I didnt mean to hurt you. I'm sorry that I made you cry. I didnt want to hurt you. I'm just a jealous guy. (whistle). I didnt mean to hurt you. I'm sorry that I made you cry. I didnt want to hurt you. I'm just a jealous guy. I was trying to catch your eye. Thought the you was trying to hide. I was swallowing my pain. I was swallowing my pain. I didnt mean to hurt you. I'm sorry that I made you cry. I didnt want to hurt you. I'm just a jealous guy. watchout im just a jealous guy. lookout babe im just a jealous guy
