give stupidity a chance,"Intelligent people have had their say. It's time for the foolish to show the way. Let's lead this world a merry dance. Let's give stupidity a chance. We've heard quite enough of experts and their dealings. Why face the facts when you can just feel the feelings?. Let's lead this world a merry dance. Let's give stupidity a chance. Forget political correctness. I mean W-T-F?. I don't wanna think about the world. I wanna talk about myself!. Instead of governing with thoughtful sensitivity. Let's shock and awe the world with idiotic bigotry. Let's lead this world a merry dance. And give stupidity a chance. You say corruption, I say justified reward. Keeps the cronies loyal chairmen of the board. Let's lead this world a merry dance. And give stupidity a chance. Forget political correctness. Let's talk man to man. Chicks are always up for it. You gotta grab whatever you can. We need a leader who knows that money means class. With an eye for a peach-perfect piece of ass. Not a total dumb-cluck, just one of the guys. Let's give stupidity a prize. Let's lead this world a merry dance. And give stupidity a chance. Let's give stupidity a chance"
it's a sin,"When I look back upon my life. It's always with a sense of shame. I've always been the one to blame. For everything I long to do. No matter when or where or who. Has one thing in common, too. It's a, it's a, it's a, it's a sin. It's a sin. Everything I've ever done. Everything I ever do. Every place I've ever been. Everywhere I'm going to. It's a sin. At school they taught me how to be. So pure in thought and word and deed. They didn't quite succeed. For everything I long to do. No matter when or where or who. Has one thing in common, too. It's a, it's a, it's a, it's a sin. It's a sin. Everything I've ever done. Everything I ever do. Every place I've ever been. Everywhere I'm going to. It's a sin. Father, forgive me, I tried not to do it. Turned over a new leaf, then tore right through it. Whatever you taught me, I didn't believe it. Father, you fought me, 'cause I didn't care. And I still don't understand. So I look back upon my life. Forever with a sense of shame. I've always been the one to blame. For everything I long to do. No matter when or where or who. Has one thing in common, too. It's a, it's a, it's a, it's a sin. It's a sin. Everything I've ever done. Everything I ever do. Every place I've ever been. Everywhere I'm going to - it's a sin. It's a, it's a, it's a, it's a sin. It's a, it's a, it's a, it's a sin. (Confiteor Deo omnipotenti vobis fratres, quia peccavi nimis cogitatione,. verbo, opere et omissione, mea culpa, mea culpa, mea maxima culpa). [trans. ""I confess to almighty god,. and to you my brothers,. that I have sinned exceedingly. in thought, word, act and omission,. through my fault, through my fault,. through my most grievous fault""]."
domino dancing,"(All day, all day). I don't know why, I don't know how. I thought I loved you, but I'm not sure now. I've seen you look at strangers too many times. The love you want is of a different kind. Remember when we felt the sun. A love like paradise, how hot it burned. A threat of distant thunder, the sky was red. And when you walked, you always - turned every head. (All day, all day) Watch them all fall down. (All day, all day) Domino dancing. (All day, all day) Watch them all fall down. (All day, all day) Domino dancing. I thought that when we fought I was to blame. But now I know you play a different game. I've watched you dance with danger, still wanting more. Add another number to the score. (All day, all day) Watch them all fall down. (All day, all day) Domino dancing. (All day, all day) Watch them all fall down. (All day, all day) Domino dancing. When you look around you wonder. Do you play to win?. Or are you just a bad loser?. (All day, all day). (All day, all day). I don't know why, I don't know how. I thought I loved you but I'm not sure now. I hear the thunder crashing, the sky is dark. And now a storm is breaking within my heart. (All day, all day) Watch them all fall down. (All day, all day) Domino dancing. (All day, all day) Watch them all fall down. (All day, all day) Domino dancing. (All day, all day) Watch them all fall down. (All day, all day) Domino dancing. (All day, all day) Watch them all fall down. (All day, all day) Domino dancing. (All day, all day) Watch them all fall down. (All day, all day) Domino dancing. (All day, all day) Watch them all fall down. (All day, all day)"
always on my mind,"Maybe I didn't treat you. Quite as good as I should. Maybe I didn't love you. Quite as often as I could. Little things I should have said and done. I never took the time. You were always on my mind. You were always on my mind. Maybe I didn't hold you. All those lonely, lonely times. And I guess I never told you. I'm so happy that you're mine. If I make you feel second best. I'm so sorry I was blind. You were always on my mind. You were always on my mind. Tell me, tell me that your sweet love hasn't died. Give me, one more chance to keep you satisfied, satisfied. Little things I should have said and done. I just never took the time. You were always on my mind. You are always on my mind. Tell me, tell me that your sweet love hasn't died. Give me, one more chance to keep you satisfied. You were always on my mind. You were always on my mind. You were always on my mind. You were always on my mind. You were always on my mind. You were always on my mind. Maybe I didn't treat you. Quite as good as I should. Maybe I didn't love you. Quite as often as I could. Maybe I didn't hold you. All those lonely, lonely times. And I guess I never told you. I'm so happy that you're mine"
go west,"(Together) We will go our way. (Together) We will leave some day. (Together) Your hand in my hand. (Together) We will make our plan. (Together) We will fly so high. (Together) Tell all our friends goodbye. (Together) We will start like new. (Together) This is what we'll do:. (Go west) Life is peaceful there. (Go west) in the open air. (Go west) where the skies are blue. (Go west) this is what we're gonna do. (Together) We will love the beach. (Together) We will learn and teach. (Together) Change our pace of life. (Together) We will work and thrive. (I love you) I know you love me,. (I want you) how could I disagree?. (And that's why) I make no protest. (And you say) you will do the rest. (Go west) life is peaceful there. (Go west) in the open air. (Go west) baby, you and me. (Go west) this is our destiny. (Go west) sun and winter time. (Go west) we will do just fine. (Go west) where the skies are blue. (Go west) this is what we're gonna do. There, where the air is free. We'll be (we'll be) what we want to be. Now, if we make a stand. We'll find (we'll find) our promised land!. (I know that) there are many ways. (To live there) in the sun or shade. (Together) we will find the place. (To settle) where there's so much space. (Don't look back) And the place back east. (Wrestling) wrestling just to feast. (And we'll go) ready to be two. (So that's what) we are gonna do. (Oh, what we're gonna do is...). (Go west) life is peaceful there. (Go west) there, in the open air. (Go west) Where the skies are blue. (Go west) This is what we're gonna do.... (Life is peaceful there) Go west. (In the open air) Go west. (Baby, you and me) Go west. (This is our destiny) Come on, come on, come on, come on. (Go west) Sun and winter time. (Go west) we will feel just fine. (Go west) where the skies are blue. (Go west) this is what we're gonna do. (Come on, come on, come on, come on, go west!)."
west end girls,"(... forever). Sometimes you're better off dead. There's gun in your hand and it's pointing at your head. You think you're mad, too unstable. Kicking in chairs and knocking down tables. In a restaurant in a West End town. Call the police, there's a madman around. Running down underground to a dive bar. In a West End town. In a West End town, a dead end world. The East End boys and West End girls. In a West End town, a dead end world. The East End boys and West End girls. West End girls. Too many shadows, whispering voices. Faces on posters, too many choices. If, when, why, what?. How much have you got?. Have you got it, do you get it, if so, how often?. And which do you choose, a hard or soft option?. (How much do you need?). In a West End town, a dead end world. The East End boys and West End girls. In a West End town, a dead end world. The East End boys and West End girls. West End girls. West End girls. How much do you need?. In a West End town, a dead end world. The East End boys and West End girls. OOh West End town, a dead end world. East End boys, West End Girls. West End girls. You've got a heart of glass or a heart of stone. Just you wait 'til I get you home. We've got no future, we've got no past. Here today, built to last. In every city, in every nation. From Lake Geneva to the Finland station. (How far have you been?). In a West End town, a dead end world. The East End boys and West End girls. A West End town, a dead end world. East End Boys, West End girls. West End girls. West End girls. West End girls. (How far have you been?). Girls. East End boys. And West End girls. And West End girls. (... forever). And West End girls. (How far have you been?). East End boys. The West End girls. The West End boys. And West End girls. The West End girls. The West End boys. The West End girls"
being boring,"I came across a cache of old photos. And invitations to teenage parties. ""Dress in white"" one said, with quotations. From someone's wife, a famous writer. In the nineteen-twenties. When you're young you find inspiration. In anyone who's ever gone. And opened up a closing door. She said: ""We were never feeling bored. 'Cause we were never being boring. We had too much time to find for ourselves. And we were never being boring. We dressed up and fought, then thought: ""Make amends"". And we were never holding back or worried that. Time would come to an end. When I went I left from the station. With a haversack and some trepidation. Someone said: ""If you're not careful. You'll have nothing left and nothing to care for. In the nineteen-seventies"". But I sat back and looking forward. My shoes were high and I had scored. I'd bolted through a closing door. I would never find myself feeling bored. 'Cause we were never being boring. We had too much time to find for ourselves. And we were never being boring. We dressed up and fought, then thought: ""Make amends"". And we were never holding back or worried that. Time would come to an end. We were always hoping that, looking back. You could always rely on a friend. Now I sit with different faces. In rented rooms and foreign places. All the people I was kissing. Some are here and some are missing. In the nineteen-nineties. I never dreamt that I would get to be. The creature that I always meant to be. But I thought in spite of dreams. You'd be sitting somewhere here with me. 'Cause we were never being boring. We had too much time to find for ourselves. And we were never being boring. We dressed up and fought, then thought: ""Make amends"". And we were never holding back or worried that. Time would come to an end. We were always hoping that, looking back. You could always rely on a friend. And we were never being boring. We were never being bored. 'Cause we were never being boring. We were never being bored"
leaving,"I know when enough's enough and you're leaving. If I don't have the time to decide on your freedom. But I can still find some hope to believe in love. Our love is dead, but the dead don't go away. They made us what we are, they're with us everyday. Our love is dead, but the dead they're still alive. In memory and thoughts, and the context they provide. I know when enough's enough and you're leaving. If I don't have the time to decide on your freedom. But I can still find some hope to believe in love. I know when enough's enough and you're leaving. If I don't have the time to decide on your freedom. But I can still find some hope to believe in love. Our love is dead (our love is dead). But the dead are here to stay (don't go away). They made us what we are (that's what we are). They're with us everyday (oh everyday). In darkest nights (in darkest nights). The memory keeps us strong (it keeps us strong). And if our love is dead (our love is dead). It won't be dead for long (no not for long). I know when enough's enough and you're leaving. If I don't have the time to decide on your freedom. But I can still find some hope to believe in love. I know when enough's enough and you're leaving. If I don't have the time to decide on your freedom. But I can still find some hope to believe in love. Believe in love. Don't go away. I know when enough's enough and you're leaving. If I don't have the time to decide on your freedom. But I can still find some hope to believe in love. I know when enough's enough and you're leaving. If I don't have the time to decide on your freedom. But I can still find some hope to believe in love. Believe in love"
suburbia,"Lost in the high street, where the dogs run. Roaming suburban boys. Mother's got her hair do to be done. She says they're too old for toys. Stood by the bus stop with a felt pen. In this suburban hell. And in the distance a police car. To break the suburban spell. Let's take a ride. And run with the dogs tonight in suburbia. You can't hide/Run with the dogs. tonight in suburbia. Break the window by the town hall. Listen! A siren screams. There in the distance like a roll call. Of all the suburban dreams. Let's take a ride. And run with the dogs tonight in suburbia. You can't hide run with the dogs. Tonight in suburbia. I only wanted something else to do but hang around. I only wanted something else to do but hang around. It's on the front page of the papers. This is their hour of need. Where's a policeman when you need one. To blame the colour Tv?. Let's take a ride. And run with the dogs tonight in suburbia. You can't hide run with the dogs. Tonight in suburbia. Suburbia. Where the suburbs met utopia. What kind of dream was this?. So easy to destroy?. Man who are were to blame. For the sins of the past?. These slums of the future?. Suburbia. Where the suburbs met utopia. Suburbia. Where the suburbs met utopia"
inner sanctum,"In the inner sanctum. You're a star. The girls, the guys. They all know who you are. In the inner sanctum. You're a star. The girls, the guys. They all know who you are. In the inner sanctum. You're a star. The girls, the guys. They all know who you are. . |. |. |"
