when love breaks down,"My love and I, we work well together. But often we're apart. Absence makes the heart lose weight, yeah,. Till love breaks down, love breaks down. Oh my, oh my, have you seen the weather. The sweet September rain. Rain on me like no other. Until I drown, until I drown. When love breaks down. The things you do. To stop the truth from hurting you. When love breaks down. The lies we tell,. They only serve to fool ourselves,. When love breaks down. The things you do. To stop the truth from hurting you. When love breaks down, when love breaks down. My love and I, we are boxing clever. She'll never crowd me out. Fall be free as old confetti. And paint the town, paint the town. When love breaks down. The things you do. To stop the truth from hurting you. When love breaks down. The lies we tell,. They only serve to fool ourselves,. When love breaks down. The things you do. To stop the truth from hurting you. When love breaks down. The lies we tell,. They only serve to fool ourselves,. When love breaks down. The things you do. To stop the truth from hurting you. When love breaks down. You join the wrecks. Who leave their hearts for easy sex. When love breaks down. When love breaks down"
all the world loves lovers,"All the world loves lovers.. All the world loves people in love. Don't forget it. Don't forget it.. Love whatever the price. All the world loves lovers.. All the world loves people in love. Don't forget it. - LOVE. Don't forget it. - LOVE. Love whatever the price. ... LOVE. . You and I won't lose our heads the way some lovers do. Saying ""This will last forever"" when it's just a year or two. You and I won't be the fools that other lovers are. Thinking every silver bottle top potentially a star still. . All the world loves lovers.. All the world loves people in love. Don't forget it. - LOVE. Don't forget it. - LOVE. Love whatever the price. All the world loves lovers.. All the world loves people in love. Don't forget it. - LOVE. Don't forget it. - LOVE. Love whatever the price. . We won't make the promises that every lover makes. Only to find that all we've made are similar mistakes. No you and I won't wish for things. Like other lovers do. But let's cross our hearts and hope to die. If none of them come true 'cause. . All the world loves lovers.. All the world loves people in love. Don't forget it. - LOVE. Don't forget it. - LOVE. Love whatever the price. All the world loves lovers.. All the world loves people in love. Don't forget it. - LOVE. Don't forget it. - LOVE. Love whatever the price. . All the world loves lovers. Love whatever the price.. All the world loves lovers. Love whatever the price.. All the world loves lovers. ... LOVE.."
billy,"Where d'you find that trumpet Billy?. Where d'you find that trumpet, Billy?. I found it on some wasteland, buried in the snow. How d'you learn to play it William?. How d'you learn to play it Billy?. Well, I sat down on a doorstep and practiced long and slow. I let my feelings show. I let my feelings show. Trumpets come and trumpets go. It's amazing what gets left out in the snow. I'm in love with Susan Billy. I'm in love with Susan Bill. Her smile is like a fairground - I'm basking in the glow. I got no gift for music, William. I got no gift for music, Bill. He said, sing a song of sixpence, steady as you go. Let your feelings show. Let your feelings show. Trumpets come and trumpets go. It's amazing what gets left out in the snow. Tell me all your secrets, Billy. I said, tell me all your secrets Bill. Lead me to your doorstep. There's so much I don't know. I'm in love with Susan Billy. I'm in love with Susan Bill. Her smile is like a fairground - I'm basking in the glow. Let your feelings show. Let your feelings show"
anne marie,"There's a person that I'd like to be, Anne Marie. I can glimpse him when you're next to me, Anne Marie. There is music that no-one can hear, Anne Marie. Yet it's audible when you are near. . Anne Marie, Anne Marie, what am I to do ?. You are married to someone else yet. Every waking hour I think of you. Oh listen to me Anne Marie. . Anne Marie, Anne Marie, nothing much is new. I've a history of wanting what I cannot have. This time it is you. Don't listen to me Anne Marie. . Anne Marie, there's a person that I'd like to be, Anne Marie. I can glimpse him when you're next to me, Anne Marie. There is music that no-one can hear, Anne Marie. Yet it's audible when you are near. . Oh Anne Marie, this world's an unfamiliar place I see. When you're with me, when you're with me I hear. Strange music in undiscovered keys. When you're with me, when you're with me. . Anne Marie, Anne Marie, it's time to walk away. I have never been noble but then maybe being. noble feels this way, when you're next to me Anne Marie. . Anne Marie, and though it's time I can't believe. That I'm saying goodbye. Anne Marie - why ?."
cars and girls,"Brucie dreams life's a highway too many roads bypass my way. Or they never begin. Innocence coming to grief. At the hands of life - Stinkin' car thief, that's my concept of sin. Does heaven wait all heavenly over the next horizon ?. But look at us now, quit driving, some things hurt more much more than cars and girls.. Just look at us now, start counting, what adds up the way it did when we were young ?. Look at us now, quit driving, some things hurt much more than cars and girls.. Life's a drive through a dust bowl, what's it do, do to a young soul. We are deeply concerned, someone stops for directions,. Something responds deep in our engines, we have all been burned. Will heaven wait all heavenly over the next horizon ?. But look at us now, quit driving, some things hurt more much more than cars and girls.. Just look at us now, start counting, what adds up the way it did when we were young ?. Look at us now, quit driving, some things hurt much more than cars and girls.. Little boy got a hot rod, thinks it makes him some kind of new God. Well this is one race he won't win,. 'Cos life's no cruise with a cool chick. Too many folks feelin' car sick, but it never pulls in.. Brucie's thoughts - Pretty streamers. - Guess this world needs its dreamers may they never wake up.. But look at us now, quit driving, some things hurt more much more than cars and girls.. Just look at us now, start counting, what adds up the way it did when we were young ?. Look at us now, quit driving, some things hurt much more than cars and girls.. But look at us now, quit driving, some things hurt more much more than cars and girls.. Just look at us now, start counting, what adds up the way it did when we were young ?. Look at us now, quit driving, some things hurt much more than cars and girls.."
hey manhattan!,"Guess what ! Summer's arrived I feel the world's on my side. The Brooklyn Bridge stretches below me. A billion souls all dying to know me. Well here I am ! Loaded with promise. And knee deep in grace. What I want is here on my face and. I feel like I own the whole damn place. Hey Manhattan ! Here I am ! Call me star-struck Uncle Sam.. Strolling Fifth Avenue. - Just to think Sinatra's been here too. These myths we can't undo they lie in wait for you. We live them till they're true,. Manhattan doobie doo. Hey Manhattan doobie doo.. Someday's you've got to get outside - Look there's ""The Carlyle"". That's the place where Kennedy stayed,. And where were you when he died ?. (Yeah some things are slow to fade.). There they were - Loaded with promise. Knee deep in fate - When what you want shows on your face. All that's left litters the whole damn place. Hey Manhattan ! Here I am ! Call it bad luck Uncle Sam.. Scrounging Fifth Avenue. - Just to think the poor could live here too. But what are they to do ? These myths belong to you,. We live them till they're true,. Manhattan doobie doo. Hey Manhattan doobie doo."
the king of rock'n roll,"All my lazy teenage boasts are now high precision ghosts. And they're coming round the track to haunt me.. When she looks at me and laughs I remind her of the facts. I'm the king of rock'n roll completely. Up from suede shoes to my baby blues. Hot dog, jumping frog, Alberkirkie. Hot dog, jumping frog, Alberkirkie. The dream helps you forget you ain't never danced a step. You were never fleet of foot, hippy.. All the pathos you can keep for the children in the street. For the vision I have had is sweeping. - New broom, this room, sweep it clean. Hot dog, jumping frog, Alberkirkie. Hot dog, jumping frog, Alberkirkie. High kickin' dandy, fine figure fine cut a fine figure fine oh yeah ;. Long legged candy, fine figure fine cut a fine figure fine oh yeah ;. Now my rhythm ain't so hot, but it's the only friend I've got. I'm the king of rock'n roll completely. All the pretty birds have flown now I'm dancing on my own. I'm the king of rock'n roll completely. - Up from, suede shoes to my baby blues. Hot dog, jumping frog, Alberkirkie. Hot dog, jumping frog, Alberkirkie. High kickin' dandy, fine figure fine cut a fine figure fine oh yeah ;. Long legged candy, fine figure fine cut a fine figure fine oh yeah ;. Hot dog, jumping frog, Alberkirkie. Hot dog, jumping frog, Alberkirkie."
hallelujah,"There are all kinds of things I could ask you if I choose. But I don't do I dear good intentions don't survive here. No instead my requests tend to be dumb as hell. Move in close, closer still, I hear the songs of Georgie Gershwin. I swear at you 'cos I believe that sweet talk like candy rots teeth. No Hallelujahs, or gifted voices. To sing your praises I'd be walking on wheels. No whoops or war crys or caramias. All translations will read ""Marry me now"". Well I sing to express my belief that sweet talk like candy rots teeth. With his hand on his heart, it's a posing place. While draining the mystery from your face. He admits all he's chasing is the chase. But you won't let him run. You make him suffer for all he's gone done. He'll still be hurting when the kingdom comes. Move in close till you see, he only wants what he can't have. So when he gets it he's good as bad. Move in close, closer still, I hear the songs of Georgie Gershwin. Oh Hallelujah, how I'm walking on wheels."
the end of the affair,"In bed beside you with the curtains drawn. For an hour at least I can pretend we're born. To be together and fate alone is keeping me from you. But there's a price we pay when we live a lie. And you find it hard to meet my eye. When you start to dress as we kiss goodbye. And I know we're coming to. The end of the affair. The end of the affair. I could love you for eternity. The fact remains you don't belong to me. (The end of the affair). I could tell the story of my love for you. With a detailed list of every rendez-vous. Discreet hotels we've checked into. How and when and where. But a cold recital of the facts would miss. The poetry, the way you kiss. The sense of loss now as come to this. The bitter sweet despair. The end of the affair. The end of the affair. I could love you for eternity. But the fact remains you don't belong to me. (The end of the affair). Well I'm old enough to know right from wrong. So I tell myself I should be strong. In time I'll learn to get along. Without you being near. But I know I'm living when I'm by your side. You're a rollercoaster, a fairground ride. My conscience and desires collide. Like rockets in midair. The end of the affair. The end of the affair. I could love you till the stars don't shine. But I'm not yours and you're not mine. (The end of the affair). It's over, it's over, it's over. The end of the affair. The end of the affair. I could love you for eternity. The fact remains you don't belong to me. (The end of the affair). The first few days are gonna drag real slow. I'm gonna think I see you everywhere I go. These are routine symptoms ex-lovers show. The battle scars they share. I already miss your worried smile. Guilty secrets weren't your style. But you had me fooled for a little while. That makes it hard to bear. The end of the affair. The end of the affair. Now I could love you till the stars don't shine. But I'm not yours and you're not mine. (The end of the affair). It's over, (it's over), it's ove"
the best jewel thief in the world,"Masked and dressed in black. You scramble over rooftops. Carrying a bag? bag marked swag. You? re the best jewel thief in the world. Vigilance is lax. Security complacent. Adjacent to the gem, a diadem of pearl. Is the best jewel thief in the world. Watch your legend grow. The rooftops are for dreamers. You strike and then return Lucerne? Heathrow. The best jewel thief in the world. Down below, down below. What do any of those losers know?. Down below, down below. What do any of those assholes know?. Even so, even so. Be a Buddhist boy and let it go. Even so, even so. Be a Catholic boy and let it go. You? re the best jewel thief in the world. Sirens moan and drone and groan. But Interpol can? t catch you. The cameras always show a screen of snow. Ergo, you? re the best jewel thief in the world. Down below, down below. What do any of those losers know?. Down below, down below. What do any of those assholes know?. Even so, even so. Be a Buddhist boy and let it go. Even so, even so. Be a Catholic boy and let it go. You? re the best jewel thief in the world. Nimble as a cat. They hope your luck deserts you. They? re sharpening their knives, but you? ve nine lives. You? re the best jewel thief in the world. Watch your legend grow. Watch your legend grow. Watch your legend grow. You? re the best jewel thief in the world"
