adios amigos,"A - adios. Adios amigos. A-dios. A-adios. Adios amigas. A-dios. RBD, where to go now?. By myself. You're not alone, no. RBD, what can I do now?. On my own. You're not alone. Every day. Marching with a mission. Every step. 'Round the world. Roads divide we'll keep on walking yeah. Like a child beginning new live's here. We'll never forget. We'll never forget. United with the fans forever RBD. A - adios. Adios amigos. A-dios. A-adios. Adios amigas. A-dios. RBD, who to love now?. Got no friends. You're such a fool now. RBD will last forever. In our hearts. You're not alone. Every day. Marching with a mission. Every step. 'Round the world. Roads divide we'll keep on walking yeah. Like a child beginning new live's here. We'll never forget. We'll never forget. United with the fans forever RBD. RBD goes on, on. RBD ain't gone gone. RBD cup keep on rocking. RBD ain't stopping. RBD is playing,. RBD ain't fading. RBD is fighting"
cariño mio,"Dance dance dance. Rock rock rock. Roll roll roll. Contigo cariño mío. Did I tell you how I like it. I like everything about it. Baby, what a blessing. I've been dancing for a decade. Fell in love with it. the first date. Baby there's no guessing. Como baillas, y como cantas. (how you dance it, how you sing it). Collaboration. Body and soul, girl it's all about. The pure love we have inside. So dance dance dance. Baby rock rock rock. Let's roll roll roll. Contigo cariño mio. I love to dance dance dance. I love to rock rock rock. I love to roll roll roll. Contigo cariño mío. You make me wanna salsa. You make me wanna cha cha. Slow down, get up and down. Mueve la cintura turn it around. If I tell you that I'm feeling. The same way it's like a healing. Baby, you're a blessing. The steps became like my heart beat. I feel alive working my feet. Baby, it's impressing. Como baillas, y como cantas. Collaboration. Body and soul, boy it's all about. The love that we have inside. So dance dance dance. Baby rock rock rock. Let's roll roll roll. Contigo cariño mio. I love to dance dance dance. I love to rock rock rock. I love to roll roll roll. Contigo cariño mío. You make me wanna salsa. You make me wanna cha cha. Slow down, get up and down. Mueve la cintura (move your waist). turn it around. So dance dance dance. Baby rock rock rock. Let's roll roll roll. Contigo cariño mio. I love to dance dance dance. I love to rock rock rock. I love to roll roll roll. Contigo cariño mío"
connected,"I'm down folded on this rollercoaster they call life. Keep trying to make it through the next turn. That goes wide and hold in tight. So here I go,. Taking the curve. But I know that I'm never alone. I think of you. Until you never let me go. Chorus. I feel connected, protected. It's like you are sitting right, with me all the time. You hear me, you're near me. And everything else is gonna be all right. Cause nothing can break this. Nothing can break this,. Nothing can break this tie.... Connected.... Connected in tie.... It's not an accident the time we spent apart,. But now we are so close. I can always find you right here in my heart. You are giving me something I need. And I don't ever want it to end. Because of you, I know I found my strength again. Chorus. I feel connected, protected. It's like you are sitting right, with me all the time. You hear me, you're near me. And everything else is gonna be all right. Cause nothing can break this. Nothing can break this. Nothing can break this tie.... Connected.... Connected in tie.... Every time that I breathe I can feel the energy,. Reaching out, flowing through, you to me and me to you,. Wake or dream, walk or stand, you are everywhere I am,. Separate souls, unified. You are always in my mind. You are giving me something I need. And I don't ever want it to end. Because of you. I know I found my strength again. Chorus. I feel connected, protected. It's like you are sitting right, with me all the time. You hear me, you're near me. And everything else is gonna be all right. Connected, protected. It's like you are sitting right, with me all the time. You hear me, you're near me. And everything else is gonna be all right. Cause nothing can break this. Nothing can break this. Nothing can break this tie. Connected"
era la musica,"It was a Thursday. And the first day I saw you. Never really thought. That you would be the one. To make the sky turn blue. It was amazing. The way that you captured me. You took my heart. And made me feel we can be so easily. How enchanting, as we're dancing. My life began to change. I don't know what took control. But all that I can say is. Era la musica. That made me run to you. Era la musica. That made my dreams come true. Era la musica. As we danced the night away. Era la musica. That made me love you. So exciting. How did I find someone like you?. Someone to made me feel. That love was real, oh so true. It was incredible. The way that this came to be. He took my hand and then began. To take a hold of me. How enchanting, as we're dancing. My life began to change. I don't know what took control. But all that I can say was. Era la musica. That made me run to you. Era la musica. That made my dreams come true. Era la musica. As we danced the night away. Era la musica. That made me love you. It was the music that made me love you. The way you move takes my breath away. The way you dance girl, is like no other. Was it the music that made me stay?. Stay with me girl, I'll show you where we can go. Far away to a place only love goes. Yo no se lo que me esta pasando. A ti te sigo amando. How enchanting, as we're dancing. My life began to change. I don't know what took control. But all that I can say is. Era la musica. That made me run to you. Era la musica. That made my dreams come true. Era la musica. As we danced the night away. Era la musica. That made me love you (2x). (love you, love you...)"
family,(Christian). No matter what you need from me. You know you've got it. (Anahi). I can give you anything. You know you've got it. (Rbd). You can call me any moment. If you need some love. I'll be there. I'll be there. I'll be there. (Christopher). Is something broken in your heart. You know I'll fix it. (Dulce). I never gonna let you down. You know I mean it. (Rbd). You can call me any moment. If you need some love. I'll be there. I'll be there. Cause we'll always be. Family. You've got a friend in me. Family. I'm in your destiny. I'll be around no matter how. I'll be there. I'll be there for you. (Poncho). If you just want to run away. I'll drive you anywhere. (Mai). If I'm the pill to ease your day. I'll be there every day. (Rbd). You can call me any moment. If you need some love. I'll be there. I'll be there. Cause we'll always be. Family. You've got a friend in me. Family. I'm in your destiny. I'll be around no matter how. I'll be there. I'll be there. I'll be there for you. You can call me any moment. If you need some love. I'll be there. I'll be there. Cause we'll always be. Family. You've got a friend in me. Family. I'm in your destiny. Family. You've got a friend in me. Family
gone,"What you see's not what you get. With you there's just no measurement. No way to tell what's real from what isn't there. Your eyes they sparkled. That's all changed into lies that drop like acid rain. You washed away the best of me. You don't care. You know you did it. I'm gone. To find someone to live for in this world. There's no light at the end of the tunnel tonight. Just a bridge that I gotta burn. You are wrong. If you think you can walk right through my door. That is just so you. Coming back when I've finally moved on. I'm already gone. Sometimes shattered. Never open. Nothing matters. When you're broken. That was me whenever I was with you. Always ending, always over. Back and forth, up and down, like a roller coaster. I am breaking that habit today. You know you did it. There is nothing you can say. Sorry doesn't cut it babe. Take the hit and walk away. Cause I'm gone. Doesn't matter what you do. It's what you did that's hurting you. All I needed was the truth. Now I'm gone. What you see's not what you get. . By: Gabriel matos (:"
happy worst day,"Last night you were so in my face. You really are a waste of space. I've gotta shake you off now. 'Cause when I'm with you. You're like super glue. So what if I had another plan. I'm through with you and that's a fact. I don't need to understand you. I'm not in the mood for chapter two. I don't wanna be your bleeding Juliet. I don't have to be your Romeo. Doesn't matter what you do. Better just play dead. Guess what - it's happy worst day!. Oh, sha-la-la-la. Happy worst day!. Shut up -- your news is so out of date. No doubt you're not just. Running late I know everything about you. Need life support you can't afford. I don't wanna be your bleeding Juliet. I don't have to be your Romeo. Doesn't matter what you do. Better just play dead. Guess what - it's happy worst day!. I don't wanna be your bleeding Juliet. I don't have to be your Romeo. Doesn't matter what you do. Better just play dead. Guess what - it's happy worst day!. I don't wanna be your bleeding Juliet. I don't have to be your Romeo. Doesn't matter what you do. Better just play dead. Guess what - it's happy worst day!. So what if I had another plan I'm through with you and that's a fact. I've gotta shake you off now I'm not in the mood for chapter two. I'm not in the mood for chapter two. I'm not in the mood for chapter two. Happy worst day to you!"
i wanna be the rain,"It's not enough to be the one who holds you. It's not enough to be the one you're close to. I want to be so much more. The love that you're living for. The air you breathe. I wanna be everything that touches you, everything. I wanna be the rain. That falls on you. Washes away the pain. I wanna be the sun. That shines on you. Warms your world each day. I wanna be the sky that holds the stars for you. So you never lose your way. I wanna be the wind that kisses your face. I wanna be the rain. It's not enough for me to be around you. I wanna be everything that surrounds you. The sunlight upon your skin. Each breath that you're breathing. All that you need. I wanna be everything that touches you, everything. I wanna be the rain. That falls on you. Washes away the pain. I wanna be the sun. That shines on you. Warms your world each day. I wanna be the sky that holds the stars for you. So you never lose your way. I wanna be the wind that kisses your face. I wanna be the rain. I wanna be the rain. In your sleep when you're dreaming. I wanna be the only thing you see. Want to be there in everything. I wanna be the rain. That falls on you. Washes away the pain. I wanna be the sun. That shines on you. Warms your world each day. I wanna be the sky that holds the stars for you. So you never lose your way. I wanna be the wind that kisses your face. I wanna be the rain. . (fonte: site oficial)"
keep it down low,"I find you standing there. Telling me you're sorry,. A lonely tear running down your face. You hold me, then time stops. I struggle to kiss you. And you just take my breath away. Just hold on for a second my love. Just to tell me this whole thing is wrong. Won't you please just keep it down low,. Spare me five minutes,. I wanna feel your sweet and soft touch. All over me. Let this kiss that'll last for ever. We're both off limits,. As we wrap it up we'll both know. That the end is just right here.. Right here...oh oh oh. I'm feeling too scared now. Just trying to understand. Why this love couldn't be crystal clear?. Your embrace feels so freezing. Demanding sweet kissing. Is this the air 'cause I just can't breathe.. Just hold on for a second my love. Just to tell me this whole thing is wrong. Won't you please just keep it down low,. Spare me five minutes,. I wanna feel your sweet and soft touch. All over me. Let this kiss that'll last for ever. We're both off limits,. As we wrap it up we'll both know. That the end is just right here.. Please hold my hand love,. My breathe won't come back again,. Say that you love me,. That you're not the one to blame. At least for just one second,. I'll believe your words are true love.... Won't you please just keep it down love.... I wanna feel your sweet and soft touch.... Let this kiss that'll last for ever.... As we wrap it up we'll both know. That the end is just right here.. Won't you please just keep it down low,. Spare me five minutes,. I wanna feel your sweet and soft touch. All over me. Let this kiss that'll last for ever. We're both off limits,. As we wrap it up we'll both know. That the end is just right here.. (fonte: site oficial)"
let the music play,"Anahí:. We started dancing and love put us into a groove.... As soon as we started to move.. Dulce:. The music played while our bodies displayed through the dance.... Maite:. Then love picked us out for romance.. I thought it was clear the plan was we would share.. Those feeling just between ourselves.. . Anahí:. But when the music changed, the plan was rearranged.... He went to dance with someone else.. We started dancing and love put us into a groove.... Dulce:. But now he's with somebody new.. Anahí:. What does love want me to do?. Maite:. Love said... Chorus:. Let the music play, he won't get away.. Just keep the groove and then.... He'll come back to you again. (Let the music play). Let the music play, he won't get away.. This groove he can't ignore.... He won't leave you anymore.... Maite:. No, no, no!. Christian:. She tried pretending a dance 'tis just a dance, but I see.... She's dancing her way back to me, yeah.. Poncho:. Guess she discovered we are truly lovers.... Magic from the very start.... 'Cause love just can be groove and she felt the move.. Even though we danced apart.. Christopher:. So we started dancing and love put us into the groove.. As soon as we started to move.... As soon as we started to move.... Love said.... Chorus:. Let the music play she won't get away.. Just keep the groove and then.... She'll come back to you again.. Let the music play (let the music play) she won't get away.. This groove she can't ignore.... She won't leave you anymore.... Maite:. Love said.... Christpher:. Let it flow, let it go.... Love keep me grooving when she caught me moving.... Let it flow, let it go.... Love keep me grooving when she caught me moving.... Maite:. Love said.... He tried pretending a dance 'tis just a dance, but I see.... He's dancing his way back to me.... He's dancing his way back to me.... Love said.... Chorus:. Let the music play, (Let the music play) he won't get away. Just keep the groove and then.... He'll come back to you again.. Let the music play, he won't get away.. This groove he can't ignore.... He won't leave you anymore.... Maite:. No, no, no!. Let the music play, (Let the music play) she won't get away. Just keep the groove and then.... She'll come back to you again.. Let the music play , she won't get away.. This groove she can't ignore.... She won't leave you anymore.... Let the music play, (Let the music play) we won't get away. Just keep the groove and then.... We'll come back to you again.. Let the music play , we won't get away.. This groove we can't ignore.... We won't leave you anymore..."
