foolish,"Lipstick and Polaroids. Late night hanging with your boy. Record player playing white noise. That's the way, that's the way I. Like it when the stars are out. Drop top cruising out of town. You and me, it's going down. That's the way, that's the way. Hold me down, I'll play your game. Kiss until I, I. I'm addicted to your everything, everything. My body's tripping on you. Feeling higher than the moon. Got me trying something new. Falling into you, foolish. My body's tripping on you. Feeling higher than the moon. Got me trying something new. Falling into you, foolish. Black nails and denim jeans. Every night feeling like a dream. Always know just what I need. That's the way, that's the way I. Like it when you play a little rough. Breathe you in, can't get enough. Keep it in, oh, I need a rush. That's the way, that's the way. Hold me down, I'll play your game. Kiss until I, I. I'm addicted to your everything, everything. My body's tripping on you. Feeling higher than the moon. Got me trying something new. Falling into you, foolish. My body's tripping on you. Feeling higher than the moon. Got me trying something new. Falling into you, foolish. Blurring all the lines, lost in paradise. Woah, woah. Baby stay the night, fading out of time. Woah, woah. My body's tripping on you. Feeling higher than the moon. Got me trying something new. Falling into you, foolish. My body's tripping on you. Feeling higher than the moon. Got me trying something new. Falling into you, foolish. Falling into you, foolish. Falling into you, foolish"
friday,"(Yeah, Ah-Ah-Ah-Ah-Ah-Ark). Oo-ooh-ooh, hoo yeah, yeah. Yeah, yeah. Yeah-ah-ah. Yeah-ah-ah. Yeah-ah-ah. Yeah-ah-ah. Yeah, yeah, yeah. 7am, waking up in the morning. Gotta be fresh, gotta go downstairs. Gotta have my bowl, gotta have cereal. Seein' everything, the time is goin'. Tickin' on and on, everybody's rushin'. Gotta get down to the bus stop. Gotta catch my bus, I see my friends (My friends). Kickin' in the front seat. Sittin' in the back seat. Gotta make my mind up. Which seat can I take?. It's Friday, Friday. Gotta get down on Friday. Everybody's lookin' forward to the weekend, weekend. Friday, Friday. Gettin' down on Friday. Everybody's lookin' forward to the weekend. Partyin', partyin' (Yeah). Partyin', partyin' (Yeah). Fun, fun, fun, fun. Lookin' forward to the weekend. 7:45, we're drivin' on the highway. Cruisin' so fast, I want time to fly. Fun, fun, think about fun. You know what it is. I got this, you got this. My friend is by my right. I got this, you got this. Now you know it. Kickin' in the front seat. Sittin' in the back seat. Gotta make my mind up. Which seat can I take?. It's Friday, Friday. Gotta get down on Friday. Everybody's lookin' forward to the weekend, weekend. Friday, Friday. Gettin' down on Friday. Everybody's lookin' forward to the weekend. Partyin', partyin' (Yeah). Partyin', partyin' (Yeah). Fun, fun, fun, fun. Lookin' forward to the weekend. Yesterday was Thursday, Thursday. Today i-is Friday, Friday (Partyin'). We-we-we so excited. We so excited. We gonna have a ball today. Tomorrow is Saturday. And Sunday comes afterwards. I don't want this weekend to end. R-B, Rebecca Black. So chillin' in the front seat (In the front seat). In the back seat (In the back seat). I'm drivin', cruisin' (Yeah, yeah). Fast lanes, switchin' lanes. Wit' a car up on my side (Woo!). (C'mon) Passin' by is a school bus in front of me. Makes tick tock, tick tock, wanna scream. Check my time, it's Friday, it's a weekend. We gonna have fun, c'mon, c'mon, y'all. It's Friday, Friday. Gotta get down on Friday. Everybody's lookin' forward to the weekend, weekend. Friday, Friday. Gettin' down on Friday. Everybody's lookin' forward to the weekend. Partyin', partyin' (Yeah). Partyin', partyin' (Yeah). Fun, fun, fun, fun. Lookin' forward to the weekend. It's Friday, Friday. Gotta get down on Friday. Everybody's lookin' forward to the weekend, weekend. Friday, Friday. Gettin' down on Friday. Everybody's lookin' forward to the weekend. Partyin', partyin' (Yeah). Partyin', partyin' (Yeah). Fun, fun, fun, fun. Lookin' forward to the weekend"
heart full of scars,"Stop, don't tell me how to feel. These scars will never heal overnight. I'm just searching for what's real. It's hard enough to deal with life. Learn to say fuck it, take my time. Life's a bitch but I'll make it mine. Make it, make it, make it mine. Learn to take it as a sign. If you don't like me get in line. You won't break me, break me with your lies. Sometimes you bleed for who you are. It's hard to love with a heart full of scars. I won't feed into your dark. I'll keep loving with a heart full of scars. (Heart full of scars). You're never gonna keep me down. Doesn't really matter what you say. I'm not living for yesterday. (Heart full of scars). I figured out how to turn it around. I'm learning how to bend not break. A full life is give not take. (Heart full of scars). Done with doubt and overthinking. Wait for it to sink in, 'I'm enough'. Sick of tryna be your perfect. The pain is never worth it, never was. Learn to say fuck it, take my time. Life's a bitch but I'll make it mine. Make it, make it, make it mine. Learn to take it as a sign. If you don't like me get in line. You won't break me, break me with your lies. Sometimes you bleed for who you are. It's hard to love with a heart full of scars. I won't feed into your dark. I'll keep loving with a heart full of scars. (Heart full of scars). You're never gonna keep me down. Doesn't really matter what you say. I'm not living for yesterday. (Heart full of scars). I figured out how to turn it around. I'm learning how to bend not break. A full life is give not take. (Heart full of scars). (Heart full of scars). (Heart full of scars). You're never gonna keep me down. Doesn't really matter what you say. I'm not living for yesterday. (Heart full of scars). I figured out how to turn it around. I'm learning how to bend not break. A full life is give not take. (Heart full of scars)"
in your words,What you don't know. What you can't see. What you don't realise you once had. Until you see that it's not free. And as for us. It's not clear. The clouds ain't always bad. If when they fade it's love. That they reveal. And I'm moving on. Cause you set me free. And I'm trying to be as much of myself. As if you were here with me. And I'm feeling lost. But it's not unheard. And while you go on living your life. I'm still stuck here. Living in your words. Well there was good. And there was bad. But I took for granted. The way you made me laugh. And the way you spoke. Only I could hear. And the way I saw myself in you as if I were. Staring in a mirror. Oh oh. And I'm moving on. Cause you set me free. And I'm trying to be as much of myself. As if you were here with me. And I'm feeling lost. But it's not unheard. And while you go on living your life. I'm still stuck here. Living in your words. And I'm moving on. Cause you set me free. And I'm trying to be as much of myself. As if you were here with me. And I'm feeling lost. But it's not unheard. And while you go on living your life. I'm still stuck here. Living in your words. Living in your words. Living in your words. And I'm feeling lost. Cause it's not unheard. And while you go on living your life. I'm still stuck here. Living in your words. Living in your words. Living in your words. Living in your words. Living in your words
my moment,"Ohh oh, ohh oh. Weren't you the one who said. That I would be nothing?. Well I'm about to prove you wrong. I'm not the only one who believes in something. My one wish is about to come true. I'm not stopping for you. No matter what'cha do. I'll just keep on dreaming. My head up in the clouds. When nobody's around to see. This is my moment!. My moment. It's my time flyin' high, limelight. Feels like my moment. My moment. I've waited for so long but now everybody knows. This is my moment. My moment. It's my time flyin' high, limelight. Feels like my moment. My moment. I've waited for so long but now everybody knows. This is my moment. You knew it all along. I was afraid of you. I thought I couldn't be myself. You tried to be my friend. But I wouldn't let you. Remember what'cha said?. Don't miss out on your chance. You life is in your hands. So take it just as far as you can. But trusting in yourself. Forget everyone else. Believe. This is my moment!. My moment. It's my time flyin' high, limelight. Feels like my moment. My moment. I've waited for so long but now everybody knows. This is my moment. My moment. It's my time flyin' high, limelight. Feels like my moment. My moment. I've waited for so long but now everybody knows. Haters said I'd see ya later. Can't talk to you right now. I'm getting my paper. Said I'm doing big things. Things you never dreamed of. I hope you are happy. Cause I'm bout to blow up (blow up). This is my moment!. My moment. It's my time flyin' high, limelight. Feels like my moment. My moment. I've waited for so long but now everybody knows. This is my moment. My moment. It's my time flyin' high, limelight. Feels like my moment. My moment. I've waited for so long but now everybody knows. This is my moment"
person of interest,"When I talk, you listen, I like that. When you listen, you smile and I like that. Why you lookin', lookin' at me just like that?. I like that. I like that. There's a crime scene on the dance floor. Ring the alarm. Police tape on the front door. And you are. A person of interest. A person of interest. Can't say I'm love yet, but certainly impressed. You are a person of interest. A person of interest. Can't say that it's love yet, but somebody's obsessed. When we're dancing real close, think I like ya. But when the lights go down low, I can't find ya. Now, I can't get you outta my mind, yeah. It's a crime, yeah. There's a chalk line on the dance floor. In the shape of my heart. Crime scene tape on the front door. And you are. A person of interest. A person of interest. Can't say I'm love yet, but certainly impressed. You are a person of interest. A person of interest. Can't say that it's love yet, but somebody's obsessed. Can't deny, implicated. In the mayhem, in my mind. What has got me so frustrated. You should be mine, you should be mine. There's a crime scene on the dance floor. Ring the alarm. Police tape on the front door. And you are. A person of interest. A person of interest. Can't say I'm love yet, but certainly impressed. You are a person of interest. A person of interest. Can't say that it's love yet, but somebody's obsessed. Crédito: CarlosEdn"
satellite,"The ceiling starts to break. I make the same mistakes. Once or twice, a sacrifice must help for someone else. Hide the way it hurts. To hear you're fine without my help. I'm not forever young, the girl you knew is gone. You and I are memories that never seem to fade. Tell the lie you wish that I had begged until you stayed. Ooh, I wanna see you cry. Ooh, I wanna see your dark side. I'll be your satellite. I wonder why I wanna see you cry. I never seem to be, who you want from me. Every time you change your mind, you leave behind a ghost. Everything I knew is now at odds with what I know. Ooh, I wanna see you cry. Ooh, I wanna see your dark side. I'll be your satellite. I wonder why I wanna see you cry. What's missing?. Just listen, I'm no different. Ooh, I wanna see you cry. Ooh, I wanna see your dark side. I'll be your satellite. I wonder why I wanna see you cry"
saturday (feat. dave days),"Oh my god, I love this song. This is my jam. Where is my peanut butter?. 2 Pm, getting out of my bed. Trying to get Friday out of my head. It's all so hazy. Got a little too crazy. You know I'd do it all again. Call everyone you know. Turn up the radio. Cause this is our song. We can do no wrong. Are you ready, are you ready to go?. This Saturday we're gonna party all night. One we will remember the rest of our lives. This Saturday we're gonna do it bigger than. We ever have before. I don't want this Saturday to end. I don't want this Saturday to end. I don't want this Saturday to end. (Hello?). Hey, come over. (Alright, alright, I'll be right over. I just gotta find my pants). Rolling up, I'm on the scene. Want you here right next to me. Yeah, cause this is our night. Ain't got no deadlines. There's nowhere else I'd rather be. Call everyone you know. Turn up the radio. Cause this is our song. We can do no wrong. Are you ready, are you ready to go?. This Saturday we're gonna party all night. One we will remember the rest of our lives. This Saturday we're gonna do it bigger than. We ever have before. I don't want this Saturday to end. I don't want this Saturday to end. I don't want this Saturday to end. Yesterday was Friday. Today is Saturday. We're gonna live like there's no tomorrow. Wouldn't have it any other way. Yesterday was Friday. Today is Saturday. We're gonna live like there's no tomorrow. Wouldn't have it any other way. This Saturday we're gonna party all night. One we will remember the rest of our lives. This Saturday we're gonna do it bigger than. We ever have before. I don't want this Saturday to end. I don't want this Saturday to end. I don't want this Saturday to end"
sing it,"Woah-oh Woah-oh-oh-oh. Woah-oh Woah-oh-oh-oh. Woah-oh Woah-oh-oh-oh. Woah-oh Woah-oh. That familiar voice. It speaks to me. Tells me everything is gonna be ok. It's meant to, meant to be. Sun is out. And the darkness fades. Got my headphones on and I'm under. In a dream but I'm wide awake. Woah-oh Woah-oh-oh-oh. Turn it up, turn it up. Play it aloud. Sing it from my heart. Sing it from my heart, yeah, yeah, yeah, yeah. It's alright, it's alright. Alri-I-I-ight. Turn it up, turn it up. I feel ya now. Sing it from the heart. Sing it from the heart, yeah, yeah, yeah, yeah. It's alright, it's alright. Be alright. On brighter days. You make me smile. When I've got you here with me. I could walk a million, billion miles. I'm dreaming again. So get outta my way. Life goes fast, so you gotta make it last. No matter what they say. Woah-oh Woah-oh-oh-oh. Turn it up, turn it up. Play it aloud. Sing it from my heart. Sing it from my heart, yeah, yeah, yeah, yeah. It's alright, it's alright. Alri-I-I-ight. Turn it up, turn it up. I feel you now. Sing it from my heart. Sing it from my heart, yeah, yeah, yeah, yeah. It's alright, it's alright. Be alright. Live it up, live it up, live it up, yeah!. Live it up, live it up, live it up, yeah!. Live it up, live it up, live it up, yeah!"
stay (feat. dave days),"All along it was a fever. A cold sweat hot-headed believer. I threw my hands in the air I said show me something. He said, if you dare come a little closer. Round and around and around and around we go. Ohh now tell me now tell me now tell me now you know. Not really sure how to feel about it. Something in the way you move. Makes me feel like I can't live without you. It takes me all the way. I want you to stay. It's not much of a life you're living. It's not just something you take, it's given. Round and around and around and around we go. Ohh now tell me now tell me now tell me now you know. Not really sure how to feel about it. Something in the way you move. Makes me feel like I can't live without you. It takes me all the way. I want you to stay. Ohh the reason I hold on. Ohh 'cause I need this hole gone. Funny you're the broken one. But I'm the only one who needed saving. 'Cause when you never see the lights. It's hard to know which one of us is caving. Not really sure how to feel about it. Something in the way you move. Makes me feel like I can't live without you. It takes me all the way. I want you to stay, stay. I want you to stay, ohh"
