never gonna give you up,"We're no strangers to love. You know the rules and so do I. A full commitments what I'm thinking of. You wouldn't get this from any other guy. I just wanna tell you how I'm feeling. Gotta make you understand. Never gonna give you up. Never gonna let you down. Never gonna run around. And desert you. Never gonna make you cry. Never gonna say goodbye. Never gonna tell a lie. And hurt you. We've known each other for so long. Your heart's been aching, but. You're too shy to say it. Inside we both know what's been going on. We know the game and we're. Gonna play it. And if you ask me how I'm feeling. Don't tell me you're too blind to see. Never gonna give you up. Never gonna let you down. Never gonna run around. And desert you. Never gonna make you cry. Never gonna say goodbye. Never gonna tell a lie. And hurt you (2x). Ooh, Give you up [x4]. [Never gonna give, never gonna give] [x2]. We've known each other for so long. Your heart's been aching, but. You're too shy to say it. Inside we both know what's been going on. We know the game and we're. Gonna play it. I just wanna tell you how I'm feeling. Gotta make you understand. Never gonna give you up. Never gonna let you down. Never gonna run around. And desert you. Never gonna make you cry. Never gonna say goodbye. Never gonna tell a lie. And hurt you [x3]"
cry for help,"She's taken my time.. Convince me she's fine.. But when she leaves I'm not so sure.. It's always the same.. She's playing her game.. And when she goes I feel to blame.. Why won't she say she needs me?. I know she's not as strong as she seems.. Why don't I see her cry for help?. Why don't I feel her cry for help?. Why don't I hear her cry for help?. I wandered around. The streets of this town. Trying to find sense of it all.. The rain on my face,. It covers the trace. Of all the tears I'd had to waste.. Why must we hide emotions?. Why must we never break down and cry?. All that I need is to cry for help.. Somebody please hear me cry for help.. All I can do is cry for help.. No need to feel ashamed. Release the pain. Cry for help.. Cry for help is all I need.. All I need is a cry for help.. Cry for help is all I need.. All I need is a cry for help.. Why must we hide emotions?. Why can't we ever break down and cry?. All that I need is to cry for help.. I will be there when you cry for help.. Why don't I hear her cry for help?. All that I need is to cry for help.. Somebody please hear me cry for help.. All I can do is cry for help.. All that I need is to cry for help.. I will be there when you cry for help.. Is it so hard to cry for help?. (Cry for help is all I need.) No need to feel ashamed.. (All I need is a cry for help.) Come on and release the pain.. (Cry for help is all I need.) Put your trust in me.. (All I need is a cry for help.) My love is gonna set you free.. Woooooooooooooo."
together forever,"If there's anything you need. All you have to do is say. You knew you satisfy everything in me. We shouldn't waste a single day. So don't stop me falling. It's destiny calling. A power I just can't deny. It's never changing. Can't you hear me, I'm saying. I want you for the rest of my life. Together forever and never to part. Together forever we two. And don't you know. I would move heaven and earth. To be together forever with you. If they ever get you down. There's always something I can do. Because I wouldn't ever wanna see you frown. I'll always do what's best for you. There ain't no mistaking. It's true love we're making. Something to last for all time. It's never changing. Can't you hear me, I'm saying. I want you for the rest of my life. Together forever and never to part. Together forever we two. And don't you know. I would move heaven and earth. To be together forever with you. So don't stop me falling. It's destiny calling. A power I just can't deny. It's never changing. Can't you hear me, I'm saying. I want you for the rest of my life. Together forever and never to part. Together forever we two. And don't you know. I would move heaven and earth. To be together forever with you."
beautiful life,"You know I love you, but you don't know how much. You know I need you, I need your touch. You know I love you but you don't know how much. No you don't, no you don't, no you don't. But we can find a better way. Have to find a better way. We can find a better way. To prove it, prove it, prove it. It's a beautiful life if you give it a chance. It will make you dance. It's a beautiful life, alright, alright. Do you feel it, with your feet on the ground. Do you hear it, it makes no sound. Do you feel it, the world is turning. No you don't, no you don't, no you don't. We can find a better way. Have to find a better way. We can find a better way. To prove it, prove it, prove it. It's a beautiful life if you give it a chance. It will make you dance. It's a beautiful life, alright, alright. You know I love you, but you don't know how much. You know I need you, I need your touch. We can find a better way. Have to find a better way. We can find a better way. To prove it, prove it, prove it. It's a beautiful life if you give it a chance. It will make you dance. It's a beautiful life, alright, alright. It's a beautiful life, alright, alright"
hold me in your arms,"We've been trying for a long time. To say what we want to say. But feelings don't come easy. To express in a simple way. But we all have feelings. We all need loving. And who would be the fool to say, that if you. Hold me in your arms. I won't feel better. If you hold me in your arms. We can brave this storm together. We both know there's a problem. A problem that we've got to face. So put your trust in me, lover. No-one's ever gonna take your place. 'Cos we all have a problem. We all have fears. But there's always got to be a way. Yes we all have feelings. We all need loving. And you would be a fool to say, that if you. Hold me in your arms. I won't feel better. If you hold me in your arms. We can brave this storm together. (solo). You only have to hold me. Touch me to make me feel so good. You only have to hold me. Feel me. To make me feel the way you know I should. Hold me in your arms. Hold me in your arms. Hold me in your arms. Hold me in your arms. When you gonna hold me in your arms. Hold me in your arms. Hold me in your arms. Hold me in your arms. Hold me in your arms. Hold me in your arms. Hold me in your arms. Hold me in your arms. Hold me in your arms. (instrumental to fade)"
whenever you need somebody,"(Stock/Aitken/Waterman). I'll bring my love to you. I'll bring my love to you. I've been stood up and messed around. And taken for a fool. But next time around. I'm gonna change the rules. And I don't care about the things that people say. It's you I think about each and every day. It's much to late for you to change your ways. I can't keep holding on expecting you to stay. When you're all alone and if you're feeling down. Call me, I'll be around. * Whenever you need somebody. I'll bring my love to you. You don't have to say you love me. I just wanna be with you. Lost Inside your love is where I wanna be. I'm just asking you to spend some time with me. Time and time you say you wanna be free. And you can have some fun that's ok with me. You will never know just how good I feel. The joy inside of me makes me feel so real. When you're all alone and if you're feeling down. Call me, I'll be around. (* repeat). I'll bring my love to you. I just wanna be with you. It's much to late for you to change your ways. I can't keep holding on expecting you to stay. When you're all alone and if you're feeling down. Call me , I'll be around. (* repeat)"
when i fall in love,When I fall in love it will be forever. Or I'll never fall in love. In a restless world like this is. Love is ended before it's begun. And too many moonlight kisses. Seem to cool in the warmth of the sun. When I give my heart it will be completely. Or I'll never give my heart. And the moment I can feel. that you feel that way too. Is when I fall in love with you. And the moment I can feel. that you feel that way too. Is when I fall in love with you
try,"I don't know if I can milk it. But I'm gonna try, I'm gonna try. I don't know if I can make it. But just watch me try, watch me try. When it feels like all my chances end in empty sighs. I remember the only that I can lose is pride. And you know I got to try. Even though my heart is on the line. Even if I'm broken on the inside. There's nothing I won't do to make it right. You know, you know I got to try. All I know is nothing certain. So I'm gonna try, I'm gonna try. It's only myself that I'm hurting. If I don't try, if I don't try. When it feels like all my hopes and dreams are shattered into dust. I remember the only that I have to do is trust. And you know I got to try. Even though my heart is on the line. And even if I'm broken on the inside. There's nothing I won't do to make it right. You know, you know I got to try. Even if I'm stopped at every turn. Even if I lose it, crash and burn. I won't quit until your love I've earned. You know, you know I got to try. We don't need anyone to tell us this is golden. I can see that there are diamonds in your eyes tonight. Don't need anyone to tell us to [?] open. We'll open up, we'll open up our wings and fly. Even though our hearts are on the line. And even if we're broken on the inside. There's nothing I won't do to win this fight. You know, you know we got to try. Even if we're stopped at every turn. Even if we lose it, crash and burn. We won't quit until our love we've earned. You know, you know we've got to try"
angels on my side,"Sometimes I just don't feel like waking up. Wanna stay inside my dreams. Sometimes I feel like I am breaking up. Do you know just how that feels. Hope is for the hopeful. It's a dream that never dies. Safe is for the faithful. I see it in your eyes. And I got angels on my side. I got angels flying high. And everything will be alright. cause I got angels on my side. I need the people that I really love. To only give me truth. Don't fake, I can't take it. My heart is close to breaking. It reminds me of my youth. Hope is for the hopeful. It's a dream that never fades. Faith is for the faithful. And I will now be. And I got angels on my side. I got angels flying high. And everything will be alright. cause I got angels on my side. Everything will be alright. Everything will be alright. Everything will be alright. Everything will be alright. Everything will be alright. cause I got angels on my side. Oh, yeah. Can you see them?. Can you see them?. I got angels on my side. Oh, yeah. Angels flying high. And everything will be alright. cause I got angels on my side. I got angels, you got angels. Everybody got their angels on their side. Everything's gonna be alright. You got angels, I got angels. Everybody got their angels by their side. It's alright, it's alright. I got angels, you got angels. Everybody got an angel by their side. We got angels on my side. I got angels, you got angels. Everybody got their angels by their side. Oh, yeah"
take me to your heart,"Are we lovers. Or only just friends. Come tomorrow. Will I be lonely again. When you see me. Is it love in your eyes. What you feeling. Deep down inside. Do you think about me (think about me). When I'm far away?. Do you dream about me (dream about me). Can I find a way?. To make you want me (make you want me). The way I want you. 'Cos I think I love you (think I love you). Could you love me too?. Take me to your heart. Never let me go. If you knew what I'm feeling. You would not say no. Take me to your heart. Never let me go. For your love, for your love. Is all I need to know. Can you tell me. When you look at me. If you need me. In all honesty. Because I'm certain. As sure as can be. I'd make you happy. Eternally. 'Cos I think about you (think about you). When you're far away. And I dream about you (dream about you). Night and Day. Can I make you want me (make you want me). The way that I want you. 'Cos I think I love you (think I love you). Could you love me too?. 'Cos I think about you (think about you). When you're far away. And I dream about you (dream about you). Night and day. Can I make you want me (make you want me). The way that I want you. 'Cos I think I love you (think I love you). Could you love me too?"
