angels,I sit and wait. Does an angel contemplate my fate. And do they know. The places where we go. When we're grey and old. 'cause I've been told. That salvation lets their wings unfold. So when I'm lying in my bed. Thoughts running through my head. And I feel that love is dead. I'm loving angels instead. And through it all she offers me protection. A lot of love and affection. Whether I'm right or wrong. And down the waterfall. Wherever it may take me. I know that life won't break me. When I come to call. she won't forsake me. I'm loving angels instead. When I'm feeling weak. And my pain walks down a one way street. I look above. And I know I'll always be blessed with love. And as the feeling grows. She breathes flesh to my bones. And when love is dead. I'm loving angels instead. And through it all she offers me protection. A lot of love and affection. Whether I'm right or wrong. And down the waterfall. Wherever it may take me. I know that life won't break me. When I come to call. she won't forsake me. I'm loving angels instead. And through it all she offers me protection. A lot of love and affection. Whether I'm right or wrong. And down the waterfall. Wherever it may take me. I know that life won't break me. When I come to call. she won't forsake me. I'm loving angels instead
feel,Come and hold my hand. I wanna contact the living. Not sure I understand. This role I've been given. I sit and talk to God. And he just laughs at my plans. My head speaks a language. I don't understand. I just wanna feel real love. Feel the home that I live in. 'Cause I got too much life. Running through my veins. Going to waste. I don't wanna die. But I ain't keen on living either. Before I fall in love. I'm preparing to leave her. I scare myself to death. That's why I keep on running. Before I've arrived. I can see myself coming. I just wanna feel real love. Feel the home that I live in. 'Cause I got too much life. Running through my veins. Going to waste. And I need to feel real love. And a life ever after. I cannot get enough. I just wanna feel real love. Feel the home that I live in. I got too much love. Running through my veins. Going to waste. And I need to feel real love. In a life ever after. There's a hole in my soul. You can see it in my face. It's a real big place. Come and hold my hand. I wanna contact the living. Not sure I understand. This role I've been given. Not sure I understand. Not sure I understand. Not sure I understand. Not sure I understand
sexed up,"Loose lips sunk ships. I'm getting to grips with what you said. No it's not in my head. I can't awaken the dead day after day. Why don't we talk about it?. Why do you always doubt that there can be a better way?. It doesn't make me wanna stay. Why don't we break up?. There's nothing left to say. I've got my eyes shut. Praying they won't stray. And we're not sexed up. That's what makes the difference today. I hope you blow away. You say we're fatally flawed. Well I'm easily bored, is that ok?. Strike me off your list. Make this the last kiss, I'll walk away. Why don't we talk about it?. I'm only here don't shout it. Given time we'll forget. Let's pretend we never met. Why don't we break up?. There's nothing left to say. I've got my eyes shut. Praying they won't stray. And we're not sexed up. That's what makes the difference today. I hope you blow away. Screw you, I didn't like your taste. Anyway, I chose you and that's all gone to waste. It's Saturday, I'll go out. And find another you. Why don't we.... Why don't we break up?. There's nothing left to say. I've got my eyes shut. Praying they won't stray. And we're not sexed up. That's what makes the difference today. I hope you blow away. I hope you blow away. I hope you blow away. Away. Blow away. Away"
i just want people to like me,"I'm psychedelic, unstable. They wanna role model but I just puked a rainbow. It gets so lonely I tried to end it all. Jumped off my wallet but I landed in my swimming pool. And I think so hard why don't you love me. Yeah yeah, yeah yeah, our hands in the air. I am in my private jet, I am in limousine. I got my test back baby, and I'm super clean. Get excited. I just want people to like me. I'm in the land of the brave. In the home of the free. I got a pretty young thing right on top of me. Come inside, girl. Some people just ain't goin' like it. I can't dance, I can't sing. But I made it this far. You'd think they'd be happy for me. And I'm so loaded, I guess I could stop. 'Cause absolutely nothing about me loves this little rock. And I cry all night why don't you love me. Yeah yeah, yeah yeah, our hands in the air. I am in my private jet, I am in limousine. I got my test back baby, and I'm super clean. Get excited. I just want people to like me. I'm in the land of the brave. In the home of the free. I got a pretty young thing right on top of me. Come inside, girl. Some people just ain't goin' like it. They gave my music to a man. Who played my music to a scene. They gave my music to some people. Who say what they mean. Call me psychic. Some people just ain't goin' like it. They gave my music to a man. Who played my music to a scene. They gave my music to some people. Who say what they mean. Call me psychic. Some people just ain't goin' like it (fuck it). I am in my private jet, I am in limousine. I got my test back baby, and I'm super clean. Get excited. I just want people to like me. I'm in the land of the brave. In the home of the free. I got a pretty young thing right on top of me. Keira Knightley. I just want people to like me"
love my life,Tether your soul to me. I will never let go completely. One day your hands will be. Strong enough to hold me. I might not be there for all your battles. But you'll win them eventually. I'll pray that I'm giving you all. That matters. So one day you'll say to me. I love my life. I am powerful. I am beautiful. I am free. I love my life. I am wonderful. I am magical. I am me. I love my life. I am not my mistakes. And god knows I've made a few. I started to question the angels. And the answer they gave was you. I can not promise there won't be sadness. I wish I could take it from you. But you'll find the courage. To face the madness. And see it because it's true. I love my life. I am powerful. I am beautiful. I am free. I love my life. I am wonderful. I am magical. I am me. I love my life. Find the. Others. With hearts. Like yours. Run far. Run free. I'm with you. I love my life. I am powerful. I am beautiful. I am free. I love my life. I am wonderful. I am magical. I am me. I love my life. I am powerful. I am beautiful. I am free. I love my life. I am wonderful. I am magical. I am me. I love my life. And finally. I'm where I wanna be
pretty woman,"Hey pretty woman, I wanna take you out. I know a place, we can move our feet downtown. Ease into the rhythm when I hear that sound. My momma taught me and I do not back down. Hey pretty woman, I love the way you move. Winding down low to that baseline groove. The way you're dancing got me in the mood. Daddy told me it's what grown folks do. Let me tell ya now. Hey pretty woman Imma testify. Hey pretty woman make a grown man cry. [Chorus]. You can make me beg. Take my last dollar (take my last dollar). Oh honey, you can take it anyway you wanna. The way you move your legs. Well, it just ain't proper. Why don't you shake. what you've been given from your momma?. Hey pretty woman, come and hold my hand. Dance the Charleston to that old swing band. I know that it's getting late but you don't mind. Let's take a taxi and get back to mine. Hey pretty woman, your daddy don't know. Take what you want from me, I can't say no. Just put your hands on my body, let me taste your lips. I put my hands on your body, baby, work those hips. [Chorus]. You can make me beg. Take my last dollar (take my last dollar). Oh honey, you can take it anyway you wanna. The way you move your legs. Well, it just ain't proper. Why don't you shake. what you've been given from your momma?. [Bridge]. Hey pretty woman, na, na, na, I'm in love. You are the only one I'm thinking of. Hey pretty woman, if you feel the same. Just say ""hey there, boy, bring that beat back again"". [Chorus]. You can make me beg. Take my last dollar (take my last dollar). Oh honey, you can take it anyway you wanna, wanna. The way you move your legs. Well, it just ain't proper. Why don't you shake. what you've been given from your momma?. You can make me beg. Take my last dollar, dollar (take my last dollar). Oh honey, you can take it anyway you wanna. The way you move your legs. Well, it just ain't proper. Why don't you shake what yo. u've been given from your momma?"
advertising space,There's no earthly way of knowing. What was in your heart. When it stopped going. The whole world shook. A storm was blowing through you. Waiting for God to stop this. And up to your neck in darkness. Everyone around you was corrupted. Saying somethin'. There's no dignity in death. To sell the world your last breath. They're still fighting over. Everything you left over. I saw you standing at the gates. When Marlon Brando passed away. You had that look upon your face. Advertising space. And. No one learned from your mistakes. We let our profits go to waste. All that's left in any case. Is Advertising space. Through your eyes. The world was burning. Please be gentle. So I'm still learning. You seemed to say. As you kept turning up. They poisoned you with compromise. At what point did you realize. Everybody loves your lies. But you ahahh. Special agent for the man. Through watergate and vietnam. No one really gave a damn. Did you think the CIA did. I saw you standing at the gates. When Marlon Brando passed away. You had that look upon your face. Advertising space and. No one learned from your mistake. We let our profits go to waste. All that's left in any case. Is Advertising space ooooohh. No one learned from your mistakes. We let our profits go to waste. All that's left in any case. Is Advertising space. I've seen your daughter. Man she's cute. I was scared but I wanted to. Boy she looks a lot like you
beyond the sea,"Somewhere beyond the sea. Somewhere waiting for me. My lover stands on golden sands. And watches the ships that go sailing. Somewhere beyond the sea. She's there watching for me. If I could fly like birds on high. Then straight to her arms. I'd go sailing. Somewhere beyond the stars. She's there watching for me. My lover stands on golden sands. And watches the ships that go sailing. It's far beyond the stars. It's near beyond the moon. I know beyond the doubt. My heart will lead me there soon. We'll meet I know will meet beyond the shore. We'll kiss just like before. Happy we will be beyond the sea. And never again i'll go sailing. It's far beyond the stars. It's near beyond the moon. I konw, yes, I know beyond the doubt. My heart will lead me there soon. We'll meet, I know we'll meet beyond the shore. We'll kiss just as before. And happy we'll be beyond the sea. And never again i'll go sailing. And never again i'll go sailing. And never again i'll go sailing. Yeah"
she's the one,I was her she was me. We were one we were free. And if there's somebody calling me on. She's the one. If there's somebody calling me on. She's the one. We were young we were wrong. We were fine all along. If there's somebody calling me on. She's the one. When you get to where you wanna go. And you know the things you wanna know. You're smiling. When you said what you wanna say. And you know the way you wanna play. Yeah. You'll be so high you'll be flying. Though the sea will be strong. I know we'll carry on. 'Cos if there's somebody calling me on. She's the one. If there's somebody calling me on. She's the one. When you get to where you wanna go. And you know the things you wanna know. You're smiling. When you said what you wanna say. And you know the way you wanna say it. You'll be so high you'll be flying. I was her she was me. We were one we were free. If there's somebody calling me on. She's the one. If there's somebody calling me on. She's the one. If there's somebody calling me on. She's the one. Yeah she's the one. If there's somebody calling me on. She's the one. She's the one. If there's somebody calling me on. She's the one. She's the one. If there's somebody calling me on. She's the one
better man,Send someone to love me. I need to rest in arms. Keep me safe from harm. In pouring rain. Give me endless summer. Lord I fear the cold. Feel I'm getting old. Before my time. As my soul heals the shame. I will grow old through this pain. Lord I'm doing all I can. To be a better man. Go easy on my conscience. Cause it's not my fault. I know I've been taught. To take the blame. Rest assured my angels. Who catch my tears. Walk me out of here. I'm in pain. As my soul heals the shame. I will grow old through this pain. Lord I'm doing all I can. To be a better man. Once you've found that lover. You're homeward bound. Love is all around. Love is all around. I know some have fallen. On stony ground. But love is all around. Send someone to love me. I need to rest in arms. Keep me safe from harm. In pouring rain. Give me endless summer. Lord I fear the cold. Feel I'm getting old. Before my time. As my soul heals the shame. I will grow old through this pain. Lord I'm doing all I can. To be a better man
