spending my time,"What's the time? Seems it's already morning. I see the sky, it's so beautiful and blue. The Tv's on. But the only thing showing is a picture of you. Oh, I get up and make myself some coffee. I try to read a bit but the story's too thin. I thank the Lord above. That you're not here to see me. In this shape I'm in. Spending my time. Watching the days go by. Feeling so small, I stare at the wall. Hoping that you think of me too. I'm spending my time. I try to call but I don't know what to tell you. I leave a kiss on your answering machine. Oh, help me please. Is there someone who can make me. Wake up from this dream?. Spending my time. Watching the days go by. Feeling so small, I stare at the wall. Hoping that you are missing me too. I'm spending my time. Watching the sun go down. I fall asleep to the sound of ""tears of a clown"". A prayer gone blind. I'm spending my time. My friends keep telling me: ""Hey, life will go on"". Time will make sure I get over you, oh. This silly game of love. You play, you win only to lose, oh. I'm spending my time. Watching the days go by. Feeling so small, I stare at the wall. Hoping that you think of me too. I'm spending my time. Watching the sun go down. I fall asleep to the sound, ""tears of a clown"". A prayer gone blind. I'm spending my time..."
it must have been love,"It must have been love but it's over now.... Lay a whisper on my pillow. Leave the winter on the ground. I wake up lonely, there's air of silence. In the bedroom and all around. Touch me now, I close my eyes. And dream away. It must have been love but it's over now. It must have been good but I lost it somehow. It must have been love but it's over now. From the moment we touched 'till the time had run out. Make-believing we're together. That I'm sheltered by your heart. But in and outside I've turned to water. Like a teardrop in your palm. And it's a hard winter's day. I dream away. It must have been love but it's over now. It was all that I wanted, now I'm living without. It must have been love but it's over now. It's where the water flows. It's where the wind blows. It must have been love but it's over now. It must have been good but I lost it somehow. It must have been love but it's over now. From the moment we touched ‘til the time had run out. It must have been love but it's over now. It was all that I wanted, now I'm living without. It must have been love but it's over now. It's where the water flows. It's where the wind blows"
listen to your heart,"I know there's something in the wake of your smile. I get a notion from the look in your eyes, yeah. You've built a love but that love falls apart. Your little piece of heaven turns too dark. Listen to your heart when he's calling for you. Listen to your heart, there's nothing else you can do. I don't know where you're going and I don't know why. But listen to your heart before you tell him goodbye. Sometimes you wonder if this fight is worthwhile. The precious moments are all lost in the tide, yeah. They're swept away and nothing is what it seems. The feeling of belonging to your dreams. Listen to your heart when he's calling for you. Listen to your heart, there's nothing else you can do. I don't know where you're going and I don't know why. But listen to your heart before you tell him goodbye. And there are voices that want to be heard. So much to mention but you can't find the words. The scent of magic, the beauty that's been. When love was wilder than the wind. Listen to your heart when he's calling for you. Listen to your heart, there's nothing else you can do. I don't know where you're going and I don't know why. But listen to your heart before.... Listen to your heart when he's calling for you. Listen to your heart, there's nothing else you can do. I don't know where you're going and I don't know why. But listen to your heart before.... You tell him goodbye. (Listen to your heart). (Listen to your heart). (Listen to your heart). (Listen to your heart)"
milk and toast and honey,"Milk and toast and honey. make it sunny on a rainy Saturday, he-he-hey. Milk and toast, some coffee. take the stuffiness out of days you hate,. you really hate. Slow morning news pass me by. I try not to analyse. but didn't he blow my mind this time. Didn't he blow my mind. (Here he comes). To bring a little lovin', honey. To take away the hurt inside. is everything that matters to me. Is everything I want in life. Milk and toast and honey Ain't it funny. how things sometimes look so clear. and feel so near. The dreams I dream,. my favorite wishful thinkin'. Oh he's bookmarked everywhere,. everywhere. True love might fall from the sky. You never know what to find. but didn't he blow my mind this time. Didn't he blow my mind?. (Here he comes). To bring a little lovin', honey. To take away the pain inside. is everything that matters to me. Is everything I want in life. (Here he comes). Oh lay a little lovin', honey. To feel you're gettin' close to me. is everything that matters to me. Is everywhere I wanna be. Oh lay a little lovin', baby baby baby. To feel you're gettin' close to me. is everything that matters to me. Is everywhere I wanna be"
fading like a flower (every time you leave),"In a time. When the sun descends alone. I ran a long, long way from home. To find a heart that's made of stone. I will try. I just need a little time. To get your face right out of my mind. To see the world through different eyes. Every time I see you, oh I try to hide away. But when we meet it seems I can't let go. Every time you leave the room I feel. I'm fading like a flower. Tell me why. When I scream there's no reply. When I reach out there's nothing to find. When I sleep, I break down and cry. Every time I see you, oh I try to hide away. But when we meet it seems I can't let go. Every time you leave the room I feel. I'm fading like a flower. Fading like a rose, fading like a rose. Beaten by the storm, talking to myself. Getting washed by the rain, it's such a cold, cold town. Oh, it's such a cold town. Every time I see you, oh I try to hide away. But when we meet it seems I can't let go. Every time you leave the room I feel. I'm fading like a flower"
how do you do!,"I see you comb your hair. And gimme that grin. It's making me spin now, spinnin' within. Before I melt like snow. I say ""hello, how do you do?"". I love the way you undress now, baby, begin. Do you caress, honey, my heart's in a mess. I love your blue-eyed voice. Like tiny tim shines thru. How do you do?. Well, here we are. Crackin' jokes in the corner of our mouths. And I feel like I'm laughing in a dream. If I was young I could wait outside your school. Cos your face is like the cover of a magazine, magazine. How do you do, do you do!. The things that you do?. No one I know could ever keep up with you. How do you do?. Did it ever make sense to you. To say ""Bye, bye, bye""?. I see you in that chair with perfect skin. Well, how have you been, baby, livin' in sin?. Hey, I gotta know. Did you say ""hello, how do you do?"". How do you do?. Well, here we are. Spending time in the louder part of town. And It feels like everything's surreal. When I get old I will wait outside your house. Cos your hands have got the power meant to heal. How do you do, do you do!. The things that you do?. No one I know could ever keep up with you. How do you do?. Did it ever make sense to you. To say ""Bye, bye, bye""?. Well, here we are cracking jokes. How do you do!. Well, here we are spending time. How do you do, do you do!. The things that you do?. No one I know could ever keep up with you. How do you do?. Did it ever make sense to you. To cry ""Bye, bye, bye""?. How do you do, do you do!. The things that you do?. No one I know could ever keep up with you. How do you do?. Did it ever make sense to you. To say ""Bye, bye, bye""?. Yeah, how do you do, do you do!. The things you do?. No one I know could ever keep up with you. How do you do?. Did it ever make sense to you. To say ""Bye, bye, bye""?"
a thing about you,"I pick up the phone. I'm dialing your number. while I pray you're at home,. at home and alone. 'cause I can't function on my own. And I'll never stop believing. The reaping is done. You are the one. The radio is on but the sound is off gone. And I wanna walk out in the sun. But lately that's been very hard to do. I've got a thing about you. And I don't really know what to do. 'cause I've got a thing about you. Hey you. I pick up the phone. I'm dialing that number and. my heart like a stone. waits for the tone. Oh I can't make it on my own. And I'll never stop believing. I know what is right and this is so wrong. Alone in my bed, better off on my own. The TV is on but the colours are gone. And lately you've been painting my world blue. I've got a thing about you. (I've got a thing about you). And I don't really care what you do. I've got a thing about you. (I've got a thing about you). Yeah you. I've got a thing about you. I've got a thing about you-ou-ou-ou. Lately you've been painting my world blue. I've got a thing about you. (I've got a thing about you). And I don't really know what to do. I've got a thing about you. Hoping this story cuts through. (this story cuts through). Yeah, I've got a thing about you. A thing about you. I've got a thing about you. I've got a thing about you-ou-ou-ou. And I don't really know what to do. I've got a thing about you (I've got a thing about you). I've got a thing about you (I've got a thing about you-ou-ou-ou)"
the look,1-2-3-4 walking like a man. Hitting like a hammer. She's a juvenile scam.. Never was a quitter. Tasty like a raindrop. She's got the look.. Heavenly bound cause heaven's got a number. When she's spinning me around. Kissing is a colour.. Her loving is a wild dog. She's got the look.. Chorus:. She's got the look.. She's got the look.. What in the world can make. a brown-eyed girl turn blue.. When everything i'll ever do i'll do for you and I go:. Na na na na na she's got the look.. Fire in the ice naked to the t-bone is a lover's disguise.. Banging on the head drum. Shaking like a mad bull. She's got the look.. Swaying to the band. Moving like a hammer she's a miracle man.. Loving is the ocean. Kissing is the wet sand. She's got the look.. And she goes: na na na na na na na na.. Chorus. Na na na na na na nana na. Chorus 2x
vulnerable,"Everywhere I look I see her smile. Her absent-minded eyes. And she has kept me wondering for so long. How this thing could go wrong. It seems to me that we are both the same. Playing the same game. But as darkness falls this true love falls apart. Into a riddle of her heart. She's so vulnerable, like china in my hands. She's so vulnerable, and I don't understand. I could never hurt the one I love. She's all I've got. But she's so vulnerable. Oh so vulnerable. Days like these no one should be alone. No heart should hide away. Her touch is gently conquering my mind. There's nothing words can say. She's colored with all the secrets of my soul. I've whispered all my dreams. But just as nighttime falls this vision falls apart. Into a riddle of her heart, yea. She's so vulnerable, like china in my hands. She's so vulnerable and I don't understand. I could never hurt someone I love. She's all I've got. But she's so vulnerable. Oh so vulnerable.. Don't hide your eyes...."
crash! boom! bang!,"My Papa told me to stay out of trouble. ""When you've found your man, make sure he's for real!"". I've learned that nothing really lasts forever. I sleep with the scars I wear that won't heal. they won't heal. Cos every time I seem to fall in love. Crash! Boom! Bang!. I find the heart but then I hit the wall. Crash! Boom! Bang!. That's the call, that's the game. and the pain stays the same. I'm walking down this empty road to nowhere. I pass by the houses and blocks I once knew. My Mama told me not to mess with sorrow. but I always did, and Lord, I still do. I'm still breaking the rules. I kick it up. I kick it down. Cos every time I seem to fall in love. Crash! Boom! Bang!. I find the heart but then I hit the wall. Crash! Boom! Bang!. that's my real middle-name. it has always been the same. that's the call, that's the game. and the pain stays the same.. I still feel the heat. slowly fallin' from the sky. and the taste of the kissing. shattered by rain. comin' tumblin' from behind. and the wild holy war. I kick it up. I kick it down. Cos every time I seem to fall in love. Crash! Boom! Bang!. I find the roses dying on the floor. Crash! Boom! Bang!. that's the call, that's the game. and the pain stays the same. that's my real middle-name. it has always been the same. Oh Yea Oh Yea Oh Yea Uh-huh. been the same, been the same. it has always been the same"
