dream dentist,[This song is an instrumental.].
21st century christmas,"The satellite's tracking Santa. We'll text our Christmas list. And leave our mobile numbers. To help out old Saint Nick. Sometimes we stop and wonder. Has that old bubble burst?. Or will this Christmas morning. Be like the first?. But tonight we'll still thank Santa Claus. And raise a glass to friends of ours. Peace on earth, goodwill to all. The future is the past. Let's have a slow light, snowball fight. Silent night, dynamite. 21st century Christmas. Magic morn, tree adorned. All at home, safe from harm. 21st century Christmas. We'll microwave some popcorn. And put on a Dvd. Thanks Uncle Jimmy Saville. For fixing you and me. These days we watch and wonder. Has Christmas lost it's touch?. And will our chocolate money. Be worth that much?"
4:35 in the morning,"Transcribed by Mark Dorset. Hey baby. I've been up all night. Trying to make sense of my life. . Day's breaking. Things are getting bright. After all this time. . And any fool could see. That you're the best thing. That's happened to me. . 4:35 in the morning. Everything is clear. . 4:35 in the morning. I wish that you were here. . So lately. I've been coming home. Sleepy, all alone. . Don't hate me. Left here on my own. Staring at the phone. . And any fool could see. That you're the best thing. That's happened to me. . 4:35 in the morning. Everything is clear. . 4:35 in the morning. I wish that you were here. . 4:35 in the morning. Everything is clear. . I hear the phone. It's ringing loud. I'm coming alive. . 4:35. 4:35. . Yeah any fool could see. That you're the best thing. That's happenened to me. . 4:35 in the morning. Everything is clear. . 4:35 in the morning. Everything is clear. . 4:35 in the morning. 4:35 in the morning. 4:35."
7 summers,So just how long did it take you. To know that she was the one?. You've known her since the Autumn. And 7 Summer's seemed to pass you by. Do you remember the Isle of Wight?. Sand in your hair and the chill of the night. Now I'm not trying to tell you. What you should do with your life. You know you have my blessing. But 7 Summer's seemed to pass you by. Do you remember the Isle of Wight?. Sand in your hair and the chill of the night. Do you remember when we said goodbye?. Hand on my lips when you started to cry
7 ways to love,"Okay, so they're not highly literate lyrics `cause it's a techno-mantra stomp kind of a thing. A vocal sample saying ""Seven"" forms part of the rhythm loop at times.. Seven ways to love, / seven ways to love, /. seven ways to love, / seven ways to love, / yeah! /. ."
a christmas gift to you,"Transcribed by Nicola. Sarah:. Hello, this is Saint Etienne here with a special Christmas message for you all. How are you feeling Bob?. Bob:. I'm feeling dandy and I just want to say Happy Christmas, war is over. How are you feeling Pete?. Pete:. I'm feeling my oats. It's a bit parky in here, isn't it? Anyone fancy a drink? What's your favourite Christmas drink Bob?. Bob:. Umm, can I have a vodka with domestos in it and a slice of ??? please?. Pete:. Certainly sir. And Sarah?. Sarah:. No thank you. eh... can I have a glass of champagne with an Oxo cube in it please? Thank you. Mmmmm.. Bob:. Do you want a drink Pete, I'm buying this round?. Pete:. No.. Sarah:. We've got a couple of songs for you and the first one is.... Bob:. Driving Home For Christmas, a smashing song by Chris Rea. And the second one is... Pete:. Message In A Bottle, a tribute to the gentle giant of rock, Sting.. Sarah:. And now we'd all like to say.... All:. Happy Christmas!!."
a good thing,"Take a message,. Let me know.. Put on her shoes before she goes,. Hazel eyes and auburn hair.. How could she tell it's all for nothing?. Far away from what you want,. Another night to spend alone,. And now you really know,. It's gone, It's gone, It's gone.. You know it was a good thing,. The best thing,. Last thing you sure left behind.. Out of nowhere, out there. Looking all the way back.. It's a good thing,. The best thing,. Last thing you should have left behind.. Out of nowhere, out there. It's gone, It's gone, It's gone, It's gone, It's gone.. A small cafe across the street,. I heard you meet there every week.. Got your favorite necklace on,. How could you tell it's all for nothing?. Pack your bags and move along,. Before your feelings get too strong,. 'Cause I can tell you now,. It's gone, It's gone, It's gone. You know it was a good thing,. The best thing,. Last thing you should have left behind.. Out of nowhere, out there,. Looking all the way back.. It's a good thing,. The best thing,. Last thing you sure left behind.. Out of nowhere, out there,. It's gone, It's gone, It's gone, It's gone, It's gone.. [He looked away, pretending not to see her. She tried to say something, but nothing came out right. He's lost the best thing. One day it will hit him. One day...]. You know it was a good thing,. The best thing,. Last thing you sure left behind.. Out of nowhere, out there,. Looking all the way back.. It's a good thing,. The best thing,. Last thing you should have left behind.. Out of nowhere, out there,. It's gone, It's gone, It's gone, It's gone, It's gone.. It's a good thing,. The best thing,. Last thing you should have left behind.. Out of nowhere, out there,. Looking all the way back.. It's a good thing,. The best thing,. Last thing you should have left behind.. Out of nowhere, out there,. It's gone, It's gone, It's gone, It's gone, It's gone."
"abby, i hardly knew you",Lying on the grass. I'm there beside you. Keys in your hand. I'm there beside you. Don't you pretend. I hardly know you. (Forever... together). Pleasant and warm. I'm there beside you. Don't let them say. I hardly know you. (Together... forever)
accident,"He's on the phone, / doesn't want to go home. /. The hotel life - / forget your wife, / you're on your own.. Academia girl; /. her life's a gas, / she loves the trash / inside his world. /. Can't find his way there, /. got the cash, / feeling flash / in Leicester Square. /. . (Ooh-ooh) /. Yes. /. She never meant to call, / she did anyway, /. and now he's trying to find / the words to say /. Someday. /. . It's five to twelve / and she's nervous as hell, /. with nothing to lose, / it's hard to choose / it's hard to tell. /. And her's is lilac and gold; /. the things she has, / she's feeling sad, / she's feeling old. /. Skin is dewdrop and warm; /. the lipstick kiss, / reminisce, / or wait will dawn. /. . (Ooh-ooh) /. Yes. /. She never meant to call, / she did anyway, /. and now he's trying to find / the words to say /. Someday. /. (Ooh-ooh) /. Yes. /. She never meant to call, / she did anyway, /. and now he's trying to find / the words to say /. Someday. /. . Et c'est alors que supposement blesse par le commun des mortels, /. Qu'en habit pourpre et net, / de mes cendres fictions, /. pour l'encore inconnu(e), attendu(e); /. Je reserecte encore et encore. /. Je reserecte / encore / et encore. /. . He's on the phone / and she wants to go home, /. shoes in hand, / don't make a sound, / it's time to go /. . Ooh-ooh /. Yes. /. She never meant to call, / she did anyway, /. and now he's trying to find / the words to say /. Someday. /. Ooh-ooh /. Yes. /. She never meant to call, / she did anyway, /. and now he's trying to find / the words to say /. Someday, someday, someday. (Ooh-ooh) /. Someday, someday, someday.."
action,"""Have you ever been to a harvest of the corn?"". Drift along. Drift along. Gonna find them. Drift along. Gonna find them. Drift along (repeated). Need to make is special. Need to make it new. Looking for the action. Something more to do. Underneath the pavement. Towers in the clouds. Gotta find the action. Need it soon. Right now. Drift along (repeated). Chorus (x2):. Cause I've been searching for all the people. I used to turn to and. All the people who knew the answers. Let's get the feeling again. Back in sweet suburbia. Middle of the road. Looking for the action. Everywhere I go. Need to make it special. Need to make it knew. Looking for the action. Something more to do. Drift along (repeated). Chorus (x4):. Cause I've been searching for all the people. I used to turn to and. All the people who knew the answers."
afraid to go home,"Transcribed by Kevin Hung. Hearing tunes in other rooms. They stay, they stay like morning rays. Summer in sound tumbling down. The sun around my face. Leaves are green like tambourines. A walk, a walk in morning dew. Soul in the breeze. Places like theses. The times I shared with you. . Can we slow it down, slow it down. I'm afraid to go home. I'm afraid to go home. Can we slow it down, slow it down. Scared of being alone. Scared to answer the phone. I'm afraid to go home. . Ocean view is drowned in blue. The waves, the waves against the shore. Say I don't care but knowing he's there. I'll pour a couple more. . Can we slow it down, slow it down. I'm afraid to go home. I'm afraid to go home. Can we slow it down, slow it down. I'm afraid to go home. I'm afraid to go home."
amateur,"Janine, just 19. Joined a pyramid scheme. Didn't think it mean. To inflate her estate - left it too late. Broke her dreams, broke her friends. Who said ""courtesy is dead"". And now a piece of farnborough. Is looking like tiranha. She's banking on the fee. She'll get from itv. Rethink, refrain. Don't pull the choke chain. Amateur.... Karl, frozen smile. Got himself a mobile. Got a house, one wrinkle. Couldn't get a signal. Pretty fast put a mast. On the neighbouring flats. A little girl called jill. Will become very ill. But that is years away. So who gives a hey?. 5 star review - who?. Bought a new lp. Had to agree. With the critic - really dug my lyric. Tolerate all the people who hate. When they walk all over you. Oh, baby, what you're gonna do?. Get a corinthian view. Wear the pink and blue"
another cup of coffee,And she pours herself another cup of coffee. As she contemplates the stain across the wall. And it's in between the cleaning and the washing. That's when looking back's the hardest part of all. And she always did her best to try and please him. While he always did his best to make her cry. And she got down on her knees to stop him leaving. But he always knew one day he'd say goodbye. Where are your friends?. Where are your children?. Is this your house?. Is this your home?. Does nothing ever last forever?. Does everybody sleep alone?. And he tears the business tags from his old suitcase. As he packs away the pieces of his life. They all love him but they always try to change him. That's what happens when a girl becomes a wife. And she pours herself another cup of coffee. As the pictures leave a clean space on the wall. And it's in between the leaving and the loving. That's when looking back's the hardest part of all. Where are your friends?. Where are your children?. Is this your house?. Is this your home?. Does nothing ever last forever?. Does everybody sleep alone?. Don't look back. Don't give up. Pour yourself another cup
anymore,"Does anyone remember how it used to be? /. Don't turn around 'cause you won't see me cry. /. I hear the sounds of motorways and aeroplanes. /. I'm feeling I've got no more love to give. /. . I don't want tomorrow / I don't want the car, /. I don't need your money / anymore. /. I don't need the moonlight, / I don't want the stars, /. I don't need the sunshine / anymore. /. I don't want the hotels, / I don't want the bars, /. I don't need you calling round here no more. /. . Does anyone believe in what you say to them? /. Don't turn around, never see me cry. /. I can't believe how you've spent you life since then; /. wasting time, telling lies and more. /. . I don't want tomorrow / I don't want the car, /. I don't need your money / anymore. /. I don't need the moonlight, / I don't want the stars, /. I don't need the sunshine / anymore. /. I don't want the hotels, / I don't want the bars, /. I don't need you calling round here no more. /. . Yeah, no more, / no more, / no more. /. . I don't want tomorrow / I don't want the car, /. I don't need your money / anymore. /. I don't need the moonlight, / I don't want the stars, /. I don't need the sunshine / anymore. /. I don't want tomorrow / I don't want the car, /. I don't need your money / anymore. /. I don't want the hotels, / I don't want the bars, /. I don't need you calling / anymore. /. I don't need nobody / anymore. /. I don't need nobody / anymore. /"
aqualad,"His words were true. And when they laughed. He turned away so no one knew. And in our class. Nobody tried to understand. They never knew. Oh, he called me Anna Bloom. He called me Anna Bloom. Below you now. The other side behind the gates. He's waiting there. Oh, he called me Anna Bloom. He called me Anna Bloom"
