where have you been,"I've been everywhere, man. Looking for someone. Someone who can please me. Love me all night long. I've been everywhere, man. Looking for you, babe. Looking for you, babe. Searching for you, babe. Where have you been. Cause I never see you out. Are you hiding from me, yeah?. Somewhere in the crowd. Where have you been. All my life, all my life. Where have you been, all my life. Where have you been, all my life. Where have you been, all my life. Where have you been, all my life. I've been everywhere, man. Looking for someone. Someone who can please me. Love me all night long. I've been everywhere, man. Looking for you babe. Looking for you babe. Searching for you babe. Where have you been. Cause I never see you out. Are you hiding from me, yeah?. Somewhere in the crowd. Where have you been. All my life, all my life. Where have you been, all my life. Where have you been, all my life. Where have you been, all my life. Where have you been, all my life. Where have you been, all my life. You can have me all you want. Any way, any day. To show me where you are tonight. I've been everywhere, man. Looking for someone. Someone who can please me. Love me all night long. I've been everywhere, man. Looking for you babe. Looking for you babe. Searching for you babe"
step up,"[step step step up]. [step step step up]. [step step step up]. [step step step up]. Boy, No matter what we go through. You step up, I'll step up too. it don't matter what the haters say. as long as you are my boo. No matter how hard it gets. This love will have no regrets. As long as when we. Stepping on the dance floor. It's me and you. Feel the rhythm of the beat. That's my heart. Cupid shot me with an arrow. From the start. And you know that it's your love that's got me trapped. Every time I try to leave, you bring me back. So much harder at times I cried a river. You dried my eyes and brought me back laughter. And when I lay next to you I want to wake up. And when I break up. It's only to make up. Boy, No matter what we go through. You step up, I'll step up too. it don't matter what the haters say. as long as you are my boo. No matter how hard it gets. This love will have no regrets. As long as when we. Stepping on the dance floor. It's me and you. And when the symphony plays, I feel my feet. Lifting from underneath. You grab my hand. Spin me around. And right before I fall. You catch me and you say. Baby, it'll be okay. Just look into my eyes and we will make another day. Boy, No matter what we go through. You step up, I'll step up too. it don't matter what the haters say. as long as you are my boo. . No matter how hard it gets. This love will have no regrets. As long as when we. Stepping on the dance floor. It's me and you. And if we don't step up. We'll lose our groove. So confused, don't know which way to move. Hold my hand and let me know that you feel me too. Look into my eyes and tell me. Baby I love you. You'll never get wet. 'Cause I'll be your umbrella. And we can make it through any kind of weather. If you step up. I'll step up. Boy. 'Cause I'm trying to be with you forever. Boy, No matter what we go through. You step up, I'll step up too. it don't matter what the haters say. as long as you are my boo. No matter how hard it gets. This love will have no regrets. As long as when we. Stepping on the dance floor. It's me and you. Step Up. [step step step up]. [step step step up]. [step step step up]. [step step step up]. Boy, No matter what we go through. You step up, I'll step up too. it don't matter what the haters say. as long as you are my boo. No matter how hard it gets. This love will have no regrets. As long as when we. Stepping on the dance floor. It's me and you"
born to be alive,"I'll jump straight through the clouds, I wanna crash with you. Free fall, ten thousand miles without a parachute. And I know that it's dark at night, but I set fires with you. My sun always rises, baby, rises just for you!. Right now I need you, and I need you bad. I'll love till I'll have a heart attack. 'Cause baby we were never born to die. We were born to be alive. We were born to be alive. Right now I need you, and I need you bad. We were born to be alive. So sweet, I'm floating in oceans. I wanna drown in you (youu). If I leave, just for one moment. I'll always come back to you (youu). I know that it's dark at night. But I set fires with you. My sun always rises, baby. Rises just for you. Right now I need you, and I need you bad. I'll love till I'll have a heart attack. 'Cause baby we were never born to die. We were born to be alive. We were born to be alive. Right now I need you, and I need you bad. We were born to be alive. We were born. We were born to be alive. We were born. We were born to be alive. We were born. We were born to be alive. (We were born. We were born to be alive. We were born. We were born to be alive. We were born. We were born to be alive). Right now I need you, and I need you bad. I'll love till I'll have a heart attack. 'Cause baby we were never born to die. Right now I need you, and I need you bad. I'll love till I'll have a heart attack. 'Cause baby we were never born to die. We were born to be alive. We were born to be alive. Right now I need you, and I need you bad. We were born to be alive"
soldier,"[Verse]. MM... MM. I'm laying here in the darkness. The middle of nowhere. There's no one in sight. Caught in the madness. Don't wanna be like this. I'm losing my mind. Wanna see inside your head. What's going on in there?. Tell me where you are. So I can stop and take a breath. 'Cause nothing's making sense. I don't want this to end. Come and get me out of this mess. [Chorus]. I want you to stay (oh) , stay (oh). Stay with me a little longer. Why don't you stay (oh) , stay (oh). Don't you wanna be my Soldier?. Now, would you fight for me? D-d-d-die for me?. Would wanna be with me forever. Why don't you stay (oh) , stay (oh). Don't you wanna be my Soldier?. (Whoa-oh). [Verse]. You pulled me out of my shell. Put me under your spell. Now I'm walking a straight line to you. I'll never surrender. You're my pain and pleasure all together. [Lead Up]. Wanna see inside your head. What's going on in there?. Tell me where you are. So I can stop and take a breath. 'Cause nothing's making sense. I don't want this to end. Come and get me out of this mess. [Chorus]. I want you to stay (oh) , stay (oh). Stay with me a little longer. Why don't you stay (oh) , stay (oh). Don't you wanna be my Soldier?. Now, would you fight for me? D-d-d-die for me?. Would wanna be with me forever. Why don't you stay (oh) , stay (oh). Don't you wanna be my Soldier?. (Whoa-oh). [Bridge]. If only it was us against the world. (Tell me, tell me, tell me). Tell me, would you stand for all the worth?. (Worth, worth). Your silence is a gun, gun, gun, gun. Aiming at the one, one, one, one. Who's still the same. My love won't change. (Love won't change...) (Stay...). [Chorus]. Stay (oh) , stay (oh) Stay with me a little longer. Why don't you stay (oh) , stay (oh) (Stay...). Don't you wanna be my Soldier?. Now, would you fight for me? D-d-d-die for me?. Would wanna be with me forever. Why don't you stay (oh) , stay (oh). (Stay, stay, yeah...). Don't you wanna be my Soldier?. (Whoa-oh). (Oh, oh, oh). (Oh, oh, oh). Yeah (Oh, oh, oh). Be my Soldier, soldier (Oh, oh, oh-oh). (Oh, oh, oh). But, would you die for me?. (Oh, oh, oh). Die for me?. (Oh, oh, oh). Be my Soldier, soldier. (Oh, oh, oh-oh)"
naked,"I feel the air, air, air. Against my skin. And it's cold. You're never there, there, there. To listen in. You're like a ghost. I tried to reach you. God knows I've tried. But you don't care, eh, eh. To hold me close. Oh oh. You're leaving me naked. So unprotected. How could you expose me. Told me that you'd never let me down, down, down. I'm naked. You'll never know, oh, oh. What you caved in. Like a storm. It hurts me to show, oh, oh. The mess I've been. Now you're gone. When I tried to hold you. All I held was air. You're heart is stone, stone, stone. Won't bleed no more, ohh. You're leaving me naked. So unprotected. How could you expose me. Told me that you'd never let me down, down, down. You're leaving me naked. My heart is mistaken. How could you expose me. Told me that you'd never let me down, down, down. I'm naked. Wish you're arms would've kept me here. (Kept me here). But your actions are crystal clear. You wouldn't fight for me. MM. You couldn't fight for me. You're leaving me naked. So unprotected, yeah, yeah, yeah. How could you expose me. Told me, you'd never let me down, oh. You're leaving me naked. So unprotected, yeah, yeah, yeah. How could you expose me. Told me that you'd never let me down, down, down. I'm naked. I'm naked. I'm naked"
shake that (feat. pitbull),"Shake that. We're gonna take it. From miami to australia. Shake that. That's right. Tell me what you've been drinking. I can tell what you're thinking. That I'll be yours for the weekend. Honey, I gotta do it my way so. Don't rush, don't rush. Just lay low. But be ready when I say go. If you just want one hit. I guarantee you'll miss. Because my heart and this. They go together. If all you want is fun. Then after that you're done. I'd rather wait for someone. Who loves me better. Don't talk to me. Prove to me. You won't only be. One foot in, one foot out. Gotta step up. If you wanna get down. Shake that. Shake that. One foot in, one foot out. Better man up. If you wanna get down. Shake that. Shake that. I'm all about my business. Make 'em work, make 'em work. With the quickness. Girls, can I get a witness?. Honey, I ain't sayin' I'm perfect. But I know I'm deservin'. And I'm gonna make it worth it, yeah. If you just want one hit. I guarantee you'll miss. Because my heart and this. They go together. If all you want is fun. Then after that you're done. I'd rather wait for someone. Who loves me better. Don't talk to me. Prove to me. You won't only be. One foot in, one foot out. Gotta step up. If you wanna get down. Shake that. Shake that. One foot in, one foot out. Better man up. If you wanna get down. Shake that. Shake that. (wanna get). (wanna-w-wanna get down-down). (w-wanna get down). Shake that. I wanna see you in your birthday suit. Take that. Mami, show me where your sweet. Little cake at. I wanna take a little nibble. Or maybe a full bite. And make a full night. I roll dice and gamble. Too hot to handle. Me, I'm all ears unlike vincent van gough. So tell me what you want. Tell me what you need. Tell me what you like. And I'll do it, do it right. Me, I'm 'bout my business. No, I'm not the mob. But your boy got a hit list. My life's my trial. Jehovah's my witness. Rewind it a couple of times. And maybe you'll get this. You need a man in your life. Them boys that you're playin' with. Ain't doing you right. Two times, say it twice. Need a man in your life. Them boys that you're playin' with. Ain't doing you right. Samantha jade, talk to 'em. One foot in, one foot out. Gotta step up. If you wanna get down. Shake that. Shake that. One foot in, one foot out. Better man up. If you wanna get down. Shake that. Shake that. One foot in, one foot out. Gotta step up. If you wanna get down. Shake that. Shake that. One foot in, one foot out. Better man up. If you wanna get down. Shake that. Shake that"
stronger (what doesn't kill you),"You know the bed feels warmer. Sleeping here alone. You know I dream in color. And do the things I want. You think you got the best of me. Think you had the last laugh. Bet you think that everything good is gone. Think you left me broken down. Think that I'll come running back. Baby you don't know me, cause you're dead wrong. What doesn't kill you makes you stronger. Stand a little taller. Doesn't mean I'm lonely when I'm alone. What doesn't kill you makes a fighter. Footsteps even lighter. Doesn't mean I'm over cause you're gone. What doesn't kill you makes you stronger, stronger. Just me, myself and I. What doesn't kill you makes you stronger. Stand a little taller. Doesn't mean I'm lonely when I'm alone. You heard that I was starting over with someone new. But told you I was moving on over you. You didn't think that I'd come back. I'd come back swinging. You try to break me but you see. What doesn't kill you makes you stronger. Stand a little taller. Doesn't mean I'm lonely when I'm alone. What doesn't kill you makes a fighter. Footsteps even lighter. Doesn't mean I'm over cause you're gone. What doesn't kill you makes you stronger, stronger. Just me, myself and I. What doesn't kill you makes you stronger. Stand a little taller. Doesn't mean I'm lonely when I'm alone. Thanks to you I got a new thing started. Thanks to you I'm not a broken hearted. Thanks to you I'm finally thinking bout me. You know in the end the day you left was just my beginning. In the end. What doesn't kill you makes you stronger. Stand a little taller. Doesn't mean I'm lonely when I'm alone. What doesn't kill you makes a fighter. Footsteps even lighter. Doesn't mean I'm over cause you're gone. What doesn't kill you makes you stronger, stronger. Just me, myself and I. What doesn't kill you makes you stronger. Stand a little taller. Doesn't mean I'm lonely when I'm alone. What doesn't kill you makes you stronger, stronger. Just me, myself and I. What doesn't kill you makes you stronger. Stand a little taller. Doesn't mean I'm lonely when I'm alone"
breakeven,"I'm still alive but I'm barely breathing. Just prayed to a God that I don't believe in. 'Cause I got time while she got freedom. 'Cause when a heart breaks no it don't break even. Her best days will be some of my worst. She finally met a man that's gonna put her first. While I'm wide awake she's no trouble sleeping. 'Cause when a heart breaks. No it don't break even, even no. What am I supposed to do. When the best part of me was always you. What am I suppose to say. When I'm all choked up and you're Ok. I'm falling to pieces, yeah. I'm falling to pieces. They say bad things happen for a reason. But no wise words gonna stop me bleeding. 'Cause she moved on while I'm still grieving. And when a heart breaks no it don't break even, even no. What am I gonna do. When the best part of me was always you. What am I supposed to say. When I'm all choked up and you're ok. I'm falling to pieces, yeah. I'm falling to pieces. I'm falling to pieces. (One still in love while the other one's leaving). I'm falling to pieces. ('Cause when a heart breaks no it don't break even). You got his heart and my heart and none of the pain. You took your suitcase, I took the blame. Now I'm tryna make sense of what little remains. 'Cause you left with no love. With no love to my name. I'm still alive but I'm barely breathing. Just prayed to a God that I don't believe in. 'Cause I got time while she got freedom. 'Cause when a heart breaks no it don't break. No it don't break, no it don't break even, no. What am I gonna do. When the best part of me was always you. What am I suppose to say. When I'm all choked up and you're Ok. I'm falling to pieces, yeah. I'm falling to pieces. I'm falling to pieces. (One still in love while the other one's leaving). I'm falling to pieces. ('Cause when a heart breaks no it don't break even). Oh, it don't break even, no. Oh, it don't break even, no. Oh, it don't break even, no"
can't let you go,"Yeaaaaah. What your doin' to me baby. Yeaaaahh. I can't let you go. [verse 1:]. Even though you're keepin' me frustrated, it still feels so right. I try so hard not to be jaded by everytime you lie. I try so hard to get you off my mind. You know that i'll be runnin back to you, my love is blind. [hook:]. I know it ain't right (it just ain't right). Here one more time, like theres too much to leave behind. Wanna move on, but i can't. [chorus:]. No i just can't let you go, 'cause i been lovin' you too long. Take it back to how it was baby, you know i'm goin crazy. No i can't do this no more. 'cause i just cant let you go, i keep on comin back for more. I told myself now its over, but i still love ya. I can't let you go. [verse 2:]. I know deep down we'll never make it, no matter how hard i try. But you convince me i'm mistaken. When you go and do the things you used to do that made me fall for you. And then you turn around & say somethin that pulls me right (baby this aint right). [hook:]. I know it ain't right (it just ain't right). Here one more time, like theres too much to leave behind. Wanna move on, but i can't. [chorus:]. No i just can't let you go, 'cause i been lovin' you too long. Take it back to how it was baby, you know i'm goin crazy. No i can't do this no more. 'cause i just cant let you go, i keep on comin back for more. I told myself now its over, but i still love ya. I can't let you go. [bridge:]. I know i'm a fool, to think that i need you in my life. I should know better but when im with youi forget about the past. And all the fights we had don't matter babe. I know i'm just playin' myself, but i don't care. [young knock$:]. I don't wanna let you go neither. To tell you the truth mami, i need ya. Anything to please ya- body of a diva,. She hotter than a fever,. Try to cool her down ice rocks on her finger. When i get up set or frustrated she sing to me. Gettin paid gotta cook and clean for me. Tryed to leave a few times, but she came back. Can't let you go, i'm not ashamed to say that. [chorus: x2]. No i just can't let you go, 'cause i been lovin' you too long. Take it back to how it was baby, you know i'm goin crazy. No i can't do this no more. 'cause i just cant let you go, i keep on comin back for more. I told myself now its over, but i still love ya. I can't let you go. by:Jéssica Ortega"
firestarter,"You could be my match stick, light me up!. If you love me in the way that I wanted, play the part!. Hmm, come and let me down, down, down, down. Only take a minute, starting my ignition. It's gonna burn when you're touching me. when you're touching me!. Hook. We, we're dying for the speed of light. Go on and take me higher. You could be my firestarter!. We, we're dying for the speed of light. Go on and take me higher. You could be my firestarter, oh!. Come on the red light, don't just stop. Cause I loved the way you played it honest. to get in the dark, yeah, yeah. Come and let me down, down, down, down. Only take a minute, starting my ignition, yeah!. It's gonna burn when you're touching me. when you're touching me!. Hook. We, we're dying for the speed of light. Go on and take me higher. You could be my firestarter!. We, we're dying for the speed of light. Go on and take me higher. You could be my firestarter, oh!. There you are like a flame thrown to my heart. yeah, yeah. Got the things that I need to make it start, oh, oh!. You're the flame thrower. You're the firestarter!. You're the flame thrower. You're the firestarter!. You're the flame thrower. You're the firestarter!. Hook. We, we're dying for the speed of light. Go on and take me higher. You could be my firestarter!. We, we're dying for the speed of light. Go on and take me higher. You could be my firestarter, oh!"
