bad,"Your butt is mine. Gonna tell you right. Just show your face. In broad daylight. I'm telling you. On how I feel. Gonna hurt your mind. Don't shoot to kill. Come on.. Come on.. Lay it on me. All right.... I'm giving you. On count of three. To show your stuff. Or let it be.... I'm telling you. Just watch your mouth. I know your game. What you're about. Well they say the sky's the limit. And to me that's really true. But my friend you have seen nothin'. Just wait 'til I get through.... Because I'm bad, I'm bad.. Come on.. (Bad bad-really, really bad). You know I'm bad, I'm bad.. You know it.. (Bad bad-really, really bad). You know I'm bad, I'm bad.. Come on, you know.. (Bad bad-really, really bad). And the whole world has to answer right now. Just to tell you once again,. Who's bad.... The word is out. You're doin' wrong. Gonna lock you up. Before too long,. Your lyin' eyes. Gonna tell you right. So listen up. Don't make a fight,. Your talk is cheap. You're not a man. You're throwin' stones. To hide your hands. But they say the sky's the limit. And to me that's really true. And my friends you have seen nothin'. Just wait 'til I get through.... Because I'm bad, I'm bad.. Come on.. (Bad bad-really, really bad). You know I'm bad, I'm bad.. You know it.. (Bad bad-really, really bad). You know I'm bad, I'm bad.. You know it, you know.. (Bad bad-really, really bad). And the whole world has to answer right now. (And the whole world has to answer right now). Just to tell you once again,. (Just to tell you once again,). Who's bad.... We can change the world tomorrow. This could be a better place. If you don't like what I'm sayin'. Then won't slap my face.... Because I'm bad, I'm bad.. Come on.. (Bad bad-really, really bad). You know I'm bad, I'm bad.. You know it.. (Bad bad-really, really bad). You know I'm bad, I'm bad.. You know it, you know.. (Bad bad-really, really bad). Woo! Woo! Woo!. (And the whole world has to answer right now. Just to tell you once again). You know I'm bad, I'm bad.. Come on.. (Bad bad-really, really bad). You know I'm bad, I'm bad.. You know it - you know it.. (Bad bad-really, really bad). You know, you know, you know, you know, come on. (Bad bad-really, really bad). And the whole world has to answer right now. (And the whole world has to answer right now). Just to tell you once again,. (Just to tell you once again,). You know I'm smooth, I'm bad.. You know it.. (Bad bad-really, really bad). You know I'm bad, I'm bad baby.. (Bad bad-really, really bad). You know, you know, you know it, come on. (Bad bad-really, really bad). And the whole world has to answer right now. (And the whole world has to answer right now). Woo!. (Just to tell you once again,). You know I'm bad, I'm bad.. You know it.. (Bad bad-really, really bad). You know I'm bad, you know hoo!. (Bad bad-really, really bad). You know I'm bad, I'm bad you know it, you know. (Bad bad-really, really bad). And the whole world has to answer right now. (And the whole world has to answer right now). Just to tell you once again,. (Just to tell you once again,). Who's bad?"
ben,"Ben, the two of us need to look no more. We both found what we were looking for. With a friend to call my own. I'll never be alone. And you, my friend will see. You've got a friend in me. (You've got a friend in me). Ben, you're always running here and there. (Here and there). You feel you're not wanted anywhere (anywhere). If you ever look behind. And don't like what you find. There's something you should know. You've got a place to go. (You've got a place to go). I used to say ""I"" and ""me"". Now it's ""us"", now it's ""we"". (I used to say ""I"" and ""me"". Now it's ""us"", now it's ""we""). Ben, most people would turn you away. (Turn you away). I don't listen to a word they say. (A word they say). They don't see you as I do. I wish they would try to. I'm sure they'd think again. If they had a friend like Ben. (A friend). Like Ben. (Like Ben). Like Ben"
black horse and the cherry tree,"Well, my heart knows me better than I know myself. So I'm gonna let it do all the talking. I came across a place in the middle of nowhere. With a big black horse and a cherry tree.. I felt a little fear upon my back. I said don't look back, just keep on walking.. When the big black horse said ""look this way, hey lady, Will you marry me?"". But I said no, no, no,no-no-no. I said no, no, you're not the one for me. No, no, no,no-no-no. I said no, no, you're not the one for me. And my heart had a problem, in the early hours,. So it stopped it dead for a beat or two.. But I cut some cord, and I shouldn't have done that,. and it won't forgive me after all these years. So I sent her to a place in the middle of nowhere. With a big black horse and a cherry tree.. Now it won't come back, cause it's oh so happy. And now I've got a hole for the world to see. But it said no, no, no,no-no-no. I said no, no, you're not the one for me. No, no, no,no-no-no. Said no, no, you're not the one for me. (Not the one for me, yeah). Said no,no, no,no, no, no, no,no. You're not the one for me. Said no,no, no,no, no, no, no,no. You're not the one for me. Well, it was a big black horse and a cherry tree. I can't quite get there cause my heart forsaken me. Big black horse and a cherry tree. I can't quite get there cause my heart forsaken me"
idaho (part. nerina pallot),"In the back of a car on a road in the dark. In the stillicide, silently falling snow,. I've packed everything that I own in a bag,. And I'm driving, I'm driving to Idaho. A poem for leaving, a reason to go,. So I'm driving, I'm driving to Idaho. 'Cause I can't be anyone but me, anyone but me. And I can't keep dreaming that I'm free, dreaming that I'm free,. I don't want to fall asleep and watch my life from fifty feet,. My hands are on the wheel so I'm driving to Idaho,. 'Cause I hear it's mighty pretty.... And oh, I've been dumb, I've been perfectly beautiful,. Lain on my back buying lovers with stealth,. But I'm sick of you all, and I'm sick of opinions. And I'm sick of this war I wage on myself. And I don't know why I'm so gripped to go there. A universe riddle that only I know?. Mr. Robert he says, ""It's all in the head!"". Tell me, Phaedrus, what's good, is it Idaho?. 'Cause I can't be anyone but me, anyone but me,. And I can't keep dreaming that I'm free, dreaming that I'm free,. I don't want to fall asleep and watch my life from fifty feet,. My hands are on the wheel so I'm driving to Idaho,. 'Cause I hear it's mighty pretty.... 'Cause I hear it's mighty pretty.... 'Cause I can't be anyone but me, anyone but me,. And I can't keep dreaming that I'm free, dreaming that I'm free,. I don't want to fall asleep and watch my life from fifty feet,. My hands are on the wheel so I'm driving to Idaho,. I don't want to fall asleep and watch my life from fifty feet,. My hands are on the wheel so I'm driving to Idaho,. 'Cause I hear it's mighty pretty.... In Idaho."
love never fails,(Chorus). There will be those times we fight back tears. And there will be those times when we get scared. As long as we're together we'll get there. Cause love never fails... Love never fails. I have all that I need. So much so I feel weak. Cause the love that we have is never ending. All the moments we make. Are too precious to waste. In a world that is forever changing. I wouldn't change you for anything. I will be forever loving you. (Chorus). Asleep or awake. No there's never a day. That goes by when I don't think about you. Only you touched my life. For the very first time. I'd be lost surely without you. (Chorus). There's no greater gift. Than love that you breathe. Forever hold me. Many rivers to cross. But our love will guide us. It's all we need. (Chorus). There will be those times that test our faith. On some of the roads that we have to take. But I know that we'll always find our way. Cause love never fails Love never fails
my life,"Can you tell me why. You ran away with no goodbye. Love is dead inside. But we'll revive. If you come back. If you see my life. Then you'll know that I. Can't go on alone. In this life I'm living, anymore. If you see my life. Then you'll know that I. Just can't live without you. Oh sweet love. You. Can be so far. But I came here. To hang around. And I. Start to cry. Please come to me. For all my life. If you see my life. You will know that I. Can't go on alone. In this life I'm living, anymore. If you see my life. Then you'll know that I. Just can't live without you. Sweet love. If you see my life. Then you'll know that I. Can't go on alone. In this life I'm living, anymore. If you see my life. Then you'll know that I. Just can't live without you. Oh sweet love"
put your records on,"Three little birds, sat on my window.. And they told me I don't need to worry.. Summer came like cinnamon. So sweet,. Little girls double-dutch on the concrete.. Maybe sometimes, we got it wrong, but it's alright. The more things seem to change, the more they stay. the same. Oh, don't you hesitate.. Girl, put your records on, tell me your favorite song. You go ahead, let your hair down. Sapphire and faded jeans, I hope you get your dreams,. Just go ahead, let your hair down.. You're gonna find yourself somewhere, somehow.. Blue as the sky, sunburnt and lonely,. Sipping tea in the bar by the road side,. (just relax, just relax). Don't you let those other boys fool you,. Gotta love that afro hairdo.. Maybe sometimes, we feel afraid, but it's alright. The more you stay the same, the more they seem to change.. Don't you think it's strange?. Girl, put your records on, tell me your favorite song. You go ahead, let your hair down. Sapphire and faded jeans, I hope you get your dreams,. Just go ahead, let your hair down.. You're gonna find yourself somewhere, somehow.. 'Twas more than I could take, pity for pity's sake. Some nights kept me awake, I thought that I was stronger. When you gonna realize, that you don't even have to try any longer.. Do what you want to.. Girl, put your records on, tell me your favorite song. You go ahead, let your hair down. Sapphire and faded jeans, I hope you get your dreams,. Just go ahead, let your hair down.. Girl, put your records on, tell me your favorite song. You go ahead, let your hair down. Sapphire and faded jeans, I hope you get your dreams,. Just go ahead, let your hair down.. Oh, You're gonna find yourself somewhere, somehow."
scandal,"Express yourself. Explore your sins. Scandal. You don't need. You don't have to. You must not do it right. Mess it up. Mess it all up. Do what you feel like. And feel the lust of the lost song. Feel the lust of the lost song. Free yourself from all shame. Get yourself back on the game. Let it out. Let it all out. Throw your fears away. Feel the lust. Loosen up your tie. Loosen up your tongue. Loosen up your mind. Loosen up your soul. Feel the lust of the lost song. Feel the lust of the lost song. Scandal. Do it odd. Do it wrong. Do it all night long. Just remember to search. For the lust of the lost song (lost song). Of the lost song. Free yourself from all shame. Get yourself back on the game. Let it out. Let it all out. Throw your fears away. (away, away)"
stop this train,"No, I'm not color blind. I know the world is black and white. I try to keep an open mind. But I just can't sleep on this, tonight. Stop this train. I want to get off and go home again. I can't take the speed it's moving in. I know I can't. But, honestly, won't someone stop this train?. Don't know how else to say it. I don't want to see my parents go. One generation's length away. From fighting life out on my own. Stop this train. I want to get off and go home again. I can't take the speed it's moving in. I know I can't. But, honestly, won't someone stop this train?. So scared of getting older. I'm only good at being young. So I play the numbers game. To find a way to say that life has just begun. Had a talk with my old man. Said, help me understand. He said, turn sixty-eight. You'll renegotiate. Don't stop this train. Don't for a minute change the place you're in. And don't think I couldn't ever understand. I tried my hand. John, honestly, we'll never stop this train. Once in a while, when it's good. It'll feel like it should. When you're all still around. And you're still safe and sound. And you don't miss a thing. 'Till you cry when you're driving away in the dark. Singing, stop this train. I want to get off and go home again. I can't take the speed it's moving in. I know, I can't. 'Cause now I see I'll never stop this train"
the look of love,The look of love. Is in your eyes. The look your smile can't disguise. The look of love. Is saying so much more. Than just words could ever say. And what my heart has heard. Well it takes my breath away. I can hardly wait to hold you. Feel my arms around you. How long I have waited. Waited just to love you. Now that I have found you. You've got the look of love. It's on your face. A look that time can't erase. Be mine tonight. Let this be just the start. Of so many nights like this. Let's take a lover's vow. And then seal it with a kiss. I can hardly wait to hold you. Feel my arms around you. How long I have waited. Waited just to love you. Now that I have found you. Don't ever go. Don't ever go. I love you so. I can hardly wait to hold you. Feel my arms around you. How long I have waited. Waited just to love you. Now that I have found you. Don't ever go. Don't ever go. Don't ever go
