unlock the door,"There’s a long line waiting for me. I’m sure I’ll find an easy path to see. I’m gonna run, shout and scream. ‘Cuz I am waiting for my dream. And I am waiting in this Hollywood scene, oh!. Chorus:. I’m gonna unlock the door. I’m gonna scream some more. I’m gonna make the night last forever. Nothing’s gonna stop me at this point of time. I’m gonna sing some more ‘til my lungs are sore. I’m gonna make this final, this dream is just a touch away. You can’t deny it nothin’s gonna stop me now. It’s not gonna be a dream…anymore. I promised myself that this would come true. I think I see a light comin’ through. I have some advice, I have some clues. Watch out I’m comin’ through. I am waiting in this Hollywood scene, oh!. Chorus:. I’m gonna unlock the door. I’m gonna scream some more. I’m gonna make the night last forever. Nothing’s gonna stop me at this point of time. I’m gonna sing some more ‘til my lungs are sore. I’m gonna make this final, this dream is just a touch away. You can’t deny it nothin’s gonna stop me now. It’s not gonna be a dream. Bridge:. There’s no ifs, buts, or anywhos. Please make my dreams come true. Chorus:. I’m gonna unlock the door. I’m gonna scream some more. I’m gonna make the night last forever. Nothing’s gonna stop me at this point of time. I’m gonna sing some more ‘til my lungs are sore. I’m gonna make this final, this dream is just a touch away. You can’t deny it nothin’s gonna stop me now. It’s not gonna be a dream"
a greater treasure than a friend,"So far away. How did I lose my way. Even though we're worlds apart, you were always in my heart everyday.. You can travel far and wide. Fly across the blue moon in the sky. Sail through the clouds to places you have never been. You could wish a thousand times. Find the gold that pirates left behind. But you'll never find a greater treasure than a friend. Let's not pretend. That pixie dust could end. Every single tear that falls. Any problem big or small. You can mend. You can soar to Neverland. Fly right through the water fall and dance. See the colors change before your eyes. And let them live. Float above the mountain top. Watch the fireflies light up the night. There is one everywhere you turn. So please believe in me. Cause I believe in you. You're the magic in my life. That has stones that sparkles bright. Through and through. Travel far and wide. Fly across the blue moon in the sky. Sail through the clouds to places you have never been. You could wish a thousand times. Find the gold that pirates left behind. But you'll never find a greater treasure than a friend. Don't want the pain of losing you, again. I can tell you in the end. You won't find. A Greater Treasure Than A Friend...."
fighting for my life,"You stole my words and twisted them to yours 'till there was. Nothing left to say. You were the chill, in the air whenever I turned. Turned away. Honestly, you had to know how much it was killing me. I had no choice, I just had to leave. You tried to lock the door with me forever. But I broke my own way out. You tried to build a wall to tell me never, but I was never backing down. Oh you tried to take my wings I, I just kept on flying. Fighting, fighting, fighting for my life!. Did your best to twist the lie and hold me under till I couldnt see. Tried your hardest to take and break the voice that I have deep inside of me. I cant pretend I didnt learn the hard way but never again. You had your chance but it just had to end. You tried to lock the door with me forever. But I broke my own way out. You tried to build a wall to tell me never, but I was never backing down. Oh you tried to take my wings I, I just kept on flying. Fighting, fighting, fighting for my life!. No you wont take me crying. No more tears falling on the floor. All the pain that Ive survived. Made me stronger than ever beforeeeeee, yeah. You tried to lock the door with me forever. But I broke my own way out. You tried to build a wall to tell me never, but I was never backing down. Oh you tried to take my wings I, I just kept on flying. Fighting, fighting, fighting for my life!. You tried to lock the door with me forever. But I broke my own way out. You tried to build a wall to tell me never, but I was never backing down. Oh you tried to take my wings I, I just kept on flying. Fighting, fighting, fighting for my life!"
closure (aly&aj),"Yesterday I spotted you. Hanging out with someone new. Come on dude, I can't believe who. Did it hurt? Oh yes it hurt. But not as much as I thought it would. Guess it's time for me to move on. I'm getting closer (closer, close). Closer to closure (closer to closure). Everyday's closer (closer, close). Closer to closure (closer to closure). I finally took your pictures down. And all that other stuff I found. Hidden somewhere in my closet. I used to wear your shirt to bed. But now it's in the trash instead. I don't want to be reminded. No, no.. I'm getting closer (closer, close). Closer to closure (closer to closure). Everyday's closer (closer, close). Closer to closure (closer to closure). I saw you today taking my breath away. But then you opened your mouth without thinking. And then I recalled why I ended it all. And it makes me feel good about leaving (leaving). Mmm.... Everyday everyday everyday. Everyday everyday everyday everyday. I'm getting closer. I'm getting closer (closer, close). Closer to closure (closer to closure). Everyday's closer (closer, close). Closer to closure (closer to closure)"
no place like here,"I'm feeling the possibility. That my love keep on changing. I'm putting on a back into my dreamt.. And if I believe that I can shine. Like a star up smiling. All across the sky. Gonna shine for you and I. There's a place so we'll can laugh and be free. And I'm strong when you are there. And you laugh with me. We'll never up to go too far. 'cause it's near. That love we're looking for is inside. And there's not place like here. I'm thinking that day will be the day. When it all comes together. There in your heart you found the truth. Don't be afraid to make a wish. And believe in the power. 'cause every part of you. Is just waiting to come true. There's a place so we'll can laugh and be free. And I'm strong when you are there. And you laugh with me. We'll never up to go too far. 'cause it's near. That love we're looking for is inside. And there's not place like here. There's a place so we'll can laugh and be free. And I'm strong when you are there. And you laugh with me. We'll never up to go too far (too far). 'cause it's near. That love we're looking for is inside. And there's not place like here. That love we're looking for is inside (Just keep dreaming,Just keep dreaming). That love we're looking for is inside. And there's not place. That love we're looking for is inside. That love we're looking for is inside. And there's not place like here!"
easy,"We broke up. Yeah it's tough. Most guys would've been crushed. Wasting their time. Wondering where they went wrong. No way, not me. Hey I'm doing just fine. I'm not afraid of moving on. It's easy. Going out on friday nights. It's easy every time I see her out. I can smile, live it up. The way a single guy does. What she, what she don't know. Is how hard it is to make it look so easy. The truth is. I miss lying in those arms of his. But I don't ever let it show. I laugh and I act. Like I'm having the time of my life. As far as he knows. It's easy. Going out on friday nights. It's easy every time I see him out. I can smile, live it up. The way a single girl does. What he, what he don't know. Is how hard it is to make it look so easy. Oh it's easy. Going out on friday nights. Oh it's easy. Every time I see him out. I can smile, live it up. Forget about the way it was. But what she,. Oh what he don't know. What she don't know. Is how hard it is to make it look so easy. Oh oh oh.... Look so easy. So easy. Yeah-ooo"
boys,Should I walk by again. Can't take the chance that you're leaving. Know it's been a minute since. I got that heart stopping feeling. Yeah my world is moving slow. I'm so happy you're the reason. And I want you to know…. Why get super wasted is a waste of time. Wanted to turn around and call you mine. I don't need a name. ‘cause I know it's right. I know it's right. I know it's right. These boys boys boys boys. Taking over those moving by. Boys boys boys boys. Don't want to live without them. So I try Can't get enough. You got to love boys boys boys. I'm not sorry if I stare. Come and get a little closer. If you don't. I'm coming over there. Not trying to be forward. What I want is what I see. I know I'm not wrong about ya. I need all what I need need. They don't make guys like you anymore. Got me feeling weak falling on the floor. Baby its time come and give me more. Give me more give me more. These boys boys boys boys. Taking over those moving by. Boys boys boys boys. Don't want to live without them. So I try Can't get enough. You got to love boys boys boys. They don't make guys like you anymore anymore. Got me feeling weak falling on the floor. Give me more give me more. Boys yeah. Making all the girls lose their minds. Boys boys boys boys. Don't want to live without them. So I try Can't get enough. You got to love boys boys boys. Can't get enough. You got to love boys boys boys
a greater treasure than a friend,"So far away. How did I lose my way. Even though we're worlds apart, you were always in my heart everyday.. You can travel far and wide. Fly across the blue moon in the sky. Sail through the clouds to places you have never been. You could wish a thousand times. Find the gold that pirates left behind. But you'll never find a greater treasure than a friend. Let's not pretend. That pixie dust could end. Every single tear that falls. Any problem big or small. You can mend. You can soar to Neverland. Fly right through the water fall and dance. See the colors change before your eyes. And let them live. Float above the mountain top. Watch the fireflies light up the night. There is one everywhere you turn. So please believe in me. Cause I believe in you. You're the magic in my life. That has stones that sparkles bright. Through and through. Travel far and wide. Fly across the blue moon in the sky. Sail through the clouds to places you have never been. You could wish a thousand times. Find the gold that pirates left behind. But you'll never find a greater treasure than a friend. Don't want the pain of losing you, again. I can tell you in the end. You won't find. A Greater Treasure Than A Friend...."
"baby, it's cold outside","I really can't stay - but baby it's cold outside. I've got to go away - but baby it's cold outside. This evening has been - been hoping that you'd drop in. So very nice - I'll hold your hands, they're just like ice. My mother will start to worry - beautiful, what's your hurry. My father will be pacing the floor - just listen to the fireplace roar. So really I'd better scurry - beautiful, please don't hurry. But maybe just a half a drink more -. put some records on while I pour. The neighbors might think - baby, it's bad out there. Say, what's in this drink - no cabs to be had out there. I wish I knew how - your eyes are like starlight now. To break this spell - I'll take your hat, your hair looks swell. I ought to say no, no, no, sir - mind if I move in closer. At least I'm gonna say that I tried -. what's the sense in hurting my pride. I really can't stay - baby don't hold out. Ohh, but it's cold outside. I simply must go - but baby, it's cold outside. The answer is no - but baby, it's cold outside. This welcome has been - how lucky that you dropped in. So nice and warm - look out the window at that storm. My sister will be suspicious - gosh, your lips look delicious. My brother will be there at the door - waves upon a tropical shore. My maiden aunt's mind is vicious - oh your lips are delicious. But maybe just cigarretes more - never such a blizzard before. I've got to get home - but baby you'll freeze out there. Say, lend me a coat - it's up to your knees out there. You've really been grand - I thrill when you touch my hand. But don't you see - how can you do this thing to me. There's bound to be talk tomorrow - think my lifelong sorrow. At least there will be plenty implied - if you got pneumonia and died. I really can't stay - get over that old out. Ohh, baby it's cold outside"
be original,"Here we go, yeah, here we go, go again. Nothing's changed, it's the same game, different day. You're just a boy, just a boy, just another boy. You're playin' innocent, but I ain't byin it. No (oh no) oh no (oh no) OH NOOOO! (oh nooo). You dream of ways to get inside my head,. You're tryin' hard but you better try harder. I am not so easily impressed. You think you're smart but I guarantee I'm smarter. So don't make a sound, like you own me around,. You gotta keep both feet on the ground. If you really want me, I dare you. to be original. So there you go yeah, there you go, go again. Don't you know, but you just won't go away. I'm just a girl, just a girl, just another girl. I may be innocent, but I ain't byin it. No (oh no) oh no (oh no) OH NOOOO! (oh nooo). You dream of ways to get inside my head,. You're tryin' hard but you better try harder. I am not so easily impressed. You think you're smart but I guarantee I'm smarter. So don't make a sound, like you own me around,. You gotta keep both feet on the ground. If you really want me, I dare you. to be original. I dare you, I dare you, I dare you to get over me. I dare you, I dare you, I dare you to get over me. Today, dreamer, dreamer. You dream of ways to get inside my head,. I am not so easily impressed. You dream of ways to get inside my head,. You're tryin' hard but you better try harder. I am not so easily impressed. You think you're smart but I guarantee I'm smarter. So don't make a sound, like you own me around,. You gotta keep both feet on the ground. If you really want me, I dare you. If you really want me, I dare you. If you really want me, I dare you. to be original"
boys,Should I walk by again. Can't take the chance that you're leaving. Know it's been a minute since. I got that heart stopping feeling. Yeah my world is moving slow. I'm so happy you're the reason. And I want you to know…. Why get super wasted is a waste of time. Wanted to turn around and call you mine. I don't need a name. ‘cause I know it's right. I know it's right. I know it's right. These boys boys boys boys. Taking over those moving by. Boys boys boys boys. Don't want to live without them. So I try Can't get enough. You got to love boys boys boys. I'm not sorry if I stare. Come and get a little closer. If you don't. I'm coming over there. Not trying to be forward. What I want is what I see. I know I'm not wrong about ya. I need all what I need need. They don't make guys like you anymore. Got me feeling weak falling on the floor. Baby its time come and give me more. Give me more give me more. These boys boys boys boys. Taking over those moving by. Boys boys boys boys. Don't want to live without them. So I try Can't get enough. You got to love boys boys boys. They don't make guys like you anymore anymore. Got me feeling weak falling on the floor. Give me more give me more. Boys yeah. Making all the girls lose their minds. Boys boys boys boys. Don't want to live without them. So I try Can't get enough. You got to love boys boys boys. Can't get enough. You got to love boys boys boys
closure (aly&aj),"Yesterday I spotted you. Hanging out with someone new. Come on dude, I can't believe who. Did it hurt? Oh yes it hurt. But not as much as I thought it would. Guess it's time for me to move on. I'm getting closer (closer, close). Closer to closure (closer to closure). Everyday's closer (closer, close). Closer to closure (closer to closure). I finally took your pictures down. And all that other stuff I found. Hidden somewhere in my closet. I used to wear your shirt to bed. But now it's in the trash instead. I don't want to be reminded. No, no.. I'm getting closer (closer, close). Closer to closure (closer to closure). Everyday's closer (closer, close). Closer to closure (closer to closure). I saw you today taking my breath away. But then you opened your mouth without thinking. And then I recalled why I ended it all. And it makes me feel good about leaving (leaving). Mmm.... Everyday everyday everyday. Everyday everyday everyday everyday. I'm getting closer. I'm getting closer (closer, close). Closer to closure (closer to closure). Everyday's closer (closer, close). Closer to closure (closer to closure)"
easy,"We broke up. Yeah it's tough. Most guys would've been crushed. Wasting their time. Wondering where they went wrong. No way, not me. Hey I'm doing just fine. I'm not afraid of moving on. It's easy. Going out on friday nights. It's easy every time I see her out. I can smile, live it up. The way a single guy does. What she, what she don't know. Is how hard it is to make it look so easy. The truth is. I miss lying in those arms of his. But I don't ever let it show. I laugh and I act. Like I'm having the time of my life. As far as he knows. It's easy. Going out on friday nights. It's easy every time I see him out. I can smile, live it up. The way a single girl does. What he, what he don't know. Is how hard it is to make it look so easy. Oh it's easy. Going out on friday nights. Oh it's easy. Every time I see him out. I can smile, live it up. Forget about the way it was. But what she,. Oh what he don't know. What she don't know. Is how hard it is to make it look so easy. Oh oh oh.... Look so easy. So easy. Yeah-ooo"
fighting for my life,"You stole my words and twisted them to yours 'till there was. Nothing left to say. You were the chill, in the air whenever I turned. Turned away. Honestly, you had to know how much it was killing me. I had no choice, I just had to leave. You tried to lock the door with me forever. But I broke my own way out. You tried to build a wall to tell me never, but I was never backing down. Oh you tried to take my wings I, I just kept on flying. Fighting, fighting, fighting for my life!. Did your best to twist the lie and hold me under till I couldnt see. Tried your hardest to take and break the voice that I have deep inside of me. I cant pretend I didnt learn the hard way but never again. You had your chance but it just had to end. You tried to lock the door with me forever. But I broke my own way out. You tried to build a wall to tell me never, but I was never backing down. Oh you tried to take my wings I, I just kept on flying. Fighting, fighting, fighting for my life!. No you wont take me crying. No more tears falling on the floor. All the pain that Ive survived. Made me stronger than ever beforeeeeee, yeah. You tried to lock the door with me forever. But I broke my own way out. You tried to build a wall to tell me never, but I was never backing down. Oh you tried to take my wings I, I just kept on flying. Fighting, fighting, fighting for my life!. You tried to lock the door with me forever. But I broke my own way out. You tried to build a wall to tell me never, but I was never backing down. Oh you tried to take my wings I, I just kept on flying. Fighting, fighting, fighting for my life!"
fly home to you,"Time is moving much to slowly. The days keep coming and I keep going. The road behind me is slowly winding. Back to you, back to you. Another day another city another terminal. Just two more months I'm still on the road. The fans when cheering keep me going strong. But when I look out there I wish I'd see you. Don't wanna wait another day. To see your face. Can't wait to fly home to you. The picture of my life seems perfect. Nothings perfect but it's still worth it. At night I write in my notepad or diary. And I think of you, how I'm missing you. Another day another city another terminal. Just two more months I'm still on the road. The fans when cheering keep me going strong. But when I look out there I wish I'd see you. Don't wanna wait another day. To see your face. Can't wait to fly home to you. It's a perfect scenario cept' it's missin you. Can't wait till I hold you close, wanna feel you close. I'm missin you. Another day another city another terminal. Just two more months I'm still on the road. The fans when cheering keep me going strong. But when I look out there I wish I'd see you. Don't wanna wait another day. To see your face. Can't wait to fly home to you"
goodbyes,"Walkin' pass you through the hall. Stoppin' by to give you a call. We've been through it all. Talkin' to you sayin' our goodbyes. Can't believe that we are leavin'. This is the end for us all (yeah, ooh). [chorus]. And how do we say our goodbyes?. Do we laugh or cry?. And why does this have to be so hard? (yeah, whoa, ooh). And how do we say our goodbyes?. Do we laugh or cry?. And do i just say goodbye?. Should i laugh or cry?. (Lalalalala. lalalalala). Everything is just desappearing. I can tell that. I really got to say goodbye. 'Best friends forever'. That's what we used to say. Now everything is flying away. [chorus]. And how do we say our goodbyes?. Do we laugh or cry?. And why does this have to be so hard? (why does it have to be). And how do we say our goodbyes?. Do we laugh or cry?. And do i just say goodbye?. I just wish everything was the same. Now our memories are blowing away (yeaah). [chorus]. And how do we say our goodbyes?. Do we laugh or cry?. And why does this have to be so hard?. And how do we say our goodbyes?. Do we laugh or cry?. And do i just say goodbye?. Should I laugh or cry?"
he's just so,I can't believe he exists. Oh I just love to say his name even though. He's a world away. If I had the chance I wonder what I would say. I want him to know. That I could go on and on and on and on. Cause he's just. Not another ordinary boy. And he's not. Any word I've ever said before. He's like. Every fairytale that I've been told. He's just soo. He's just soOoOoOoOoOo. He's just soOoOoOoO. Wonderful would be nice. Amazing would just be something to say. I try to describe. the way he makes me feel. It's hard to disguise the way I go on and on. and on and on 'cause. He's just. Not another ordinary boy. And he's not. Any word I've ever said before. He's like every fairytale that I've been told. He's just soo. He's just. Look at my smile. Look at my face. He's just. Just look in my eyes. Just look in my eyes. He's just. Not another ordinary boy. And he's not. Any word I've ever said before. And he's like every fairytale that I've been told. He's just soo. He's just soOoOoOoOoOo. He's just SoOoOoOoOoOo. He's just
