beautiful girls,"JR! Sean Kingston!. Chorus:. You're way too beautiful girl. That's why it'll never work. You'll have me suicidal, suicidal. When you say it's over. Damn all these beautiful girls. They only wanna do your dirt. They'll have you suicidal, suicidal. When they say it's over. Verse 1:. See it started at the park. Used to chill at the dark. Oh when you took my heart. That's when we fell apart. Coz we both thought. That love lasts forever (lasts forever). They say we're too young. To get ourselves sprung. Oh we didn't care. We made it very clear. And they also said. That we couldn't last together (last together). See it's very define, girl. One of a kind. But you mush up my mind. You walk to get declined. Oh Lord.... My baby is driving me crazy. (Chorus). You're way too beautiful girl. That's why it'll never work. You'll have me suicidal, suicidal. When you say it's over. Damn all these beautiful girls. They only wanna do your dirt. They'll have you suicidal, suicidal. When they say it's over. Verse 2:. It was back in '99. Watchin' movies all the time. Oh when I went away. For doin' my first crime. And I never thought. That we was gonna see each other (see each other). And then I came out. Mami moved me down South. Oh I'm with my girl. Who I thought was my world. It came out to be. That she wasn't the girl for me (girl for me). See it's very define, girl. One of a kind. But you mush up my mind. You walk to get declined. Oh Lord.... My baby is driving me crazy. (Chorus). You're way too beautiful girl. That's why it'll never work. You'll have me suicidal, suicidal. When you say it's over. Damn all these beautiful girls. They only wanna do your dirt. They'll have you suicidal, suicidal. When they say it's over. Verse 3:. Now we're fussin'. And now we're fightin'. Please tell me why. I'm feelin' slightin'. And I don't know. How to make it better (make it better). You're datin' other guys. You're tellin' me lies. Oh I can't believe. What I'm seein' with my eyes. I'm losin' my mind. And I don't think it's clever (think it's clever). You're way too beautiful girl. That's why it'll never work. You'll have me suicidal, suicidal. When you say it's over"
eenie meenie (feat. justin bieber),"(Sean K). Eenie meenie miney mo. Catch a bad chick by her toe. If she holla' (if, if, if she holla) let her go. She's indecisive. She can't decide. She keeps on lookin'. From left to right. Girl, c'mon get closer. Look in my eyes. Searchin' is so wrong. I'm Mr. Right. You seem like the type. To love 'em and leave 'em. And disappear right after this song.. So give me the night. To show you, hold you. Don't leave me out here dancin' alone. You can't make up your mind, mind, mind, mind, mind. Please don't waste my time, time, time, time, time. I'm not tryin' to rewind, wind, wind, wind, wind. I wish our hearts could come together as one. Cause shorty is a eenie meenie miney mo lova'. Shawty is a eenie meenie miney mo lova'. Shawty is a eenie meenie miney mo lova'. Shawty is a eenie meenie miney mo lova'. (Justin B). Let me show you what your missin'. Paradise. With me you're winning girl. You don't have to roll the dice. Tell me what you're really here for. Them other guys?. I can see right through ya'. You seem like the type. To love em' and leave 'em. And disappear right after the song.. So give me the night. To show you, hold you. Don't leave me out here dancin' alone. Can't make up your mind. Please don't waste my time. Not tryin' to rewind. I wish our hearts could come together as one. Cause shorty is a eenie meenie miney mo lova'. Shawty is a eenie meenie miney mo lova'. Shawty is a eenie meenie miney mo lova'. Shawty is a eenie meenie miney mo lova'. (Sean K). Eenie meenie miney moe. Catch a bad chick by her toe. If she holla' (if, if, if she holla) let her go. Eenie meenie miney moe. Catch a bad chick by her toe. If she holla' (if, if, if she holla) let her go. Shawty is a eenie meenie miney mo lova'. Shawty is a eenie meenie miney mo lova'. Shawty is a eenie meenie miney mo lova'. Shawty is a eenie meenie miney mo lova'. Can't make up your mind. Please don't waste my time. Not tryin' to rewind. I wish our hearts could come together as one. (repeat)"
"beat it (feat. chris brown, wiz khalifa)","He ain't fly, no. He don't even drive, no. That's why you're calling my phone. And won't leave me alone. He ain't even fly, though. You ain't gotta lie, no. That's why you're calling my phone. And you're wanting me to get, get, get it. Beat, beat, beat it. Beat, beat, beat it. You want me to beat, beat, beat it. Beat, beat, beat it. Beat, beat, beat it. Not a problem baby. Beat, beat, beat it. Beat, beat, beat it. You want me to beat, beat. Beat, beat, beat it. Beat, beat, beat it. Beat, beat. I've been out here looking for a girl like you. So already settle down and loyal to your dude. You got your eyes on me and girl. He got his eyes on you. My eyes are on this money. And it's nothing he can do. He ain't fly, no. He don't even drive, no. That's why you're calling my phone. And won't leave me alone. He ain't even fly, though. You ain't gotta lie, no. That's why you're calling my phone. And you're wanting me to get, get, get it. Beat, beat, beat it. Beat, beat, beat it. You want me to beat, beat, beat it. Beat, beat, beat it. Beat, beat, beat it. Not a problem baby. Beat, beat, beat it. Beat, beat, beat it. You want me to beat, beat. Beat, beat, beat it. Beat, beat, beat it. Beat, beat. You've been out here looking for a guy like me. And I ain't never settle down, just loyal to my team. You got your eyes on me and girl. I got my eyes on green. Your nigga he so bummy. Needs to boost his self esteem. He ain't fly, no. He don't even drive, no. That's why you're calling my phone. And won't leave me alone. He ain't even fly, though. You ain't gotta lie, no. That's why you're calling my phone. And you're wanting me to get, get, get it. Beat, beat, beat it. Beat, beat, beat it. You want me to beat, beat, beat it. Beat, beat, beat it. Beat, beat, beat it. Not a problem baby. Beat, beat, beat it. Beat, beat, beat it. You want me to beat, beat. Beat, beat, beat it. Beat, beat, beat it. Beat, beat. Ugh, you say you want a fly nigga. Roll somethin' and get high nigga. I spendin' all the most and if he aint coming close. Then its time to tell him bye. I'll take you up in the sky. We'll be floatin'. Get you wet. Like the ocean. I'ma speed up on it, if your pussy was a book. I would read up on it. Girl im just trying to get you back to my crib. Seen all them Instagram pictures you post. So I already know what it is. Talk to me now. He ain't fly, no. He don't even drive, no. That's why you're calling my phone. And won't leave me alone. He ain't even fly, though. You ain't gotta lie, no. That's why you're calling my phone. And you're wanting me to get, get, get it. Beat, beat, beat it. Beat, beat, beat it. You want me to beat, beat, beat it. Beat, beat, beat it. Beat, beat, beat it. Not a problem baby. Beat, beat, beat it. Beat, beat, beat it. You want me to beat, beat. Beat, beat, beat it. Beat, beat, beat it. Beat, beat"
fire burning,"Somebody call 911!. Shawty fire burning on the dance floor. Whoa!. (Fire Burning, Fire Burning) What a' gwaan?. Kingston. Let's Go. Hey, hey, hey. Red One. Hey Hey. Shawty got that super thing. Hotter than the sun in the south of spain. Got me soon as I walked through the door. My pocket started tickle-ing. When she dropped low that thang. Got me wanna spend my money on her, her. She get it popping. Like they're dropping that birthday cake. Got a candle, need to blow that crazy flame away. Now take my red, black card and my jewellery. Shawty is cool like the fire,. Cool like fire. Somebody call 911. Shawty fire burning on the dance floor. Whoa. I gotta cool her down. Or she will bring the roof to ground on the dance floor. Whoa. She's fire burning, fire burning on the dance floor. That little shawty's fire burning on the dance floor. She's fire burning fire burning on the dance floor. That little shawty's fire burning on the dance floor. Fire burning fire burning. That body is a masterpiece. The order is one in every hundred years. But ain't no doubt I'm taking it home. I'm afraid we'll blow them legs. Little mama game is about to change. She'll be on covers over the world. She get it popping. Like they're dropping that birthday cake. Got a candle, need to blow that crazy flame away. Now take my red, black card and my jewellery. Shawty is cool like the fire. Cool like fire. Somebody call 911. Shawty fire burning on the dance floor. Whoa. I gotta cool her down. Or she will bring the roof to ground on the dance floor. Whoa. She's fire burning, fire burning on the dance floor. That little shawty's fire burning on the dance floor. Shes fire burning, fire burning on the dance floor. That little shawty's fire burning on the dance floor. She got that fire in her dance that make them fellas run around. Hey. No exit from the dance floor so them boys want more. Hey. She got that fire in her dance that make them fellas run around. Madam, get outta my way. Everybody, sing it now. No exit from the dance floor so them boys want more. What a' gwaan? Let's go! Madam, let's go, hey!. She get it popping. Like they're dropping that birthday cake. Got a candle, need to blow that crazy flame away. Take my red, black card and my jewellery. Shawty is cool like the fire. Cool like fire. Somebody call 911. Shawty fire burning on the dance floor. Whoa. I gotta cool her down. Or she will bring the roof to ground on the dance floor. Whoa. She's fire burning, fire burning on the dance floor. That little shawty's fire burning on the dance floor. Shes fire burning, fire burning on the dance floor. That little shawty's fire burning on the dance floor. Somebody call 911!"
change,"Change, Change, Change,. Change, Change, Change,. Oh I wish i had the power, the power to change the. world. But I'm just one man trying to do it on my own. Oh i wish i had the power, the power to change the. world. But I'm just one man trying to do it on my own. Can someone help me? (change the world). Can somebody help me? (change the world). Everyday i saw you there chillen on the corner. puffin on crack and marijauna. Because i know how your life is. nobody just be guidin, no. Hope to see black people living longer. also less kids without fathers. We should all come together. Please stop fighting and killing eachother. Its what happens when your living in the street life. its so dark and you don't get sunlight. People seeing why you don't get treated right. But ima try to change it. Oh i wish i had the power, the power to change the. world. But I'm just one man trying to do it on my own. Oh i wish i had the power, the power to change the. world. But I'm just one man trying to do it on my own. Can someone help me? (change the world). Can somebody help me? (change the world). Many people living off welfare. Hoping things get better next year. but I'm covered in tears. so many sick without health care. too many innocent people dyin'. and i don't know why. you gotta keep your eyes open even when your rollin'. as days go by. Its what happens when your living in the street life. its so dark and you don't get sunlight. People seeing why you don't get treated right. But ima try to change it. Oh i wish i had the power, the power to change the. world. But I'm just one man trying to do it on my own. Oh i wish i had the power, the power to change the. world. But I'm just one man trying to do it on my own. Somebody change the world. we've got little boys and little girls. growing up on this sinful earth. oh whats happening?. i don't know, but please tell me. we've got all these criminals and discretes. killin people for no reason. i don't know why. Oh i wish i had the power, the power to change the. world. But I'm just one man trying to do it on my own. Oh i wish i had the power, the power to change the. world. But I'm just one man trying to do it on my own. Can someone help me? (change, change, change). Can somebody help me? (change, change, change)"
me love,"[Chorus]. Uh uh uh uh oh ooh. why'd you have to go-oh. away from all. me love.. Uh uh uh uh oh ooh. why'd you have to go-oh. away from all. me love.. [Verse 1]. See the first time me looking at your eyes. me be tell you want a guy like me. we use to I've gud times on da evening. me and you chilling on da beach. We use to kiss and caress an chess me. girl it feels so sweet. den one day you move. now im feelin kinda blue. cause we had to see you leave. I feel like im drownin in da ocean. somebody come and take me away. [Chorus]. Uh uh uh uh oh ooh. why'd you have to go-oh. away from all. me love.. Uh uh uh uh oh ooh. why'd you have to go-oh. away from all. me love.. [Verse 2]. Now im sittin in a chair with no one here. and im feelin all alone. thinkin to myself like. damn why my baby up and gone. its like im missin her and i know shes missin me. its been two years an a half in july will make it three.. I feel like im drownin in da ocean. somebody come and take me away. [Chorus]. Uh uh uh uh oh ooh. why'd you have to go-oh. away from all. me love.. Uh uh uh uh oh ooh. why'd you have to go-oh. away from all. me love.. [Bridge]. Why you leave me, wuh why you leave me. baby tell me, beh baby tell me. why you leave me, wuh why you leave me. why you leave me. Why you leave me, wuh why you leave me. baby tell me, beh baby tell me. why you leave me, wuh why you leave me. why you leave me. I feel like im drownin in da ocean. somebody come and take me away. [Chorus]. Uh uh uh uh oh ooh. why'd you have to go-oh. away from all. me love.(x4). Why you leave me, wuh why you leave me. baby tell me beh baby tell me. why you leave me, wuh why you leave me"
all i got,Kingston. Oh yeah yeah yeah. Oh yeah yeah yeah. Wo. Girl I'm the type. See what I want to get right down. Up every night. Rolling real deep if you let me. I'm all up inside. Cooping their roof yeah their mind gone. We're geeking tonight. You fall for them but girl I not. Rolling rolling. Doping out my mind. ooh. Drunking hope I don't black out tonight. No no. She don't want to get me oh why not. Hold on. Tell me now now can I make you mine. Na na na. [Hook]. Real n! ggas all around me. That's all I got. Lil Hennessy and vodka. That's all I got. Can you drop it down for me. That's all I got. Run around now let me see. That's all I got. Bad hoes getting popping. That's all I got. More money more problems. That's all I got. Can you drop it down for me. That's all I got. Run around now let me see. That's all I got. [Verse 2]. Hold on tight. Please buckle up for this ride now. Collosal tonight. Up in the air where your legs be. I'm all up inside. You would if you know what I know. We're wilding tonight. Girl if you party then let's go. Rolling rolling. Doping out my mind. ooh. Drunking hope I don't black out tonight. No no. She don't want to get me oh why not. Hold on. Tell me now now can I make you mine. Na na na. [Hook]. Real n! ggas all around me. That's all I got. Lil Hennessy and vodka. That's all I got. Can you drop it down for me. That's all I got. Run around now let me see. That's all I got. Bad hoes getting popping. That's all I got. More money more problems. That's all I got. Can you drop it down for me. That's all I got. Run around now let me see. That's all I got. Mynaijalyrics. com. [Outro]. Ooh ooh ooh ooh. That's all I got. Ooh ooh ooh ooh. That's all I got. Can you drop it down for me. That's all I got. Run around now let me see. That's all I got. We're geeking tonight. We're geeking tonight. We're geeking tonight. Oh yeah yeah
back 2 life (live it up) (feat. t.i.),"Steady, are you ready?. Back to life, back to reality. Back to life, back to reality. Going through a dark place, dark time. And I couldn't even see the light. Had my back up against the wall. I was feeling like do or die. But what don't kill me make me stronger. I know it's gon' be alright. So we celebrating tonight. Yo, we celebrating life tonight. The time is now, gotta make it count. So before we die, let's go all up. We gotta live it up. Champagne in my cup. Dj, turn it up. Bring me back to life, back to life. We gotta live it up. You know we don't give a what. So, till my time's up. Bring me back to life, back to life. Back to life, back to reality. Back to life, back to reality. All the tears and all of the prayers. Every single one of ya should me. So the level give them bathyal. is bigger than the whole country. From England to Japan, to Jamaica to way down the Mia. We don't stop, we go hard, let's get it in. Call it young and free. The time is now, gotta make it count. So before we die, let's go all up. We gotta live it up. Champagne in my cup. Dj turn it up. Bring me back to life, back to life. We gotta live it up. You know we don't give a what. So, till my time's up. Bring me back to life, back to life. Back to life, back to reality. Back to life, back to reality. Okay, the circus tried to bare me, Jesus had to carry me. Middle finger to the reaper, nigga ain't gonna scare me. You can't be, you don't understand who I am. It's trouble man, hundred grand in my pan. With the broccoli, hard times put the cell mate bars. Maseratis, Ferrari's, that money don't play back. Presidents stop me, imagine if I stay that. Still shinin' on to make them haters. put their shades at. When tragedy strikes I stroke back. Lookin' for to all over and out, who does that?. Left a nigga for dead, came back to life. I guess this is me ballin' in the afterlife. Let's get it. Back to life, back to reality. Back to life, back to reality. We gotta live it up. Champagne in my cup. Dj turn it up. Bring me back to life, back to life. We gotta live it up. You know we don't give a what. So, till my time's up. Bring me back to life, back to life. Back to life"
bad girl,"Bad girl!. Is a bad girl!. I like it when you’re bad girl!. You’re so bad girl!. Yeah, she said she come from out of town,. And she said that men here don’t come around.. I say we can get it on, girl,. We can get it on girl!. Hit it so cool, she gonna want and tell the world!. She’s twenty six but she looks more like she’s twenty two!. …. on the stairs I ain’t mad at you!. I just wanna see your smile baby girl,. When I’m pulling your hair, baby we can…. Cause she’s a bad girl,. Common give it to me momma!. She’s a bad girl,. Common give it to me momma!. It’s a bad girl,. Shwaty bring me no drama!. It’s a bad girl!. Oh, oh, she bad girl!. Oh, oh, she bad girl!. Somebody call the police. Cause she’s killing them, killing them!. Cardiac …and I ain’t talking ems. I said we can get it on, girl!. I said we can get it on!. Hit it so good that I can blow…. Leaving me text messages like ‘when we’re coming home?’. And I respond to her like ‘baby show me what you got on!’. Can you please send a picture with your boy shorts on!. Please send a picture with your boy shorts on!. Is she gangsta? cause she can send that!. Gotta be gangsta, when I’m in that!. Anything she wants I can think it off,. And when we get home. She’s gonna let me stay up!. I love it when:. Cause she’s a bad girl,. Common give it to me momma!. She’s a bad girl,. Common give it to me momma!. It’s a bad girl,. Shwaty bring me no drama!. It’s a bad girl!. Oh, oh, she bad girl!. Oh, oh, she bad girl!"
bbm (feat. soulja boy),"They don’t know girl, love takes them wide up. By the blackberry, …. Just lift you up. All this texting is getting kinda crazy. Don’t be mad if I … at you lady. No, and just because I don’t pick up every day. Yeah, find another way to communicate, she told me. BBM, BBM, BBM every day. BBM, BBM, BBM every day. Cause I’ve been hitting up your phone all day. But I found a way to communicate, bbm me every day. BBM every day, she … with that smiley face. She said she likes it, that’s the best way to communicate. And don’t worry I …in a hurry, need to talk to somebody, just bbm …. My … she wanna call me, swag so official, wanna blow it like …. She saying, always, I’ll be getting always, … so she mess around with me the long way. Long way, … so …, we get it in, I could fit in like a ball play. Like she … hard, and I know she want me, cause she’s in my swag …. Touch me in the club, she texting ong, … smiley face and she be putting sms because she’s grinding. Yeah I know she grinding, I know she want me, she don’t gotta find me …. All this texting is getting kinda crazy. Don’t be mad if I … at you lady. No, and just because I don’t pick up every day. Yeah, find another way to communicate, she told me. BBM, BBM, BBM every day. BBM, BBM, BBM every day. Cause I’ve been hitting up your phone all day. But I found a way to communicate, bbm me every day. BBM, BBM girl you look so damn good. Take the swill, take the swill, … in my neighborhood. Mansion, I can hear you … in my living room, dancing. Man I swear you look so damn good, leave me on my bed …. …Let me know what’s up. I hit you with a hard hand, you know that we is turning on. … here, you know …. … to the city, Lamborghini …. Man I … , man this girl is sexy. Double day, bottom lay, there she had text me. LoL, smiley face, we did it by the fire place. Put the … forever less she was hibernate. She hears my voice she says soldier you the best is. I don’t wanna mess with none of the rest is. I lay you down on the bed and you … this. Baby hell yeah, I got the wrong …. All this texting is getting kinda crazy. Don’t be mad if I … at you lady. No, and just because I don’t pick up every day. Yeah, find another way to communicate, she told me. BBM, BBM, BBM every day. BBM, BBM, BBM every day. Cause I’ve been hitting up your phone all day. But I found a way to communicate, bbm me every day, bbm me every day,. Bbm me every day.. @cehlinhow"
