back to you,"Took you like a shot. Thought that I could chase you with the cold evening. Let a couple years water down how I'm feeling about you. (feeling about you). And every time we talk. Every single word builds up to this moment. And I gotta convince myself I don't want it. Even though I do. (even though I do). You could break my heart in two. But when it heals, it beats for you. I know it's forward but it's true. I wanna hold you when I'm not supposed to. When I'm lying close to someone else. You're stuck in my head and I can't get you out of it. If I could do it all again. I know I'd go back to you. I know I'd go back to you. I know I'd go back to you. We never got it right. Playing and replaying old conversations. Overthinking every word and I hate it. 'cause it's not me ('cause it's not me). And what's the point in hiding. And everybody knows we got unfinished business. And I regret it if I didn't say. This isn't what it could be. (isn't what it could be). You could break my heart in two. But when it heals, it beats for you. I know it's forward but it's true. I wanna hold you when I'm not supposed to. When I'm lying close to someone else. You're stuck in my head and I can't get you out of it. If I could do it all again. I know I'd go back to you. I know I'd go back to you. I know I'd go back to you. I'd go back to you. I'd go back to you. What was there wasn't sure. But I'd go back to you. I know I'd go back to you. You can break my heart in two. But when it heals, it beats for you. I know it's forward but it's true. Won't lie, I'd go back to you. You know, my thoughts are running loose. It's just a thing you make me do. And I could fight, but what's the use. I know I'd go back to you. I wanna hold you when I'm not supposed to. When I'm lying close to someone else. You're stuck in my head and I can't get you out of it. If I could do it all again. I know I'd go back to you. I'd go back to you. I'd go back to you. I know I'd go back to you. I'd go back to you. I'd go back to you. I know I'd go back to you. (go back to you, go back to you). (go back to you, go back to you). (go back to you, go back to you)"
the heart wants what it wants,"""When I was on, when I was on stage. I was thinking of... I felt like I know him. And I know his heart, and I know what. He wouldn't do to hurt me. But I didn't realize that I feeling so confident. And feeling so great about myself. And then it just be completely shattered. By one thing. By something so stupid. But then he'd make me feel crazy. Make me feel like it's my fault. I was in pain"". You got me sippin' on something. I can't compare to nothing. I've ever known, I'm hoping. That after this fever, I'll survive. I know I'm acting a bit crazy. Strung out, a little bit hazy. Hand over heart, I'm praying. That I'm gonna make it out alive. The bed's getting cold and you're not here. The future that we hold is so unclear. But I'm not alive until you call. And I'll bet the odd's against it all. Save your advice, 'cause I won't hear. You might be right, but I don't care. There's a million reasons why I should give you up. But the heart wants what it wants. The heart wants what it wants. You got me scattered in pieces. Shining like stars and screaming. Lighting me up like Venus. But then you'd disappear and make me wait. And every second's like torture. Hell over trip, no more so. Finding a way to let go. Baby, baby, no, I can't escape. The bed's getting cold and you're not here. The future that we hold is so unclear. But I'm not alive until you call. And I'll bet the odd's against it all. Save your advice, 'cause I won't hear. You might be right, but I don't care. There's a million reasons why I should give you up. But the heart wants what it wants. The heart wants what it wants. The heart wants what it wants. The heart wants what it wants. This is a modern fairytale. No happy ending, no wind in our sails. But I can't imagine a life without. The breathless moments breaking me down. Down, down, down. The bed's getting cold and you're not here. The future that we hold is so unclear. But I'm not alive until you call. And I'll bet the odd's against it all. Save your advice, 'cause I won't hear. You might be right, but I don't care. There's a million reasons why I should give you up. But the heart wants what it wants. The heart wants what it wants. The heart wants what it wants. The heart wants what it wants"
bad liar,"I was walking down the street the other day. Trying to distract myself. But then I see your face. Ooh, wait, that's someone else. Trying to play it coy. Trying to make it disappear. But just like the battle of Troy. There's nothing subtle here. In my room there's a king size space. Bigger than it used to be. If you want you can rent that place. Call me an amenity. Even if it's in my dreams. Ooh you're taking up a fraction of my mind. Ooh every time I watch you serpentine. Oh I'm tryin', I'm tryin', I'm tryin'. I'm tryin', I'm tryin'. Oh tryin', I'm tryin', I'm tryin'. I'm tryin', I'm tryin'. Not to think about you. No, no, no, no. Not to think about you. No, no, no, no. Oh I'm tryin', I'm tryin', I'm tryin'. I'm tryin', I'm tryin'. Oh tryin', I'm tryin', I'm tryin'. I'm tryin', I'm tryin'. Not to give in to you. No, no, no, no. Not to give in to you. No, no, no, no. With my feelings on fire. Guess I'm a bad liar. I see how your attention builds. It's like looking in a mirror. Your touch like a happy pill. But still all we do is fear. What could possibly happen next. Can we focus on the love. Paint my kiss across your chest. If you're the art, I'll be the brush. Ooh you're taking up a fraction of my mind. Ooh every time I watch you serpentine. Oh I'm tryin', I'm tryin', I'm tryin'. I'm tryin', I'm tryin'. Oh tryin', I'm tryin', I'm tryin'. I'm tryin', I'm tryin'. Not to think about you. No, no, no, no. Not to think about you. No, no, no, no. Oh I'm tryin', I'm tryin', I'm tryin'. I'm tryin', I'm tryin'. Oh tryin', I'm tryin', I'm tryin'. I'm tryin', I'm tryin'. Not to give in to you. No, no, no, no. Not to give in to you. No, no, no, no. With my feelings on fire. Guess I'm a bad liar. And oh baby let's make reality, actuality, a reality. Oh baby let's make reality, actuality, a reality. Oh, oh, I'm tryin', I'm tryin', I'm tryin'. I'm tryin', I'm tryin'. Oh tryin', I'm tryin', I'm tryin'. I'm tryin', I'm tryin'. Not to think about you. No, no, no, no. Not to think about you. No, no, no, no. Oh I'm tryin', I'm tryin', I'm tryin'. I'm tryin', I'm tryin'. Oh tryin', I'm tryin', I'm tryin'. I'm tryin', I'm tryin'. Not to give in to you. No, no, no, no. Not to give in to you. No, no, no, no. With my feelings on fire. Guess I'm a bad liar"
wolves (feat. marshmello),"In your eyes, there's a heavy blue. One to love, and one to lose. Sweet divide, a heavy truth. Water or wine, don't make me choose. I wanna feel the way that we did that summer night, night. Drunk on a feeling, alone with the stars in the sky. I've been running through the jungle. I've been running with the wolves. To get to you, to get to you. I've been down the darkest alleys. Saw the dark side of the moon. To get to you, to get to you. I've looked for love in every stranger. Took too much to ease the anger. All for you, yeah, all for you. I've been running through the jungle. I've been crying with the wolves. To get to you, to get to you, to get to you. To get to you. To get to you. Your fingertips trace my skin. To places I have never been. Blindly I am following. Break down these walls and come on in. I wanna feel the way that we did that summer night. Drunk on a feeling, alone with the stars in the sky. I've been running through the jungle. I've been running with the wolves. To get to you, to get to you. I've been down the darkest alleys. Saw the dark side of the moon. To get to you, to get to you. I've looked for love in every stranger. Took too much to ease the anger. All for you, yeah, all for you. I've been running through the jungle. I've been crying with the wolves. To get to you, oh, to get to you. I've been running through the jungle. I've been running with the wolves. To get to you, to get to you. I've been down the darkest alleys. Saw the dark side of the moon. To get to you, to get to you. I've looked for love in every stranger. Took too much to ease the anger. All for you, yeah, all for you. I've been running through the jungle. I've been crying with the wolves. To get to you, oh, to get to you"
fetish (feat. gucci mane),"Take it or leave it. Baby take it or leave it. But I know you won't leave it. 'Cause I know that you need it. Look in the mirror. When I look in the mirror. Baby I see it clearer. Why you wanna be nearer. I'm not surprised. I sympathize, ah. I can't deny. Your appetite, ah. You got a fetish for my love. I push you out and you come right back. Don't see a point in blaming you. If I were you, I'd do me too. You got a fetish for my love. I push you out and you come right back. Don't see a point in blaming you. If I were you, I'd do me too. You got a fetish for my love. Reaching your limit. Say you're reaching your limit. Going over your limit. But I know you can't quit it. Something about me. Got you hooked on my body. Take you over and under and twisted up like origami. I'm not surprised. I sympathize, ah. I can't deny. Your appetite, ah. You got a fetish for my love. I push you out and you come right back. Don't see a point in blaming you. If I were you, I'd do me too. You got a fetish for my love. I push you out and you come right back. Don't see a point in blaming you. If I were you, I'd do me too. (You got a fetish for my love). The way you walk, the way you talk. I blame you 'cause it's all your fault. Ya playin' hard, don't turn me off. Ya acting hard, but I know you soft. You my fetish, I'm so with it. All these rumors bein' spreaded. Might as well go 'head and whip it. 'Cause they sayin' we already did it. Call on Gucci if you ever need. And I'll be South Beach in the drop top gleamin'. Order diamonds, Aquafina. Just need you in a blue bikini. You got a fetish for my love. I push you out and you come right back. Don't see a point in blaming you. If I were you, I'd do me too. You got a fetish for my love. I push you out and you come right back. Don't see a point in blaming you. If I were you, I'd do me too. You got a fetish for my love"
love you like a love song,"It's been said and done. Every beautiful thought's been already sung. And I guess right now here's another one. So your melody will play on and on with the best of 'em. You are beautiful like a dream come alive, incredible. A centerfold miracle, lyrical. You saved my life again. And I want you to know, baby. I, I love you like a love song, baby. I, I love you like a love song, baby. I, I love you like a love song, baby. And I keep hittin' repeat, peat, peat, peat, peat. I, I love you like a love song, baby. I, I love you like a love song, baby. I, I love you like a love song, baby. And I keep hittin' repeat, peat, peat, peat, peat. Constantly, boy, you play through. My mind like a symphony. There's no way to describe what you do to me. You just do to me what you do. And it feels like I've been rescued. I've been set free. I am hypnotized by your destiny. You are magical, lyrical, beautiful, you are. And I want you to know, baby. I, I love you like a love song, baby. I, I love you like a love song, baby. I, I love you like a love song, baby. And I keep hittin' repeat, peat, peat, peat, peat. I, I love you like a love song, baby. I, I love you like a love song, baby. I, I love you like a love song, baby. And I keep hittin' repeat, peat, peat, peat, peat. No one compares, you stand alone. To every record I own. Music to my heart that's what you are. A song that goes on and on. I, I love you like a love song, baby. I, I love you like a love song, baby. I, I love you like a love song, baby. And I keep hittin' repeat, peat, peat, peat, peat. I, I love you like a love song, baby. I, I love you like a love song, baby. I, I love you like a love song, baby. I love you like a love song"
hands to myself,"Can't keep my hands to myself. No matter how hard I'm trying to. I want you all to myself. You're metaphorical gin and juice. So come on, give me a taste. Of what it's like to be next to you. Won't let one drop go to waste. You're metaphorical gin and juice. All of the downs and the uppers. Keep making love to each other. And I'm trying, trying, I'm trying, trying. All of the downs and the uppers. Keep making love to each other. And I'm trying, trying, I'm trying, but I. Can't keep my hands to myself. My hands to myself. Can't keep my hands to myself. My hands to myself. The doctor say you're no good. But people say what they wanna say. And you should know if I could. I'd breathe you in every single day. All of the downs and the uppers. Keep making love to each other. And I'm trying, trying, I'm trying, trying. All of the downs and the uppers. Keep making love to each other. And I'm trying, trying, I'm trying, but I. Can't keep my hands to myself. My hands to myself. Can't keep my hands to myself. My hands to myself. Can't keep my hands to myself. I want it all, no, nothing else. Can't keep my hands to myself. Give me your all and nothing else. Oh, I, I want it all. I want it all, I want it all. Can't keep my hands to myself. I mean I could, but why would I want to?. My hands to myself. Can't keep my hands to myself. My hands to myself. Can't keep my hands to myself. I want it all, no, nothing else. Can't keep my hands to myself. Give me your all and nothing else. Can't keep my hands to myself"
same old love,"Take away your things and go. You can't take back what you said, I know. I've heard it all before, at least a million times. I'm not one to forget, you know. I don't believe, I don't believe it. You left in peace, left me in pieces. Too hard to breathe, I'm on my knees. Right now, 'ow. I'm so sick of that same old love. That shit, it tears me up. I'm so sick of that same old love. My body's had enough. Oh, (that same old love). Oh, (that same old love). I'm so sick of that same old love. Feels like I've blown apart. I'm so sick of that same old love. The kind that breaks your heart. Oh, (that same old love). Oh, (that same old love). I'm not spending any time, wasting tonight on you. I know, I've heard it all. So don't you try and change your mind. Cause I won't be changing too, you know. You can't believe, still can't believe it. You left in peace, left me in pieces. Too hard to breathe, I'm on my knees. Right now, 'ow. I'm so sick of that same old love. That shit, it tears me up. I'm so sick of that same old love. My body's had enough. Oh, (that same old love). Oh, (that same old love). I'm so sick of that same old love. Feels like I've blown apart. I'm so sick of that same old love. The kind that breaks your heart. Oh, (that same old love). Oh, (that same old love). I'm so sick of that, so sick of that love. I'm so sick of that, so sick of that love. I'm so sick of that, so sick of that love. I'm so sick of that, so sick of that love. I'm so sick of that same old love. That shit, it tears me up. I'm so sick of that same old love. My body's had enough. Oh, (that same old love). Oh, (that same old love). I'm so sick of that same old love. Feels like I've blown apart. I'm so sick of that same old love. The kind that breaks your heart. Oh, (that same old love). Oh, (that same old love)"
good for you (feat. a$ap rocky),"I'm in my 14 carats, I'm 14 carat. Doing it up like Midas, mm. Now you say I got a touch, so good, so good. Make you never wanna leave, so don't, so don't. Gonna wear that dress you like, skin-tight. Do my hair up real, real nice. And syncopate my skin to your heart beating. Cause I just wanna look good for you, good for you, uh-huh. I just wanna look good for you, good for you, uh-huh. Let me show you how proud I am to be yours. Leave this dress a mess on the floor. And still look good for you, good for you, uh-huh. I'm on my Marquise diamonds, I'm a Marquise diamond. Could even make that Tiffany jealous, mm. You say I give it to you hard, so bad, so bad. Make you never wanna leave, I won't, I won't. Gonna wear that dress you like, skin-tight. Do my hair up real, real nice. And syncopate my skin to how you're breathing. Cause I just wanna look good for you, good for you, uh-huh. I just wanna look good for you, good for you, uh-huh. Let me show you how proud I am to be yours. Leave this dress a mess on the floor. And still look good for you, good for you. Uh-huh, uh-huh, uh. Uh-huh, uh-huh, uh. Trust me, I can take you there. Trust me, I can take you there. Trust me, I, trust me, I, trust me, I. Hold on, take a minute, love. Cause I ain't trying to mess your image up. Like we mess around in triple cuffs. Stumble 'round town, pull your zipper up. Pants sag like I don't give a. I ain't trying to mess your fitness up. And I ain't trying to get you into stuff. But the way you touchin' on me in the club. Rubbin' on my miniature. John Hancock, the signature. Any time I here, I know she feelin' for it through. And any time we get our boys in up on the news. Ain't worried bout no press. And ain't worried bout the next chick. They love the way you dress and ain't got shit up on you. Jackpot, hit the jackpot (whoo!). Just met a bad miss without the ass shots (whoo!). You look good, girl, you know you did good, don't you?. You look good, girl, bet it feel good, don't it?. I just wanna look good for you, good for you, uh-huh. Baby, let me be good to you, good to you, uh-huh. Let me show you how proud I am to be yours. Leave this dress a mess on the floor. And still look good for you, good for you. Uh-huh, uh-huh, uh. Uh-huh, uh-huh. Trust me, I, trust me, I, trust me, I"
who says,"Wouldn't wanna be anybody else. You made me insecure. Told me I wasn't good enough. But who are you to judge. When you're a diamond in the rough. I'm sure you got some things. You'd like to change about yourself. But when it comes to me. I wouldn't want to be anybody else. Na na na. Na na na. I'm no beauty queen. I'm just beautiful me. Na na na. Na na na. You've got every right. To a beautiful life. C'mon. Who says. Who says you're not perfect. Who says you're not worth it. Who says you're the only one that's hurting. Trust me. That's the price of beauty. Who says you're not pretty. Who says you're not beautiful. Who says. It's such a funny thing. How nothing's funny when it's you. You tell 'em what you mean. But they keep whiting out the truth. It's like a work of art. That never gets to see the light. Keep you beneath the stars. Won't let you touch the sky. Na na na. Na na na. I'm no beauty queen. I'm just beautiful me. Na na na. Na na na. You've got every right. To a beautiful life. C'mon. Who says. Who says you're not perfect. Who says you're not worth it. Who says you're the only one that's hurting. Trust me. That's the price of beauty. Who says you're not pretty. Who says you're not beautiful. Who says. Who says you're not star potential. Who says you're not presidential. Who says you can't be in movies. Listen to me, listen to me. Who says you don't pass the test. Who says you can't be the best. Who said, who said. Won't you tell me who said that. Who says. Who says you're not perfect. Who says you're not worth it. Who says you're the only one that's hurting. Trust me. That's the price of beauty. Who says you're not pretty. Who says you're not beautiful"
