fuck me daddy,[Intro:]. Your ass belongs to me. [Verse 1:]. Jet black pink Glock. Sip drink smoke pot. Tight right clap clap. Bossy bitch fucking all night. Red nigga good pipe. He came once I came twice. Lift me up to the sun rise. I ain't stopping till that motherfucking bitch cries. [Pre-Hook:]. Don't you know I live for you. Live for you. Don't you know I live for you. Live for you. Don't you know I live for you. Live for you. Don't you know I live for you. Live for you. [Hook:]. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me daddy. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me daddy. Fuck me daddy. Fuck me daddy. [Verse 2:]. Drip drip. Splash splash. Hit it good hit it good Jimmy Cash. Gimmie Cash how much chief. Hundred racks feel lucky. White nigga likes tax. He came once I came back. Lift me up till the sun rise. I ain't stopping till that motherfucking bitch cries. [Pre-Hook:]. Don't you know I live for you. Live for you. Don't you know I live for you. Live for you. Don't you know I live for you. Live for you. Don't you know I live for you. Live for you. [Hook:]. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me daddy. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me daddy. Fuck me daddy. Fuck me daddy. [Bridge:]. How lost knows how lonely. I'd give you my heart. But then you would only. I just wanna love so true. We both know that ain't you. So come here and fuck me. [Hook:]. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me daddy. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me good. Fuck me daddy. Fuck me daddy. Fuck me daddy. Fuck me daddy
rather be (feat. benny benassi),"You've been to every spot in this town,. And there's no other place you rather be!. Chorus:. Turn up the lights, to show me,. Get up like a star,. Shining all over the world!. Turn up the lights in here,. Where I wanna be, standing at the edge of the world.. There's no other place you rather be!. There's no other place you rather be!. There's no other place you rather be!. So come on, dance!. You ride it, it's a party,. So come on, dance!. After midnight, we're excited!. So, come on. Get your drinks on, spend your money,. Put your hands all over somebody!. ..the highest point, don't you,. Ever come on down. You are everybody wants to be,. They all wanna go!. Chorus:. Turn up the lights, to show me,. Get up like a star,. Shining all over the world!. Turn up the lights in here,. Where I wanna be, standing at the edge of the world.. There's no other place you rather be!. There's no other place you rather be!. There's no other place you rather be!. Every moment, everything thing in this world,. You're the last vibing stone, on. ...inside of you,. Everyone here feel what you gave to lose?. Chorus: (x3). Turn up the lights, to show me,. Get up like a star,. Shining all over the world!. Turn up the lights in here,. Where I wanna be, standing at the edge of the world.. There's no other place you rather be!. There's no other place you rather be!. There's no other place you rather be!"
runnin' (feat. lil' wayne),"[Wayne:]. The loser microphone abuser. Feet hurtin I just walked from Jerusalem. So you should get on the side with the movement. I'm the proofs and I'll die just to prove it. Whatcha wanna know? Anything whatever.. I can't tell ya. I can show ya better. Me and my gun, we took an oath together. Said I will never die, if we both together. Yeah, this is my testification. I'm Wayne on their hands like presipatation. And in hell you, you need justification. But, but for me it was just a vacation. [Shanell:]. Somebody tell me when's it gonna end. Where's it gonna end up. Runnin [x5]. Run it all. When's it gonna end. Where's it gonna end up. Runnin [x3]. Run it all. [Shanell:]. I lost all my money. I lost half my mind. Can't find my direction. Where's the finish line. Could I be far away from it all. How far it gone. If I can stay for it all. Then I shouldn't fall.. [Wayne:]. But if I fall I fall up. And let the clouds hug me. And if I fall down. I bet I hit the ground runnin. Bet you search and found nothing. Looking for the finish line. Stop short cuttin. You fucking up your finish time. Shit, but every twice in a while. It feels like I'm runnin. And life is the miles. Yeah, but until the lights dimmin down. I'll be runnin around. Runnin [x3]. [Shanell:]. (Oh, will you tell...). Somebody tell me when's it gonna end. Where's it gonna end up. Runnin [x5]. Run it all. When's it gonna end. Where's it gonna end up. Runnin [x3]. Run it all. [Shanell:]. Counting all my pennies but it doesn't add up. At the mercy but somehow it ain't enough. Reading all the red lights trying not to give up. But I don't know how long it's gonna last all. [Wayne:]. It's almost over now. I say it's almost over now. The end is gettin closer now. Better do what you suppose to cause. The world is all so short.... [Shanell:]. Somebody tell me when's it gonna end. Where's it gonna end up. Runnin [x5]. Run it all. When's it gonna end. Where's it gonna end up. Runnin [x3]. Run it all. When's it gonna end. Where's it gonna end. Runnin. Run it all. [Wayne:]. Yeah I'm runnin outta time. I'm runnin out of space. Fell like I'm runnin round. But I'm runnin in place. We all in the race. I'm just another sprinter. If there's no finish line. Then who's the real winna?"
wetter,"[Shanell]. I'm calling you daddy. daddy. can you be my daddy. daddy. I need a daddy. daddy. could you be my daddy. daddy. come and make it wayne down on me. come and make it wayne down on me. [Lil Wayne]. uhh. wide receiver weezy. throw da p-ssy at me. ya p-ssy lips smilin. i make da p-ssy happy. take your panties off. the p-ssy lookin at me. I'm the p-ssy monster. now get the p-ssy ready. i like to kiss, she like to kiss. i deep stroke, and make her bite her fist. the lights is on, the night is grown. we get it poppin cuz we know we can't when wifey home. california kush strong as a tightness what I'm lighten on. we get high as fuck and we just do it put ya nikes on. tattoos on her waist she like the tattoos on my face. and if theres sum she like to say i let her say it on my microphone. she love my style, but thats expected. she comin back to you, the chance is anorexic. i new she had it in her, so i got it out her. she give me neck around the clock i call it round the collar. she rub my back, she say I'm tight. she cook f-ck and clean. and still make her flight. first class p-ssy. crystal glass p-ssy. i get it wetter then bass p-ssy. (Shanell: you done be). uhh. i likes em thick and red. Ralph Lauren spread. lady in the streets. porn star in bed. she like to f-ck fight. so we spar in bed. she got that pink p-ssy. i beat it orange red. i fuck american pie. and i get foreign head. she sit down and ride. like I'm a thorough bred. she kiss mine. and i kiss hers back. if shes a bad b-tch. she deserve that. she send me pictures to my iphone. then i gotta clear em cuz my girl be checkin my phone. I'm in the Bentley with my mind blown. and I'm in that p-ssy honey I'm home. [Shanell]. u done been good. but you can do better. i done been wet. but i can get it wetter. come and make it wayne down on me. (yeh no cielings mutha fucka ahh). u done been good. but you can do better. i done been wet. but i can get it wetter. come and make it wayne down on me. (yeahh i like that). I'm calling you daddy. (her name shanell by the way). daddy. can you be my daddy (young money). daddy. i need a daddy (no ceilings). daddy. would you be my daddy. daddy. come and make it wayne down on me (young mula babyy). come and make it wayne down me (no ceilings mutha f-cka ahh)"
101,"I know what you're used to, babe. But obviously you want me. And if you wanna make it worth my night. Let me teach how to love a lady. So forget everything you thought you knew. And take a seat in my school. And you can keep this lesson, I swear. All them niggas, they be talking 'bout how they beat it up. They gonna wish they can give that. Baby, if you do it right. I might just have to keep you around here, baby. That 101, that 101. Let me think of you when you're not even around. I'll give you an A if you earn it. ?Cause I like it just how I like it. Baby, let me give you that 101. That 101. Go ahead and set the mood. And I'll sit back and watch you. Take your time trying to take me there. And when you see I'm ready ?another girl like you. just came home, baby. Whisper things to me and show me how you do it. Make me want it until I'm running from it. That's all I need you to do. Just make it special for me, baby. And if you get it right, you can be the only one. You can give me that. Baby, if you do it right. I might just have to keep you around here, baby. That 101, that 101. Let me think of you when you're not even around. I'll give you an A if you earn it. ?Cause I like it just how I like it. Baby, let me give you that 101. That 101. See, baby, it's the simple things. That will keep me right here next to you. Do it better than anyone could. Make me tell my girls how good is should be. Baby, listen to me, I'm telling you. I'm training you, I'm teaching you. I'm giving you this lesson on me. Gotta keep my body guessing. It's time I put your best in, I'm testing you. On this 101. Baby, if you do it right. I might just have to keep you around here, baby. That 101, that 101. Let me think of you when you're not even around. I'll give you an A if you earn it. ?Cause I like it just how I like it. Baby, let me give you that 101. That 101"
2 seconds too late,"As my last bags packed,. I look around tryna find a reason to stay.. How was I supposed to know. That there was so much that he wanted to say?. If the train that he took would've been on time,. Then maybe we'da caught back up.. If my heart would've told me to change my mind,. I would've been there when he showed back up.. But He's 2 seconds too late. I've already walked out & left him behind.. He's 2 seconds too late. He's chasing my shadow,. Running out of time.. I don't wanna look back.. Too scared to cry. I'll never know if he cared enough to try. 2 seconds made it too late.. Nothing left but the idea of him and I, him and I. I didn't think that he cared. And I was tired of tryna figure everything out.. I guess we both wanted to make a change,. But somehow we went down two different routes.. If he didn't make that turn, take the long way home,. Then maybe we'da caught back up.. Had the flowers, the candy, with open arms. To find himself standing there alone.. Cause he's 2 seconds too late. I've already walked out & left him behind.. He's 2 seconds too late. He's chasing my shadow,. Running out of time.. I don't wanna look back.. Too scared to cry. I'll never know if he cared enough to try. 2 seconds made it too late.. Nothing left but the idea of him and I, him and I. Why'd it take him so long to figure it out. Clock is tickin – i've been sittin' here pouring it out – my heart. My heart is empty.. Theres nothing left to hold on to now.. He's 2 seconds too late. I've already walked out & left him behind.. He's 2 seconds too late. He's chasing my shadow,. Running out of time.. I don't wanna look back.. Too scared to cry. I'll never know if he cared enough to try. 2 seconds made it too late.. Nothing left but the idea of him and I, him and I"
42 ways,"42 Ways to let you take control of me.. Pull me closer, tell me just how good's it's gonna be.. Sweat is pouring, it's feeling like a hundred degrees.. Wanna feeel you baby, (oh) way down in my knees. (yeah). [Chorus:]. I wanna be yours. All yours, all yours.. I wanna be yours. All yours, all yours.. Say I'm better than any girl who's ever tried to please you.. Make it wetter, swin so deep it makes me beg for more.. Now I'm going through it, crawling throw the sheets & up the walls.. Don't stop, we can make it last forever. I'm addicted to it all.. [Chorus:]. I wanna be yours. All yours, all yours.. I wanna be yours. All yours, all yours.. (Oh yeah, yeah... I wanna be... yeah... baby). Don't wanna be all alone at home tonight, let's make it happen.. Tell all your friends that you won'tbe going out ronight,. cancel your plans. (oh). Let me show you, why all the anticipation. was woth every second. (every second). I'm gonna be the best thing that's ever happened in your life.. [Chorus:]. I wanna be yours. All yours, all yours.. I wanna be yours. All yours, all yours."
admit it (feat. lil wayne),"[Hook: Snl]. I'm a thick motherfucker, I sit this on his lap. With my hand on his shooter, I lay them niggas back. Got somethin' for them niggas that react. I'm a bad motherfucker, I got this nigga's back. [Verse 1: Lil Wayne]. She said I know you ain't had yourself a good thick bitch in a minute. I saw some pictures of you boo'd up. It looks like you're starting to like 'em skinny. I said girl, you're a trip. She said ""I might be a trip but I ain't trippin'"". She said, ""watch these hoes cause they leeches like robbin'"". I say no, Robin Givens. She was sittin' on my lap and you know a nigga strapped. I know she feel it. It's crazy outchea, I'm just protecting myself. You know I'm winnin'. She say, ""I get it and if anything was to happen to you I be livid"". You ain't gotta be worried 'bout that. I kill a pussy nigga, put his head on exhibit. Come up missing think they caught a big fish. Till his body come up drippin'. I treat her legs like like a grand opening. Smilin' while I cut the ribbon. I took a pill, she took a pill. We was chillin' 20 minutes now we feel it. She said ""I know you probably hear this shit a lot but you the shit in my opinion"". I said it never gets old, thought I'd never say never but I did it. She said ""Who you kiddin' boy. You like a thick bitch, big booty, big titties"". I admit it, big booty, big titties, I admit it. [Hook: Snl]. [Interlude: Lil Wayne]. I like my girls Bbw. The type that wanna suck you dry then eat some lunch with you. She bout that foolishness, bout that trouble too. Booty on bubble, titties so fuckable. [Verse 2: Snl]. Okay, I know you ain't had yourself a good thick bitch in a minute. So I flick (?) boy you never liked them skinny. You tell me I'm a trip, well I might be a trip but I ain't trippin'. I'm just sayin' ooh ahh. Boy this here will keep you warm at night. Feed you good before you catch a flight. Stop actin' like you ain't got no type. Who you kiddin'?. [Verse 3: Lil Wayne]. I admit it, I admit it. But I got these guns on me right now. I got these drugs on me right now. I got the feds on me right now. I got two buyers, want it right now. She took her clothes off and I stopped. Looked at my watch like ""fuck it why not? "". Guess I could fuck her once then I'm out. Fucked so many times a nigga lost count, Lord. She said ""I know you thought that you was about to get a quick fix, hit and quit it. But you know you ain't been with a good thick bitch in a minute"". I said you ain? t never lying thought I? d never say never but I did it. She said speakin' of a line, are you finished?. All we need is a witness. Girl you trippin', young nigga still livin'. She said ""Who you kiddin' boy, you like a thick bitch, big booty, big titties"". I admit it, I like a thick bitch - big booty, big titties, I admit it. [Hook Interlude]"
american star (feat. lil wayne),"[Intro - Lil Wayne]. Wooo!. Music up please. (1, 2, 3). [Verse 1 - Lil Wayne]. Born and raised in the Usa. By the way of New Orleans were the killers stay. Okay?. Uh, uh, alright? yeah. Born and raised in the Usa. Where the Government?s watching what you do and say. Ayy aha, well alright? yeah. Well I?mma tell you this story ?bout a nigga with glory. Yeah I come from piss poor and now I live in six stories houses. Now hows this. Listening to my own voice in my black Rolls Royce. Get the girls of my choice to take off their shorts and blouses. I take off my trousers. Yeah, you don?t know nothing ?bout this. Ayyyy, I?m a dope boy with a guitar. [Chorus - Shanell]. Hey Daddy can ya let me. Ride with the band in the back seat. Riding with the dope boy (I?m a dope boy with a guitar). Tell ?em if they looking for me. I?m on the road to the next city. Riding with the dope boy. Dope boy with a guitar. [Verse 2 - Lil Wayne]. Born and raised in the Usa. By the way of New Orleans were the killers stay. But that?s okay? yeah? that?s alright, yeahh. I?m loved and praised in the Usa. My ancestors were slaves in the Usa. But not todayyy? it?s alright. Yeah, come on!. Oooooo. Dope boy with a guitar. [Chorus - Shanell]. Hey Daddy can ya let me (yeaahh). Ride with the band in the back seat. Riding with the dope boy (I?m a dope boy with a guitar). Tell ?em if they looking for me (daammnn). I?m on the road to the next city (woo). Riding with the dope boy. [Bridge - Lil Wayne]. Bridge!. Born and raised in the Usa. Where my president is B-L-A-C-K. Where my president is B-L-A-C-K. Where my president is B-L-A-C-K. I was born and raised in the Usa. And all I wanna do is play. So turn me up. Turn me up. So turn me up. Turn me uuuppp!!!"
"as da world turns (feat. gudda gudda, lil wayne & mack maine)","[bridge - lil wayne]. As I watch the trees fall down to the pavement. And a breeze turn to blazes. [verse 1 - gudda gudda]. I'mma tell these niggas: ""motherfuck the world"". On the real, nigga feel this. Punch a hole in the system like I got a steel fist. I don't trust a soul nigga, so I ride alone. And I've been paranoid ever since I got a phone. Yeah, better roll or get rolled over. You too cool nigga? you could get the cold shoulder. I'm from the city where the skinny niggas die. Ride, I survived and I made it out alive. And they wonder why my face look blank. Cause I don't give a fuck about what they say or think. Uh, nigga you see me with that face wall paint. Come on, pick your poison in the spray of a shake. Militant minded, the way gudda think. You could meet the devil, better pray for the saints. Militant minded, the way gudda think. Nigga you could meet the devil?. [hook - lil wayne]. One day this world gon' turn to ashes. So where's my matches? where's my matches?. I blow the flame out, the world is dark now. And everybody need their spark now. And I'm like: ""where's my matches, where's my matches? "". Put the whole world in a casket. And I'm gon' watch this world just burn to ashes. Turn to ashes, turn to ashes. [bridge - lil wayne]. As I watch the trees fall down to the pavement. And a breeze turn to blazes. [verse 2 - gudda gudda]. Starin' at the world through my rear view. Gotta stay high just so I can keep a clear view. Tryna do right, but I'm swervin' in the left lane. Tryna stay out of that black hole, watch my step man. They say money is the root of all evil. And we love it, so I guess me and you are all equal. Shit ain't been the same since hurricane katrina. Ike and rita, what happened with the fema?. Government officials not keeping it official. Like a ref with no whistle, so I'm tackling the issues. And they wonder why we act the way we act. Murder, murder, steal, steal. and sell crack to get stacks, but?. [verse 3 - lil wayne]. Where's my matches? where's my matches?. Put the whole world in a casket. And I'm gon' watch this world just burn to ashes. Turn to ashes. One day this world gon' turn to ashes. And I'mma just sit back laughing. And when I tried to kick that habit. Man I was like: ""where's my matches, where's my matches? "". This whole world is aware of my actions. But they ain't that bad compared to taxes. Ashes, all I see is ashes. As the world burns. [verse 4 - mack maine]. I'm a young arsonist on my late night johnny carson shit. I ain't never gave a fuck about the world. Cause they don't give a fuck about me, or my girl. Or my mama, in the midst of the drama, ya digg?. They try to pull you all the way back to get ahead of you. Then internal revenue gon' come for your revenue. Sayin' that you owe 33 of what you make. When the world die, I'mma be rejoicing at the wake. [bridge - shanell]. As I watch the trees fall down to the pavement. [hook - lil wayne]. And I'm like: my matches? where's my matches?. Put the whole world in a casket. And I'm gon' watch this world just burn to ashes. Turn to ashes, turn to ashes. One day this world gon' turn to ashes. So where's my matches? where's my matches?. I blow the flame out, the world is dark now. And everybody need their spark now. And I'm like: my matches? where's my matches?. Put the whole world in a casket. And I'm gon? watch this world just burn to ashes. Turn to ashes, turn to ashes. [bridge - lil wayne]. As I watch the trees fall down to the pavement"
