from this moment on,"From this moment life has begun. From this moment you are the one. Right beside you is where I belong. From this moment on. From this moment, I have been blessed. I live only, for your happiness. And for your love, I give my last breath. From this moment on. I give my hand to you with all my heart. I can't wait to live my life with you I can't wait to start. You and I will never be apart. My dreams came true because of you. From this moment, as long as I live. I will love you, I promise you this. There is nothing, I wouldn't give. From this moment on. You're the reason I believe in love. And you're the answer to my prayers from up above. All we need is just the two of us. My dreams came true because of you. From this moment, as long as I live. I will love you, I promise you this. There is nothing, I wouldn't give. From this moment, I will love you. As long as I live from this moment on"
man! i feel like a woman!,"Let's go girls!. I'm going out tonight - I'm feelin' alright. Gonna let it all hang out. Wanna make some noise- really raise my voice. Yeah, I wanna scream and shout. No inhibitions - make no conditions. Get a little outta line. I ain't gonna act politically correct. I only wanna have a good time. The best thing about being a woman. Is the prerogative to have a little fun and.... Oh, oh, oh, go totally crazy - forget I'm a lady. Men's shirts - short skirts. Oh, oh, oh, really go wild - yeah, doin' it in style. Oh, oh, oh, get in the action - feel the attraction. Color my hair - do what I dare. Oh, oh, oh, I wanna be free - yeah, to feel the way I feel. Man! I feel like a woman!. The girls need a break - tonight we're gonna take. The chance to get out on the town. We don't need romance - we only wanna dance. We're gonna let our hair hang down. The best thing about being a woman. Is the prerogative to have a little fun and.... Oh, oh, oh, go totally crazy - forget I'm a lady. Men's shirts - short skirts. Oh, oh, oh, really go wild - yeah, doin' it in style. Oh, oh, oh, get in the action - feel the attraction. Color my hair - do what I dare. Oh, oh, oh, I wanna be free - yeah, to feel the way I feel. Man! I feel like a woman!. I get totally crazy. Can you feel it. Come, come, come on baby. I feel like a woman"
you're still the one,"Spoken:. When I first saw you. I saw love. When the first time you touched me. I felt love. And after all this time. You're still the one that I love. Looks like we made it. Look how far we've come my baby. We might took the long way. We knew we'd get there someday. They said, ""I bet they'll never make it"". But just look at us holding on. We're still together still going strong. (You're still the one). You're still the one I run to. The one that I belong to. You're still the one I want for life. (You're still the one). You're still the one that I love. The only one I dream of. You're still the one I kiss good night. Ain't nothing better. We beat the odds together. I'm glad we didn't listen. Look at what we would be missin'. They said, ""I bet they'll never make it"". But just look at us holding on. We're still together still going strong. (You're still the one). You're still the one I run to. The one that I belong to. You're still the one I want for life. (You're still the one). You're still the one that I love. The only one I dream of. You're still the one I kiss good night. (You're still the one). You're still the one I run to. The one that I belong to. You're still the one I want for life. (You're still the one). You're still the one that I love. The only one I dream of. You're still the one I kiss good night. I'm so glad we made it. Look how far we've come my baby"
any man of mine,"This is what a woman wants.... Any man of mine better be proud of me. Even when I'm ugly he still better love me. And I can be late for a date that's fine. But he better be on time. Any man of mine'll say it fits just right. When last year's dress is just a little too tight. And anything I do or say better be okay. When I have a bad hair day. And if I change my mind. A million times. I wanna hear him say. Yeah, yeah, yeah yeah, yeah I like that way. Chorus:. Any man of mine better walk the line. Better show me a teasin' squeezin' pleasin' kinda time. I need a man who knows, how the story goes. He's gotta be a heartbeatin' fine treatin'. Breathtakin' earthquakin' kind. Any man of mine. Well any man of mine better disagree. When I say another woman's lookin' better than me. And when I cook him dinner and I burn it black. He better say, mmm, I like it like that. And if I change my mind. A million times. I wanna hear him say. Yeah, yeah, yeah, yeah, I like it that way. (Repeat Chorus). Let me hear you say yeah, yeah, yeah yeah, yeah I like it that way. (Repeat Chorus). You gotta shimmy shake. Make the earth quake. Kick, turn, stomp, stomp, then you jump. Heel to toe, Do Si Do. `Til your feet And your backache. Keep it movin' `till you just can't take anymore. Come on everybody on the floor. A-one two, a three four. Hup two, hup. If you wanna be a man of mine, that's right. This is what a woman wants..."
don't,"Don't! Don't you wish we'd tried?. Do you feel what I feel inside?. You know our love is stronger than pride. No! Don't let your anger grow. Just tell me what you need me to know. Please talk to me -- don't close the door. Cause' I wanna hear you,. Wanna be near you. Chorus:. Don't fight! Don't argue!. Give me the chance to say that I'm sorry. Just let me love you. Don't turn me away -- Don't tell me to go. Don't! Don't give up on trust. Don't give up on me -- on us. If we could just hold on long enough. We can do it!. We'll get through it!. Don't fight! Don't argue!. Just give me the chance to say that I'm sorry. Just let me love you. Don't turn me away -- Don't tell me to go. Don't pretend that it's okay. Things won't get better that way. Don't do something you might regret someday. Don't!. Don't give up on me. We can do it!. We'll get through it!. Don't fight! Don't argue!. Just give me the chance to say that I'm sorry. Just let me love you. Don't turn me away -- Don't tell me to go. Oh! Don't!. Don't fight! Don't argue! (Don't give up on me). give me the chance to say that I'm sorry (say that I'm sorry). Just let me love you (Don't give up on me). Don't turn me away -- Don't tell me to go. Oh don't!. Don't fight! Don't argue!. Just give me the chance to say that I'm sorry (say that I'm sorry). Just let me love you (Don't give up on me). Don't turn me away -- Don't tell me to go!"
forever and for always,"In your arms. I can still feel the way you want me. When you hold me. I can still hear the words you whispered. When you told me. I can stay right here forever in your arms. And there ain't no way. I'm lettin' you go now. And there ain't no way. And there ain't not how. I'll never see that day.... 'Cause I'm keeping you forever and for always. We will be together all of our days. Wanna wake up every morning to your sweet face. Always. Uhmmm, baby. In your heart. I can still hear a beat. For every time you kiss me. And when we're apart. I know how much you miss me. I can feel your love for me in your heart. And there ain't no way. I'm lettin' you go now. And there ain't now way. And there ain't no how. I'll never see that day.... 'Cause I'm keeping you forever and for always. We will be together all of our days. Wanna wake up every morning to your sweet face. Always. (I wanna wake up every morning). In your eyes. (I can still see the look of the one). I can still see the look of the one. Who really loves me. (I can still feel the way that you want). The one who wouldn't put anything else. In the world above me. (I can still see love for me). I can still see love for me in your eyes. (I still see the love). And there ain't no way. I'm lettin' you go now. And there ain't no way. And there ain't no how. I'll never see that day.... 'Cause I'm keeping you forever and for always. We will be together all of our days. Wanna wake up every morning to your sweet face. I'm keeping you forever and for always. We will be together all of our days. Wanna wake up every morning to your sweet face. I'm keeping you forever and for always. Now and forever. I'm in your arms"
i'm gonna getcha good!,"Let's go!. Don't wantcha for the weekend. Don't wantcha for a night. I'm only interested. if I can have you for life yeah. Uh, I know I sound serious. and baby I am. You're a fine piece of real estate. and I'm gonna get me some land. Oh yeah. So don't try to run. Honey, love can be fun. There's no need to be alone. When you find that someone. (I'm gonna getcha). I'm gonna getcha while I gotcha in sight. (I'm gonna getcha). I'm gonna getcha if it takes all night. (Yeah you can betcha). You can betcha by the time I say ""go"". you'll never say ""no"". (I'm gonna getcha). I'm gonna getcha. it's a matter of fact. (I'm gonna getcha). I'm gonna getcha. don'tcha worry about that. (Yeah, you can betcha). You can bet your bottom dollar. in time you're gonna be mine. Just like I should. I'll getcha good. Yeah. I've already planned it. here's how it's gonna be:. I'm gonna love you and. you're gonna fall in love with me. Yeah yeah. So don't try to run. Honey, love can be fun. There's no need to be alone. When you find that someone. (I'm gonna getcha). I'm gonna getcha while I gotcha in sight. (I'm gonna getcha). I'm gonna getcha if it takes all night. (Yeah you can betcha). You can betcha by the time I say ""go"". you'll never say ""no"". (I'm gonna getcha). I'm gonna getcha. it's a matter of fact. (I'm gonna getcha). I'm gonna getcha. don'tcha worry 'bout that. (Yeah, you can betcha). You can bet your bottom dollar. in time you're gonna be mine. Just like I should. I'll getcha good. Yeah I'm gonna getcha baby. I'm gonna knock on wood. I'm gonna getcha somehow honey. Yeah I'm gonna make it good. Yeah yeah yeah yeah. Oh yeah. So don't try to run. Honey, love can be fun. There's no need to be alone. When you find that someone. I'm gonna getcha. it's a matter of fact. (I'm gonna getcha). I'm gonna getcha. don'tcha worry 'bout that. (Yeah, you can betcha). (I'm gonna getcha). You can bet your bottom dollar. (I'm gonna getcha). in time you're gonna be mine. Oh, I'm gonna getcha. (It's a matter). (I'm gonna getcha). I'm gonna getcha real good. (Don'tcha worry). (I'm gonna getcha). Yeah you can betcha. (a bottom dollar). Oh, I'm gonna getcha. (I'm gonna getcha). Just like I should. I'll getcha good. Oh I'm gonna getcha good!"
come on over,"Get a life--get a grip. Get away somewhere, take a trip. Take a break--take control. Take advice from someone you know. CHORUS:. Come on over---come on in. Pull up a seat--take a load off your feet. Come on over--come on in. You can unwind--take a load off your mind. Make a wish--make a move. Make up your mind--you can choose. When you're up--when you're down. When you need a laugh come around. (CHORUS). Oh, oh, oh.... Be a winner--be a star. Be happy to be who you are. Gotta be yourself---gotta make a plan. Gotta go for it while you can. (CHORUS). Get a life--get a grip. Get away somewhere, take a trip. Take a break--take control. Take advice from someone you know. (CHORUS). Oh, oh, oh...."
ka-ching!,"We live in a greedy little world. that teaches every little boy and girl. To earn as much as they can possibly. then turn around and. Spend it foolishly. We've created us a credit card mess. We spend the money that we don't possess. Our religion is to go and blow it all. So it's shoppin' every Sunday at the mall. All we ever want is more. A lot more than we had before. So take me to the nearest store. [Chorus:]. Can you hear it ring. It makes you wanna sing. It's such a beautiful thing--Ka-ching!. Lots of diamond rings. The happiness it brings. You'll live like a king. With lots of money and things. When you're broke go and get a loan. Take out another mortgage on your home. Consolidate so you can afford. To go and spend some more when you get bored. All we ever want is more. A lot more than we had before. So take me to the nearest store. [Repeat Chorus]. Let's swing. Dig deeper in your pocket. Oh, yeah, ha. Come on I know you've got it. Dig deeper in your wallet. Oh. All we ever want is more. A lot more than we had before. So take me to the nearest store. [Repeat Chorus]. Can you hear it ring. It makes you wanna sing. You'll live like a king. With lots of money and things. Ka-ching!"
you've got a way,"You've got a way with me. Somehow you got me to believe. In everything that I could be. I've gotta say--you really got a way. You've got a way it seems. You gave me faith to find my dreams. You'll never know just what that means. Can't you see... you got a way with me. It's in the way you want me. It's in the way you hold me. The way you show me just what Iove's made of. It's in the way we make love. You've got a way with words. You get me smiling even when it hurts. There's no way to measure what your love is worth. I can't believe the way you get through to me. It's in the way you want me. It's in the way you hold me. The way you show me just what Iove's made of. It's in the way we make love. Oh, how I adore you. Like no one before you. I love you just the way you are. It's in the way you want me. It's in the way you hold me. The way you show me just what Iove's made of. It's in the way we make love"
(if you're not in it for love) i'm outta here!,"Mind if I sit down?. Can I buy you a round?. Haven't seen your face before. Are you new in town?. It's the same old line. Oh every time. Are you here alone?. Can I take you home?. Now every woman sees. With every ""pretty please"". There's a pair of lyin' eyes. And a set of keys. He says come be a star. In the back seat of my car. Oh but baby slow down. Your goin' way too far. Let me make it clear to you my dear. (Chorus:). If you're not in it for love (baby). If you're not willin' to give it all you got. If you're not in it for life. If you're not in it for love. Let me make it clear to you my dear. If you're not in it for love. I'm outta here!. Babe I can change your world. Make you a cover girl. Yeah you could be a beauty queen. In a magazine. Now tell me, what's you sign?. Why always the same old line?. I'll be in number 409. If you change your mind. Let me make it clear to you my dear. (Repeat Chorus). (Lead Solo). (Repeat Chorus). If you're not in it for life. If you're not in it for love. I'm outta here!"
because of you,"I'm independent to a fault, I know this well. But I finally found love without losing myself. I'm so much happier sharing my life. All of the good things and bad things alike. I'm not afraid of the truth, I'm not me without you. Because of you, I'm me. All of a sudden, I'm something I wasn't. Because of you, I see. Everything I can be, lonely is history. I know that I'm better when we're together. Because of you, I'm me. Well, there's nothing wrong with the world. Oh, when you smile. The most beautiful sound I ever heard. Is you breathing at night. When you're asleep and don't know I can hear. Sounds like an angel whispering in my ear. I don't know what I'd do. If it wasn't for you. Because of you, I'm me. All of a sudden, I'm something I wasn't. Because of you, I see. Everything I can be, lonely is history. I know that I'm better when we're together. Because of you, I'm me. I don't need you the way a child needs a home. It's more like I'm free to admit. I'm not too proud to say out loud. I am who I am 'cause you're part of me now. Because of you, I'm me. All of a sudden, I'm something I wasn't. Because of you, I see. Everything I can be, lonely is history. I know that I'm better when we're together. Because of you, I'm me. Oh, because of you, I'm me"
