there's nothing holdin' me back,"I wanna follow where she goes. I think about her and she knows it. I wanna let her take control. 'cause every time that she gets close, yeah. She pulls me in enough to keep me guessing. Maybe I should stop and start confessing. Confessing, yeah. Oh, I've been shaking. I love it when you go crazy. You take all my inhibitions. Baby, there's nothing holding me back. You take me places. That tear up my reputation. Manipulate my decisions. Baby, there's nothing holding me back. There's nothing holding me back. There's nothing holding me back. She says that she's never afraid. Just picture everybody naked. She really doesn't like to wait. Not really into hesitations. Pulls me in enough to keep me guessing. And maybe I should stop and start confessing. Confessing, yeah. Oh, I've been shaking. I love it when you go crazy. You take all my inhibitions. Baby, there's nothing holding me back. You take me places. That tear up my reputation. Manipulate my decisions. Baby, there's nothing holding me back. There's nothing holding me back. . 'Cause if we lost our minds. And we took it way too far. I know we'd be alright. Know we would be alright. If you are by my side. And we stumbled in the dark. I know we'd be alright. Oh no we would be alright. 'Cause if we lost our minds. And we took it way too far. I know we'd be alright. I know we would be alright. If you are by my side. And we stumbled in the dark. I know we'd be alright. We would be alright. Oh, I've been shaking. I love it when you go crazy. You take all my inhibitions. Baby, there's nothing holding me back. You take me places that tear up my reputation. Manipulate my decisions. Baby, there's nothing holding me back. There's nothing holding me back. I feel so free when you're with me, baby. Baby, there's nothing holding me back"
in my blood,"Help me. It's like the walls are caving in. Sometimes I feel like giving up. But, I just can't. It isn't in my blood. Laying on the bathroom floor. Feeling nothing. I'm overwhelmed and insecure. Give me something. I could take to ease my mind slowly. Just have a drink. And you'll feel better. Just take her home. And you'll feel better. Keep telling me that it gets better. Does it ever?. Help me. It's like the walls are caving in. Sometimes I feel like giving up. No medicine is strong enough. Someone help me. I'm crawling in my skin. Sometimes I feel like giving up. But I just can't. It isn't in my blood. It isn't in my blood. Looking through my phone again feeling anxious. Afraid to be alone again, I hate this. I'm trying to find a way to chill. can't breathe, oh. Is there somebody who could. Help me. It's like the walls are caving in. Sometimes I feel like giving up. No medicine is strong enough. Someone help me. I'm crawling in my skin. Sometimes I feel like giving up. But I just can't. it isn't in my blood. It isn't in my blood. I need somebody now. I need somebody now. Someone to help me out. I need somebody now. Help me. It's like the walls are caving in. Sometimes I feel like giving up. But I just can't. it isn't in my blood. It isn't in my blood. it isn't in my blood. I need somebody now. It isn't in my blood. I need somebody now. It isn't in my blood"
never be alone,I promise that one day I'll be around. I'll keep you safe. I'll keep you sound. Right now it's pretty crazy. And I don't know how to stop or slow it down. Hey. I know there are some things we need to talk about. And I can't stay. Just let me hold you for a little longer now. Take a piece of my heart and make it all your own. So when we are apart. You'll never be alone. You'll never be alone. You'll never be alone. When you miss me close your eyes. I may be far but never gone. When you fall asleep at night. Just remember that we lay under the same stars. And hey. I know there are some things we need to talk about. And I can't stay. So let me hold you for a little longer now. And take a piece of my heart and make it all your own. So when we are apart. You'll never be alone. You'll never be alone. You'll never be alone. (Woah oh oh oh oh oh whoa oh. oh oh oh oh oh oh whoa whoh oah...). You'll never be alone. (Woah oh oh oh oh oh whoa oh. oh oh oh oh oh oh whoa whoh oah...). You'll never be alone. (Woah oh oh oh oh oh whoa oh. oh oh oh oh oh oh whoa whoh oah...). You'll never be alone. (Woah oh oh oh oh oh whoa oh. oh oh oh oh oh oh whoa whoh oah...). And take a piece of my heart and make it all your own. So when we are apart. You'll never be alone. You'll never be alone
treat you better,"I won't lie to you. I know he's just not right for you. And you can tell me if I'm off. But I see it on your face. When you say that he's the one that you want. And you're spending all your time. In this wrong situation. And anytime you want it to stop. I know I can treat you better. Than he can. And any girl like you. deserves a gentleman. Tell me why are we wasting time. On all your wasted crying. When you should be with me instead. I know I can treat you better. Better than he can. I'll stop time for you. The second you say. You'd like me to. I just wanna give you the loving. That you're missing. Baby, just to wake up with you. Would be everything I need. And this could be so different. Tell me what you want to do. 'Cause I know I can treat you better. Than he can. And any girl like you. deserves a gentleman. Tell me why are we wasting time. On all your wasted crying. When you should be with me instead. I know I can treat you better. Better than he can. Better than he can. Give me a sign. Take my hand, we'll be fine. Promise I won't let you down. Just know that you don't. Have to do this alone. Promise I'll never let you down. . 'Cause I know I can treat you better. Than he can. And any girl like you. deserves a gentleman. Tell me why are we wasting time. On all your wasted crying. When you should be with me instead. I know I can treat you better. Better than he can. Better than he can. Better than he can. Better than he can. Better than he can"
mercy,"You've got a hold of me. Don't even know your power. I stand a hundred feet. But I fall when I'm around you. Show me an open door. Then you go and slam it on me. I can't take anymore. I'm saying baby. Please have mercy on me. Take it easy on my heart. Even though you don't mean to hurt me. You keep tearing me apart. Would you please have mercy. Mercy on my heart. Would you please have mercy. Mercy on my heart. I'd drive through the night. Just to be near you baby. Heart open and testify. Tell me that I'm not crazy. I'm not asking for a lot. Just that you're honest with me. My pride Is all I got. I'm saying baby. Please have mercy on me. Take it easy on my heart. Even though you don't mean to hurt me. You keep tearing me apart. Would you please have mercy on me. I'm a puppet on your string. And even though you got good intentions. I need you to set me free. Would you please have mercy. Mercy on my heart. Would you please have mercy. Mercy on my heart. Consuming all the air inside my lungs. Ripping all the skin from off my bones. I'm prepared to sacrifice my life. I would gladly do it twice. Consuming all the air inside my lungs. Ripping all the skin from off my bones. I'm prepared to sacrifice my life. I would gladly do it twice. Please have mercy on me. Take it easy on my heart. Even though you don't mean to hurt me. You keep tearing me apart. Would you please have mercy on me. I'm a puppet on your string. And even though you got good intentions. I need you to set me free. I'm begging you for mercy, mercy. On my heart. I'm begging you for mercy, mercy. On my heart"
stitches,"I thought that I've been hurt before. But no one's ever left me quite this sore. Your words cut deeper than a knife. Now I need someone to breathe me back to life. Got a feeling that I'm going under. But I know that I'll make it out alive. If I quit calling you my lover. Move on. You watch me bleed until I can't breathe. Shaking, falling onto my knees. And now that I'm without your kisses. I'll be needing stitches. Tripping over myself. Aching begging you to come help. And now that I'm without your kisses. I'll be needing stitches. Just like a moth drawn to a flame. Oh, you lured me in, I couldn't sense the pain. Your bitter heart cold to the touch. Now I'm gonna reap what I sow. I'm left seeing red on my own. Got a feeling that I'm going under. But I know that I'll make it out alive. If I quit calling you my lover. Move on. You watch me bleed until I can't breathe. Shaking, falling onto my knees. And now that I'm without your kisses. I'll be needing stitches. Tripping over myself. Aching begging you to come help. And now that I'm without your kisses. I'll be needing stitches. Needle and the thread. Gotta get you out of my head. Needle and the thread. Gonna wind up dead. Needle and the thread. Gotta get you out of my head. Needle and the thread. Gonna wind up dead. Needle and the thread. Gotta get you out of my head. Needle and the thread. Gonna wind up dead. Needle and the thread. Gotta get you out of my head, get you out of my head. You watch me bleed until I can't breathe. Shaking, falling onto my knees. (Falling on my knees). And now that I'm without your kisses. I'll be needing stitches. (And I'll be needing stitches). Tripping over myself. Aching begging you to come help. (Begging, ""baby, please""). And now that I'm without your kisses. I'll be needing stitches. (And now that). I'm without your kisses. I'll be needing stitches. (And now that). I'm without your kisses. I'll be needing stitches"
lost in japan,"All it'd take is one flight. We'd be in the same time zone. Looking through your timeline. Seeing all the rainbows, I. I got an idea. And I know that it sounds crazy. I just wanna see ya. Oh, I gotta ask. Do you got plans tonight?. I'm a couple hundred miles from Japan, and I. I was thinking I could fly to your hotel tonight. 'Cause I-I-I can't get you off my mind. Can't get you off my mind. Can't get you off my mind (oh). I can feel the tension. We could cut it with a knife. I know it's more than just a friendship. I can hear you think I'm right, yeah. Do I gotta convince you?. That you shouldn't fall asleep?. It'll only be a couple hours. And I'm about to leave. Do you got plans tonight?. I'm a couple hundred miles from Japan, and I. I was thinking I could fly to your hotel tonight. 'Cause I-I-I can't get you off my mind. Can't get you off my mind. Can't get you off my mind. Do you got plans tonight?. I was hoping I could get lost in your paradise. The only thing I'm thinking 'bout is you and I. 'Cause I-I-I can't get you off my mind. Can't get you off my mind. I can't seem to get you off my mind. Let's get lost tonight. Let's get lost tonight. Baby, you and. I can't seem to get you off my mind. Let's get lost tonight. Let's get lost tonight. Baby, you and. I can't seem to get you off my mind. Do you got plans tonight?. I'm a couple hundred miles from Japan, and I. I was thinking I could fly to your hotel tonight. 'Cause I-I-I can't get you off my mind. I can't get you off my mind. Do you got plans tonight, baby?. I was hoping I could get lost in your paradise. The only thing I'm thinking 'bout is you and I. And I-I-I can't get you off my mind. Can't get you off my mind. I can't seem to get you off my mind, yeah. Let's get lost tonight. Let's get lost tonight. Baby, you and. I can't seem to get you off my mind. Let's get lost tonight. Let's get lost tonight. Baby, you and. I can't seem to get you off my mind"
fallin' all in you,"Sunrise with you on my chest. No blinds in the place where I live. Daybreak open your eyes. 'Cause this was only ever meant to be for one night. Still, we're changing our minds here. Be yours, be my dear. So close with you on my lips. Touch noses, feeling your breath. Push your heart and pull away, yeah. Be my summer in a winter day, love. I can't see one thing wrong. Between the both of us. Be mine, be mine, yeah. Anytime, anytime. Ooh you know I've been alone for quite a while,. haven't I. I thought I knew it all. Found love but I was wrong. More times than enough. But since you came along. I'm thinking, baby. You are bringing out a different kind of me. There's no safety net that's underneath. I'm free, fallin' all in you. Fell for men who weren't how they appear. Trapped up on a tightrope now we're here. We're free, fallin' all in you. Fast forward a couple years, yeah. Grown up in the place that we live. Make love, then we fight. Laugh 'cause it was only meant to be for one night baby. I guess we can't control. What's just not up to us. Be mine, be mine, yeah. Anytime, anytime. Ooh you know I've been alone for quite a while,. haven't I. I thought I knew it all. Found love but I was wrong. More times than enough. But since you came along. I'm thinking, baby. You are bringing out a different kind of me. There's no safety net that's underneath. I'm free, fallin' all in you. Fell for men who weren't how they appear. Trapped up on a tightrope now we're here. We're free, fallin' all in you. Every time I see you, baby, I get lost. If I'm dreaming, baby, please don't wake me up. Every night I'm with you I fall more in love. Now I'm laying by your side. Everything feels right since you came along. I'm thinking, baby. You, yeah, are bringing out a different kind of me. There's no safety net that's underneath. I'm free, fallin' all in you. Fell for men who weren't how they appear. Trapped up on a tightrope now we're here. We're free, fallin' all in you. Fallin' all in"
use somebody,"I've been roaming around. Always looking down at all I see. Painted faces fill the places I can't reach. You know that I could use somebody. You know that I could use somebody. Someone like you. And all you know and how you speak. Countless lovers undercover on the street. You know that I could use somebody. Yeah, you know that I could use somebody. Someone like you. Someone like you. Someone like you (use somebody). Off in the night, while you live it up, I'm off to sleep, no. Waging wars to shape the poet and the beat. I hope it's gonna make you notice, yeah. I hope it's gonna make you notice. Someone like me (oh). Someone like me (oh). Someone like me (use somebody). You know that I could use somebody. I've been roaming around. Always looking down at all I see"
nervous,"I saw you on a Sunday in a cafe. And all you did was look my way. And my heart started to race. And my hands started to shake, yeah. I heard you asked about me through a friend. And my adrenaline kicked in. 'Cause I've been askin' 'bout you too. And now we're out here in this room. I get a little bit nervous around you. Get a little bit stressed out when I think about you. Get a little excited. Baby, when I think about you, yeah. Talk a little too much around you. (I talk a little too much, yeah). Get a little self-conscious when I think about you. (I get a little self-conscious). Get a little excited. (I get a little excited). Baby, when I think about you, yeah. Yeah, when I think about you, babe. We walked in the rain. A couple blocks to your apartment. You told me to come inside. Caught me staring in your eyes. And I'm not usually like this. But I like what you're doing to me. Ah, what you're doing to me. I get a little bit nervous around you. I get a little bit nervous. Get a little bit stressed out when I think about you. I get a little bit stressed out. Get a little excited. I get a little excited. Baby, when I think about you, yeah. Yeah, when I think about you, babe (oh yeah). Talk a little too much around you. I talk a little too much, yeah. Get a little self-conscious when I think about you. I get a little self-conscious. Get a little excited. I get a little excited. Baby, when I think about you. Yeah, when I think about you, babe. You got me acting like I've never done this before. I promise I'll be ready when I walk through the door. And I don't know why. No, I don't know why. Yeah. I get a little bit nervous around you. I get a little bit nervous. Get a little bit stressed out when I think about you. I get a little bit stressed out. Get a little excited. I get a little excited. Baby, when I think about you, yeah. Yeah, when I think about you, babe (oh yeah). Talk a little too much around you. I talk a little too much, yeah. Get a little self-conscious when I think about you. I get a little self-conscious. Get a little excited. I get a little excited. Baby, when I think about you. Yeah, when I think about you, babe"
