chandelier,"Party girls don't get hurt. Can't feel anything, when will I learn. I push it down, push it down. I'm the one ""for a good time call"". Phone's blowin' up, they're ringin' my doorbell. I feel the love, feel the love. 1, 2, 3 1, 2, 3 drink. 1, 2, 3 1, 2, 3 drink. 1, 2, 3 1, 2, 3 drink. Throw them back, till I lose count. I'm gonna swing from the chandelier. From the chandelier. I'm gonna live like tomorrow doesn't exist. Like it doesn't exist. I'm gonna fly like a bird through the night. Feel my tears as they dry. I'm gonna swing from the chandelier. From the chandelier. And I'm holding on for dear life. Won't look down, won't open my eyes. Keep my glass full until morning light. 'Cause I'm just holding on for tonight. Help me, I'm holding on for dear life. Won't look down won't open my eyes. Keep my glass full until morning light. 'Cause I'm just holding on for tonight. On for tonight. Sun is up, I'm a mess. Gotta get out now, gotta run from this. Here comes the shame, here comes the shame. 1, 2, 3 1, 2, 3 drink. 1, 2, 3 1, 2, 3 drink. 1, 2, 3 1, 2, 3 drink. Throw them back till I lose count. I'm gonna swing from the chandelier. From the chandelier. I'm gonna live like tomorrow doesn't exist. Like it doesn't exist. I'm gonna fly like a bird through the night. Feel my tears as they dry. I'm gonna swing from the chandelier. From the chandelier. And I'm holding on for dear life. Won't look down, won't open my eyes. Keep my glass full until morning light. 'Cause I'm just holding on for tonight. Help me, I'm holding on for dear life. Won't look down won't open my eyes. Keep my glass full until morning light. 'Cause I'm just holding on for tonight. On for tonight. On for tonight. 'Cause I'm just holding on for tonight. 'I'm just holding on for tonight. On for tonight. On for tonight. 'Cause I'm just holding on for tonight. 'Cause I'm just holding on for tonight. 'I'm just holding on for tonight. On for tonight. On for tonight"
cheap thrills,"Come on. Come on (turn the radio on). It's Friday night and I won't be long. Gotta do my hair (I put my make up on). It's Friday night and I won't be long. Till I hit the dance floor. Hit the dance floor!. I got all I need. No I ain't got cash!. No I ain't got cash!. But I got you baby. Baby I don't need dollar bills to have fun tonight. (I love cheap thrills...). Baby I don't need dollar bills to have fun tonight. (I love cheap thrills...). But I don't need no money. As long as I can feel the beat. I don't need no money. As long as I keep dancing. Come on, come on, turn the radio on. It's Saturday and I won't be long. Gotta paint my nails, put my high heels on. It's Saturday and I won't be long. Till I hit the dance floor. Hit the dance floor!. I got all I need!. No I ain't got cash. No I ain't got cash. But I got you baby. Baby I don't need dollar bills to have fun tonight. (I love cheap thrills). Baby I don't need dollar bills to have fun tonight. (I love cheap thrills). But I don't need no money. As long as I can feel the beat. I don't need no money. As long as I keep dancing. (I love cheap thrills!). (I love cheap thrills!). I don't need no money. As long as I can feel the beat. I don't need no money. As long as I keep dancing. (Oh, oh). Baby I don't need dollar bills to have fun tonight. (I love cheap thrills). Baby I don't need dollar bills to have fun tonight. (I love cheap thrills). But I don't need no money. As long as I can feel the beat. I don't need no money. As long as I keep dancing. Na, na, na, na, na, na, na. (I love cheap thrills)"
titanium,"You shout it loud. But I can't hear a word you say. I'm talking loud not saying much. I'm criticized but all your bullets ricochet. You shoot me down, but I get up. I'm bulletproof, nothing to lose. Fire away, fire away. Ricochets, you take your aim. Fire away, fire away. You shoot me down but I won't fall. I am titanium. You shoot me down but I won't fall. I am titanium. Cut me down. But it's you who'll have further to fall. Ghost town, haunted love. Raise your voice, sticks and stones may break my bones. I'm talking loud not saying much. I'm bullet proof, nothing to lose. Fire away, fire away. Ricochets, you take your aim. Fire away, fire away. You shoot me down but I won't fall. I am titanium. You shoot me down but I won't fall. I am titanium. I am titanium. I am titanium. Stone hard, machine gun. Firing at the ones who run. Stone hard, as bulletproof glass. You shoot me down but I won't fall. I am titanium. You shoot me down but I won't fall. I am titanium. You shoot me down but I won't fall. I am titanium. You shoot me down but I won't fall. I am titanium. I am titanium"
elastic heart,And another one bites the dust. Oh why can I not conquer love. And I might have thought that we were one. Wanted to fight this war without weapons. And I wanted it I wanted it bad. But there were so many red flags. Now another one bites the dust. Yeah let's be clear I'll trust no one. You did not break me. I'm still fighting for peace. I've got thick skin and an elastic heart. But your blade it might be too sharp. I'm like a rubberband until you pull too hard. I may snap and I move fast. But you won't see me fall apart. Cause I've got an elastic heart. I've got an elastic heart. I've got an elastic heart. And I will stay up through the night. Let's be clear won't close my eyes. And I know that I can survive. I'll walk through fire to save my life. And I want it I want my life so bad. I'm doing everything I can. Then another one bites the dust. It's hard to lose a chosen one. You did not break me. I'm still fighting for peace. I've got thick skin and an elastic heart. But your blade it might be too sharp. I'm like a rubberband until you pull too hard. I may snap and I move fast. But you won't see me fall apart. Cause I've got an elastic heart. I've got thick skin and an elastic heart. But your blade it might be too sharp. I'm like a rubberband until you pull too hard. I may snap and I move fast. But you won't see me fall apart. Cause I've got an elastic heart. I've got thick skin and an elastic heart. But your blade it might be too sharp. I'm like a rubberband until you pull too hard. I may snap and I move fast. But you won't see me fall apart. Cause I've got an elastic heart. I've got an elastic heart
bird set free,"Clipped wings, I was a broken thing. Had a voice, had a voice but I could not sing. You'd worn me down. I struggled on the ground. So lost, the line had been crossed. Had a voice, had a voice but I could not talk. You held me down. I struggle to fly now. But there's a scream inside we all try to hide. We hold on so tight, we cannot deny. Eats us alive, oh it eats us alive. Yes, there's a scream inside we all try to hide. We hold on so tight, but I don't wanna die, no. I don't wanna die, I don't wanna die. And I don't care if I sing off key. I find myself in my melodies. I sing for love, I sing for me. I'll shout it out like a bird set free. No I don't care if I sing off key. I find myself in my melodies. I sing for love, I sing for me. I'll shout it out like a bird set free. I'll shout it out like a bird set free. I'll shout it out like a bird set free. Now I fly, hit the high notes. I have a voice, have a voice, hear me roar tonight. You held me down. But I fought back loud. But there's a scream inside we all try to hide. We hold on so tight, we cannot deny. Eats us alive, oh it eats us alive. Yes, there's a scream inside we all try to hide. We hold on so tight, but I don't wanna die, no. I don't wanna die, I don't wanna die. And I don't care if I sing off key. I find myself in my melodies. I sing for love, I sing for me. I'll shout it out like a bird set free. No I don't care if I sing off key. I find myself in my melodies. I sing for love, I sing for me. I'll shout it out like a bird set free. I'll shout it out like a bird set free. I'll shout it out like a bird set free. I'll shout it out like a bird set free. I'll shout it out like a bird set free. I'll shout it out like a bird set free"
flames (with david guetta),"One foot in front of the other babe. One breath leads to another yeah. Just keep moving. Look within for the strength today. Listen now for the voice to say. Just keep moving. Go, go, go. Figure it out. figure it out, but don't stop moving. Go, go, go. Figure it out. figure it out, you can do this. So my love, keep on running. You gotta get through today. There my love, keep on running. Gotta keep those tears at bay. Oh, my love, don't stop burning. Gonna send them up in flames. In flames. Don't stop, tomorrow's another day. Don't stop, tomorrow you'll feel no pain. Just keep moving. Don't stop, the past'll trip you up. Don't stop, right now gotta be enough. Just keep moving. Go, go, go. Figure it out. figure it out, but don't stop moving. Go, go, go. Figure it out. figure it out, you can do this. So my love, keep on running. You gotta get through today. There my love, keep on running. Gotta keep those tears at bay. Oh, my love, don't stop burning. Gonna send them up in flames. In flames. In flames. In flames. Go, go, go. Figure it out. figure it out, but don't stop moving. Go, go, go. Figure it out. figure it out, you can do this. So my love, keep on running. You gotta get through today. There my love, keep on running. Gotta keep those tears at bay. Oh, my love, don't stop burning. Gonna send them up in flames. In flames"
cheap thrills (feat. sean paul),"[sean paul]. Up with it girl. Rock with it girl. Show dem it girl (bada bang bang). Bounce with it girl. Dance with it girl. Get with it girl (bada bang bang). [sia]. Come on, come on, turn the radio on. It's friday night and I won't be long. Gotta do my hair,. I put my make up on. It's friday night and I won't be long. Til I hit the dance floor (bada bang). Hit the dance floor (bada bang). I got all I need (sia). No I ain't got cash. No I ain't got cash. But I got you baby. (just you and me). Baby I don't need dollar bills. To have fun tonight. (I love cheap thrills). Baby I don't need dollar bills. To have fun tonight. (I love cheap thrills). But I don't need no money. You worth more than diamonds, more than gold. As long as I can feel the beat. Mek di beat jus tek control. I don't need no money. You're more than diamonds, more than gold. As long as I keep dancing. Free up yourself, get outa control. Come on, come on, turn the radio on. It's saturday and I won't be long. Gotta paint my nails, put my high heels on. It's saturday and I won't be long. Til I hit the dance floor (bada bang). Hit the dance floor (bada bang). I got all I need (sia). No I ain't got cash. No I ain't got cash. But I got you baby. (just you and me). Baby I don't need dollar bills. To have fun tonight. (I love cheap thrills). Baby I don't need dollar bills. To have fun tonight. (I love cheap thrills). But I don't need no money. You worth more than diamonds, more than gold. As long as I can feel the beat. Mek di beat jus tek control. I don't need no money. You're more than diamonds, more than gold. As long as I keep dancing. Free up yourself, get outa control. [sean paul]. Me and you girl, you and me. Drop it to di floor an mek. Mi see your energy because. Mi nah play na hide an seek. Wah fi see di ting you have. Weg mek me feel weak girl. Cause anytime you wine and kotch it. Di selector pull it up an pull. It pon repeat girl. I'm nah touch a dollar in my pocket. Cause nuttin in this world. Ain't more dan what you worth. But I don't need no money. You worth more than diamonds, more than gold. As long as I can feel the beat. Mek di beat jus tek control. I don't need no money. You worth more than diamonds, more than gold. As long as I keep dancing. Free up yourself, get outa control. Oh, oh. Baby I don't need dollar bills. To have fun tonight. (I love cheap thrills). Baby I don't need dollar bills. To have fun tonight. (I love cheap thrills). But I don't need no money. You worth more than diamonds, more than gold. As long as I can feel the beat. Mek di beat jus tek control. I don't need no money. You're more than diamonds, more than gold. As long as I keep dancing. Free up yourself, get outa control. La, la, la, la, la, la. (I love cheap thrills). La, la, la, la, la, la. (I love cheap thrills). La, la, la, la, la, la. (I love cheap thrills). La, la, la, la, la, la. (I love cheap thrills)"
unstoppable,"All smiles, I know what it takes to fool this town. I'll do it 'til the sun goes down and all through the night time. Oh yeah, oh yeah, I'll tell you what you wanna hear. Leave my sunglasses on while I shed a tear. It's never the right time, yeah, yeah. I put my armor on, show you how strong I am. I put my armor on, I'll show you that I am. I'm unstoppable. I'm a Porsche with no brakes. I'm invincible. Yeah, I win every single game. I'm so powerful. I don't need batteries to play. I'm so confident, yeah, I'm unstoppable today. Unstoppable today, unstoppable today. Unstoppable today, I'm unstoppable today. Break down, only alone I will cry out now. You'll never see what's hiding out. Hiding out deep down, yeah, yeah. I know, I've heard that to let your feelings show. Is the only way to make friendships grow. But I'm too afraid now, yeah, yeah. I put my armor on, show you how strong how I am. I put my armor on, I'll show you that I am. I'm unstoppable. I'm a Porsche with no brakes. I'm invincible. Yeah, I win every single game. I'm so powerful. I don't need batteries to play. I'm so confident, yeah, I'm unstoppable today. Unstoppable today, unstoppable today. Unstoppable today, I'm unstoppable today. Unstoppable today, unstoppable today. Unstoppable today, I'm unstoppable today. I put my armor on, show you how strong I am. I put my armor on, I'll show you that I am. I'm unstoppable. I'm a Porsche with no brakes. I'm invincible. Yeah, I win every single game. I'm so powerful. I don't need batteries to play. I'm so confident, yeah, I'm unstoppable today. Unstoppable today, unstoppable today. Unstoppable today, I'm unstoppable today. Unstoppable today, unstoppable today. Unstoppable today, I'm unstoppable today"
the greatest,"Uh-oh, running out of breath, but I. Oh, I, I got stamina. Uh-oh, running now, I close my eyes. Well, oh, I got stamina. And uh-oh, I see another mountain to climb. But I, I got stamina. And uh-oh, I need another love to be mine. Cause I, I got stamina. Don't give up; I won't give up. Don't give up, no no no. Don't give up; I won't give up. Don't give up, no no no. I'm free to be the greatest, I'm alive. I'm free to be the greatest here tonight, the greatest. The greatest, the greatest alive. The greatest, the greatest alive. Well, uh-oh, running out of breath, but I. Oh, I, I got stamina. Uh-oh, running now, I close my eyes. But, oh, I got stamina. And oh yeah, running to the waves below. But I, I got stamina. And oh yeah, I'm running and I'm just enough. And uh-oh, I got stamina. Don't give up; I won't give up. Don't give up, no no no. Don't give up; I won't give up. Don't give up, no no no. I'm free to be the greatest, I'm alive. I'm free to be the greatest here tonight, the greatest. The greatest, the greatest alive. The greatest, the greatest alive. Oh-oh, I got stamina. Oh-oh, I got stamina. Oh-oh, I got stamina. Oh-oh, I got stamina. Don't give up (no no) ; I won't give up (no no). Don't give up, no no no (nah). Don't give up; I won't give up. Don't give up, no no no. I'm free to be the greatest, I'm alive. I'm free to be the greatest here tonight, the greatest. The greatest, the greatest alive. (Don't give up, don't give up, don't give up, no no no). The greatest, the greatest alive. (Don't give up, don't give up, don't give up, no no no). The greatest, the greatest alive. (Don't give up, don't give up, don't give up; I got stamina). The greatest, the greatest alive. (Don't give up, don't give up, don't give up; I got stamina). The greatest, the greatest alive. (Don't give up, don't give up, don't give up; I got stamina). The greatest, the greatest alive. (Don't give up, don't give up, don't give up; I got stamina). The greatest, the greatest alive. (Don't give up, don't give up, don't give up; I got stamina). The greatest, the greatest alive. (Don't give up, don't give up, don't give up; I got stamina). The greatest, the greatest alive. (Don't give up, don't give up, don't give up; I got stamina). The greatest, the greatest alive. (Don't give up, don't give up, don't give up; I got stamina)"
sing for my life,"Love is the hardest, love is a battle. Oh, love brings out the best, the worst in my shadow. No, love is the greatest gift, let's kiss under the mistletoe. Love is the greatest gift, let's kiss under the mistletoe. Love is the greatest gift, let's kiss under the mistletoe. Oh, I wanna rise to the fight, to the fight. Oh I'm gonna thaw through the ice, through the ice. Yeah, I'm gonna love you in spite, oh in spite of it all. Oh, I'm gonna sing for my life, for my life. Oh, I'm gonna sing for my life, for my life. Oh, I'm gonna sing for my life, for my life. Oh, I'm gonna sing for my life, for my life. Oh, I'm gonna sing for my life, for my life. Love is the hardest, love is a war zone. No, love is a thousand question marks etched in black gold. Oh, love teach me all of your lessons here in the North Pole. Love teach me all of your lessons here in the North Pole. Oh, love teach me all of your lessons here in the North Pole. Oh, I wanna rise to the fight, to the fight. Oh I'm gonna thaw through the ice, through the ice. Yeah, I'm gonna love you in spite, oh in spite of it all. Oh, I'm gonna sing for my life, for my life. Oh, I'm gonna sing for my life, for my life. Oh, I'm gonna sing for my life, for my life. Oh, I'm gonna sing for my life, for my life. Oh, I'm gonna sing for my life, for my life"
