wannabe,"Yo I'll tell you what I want, what I really really want,. So tell me what you want, what you really really want,. I'll tell you what I want, what I really really want,. So tell me what you want, what you really really want,. I wanna, I wanna, I wanna, I wanna, I wanna really. Really really wanna zigazig ha.. If you want my future forget my past,. If you wanna get with me better make it fast,. Now don't go wasting my precious time,. Get your act together we could be just fine.. I'll tell you what I want, what I really really want,. So tell me what you want, what you really really want,. I wanna, I wanna, I wanna, I wanna, I wanna really. Really really wanna zigazig ha.. If you wanna be my lover,. you gotta get with my friends,. Make it last forever friendship never ends,. If you wanna be my lover, you have got to give,. Taking is too easy, but that's the way it is.. What do you think about that now you know how I feel,. Say you can handle my love are you for real,. I won't be hasty, I'll give you a try,. If you really bug me then I'll say goodbye.. Yo I'll tell you what I want, what I really really want,. So tell me what you want, what you really really want,. I wanna, I wanna, I wanna, I wanna, I wanna really. Really really wanna zig zig ha.. If you wanna be my lover,. you gotta get with my friends,. Make it last forever friendship never ends,. If you wanna be my lover, you have got to give,. Taking is too easy, but that's the way it is.. So here's a story from a to z,. you wanna get with me. You gotta listen carefully,. We got ""em"" in the place. who likes it in your face,. We got g like mc. who likes it on an. Easy v doesn't come for free,. she's a real lady,. And as for me, ha you'll see,. Slam your body down and wind it all around,. Slam your body down and wind it all around.. If you wanna be my lover,. you gotta get with my friends,. Make it last forever friendship never ends,. If you wanna be my lover, you have got to give,. Taking is too easy, but that's the way it is.. If you wanna be my lover, you gotta, you gotta, you gotta,. You gotta, you gotta, slam, slam, slam, slam,. Slam your body down and wind it all around,. Slam your body down and wind it all around,. Slam your body down and wind it all around,. Slam your body down zigazig ah.. If you wanna be my lover."
stop,"You just walk in, I make you smile. It's cool but you don't even know me. You take an inch, I run a mile. Can't win you're always right behind me. And we know that you could go and find some other. Take or leave it or just don't even bother. Caught in a craze, it's just a phase. Or will this be around forever. Don't you know it's going too fast. Racing so hard you know it won't last. Don't you know, what can't you see. Slow it down, read the sign. So you know just where you're going. Stop right now, thank you very much. I need somebody with the human touch. Hey you always on the run. Gotta slow it down baby, gotta have some fun. Do do... always be together. Ba da... stay that way forever. And we know that you could go and find some other. Take or leave it 'cause we've always got each other. You know who you are and yes, you're gonna breakdown. You're crossed the line. So you're gonna have to turn around. Don't you know it's going too fast. Racing so hard you know it won't last. Don't you know, what can't you see. Slow it down, read the sign. So you know just where you're going. Stop right now, thank you very much. I need somebody with the human touch. Hey you always on the run. Gotta slow it down baby, gotta have some fun. Gotta keep it down honey. Lay your back on the line. 'cause I don't care about the money. Don't be wasting my time. You need less speed, get off my case. You gotta slow it down baby. Just get out of my face. Stop right now, thank you very much. I need somebody with the human touch. Hey you always on the run. Gotta slow it down baby, gotta have some fun. Stop right now, thank you very much. I need somebody with the human touch. Hey you always on the run. Gotta slow it down baby, gotta have some fun. Stop right now, (stop right now) thank you very much. (we wanna thank you). I need somebody with (wanna thank you) the human touch. (stop right now). Hey you always on the run. Gotta (thank you very much) slow it down baby. Gotta have some fun (thank you very much)"
viva forever,"Do you still remember how we used to be,. Feeling together, believe in whatever. My love has said to me,. Both of us were dreamers, young love in the sun,. Felt like my saviour, my spirit I gave you,. We'd only just begun. Hasta mañana, always be mine. Viva forever, I'll be waiting,. Everlasting like the sun,. Live forever, for the moment,. Ever searching for the one.. Yes I still remember every whispered word,. The touch of your skin giving life from within. Like a love song never heard. Slipping through our fingers, like the sands of time,. Promises made, every memory saved. As reflections in my mind. Hasta mañana, always be mine. Viva forever, I'll be waiting,. Everlasting like the sun,. Live forever, for the moment,. Ever searching for the one. Back where I belong now, was it just a dream,. Feelings untold, they will never be sold,. And the secret's safe with me. Hasta mañana, always be mine. Viva forever (viva forever),. I'll be waiting (I'll be waiting),. Everlasting (everlasting). Like the sun (like the sun),. Live forever (live forever),. For the moment (for the moment),. Ever searching (ever searching). For the one (for the one),. Viva forever, I'll be waiting,. Everlasting like the sun,. Live forever (live forever), for the moment,. Ever searching for the one."
say you'll be there,"Say you'll be there. I'm giving you everything all that joy. Can bring this I swear. Last time that we had this conversation I. Decided we should be friends, yeah. But now we're going round in circles. Tell me will this deja vu never end?. Now you tell me that you've fallen in love. Well I never ever thought that would be. This time you gotta take it easy throwing far. Too much emotions at me. But any fool can see they're falling. I gotta make you understand. I'm giving you everything all that joy can bring. This I swear. And all that I want from you is a promise. You'll be there. Say you will be there. Won't you sing it with me. If you put two and two together you. Will see what our friendship is for. If you can't work this equation then. I guess I'll have to show you the door. There is no need to say you love me. It would be better left unsaid. I'm giving you everything. All that joy can bring, this I swear. And all that I want from you. Is a promise you'll be there. Yeah I want you. Any fool can see they're falling. Gotta make you understand. I'll give you everything on this I swear. Just promise you'll always be there. I'm giving you everything. All that joy can bring, this I swear. And all that I want from you. Is a promise you will be there"
2 become 1,"Candle light and soul forever. a dream of you and me together,. Say you believe it, say you believe it,. Free your mind of doubt and danger,. be for real don't be a stranger,. We can achieve it, we can achieve it. Come a little bit closer baby, get it on, get it on,. 'Cause tonight is the night when two become one. I need some love like I never needed love before. (wanna make love to ya baby). I had a little love, now I'm back for more. (wanna make love to ya baby). Set your spirit free, it's the only way to be. Silly games that you were playing,. empty words we both were saying,. Let's work it out boy, let's work it out boy,. Once again that if we endeavour,. Love will bring us back together,. Take it or leave it, take it or leave it. Are you as good as I remember baby,. get it on, get it on,. 'Cause tonight is the night when two become one. I need some love like I never needed love before. (wanna make love to ya baby). I had a little love, now I'm back for more. (wanna make love to ya baby). Set your spirit free, it's the only way to be. Be a little bit wiser baby, put it on, put it on,. 'Cause tonight is the night when two become one. I need some love like I never needed love before. (wanna make love to ya baby). I had a little love, now I'm back for more. (wanna make love to ya baby). I need some love like I never needed love before. (wanna make love to ya baby). I had a little love, now I'm back for more. (wanna make love to ya baby). Set your spirit free, it's the only way to be. it's the only way to be it's the only way to be"
goodbye,"No no no no, no no no no,. Listen little child, there will come a day. When you will be able, able to say. Never mind the pain, or the aggravation. You know there's a better way, for you and me to be. Look for a rainbow in every storm. Fly like an angel, heaven sent to me. Goodbye my friend. (I know you're gone, you said you're gone,. but I can still feel you here). It's not the end. (gotta keep it strong before the pain turns into fear). So glad we made it,. time will never change it - no no no. No no no no. Just a little girl, big imagination. Never letting no-one take it away. Went into the world (into the world), what a revelation. She found there's a better way for you and me to be. Look for a rainbow in every storm. Find out for certain, love's gonna be there for you. You'll always be someone's baby. Goodbye my friend. (I know you're gone, you said you're gone,. but I can still feel you here). It's not the end. (gotta keep it strong before the pain turns into fear). So glad we made it,. time will never change it, no no no. No no no no. You know it's time to say goodbye. No no no no. The times when we would play about. The way we used to scream and shout. We never dreamt you'd go your own sweet way. Look for a rainbow in every storm. Find out for certain love's gonna be there for you. You'll always be someone's baby. Goodbye my friend. (I know your gone, you said you're gone,. but I can still feel you here). It's not the end. (you gotta keep it strong before the pain turns into fear). So glad we made it time will never never change it. No no no no. you know it's time to say goodbye. No no no no. and don't forget you can rely. No no no no. you know it's time to say goodbye. No no no no. and don't forget on me you can rely. No no no no. I will help, help you on your way. No no no no. I will be with you every day"
spice up your life,"La la la la la la la la la. La la la la la la la. La la la la la la la la la. La la la la la la la. When you’re feeling sad and low. We will take you where you gotta go. Smiling, dancing, everything is free. All you need is positivity. Colours of the world (spice up your life!). Every boy and every girl (spice up your life!). People of the world (spice up your life!). Aah.... Slam it to the left (if you’re having a good time). Shake it to the right (if you know that you feel fine). Chicas to the front (huh huh) and go round. Slam it to the left (if you’re having a good time). Shake it to the right (if you know that you feel fine). Chicas to the front (huh huh). Hi, see ya, hold tight!. La la la la la la la la la. La la la la la la la. La la la la la la la la la. La la la la la la la. Yellow men in timbuktu. Colour for both me and you. Kung-fu fighting, dancin’ queen. Tribal spaceman and all that’s in between. Colours of the world (spice up your life!). Every boy and every girl (spice up your life!). People of the world (spice up your life!). Aah.... Slam it to the left (if you’re having a good time). Shake it to the right (if you know that you feel fine). Chicas to the front (huh huh) and go round. Slam it to the left (if you’re having a good time). Shake it to the right (if you know that you feel fine). Chicas to the front (huh huh). Hi, see ya, hold tight!. Flamenco, lambada, but hip-hop is harder. We moonwalk the foxtrot, then polka the salsa. Shake it shake it shake it, haka!. Shake it shake it shake it, haka!. Arriba!. Colours of the world (spice up your life!). Every boy and every girl (spice up your life!). People of the world (spice up your life!). Aah.... Slam it to the left (if you’re having a good time). Shake it to the right (if you know that you feel fine). Chicas to the front (huh huh) and go round. Slam it to the left (if you’re having a good time). Shake it to the right (if you know that you feel fine). Chicas to the front (huh huh). Hi, see ya, hold tight!. Slam it to the left (if you’re having a good time). Shake it to the right (if you know that you feel fine). Chicas to the front (huh huh) and go round. Slam it to the left (if you’re having a good time). Shake it to the right (if you know that you feel fine). Chicas to the front (huh huh). Hi, see ya, hold tight!"
too much,"Love is blind, as far as the eye can see,. deep and meaningless, words to me.. Easy lover, I need a friend,. Road to nowhere, twist and turns but will this never end.. Well my dear you'll know that he pleases me,(Pleases me). But short term solution ain't no resolution, That ain't no release for me.. Too much of something is bad enough,. But something coming over me to make me wonder,. Too much of nothing is just as tough,. I need to know the way to feel to keep me satisfied.. Unwrap yourself from around my finger,. Hold me too tight or left to linger.. Something fine built to last,. Slipped up there I guess we're running out of time too fast.. Yes my dear you know he soothes me ,(Moves me). There's no complication was no explanation, It's just a groove in me.. Too much of something is bad enought,(Bad enough). But something coming over me to make me wonder,. Too much of nothing is just as tough,(Just as tough). I need to know the way to feel to keep me satisfied.. What part of no don't you understand, (Understand, Understand). I want a man not a boy who thinks he can, boy who thinks he can.. Too much of something is bad enough,. But something coming over me to make me wonder,. Too much of nothing is just as tough,. I need to know the way to feel to keep me satisfied.. Too Much of nothing so why don't we give it a try,. Too much of something we're gonna be living a life.. Too Much of nothing so why don't we give it a try,. Too much of something we're gonna be living a life."
headlines (friendship never ends),"The time is now or never to fit the missing piece. To take this on together, you make me feel complete. We fall into the future and through the looking glass. The light shines over our heads and so it comes to pass. To go beyond the surface. To reach into your soul. This love is not demanding. My heart has told me so. I hold onto my hero with faith enough to fly. The power to imagine will keep this love alive. Let's make the headlines loud and true. I wanna tell the world I'm giving it all to you. Let's make the headlines loud and clear. The best things suddenly happen when you are here. If I lost my way you'd carry me home. Take me all the way to heaven, never leave it alone (everyday). And it's just like everything matters when you are here. (matters when you're here). And it feels so good every care's gone away. Your love is alive and it's making me sing. I could fly, wanna cry, want the whole world to know. We are together, c'mon baby let's go. Our words yet to be spoken will fall upon the page. Spelling out true devotion, is all we need to say. Let's make the headlines loud and true. (say you love me and i'll say I love you too). I wanna tell the world I'm giving it all to you. (just remember what's in your heart). Let's make the headlines loud and clear. (all the love I have i'll give to you my dear). The best things suddenly happen when you are here. (just remember, friendship never ends). If I lost my way you'd carry me home. Take me all the way to heaven, never leave it alone (everyday). And it's just like everything matters when you are here. (say you love me and i'll say I love you too). Let's make the headlines true this time. (just remember what's in your heart). There's no hiding from this magical state of mind. (I feel love, I feel, I feel love). If I lost my way you'd carry me home. (I know. You'd. Take. Me. All the way to heaven). Take me all the way to heaven, never leave me alone. And it's just like everything matters when you are here. (ev.ry. Thing. Matters, it really matters). Let's make the headlines loud and true. (I feel love, I feel, I feel love). Let's make the headlines. (yes I'm giving it all). And I'm giving it all to you"
woman,"Woman. . Can u truly love a woman. W O M A N, W O M A N, W O M A N. Truly love a woman. Madly, deeply. No longer are we teenagers. No longer hanging round the corner PLAYING GAMES WITH OUR FRIENDS. Sometimes we all get outrageous. We can be dirty, can be crazy, can be flirty and cool. Truly, madly, deeply. Louder baby, louder baby. W O M A N can you truly love a woman. Louder baby, louder baby. W O M A N can you be better than a woman. The early years were a lesson. Now we know what's goin' on this time we're strong in our feets. And now we're INDUSTRY PLAYERS. We're wearing G-strings, taking meetings, feelin' music to beats. Truly, madly, deeply. Louder baby, louder baby. W O M A N can you truly love a woman. Louder baby, louder baby. W O M A N can you be better than a woman. Madly, deeply, yeah. So happy now (so happy). Living' in a fantasy we just wanna be happy now. So happy now. Being every woman that we wanted to be, louder baby. W O M A N can you truly love a woman. louder baby, louder baby. W O M A N can you be better than a woman. louder baby, louder baby. W O M A N can you truly love a woman. louder baby, louder baby. W O M A N can you be better than a woman. W O M A N can u truly love a woman. heeeeeeeeyyyyyyy. W O M A N can u be better than a woman. madly, deeply. W O M A N can u truly love a woman. love a woman. W O M A N can u be better than a woman. W O M A N can u truly love a woman. louder baby, louder baby. W O M A N can u be better than a woman. W O M A N."
