the logical song,"When I was young. It seemed that life was so wonderful. A miracle, oh it was beautiful, magical. And all the birds in the trees. Well they'd be singing so happily. Oh joyfully, oh playfully watching me. But then they sent me away. To teach me how to be sensible. Logical, oh responsible, practical. And they showed me a world. Where I could be so dependable. Oh clinical, oh intellectual, cynical. There are times when all the world's sleep. The questions run too deep. For such a simple man. Won't you please, please tell me what we've learned. I know it sounds absurd. But please tell me who I am. Now watch what you say. Or they'll be calling you a radical. A liberal, oh fanatical, criminal. Oh won't you sign up your name. We'd like to feel you're. Acceptable, respectable, oh presentable, a vegetable. At night when all the world's sleep. The questions run so deep. For such a simple man. Won't you please, please tell me what we've learned. I know it sounds absurd. But please tell me who I am, who I am, who I am, who I am"
my kind of lady,"Let me tell you what I want to say. You're the only one who can make me feel this way. My kind of lady. No better love could I embrace. No better heart, no other face. Can quite compare with you. You came along and then you mend my broken dreams. I was so down and then as foolish as it seems. You gave me your affection. Yeh baby you came through. We'll make it you'll see. In spite of those who say it's wrong. This time we feel that we belong. Now we can truly say. We'll be together and that's all we'll ever need. We'll love each other, that's the way it's gonna be. And nothin' under the sun of moon. Can make us be apart. Oh my honey. You know I'll love you every day. When things go wrong we'll find a way. I'm so glad I met you. Much more than I can ever say. We're making plans and holding hands just like before. We'll try again, we'll make amends along the road. It's fellin' good, just like it should, this time we know. We'll share eachother's happiness for now and evermore. I've been wastin' my life away. I've got a message for you today. To tell you that you are. My kind of lady. I'm not the same since I met you. All of my dreams had fallen through. And then you came along. One magic night when things went right it was so fine. Looked in your eyes and realized that you were mine. And nothin' under the sun of moon. Can make us be apart. Oh my baby. You know I'll love you all the way. When times get hard we'll smile and say. I'm so glad I met you. I'll love you more and more each day. We're making plans and holding hands just like before. We'll try again, we'll make amends along the road. It's fellin' good, just like it should, this time we know. We'll share each other's happiness for now and evermore"
school,"I can see you in the morning when you go to school. Don't forget your books, you know you got to learn the golden rule. Teacher tells you stop your play and get on with your work. And be like Johnnie, too good, don't you know he never shirks?. He's coming along. After school is over you're playing in the park. Don't be out too late, don't let it get too dark. They tell you not to hang around and learn what life's about. And grow up just like them, won't let you work it out. And you're full of doubt. Don't do this and don't do that. What are they trying to do? Make a good boy of you. Do they know where it's at?. Don't criticize, they're old and wise. Do as they tell you to. Don't want the devil to. Come and put out your eyes. Maybe I'm mistaken expecting you to fight. Or maybe I'm just crazy, I don't know wrong from right. But while I'm still living, I've just got this to say. It's always up to you if you wanna be that. Wanna see that. Wanna see that way. You're coming along"
breakfast in america,"Take a look at my girlfriend. She's the only one I got. Not much of a girlfriend. Never seem to get a lot. Take a jumbo across the water. Like to see America. See the girls in California. I´m hoping it´s going to come true. But there´s not a lot I can do. Could we have kippers for breakfast. Mummy dear, Mummy dear. They got to have ´em in Texas. Cos everyone's a millionaire. I´m a winner, I´m a singer. Do you want my autograph. I´m a loser what a joker. I´m playing my jokes upon you. While there´s nothing better to do. Don´t you look at my girlfriend. She´s the only one I got. Not much of a girlfriend. Never seem to get a lot. Take a jumbo across the water. Like to see America. See the girls in California. I´m hoping it´s going to come true. But there´s not a lot I can do."
give a little bit,"Give a little bit. Give a little bit of your love to me. Give a little bit. I'll give a little bit of my love to you. There's so much that we need to share. So, send a smile and show you care. I'll give a little bit. I'll give a little bit of my life for you. To give a little bit. Give a little bit of your time to me. See the man with the lonely eyes. Oh, Take his hand, you'll be surprised. Give a little bit. Give a little bit of your love to me. Give a little bit. I'll give a little bit of my life for you. Now's the time that we need to share. So find yourself, we're on our way back home. Going home. Don't you need to feel at home?. Oh yeah, we gotta sing. You got a get a feeling.. Yeah, come along too.. Come a, come a, come a, come along.. Come along too.. For a long ride.. Come a long way. Sing it tonight"
a sting in the tail,"Well I don't care about the summer rain. I know it's good for the garden. Don't care what blue skies, they turn to grey. When you come around and try to run me down. The storm clouds darken...mmm...yeah. I don't get down when the leaves go brown. It's just a charm of the season. Well things in nature have their reason. But when you come along and try to do me wrong. Well the first time I'll ignore it. But don't you push me beyond the pale. But then you're going to find there's no more water in the well. And you may think you're going to walk right all over me. But there's a sting in the tail of this honey bee. The wind blows cold as the year grows old. Yeah that's just the natural way it goes. I feel a chill from my head down to my toes. Each time you call my name and tell me I'm to blame. Well the first time I'll ignore it but don't you push beyond the pale. Then you're going to find there's no more water in the well. And you may think you're going to walk right all over me. But there's a sting in the tail of this honey bee. I said the first time I'll ignore it but don't you push me beyond the pale. And then you're going to find there's no more water in the well. You may think you're going to walk right all over me. There's a sting in the tail of this honey bee. Yes there's a sting in the tail well the cold wind's going to blow. Let it rain, let it snow. And don't give me your grief, I can't take it any more...."
ain't nobody but me,"Let me tell you a story that'll make a change,. Let me tell you when I'm way out of range;. It's about a man who's crueler than me,. So promise not to cause a scene,. Heaven help the one's you love,. There's no big need for stars above. Well, you can run, you, know he'll find you,. It don't matter now, just look behind you,. You had your warn, and you knew the score,. You got it wrong, and that means war;. So, why'd you have to treat me rough,. Your explanation's not enough.. -Ain't nobody but me,. Gonna lie for you, gonna die for you;. Ain't no fish in the sea,. Gonna sigh for you, gonna try for you,. Gonna lie for you, gonna die for you,. Wooh-. You see, I got a mental disposition,. Sometimes, I'm mean, sometimes I'm vicious;. I'm Dr. Jekyll, I'm Mr. Hyde,. So if you wanna stay alive,. Just give me all you've got to give,. And, then perhaps I'll let you live.. -Ain't nobody but me,. Gonna lie for you, gonna die for you,. Ain't no fish in the sea,. Gonna sigh for you, gonna try for you,. Gonna lie for you, gonna die for you;. Gonna sigh for you, gonna try for you,. Gonna lie for you, gonna die for you.-. (HUSH) Now baby, stop your crying,. (OH YES) I know that I've been lying,. (HUSH) Now baby, stop your crying. (OH YES) I know that I've been lying. (HUSH) Now baby, stop your crying. (OH YES) I know that I've been lying. (HUSH) Now baby, stop your crying. (OH YES) I know that I've been lying. AAAaaa."
don't leave me now,Don't leave me now. Leave me out in the pouring rain. With my back against the wall. Don't leave me now. Don't leave me now. Leave me out with nowhere to go. And the shadows start to fall. Don't leave me now. Don't leave me now. Leave me out on this lonely road. As the wind begins to howl. Don't leave me now. Don't leave me now. All alone on this darkest night. Feeling old and cold and grey. Don't leave me now. Don't leave me now. Leave me holding an empty heart. As the curtain starts to fall. Don't leave me now. Don't leave me now. All alone in this crazy world. When I'm old and cold and grey and time is gone....
a soapbox opera,"A Soapbox Opera. . I hear, only what I want to hear. But, I have to believe in something. Have to believe in just one thing. I said Father Washington, you're all mixed up. Collecting sinners in an old tin cup. Well, spare a listen for a restless fool. There's something missing when I need your rules. Well hey there, You tell me you're a holy man. But, although I'm just a beginner. I don't see you as a winner. I said, Sister Robinson, you're all washed up. Collecting teardrops in a paper cup. If I could tell you what you need to know. If I could help you to get on with the show. Reverend Ebenezer, there's a storm in my head. Makes me hear what you said, just was it true?. So, what have I to do?. Well, what has he to do?. Oh, what is there to do?. Oh, oh, oh, oh. Mary, oh tell me what I'm living for. 'Cause I feel like I'm tossed in the river. Have you a son to deliver. I said, Father Washington, you're all mixed up. Collecting sinners in an old tin cup. You tell the children what they need to know. But will they listen when it's time to go. Oh, Sister Robinson, you're all wound up. Collecting teardrops in a paper cup. Can someone tell me what I need to know. Can someone help me to get on with the show"
take the long way home,"So you think you're a Romeo. Playing a part in a picture-show. Take the long way home. Take the long way home. Cos you're the joke of the neighborhood. Why should you care if you're feeling good. Take the long way home. Take the long way home. But there are times that you feel you're part of the scenery. All the greenery is comin' down, boy. And then your wife seems to think you're part of the furniture. Oh, it's peculiar, she used to be so nice. When lonely days turn to lonely nights. You take a trip to the city lights. And take the long way home. Take the long way home. You never see what you want to see. Forever playing to the gallery. You take the long way home. Take the long way home. And when you're up on the stage, it's so unbelievable. Unforgettable, how they adore you. But then your wife seems to think you're losing your sanity. Oh, calamity, is there no way out?. Althought you feel that you life's become a catastrophe. Oh, it has to be for you to grow, boy. When you look through the years and see what you could have been. Oh, what you might have been. If you'd had more time. So, when the day comes to settle down. Who's to blame if you're not around?. You took the long way home. You took the long way home"
