back for good,"I guess now it's time for me to give up. I feel it's time. Got a picture of you beside me. Got your lipstick mark still on your coffee cup. Got a fist of pure emotion. Got a head of shattered dreams. Gotta leave it, gotta leave it all behind now. Whatever I said, whatever I did I didn't mean it. I just want you back for good. Whenever I'm wrong just tell me the song and I'll sing it. You'll be right and understood. Unaware but underlined I figured out the story. It wasn't good. But in the corner of my mind I celebrated glory. But that was not to be. In the twist of separation you excelled at being free. Can't you find a little room inside for me. Whatever I said, whatever I did I didn't mean it. I just want you back for good. Whenever I'm wrong just tell me the song and I'll sing it. You'll be right and understood. And we'll be together, this time is forever. We'll be fighting and forever we will be. So complete in our love. We will never be uncovered again"
how deep is your love?,And when you rise in the morning sun. I feel your touch my hand in the pouring rain. And the moment that you wander far from me. I wanna feel you in my arms again. And you come to me on the summer breeze. Keep me warm in your love then you softly leave. Chorus:. And it's me you need to show. How deep is your love?. How deep is your love?. How deep is your love?. I really need to learn. 'Cause we're living in a world of fools. Breaking us down. When they all should let us be. We belong to you and me. I believe in you. You know you're the door to my very soul. You are the light in my deepest darkest hour. And you are my saviour when I fall. And you may not think. That I care for you. When you know down inside that I really do. (Repeat Chorus). You are the light. And you may not think. That I care for you. When you know down inside that I really do. (Repeat Chorus).
greatest day,"Today this could be, the greatest day of our lives. Before it all ends, before we run out of time. Stay close to me, stay close to me. Watch the world come alive tonight. Stay close to me. Tonight this could be the greatest night of our lives. Let’s make a new start, The future is ours to find. Can you see it, can you see it in my eyes. Can you feel it now, can you hold it in your arms tonight. Hold on hold on, hold on hold on (tonight). Hold on hold on. Stay close to me (hold on). Stay close to me. Watch the world come alive tonight. stay closes me. Hold your head high (hold on). Arms open wide. Yeah the world starts to come alive when you stay close it me. Today this could be the greatest day of our lives. Today this could be the greatest day of our lives. Oh and the world comes alive. And the world comes alive. And the would comes alive. Stay close to me (and the world comes alive) hold on. Stay close to me (and the world comes alive). Watch the world come alive tonight stay close to me (hold on). Stay cloes to me and the world comes alive. Stay close to me and the world comes alive. Watch the world come alive tonight (stay close to me)"
patience,"Just have a little, patience. I'm still hurting from a love I lost,. I'm feeling your frustration,. But any minute all the pain will stop,. Just hold me close inside your arms tonight,. don't be too hard on my emotions. (Chorus). Cause I, need time,. My heart is numb has no feeling,. So while I'm still healing,. Just try and have a little patience,. I really wanna start over again,. I know you wanna be my salvation,. The one that I can always depend,. I'll try to be strong, believe me,. I'm trying to move on,. It's complicated but understand me,. Cause I need time,. My heart is numb has no feeling,. So while I'm still healing,. Just try and have a little patience,. Yeah, have a little patience, Yeah. Cause this scar runs so deep,. It's been hard,. But I have to believe. Have a little patience,. Have a little patience,. Cause I, I just need time,. My heart is numb has no feeling,. So while I'm still healing,. just try, and have a little patience,. Have a little patience,. My heart is numb has no feeling,. So while I'm still healing. just try and have a little... Patience"
rule the world,"You light the skies, up above me. A star so bright, you blind me. Yeah yeah. Don't close your eyes. Don't fade away, don't fade away. Oh. Yeah you and me we can ride on a star. If you stay with me girl,. We can rule the world. Yeah you and me we can light up the sky. If you stay by my side. We can rule the world. If walls break down, I will comfort you. If angels cry, oh I'll be there for you. You've saved my soul. Don't leave me now don't leave me now. Yeah you and me we can ride on a star. If you stay with me, girl,. We can rule the world. Yeah you and me we can light up the sky. If you stay by me side. We can rule the world. All the stars are coming out tonight. They're lighting up the sky tonight. For you, for you. Yeah you and me we can ride on a star. If you stay with me, girl,. We can rule the world. Yeah you and me we can light up the sky. If you stay by me side. We can rule the world. All the stars are coming out tonight. They're lighting up the sky tonight. For you, for you"
these days,"Oh I can see the future. Coming to you. Crying with the sadness in your eyes. And I can find a faith in years I've wasted. Being around enough to feel alive. And when the world is broken, hurt and colder. No one ever knows the reason why. For the ones we may become. For the balance we have won. For the day we wish the sun. Gonna play it loud tonight. When you dream of a dream. And you live in the world. Every hope is a hope. For the best don't want you resting my bones. And you're calling me now. I will see you all the time. Should be out there living the life. And not just watching you. Take me back. Before we all explode. Before we turn to stone. Before the light is gone. Take me back. To where it all began. To where our memories grow. Before the day goes off. Tonight we gotta live for. We gotta live for these days. Tonight, tonight, we'll remember. We'll remember these days. What a day to believe. To believe in the night. Want a date to belong. To a face in the crowd to the beat of your heart. And the moment begin. And you're working it out. And you're holding us all. In your hands, don't want you waiting for. Take me back. Before we lose control. Before the tables turn. Before we break it off. Take me back. To where it all began. To where our memories grow. Before they take us off. Tonight we gotta live for. We gotta live for these days. Tonight, tonight, we'll remember. We'll remember these days. Oh I can see the future. Coming to you. Crying with the sadness in your eyes. And I can find a faith in years I've wasted. Being around enough to feel alive. And when the world is broken, hurt and colder. No one ever knows the reason why. For the ones we may become. For the balance we have won. For the day we wish the sun. Gonna play it loud tonight. Tonight we gotta live for. We gotta live for these days. Tonight, tonight, we'll remember. We'll remember these days. Tonight, tonight, we gotta live for. We gotta live for these days. Tonight, tonight, we'll remember. We'll remember these days. Oh oh oh oh. Oh oh oh oh. Oh oh oh oh. These days. Oh oh oh oh. Oh oh oh oh. Oh oh oh oh. These days. Oh oh oh oh. Oh oh oh oh. Oh oh oh oh. These days"
shine,"""Shine"". You, you're such a big star to me. You're everything I wanna be. But you're stuck in a hole and I want you to get out. I don't know what there is to see. But I know it's time for you to leave. We're all just pushing along. Trying to figure it out, out, out.. All your anticipation pulls you down. When you can have it all, you can have it all.. So come on, so come on, get it on. Don't know what you're waiting for. Your time is coming don't be late, hey hey. So come on. See the light on your face. Let it shine. Just let it shine. Let it shine.. Stop being so hard on yourself. It's not good for your health. I know that you can change. So clear your head ang come round. You only have to open your eyes. You might just get a big surprise. And it may feel good and you might want to smile, smile, smile.. Don't you let your demons pull you down. 'Cause you can have it all, you can have it all.. So come on, so come on, get it on. I don't know what you're waiting for. Your time is coming, don't be late, hey hey. So come on. See the light on your face. Let it shine. Just let it shine. Let it shine. Hey, let me know you. You're all that matters to me. Hey, let me show you. You're all that matters to me. So come on, get it on. I don't know what you're waiting for. Your time is coming don't be late, hey hey. So come on, see the light on your face. Let it shine. Just let it shine. Let it shine. Hey, let me know you. You're all that matters to me. Hey, let me show you. You're all that matters to me. Hey, let me know you. You're all that matters to me. Hey, let me show you. You're all that matters to me. So come on, see the light on your face. Let it shine. Just let it shine. Let it shine. *Lú Rocha*"
giants,"We're all giants, I can't believe it. We were giants all along. On the surface and all around us. We are giants, we are strong. I see you standing, see you dancing. On the pavement, in the park. We are giants, can you feel it. So much bigger than we thought. I think I might be heading out of body. I've gotta love, you've gotta love somebody. When I look in your eyes. I'm bigger than the night sky. As high as the sun, high as a storm. We are giants, we are giants. We are giants. There are giants across the water. There are giants heading home. In the middle of the madness. There are giants being born. I feel [?] glory. I've gotta love, you've gotta love somebody like you. When I look in your eyes. I'm bigger than the night sky. As high as the sun, high as a storm. We are giants, we are giants. When I look in your eyes. I'm bigger than the night sky. As high as the sun, high as a storm. We are giants, we are giants. We are giants in our hearts. We are giants, every one of us. We are giants in our hearts. We are giants, we are giants. When I look in your eyes. I'm bigger than the night sky. As high as the sun, high as a storm. We are giants, we are giants. We are giants. We are giants. As high as the sun, high as a storm. We are giants, we are giants. We are giants"
nobody else,"Making my way through old photographs. Of the night when you first stood by my side. Old friends with smiles some are here some are gone. Good memories of our senior high. Looking back we're the only couple still together. Even then I knew this love would be forever, I knew. Coz there's nobody else in this world that could love you. Any more than I do, always here for you. Nobody else in this world could love you more. Nobody could love you any more than I do. I'm still here for you. Our lives have all changed we've some a long way. Our faces show the lines of two young sons. And in their houses there will be pictures. Like the ones of you and me. Hope they can look back and smile just like we have done. Never once have I ever felt the need for another. We were strong and survived the storm in time to discover. To discover one another. (chorus). All of the smiles we have won. Jjust from looking back and reliving all the good times. And when we've been through all the pages. We just start again, we just start again, oh. (chorus)"
eight letters,We became the parade on the streets that we once cleaned. Expendable soldiers smiling at anything. Raised on a feeling our lives would have meaning eventually. We were once the answer and then you discover. You’re actually just one thing after another. And what was the question?. And why was the lesson so deafening?. This is all that matters now. And that was all that happened anyhow. You can look back but don’t stare. Maybe I can love you out of there. And when I went away. What I forgot to say. Was all I had to say. Eight letters three words one meaning. And outside forces didn’t make it easy. So I thought I’d go before you leave me. Self preservation was no explanation for anything. Oh but the truth is more than we’ll ever comprehend. I’m just starting to understand my friend. All of that distance. Cos I fell in love with the enemy. But this is all that matters now. And that was all that happened anyhow. You can look back but don’t stare. Maybe I can love you out of there. And when I went away. What I forgot to say. Was all I had to say. Eight letters three words one meaning. And when I went away. What I forgot to say. Was all I had to say. Eight letters three words one meaning. At last we meet on no man’s land. Just footprints in the sand. We meet on no man’s land. At last. And when I went away. What I forgot to say. Was all I had to say. Eight letters three words one meaning. And when I went away. What I forgot to say. Was all I had to say. Eight letters three words one meaning. One meaning. Just one meaning.. Uploaded by Hagentx.
said it all,"When the tears fall away. And there's no conversation. There's nothing left to break. That's not already broken. You're starring into space. And every inch of silence. Been standing here for days,and days. Chorus:. Said it all. Nothing to say it all. Nothing to say that matters. Haven't we heard enough?. Said it all. Nothing to say it all. Nothing to say that matters. Doesn't matter anymore. In the sudden light of day. The weight of expectation. Hurt begins to fade. As you find a new direction. Been talking here for days and days and days. Chorus. All of the miles of words we've spoken. All of the lines that got away. Didn't we take the time to say them all? (X2). Chorus"
everlasting,"It started on a Friday night. A million years ago. When the world was cold. We were only satellites. With nowhere left to go. When we settled, oh. Call it gravity. Or is it history. Where'd it go?. Where did you go?. It started on a Friday night. We were runnin' wild. We were flyin' high. Searchin' for the time of our lives. Everywhere we go. But never goin' home. And every tear we ever cried. Keeps the rivers of our lives. Flowin' back to me. (Flowin' back to me). And every thought we ever had. Every word we ever said. Is comin' back to me. And you know. Baby when the lights go out. We'll be dancin'. Even when the sky falls down. We'll be dancin'. Never runnin' out of time. Everlasting. 'Cause we're all stars. When we're dancin'. Baby when the lights go out. We'll be dancin'. Even when the sky falls down. We'll be dancin'. Never runnin' out of time. Everlasting. 'Cause we're all stars. When we're dancin'. Drivin' in a foreign town. It throws me every time. Tryin' to read the signs. I wonder what you're thinkin' now. When it's late at night. Do you realize?. That every song that made us cry. Made the voices of our lives. Sing in harmony. (Sing in harmony). And every thought we ever had. Every word we ever said. Is comin' back to me, oh-oh. And you know. Baby when the lights go out. We'll be dancin'. Even when the sky falls down. We'll be dancin'. Never runnin' out of time. Everlasting. 'Cause we're all stars. When we're dancin'. Baby when the lights go out. We'll be dancin'. Even when the sky falls down. We'll be dancin'. Never runnin' out of time. Everlasting. 'Cause we're all stars. For one last night. For all of time. A hundred years. A million more. I'm by your side. For one last night. For all of time. A hundred years. A million more. I'm by your side. So come on back to me, oh. Baby when the lights go out. We'll be dancin'. Even when the sky falls down. We'll be dancin'. Never runnin' out of time. Everlasting. 'Cause we're all stars. When we're dancin'. (For one last night). Baby when the lights go out. (For all of time). Even when the sky falls down. (For one last night). Never runnin' out of time. Everlasting. 'Cause we're all stars. When we're dancin'"
the circus,"Silence please 'cos I've got something to say. And I'm going round in circles every day. The more I shout the more I hesitate. Now that you're gone. Now that you're gone. Stand up please til I'm done losing my mind. And I've thanked you all just one too many times. The more we fall the harder we must climb. Now that you're gone. Now that you're gone. 'Cos everybody loves a circus show. But I'm the only clown you'll ever know. And now you can applaud my best mistake. I love you was too many words to say,too say. Silence please 'cos I've got something to say. And before the music takes you all away. I never though I'd leave it all so late. Now that you're gone,Oh you're gone. Yeah,everybody loves a circus show. But I'm the only clown you'll ever know. And now you can applaud my best mistake. I love you was too many words to say. I love you was too many words to say,to say. I never though I'd leave it all so late. Now that you're gone,Oh you're gone. Yeah,everybody loves a circus show. But I'm the only clown you'll ever know. And now you can applaud my best mistake. I love you was too many words to say. I love you was too many words to say,to say"
love love,"You bring me right back down to the earth from the promised land. We're getting close to the centre of the earth with an honest plan. You'll never be your mother or your father do you understand?. Do you understand?. We don't have too much time here. And time it travels far too fast. We're not too far we're down here. Before they take it from our hands. Why don't you teach your heart to feel. And give you love love. Give you love love. Give it all away. Why don't you teach your heart to talk. And give you love love. Give you love love. Give me give me what I need. We'll take you right back down to the earth from the mother land. This is a first class journey from the Gods to the son of man. You're at the gates of human evolution don't you understand. Why don't you understand, understand. We don't have too much time here. And time it travels far too fast. We're not too far we're down here. Before they take it from our hands. Why don't you teach your heart to feel. And give you love love. Give you love love. Give it all away. Why don't you teach your heart to talk. And give you love love. Give you love love. Give it all away. Why don't you teach your heart to feel. And give you love love. Give you love love. Give it all away. Why don't you teach your heart to talk. And give you love love. Give you love love. Give me give me what I need. We don't have too much time here. And time it travels far too fast. We're not too far, we're down here. Before they take it from our hands. Why don't you teach your heart to feel. And give you love love. Give you love love. Give it all away. Why don't you teach your heart to talk. And give you love love. Give you love love. Give it all away. Why don't you teach your heart to feel. And give you love love. Give you love love. Give it all away. Why don't you teach your heart to talk. And give you love love. Give you love love. Give me give me what I need"
the flood,"Standing on the edge of forever. At the start of whatever. Shouting love at the World.. Laughing we were like cavemen. But we met the moon and the stars. Then we forgave them. We will meet you where the lights are. The defenders of the faith we are. Where the thunder turns around. They'll run so hard we'll tear the ground away. You know no-one dies in these love drowned eyes. Through our love drowned eyes. We'll watch you sleep tonight. Although no-one understood. We were holding back the flood. Learning how to dance the rain.. We were holding back the flood. They said we'd never dance again. Breathin' but none of us leavin'. Wash your mouth son or you'll find yourself floatin' home. Here we come now on a dark star. Seeing demons not what we are. Tiny minds and eager hands will try to strike. But now we'll last the day. There's progress now where there once was not. Where there once was not. Then everything came along.. Although no-one understood. We were holding back the flood. Learning how to dance the rain.. There was more of them than us. Now they'll never dance again. Although no-one understood. There was more of them than us. Learning how to dance the rain.. We were holding back the flood. They said we'd never dance again. We will meet you where the lights are. The defenders of the faith we are. When the thunder turns around. They'll run so hard we'll tear the ground away. Although no-one understood. There was more of them than us. Learning how to dance the rain.. (Learning how to dance the rain). There was more of them than us. Now they'll never dance again. (Now we'll never dance again). No-one, no-one, no-one, no-one"
let in the sun,"You found yourself alone a room. Total devastation. In the darkness you must stand to the cold. And crack the combination all on your own. Pick yourself up and search for the light. Hungry for a new start. It's your chance now to stand up and fight. Take the next step now a day at a time. Open up, open up, everybody's waiting. From high above, feel the love. Open up your windows. Let in the sun. Let in the sun. Let in the sun. Just let in the sun. Good to see you with your feet on the track. Waiting for a restart. Leaving comfort once was holding you back. Want you to see the sunrise as fast as you can. Pick it up, turn it round. Want you to see the sunrise as fast as you can. Open up, open up everybody's waiting. From high above, feel the love. Open up your windows. Let in the sun. Let in the sun. Let in the sun. Just let in the sun. Feel the air you're breathing in. Feel the warmth upon your skin. Looking out and looking in. OOh. Every colour in your eyes. In reflection of the light. Every minute every night. Open up, open up everybody's waiting. From high above, feel the love. Open up your windows. Let in the sun. Let in the sun. Let in the sun. Let in the sun. Just let in the sun. Ohh let in the sun. Let in the sun. Let in the sun"
superstar,"Standing on a ledge, looking down. Somebody shouting ""Don't jump, don't hit the ground"". Standing here closer to the moon. Get my halo ready. Don't worry, I'll be there soon. Somewhere up ahead I hear it coming. Like a bullet to the brain. Somewhere in the crowd I feel the loving. Will we ever be the same?. I'm a superstar. I'm a superstar. I'm a superstar. It's gonna be a long way down. Lying on train track, ooh, there's a train coming. Faster than a hurricane. Don't mind me, look away, I'm the stranger. No one knew that I could save the day. Put me on a list, my name and number. Tell them that I've come so far. Gonna be as loud as rain and thunder. And now I'm ready for the stars. I'm a superstar. I'm a superstar. I'm a superstar. It's gonna be a long way down. Can you see me right now?. Can you hear me right now?. Can you see me right now?. Gonna have my fifteen minutes of fame. Gonna have so much fun playing the game. 'Cause I'm a superstar. I'm a superstar. Gonna sign my name on a photograph. Oh this champagne life no it ain't so bad. 'Cause I'm a superstar. Yeah, I'm a superstar. (Superstar). (Superstar). 'Cause I'm a superstar. (It's gonna be a long way down). Gonna have my fifteen minutes of fame. Gonna have so much fun playing the game. 'Cause I'm a superstar. It's gonna be a long way down"
hello,"I'd watch the world go by in the morning. Loose myself in the news. Looks like the cost of house are falling. But I don't notice. I'd write a long love song with no meaning. And hope nobody would hear. A life of filter coffee and dreamin'...dreamin'. Though that anyone could change my view. But everything looks different when I'm looking around with you. Chorus:. Glad you took the time to say hello,hello. Now I don't ever wanna let you go ,oh no. All the bells are ringing out. All the birds are singing out. Glad you took the time to say hello...oh oh oh. I'd lock myself away in the evening and rid to ever come out. Watch TV and get lost in my feelin'...feelin'. Never though that anyone could change my view. But everything looks different when I'm looking around with you. Chorus. It's a lovely day,it's a lovely day. Never though that anyone could change my view. But everything looks different when I'm looking around with you. Chorus. Hello,hello,hello,hello,hello,hello (repeat). All the bells are ringing out. All the birds are singing out. Glad you took the time to say hello. Oh oh oh ""Hello"". Hello,hello,hello,hello,hello,hello"
