blank space,"Nice to meet you, where you been?. I could show you incredible things. Magic, madness, heaven, sin. Saw you there, and I thought. ""Oh my God, look at that face"". You look like my next mistake. Love's a game, wanna play?. New money, suit and tie. I can read you like a magazine. Ain't it funny, rumours fly. And I know you heard about me. So hey, let's be friends. I'm dying to see how this one ends. Grab your passport and my hand. I can make the bad guys good for a weekend. So it's gonna be forever. Or it's gonna go down in flames. You can tell me when it's over. If the high was worth the pain. Got a long list of ex lovers. They'll tell you I'm insane. 'Cause, you know, I love the players. And you love the game. 'Cause we're young, and we're reckless. We'll take this way too far. It'll leave you breathless or with a nasty scar. Got a long list of ex lovers. They'll tell you I'm insane. But I got a blank space, baby. And I'll write your name. Cherry lips, crystal skies. I could show you incredible things. Stolen kisses, pretty lies. You're the king, baby I'm your queen. Find out what you want. Be that girl for a month. But the worst's yet to come. Screaming, crying, perfect storms. I can make all the tables turn. Rose garden filled with thorns. Keep you second guessing like. ""Oh my God, who is she? "". I get drunk on jealousy. But you'll come back each time you leave. 'Cause darling, I'm a nightmare dressed like a daydream. So, it's gonna be forever. Or it's gonna go down in flames. You can tell me when it's over. If the high was worth the pain. Got a long list of ex lovers. They'll tell you I'm insane. 'Cause, you know, I love the players. And you love the game. 'Cause we're young, and we're reckless. We'll take this way too far. It'll leave you breathless or with a nasty scar. Got a long list of ex lovers. They'll tell you I'm insane. But I got a blank space, baby. And I'll write your name. Boys only want love if it's torture. Don't say I didn't, say I didn't warn ya. Boys only want love if it's torture. Don't say I didn't, say I didn't warn ya. So, it's gonna be forever. Or it's gonna go down in flames. You can tell me when it's over. If the high was worth the pain. Got a long list of ex lovers. They'll tell you I'm insane. 'Cause, you know, I love the players. And you love the game. 'Cause we're young, and we're reckless. We'll take this way too far. It'll leave you breathless or with a nasty scar. Got a long list of ex lovers. They'll tell you I'm insane. But I got a blank space, baby. And I'll write your name"
delicate,"This ain't for the best. My reputation's never been worse, so. You must like me for me. We can't make. Any promises now, can we, babe?. But you can make me a drink. Dive bar on the east side. Where you at?. Phone lights up my nightstand. In the black. Come here, you can meet me. In the back. Dark jeans and your Nikes. Look at you. Oh damn, never seen that color blue. Just think of. the fun things we could do. 'Cause I like you. This ain't for the best. My reputation's never been worse, so. You must like me for me. Yeah, I want you. We can't make. Any promises now, can we, babe?. But you can make me a drink. Is it cool that I said all that?. Is it chill that you're in my head?. 'Cause I know that it's delicate. (delicate). Is it cool that I said all that?. Is it too soon to do this yet?. 'Cause I know that it's delicate. Isn't it? Isn't it?. Isn't it? Isn't it?. Isn't it? Isn't it?. Isn't it? Isn't it?. Delicate. Third floor on the west side, me and you. Handsome, you're a mansion with a view. Do the girls back home. touch you like I do?. Long night, with your hands up in my hair. Echoes of your footsteps on the stairs. Stay here, honey. I don't wanna share. 'Cause I like you. This ain't for the best. My reputation's never been worse, so. You must like me for me. Yeah, I want you. We can't make. Any promises now, can we, babe?. But you can make me a drink. Is it cool that I said all that?. Is it chill that you're in my head?. 'Cause I know that it's delicate (delicate). Is it cool that I said all that?. Is it too soon to do this yet?. 'Cause I know that it's delicate. Isn't it? Isn't it?. Isn't it? Isn't it?. Isn't it? Isn't it?. Isn't it? Isn't it?. Delicate. Sometimes I wonder when you sleep. Are you ever dreaming of me?. Sometimes when I look into your eyes. I pretend you're mine, all the damn time. 'Cause I like you. Is it cool that I said all that?. Is it chill that you're in my head?. 'Cause I know that it's delicate (delicate). Yeah, I want you. Is it cool that I said all that?. Is it too soon to do this yet?. 'Cause I know that it's delicate (delicate). 'Cause I like you. Is it cool that I said all that?. Isn't it? Isn't it?. Isn't it? Isn't it?. Is it chill that you're in my head?. Isn't it? Isn't it?. Isn't it? Isn't it?. 'Cause I know that it's delicate. (delicate). Isn't it? Isn't it?. Isn't it? Isn't it?. Is it cool that I said all that?. Isn't it? Isn't it?. Isn't it? Isn't it?. Is it too soon to do this yet?. Isn't it? Isn't it? Isn't it? Isn't it?. 'Cause I know that it's delicate. Delicate"
love story,"We were both young. When I first saw you. I close my eyes. And the flashback starts. I'm standing there. On a balcony in summer air. I see the lights. See the party, the ball gowns. I see you make your way. Through the crowd. And say Hello. Little did I know. That you were Romeo. You were throwing pebbles. And my daddy said ""Stay away from Juliet"". And I was crying on the staircase. Beggin' you ""Please don't go"". And I said. Romeo take me. Somewhere we can be alone. I'll be waiting. All that's left to do is run. You'll be the Prince. And I'll be the Princess. It's a Love Story. Baby just say ""Yes"". So I sneak out. To the garden to see you. We keep quiet. Cause we were dead if they knew. So close your eyes. Escape this town for a little while. Cause you were Romeo. I was a Scarlett Letter. And my daddy said ""Stay away from Juliet"". But you were everything to me. And I was beggin' you Please don't go. And I said. Romeo take me. Somewhere we can be alone. I'll be waiting. All that's left to do is run. You'll be the Prince. And I'll be the Princess. It's a Love Story. Baby just say ""Yes"". Romeo save me. They're trying to tell me how to feel. This love is difficult. But it's real. Don't be afraid. We'll make it out of this mess. It's a Love Story. Baby just say ""Yes"". I got tired of waiting. Wonderin' if you were ever comin' around. My faith in you was fading. When I met you on the outskirts of town. And I said. Romeo save me. I've been feelin' so alone. I keep waiting for you. But you never come. Is this in my head?. I don't know what to think. He knelt to the ground. And pulled out a ring. And said. Marry me Juliet. You'll never have to be alone. I love you. And that's all I really know. I talked to your dad. Go pick out a white dress. It's a Love Story. Baby just say Yes. Oh oh. Oh oh oh. Cause we were both young. When I first saw you"
look what you made me do,"I don't like your little games. Don't like your tilted stage. The role you made me play. Of the fool. No, I don't like you. I don't like your perfect crime. How you laugh when you lie. You said the gun was mine. Isn't cool. No, I don't like you. Ooh. But I got smarter. I got harder. In the nick of time. Honey I rose up from the dead. I do it all the time. I got a list of names. And yours is in red, underlined. I check it once. Then I check it twice. Ooh. Ooh look what you made me do. Look what you made me do. Look what you just made me do. Look what you just made me do. Ooh look what you made me do. Look what you made me do. Look what you just made me do. Look what you just made me do. I don't like your kingdom keys. They once belonged to me. You asked me for a place to sleep. Locked me out. And threw a feast (What?). The world moves on. Another day. Another drama drama. But not for me. Not for me. All I think about is karma. And then the world moves on. But one thing is for sure. Maybe I got mine. But you'll all get yours. But I got smarter. I got harder. In the nick of time. Honey I rose up from the dead. I do it all the time. I got a list of names. And yours is in red, underlined. I check it once. Then I check it twice. Ooh. Ooh look what you made me do. Look what you made me do. Look what you just made me do. Look what you just made me do. Ooh look what you made me do. Look what you made me do. Look what you just made me do. Look what you just made me do. I don't trust nobody. And nobody trusts me. I'll be the actress. Starring in your bad dreams. I don't trust nobody. And nobody trusts me. I'll be the actress. Starring in your bad dreams. I don't trust nobody. And nobody trusts me. I'll be the actress. Starring in your bad dreams. I don't trust nobody. And nobody trusts me. I'll be the actress. Starring in your bad dreams. ""I'm sorry, the old Taylor. can't come to the phone right now. Why?. Oh, 'cause she's dead. "". Ooh look what you made me do. Look what you made me do. Look what you just made me do. Look what you just made me do. Ooh look what you made me do. Look what you made me do. Look what you just made me do. Look what you just made me do. Ooh look what you made me do. Look what you made me do. Look what you just made me do. Look what you just made me do. Ooh look what you made me do. Look what you made me do. Look what you just made me do. Look what you just made me do"
shake it off,"I stay out too late. Got nothing in my brain. That's what people say. That's what people say. I go on too many dates. But I can't make them stay. At least that's what people say. That's what people say. But I keep cruising. Can't stop, won't stop moving. It's like I got this music. In my mind, saying it's gonna be alright. Cause the players gonna play, play, play. And the haters gonna hate, hate, hate. Baby I'm just gonna shake, shake, shake. Shake it off. Heartbreakers gonna break, break, break, break, break. And the fakers gonna fake, fake, fake, fake, baby. Baby I'm just gonna shake, shake, shake. Shake it off, Shake it off. I never miss a beat. I'm lighting up my feet. And that's what they don't see. That's what they don't see. I'm dancing on my own. I'll make the moves up as I go. And that's what they don't know. That's what they don't know. But I keep cruising. Can't stop, won't stop grooving. It's like I got this music. In my mind, saying it's gonna be alright. Cause the players gonna play, play, play. And the haters gonna hate, hate, hate. Baby I'm just gonna shake, shake, shake. Shake it off. Heartbreakers gonna break, break, break, break, break. And the fakers gonna fake, fake, fake, fake, baby. Baby I'm just gonna shake, shake, shake. Shake it off, Shake it off. Hey, hey, hey. Just think while you been getting down. And out about the liars. And the dirty dirty cheats of the world. You could have been getting down to this sick beat. My ex man brought his new girlfriend. She's like oh my god. I'm just gonna shake. And to the fella over there with the hella good hair. Won't you come on over baby we could shake, shake. Cause the players gonna play, play, play. And the haters gonna hate, hate, hate. Baby I'm just gonna shake, shake, shake. Shake it off. Heartbreakers gonna break, break, break, break, break. And the fakers gonna fake, fake, fake, fake, baby. Baby I'm just gonna shake, shake, shake. Shake it off, Shake it off. Shake it off. Shake it off. Shake it off. Shake it off"
end game (feat. ed sheeran and future),"I wanna be your end game. I wanna be your first string. I wanna be your A-Team. I wanna be your end game, end game. Big reputation, big reputation. Ooh, you and me, we got big reputations. Ah, and you heard about me. Oh, I got some big enemies. Big reputation, big reputation. Ooh, you and me would be a big conversation. Ah, and I heard about you. Ooh, you like the bad ones, too. You so dope, but no overdose. I'm so stoked, I need toast. We do the most. I'm in the Ghost. Like I'm whipping a boat. I got a reputation, girl. That don't precede me. I'm a call away whenever you need me (yeah). I'm in a G5 (yeah). Come to the A side (yeah). I got a bad boy persona. That's what they like (what they like). You love it, I love it, too. 'Cause you my type (you my type). You hold me down and I protect you with my life. I don't wanna touch you. I don't wanna be. Just another ex love you don't wanna see. I don't wanna miss you. Like the other girls do. I don't wanna hurt you. I just wanna be. Drinking on a beach with you all over me. I know what they all say. But I ain't tryna play. I wanna be your end game. I wanna be your first string. I wanna be your A-Team. I wanna be your end game, end game. Knew her when I was young. Reconnected. When we were little bit older. Both sprung. I got issues and chips. On both of my shoulders. Reputation precedes me. In rumors I'm knee deep. The truth it. It's easier to ignore it. Believe me. Even when we'd argue. We'd not do it for long. And you understand. The good and bad end up in a song. For all your beautiful traits. And the way you do it with ease. For all my flaws, paranoia. And insecurities. I've made mistakes and made some choices. Is that's hard to deny. After the storm. Something was born on the 4th of July. Our past days were the fun. This endgame is the one. With four words on the tip of my tongue. I'll never say it. I don't wanna touch you. I don't wanna be. Just another ex love you don't wanna see. I don't wanna miss you. (I don't wanna miss you). Like the other girls do. I don't wanna hurt you. I just wanna be. Drinking on a beach with you all over me. I know what they all say. (I know what they all say). But I ain't tryna play. I wanna be your end game. I wanna be your first string. I wanna be your A-Team. I wanna be your end game, end game. Big reputation, big reputation. Ooh, you and me, we got a big reputations. Ah, and you heard about me. Oh, I got some big enemies. Big reputation, big reputation. Ooh, you and me would be a big conversation. Ah, and I heard about you. Ooh, you like the bad ones, too. I hit you like bang. We tried to forget it. But we just couldn't. And I bury hatchets. But I keep maps of where I put 'em. Reputation precedes me. They told you I'm crazy. I swear I don't love the drama. It loves me. And I can't let you go. Your hand prints on my soul. It's like your eyes are liquor. It's like your body is gold. You've been calling my bluff on. All my usual tricks. So here's a truth from my red lips. I wanna be your end game. I wanna be your first string. I wanna be your A-Team. I wanna be your end game, end game. I wanna be your end game. I wanna be your first string. I wanna be your A-Team. I wanna be your end game, end game"
i did something bad,"I never trust a narcissist. But they love me. So I play 'em like a violin. And I make it look oh so easy. 'Cause for every lie I tell them. They tell me three. This is how the world works. Now all he thinks about is me. I can feel the flames on my skin. Crimson red paint on my lips. If a man talks shit, then I owe him nothing. I don't regret it one bit. 'Cause he had it coming. They say I did something bad, ah. Then why's it feel so good?. They say I did something bad, ah. But why's it feel so good?. Most fun I ever had, ah. And I'd do it over and over. And over again if I could. It just felt so good, good. I never trust a playboy. But they love me. So I fly 'em all around the world. And I let them think they saved me. They never see it comin'. What I do next. This is how the world works. You gotta leave before you get left. I can feel the flames on my skin. He says, ""Don't throw away a good thing"". But if he drops my name, then I owe him nothin'. And if he spends my change. Then he had it comin'. They say I did something bad, ah. Then why's it feel so good?. They say I did something bad, ah. But why's it feel so good?. Most fun I ever had, ah. And I'd do it over and over. And over again if I could. It just felt so good, good. It just felt so good. They're burning all the witches. Even if you aren't one. They got their pitchforks and proof. Their receipts and reasons. They're burning all the witches. Even if you aren't one. So light me up (light me up). Light me up (light me up). Light me up. Go ahead and light me up (light me up). Light me up (light me up). Light me up (light me up). Light me up (light me up). Light me up. They say I did something bad, ah (Oh). Then why's it feel so good? (So good). They say I did something bad, ah. But why's it feel so good? (Good). Most fun I ever had (Most fun I ever had). And I'd do it over and over. And over again if I could. It just felt so good, good. Oh, you say I did something bad. (You say I did something bad). Then why's it feel so good, good?. So bad, why's it feel so good?. Why's it feel, why's it feel so good? (Bad). It just felt so good, good"
...ready for it?,"Knew he was a killer. First time that I saw him. Wonder how many girls he had loved. And left haunted. But if he's a ghost. Then I can be a phantom. Holdin' him for ransom. Some, some boys are tryin' too hard. He don't try at all though. Younger than my exes. But he act like such a man, so. I see nothing better, I keep him forever. Like a vendetta-ta. I-I-I see how this is gonna go. Touch me, and you'll never be alone. I-Island breeze and lights down low. No one has to know. In the middle of the night, in my dreams. You should see the things we do, baby. In the middle of the night, in my dreams. I know I'm gonna be with you. So I take my time. (Are you ready for it?). Me, I was a robber. First time that he saw me. Stealing hearts and running off. And never saying sorry. But if I'm a thief. Then he can join the heist. And we'll move to an island-and. And he can be my jailer. Burton to this Taylor. Every lover known in comparison is a failure. I forget their names now. I'm so very tame now. Never be the same now, now. I-I-I see how this is gonna go. Touch me and you'll never be alone. I-Island breeze and lights down low. No one has to know. (No one has to know). In the middle of the night, in my dreams. You should see the things we do, baby. In the middle of the night in my dreams. I know I'm gonna be with you. So I take my time. (Are you ready for it?). (Ooh, are you ready for it?). Baby, let the games begin. Let the games begin. Let the games begin. Baby, let the games begin. Let the games begin. Let the games begin. I-I-I see how this is gonna go. Touch me and you'll never be alone. I-Island breeze and lights down low. No one has to know. In the middle of the night, in my dreams. You should see the things we do, baby. In the middle of the night, in my dreams. I know I'm gonna be with you. So I take my time. In the middle of the night. Baby, let the games begin. Let the games begin. Let the games begin. (Are you ready for it?). Baby, let the games begin. Let the games begin. Let the games begin. (Are you ready for it?)"
you belong with me,"You're on the phone with your girlfriend. She's upset, she's going off about. Something that you said. She doesn't get your humor. Like I do. I'm in my room. It's a typical tuesday night. I'm listening to the kind of music. She doesn't like. She'll never know your story. Like I do. But she wears short skirts, I wear t-shirts. She's cheer captain, and I'm on the bleachers. Dreaming about the day when you wake up and find. That what you're looking for has been here the whole. time. If you could see. That I'm the one. Who understands you. Been here all along. So why can't you see me. You belong with me. You belong with me.. Walking the streets. With you and your worn out jeans. I can't help thinking this is how it ought to be. Laughing on a park bench thinking to myself. Hey, isn't this easy?. And you've got a smile. That could light up this whole town. I haven't seen it in a while. Since she brought you down. You say you're fine. I know you better than that. Hey what are you doing with a girl like that. But she wears high heels. I wear sneakers. She's cheer captain. I'm on the bleachers. Dreaming about the day. When you wake up and find. That what you're looking for. Has been here the whole time. If you could see. That I'm the one. Who understands you. Been here all along. So why can't you. See, you belong with me. Standing by and waiting at your backdoor. All this time. How could you not know baby. You belong with me. You belong with me.. Oh, I remember you. Driving to my house. In the middle of the night. I'm the one who makes you laugh. When you know you're about to cry. And I know your favorite songs. And you tell me about your dreams. Think I know where you belong. Think I know it's with me. Can't you see. That I'm the one. Who understands you. Been here all along. So why can't you see?. You belong with me.. Standing by and waiting at your backdoor. All this time. How could you not know baby. You belong with me. You belong with me.. You belong with me. Have you ever thought. Just maybe. You belong with me. You belong with me"
king of my heart,"I'm perfectly fine,. I live on my own. I made up my mind, I'm better off bein' alone. We met a few weeks ago. Now you try on callin' me baby. Like tryin' on clothes. Salute to me I'm your american queen. And you move to me. Like I'm a motown beat. And we rule the kingdom inside my room. 'cause all the boys and their expensive cars. With their range rovers and their jaguars. Never took me quite where you do. And all at once. You are the one I have been waiting for. King of my heart, body and soul, ooh whoa. And all at once. You're all I want. I'll never let you go. King of my heart, body and soul, ooh whoa. And all at once, I've been waiting, waiting. Ooh whoa, ooh whoa. And all at once, you are the one. I have been waiting, waiting. Body and soul, ooh whoa. And all at once. Late in the night, the city's asleep. Your love is a secret I'm hoping. Dreaming, dying to keep. Change my priorities. The taste of your lips is my idea of luxury. Salute to me I'm your american queen. And you move to me. Like I'm a motown beat. And we rule the kingdom inside my room. (inside my room, oh). 'cause all the boys and their expensive cars. With their range rovers and their jaguars. Never took me quite where you do. (where you do). And all at once. You are the one I have been waiting for. King of my heart, body and soul, ooh whoa. And all at once. You're all I want. I'll never let you go. King of my heart, body and soul, ooh whoa. And all at once, I've been waiting, waiting. Ooh whoa, ooh whoa. And all at once, you are the one. I have been waiting, waiting. Body and soul, ooh whoa. And all at once. Is the end of all the endings?. My broken bones are mending. With all these nights we're spending. Up on the roof with a school girl crush. Drinking beer out of plastic cups. Say you fancy me. Not fancy stuff. Baby, all at once, this is enough. And all at once. You are the one I have been waiting for. King of my heart, body and soul, ooh whoa. And all at once. You are the one I have been waiting for. King of my heart. Body and soul, ooh whoa. And all at once. You're all I want. I'll never let you go. King of my heart, body and soul, ooh whoa. And all at once, I've been. waiting, waiting. Ooh whoa, ooh whoa. And all at once. 'cause you're the one I have been waiting. Waiting. Body and soul, ooh whoa. And all at once"
