everybody wants to rule the world,"Welcome to your life. There's no turning back. Even while we sleep. We will find you. Acting on your best behaviour. Turn your back on mother nature. Everybody wants to rule the world. It's my own design. It's my own remorse. Help me to decide. Help me make the most of freedom and of pleasure. Nothing ever lasts forever. Everybody wants to rule the world. There's a room where the light won't find you. Holding hands while the walls come tumbling down. When they do I'll be right behind you. So glad we've almost made it. So sad they had to fade it. Everybody wants to rule the world. I can't stand this indecision. Married with a lack of vision. Everybody wants to rule the world. Say that you'll never, never, never, never need it. One headline, why believe it?. Everybody wants to rule the world. All for freedom and for pleasure. Nothing ever lasts forever. Everybody wants to rule the world"
woman in chains (feat. oleta adams),"You'd better love loving you'd better behave. You'd better love loving you'd better behave. Woman in chains. Woman in chains. Calls her man the Great White Hope. Say she's fine, she'll always cope. Woman in chains. Woman in chains. Well I feel lying and waiting is a poor man's deal. (A poor man's deal). And I feel hopelessly weighed down. By your eyes of steel. (Your eyes of steel). Well it's a world gone crazy. Keeps a woman in chains. Woman in chains. Woman in chains. Trades her soul as skin and bones. (You'd better love loving you'd better behave). Sells the only thing she owns. (You'd better love loving you'd better behave). Woman in chains. (Sun and the moon). Woman in chains. Men of stone. Men of stone. Well I feel deep in your heart. There are wounds time can't heal. (That time can't heal). And I feel somebody somewhere is trying to breathe. Well you know what I mean. It's a world gone crazy. Keeps a woman in chains. It's under my skin but out of my hands. I'll tear it apart but I won't understand. (Somebody, somewhere is trying). I will not accept the greatness of man. (World gone crazy, keeps a woman in chains). It's a world gone crazy. Keeps a woman in chains. So free her. So free her. So free her (The sun and the moon). So free her (The wind and the rain). So free her. So free her. So free her. So free her. So free her. So free her. The sun and the moon. The wind and the rain"
shout,"Shout, shout, let it all out. These are the things I can do without. Come on, I'm talking to you, come on. Shout, shout, let it all out. These are the things I can do without. Come on, I'm talking to you, come on. In violent times. You shouldn't have to sell your soul. In black and white. They really really ought to know. Those one track minds. That took you for a working boy. Kiss them goodbye. You shouldn't have to jump for joy. You shouldn't have to jump for joy. Shout, shout, let it all out. These are the things I can do without. Come on, I'm talking to you, come on. They gave you life. And in return you gave them hell. As cold as ice. I hope we live to tell the tale. I hope we live to tell the tale. Shout, shout, let it all out. These are the things I can do without. Come on, I'm talking to you, come on. Shout, shout, let it all out. These are the things I can do without. Come on, I'm talking to you, come on. Shout, shout, let it all out (let it all out). These are the things I can do without. Come on, I'm talking to you, come on. And when you've taken down your guard. If I could change your mind. I'd really love to break your heart. I'd really love to break your heart. Shout, shout, let it all out. These are the things I can do without. Come on, I'm talking to you, come on. Shout, shout, let it all out. These are the things I can do without. Come on, I'm talking to you, come on"
head over heels,"I wanted to be with you alone. And talk about the weather. But traditions I can trace against the child in your face. Won't escape my attention. You keep your distance with a system of touch. And gentle persuasion. I'm lost in admiration, could I need you this much. Oh, you're wasting my time. You're just, just, just wasting time. Something happens and I'm head over heels. I never find out till I'm head over heels. Something happens and I'm head over heels. Ah, don't take my heart, don't break my heart. Don't, don't, don't throw it away. Throw it away. Throw it away. I made a fire and watching it burn (yeah). Thought of your future. With one foot in the past now just how long will it last. No, no, no, have you no ambitions. (what's the matter with...). My mother and my brothers used to breath clean air. (nothing ever changes when you're acting your age). And dreaming I'm a doctor. (nothing gets done when you feel like a baby). It's hard to be a man when there's a gun in your hand. (nothing ever changes when you're acting your age). Oh, I feel so. Something happens and I'm head over heels. I never find out till I'm head over heels. Something happens and I'm head over heels. Ah, don't take my heart, don't break my heart. Don't, don't, don't throw it away. And this is my four leaf clover. I'm on the line, one open mind. This is my four leaf clover. In my mind's eye. One little boy, one little man. Funny how time flies"
i know this much is true,"Huh huh huh hu-uh huh. So true funny how it seems. always in time, but never in line for dreams.. Head over heels when toe to toe.. This is the sound of my soul,. this is the sound.. I bought a ticket to the world,. but now I've come back again.. Why do I find it hard to write the next line?. Oh I want the truth to be said.. Huh huh huh hu-uh huh. I know this much is true.. Huh huh huh hu-uh huh. I know this much is true.. With a thrill in my head and a pill on my tongue. dissolve the nerves that have just begun.. Listening to Marvin (all night long.). This is the sound of my soul,. this is the sound.. Always slipping from my hands,. sand's a time of its own.. Take your seaside arms and write the next line.. Oh I want the truth to be known.. Huh huh huh hu-uh huh. I know this much is true.. Huh huh huh hu-uh huh. I know this much is true.. I bought a ticket to the world,. but now I've come back again.. Why do I find it hard to write the next line?. Oh I want the truth to be said.. Huh huh huh hu-uh huh. I know this much is true.. Huh huh huh hu-uh huh. I know this much is true.. This much is true.. I know, I know, I know this much is true."
advice for the young at heart,"Advice for the young at heart. Soon we will be older. When we gonna make it work ?. Too many people living in a secret world. While they play mothers and fathers. We play little boys and girls. When we gonna make it work ?. I could be happy. I could be quite naive. It's only me and my shadows. Happy in our make believe. Soon.... And with the hounds at bay. I'll call your bluff. Cos it would be okay. To walk on tiptoes everyday. And when I think of you and all the love that's due. I'll make a promise, I'll make a stand. Cos to these big brown eyes, this comes as no surprise. We've got the whole wide world in our hands. Advice for the young at heart. Soon we will be older. When we gonna make it work ?. Love is a promise. Love is a souvenir. Once given. Never forgotten, never let it disappear. This could be our last chance. When we gonna make it work ?. Working hour is over. And how it makes me weep. Cos someone sent my soul to sleep. And when I think of you and all the love that's due. I'll make a promise, I'll make a stand. Cos to these big brown eyes, this comes as no surprise. We've got the whole wide world in our hands. Advice for the young at heart. Soon we will be older. When we gonna make it work ?. Working hour is over. We can do anything that we want. Anything that we feel like doing. Advice..."
break it down again,"So those are my dreams. And these are my eyes. Stand tall like a man. Head a strong like a horse. When it's all mixed up. Better break it down. In the world of secrets. In the world of sound. It's in the way you're always hiding from the light. See for yourself you have been sitting on a time bomb. No revolution maybe someone somewhere else. Could show you something new about you and your inner song. And all the love and all the love in the world. Won't stop the rain from falling. Waste seeping underground. I want to break it down. Break it down again. So those are my schemes. And these are my plans. Hot tips for the boys. Fresh news from the force. When it's all mixed up. Better break it down. In the world of silence. In the world of sound. "" No sleep for dreaming"" say the architects of life. Big bouncing babies, bread and butter can I have a slice. They make no mention of the beauty of decay. Blue, yellow, pink umbrella save it for a rainy day. And all the love and all the love in the world. Won't stop the rain from falling. Waste seeping underground. I want to break it down. Horsin' around. Pray to power. Play to the crowd with your big hit sound. And they won't simmer won't simmer, won't simmer down. Play to the crowd. Play to the crowd. Play yeah yeah. It's in the way you're always hiding from the light. Fast off to heaven just like Moses on a motorbike. No revolution maybe someone somewhere else. Could show you something new to help you. With the ups and downs. I want to break it down. Break it down again. Break it down again. No more sleepy dreaming. No more building up. It is time to dissolve. Break it down it again. No more sleepy dreaming"
sowing the seeds of love,"High time we made a stand. And shook up the views of the common man. And the love train rides from coast to coast. D. J. is the man we love the most. Could you be, could you be squeaky clean. And smash any hope of democracy?. As the headline says you're free to choose. There's egg on your face and mud on your shoes. One of these days they're gonna call it the blues. Sowing the seeds of love (Anything is possible). The seeds of love (When you're sowing the seeds of sove). Sowing the seeds of love. Sowing the seeds of love (Anything is possible). The seeds of love (When you're sowing the seeds of sove). Sowing the seeds of love. I spy tears in their eyes. They look to the skies. For some kind of divine intervention. Food goes to waste. So nice to eat, so nice to taste. Politician grannie with your high ideals. Have you no idea how the majority feels?. So without love and a promised land. We're fools to the rules of a government plan. Kick out the style bring back The Jam!. Sowing the seeds of love. Seeds of love. Sowing the seeds. Sowing the seeds of love. Seeds of love. Sowing the seeds. Sowing the seeds. The birds and the bees. My girlfriend and me in love. Feel the pain. Talk about it. If you're a worried man. Then shout about it. Open hearts. Feel about it. Open minds. Think about it. Everyone. Read about it. Everyone. Scream about it. Everyone (everyone). Everyone (everyone). Read about it, read about it. Read it in the books, in the crannies and the nooks. There are books to read. Sowing the seeds of love. When you're sowing the seeds. Sowing the seeds. Sowing the seeds of love. Sowing the seeds. Sowing the seeds of love. Sowing the seeds of love. Time to eat all your words. Swallow your pride. Open your eyes. Time to eat all your words. Swallow your pride. Open your eyes. High time we made a stand. And shook up the views of the common man. And the love train rides from coast to coast. Every minute of every hour. I love a sunflower. And I believe. In love power. Love power, love power. Sowing the seeds of love. Seeds of love. Sowing the seeds. Sowing the seeds of love. Seeds of love. Sowing the seeds. Sowing the seeds of love. Seeds of love. Sowing the seeds. An end to need. And the politics of greed. With love"
mad world,"All around me are familiar faces. Worn out places. Worn out faces. Bright and early for their daily races. Going nowhere. Going nowhere. Their tears are filling up their glasses. No expression. No expression. Hide my head I want to drown my sorrow. No tomorrow. No tomorrow. And I find it kind of funny. I find it kind of sad. The dreams in which I'm dying are the best I've ever had. I find it hard to tell you. Cuz I find it hard to take. When people run in circles it's a very very. Mad world. Mad world. Mad world. Mad world. Children waiting for the day they feel good. Happy birthday. Happy birthday. Made to feel the way that every child should. Sit and listen. Sit and listen. Went to school and I was very nervous. No one knew me. No one knew me. Hello, teacher, tell me what's my lesson. Look right through me. Look right through me. And I find it kind of funny. I find it kind of sad. The dreams in which I'm dying are the best I've ever had. I find it hard to tell you. Cuz I find it hard to take. When people run in circles it's a very very. Mad world. Mad world. Mad world. Mad world. And I find it kind of funny. I find it kind of sad. The dreams in which I'm dying are the best I've ever had. I find it hard to tell you. Cuz I find it hard to take. When people run in circles it's a very very. Mad world. Mad world. Enlarging your world. Mad world"
change,"You walked into the room. I just had to laugh. The face you wore was cool. You were a photograph. When it's all too late. It's all too late. I did not have the time. I did not have the nerve. To ask you how you feel. Is this what you deserve. When it's all too late. It's all too late. (Chorus). Change. You can change. (Repeat). And something on your mind. Became a point of view. I lost your honesty. You lost the life in you. When it's all too late. It's all too late. We walk and talk in time. I walk and talk in two. Where does the end of me. Become the start of you. When it's all too late. It's all too late. Chorus. What has happened to. The friend that I once knew. Has he gone away. It's all too late, It's all too late. Change. Chorus X2"
everybody loves a happy ending,"Toe the line. Toe the line. Wake up your time is nearly over. No more the supernova. And no action guaranteed. Wake up you've had an operation. Ideals above your station. Too much reality. Think about the waste of time spending. Watching Mother Nature's knees bending. Everybody loves a happy ending. Wake up you're on your own agenda. Give up the great pretender. With baby eyes of green. Wake up you're holding on to nothing. You know you're only bluffing. As dead as autumn leaves. Think about the waste of time spending. Watching Mother Nature's knees bending. Everybody loves a happy ending. Don't you just love a happy ending?. Oh yeah well so do I. And all your love will shine on everyone. The darkness of the day. A curse in every way. You try to see the light. But you don't know why. Don't know why. They tell you on the phone. To give your God a bone. And grow a set of wings like a butterfly. The guarding at the gate. Reminds you that you're late. You try to take your time. But you toe the line. Toe the line. The children of the world. And daddy's little girl. The grass is always green on the other side. So stay and breathe new lies. Wake up, wake up, wake up, wake up. Wake up, wake up. Everything is moving faster than you think. (Wake up, wake up). Your pen is running out of ink. (Wake up, wake up). Fill up your bath and kitchen sink. (Wake up, wake up). They're really kicking up the stink. (Wake up, wake up). You've never found the missing link. (Wake up, wake up). You should be happy and to think. (Wake up, wake up). You're rending members out of sync. (Wake up, wake up). And God is whiskered as a wink. (Wake up, wake up). Once more are different to the brink"
goodnight song,"Here on the stage, the time has come. 'Mid the strains of 'be my angel', of rockin' 2/4. Time may keep alive. That old swan song. That we've been playing forever,. Too, time may be right to say 'good-bye'.... My voice is aching,. I'm tongue-tied,. And the sounds we are making are so-o-o old.... Goodnight song, played so wrong,. Blame the crowd, they screamed so loud so long.. It's an honest day;. Take the best of me and then the rest let go.... In every situation where there's tireless rage,. Step outside the cage. And let the real fool show.. I should have stayed 'round to break the ice,. I thought about it once or twice. But nothing ever changes. Unless there's some pain.... And our. Goodnight song, played so wrong,. Blame the crowd, they screamed so loud so long,. Goodnight song, played so wrong,. Blame the crowd, they screamed so loud so-o-o long..."
the working hour,These things. That I've. Been told. Can rearrange. My world. My doubt. In time. But inside out. This is the working hour. We are paid by those who learn by our mistakes. This day. And age. For all. And not for one. All lies. And secrets. Put on. Put on and on. This is the working hour. We are paid by those who learn by our mistakes. And fear is such a vicious thing. It wraps me up in chains. Find out. Find out. What this fear is about. Find out. Find out. What this fear is about
