baby i love you,"woa-ho, woa-ho ho ho. have I ever told you. how good it feels to hold you. it isn't easy to explian. and 'though I'll really be trying. I think I may start crying. my heart can't wait another day. when you kiss me I've just got to say. (baby I love you). come on baby. (baby I love you). oh-ee baby. baby I love only you. woa-ho, woa-ho ho ho. I can't live without you. I love everything about you. I can't help it if I feel this way. oh I'm so glad that I found you. I want my arms around you. I love to hear you call my name. oh tell me that you feel the same. (baby I love you). come on baby. (baby I love you). oh-ee baby. baby I love only you. woa-ho, woa-ho ho ho"
be my baby,"The night we met I knew I needed you so. And if I had the chance I'd never let you go. So won't you say you love me. I'll make you so proud of me. We'll make 'em turn their heads every place we go. So won't you please. Be my, be my, be my little baby. My one and only baby. Say you'll be my darling. Be my baby now. My one and only baby. I'll make you happy, baby. Just wait and see. For every kiss you give me. I'll give you three. Oh, since the day I saw you. I have been waiting for you. You know I will adore you. Till eternity so won't you please. Be my, be my, be my little baby. My one and only baby. Say you'll be my darling. Be my baby now. My one and only baby"
can't stay away from you,"Time flies. When you're having fun. I heard somebody say. But if all I've been is fun. Then baby let me go. Don't wanna be in your way. And I don't wanna be your second choice. Don't wanna be just your friend. You keep telling me that you're not in love. You wanna throw it all away. But I can't stay away form you. I don't wanna let you go. And though it's killing me that's true. There's just some things I can't control. Your love is slipping through my hands. And though I've heard it all before. I know you're telling me the truth. I know it's just no use. But I can't stay away from you. Hold on to every bit of hope, that's all I ever do. Hoping you might change your mind. And call me up to say how much you need me too. And though you're leaving me no other choice. Than to turn and walk away. Look over your shoulder, I'll be there. You can count on me to stay .... 'Cause I can't stay away from you. I don't wanna let you go. And though it's killing me that's true. There's just some things I can't control. Your love slipping through my hands. And though I've heard it all before. I know you're telling me the truth. I know it's just no use. But I can't stay away from you. I know you're telling me the truth. I know it's just no use. But I can't stay away from you."
do i love you,Do I want you for my baby. Do I want you by my side. Do I wanna run and kiss your lips. Say you're my loving guy - oh oh.... (Do I love you). (Yes I love you). Do I need your arms around me. Do I live my life for you. Do I always feel so warm each time. I look in your eyes of blue - oh oh.... (Do I love you). (Yes I love you). Oh Oh. And do I need you every minute of the day. And would I die if you should ever go away. And does it mean so much to feel your tender touch. Do I love you (Do I love you). Really love you (really love you). Oh I swear I'm gonna get you if takes me all my life. I'll hope and pray and dream and scheme. Cause I'm gonna be your wife. (Do I love you). (Yes I love you). Do I love you. Yes I love you. Do I love you. Yes I love you (fade)
he's a rebel,"See the way he walks down the street. Watch the way he shuffles his feet. My, he holds his head up high. When he goes walking by. He's my guy. When he holds my hand I'm so proud. 'Cause he's not just one of the crowd. My baby, oh he's the one. To try the things they've never done. Just because of that they say. CHORUS. He's a rebel and he'll never ever be any good. He's a rebel and he'll never ever be understood. And just because he doesn't do what everybody else does. That's no reason why I can't give him all my love. He is always good to me, always treats me tenderly. 'Cause he's not a rebel, no no no. He's not a rebel, no no no, to me. INSTRUMENTAL. If they don't like him that way, they won't like me after today. I'll be standing right by his side, when they say. CHORUS. He's a rebel and he'll never ever be any good. He's a rebel 'cause he never ever does what he should. And just because he doesn't do what everybody else does. That's no reason why we can't share a love. He is always good to me, good to him I'll try to be. 'Cause he's not a rebel, no no no. He's not a rebel, no no no, to me. (He's not a rebel, no no no. He's not a rebel, no no no. He's not a rebel, no no no. He's not a rebel, no no no)"
i wonder,"Mama said, before I'd grown. I'll find somebody I could call my own. So when the stars are shining bright. I dream about the boy. Who's gonna hold me tight. And I wonder. (Wonder what or who he'll be). Oh I wonder. (Wonder what or who he'll be). Will he be good to me. (Wonder what or who he'll be). Wonder if he'll love me. Forever, and ever. Everynight, I close my eyes. And there is something that I visualise. I hear a voice say 'I love you'. And picture all the things. That we're gonna do. And I wonder. (Wonder what or who he'll be). Oh I wonder. (Wonder what or who he'll be). Will he be good to me. (Wonder what or who he'll be). Wonder if he'll love me. Forever, and ever. I hope we'll never make each other cry. I pray we'll never ever say goodbye. Woa ho oh oh. And I wonder. (Wonder what or who he'll be). Oh I wonder. (Wonder what or who he'll be). Will he be good to me. (Wonder what or who he'll be). Wonder if he'll love me. Forever, and ever"
sleigh ride,"Just hear those sleigh bells jingling, ring tingle tingling too. Come on, its lovely weather for a sleigh ride together with you,. Outside the snow is falling and friends are calling Yoo hoo,. Come on, its lovely weather for a sleigh ride together with you.. Our cheeks are nice and rosy and comfy and cozy are we. Were snuggled up together like two birds of a feather would be. Lets take the road before us and sing a chorus or two. Come on, its lovely weather for a sleigh ride together with you.. [Interlude]. Our cheeks are nice and rosy and comfy and cozy are we. Were snuggled up together like two birds of a feather would be. Lets take the road before us and sing a chorus or two. Come on, its lovely weather for a sleigh ride together with you."
so young,"I have boyfriend. He says I'm his only one. We wanna get married. But we're so young. So young. Can't marry no one. No one. Ooo.... They say our love is. Just a teenage affection. But no one knows. My heart's direction. So young. Can't marry no one. No one. Ooo.... I'm, I'm, I'm, so young. Yeah, yeah, yeah, so young. I'm, I'm, I'm, so young. Can't marry no one. No one. Ooo.... Gotta go now. Cry myself to sleep. My lovin' baby. Will have seen the last of me. So young. Can't marry no one. Can't marry no one. Can't marry no one. Can't marry no one"
the best part of breakin up,"baby, when we break up from a quarrel or a fight. i can't wait to have you back and hold you, oh, so tight. tell me why, i want to know-oh-oh. tell me why is it so-oh-oh. that the best part of breaking up is when you're making up. best part of breaking up is when you're making up. but, after breaking up, be sure you're making up with me. every time you leave, i get those teardrops in my eyes. but they seem to go away when you apologize. tell me why, i want to know-oh-oh. tell me why is it so-oh-oh. that the best part of breaking up is when you're making up. best part of breaking up is when you're making up. but, after breaking up, be sure you're making up with me. c'mon, baby, c'mon baby. don't say maybe. well, it makes no difference who was wrong. just as long as i'll be with you. baby, i'll be lonely till you're back where you should be. but, baby, i belong to you and you belong to me. tell me why, i want to know-oh-oh. tell me why is it so-oh-oh. that the best part of breaking up is when you're making up. best part of breaking up is when you're making up. but, after breaking up, be sure you're making up with. the best part of breaking up is when you know that you're making up with me. c'mon, baby, c'mon baby. don't say maybe. fade. c'mon, baby"
the memory,"I lie awake the night through. With the memory, the memory of you. The memories of walks we used to take. The memories of moonlight on the lake. The memory of violets in the spring. The memories of songs we used to sing. The memory of dancing close to you. The memories of candle light for two. The memories of lips that used to thrill. The memories of tears of heartbreak him. (two roo roo...). I lie awake the night through. With the memory, the memory of you. I remember the walks we used to take. I remember the moonlight on the lake. I remember the violets in the spring. And the songs we used to sing. The memory of counting stars at night. The memories of arms that held me tight. The memory of your last valentine. The memory of love that once was mine. (two roo roo...). I lie awake the night through. With the memory, the memory of you. (the memory of you). (the memory of you). The memory of you"
