glad you came,"The sun goes down. The stars come out. And all that counts. Is here and now. My universe will never be the same. I'm glad you came. You cast a spell on me, spell on me. You hit me like the sky fell on me, fell on me. And I decided you look well on me, well on me. So let's go somewhere no-one else can see. You and me. Turn the lights out now, now I'll take you by the hand. Hand you another drink, drink it if you can. Can you spend a little time, time is slipping away. Away from us so stay, stay with me I can make. Make you glad you came. The sun goes down. The stars come out. And all that counts. Is here and now. My universe will never be the same. I'm glad you came. I'm glad you came. You cast a spell on me, spell on me. You hit me like the sky fell on me, fell on me. And I decided you look well on me, well on me. So let's go somewhere no-one else can see. You and me. Turn the lights out now, now I'll take you by the hand. Hand you another drink, drink it if you can. Can you spend a little time, time is slipping away. Away from us so stay, stay with me I can make. Make you glad you came. The sun goes down. The stars come out. And all that counts. Is here and now. My universe will never be the same. I'm glad you came. I'm glad you came. I'm glad you came. So glad you came. I'm glad you came. I'm glad you came. The sun goes down. The stars come out. And all that counts. Is here and now. My universe will never be the same. I'm glad you came. I'm glad you came"
i found you,"She wants me to come over. I can tell her eyes don't lie. She's calling me in the dark. She moves I swear the room. Around her lights up like the sky. Confidence like a rockstar. I wanna put my hands on her hands. Feel the heat from her skin. Get reckless in the star light. I'm moving to the beat of her heart. I was so lost until tonight. Tonight. I found you, in the darkest hour. I found you, in the pouring rain. I found you, when I was on my knees. And your life brought me back again. Found you in a river of pure emotion. I found you, my only truth. I found you in the music playing. I was lost. Till I found you, you, you. Till I found you, you, you. The night is getting older. And I can't come off this high. I don't want this here to end. I know she feels the same. Cause I can see it in her eyes. She says ""Can we start again?"". I wanna put my hands on her hands. Feel the heat from her skin. Get reckless in the star light. She's moving to the beat of my heart. We were so lost until tonight. Tonight. I found you, in the darkest hour. I found you, in the pouring rain. I found you, when I was on my knees. And your life brought me back again. Found you in a river of pure emotion. I found you, my only truth. I found you in the music playing. I was lost. Till I found you, you, you. Till I found you, you, you. I said, people. We're all looking for love tonight. But sometimes we can't see it. We're all blinded by the light. And we all get low, all get low. Searching for that peace of mind. Just when I'd given up. Looking for some kind of sign. That's when I found you, you, you. I found you, you, you. I found you, you, you. I found you, you, you. I found you, in the darkest hour. I found you, in the pouring rain. I found you, when I was on my knees. And your life brought me back again. Found you in a river of pure emotion. I found you, my only truth. I found you in the music playing. I was lost. Till I found you"
show me love (america),"You should've known I love you. Though I'll never say it too much. Maybe you didn't get me. Maybe I'll never know what I done. Now I'm lost in the distance. You're looking me like a stranger. Cause how it looks right now to me. Is it you're scared of the danger. I could've shown you america. All the bright lights in the universe. Could have reached, the highest heights. A different place, a different life. Remember that night underneath the stars. For a minute I thought the world was ours. All you had to do was show me love. Yeah it's true you know, we're not perfect. There's a fire inside of me. It means I'll fight for the things that are worth it. If it makes me feel complete. Cause I'm hitting rocks, and I'm taking shots. I'm prepared to lose everything I've got. Now I'm lost in the distance. You're looking me like a stranger. Cause how it looks right now to me. That nothing can save us. I could've shown America. All the bright lights in the universe. Could have reached, the highest heights. A different place, a different life. Remember that night underneath the stars. For a minute I thought the world was ours. All you had to do was show me love. Show me love, love. Show me love, love. Show me love, show me show me love. Show me show me love. Show me love. I could've shown America. All the bright lights in the universe. Could have reached, the highest heights. A different place, a different life. Remember that night underneath the stars. For a minute I thought the world was ours. All you had to do was show me love. All you had to do was show me love"
chasing the sun,"I'm better. So much better now. I see the light, touch the light,. We're together now. I'm better. So much better now. Look to the skies, give me life. We're together now. We've only just begun. Hypnotised by drums. Until forever comes. You'll find us chasing the sun. They said this day wouldn't come. We refused to run. We've only just begun. You'll find us chasing the sun. You'll find us chasing the sun. You'll find us chasing the sun. When daylight's fading. We're gonna play in the dark. Til it's golden again. And now it feels so amazing. Can't see it coming, and. We'll never grow old again. You'll find us chasing the sun. I'm never. I'm never down. Lying here, staring up. And you're looking down. I'm never. I'm never down. Live forever, forever. With you around. We've only just begun. Hypnotised by drums. Until forever comes. You'll find us chasing the sun. They said this day wouldn't come. We refused to run. We've only just begun. You'll find us chasing the sun. The sun, the sun, the sun. You'll find us chasing the sun. You'll find us chasing the sun. You'll find us chasing the sun. And when daylight's fading. We're gonna play in the dark. Til it's golden again. And now it feels so amazing. Can't see it coming, and. We'll never grow old again. You'll find us chasing the sun. Chasing the sun. Chasing the sun. You'll find us chasing the sun. You'll find us chasing the sun. And when daylight's fading. We're gonna play in the dark. Til it's golden again. And now it feels so amazing. Can't see it coming, and. We'll never grow old again. You'll find us chasing the sun. You'll find us chasing the sun. You'll find us chasing the sun"
could this be love,"She takes my breath away. She's got me calling everyday. I can't seem to get enough. Could this be love?. Staying up 'till late at night. Watching the stars burst into light. Watch movies all the time. We can't get enough. I'd jump out of a plane. Write your name in the sky. You're shaking my life up. Could this be love?. I'm feeling drifting up. On the ceiling with your touch. Could this be love, love, love?. 'Cause when we kiss. My heart drops like a bomb. I'm in pieces when you're gone. Could this be love?. Could this be love?. Sat in bed, we're on the phone. Her voice is sweet, she doesn't know. Could stay awake all night long. Could this be love?. Walk together through the night. The sky is clear, the stars are bright. I kiss her lips and hold her tight. Is that enough?. I'd jump out of a plane. Write your name in the sky. You're shaking my life up. Let's take a chance this time. Could be the best of our lives. I think you already know. Could this be love?. I'm feeling drifting up. On the celing with your touch. Could this be love, love, love?. 'Cause when we kiss. My heart drops like a bomb. I'm in pieces when you're gone. Could this be love, love, love?. Could this be love?. Could this be love?. Could this be love?. Could this be love?. Could this be love?. Could this be love?. Could this be love?. She takes my breath away. She's got me calling everyday. I can't seem to get enough. Could this be love?. Could this be love?. I'm feeling drifting up. On the ceiling with your touch. Could this be love, love, love?. 'Cause when we kiss. My heart drops like a bomb. I'm in pieces when you're gone. Could this be love, love, love?. Could this be love?. Could this be love?. Could this be love?. Could this be love?. Could this be love, love, love? yeah. Could this be love?"
kickstarts,"You want me to come over I got an excuse. Might be holding your hand but I'm holding it loose. Go to talk then we choke its like our necks in a noose. Avoid the obvious we should be facing the truth. Start to think it could be fizzling out. Kinda shocked because I never really had any doubts. Look into your eyes imagine life with out ya'. And the love kick starts again. Starts again. And the love kick starts again. Starts again. Its the same old you the same old me. You get bored and I get cold feet. Get high get wondering eyes. Forget I've never ever had it so sweet. I realize what I got when I'm out of town. Cos deep down you're my girl in a golden crown. My princess and I don't wanna let you down. No I don't wanna let you down no no no. You want me to come over I got an excuse. Might be holding your hand but I'm holding it loose. Go to talk then we choke its like our necks in a noose. Avoid the obvious we should be facing the truth. Start to think it could be fizzling out. Kinda shocked because I never really had any doubts. Look into your eyes imagine life with out ya'. Kick-kickstarts again. Start to think it could be fizzling out. Kinda shocked because I never really had any doubts. Look into your eyes imagine life with out ya'. And the love kick starts again. Starts again. And the love kick starts again. Starts again. And the love kick starts again. Start to think it could be fizzling out (starts again). Jay, nathan & siva:. Kinda shocked because I never really had any doubts (starts again). Look into your eyes imagine life with out ya'. Love kickstarts again. Start to think it could be fizzling out (starts again). Kinda shocked because I never really had any doubts (starts again). Look into your eyes imagine life with out ya'. And the love kick starts again."
we own the night,"May our hearts be full. Like our drinks tonight. May we sing and dance till we lose our minds. We are only young if we seize the night. Tonight we own the night. Tonight we own the night. La la la la la. La la la la la. When my time is over, lying in my grave. Written on my tombstone, I want it to say. This man was a legend, a legend of his time. When he was at a party, the party never died. Hey. Everybody's got a dream so what do you say. Are we making history?. May our hearts be full. Like our drinks tonight. May we sing and dance till we lose our minds. We are only young if we seize the night. Tonight we own the night. Tonight we own the night. La la la la la. La la la la la. For tonight I'm famous, for tonight I'm king. And I will be remembered, for centuries they'll say. This man was a hero, a hero of the night. When he was at a party, the party never died. Hey. I'm a little drunk, but I got something to say. May our hearts be full. Like our drinks tonight. May we sing and dance till we lose our minds. We are only young if we seize the night. Tonight we own the night. And let us wake up inside a strangers bed. Let us drink until there is nothing left. And this night my friends we will not forget. Tonight we own the night. Tonight we own the night. May our hearts be full. Like our drinks tonight. May we sing and dance till we lose our minds. We are only young if we seize the night. Tonight we own the night. Tonight we own the night"
walks like rihanna,"Have you seen that girl. Have you seen her. She's the freakiest thing. You gotta meet her. You'll do whatever it takes to get her by your side. It's not the way she smiles. With a little laugh. It's not the way she looks. In a photograph. But all the boys, they crowd around. She can't sing. She can't dance. But who cares. She walks like Rihanna. She can't sing. She can't dance. But who cares. She walks like Rihanna. Have you seen that girl. Have you seen her. With the way she moves you'll want to kiss her. She'll be the girl of your dreams. If you can close your eyes. You can feel that beat when she's in the room. You can feel your heart going boom boom. And all the boys, they crowd around. She can't sing. She can't dance. But who cares. She walks like Rihanna. She can't sing. She can't dance. But who cares. She walks like Rihanna. She walks like Rihanna. She walks like Rihanna. Our hearts go boom boom, boom boom boom. Our hearts go boom boom, boom boom boom. Our hearts go boom boom, boom boom boom. Our hearts go boom boom, boom boom boom. When she walks like Rihanna. Our hearts go boom boom, boom boom boom. She walks like Rihanna. When she walks like Rihanna. She can't sing. She can't dance. But who cares. She walks like Rihanna. She can't sing. She can't dance. But who cares. She walks like Rihanna. She can't sing. She can't dance. But who cares. She walks like Rihanna. She can't sing. She can't dance. But who cares. She walks like Rihanna"
if we're alright,"I know you can't be sleeping. ‘Cause you're not anywhere near me. All the way on the other side. Wish that I could read your mind. I'm kissing on your shoulder. But you don't wanna turn over. You know I'd rather have another fight. Than be a victim of a silent night. You can scream and let it out. I will fix it, tell me how. You can say the words. And I'll be wrong as long as we're alright. Call me names, I'll take them all. This time I'll take the fault. And I'll be wrong as long as we're alright. Did I hurt your feelings?. You should know I don't mean it. Don't disguise it, let it all out. Say it's my fault whatever you like now. Used to talk, used to talk. We could talk about everything. So what's wrong? Let me know. ‘Cause I can do anything. I'm no good if your heart breaks. So I'll do whatever it takes. You can scream and let it out. I will fix it, tell me how. You can say the words. And I'll be wrong as long as we're alright. Call me names, I'll take them all. This time I'll take the fall. And I'll be wrong as long as we're alright…. Tic, toc, looking at the clock. If we take a minute we can make it all stop. Tic, toc, when we're gonna talk?. Let it out your head, baby. Give me all you got tonight. Let me make it better. You can scream and let it out. I will fix it, tell me how. You can say the words. And I'll be wrong as long as we're alright. Call me names, I'll take them all. This time I'll take the fall. And I'll be wrong as long as we're alright. You can scream and let it out. I will fix it, tell me how. You can say the words. And I'll be wrong as long as we're alright. Call me names, I'll take them all. This time I'll take the fall. And I'll be wrong as long as we're alright. And I'll be wrong as long as we're alright. And I'll be wrong as long as we're alright"
a good day for love to die,Seen the change watching it fade. Holding my breath feeling it fail. Working hard wondering why. Can't fix it now so why even try. We've run out of time. It's over I'm over this life. I'm running dry. I'm out of here out of your life. It's a good day for resurrection. It's a good time. To break the connection. To the heart that I've been neglecting. It's a good day for love for love to die. Not easy to say harder to do. But that's no kinda life. So I'll leave it to you. Working it hard wondering why. Can't fix it now so why even try. We've run out of time. It's over I'm over this life. I'm running dry. I'm out of here out of your life. It's a good day for resurrection. It's a good time. To break the connection. To the heart that I've been neglecting. It's a good day for love for love to die. There's not a chance. There's not a prayer. Can't pull a miracle out of the air. So now I'm leaving letting it lie. Letting it die. We've run out of time. Its over I'm over this life. I'm running dry. I'm out of here out of your life. It's a good day for resurrection. It's a good time. To break the connection. To the heart that I've been neglecting. It's a good day for love for love to die. For love to die. For love to die. For love to die. For love to die. It's a good day for love for love to die. For love to die
