the best,"I call you when I need you, my heart's on fire. You come to me, come to me wild and wild. When you come to me. Give me everything I need. Give me a lifetime of promises and a world of dreams. Speak a language of love like you know what it means. And it can't be wrong. Take my heart and make it strong baby. You're simply the best, better than all the rest. Better than anyone, anyone I've ever met. I'm stuck on your heart, and hang on every word you say. Tear us apart, baby I would rather be dead. In your heart I see the star of every night and every day. In your eyes I get lost, I get washed away. Just as long as I'm here in your arms. I could be in no better place. You're simply the best, better than all the rest. Better than anyone, anyone I've ever met. I'm stuck on your heart, and hang on every word you say. Tear us apart, baby I would rather be dead. Each time you leave me I start losing control. You're walking away with my heart and my soul. I can feel you even when I'm alone. Oh baby, don't let go."
we don't need another hero,"Out of the ruins. Out from the wreckage. Can't make the same mistake this time. We are the children. the last generation. We are the ones they left behind. And I wonder when we are ever gonna change it. Living under the fear till nothing else remains. We don't need another hero. We don't need to know the way home. All we want is life beyond the thunderdome. Looking for something we can rely on. There's got to be something better out there. Love and compassion, their day is coming. All else are castles built in the air. And I wonder when we are ever gonna change it. Living under the fear till nothing else remains. All the children say. We don't need another hero. We don't need to know the way home. All we want is life beyond the thunderdome. So what do we do with our lives. We leave only a mark. Will our story shine like a life. Or end in the dark. Is it all or nothing"
what's love got to do with it?,"You must understand that the touch of your hand. Makes my pulse react. That it's only the thrill of boy meeting girl. Opposittes attract. It's physical. Only logical. You must try to ignore that it means more than that. What's love got to do, got to do with it?. What's love, but a second hand emotion. What's love got to do, got to do with it?. Who needs a heart. When a heart can be broken?. It may seem to you that I'm acting confused. When you're close to me. If a tend to look dazed I've read it someplace. I've got cause to be. There's a name for it. There's a phrase that fits. But whatever the reason you do it for me. What's love got to do, got to do with it?. What's love but a second hand emotion. What's love got to do, got to do with it?. Who needs a heart. When a heart can be broken?. I've been taking on a new direction. But I have to say. I've been thinking about my own protection. It scares me to feel this way. What's love got to do, got to do with it?. What's love but a sweet old fashioned notion. What's love got to do, got to do with it?. Who needs a heart. When a heart can be broken?"
proud mary,"(talking part). You know, every now and then I think you wanna hear. somethin from us, nice and easy. Its just one thing you see,. We never, ever do nothin nice and easy. We always do it nice and rough. But we're gonna take the beginning of this song and do it easy. And then we're gonna do the finish rough. The way we do Proud Mary. Listen to the story now. Verse 1. Left a good job in the city. Workin' for the man every night and day. And I never lost one minute of sleeping. And I was worried about the way things might have been. Chorus. Big wheels Keep on turnin. Proud Mary keeps on burnin'. And we're rollin'. Rollin, rollin, rollin on the river. Cleaned a lot of plates in Memphis,. and I pumped a lot of tanks down in New Orleans. But I never saw the good side of the city until I hitched. a ride on the river boat Queen. Chorus. do verse 1 and two faster and add verse 3. Verse 3. If you come down to the river. I betcha you're gonna find some people who live. You don't have to worry. If you got no money. The people on the river are happy to give. I said a big wheel keeps on turnin'. Proud Mary keeps on burnin', rollin', rollin'. Rollin' on a river. Rollin', rollin', rollin' on a river"
i don't wanna fight,"There's a pale moon in the sky. The kind you make your wishes on. Like the light in your eyes. The one I built my dreams upon. It's not there any longer. Something happened somewhere. And we both know why. But me, I'm getting stronger. We must stop pretending. I can't live this life. I don't care who's wrong or right. I don't really wanna fight no more (Too much talking babe). Let's sleep on it tonight. I don't really wanna fight no more (This is time for letting go). I hear a whisper in the air. It simply doesn't bother me. Can't you see that I don't care. Or are you looking right through me. Seems to me that lately. You look at me the wrong way and I start to cry. Could it be that maybe. This crazy situation is the reason why. I don't care who's wrong or right. I don't really wanna fight no more (Too much talking. babe). Let's sleep on it tonight. I don't really wanna fight no more (Tired of all these games). But baby don't you know. That I don't wanna hurt no more (It's time, I'm. walking babe). Don't care now who's to blame. I don't really wanna fight no more (This is time for. letting go). Hanging on to the past. It only stands in our way. We had to grow for our love to last. But we just grew apart. No, I don't wanna hurt no more. But baby don't you know. No I don't wanna hurt no more (Too much talking babe). Don't care now who's to blame. I don't really wanna fight no more (Tired of all these. games). I don't care who's wrong or right. I don't really wanna fight no more (It's time, I'm. walking babe). So let's sleep on it tonight. I don't really wanna fight no more (This is time for letting go)"
i don't wanna lose you,"Women of a certain age. They learn to rely and judge all his responses. Having played the mating game. She doesn't waste time. cause all that she wants is Really honest emotions. Ones he can't help but show. Though I hardly know your name. I know about love and I know. Chorus. I don't wanna lose you. I don't even wanna say goodbye. I just wanna hold on. To this true love, true love. Women who have made mistakes. Are a little afraid. they don't like taking chances. She will play the waiting game. She's never impressed by those manly advances. I know, I've only just met you. Maybe, I should know better. But when you look at me that way. There's something inside that's so right. Chorus. I don't wanna lose you. I don't even wanna say goodbye. I just wanna hold on. To this true love, true love. I don't wanna lose you. And I always wanna feel this way. Cause everytime I'm with you. I feel true love, true love. Tell me you're real. You're not pretending. Let's make a deal. 'Coz my heart's depending on you"
(darlin') you know i love you,"I know you love me Baby. But you never tell me so. I know you love me Baby. But you never tell me so. If you don`t tell me that you love me. I`m gonna pack my rags and go. I live across the street from the jukebox Baby. All night long they play the blues. I live across the street from the jukebox Baby. All night long they play the blues. Everytime they spin that record. Honey it makes me think of you. One little song in particular Baby. Always sticks is my mind. One little song in particular Baby. Always sticks in my mind. Everytime they play it Baby. I start right into cryin`. Oh Baby please don`t leave me. Now I`m gonna crawl across my bed,Baby. Cry myself to sleep. Yeah I`m gonna crawl across my bed Baby. Cry myself to sleep. And in my dreams I hear you saying. Baby please come back to me"
beyond (spiritual message),"Nothing lasts forever. No one lives forever. The flower that fades and dies. Winter passes and spring comes. Embrace the circle of life. That is the greatest love. Go beyond fear. Go beyond fear. Beyond fear takes you into a place. Where love grows. When you refuse to follow the impulses. Of fear, anger and revenge. Beyond means to feel yourself. Start every day singing like the birds. Singing takes you beyond, beyond, beyond, beyond. We need a repeated discipline. And genuine training to let go our. Old habits of mind. And to find and sustain a. A new way of seeing. Go beyond the rights and the wrongs. Prayer clears the head and. Brings back peace to the soul. Go beyond to feel the o-n-e-ness of the unity. Sing, singing takes you beyond, beyond, beyond, beyond. We are all the same, all the same. Looking to find our way back to the source. To the one to the only one. Go beyond revenge. Greatest moments in our lives is when. We allow us to teach each other. Go beyond to feel the o-n-e-ness of the unity. Singing, singing takes you beyond, beyond, beyond, beyond. Take the journey, take the journey inside of you. To become quiet to hear the beyond. To become patient to recive the beyond. To become opened to invite the beyond. And be grateful, be grateful to allow the beyond. Be in the present moment to live in the beyond. Start every day singing like the birds. Singing takes you beyond, beyond, beyond. What does love have to do with it?. Love grows when you trust. When you trust love heals and renews. Love inspires us and empowers us to do great things. And makes us a better person to love. Love makes us feel safe and bring. Us to closer to God. When you go beyond that's where. You find true love. Keep singing, singing takes you beyond, beyond, beyond, beyond"
private dancer,"All the men come in these places. And the men are all the same. You don't look at their faces. And you don't ask their names. You don't think of them as human. You don't think of them at all. You keep your mind on the money. Keeping your eyes on the wall. Chorus:. I'm your private dancer. A dancer of a money. I'll do what you want me to do. I'm your private dancer. A dancer for money. And any old music will do. I wanna make a million dollars. I wanna live out by the sea. Have a husband and some children. Yeah, I guess I want a family. All the men come in these places. And the men are all the same. You don't look at their faces. And you don't ask their names. Chorus (2 x's). Deutschmarks or dollars. American Express will do nicely...Thank You!. Let me loosen up your collar. Tell me do you wanna see me do the shimmy again. Chorus"
paradise is here,You say you want to live some. Move out into the fast lane. You say you need excitement. To make you come alive. Some place a millions miles from. The shadows that surround you. I look for your attention. You're lost out in the future. Where lovers ask no questions. And shadows never fall. Some pilgrim bound for paradise. No compromise. But paradise is here. It's time to stop your crying. The future is this moment. And not some place out there. Tonight I need your love. Don't talk about tomorrow. Right now I need your loving. Right now give it to me. Right now I want your loving. Right now- now now now. You talk about your new plans. To move on up the stairway. You dream about the highlife. That's just around the corner. But I don't need no high life. To make me feel a woman. And I don't need to reach for. No castles in sky. Just put your arms around me. Devour me. 'Cos paradise is here. It's time to stop your crying. The future is moment. And not some place out there. Tonight I need your love. Don't talk about tomorrow. Right now I need your loving. Right now give it to me. Right now I want your loving. Right now- now now now
