habits (stay high),"I eat my dinner in my bathtub. Then I go to sex clubs. Watching freaky people getting it on. It doesn't make me nervous. If anything I'm restless. Yeah I've been around and I've seen it all. I get home, I got the munchies. Binge on all my Twinkies. Throw up in the tub, then I go to sleep. And I drank up all my money. Dazed and kinda lonely. You're gone and I got to stay high. All the time to keep you off my mind. High all the time to keep you off my mind. Spend my days locked in a haze. Trying to forget you babe, I fall back down. Gotta stay high all my life to forget I'm missing you. Pick up daddies at the playground. How I spend my daytime. Loosen up the frown, make them feel alive. I'll make it fast and greasy. I'm numb and way too easy. You're gone and I got to stay high. All the time to keep you off my mind. High all the time to keep you off my mind. Spend my days locked in a haze. Tryin to forget you babe, I fall back down. Got to stay high all my life to forget I'm missing you. Standing in my play pretend. Where the fun ain't got no end. Can't go home alone again. Need someone to numb the pain. Staying in my play pretend. Where the fun ain't got no end. Can't go home alone again. Need someone to numb the pain. You're gone and I got to stay high. All the time to keep you off my mind. High all the time to keep you off my mind. Spend my days locked in a haze. Trying to forget you babe, I fall back down. Got to stay high all my life to forget I'm missing you"
talking body,"Bed, stay in bed. The feeling of your skin locked in my head. Smoke, smoke me broke. I don't care I'm down for what you want. Day drunk into the night. Wanna keep you here. 'Cause you dry my tears. Yeah summer love and then fights. How it is for us. And it's all because. Now if we're talking body. You got a perfect one. So put it on me. Swear it won't take you long. If you love me right. We fuck for life. On and on and on. Love, give me love. Anything you want, I'll give it up. Lips, lips I kiss. Bite me while I taste your fingertips. Day drunk into the night. Wanna keep you here. 'Cause you dry my tears. Yeah summer love and then fights. How it is for us. And it's all because. Now if we're talking body. You got a perfect one. So put it on me. Swear it won't take you long. If you love me right. We fuck for life. On and on and on. Bodies, our baby making bodies. We just use for fun. Bodies, let's use them up. 'Till every little piece is gone. On and on and on. On and on. Now if we're talking body. You got a perfect one. So put it on me. Swear it won't take you long. If you love me right. We fuck for life. On and on and on"
"bitches (feat. charli xcx, icona pop, elliphant, alma)","Appreciate it. Touch me like you know what you do and what you don't. But I'm feeling jaded. Know your own love, I don't fuck with no glove. So why complicate it?. Let me be your guide when you eat my pussy out. 'Cause I've had one or two, even a few. Yeah, more than you. It's Charli, baby. All the girls stare at me, drop lip. Dripping in harmony, like Fifth. Lay 'em down, feel 'em up. And they slide away, so easy. So easy, so easy, like, yeah. Bitches, I don't trust 'em. But they give me what I want for the night. Bitches, I don't trust 'em. But I tell 'em and they do what I like, why. Bitches, I don't trust 'em. But they give me what I want for the night. Bitches, I don't trust 'em. But I tell 'em and they do what I like, why. They can't fake it (No no, no). Drying off the seat. when they getting up to leave (So wet). So they getting noticed. I'm better if they blunt, I don't really wanna hunt. So why complicate it?. I call it respect when you givin' what you get. So, baby, spread your legs. I'll do the same, already cumming. All the girls stare at me, drop lip. Dripping in harmony, like Fifth. Lay 'em down, feel 'em up. And they slide away, so easy. So easy, so easy, like, yeah. Bitches, I don't trust 'em. But they give me what I want for the night. (For the night, yeah yeah). Bitches, I don't trust 'em. But I tell 'em and they do what I like, why. Bitches, I don't trust 'em. But they give me what I want for the night. (What I want, what I want, what I want, uh). Bitches, I don't trust 'em. But I tell 'em and they do what I like, why. B is for balance, I for intelligence. T stands for tough, trouble, truly terrific. C for courage, H, bitch, holy. Rise high, pollenate, Aphrodite, right. Turn my touches into neon light. Chat it up, now, doggy, come suck my eight titties. I'm a free-headed goddess from the full moon land. Venus hit the bong, gon' sing it straight. We tougher now, we stand strong in the storm. We don't back down, we don't take shit no more. We don't back down, now we ahead of the game. It's a new day of bitches that no man can tame, yeah. Bitches, I don't trust 'em. But they give me what I want for the night. (Yeah yeah yeah yeah). Bitches, I don't trust 'em. But I tell 'em and they do what I like, why. Bitches, I don't trust 'em. But they give me what I want for the night (Oh, yeah). Bitches, I don't trust 'em. But I tell 'em and they do what I like, why. (I call it respect when you givin' what you get, so). Bitches, I don't trust 'em. But they give me what I want for the night (Like that). Bitches, I don't trust 'em. But I tell 'em and they do what I like, why. Bitches, I don't trust 'em. But they give me what I want for the night"
cycles,"What's your name?. I can tell you our story before we get into the game. We fall head over heels overnight. See my face in your future. I'm in your future, in your nights, mm. We're intense. In a lip-lock now 24 7, don't want it to end. But reality's waitin', they say better come up for air soon. Yeah, come up for air soon. Make a change, mm. Fallin' again, and don't understand. Never my plan, nah. I'm in a cycle. Yeah, I admit it. How can I change it when I don't know when I'm in it?. I'm in a cycle. Swear this is different. Don't wanna end it, if you leave then I keep spinnin'. My life's a cycle. Don't mean we ain't true. Just 'cause I talk about the things I've done before you. I'm in a cycle. Swear this is different. Don't wanna end it, if you leave then I keep spinnin'. You're afraid (yeah). The way I love you now and my love in the past are the same. And the things that I say are exactly what I used to tell them. And that really hurts me, but I know, mm. Fallin' again, and don't understand. Never my plan, no. I'm in a cycle. Yeah, I admit it. How can I change it when I don't know when I'm in it?. I'm in a cycle. Swear this is different. Don't wanna end it, if you leave then I keep spinnin'. My life's a cycle. Don't mean we ain't true. Just 'cause I talk about the things I've done before you. I'm in a cycle. Swear this is different. Don't wanna end it, if you leave then I keep spinnin'. Guess I'm romantic in a way. Why don't you catch me when I sway?. 'Cause when my heart falls out of place. I know (oh, oh, oh). I'm in a cycle. Yeah, I admit it. How can I change it when I don't know when I'm in it?. I'm in a cycle. Swear this is different. Don't wanna end it, if you leave then I keep spinnin'. My life's a cycle. Don't mean we ain't true. Just 'cause I talk about the things I've done before you. I'm in a cycle. Swear this is different. Don't wanna end it, if you leave then I keep spinnin'"
cool girl,"You can run free, I won't hold it against ya. You do your thing, never wanted a future. Fuck if I knew how to put it romantic. Speaking my truth, there's no need to panic. No, let's not put a label on it. Let's keep it fun. We don't put a label on it. So we can run free, yeah. I wanna be free like you. I'm a, I'm a, I'm a cool girl, I'm a, I'm a cool girl. Ice cold, I roll my eyes at you, boy. I'm a cool girl, I'm a, I'm a cool girl. Ice cold, I roll my eyes at you, boy. Rules you don't like, but you're still gonna keep 'em. Said you want fines for whatever reason. Show we can chill, try and keep it platonic. Now you can't tell if I'm really ironic. No, let's not put a label on it. Let's keep it fun. We don't put a label on it. So we can run free, yeah. I wanna be free like you. I'm a, I'm a, I'm a cool girl, I'm a, I'm a cool girl. Ice cold, I roll my eyes at you, boy. I'm a cool girl, I'm a, I'm a cool girl. Ice cold, I roll my eyes at you, boy. I'm a cool girl, I'm a, I'm a cool girl. Ice cold, I roll my eyes at you, boy. I'm a cool girl, I'm a, I'm a cool girl. Ice cold, I roll my eyes at you, boy. I got fever highs. I got boiling blood. I'm that fire. We could burn together. I'm a, I'm a cool girl, I'm a, I'm a cool girl. Ice cold, I roll my eyes at you, boy. I'm a cool girl, I'm a, I'm a cool girl. Ice cold, I roll my eyes at you, boy. I'm a cool girl, I'm a, I'm a cool girl. Too cool for you. I'm a cool girl, I'm a, I'm a cool girl. I'm a I'm a cool girl, I'm a, I'm a cool girl. Ice cold, I roll my eyes at you, boy"
"hey, you got drugs?","Two years of change. Now they say never change, never did. Keep loving me for a night. Think you're free? I don't quit. Come on my sweet escape for a while just to try it on. I'm dancin' away. While it's all fun and games 'til its not. We don't wanna go home. (Better dance for us). You're fucked but, oh, you're so fun. (How you holding on?). I don't know tomorrow. (If it comes or not). But I promise for life you can brag 'bout tonight. You won't save the night for me. You won't save the night for me. You won't save the night for me. And I ain't never gonna go home. Ten years of highs just for fun. Not a height 'til I'm caught. Pain from the past like a small piece of glass in my heart. This should be the time of my life. You fucking made it your deal, your deal. And I keep dancin' away. 'Cause it's all fun and games 'til its real. We don't wanna go home. (Better dance for us). You're fucked but, oh, you're so fun. (How you holding on?). I don't know tomorrow. (If it comes or not). But I promise for life you can brag 'bout tonight. You won't save the night for me. You won't save the night for me. You won't save the night for me. And I ain't never gonna go home. Hey, you got drugs?. Just need a pick-me-up only for tonight. Don't tell anyone I was with ya. Yeah, it's good stuff, but I'm resistin' now. Take it if you want. Think I've fallen out of my feelings. We don't wanna go home. (Better dance for us). You're fucked but, oh, you're so fun. (How you holding on?). I don't know tomorrow. (If it comes or not). But I promise for life you can brag 'bout tonight. You won't save the night for me. You won't save the night for me. You won't save the night for me. And I ain't never gonna go home. Go home. Hey, you got drugs?. Just need a pick-me-up only for tonight. Don't tell anyone I was with ya. Yeah it's good stuff but I'm resisting now. Take it if you want. Think I've fallen out of my feelings. Hey, you got drugs?. Just need a pick-me-up only for tonight. Don't tell anyone I was with ya. Yeah it's good stuff but I'm resisting now. Take it if you want. Think I've fallen out of my feelings. Hey, you got drugs?. Just need a pick-me-up only for tonight. Don't tell anyone I was with ya. Yeah it's good stuff but I'm resisting now. Take it if you want. Think I've fallen out of my feelings. Hey, you got drugs?. Just need a pick-me-up only for tonight. Don't tell anyone I was with ya. Yeah it's good stuff but I'm resisting now. Take it if you want. Think I've fallen out of my feelings"
stay high (feat. hippie sabotage),"Staying in my play pretend. Where the fun ain't got no end. Staying in my play pretend. Where the fun ain't got no end. Staying in my play pretend. Where the fun ain't got no end. Can't go home alone again. Need someone to numb the pain. Can't go home alone again. Need someone to numb the pain. Can't go home alone again. Need someone to numb the pain. Staying in my play pretend. Where the fun ain't got no end. Can't go home alone again. Need someone to numb the pain. You're gone and I got to stay high. All the time. To climb, too high. All the time. To climb, too high. All the time. To keep you off my mind. High... all the time. To climb, too high. All the time. To climb, too high. All the time. To keep you off my mind. Staying in my play pretend. Where the fun ain't got no end. Staying in my play pretend. Where the fun ain't got no end. Staying in my play pretend. Where the fun ain't got no end. Can't go home alone again. Need someone to numb the pain. Can't go home alone again. Need someone to numb the pain. Can't go home alone again. Need someone to numb the pain. Staying in my play pretend. Where the fun ain't got no end. Can't go home alone again. Need someone to numb the pain. You're gone and I got to stay high. All the time. To climb, too high. All the time. To climb, too high. All the time. To keep you off my mind. High... all the time. To climb, too high. All the time. To climb, too high. All the time. To keep you off my mind"
thousand miles,"Too far away to feel you. But I can't forget your skin. Wonder what you're up to. What state of mind you're in. Are you thinking 'bout the last time. Your lips all over me?. 'Cause I'd play it in a rewind. Where you are I wanna be. Wanna fly to you like birds do. Straight across the world. My body, your hands, uh. And I'm missing every word. You are mine, yeah you say so. When you call me late nights. But I wonder how should I know. You're in love enough to fight. Fading away, when you're drunk and alone. Can't see my face in your heart anymore. Telling yourself you don't feel like before. And that's when I run. All of these thousand miles. That's when I run. All of these thousand miles. To get you back. Coming for you baby, I'm coming now. That's when I run. All of these thousand miles. To get you back. Wrapped around your fingers. Let you dive into my low. You remember all my triggers. Physical and stuff. Back and forth forever. Is it how it's gonna be?. Even when we're not together. Will you stay with me?. Fading away, when you're drunk and alone. Can't see my face in your heart anymore. Telling yourself you don't feel like before. And that's when I run. All of these thousand miles. That's when I run. All of these thousand miles. To get you back. Coming for you baby, I'm coming now. That's when I run. All of these thousand miles. To get you back. All of these, all of these thousand miles. To get you back. All of these, all of these thousand miles. To get you back. All of these, all of these thousand miles. To get you back. All of these, all of these thousand miles. That's when I run. All of these thousand miles. That's when I run. All of these thousand miles. To get you back. Coming for you baby, I'm coming now. That's when I run. All of these thousand miles. To get you back. All of these, all of these thousand miles. To get you back. All of these, all of these thousand miles. All of these, all of these thousand miles. To get you back"
disco tits,"I say hi, you say hi. We stay high. You look so pretty, yeah. I'm sweatin' from head to toe. I'm wet through all my clothes. I'm fully charged, nipples are hard. Ready to go. I'm sweatin' from head to toe. I'm wet through all my clothes. I'm fully charged, nipples are hard. Ready to go. No, I don't, I don't have a type. Take a hit. Come on over tonight. Take a hit. You can follow my bloodstream. No, I don't have a type. Live right now, peakin' on top. So wild now, I'm high as fuck. Don't look down. My mind, you can relax. I know how to dial it back. Not this time. I say hi, you say hi. We stay high. You look so pretty, yeah. I'm sweatin' from head to toe. I'm wet through all my clothes. I'm fully charged, nipples are hard. Ready to go. I'm sweatin' from head to toe. I'm wet through all my clothes. I'm fully charged, nipples are hard. Ready to go. No, I don't, I don't have a type. Take a hit. Come on over tonight. Take a hit. You can follow my bloodstream. No, I don't have a type. Live right now, peakin' on top. So wild now, I'm high as fuck. Don't look down. My mind, you can relax. I know how to dial it back. Not this time. I say hi, you say hi. We stay high. You look so pretty, yeah. I'm sweatin' from head to toe. I'm wet through all my clothes. I'm fully charged, nipples are hard. Ready to go. I'm sweatin' from head to toe. I'm wet through all my clothes. I'm fully charged, nipples are hard. Ready to go. You think I'm drunk now, but I am not. You're so pretty, come roll with me. I'm 'bout to get down, I'm high as fuck. I'm no chemist, but it's good shit. I'm sweatin' from head to toe. I'm wet through all my clothes. I'm fully charged, nipples are hard. Ready to go. I'm sweatin' from head to toe. I'm wet through all my clothes. I'm fully charged, nipples are hard. Ready to go. I say hi, you say hi. We stay high. You look so pretty, yeah. Got good shit, what is it?. No chemist, still want that magic, yeah. I say hi, you say hi. We stay high. You look so pretty, yeah. Got good shit, what is it?. No chemist, still want that magic, yeah"
true disaster,"Pretty boys that didn't teach me. things I didn't know. They don't have the thing that I need. But they don't know they don't. You got that old thing about ya'. And I can't hide my feels. Pretty girls that always die out. Need another sex appeal. Say come on, zero fucks about it. Come on, I know I'm gonna get hurt. Come on, zero fucks about it. Come on. Keep playing my heartstrings. faster and faster. You can be just what I want. my true disaster. Keep playing my heartstrings. faster and faster. You can be just what I want. my true disaster. Pretty girls that like it fancy. But you don't keep it clean. We get dirty and we go hard. Some thing's we don't mean. Tell me no one's gonna get ya'. I'm just straight up mad. I fall in love, roll up beside me. And you're just as bad. Say come on, zero fucks about it. Come on, I know I'm gonna get hurt. Come on, zero fucks about it. Come on. Keep playing my heartstrings. faster and faster. You can be just what I want. my true disaster. Keep playing my heartstrings. faster and faster. You can be just what I want. my true disaster. Keep playing it like. Keep playing it like. Keep playing it like. Keep playing it like. Keep playing my heartstrings. faster and faster. You can be just what I want. my true disaster. Keep playing my heartstrings. faster and faster. You can be just what I want. my true disaster"
