one of us,"They passed me by, all of those great romances. You were, I felt, robbing me of my rightful chances. My picture clear, everything seemed so easy. And so I dealt you the blow. One of us had to go. Now it's different, I want you to know. One of us is crying. One of us is lying. In her lonely bed. Staring at the ceiling. Wishing she was somewhere else instead. One of us is lonely. One of us is only. Waiting for a call. Sorry for herself, feeling stupid feeling small. Wishing she had never left at all. I saw myself as a concealed attraction. I felt you kept me away from the heat and the action. Just like a child, stubborn and misconceiving. That's how I started the show. One of us had to go. Now I've changed and I want you to know. One of us is crying. One of us is lying. In her lonely bed. Staring at the ceiling. Wishing she was somewhere else instead. One of us is lonely. One of us is only. Waiting for a call. Sorry for herself, feeling stupid feeling small. Wishing she had never left at all. Never left at all. Staring at the ceiling. Wishing she was somewhere else instead. One of us is lonely. One of us is only. Waiting for a call"
say la la la la,"Verse 1. I wanna know about her style. And i know what makes her wild. And in case you didn't know by now. The bad boys commin'. There's no runnin'. U really got me sayin' la la. U know i'm creepin' from behind ya. Won't u let me take control. Cuz i just wanna feel your body. Bridge. Just shake it down 'cuz ur movin'. Way to fast. You're talkin' off like a rocket at. Full blast. Lookin' tight got me sayin' i like that. Girl u got the fellas sayin'. Chorus. Say la la la la. U got me goin' crazy today, you're. Playin' with my mind all the way. Hey girl u wanna come out and play. (and all the boyz say). (ohhhhs). Verse 2. She's lookin' really hot like fire. She's everything that i desire. I love the way her booty rolls. She's got me fiendin' me. I'm just schemin'. If only i could make her mine. And have her hooked up on her line. Then we can keep it on a low. Cuz i just wanna rock that body. Bridge. Just shake it down 'cuz ur movin'. Way to fast. You're talkin' off like a rocket at. Full blast. Lookin' tight got me sayin' i like that. Girl u got the fellas sayin'. Chorus. Say la la la la. U got me goin' crazy today, you're. Playin' with my mind all the way. Hey girl u wanna come out and play. (and all the boyz say). (ohhhhs). U know she's lookin' really hot. She's workin' every bit she's got. I love the way her booty rolls. She's got me fiendin' and. I'm just schemin'. How i could one day make her mine. And have her hooked up on her line. Girl we can keep it on a low. Girl u got the fellas sayin' ..."
last to know,"V1:. I´m not gonna be the same without you. I don´t wanna be a chapter out of you life. I don´t wanna make the wrong decision. Can I come back home,. Is the love that we have still for real?. BRIDGE:. I´m feelin,heartbroken;my life is toen and broken in two. I´m cryin,these tears for you,girl what can I do. CHORUS:. I don´t wanna lose you,I don´t wanna let it go. I don´t wanna be the last to know. I don´t wanna leave you,I just wanna be whit you. If there´s more that I should know,. I don´t wanna know. V2:. I don´t wanna spend my days without you. I don´t wanna bring the heartache into your life. People talking but Ijust don´t listen. I can´t be alone,can´t you see what this love done to me"
baby i like,"Ha...yeah...US5. I like the way you work. I like the way you teasin me. I wanna be your fantasy. Girl I like the way you move. Seen you from across the room. I feel your body close to mine. the temperature is risin' now. I fell because I need your nights. take us to another hipe. but how about me. spend our lies together forever. You so right, you're delight. I just wanna hold you tight. feel my body's shakin' coz I like it- I like it!. Don't think twice, bein' my wife. take a chace to paradise. wanna make you satisfice. coz you're the one I like. Baby I like. the way you worked your body for me. you do it so sensationly. I like the way you're tesin' me. Girl I like. I take you on a journey with me. I wanna be your fantasy. I wanna be your everything tonight. Na, na, na.... Can we getting closer now?. I took we showed just let it out. I take we want a magic rise. oh we can do it every night. Feel your body hot like fire. only wish it's my desire. to tell me what you likin'. I will be there - I be there!. You so right, you're delight. I just wanna hold you tight. feel my body's shakin' coz I like it- I like it!. Don't think twice, bein' my wife. take a chace to paradise. wanna make you satisfice. coz you're the one I like. Baby I like. the way you worked your body for me. you do it so sensationly. I like the way you're tesin' me. Girl I like. I take you on a journey with me. I wanna be your fantasy. I wanna be your everything tonight. Na, na, na.... And what you wanna do?. You waitin' for the signe. Is it's feelin' in the air and I like it - I like it!. You feel secure what you want show. and I'm thinkin' all was good. could a friend with you, for rendezvous. with your party all I like. Baby I like. the way you worked your body for me. you do it so sensationly. I like the way you're tesin' me. Girl I like. I take you on a journey with me. I wanna be your fantasy. I wanna be your everything tonight. Na, na, na.... All night long. The way you worked with me. All night long. Baby I like. Girl I like. Baby I like"
come back to me baby,"[Mike]. Come back to me. Just come back to me, girl yeah. Come back to me. [Richie]. Girl I use to think it was okay. I don´t know what to say. I need you in my life. The love we share you know it felt so strong. But I feel somethins' wrong. Girl I need you now. [Jay]. I don't wanna believe that it's over. I don't wanna believe this love is row. All I want is to look in your eyes and be with you, oh yeah. Chorus:. Come back to me baby. Come back cause I need you by my side. Come back to me baby. Cause I need you here. [Chris]. Now I'm praying for a better day. That we can find a way. To make this feel okay. [Jay and Chris]. Tell me why we have to be alone (alone). How can we carry on (carry, carry on). If there's pain inside, oh girl. Chorus: [Chris]. Come back to me baby (come back, come back). Come back cause I need you by my side. Come back to me baby. Cause I need you here (oh girl I need you here). Come back to me baby (come back, come back, come back). Come back cause I need you by my side (oh girl). Come back to me baby. Cause I need you here (tonight I'm gonna be with you). [Mike]. Why can't you see. My love is real. If only I had you in my arms. Please come back to me. I'll make you feel the love that I have. It's what I ever yeah yeah want. Chorus. [Mike and Chris]. Just come back to me (come back, come back, come back). Just come back to me girl yeah. Come back to me. Cause I need you here. [Richie]. Come back to me baby. Come back cause I need you by my side. Come back to me baby. Cause I need you here, with me"
a girl like you,"Jay:. Yeah it’s just a girl like you. Oh would you know girl. You’ll be on my mind. Sit back and reclaimed that we read the line. Girl Check it check it ya. what’s up what’s up come on. Like. Chris:. Simple words just can’t describe the way. That I feel for you baby. You When I look into your eyes I feel just so hypnotized by you. you’re like a dream come true to me my love. and it feels so good to tell the world that you’re my girl. Mikel:. I feel so happy that we are here together. you’re a blessing in Disguise. I thank the lord to have you right here by my side. Chorus:. Cause a girl like you. Is all I ever wanted. Cause a girl so sweet. Like you could make my dreams come true. Cause a girl like you. Could make my grey skies turn to blue. Girl I swear there’s nothing that I probably wouldn’t do. Girl For a girl like you. Jay:. If only you could feel. Like The way that I feel. Deep inside, baby. Girl you would be surprised. You When you look in my eyes and feel. There’s something real for you my love. and it feels so good to tell the world that you’re my girlI. I feel so happy that we are here together girl. I’m feeling butterflies. And you’re the reason why I feel like I can fly. Chorus:. Cause a girl like you. Is all I ever wanted. Cause a girl so sweet. Like you could make my dreams come true. Cause a girl like you. Could make my grey skies turn to blue. Girl I swear there’s nothing that I probably wouldn’t do. Cause a girl like you. Is all I ever wanted. Cause a girl so sweet. Girl Like you could make my dreams come true. Cause a girl like you. Like Could make my grey skies turn to blue. Girl I swear there’s nothing that I probably wouldn’t do. You. Bridge:. Cause a girl like you. Is more than a dream come true to me. You’re just like a fantasy. It’s you so girl just take my hand and see. I’m so happy to have you right here next to me. You’re so sweet. Mikel: You’re soooo sweeet. Chorus:. Cause a girl like you. Is all I ever wanted. Cause a girl so sweet. Like you could make my dreams come true. Cause a girl like you. Could make my grey skies turn to blue. Girl I swear there’s nothing that I probably wouldn’t do. 3x. For a girl like you"
as good as it gets,Make the sunrise wake each morning till you opened up your eyes. Take the brightest stars at night and write your name across the sky. As I wouldn't stop until your world was just the way that it should be. Good But first I'd make you fall in love with me. It. Chris:. If I had a magic lamp to make my wishes true. Gets I wouldn't have to think at all I would make each one for you. Richie:. If I caught a falling star and it could make my dreams come true. I've been dreaming all my life of everything I'd do. Chorus:. I'd make the sunrise wake each morning till you opened up your eyes. Take the brightest stars at night and write your name across the sky. I wouldn't stop until your world was just the way that it should be. But first I'd make you fall in love with me. Jay:. Love can make you wish for powers you cannot posses. But all I'd ever use them for is to bring you happiness. As. Mikel:. Girl I'm so in love with you there's nothing left to say. Good Accept that I'd do anything to make you feel this way. It Ooohhhhhhh I. Chorus:. I'd make the sunrise wake each morning till youu opened up your eyes. Gets Take the brightest stars at night and write your name across the sky. I wouldn't stop until your world was just the way that it should be. But first I'd make you fall in love with me (x2). But first I'd make you fall. But first I'd make you fall in Love with me. But first I'd make you fall in Love with me
baby be mine,"Baby, I think about you all the time. Now all I ask is for you to be my girl. Do you feel me?. Baby girl don't you know it. Everything that I say is true. All my love gonna show it (let you know baby girl what I feel for you). In my heart there's a feeling. Something real that I can't ignore. I like the way you are, are. . In my mind you're my girl and I want ya'. If I could make you love me forever. So get into my life want you here by my side. And I can make you feel so right,so right. . Baby be mine. You are the one for me and girl these words are true. Girl you're so fine. I'll be you're everything and I'll be waiting. I'll be the one. I'll be your destiny you're always on my mind. The whole night through watching you, watching you. Cause' you're my lady. Everything that I see ya'. I get chills by the way you move. Everything's got a reason (like the day baby girl when I first saw you). All I need is affection. Wish i had some of yours tonight. Let's make this last for life, life. . Baby, I think about you all the time. Now all I ask is for you to be my girl. Do you feel me?"
baby i like,"Ha...yeah...US5. I like the way you work. I like the way you teasin me. I wanna be your fantasy. Girl I like the way you move. Seen you from across the room. I feel your body close to mine. the temperature is risin' now. I fell because I need your nights. take us to another hipe. but how about me. spend our lies together forever. You so right, you're delight. I just wanna hold you tight. feel my body's shakin' coz I like it- I like it!. Don't think twice, bein' my wife. take a chace to paradise. wanna make you satisfice. coz you're the one I like. Baby I like. the way you worked your body for me. you do it so sensationly. I like the way you're tesin' me. Girl I like. I take you on a journey with me. I wanna be your fantasy. I wanna be your everything tonight. Na, na, na.... Can we getting closer now?. I took we showed just let it out. I take we want a magic rise. oh we can do it every night. Feel your body hot like fire. only wish it's my desire. to tell me what you likin'. I will be there - I be there!. You so right, you're delight. I just wanna hold you tight. feel my body's shakin' coz I like it- I like it!. Don't think twice, bein' my wife. take a chace to paradise. wanna make you satisfice. coz you're the one I like. Baby I like. the way you worked your body for me. you do it so sensationly. I like the way you're tesin' me. Girl I like. I take you on a journey with me. I wanna be your fantasy. I wanna be your everything tonight. Na, na, na.... And what you wanna do?. You waitin' for the signe. Is it's feelin' in the air and I like it - I like it!. You feel secure what you want show. and I'm thinkin' all was good. could a friend with you, for rendezvous. with your party all I like. Baby I like. the way you worked your body for me. you do it so sensationly. I like the way you're tesin' me. Girl I like. I take you on a journey with me. I wanna be your fantasy. I wanna be your everything tonight. Na, na, na.... All night long. The way you worked with me. All night long. Baby I like. Girl I like. Baby I like"
baby you're the one,"Vers 1:. It´s So Hard To Belive It, Can´t Believe That I Found You Girl,. All That I Ever Wanted, Is In You Before My Eyes,. I Know That You Are my Angel,. Heaven Sent From The Lord Above,. I Simply Can´t Believe It,. I´ll Be All You Ever Need…... Chorus:. Baby You´re The One That I Need,. Everything I Want You To Be,. Girl Its Only You That I Adore,. All I Need And So Much More,. Baby You´re The One That I Need,. Everything I Want Because Its You I´m Begging For,. I Call Your Name,. Girl My Heart Is Yours For Sure. Baby You´re The One….. Vers 2:. Here´s My Heart You Can Keep It, You´re The Only One In My World,. Girl I Hope You Can Feel It, That I Want You By My Side. I feel Just Like I´m In Heaven,. And I Hope You Can Feel it too,. Its Hard To Just Believe It. But I Swear These Words Are True. C-Part:. When I See You Girl I Swear That I. Want You Always In My Life, You´re The Key To Find. My Way To Paradise,. I´ve Been Longing For This Moment,. Ever Since I´ve Seen Your Smile,. I Would Do Most Anything To Have You. Right Here By My Side. Chorus:. Baby You´re The One That I Need,. Everything I Want You To Be,. Girl Its Only You That I Adore,. All I Need And So Much More,. Baby You´re The One That I Need,. Everything I Want Because Its You I´m Begging For,. I Call Your Name,. Girl My Heart Is Yours For Sure. Baby You´re The One….. C-Part:. When I See You Girl I Swear That I. Want You Always In My Life, You´re The Key To Find. My Way To Paradise,. I´ve Been Longing For This Moment,. Ever Since I´ve Seen Your Smile,. I Would Do Most Anything To Have You. Right Here By My Side. 2x Chorus"
bad girl,"Vers 1:. We Just Came To The Party. The Girls Know How We Do. What´s That, Looks Kind Of Naughty. Watch Your Step Cause She´s Bad Bad Girl. She´ll Spend All Of Your Money, Leave You Find The Next Guy. She´s One Hell Of A Shorty, Damn She´s Hot But She´s A Bad Bad Girl.. Pre-Chorus:. She Will Steal Your Soul And Mind, Then She´ll Leave You Far Behind. She´s A Crazy Girl But She Rocks My World She´s So Very Naughty. Chorus:. Shorty´s Just A Bad Girl A Bad Girl I Adore She´s A Crazy Wild Man-Eater. Just A Bad Girl My Girl Is The Baddest Of Them All. Vers 2:. My Girl Likes To Get Rowdy. She´s Just One Of A Kind. My Friends They Always Warn Me. Boy What´s Up You Better Change Your Mind. It´s Just Not Getting To Me Her Love Made Me Go Blind. Clip That Time To Get Naughty Damn She´s Hot But She´s A Bad Bad Girl. Pre-Chorus:. She Will Steal Your Soul And Mind, Then She´ll Leave You Far Behind. She´s A Crazy Girl But She Rocks My World She´s So Very Naughty. Chorus:. Shorty´s Just A Bad Girl A Bad Girl I Adore She´s A Crazy Wild Man-Eater. Just A Bad Girl My Girl Is The Baddest Of Them All. C-Part:. She Looks So Fine, She´s The Girl Of My Dreams. One Of A Kind No One Else Can Compete. I Can´t Deny How She Made Me Loose My Mind That Girl Is The Baddest Of Them All. 2x Chorus"
be my girlfriend,"Chorus. Say you'll be my girlfriend. 'cause you know you'll never ever fin a better man. Mi amore you're what i want. Just be my girlfriend. Be It's just you not any other ain't no better lover. My Come on baby be my girlfriend. Jay:. See you walking there. Girlfriend You play your game so smoove. When you came through the door. My heart fell to the floor. So tell me what to do. So I can get with you. Talk to me my lady friend. Girl your love is heaven sent. Chorus:. Say you'll be my girlfriend. 'cause you know you'll never ever fin a better man. Mi amore you're what i want. Just be my girlfriend. It's just you not any other ain't no better lover. Alle Come on baby be my girlfriend. Richie:. Get ready for Part 2. Of getting down with you. You got me on a string. Be To me you're everything. You turn my world around. You lift me up and down. My Girl I need you by my side. Let us two be unified. Girlfriend. Chorus:. Say you'll be my girlfriend. 'cause you know you'll never ever fin a better man. Mi amore you're what i want. Just be my girlfriend. It's just you not any other ain't no better lover. Come on baby be my girlfriend. Ah, be my girl, my girl girlfriend. Uh ah, be my girl my girl girlfriend. Uh. Jay:. Yeah mi amore. I see you walking there. You play your game so smoove. I just want you to be my girl. Do you hear me. I want you to be my girlfriend. Chorus:. Say you'll be my girlfriend. 'cause you know you'll never ever fin a better man. Be Mi amore you're what i want. Just be my girlfriend. My It's just you not any other ain't no better lover. Girlfriend Come on baby be my girlfriend (x2). Ah, be my girl, my girl girlfriend. Uh ah, be my girl my girl girlfriend. Uh"
best friend,"And after everything that we've been through. I'm still here with you. Cuz you're still my lady, cuz you're my lady. I swear I'm gonna make you happy. for the rest of my life. Cuz you're my lady and I'm your best friend,. and I'm your best friend. In times when all hope is gone. And sadness fills your heart with pain. You wonder (yeah). If there's anyone that you can call. To somebody who's left all alone. You're such a loyal friend and now I know that I'll never find. somebody quite like you. I appreciate the day you came and you stayed. And after everything that we've been through. I'm still here with you. Cuz you're still my lady, cuz you're my lady. I swear I'm gonna make you happy. for the rest of my life. Cuz you're my lady and I'm your best friend,. and I'm your best friend. Some people said that we'd never survive we showed. them that dreams can come true and it's for sure. Our secret lies behind an endless friendship and nothing. could tear us apart. You're such a loyal friend and now I know that I'll never find. somebody quite like you. I appreciate the day you came and you stayed. And after everything that we've been through. I'm still here with you. Cuz you're still my lady, cuz you're my lady. I swear I'm gonna make you happy. for the rest of my life. Cuz you're my lady and I'm your best friend,. and I'm your best friend. True love so hard to find. Especially if it's someone you can call your best friend. No matter what problems occur you will overcome them. with her, with her. And after everything that we've been through. I'm still here with you. Cuz you're still my lady, cuz you're my lady. I swear I'm gonna make you happy. for the rest of my life. Cuz you're my lady and I'm your best friend,. and I'm your best friend"
come back to me baby,"[Mike]. Come back to me. Just come back to me, girl yeah. Come back to me. [Richie]. Girl I use to think it was okay. I don´t know what to say. I need you in my life. The love we share you know it felt so strong. But I feel somethins' wrong. Girl I need you now. [Jay]. I don't wanna believe that it's over. I don't wanna believe this love is row. All I want is to look in your eyes and be with you, oh yeah. Chorus:. Come back to me baby. Come back cause I need you by my side. Come back to me baby. Cause I need you here. [Chris]. Now I'm praying for a better day. That we can find a way. To make this feel okay. [Jay and Chris]. Tell me why we have to be alone (alone). How can we carry on (carry, carry on). If there's pain inside, oh girl. Chorus: [Chris]. Come back to me baby (come back, come back). Come back cause I need you by my side. Come back to me baby. Cause I need you here (oh girl I need you here). Come back to me baby (come back, come back, come back). Come back cause I need you by my side (oh girl). Come back to me baby. Cause I need you here (tonight I'm gonna be with you). [Mike]. Why can't you see. My love is real. If only I had you in my arms. Please come back to me. I'll make you feel the love that I have. It's what I ever yeah yeah want. Chorus. [Mike and Chris]. Just come back to me (come back, come back, come back). Just come back to me girl yeah. Come back to me. Cause I need you here. [Richie]. Come back to me baby. Come back cause I need you by my side. Come back to me baby. Cause I need you here, with me"
