doin' it too,"You think you're slick. Tryin' to keep me in the dark. You're goin' through the motions. Girl you're rubbin' my heart. You act like I can't get worried about it. Heard you been doin' dirt. Inviting fellas to ya body. Throw a fit when come up in the house mad late. You ain't the same even girl. Let's set the record straight. I know somethin' that you don't. Like me hittin' other girls. Baby come clean cause you ain't foolin'. Chorus 1:. You ain't foolin' nobody. Give it to me straight. Girl, I know there's somebody. Else that you playin' oh. You ain't the only one I'm doin' it to. You wanna know just how I know. Girl, I'm doin' it too. Chorus 2:. Girl, I know all about it. We can work it out. Just tell me about it. You ain't gotta front now. You ain't the only one I'm doin' it to. You wanna know just how I know. Girl, I'm doin' it too. I see you went and got yourself another cell phone. One to keep in the car, the other one for home (When I. call ya). You don't answer, but you send a text back. I know that game girl, yo what type of play is that. See we could work through this, all you gotta do is. Tell me the truth, we don't have to go through it. We've been together too long, to let someone come and. destroy our home. Oh, just let me know, ooh. What you really want girl. We could let this go. Unless you come clean cause. Chorus 1. Chorus 2. I put all my cards on the table (table). So let me know just where you want to go from here. I got a girl on my right,. You got a man on your left. Baby, we're stuck in the middle tryin' to figure out. what's best. I ain't tryin' to lose ya. What we gotta do to. Keep this thing together. Chorus 1. Girl, I know all about it. We can work it out. Just tell me about it. You ain't gotta front now (you creepin' on me). You ain't the only one I'm doin' it to (I'm creepin on. you). You wanna know just how I know (you ain't the only one. that I'm doin' it to). Girl, I'm doin' it too"
for you,"VERSE. Pretty girl. Maybe ya can make this easy. Baby just bring it all to me. You could be the one to turn it round, turn it round. I feel you. Like I never felt no body. Baby I'm sweatin' ya shorty. So what I gotta do to turn ya round, turn ya round. PRE. Yes no maybe so. If you wanna tell me just let me know. Why you turn away. It's like you're too afraid to trust. CHORUS. For you I'll take a chance. Give you everything I have. Baby girl I got it bad. Like a sickness in my head. For you I'll make all them other girls mad. Watch me shake them off my back. Let me shake them off like that. VERSE. Hey you. Why wanna keep me waiting. When ya know that I'm not playing. 24/7 I'm into you, into you. I'm ready. You better get ready too girl. Cause I'm about to put it on you girl. Everything you got I'm into you, into you. PRE. CHORUS. BREAKDOWN. For you I'll take a chance under any circumstance. For you I'll take a chance under any circumstance. CHORUS"
i can change your life,"I can change your life. I know what you're use to.. And I can show you something that's better.. See girl I know.. He use to abuse you, he only used to get on my level.. [Chorus]. I can change your life if you let me.. I can do it. I know just what you need.. I can change your life.. Girl, you make me happy and if you let me.. And if you let me I'll make your puzzle complete.. I can change your life.. I know just what you needed.. Let me provide it, theres no need to fight this. thing.. Cause as long as I'm breathing you can believe it.. Going down on everything I love.. I wanna be, I wanna be, ay.. I wanna be, I wanna be, ay ay.. Definite, permanent, perfect.. [Chorus]. I can change your life if you let me.. I can do it. I know just what you need.. I can change your life.. Girl, you make me happy and if you let me.. And if you let me I'll make your puzzle complete.. I can change your life.. I can, change your, life.. This is where you should be.. [Chorus x2]. I can change your life if you let me.. I can do it. I know just what you need.. I can change your life.. Girl, you make me happy and if you let me.. And if you let me I'll make your puzzle complete.. I can change your life."
love struck,"Love Struck. You got my attention when you make that move (ah ah). Can't help it 'cus im stuck like glue (why why). Am I the only one to see. Girl I really want to get that get that. Really should no doubt about it. Who can do it like you do it when you do. So hooked up on you like a tattoo. I'm serious about it. Girl I really want to get that get that. Really should no doubt about it. I'm craving for you and just like a fool. There's no way I can stop stop stop my desire. I'm craving for you and you know it too. There's no one that can top top top your smile. (Girl you got me). Love struck (you got me). Love struck (girl you got me). Love struck, oh oh oh oh (girl you got me). Love struck (you got me). Love struck (girl you got me). Love struck, oh oh oh oh. I, I, I love it when you give me that smile. I've, I've, been waiting for this a long time. My, my, my premonition is telling me try. Girl I really want to get that get that. Really should no doubt about it. I have to give you credit for your style. and the way you rock that dress is so wild. I got to give it up 'cuz. girl I really want to get that get that. Really should no doubt about it. I'm craving for you and just like a fool. There's no way I can stop stop stop my desire. I'm craving for you and you know it too. There's no one that can top top top your smile. (Girl you got me). Love struck (you got me). Love struck (girl you got me). Love struck, oh oh oh oh (girl you got me). Love struck (you got me). Love struck (girl you got me). Love struck, oh oh oh oh. Yeah you got me like a puppet on a string. I can't stop it, girl you make my head spin. and just like a fool. There's no way I can stop stop stop my desire. I'm craving for you and you know it too. There's no one that can top top top your smile. I'm craving for you and just like a fool. There's no way that can stop stop stop my desire. I'm craving for you and you know it too. There's no one that can top top top your smile. (Girl you got me). Love struck (you got me). Love struck (girl you got me). Love struck, oh oh oh oh (girl you got me). Love struck (you got me). Love struck (girl you got me). Love struck, oh oh oh oh."
outta control,"Verse 1. Baby I apologize. I hate to strike at you the wrong way. My baby. By the way that you walk. I’m left with just something to say. Say baby. Pre-Chorus. I keep having visions in my dreams. You’re like a celebrity to me. Chorus. I’m Outta Control. I just can’t help myself. She’s got me trippin, trippin. Oo flippin, flippin. Outta Control. She’s so bad for my health. She’s got me hittin, hittin. Spinnin, spinnin. Outta Control. Verse 2. Baby girl you’re just so fine. With the tiniest smile I get so blown away. Yeah baby. I’m at the borderline. Every time we get close I feel kinda strange. Why baby. Pre-Chorus. Chorus. Rap"
pump it,"When you feel that (bass) in your (face). Better recognize I came to rock this (place). Ladies go ahead and wind that (waist). Nevermind them haters frontin'. Mister (DJ) dig them (crates). Gotta give the people what the people (crave). We be gettin' busy 'til the break of (day). Can you tell we're into something. Pre-Chorus:. Ooh, you better step on to the side. Gotta make this fire rise. Better shut it down and take you high. Chorus:. You didn't see us comin' comin'. But you can feel it pumpin' pumpin'. Now let me see you pop it, rock it. Pump it, bring that heat. You didn't see us comin' comin'. But you can feel it pumpin' pumpin'. Now let me see you pop it, rock it. Pump it, bring that heat. When we step up on the (floor). Them girls like whoa. They ain't never seen it like this (before). Everything we're doin' is straight up (whoa). Can you feel the system pumpin'. Don't stop (no), can't stop (no). Come on, let me see you put your hands up (oh). Let me see your body drop down like (low). You gots to keep it bouncin'. Pre-Chorus. Chorus. Jump into the party now cause you know I'm 'bout to. pop. Put the needle on the record now all the girls are. 'bout to drop. Jump up lookin' fly tonight, gonna make this right for. you. Dance floor-see you shake it now. Wanna see your body move. Pre-Chorus. Chorus. Bring it on now"
round and round,"I can?t believe it. Here we go again. You?re in your corner. But you wanna do me in. And then that bell rings. To let the games begin. You playing dirty and it?s just so hard to win. . Pre-Chorus:. You got my number but you don?t call me back. You got my tongue so tied I can?t tell where I??m at. Girl what you doing. Don?t find it amusing. Stop messing with my head. With you it never ends. Chorus:. We can go round and round and round. Baby we can go round and round and round. but damn you tear my heart apart, yeah. We can go round and round and round. but u always end up taking the crown. Cause girl your love it knocks me out. Movin? in circles. While I protect myself. You?re throwing punches. And you always aim to hit. Why can?t we get along. Is that too much to ask. There was a time when. You and me were good like that. Pre-Chorus. Chorus x2"
round and round remix,"Round, round. We keep going round and. We keep going round and. Round round and round. Round round and round. We keep going round and. Round round and round. I can't believe it. Here we go again. You're in your corner. You wanna do me in. And then that bell rings. To let the games begin. You playing dirty. And it's just so hard to win. Pre-Chorus:. You got my number. But you don't call me back. You got my tongue so. It's hard, I can't tell where I'm at. Girl what you doing?. Don't believe it amusing. Stop messing with my head. With you it never ends. Chorus:. We can go round and round and round. Baby we can go round and round and round. But damn you tear my heart apart, yeah. We can go round and round and round. But you always end up taking the crown. Cause girl your love it knocks me out, yeah. We keep going round and round and round, yeah. We keep going round and round and round and round and. round. Moving in circles. While I protect myself. You're throwing punches. You always aim to hit. Why can't we get along. Is that too much to ask?. There was a time when. You and me. We were good, good like that. Pre-Chorus. Chorus. You know how to hurt me like no one else. You know every soft spot of my heart so well. Your words are like knives. They cut me inside. Deeper and deeper everytime, yeah. Chorus"
she bad,"E40:. Where you been all my life. You got some junk in your trunk. Ma, you built up. You gotta big badunkadunkdunk. You a bad mammajama. You got a shake that won't quit. Super fine, super bad, super sexy, you're super thick. I see this little cutie, she caught my eye. I can't help it 'cause she's so fly. Like a melody, she keeps spinnin' in my head. Can't get her out, she's so fine. I really wanna get her name. I'm tryin' to see what's good with her. She's so fair, like a star. I can see us hookin' up and havin' some fun. Pre-Chorus. I don't, deny that she not gon' be mine, cause she's. an angel. Hood rich, she's drop dead goregous from head to toe. like whoa. I know when I get her with me, get one dance. That's all I need, fo' sho (fo' sho). Fo' sho (fo' sho). Fo' sho (fo' sho). Fo' sho, oh. Chorus. That girl, that girl she's bad. Got me goin' insane, can't move on, can't think. She bad, she bad, she bad. She bad, she bad, she bad. I'm trippin', I'm trippin' she's bad. Got me goin' in circles, don't know what to do. She bad, she bad, she bad. She bad, she bad, she bad. I caught her at the spot, she was chillin' with her. friends. I said what up, I was with mine too. She tried to be slick, to to play hard to get. Caught me on the floor, I had to make a move. Hot close up, it was just her and me. I was feelin' it like 1, 2, 3. Before I knew it, she was all over me. Talkin' 'bout hey boy what you gon' do. Pre-Chorus. Chorus. E40:. I don't see no man, so I assume you ain't taken. I got a game plan, let's get out of here, time. wastin'. Here my cell phone, so you can go 'head and punch in. yo' mathematics. That's me callin' yo now, like me and I'm established. Tell your girlfriends you cool, you 'bout to slide up. out. I'm gon' walk you to your car, you gon' follow me out. She a scorpio, she from the boulevard. Stop at Denny's and then the Mariott Courtyard. Chorus"
these are the days,"These are the Days. Gotta let you go. Cuz I let you in. I cried enough about you. Gotta walk away. Gotta hear my heart. All this pain feels so endless. (Bridge) I’m facing life, my sun will rise. The darkness makes the stars shine. And I can’t look back. Now I’m on my path. Alone. (Chorus)These are the days I will stand up. And these are the days I won't give up. Not many times can my heart break. These are the days. These are the days I will treasure. And these are the days I will remember. No matter the pain that I've been through. These are the days. So many questions. Never know the answers. All these pieces leave me puzzled. Inside I’m searching. Knowing I’m not perfect. But I gave my entire soul. (Bridge). (Chorus). All the days go, so slow. When you feel you’re on your own. I know, it’s just those. Little moments you feel so low, so low. The world turns. And you start to learn. That everything around you might crash and burn. But always, know that. You are not alone. (Chorus)"
