shut up and dance,"Oh don't you dare look back. Just keep your eyes on me. I said you're holding back. She said shut up and dance with me!. This woman is my destiny. She said oh oh oh. Shut up and dance with me. We were victims of the night. The chemical, physical, kryptonite. Helpless to the bass and faded light. Oh we were bound to get together. Bound to get together. She took my arm. I don't know how it happened. We took the floor and she said. Oh don't you dare look back. Just keep your eyes on me. I said you're holding back. She said shut up and dance with me!. This woman is my destiny. She said oh oh oh. Shut up and dance with me. A backless dress and some beat up sneaks. My disco tec Juliet teenage dream. I felt it in my chest as she looked at me. I knew we were bound to be together. Bound to be together. She took my arm. I don't know how it happened. We took the floor and she said. Oh don't you dare look back. Just keep your eyes on me. I said you're holding back. She said shut up and dance with me!. This woman is my destiny. She said oh oh oh. Shut up and dance with me. Oh, come on girl. Deep in her eyes. I think I see the future. I realize this is my last chance. She took my arm. I don't know how it happened. We took the floor and she said. Oh don't you dare look back. Just keep your eyes on me. I said you're holding back. She said shut up and dance with me!. This woman is my destiny. She said oh oh oh. Shut up and dance!. Oh don't you dare look back. Just keep your eyes on me. I said you're holding back. She said shut up and dance with me!. This woman is my destiny. She said oh oh oh. Shut up and dance with me. Oh oh oh shut up and dance with me [x2]"
portugal,"I know everyone you know. You know everyone I know. Our venn diagrams are one circle. You grow up when I'm not looking. We grow apart without knowing. And all of a sudden I'm leaving. So I say I'm sorry I can't, I've got plans. As I watch the time slip through my hands. What you don't know now. One day you'll learn. Growing up is a heavy leaf to turn. A heavy leaf to turn. Take me with you. 'Cause even on your own. You are not alone. Take me with you. 'Cause even by yourself, my love. You are something else. One summer turns into ten summers. One lover turns into ten lovers. But this memory is still with me. So close, bring me in so close. Your clothes underneath my clothes. Once upon a time in Portugal. So I say I'm sorry I can't, I've got plans. As I watch the time slip through my hands. What you don't know now. One day you'll learn. Growing up is a heavy leaf to turn. A heavy leaf to turn. Take me with you. 'Cause even on your own. You are not alone. Take me with you. 'Cause even by yourself, my love. You are something else. No matter what you want. Somebody else wants it just as bad. No matter what you got. Somebody else has got it worse. No matter when I got to you. Somebody else got to you first. So I say I'm sorry I can't, I've got plans. As I watch the time slip through my hands. What you don't know now. One day you'll learn. Growing up is a heavy leaf to turn. A heavy leaf to turn. Take me with you. 'Cause even on your own. You are not alone. Take me with you. 'Cause even by yourself, my love. You are something else. Take me with you. 'Cause even on your own. You are not alone, oh oh. You are not alone. Take me with you. 'Cause even by yourself. You can carry with you anyone else"
aquaman,"The real life love is under the mirror of the surface. so cut my cord I want to know how deep we can take it. see the thing you've been chasing honey. you'll never find it wearin' a life vest. you gotta risk your neck know in your heart it will be worth it. so here we go head first. no regards and no rules. we can stay as long as we want. slow dancing in the darkness. and all I know is I wanna be here with you from now on. it's been my fashion to keep my head dry and get my feet wet. step by step I've been letting you lead me to the deep end. well I learned my lesson, honey. just when you think you're all adult swim. is precisely when somebody shows you to the ocean. so here we go head first. and no regrets and no rules. we can stay as long as we want. slow dancing in the darkness. and all I know is I wanna be here with you from now on. just keep holding on, holding on to me. under, under the top of, the surface of the sea. just keep holding on, holding on to me. just keep holding on, holding on to me. oh here we go head first. and no regrets and no rules. we can stay as long as we want. slow dancing in the darkness. and all I know is I wanna be here with you from now on. head first into the water. and so it hits me. I guess we couldn't breathe all along. one breath after another. and all I know is I wanna be here with you from now on. and all I know is I wanna be here with you from now on. and all I know is I wanna be here with you from now on"
timebomb,"Every night, every day. Ten times outta nine, I'm a hand grenade. I don't wanna push you away. But I'm warning you, babe. Instead of green light, no serenade. It's a red flag before the mayday. Check all of my signs. Keep away, I'm warning you, babe. Afraid to light the fuse again. Start a fire, lose a friend. But when your heart opens. It's like I'm ready to fall again. Who tripped the red wire out of the blue?. Swept off my feet, said: God save me now. How many people there in a dark room?. Swept off my feet, said: God save me now. Is it real love? Is it real love?. Ti-ti-ti-ticking like a time-bomb. I can feel your, I can feel your heart. Ti-ti-ti-ticking like a time-bomb. Heads up, look alive. The more that I stare into your eyes. The more I get lost in your face. I'm warning you, babe. A red line, danger zone. Point of no return coming real close. Pulling me in, I'm afraid. I'm warning you, babe. Afraid to light the fuse again. Start a fire, lose a friend. But when your heart opens. It's like I'm ready to fall again. Who tripped the red wire out of the blue?. Swept off my feet, said: God save me now. How many people there in a dark room?. Swept off my feet, said: God save me now. Is it real love? Is it real love?. Ti-ti-ti-ticking like a time-bomb. I can feel your, I can feel your heart. Ti-ti-ti-ticking like a time-bomb. Ti-ti-ti-ticking like a time-bomb. Afraid to light the fuse again. Start a fire, lose a friend. But when your heart opens. It's like I'm ready to fall again. Who tripped the red wire out of the blue?. Swept off my feet, said: God save me now. How many people there in a dark room?. Swept off my feet, said: God save me now. Is it real love? Is it real love?. Ti-ti-ti-ticking like a time-bomb. I can feel your, I can feel your heart. Ti-ti-ti-ticking like a time-bomb. I can feel your heart. Ti-ti-ti-ticking like a time-bomb. I can feel your heart. Ti-ti-ti-ticking like a time-bomb"
tiger teeth,"Give in, give in. I want you back. One heart, one too many to stomach. Love bites so deep, and we got tiger teeth. If you come around, if you come around again. You better not come in, you better stay outside. Cause I can't hold my ground. I can't hold my ground, I can't. Not if you look me in, you look me in the eyes. A tiger in my heart again. When you swallow someone whole. you are bound to choke. Well, I guess we can never be friends. I ate you up the day we first spoke. Give in, give in. I want you back. One heart, one too many to stomach. Love bites so deep, and we got tiger teeth. Give in, give in. I want you back. Keep count, one too many to stomach. Love bites so deep (and we got tiger teeth). Don't you call me on the telephone. Don't make plans with my friends. I think that it's best if you leave me alone. When I'm with you I just want to play pretend. Well, tiger in our hearts again. When you swallow someone whole. you are bound to choke. Well, I guess we can never be friends. I ate you up the day we first spoke. Give in, give in. I want you back. One heart, one too many to stomach. Love bites so deep, and we got tiger teeth. Give in, give in. I want you back. Keep count, one too many to stomach. Love bites so deep, and we got tiger teeth. If you only take one step closer. I could reach the zipper on your dress. We're leaning out over the water. And we're holding our breath. Well, tiger in our hearts again. When you swallow someone whole. you are bound to choke. Well, I guess we can never be friends. I ate you up the day we first spoke. Give in, give in. I want you back. One heart, one too many to stomach. Love bites so deep, and we got tiger teeth. Give in, give in. I want you back. Keep count, one too many to stomach. Love bites so deep, and we got tiger teeth. Love bites so deep (and we got tiger teeth)"
lost in the wild,"Eyelids split at sunrise. Morning breaks like splatter paint. Wipe the dust from my eyes. You must have left before morning came. Flashes of the night come rushing in. In a stampede of misbehaviors. Just a sophomore running my mouth. I really thought that I could save us. And we'll all be animals. Didn't need to start a forest fire. Brush the ashes off your shoulders. Let's get lost in the wild. We're all built for something. Trying to find a starting line. Don't look over your shoulders. Let's get lost in the wild. Let's get lost in the wild. Let's get lost in the wild. Something shocks my muscles. Hard rain backends my senses. Now I'm flying fast on my feet. Skipping rivers, clearing them fences. I'm tracking you into the city. Ooh under the pressure of the traffic lights. I'm chasing the clues you left me. That you might still join me in the wild. And we'll all be animals. Didn't need to start a forest fire. Brush the ashes off your shoulders. Let's get lost in the wild. We're all built for something. Trying to find a starting line. Don't look over your shoulders. Let's get lost in the wild. Let's get lost in the wild. Let's get lost in the wild. Scratches on my hands and feet. You belong out here with me. Tearing up my hands and feet. You belong out here with me. You belong out here with me. I'm flying fast on my feet. And we'll all be animals. Didn't need to start a forest fire. Brush the ashes off your shoulders. Let's get lost in the wild. We're all built for something. Trying to find a starting line. Don't look over your shoulders. Let's get lost in the wild. Let's get lost in the wild. Let's get lost in the wild. What if nothing went along. What if nothing died young. What if nothing was enough to never give up. Maybe none of this is real. Maybe I can wake up. Maybe then, oh. In my mind. You won't be in my mind, oh. In my mind. You won't be in my mind. In my mind"
kamikaze,"Here in this room. I'm chasing down my demons. I can hear them breathing. But who knew. You would be my comfort. You could bring me healing. If my friends gonna let me slide. How come you never left my side?. Before I go make it last all night. While I slip into the great divide. Mama!. Stepping out a party. No matter what you call it. I'm a kamikaze. Oh I, Oh I. Abandon all your logic. And put your money on it. I'm a kamikaze Oh I, Oh I. Going down with my rings on fire. Guess I'll seize you in another life. Mama!. Stepping out a party. You can tell everybody. Mama, I'm a kamikaze. Oh I, Oh I. Oh I, Oh I. All is not lost. My veins are seething. I can feel the freedom. Let them talk. It's not about the crown. We can share the kingdom. Well, If my friends gonna let me slide. How come you never left my side?. Before I go make it last all night. While I slip into the great divide. Mama!. Stepping out a party. No matter what you call it. I'm a kamikaze. Oh I, Oh I. Abandon all your logic. And put your money on it. I'm a kamikaze Oh I, Oh I. Going down with my rings on fire. Guess I'll seize you in another life. Mama!. Stepping out a party. You can tell everybody. Mama, I'm a kamikaze. Oh I, Oh I. Oh I, Oh I. If my friends gonna let me slide. How come you never left my side?. Before I go make it last all night. While I slip into the great divide. Stepping out a party. No matter how you call it. This is suicidal, honey. Nothing you can do about it. Let me take the check. With the reckless abandon on it. Just call me kamikaze. Oh I, Oh I. Stepping out a party. No matter what you call it. I'm a kamikaze. Oh I, Oh I. Abandon all your logic. And put your money on it. I'm a kamikaze Oh I, Oh I. Going down with my rings on fire. Guess I'll seize you in another life. Mama!. Stepping out a party. You can tell everybody. Mama, I'm a kamikaze. Oh I, Oh I"
one foot,"Ooh-ooh-ooh (hey!). Ooh-ooh-ooh (hey!). Not a soul up ahead and nothing behind. There's a desert in my blood and a storm in your eyes. Am I the king of nothing at all?. And you're the queen of nothing at all. But I remember the fight and I forget the pain. I got my hand in your pocket and my key in your chain. Am I the king of nothing at all?. And you're the queen of nothing at all. Oh, through the wilderness. You and I will walk into the emptiness. Oh, and my heart is a mess. Is it the only defense against the wilderness?. Well, cross my heart and hope to die. Taking this one step at a time. I got your back if you got mine. Oh, one foot in front of the other. Ooh-ooh-ooh (hey!). One foot in front of the other. Ooh-ooh-ooh (hey!). One foot in front of the other. One foot in front of the other. Ooh, all that we have is each other. One foot in front of the other. Not a soul in the road, not a star in the sky. It's a desert in my heart, and nowhere to hide. I'm your king of nothing at all. And you're my queen of nothing at all. Well, out here in the dust if you don't have trust. Ain't nothing left of us, this is the exodus. They're just testing us, they can't flex with us. They can't mess with us, they can't mess with us. Oh, through the wilderness. How come even together there can be loneliness?. Oh, our heart's a mess. But it's our only defense to brave the wilderness. Well, cross my heart and hope to die. Taking this one step at a time. I got your back if you got mine. Oh, one foot in front of the other. Ooh-ooh-ooh (hey!). One foot in front of the other. Ooh-ooh-ooh (hey!). One foot in front of the other. (In the wilderness). One foot in front of the other. Ooh, all that we have is each other. One foot in front of the other. (Well, out here in the dust). Oh, through the wilderness. How come even together there can be loneliness?. Oh, our heart's a mess. But it's our only defense to brave the wilderness. Cross my heart and hope to die. Taking this one step at a time. I got your back if you got mine. Oh, one foot in front of the other. Ooh-ooh-ooh (hey!). One foot in front of the other. Ooh-ooh-ooh (hey!). One foot in front of the other (hey!). (In the wilderness). One foot in front of the other (hey!). Ooh, all that we have is each other. One foot in front of the other. Oh, in the so-called 'Land of the Free'. One foot in front of the other. Don't you know all that we have is each other?. One foot in front of the other"
anna sun,"Screen falling off the door / door hanging off the hinges. My feet are still sore / my back is on the fringes. We tore up the walls / we slept on couches. We lifted this house / we lifted this house. Fire-crackers in the east / my car parked south. Your hands on my cheeks / your shoulder in my mouth. I was up against the wall on the west mezzanine. We rattle this town / we rattle this scene. O, Anna Sun!. O, Anna Sun!. What do you know? this house is falling apart. What can i say? this house is falling apart. We got no money, but we got heart. We're gonna rattle this ghost town. This house is falling apart. Screen falling off the door / door hanging off the hinges. My feet are still sore / my back is on the fringes. We were up against the wall on the west mezzanine. We rattle this town / we rattle this scene. O, Anna Sun!. O, Anna Sun!. What do you know? this house is falling apart. What can i say? this house is falling apart. We got no money, but we got heart. We're gonna rattle this ghost town. This house is falling apart. Live my life without. Station wagon rides. Fumbling around the back. Not one seatbelt on. Wait for summertime. Coming up for air. Now it's all a wash. Now it's all a wash. Live my life without. Coming up for air. Now it's all a wash. I want everyone. Racing down the hill. I am faster than you. Wait for summertime. Wait for summertime. O, Anna Sun!"
all night,Things are changing. Around me but I. I feel the same inside. I'm getting older. Not getting wiser. It's got me up all night. That everybody. Wants the same things. At the same damn time. Running in circles. Hunting hunters. Hurry up and wait in line. I just want to meet somebody. All night. All night. Is it alright. Now I'm looking for a ride home. All night. All night. Is it alright. Now I'm looking for a ride home. Long hours. 'Till the sun sets. And then I call my friends. Wash the dirt off. Button your shirt up. Do it all over again. Can you tell me. Is it really worth it. Stick it out in line. How will I answer. When I look back. How did I spend my time. I just want to meet somebody. All night. All night. Is it alright. Now I'm looking for a ride home. All night. All night. Is it alright. Now I'm looking for a ride home. Are you the one. Who will take me there?. Are you the one. Who will treat me right?. I'm not afraid of your bluest flame. Been burnt before. But I'm roaring inside. Are you the one. Who will take me there?. Are you the one. Who will treat me right?. I'm not afraid of your bluest. Been burnt before. But I'm roaring inside. I just want to meet somebody. I just want. I just want. I-I just want to meet somebody. I just want. I-I just want. I just want to meet somebody. All night. All night. Is it alright. Now I'm looking for a ride home. (I just want to meet somebody). All night. All night. Is it alright. Now I'm looking for a ride home. (All night. All night. Is it alright. Now I'm looking for a ride home). Are you the one. Who will take me there?. Are you the one. Who will treat me right?. I'm not afraid of your bluest flame. Been burnt before. But I'm roaring inside
