whip my hair,"I whip my hair back and forth. I whip my hair back and forth (just whip it). I whip my hair back and forth. I whip my hair back and forth (whip it real good). I whip my hair back and forth. I whip my hair back and forth. I whip my hair back and forth. I whip my hair back and forth. I whip my.... Hop up out the bed turn my swag on. Pay no attention to them haters cuz we whip em off. And we ain't doing nothing wrong. So don't tell me nothing, I'm just tryna have fun. So keep the party jumping. So what's up (yeah). And now they don't know what to do. We turn our back. And whip our hair and just shake 'em off. Shake 'em off, shake 'em off, shake 'em off. Don't let haters keep me off my grind. Keep my head up, I know I'll be fine. Keep fighting until I get there. When I'm down and I feel like giving up. (I think again). I whip my hair back and forth. I whip my hair back and forth (just whip it). I whip my hair back and forth. I whip my hair back and forth (whip it real good) (2x). I whip my hair back and forth. I whip my hair back and forth (ok, ok, ok, just whip it, ok,). I whip my hair back and forth. I whip my hair back and forth (whip it real good). I whip my hair back and forth. I whip my hair back and forth (ok, ok, ok, ok). I whip my hair back and forth. I whip my hair back and forth. I whip my.... I'mma get more shine than a little bit. Soon as I hit the stage applause I'm hearing it. Weather it's black stars black cars I'm feeling it. But can't none of them whip it like I do. I, I get to the hmmm yea I go hard. When they see me pull up I whip it real hard. I whip it real hard, real hard, I whip it real hard. Don't let haters keep me off my grind. Keep my head up, I know I'll be fine. Keep fighting until I get there. When I'm down and I feel like giving up. (I think again). I whip my hair back and forth. I whip my hair back and forth (just whip it). I whip my hair back and forth. I whip my hair back and forth (whip it real good) (2x). I whip my hair back and forth. I whip my hair back and forth (ok, ok, ok, just whip it, ok). I whip my hair back and forth. I whip my hair back and forth (whip it real good). I whip my hair back and forth. I whip my hair back and forth (ok, ok, ok, ok). I whip my hair back and forth. I whip my hair back and forth. I whip my.... All my ladies if you feel me. Do it do it, do it whip your hair. Dont' matter if it's long, short. Do it do it whip your hair. All my ladies if you feel me. Come on do it do it whip your hair. Dont' matter if it's long, short. Do it do it whip your hair (your hair, your hair). I whip my hair back and forth. I whip my hair back and forth (just whip it). I whip my hair back and forth. I whip my hair back and forth (whip it real good) (3x). I whip my hair back and forth. I whip my hair back and forth. I whip my hair back and forth. I whip my hair back and forth. I whip my hair back and forth. I whip my hair back and forth (just whip it). I whip my hair back and forth. I whip my hair back and forth (whip it real good) (2x). I whip my hair back and forth. I whip my hair back and forth. I whip my..."
female energy (freestyle),"[intro]. [verse 1]. I just entered in another atmosphere.. I'm just floating in this stain steel sphere.. I bet you have questions, like where did I come from. I know, I come from a planet that pity your map. years ago (4x).. I do my flows and then I get so lost.. I'll just take my. spirit to go (4x). spirit to go to the top of the pyramid.. let's save the world like this.. conversing with live bodies, but really they all a part of me.. let's get the whip and go, cause I'm tired of this solar ring.. it's really out of my control. [hook]. how you feel it's not my problem. I do not want you to go. but I don't know how to stop you. [verse 2]. whatever. Whatever, I guess, whatever. I don't care, get dressed, whatever. I don't feel like talking, whatever. [hook]. cause it's really out of my control. how you feel it's not my problem. I really don't want you to go. but I do not want to stop ya. [verse 3]. 'cause you gon' do what you gotta do. and what I do is not your problem. just let me, let me love you. stop trying to make it complicated. [hook]. really out of my control. what I do is not your problem. I really wanna go. but please, please don't stop me"
fireball (feat. nicki minaj),"Willow.... Uhm, hello, can we get the party started, yeah!. Uhm, hello, can we get the party started.... Young Money.... I'm the fireball, I'm the fireball, I'm the fire. I'm the fireball, I'm the fireball, I'm the fire. I'm the fireball, I'm the fireball, I'm the fire. Fire, fire, fire. [Willow:]. Since I landed here, I go phone up Obama. Shook the world up, now I caused a little drama. Leader of the new school. And yes I'm gonna light up the block to the stage when I wanna. Brighter than the stars now I head up the curb. Don't got' walk it out jigga walk with the splur. Levitating in my moment suit me with the fur. I'ma rock the world til they following her. I'm the fireball of the party, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fire, I'm the fire, I'm the fire, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fire, I'm the fire, I'm the fire, I'm the fire. [Willow:]. See I ain't never been the one to toot my own horn. Beep, beep, now watch me put it on. I set fire everywhere I play. Make them all go insane, L.A to UK. Now Imma burn it up, when I step on the scene. My whole crew is fresh and they rollin' with me. You can turn me up yeah to the extreme. Imma rock the world til they following me. I'm the fireball of the party, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fire, I'm the fire, I'm the fire, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fire, I'm the fire, I'm the fire, I'm the fire. [Nicki Minaj:]. Hey yo Willow, didn't I just see you in China?. You're real major even though you're a minor. Your daddy keep ya in designer. You're gully, gully, gully, yeah you're gully, kinda. Okay, I'm the Street Fighter, call me Chun-Li. And it's going down like a bum knee. Built the guest house to put the coupe in. Cause I'm a fireball, Hadouken!. Put you under my wing, I'm the top boss. Ain't from Louisiana, but I'm hot sauce. Cut the mountain just to go and build a house off. So I ain't never gonna worry what the house cost. If they coming at you, tell them raise up. When it's time to whip your hair, put your braids up. Tell them escalator, elevator, you're the mean to step your weight up. Ain't nobody greater, Will and Jada is my neighbour hater. I'm the fireball of the party, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fire, I'm the fire, I'm the fire, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fire, I'm the fire, I'm the fire, I'm the fire. Watch the fire burn... burn, burn. Watch me heat it up. Watch the fire burn... burn, burn. Watch me heat it up. Watch the fire burn... burn, burn. Watch me heat it up. Watch the fire burn... burn, burn, burn, burn. I'm the fireball of the party, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fire, I'm the fire, I'm the fire, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fireball of the party, I'm the fire. I'm the fire, I'm the fire, I'm the fire, I'm the fire"
marceline,"I can't live another life. Spend another time. I can't spit another rhyme on Gaia. Guns and wars won't stop the fights. Not inside your mind. Love and communion, there's nothing better. Cheeks get redder. There's nothing better. Even in rough weather. It's raining knives, like all the time. And I'm alive, Irayo Eywa, we're alive. Marceline, I'm coming to get you, girl. We're flying so high, catch a ride on Lady Unicorn. Marceline, I know you're not real in this dimension, I mean. What's up with your dad up in the nightosphere?. Your tears, they're cleansing all my spheres. You touch my hair, I'm playing on your bass. But we don't care, we're messing up your space. You got nowhere to live, but you'll go back to space. Huh... take me with you. I'm sick of mildew. I'm sick of all of these humans telling me what to do. They make you stupid, but we are from Nibiru. Remember your cosmic roots. Marceline, I'm coming to get you, girl. We're flying so high, lets catch a ride on Lady Unicorn. Marceline, Marceline. Marceline, you're breathing in gasoline"
flowers,"You wished upon a star. Saw the mother snap back and now you're where you started. My heart aches when I see your face. That's the story of this life but my soul saw it twice. Never had a problem but my soul seems to fight through the outer fist of life. But it's the flower. It's the flower. It's the flower. It's the flower. It's the flower. We were walking on clouds but greys came down and they wiped us all out. I wanna be an atlantian. Let's get the 10, let's get the4. And we'll knock down the door, knock down the door. We'll see what they've been hiding let me tell you bout the story of Poseidon. He was a young boy who was enlightened, kinda like Jaden. Kinda like the way we, look in the sky and we see the chem trails. And we nearly all cried, and then they just die we merely just tried to help them. The government is tryna tryna sell them not help them. But, the indigos are here we remembered. Remembered how we can all shift the weather. Because, love is the air we breathe, the people we see. The realization that were all in unity. So you and me, and I and I. Were the flower. Were the flower. Were the flower. Were the flower. It's the flower. We were walking on clouds but the greys came down and they wiped us all out. But it's the flower. It's the flower. It's the flower. It's the flower. It's the flower. We were walking on clouds but greys came down and they wiped us all out"
wait a minute,"Wait a minute!. I think I left my conscience on your front door step. Wait a minute!. I think I left my consciousness in the 6th dimension. But I'm here right now, right now. Just sitting in a cloud, oh wow. I'm here right now, right now with you, oh wow, oh wow. I don't even care. Run my hands through your hair. You wanna run your fingers through mine. But my dreads too thick and that's alright. Hold on, wait a minute!. Feel my heart's intention. Hold on, wait a minute!. I left my consciousness in the 6th dimension. Left my soul in his vision. Let's go get it, oh, oh. Let's go get it, oh, oh. Some things don't work. Some things are bound to be. Some things, they hurt. And they tear apart me. You left your diary at my house. And I read those pages, you really love me, baby. Some things don't work. Some things are bound to be. Some things, they hurt. And they tear apart me. But I broke my word, and you were bound to see. And I cried at the curb. When you first said ""Oel ngati kameie"". Hold on, wait a minute!. Feel my heart's intention. Hold on, wait a minute!. I left my consciousness in the 6th dimension. Left my soul in his vision. Let's go get it, oh, oh. Let's go get it, oh, oh. Some people lie to me. Some just tryin' to get by. Some people I can't hurt. Some just rather say goodbye, bye. Hold on, wait a minute!. Feel my heart's intention. Hold on, wait a minute!. I left my consciousness in the 6th dimension. Left my soul in his vision. Let's go get it, oh, oh. Let's go get it, oh, oh"
jimi,"Back on earth trying to wreak some havoc. Dang that was crazy what just happened, just happened. I've done it millions of times, but not the millions of times. I guess where, when we die. I'm back as an indigo, back in the density. Back to the days of three. Back to the days of me. Back to the days where we see. Trees in separate not a part of me. Intelligence is the key, if you can unlock your mind. Therefore you unlock your eye so you can transcend the time. Let's down to the beach, get something to eat. Maybe, for you and me. Let's look out at the stars, and see who we are. Maybe, for you and me. Take a little water down. You be looking fresh. When I be saying things like now. I'm trying to figure it out. Take a. I swear it tastes great. When you try to tell me are you feeling in. It never goes my way. It never goes my way. When it comes. When it comes to me. When it comes to us. Oh I know. Oh I know its not that easy. But, why isn't it. Why isn't it, why isn't it. You tried to tell. Tried feel the things I do when I'm healthy. You have too many appointments. Take a little water down. You be looking fresh. When I be saying things like now. I'm trying to figure it out. I'm trying to figure it out. I'm trying to figure it out. I'm trying to figure it out. Oh, no, no, no, no, no. No, no, no, no, no, no. So, so, so. Take a little water down. You be looking fresh. When I be saying things like now. I'm trying to figure it out. We're all just, we're all just trying to figure it out"
a reason,"There has to be a reason I'm alive. There has to be a reason that I'm crying. And as I walk these roads throughout my life. I find the subtle reasons. There has to be a reason I'm alive. I know there'll be a reason that I die. And as I walk these roads throughout my life. I find the subtle reasons. No heart. No no heart. You'll find your reason. You'll find your reason. You'll find a reason. Maybe there's no reason for existence. If so, we're all fishies in the ocean we call life. But I believe it doesn't til we make one. We create our own reason. Kill them all. Your thoughts won't help you anymore. Free your heart. It's the only thing that breaks but still can be taught. Love every day that comes into your life. It's just a test. Shed your skin. Realize that water and fire are just your kin. I know there is a reason I'm alive. I know there'll be a reason while I die. But as I walk this path throughout my life. Gratitude's a reason. Embrace the subtle reason. Make your own reason. Do you see this?. Are you scared?. Or you're angry based in fear. Do you want out easy way?. Well, okay, we'll just come again. Do you see this?. Are you scared?. Or you're angry based in fear. We all want out easy way. Well, okay, we'll just come again. And again and again and again. 'Til we learn what we have to. Learn what we have to. And again and again"
boy,"Hey mom, I met a boy. He plays guitar. He likes Quentin Tarantino. And really sad songs. Anxiety attacks when he wakes up in the morning. And I can't help the thought. he thinks I'm boring. 'Cause I come from a cluster of super bright stars. And probably to him it feels scary to reach that far. But down on Earth there's so much pain. But way up here we explore galaxies. Hey mom, I met a boy. He's super sad. But I think that I love him. Is that bad?. Anxiety attacks when I wake up in the morning. Dude, how come? This is wack. Is love just torment?. But they say life has a silver lining. And I say I will find it my way. 'Cause down on Earth theres so much pain. And way up here there's galaxies. Hey God, are you there? I need to talk. I feeling love is here and then is not. We hysterically cry when we wake up in the morning. Could you please tell us why life feels like torment?"
9 (feat. sza),"Breathing's easier under water. I can see sky from here. Please remember, all you've taught her. I can see God from here. If only I could stay, If only I could stay for you. I would, try. If only I could wait,If only I could wait for you. I would, for life. If only I could stay, If only I could pray. If only I could wait, If only you could stay. Up, up in your zone, Yes, you're all alone. Yes I'm all alone. Not negative, just different. You wanna have lunch, and I wanna have a picnic. You wanna go up, I wanna just fly all night. Cause baby you. Got me tied up in this love thing its tough. 'Cause I want to love you. But you keep being so afraid, afraid. If only I could stay, if only you could stay. Up, up in your zone, Yes you're all alone,. Yes I'm all alone. Getting in the car, we cruisin', going down the Pch. I'm going to get a smoothie. Never had a problem, but I know that you gon' do this. 'Cause you the smoothest. Blue is the emotion, that I'm feeling. Apology's an option, let me hear it. What took you so long to finish your storm son?. Not negative, just different. You wanna go out, I wanna finish living. You wanna get up, when I could just lay all day with you. I could just stay all day with you. Hey baby, you're sack of potatoes, we could grow eyes for later. Moments to savor. We made, we made, we made art, art. I can't stop, stop, you've go away, away, away. I don't wanna play no more, I'm not a kid no more. I've did some things, that you can see that I've been gone away. That I have room to be whom I want to be, and you don't even talk to me. It's three, It's three, It's me, It's Moi, It's Jay, It's all these days. My days are numbered, you can come through"
