girls girls,This song is for the girls. All around the world. Girlsi know what you got. Deep inside. And I just wanna say something. So listen. Hello hello ma-eumi ganeun daero. Ttara-ga neoye neukgimi maja. Wonhaneun gillo ni-ga paradeon gillo yeah. Hey buddy keureoda nohchillae. Shija-khae keureom gili tto yeollyeo. Hal su it-janha keudaero twehl su it-janha. Keureoji mothaesseo yonggi-ga eop-seoseo. Chajonshim ttae-mune hangsang mangseo-rideon nae-ga. But I say. Girls girls I'm a wonder girl. Can be the only one in the world. Chigeum ni ma-eum ijen marhae bwah. And I say you you. You you you you. Can be the best girl in the end. Neukgim keudaero irwojil keoya. Say hello meonjeo ma-reul keo-reo. Han geo-reum ni-ga meonjeo da-ga ka. Sangsang so-geuro hangsang kkumkkudeon nae-ge yeah. Hey miss gihwehka on geoya. Jaba bwah ijen nohchiji mal-go. Ha-go ship-janha neodo wonhaesseot-janha. Sol-jikhi marhal-ke duryeoum ttae-mune. Pyeongbeomham so-geseo mae-il banbokdwaeht-deon naldeul. But I say. Girls girls I'm a wonder girl. Can be the only one in the world. Chigeum ni ma-eum ijen marhae bwah. And I say you you. You you you you. Can be the best girl in the end. Neukgim keudaero irwojil keoya. Keujeo idaero pyeongbeomhi chinaegien ni-ga. Akkapda-go saenggakhaji anha keureoh-janha. Ha-go shipeun ge it-janha wonhaneun ge. It-janha. Keureohdamyeon chigeum baro go for it. Mangseo-rim no you'll be fine. Oneu-reun himdeul-ket-ji nae-I-reun imagine. Moduga neol hyang-hae clap clap clap. Mangseo-rim. But I say. Girls girls I'm a wonder girl. Can be the only one in the world. Chigeum ni ma-eum ijen marhae bwah. And I say you you. You you you you. Can be the best girl in the end. Neukgim keudaero irwojil keoya. And I say you you you. And I say you you you. And I say you you you. And I you you you you. And I you you you you. And I say you you you. And I say you you you. And I say you you you. And I you you you you you you
nobody (versão inglês),"You know I still love you baby. And it'll never change. REFRÃO. I want nobody nobody but you. I want nobody nobody but you. How can I be with another, I don't want any other. I want nobody nobody nobody nobody. Why are you trying to. To make me leave ya. I know you're thinking. Baby why aren't you listening. How can I just. Just love someone else and. Froget you completely. When I know you still love me. PRÉ REFRÃO. Telling me you're not good enough. My life with you is just too tough. You know it's not right so. Just stop and come back boy. How can this be when we were meant to be. REFRÃO 2X. I want nobody nobody but you. I want nobody nobody but you. How can I be with another, I don't want any other. I want nobody nobody nobody nobody. Why can't we just. Just be like this cause. It's you that I need and. Nothing else until the end. Who else can ever. Make me feel this way I. I feel when I'm with you. No one will ever do. PRÉ REFRÃO. Telling me you're not good enough. My life with you is just too tough. You know me enough so. You know what I need boy. Right next to you is where I need to be. . REFRÃO. I want nobody nobody but you. I want nobody nobody but you. How can I be with another, I don't want any other. I want nobody nobody nobody nobody. . I don't want nobody body. I don't want nobody body. Honey you know. It's you that I want. It's you that I need. Why can't you see. REFRÃO. I want nobody nobody but you. I want nobody nobody but you. How can I be with another, I don't want any other. I want nobody nobody nobody nobody. I want nobody nobody but you (Nobody). I want nobody nobody but you (no... body). How can I be with another, I don't want any other. I want nobody nobody nobody nobody. RAP. Back to the days when we. Were so young and wild and free. Nothing else matters. Other than you and me. So tell me why can't it be. Please let me live my life my way. Why do you push me way. I don't want nobody nobody nobody nobody but you"
2 different tears,"Gave me two different tears, neo ttaemune nan. Gippeoseo ureogo seulpeoseo ureosseo. So I hate you, so I love you. So I hate you, so I love you. Nan neo eobshi saraga neunge wae ajikdo ireohke himdeunji. Deo isangbu eun nuneuro nuntteugin shilheo ijen ugo shipeo. Geuraeseo niga jun apeum saeng gakhae. Neo ttaemune heullin nunmul saeng gakhae. Geureonde wae jakkuman haeng bokhaeteon sungan man. Tteo ulligo ineunji moreugesseo. Gave me two different tears, neo ttaemune nan. Gippeoseo ureogo seulpeoseo ureosseo. So I hate you, but the love you gave me was so so good. So I love you, but the pain you gave me was so so bad. Wae ajikdo neo ttaeme nunmul heulli neunji naega neomu shilheo. Eolmana deo sang cheoreul ibeoya nan neoreul miwo halsu isseulkka. Geuraeseo niga jun apeum saeng gakhae. Neo ttaemune heullin nunmul saeng gakhae. Hajiman geureol surok mireo naeryeo halsurok. Ni moseubeun deo gakkai dagawa. Gave me two different tears, neo ttaemune nan. Gippeoseo ureogo seulpeoseo ureosseo. So I hate you, but the love you gave me was so so good. So I love you, but the pain you gave me was so so bad. Why do I still feel this way when I know there's nothing left to say. Charari molla sseumyeon joheul kkeol jiwo beorigo shipeo neol. Nae jashinege miwo harago neol giyeokhara go geu sang cheoreul. But, ah, that's the reason why I still miss you, no matter how hard I try. Gave me two different tears, neo ttaemune nan. Gippeoseo ureogo seulpeoseo ureosseo. So I hate you, but the love you gave me was so so good. So I love you, but the pain you gave me was so so bad. Gave me two different tears, neo ttaemune nan. Gippeoseo ureogo seulpeoseo ureosseo. So I hate you, but the love you gave me was so so good. So I love you, but the pain you gave me was so so bad"
2 different tears (english),"gave me 2 different tears. after all these years. tears of joy, tears of pain. like sunshine and rain. so I hate you... so I love you?. so I hate you?. so I love you?. I'm tryna figure out how to move on with my life. without you by my side. wakin up with teary eyes,. I can't do this no more, gotta erase you now. so I think of all the pain you've given me. try to look at all the damage you've done to me. no matter how hard I try,. I just can't forget it why. I keep thinking bout how sweet you used to be. gave me 2 different tears. after all these years. tears of joy, tears of pain. like sunshine and rain. so I hate you. (but the love you gave me was so so good). so I love you. (but the pain you gave me was so so bad). I'm cryin over you, still what does this mean?. do I still want you back in my life?. after all these painful things you've done to me. why is it so hard to realize?. so I think of all the pain you've given me. try to look at all the damage you've done to me. but the harder that I fight,. you come closer in my sight,. and I'm thinking of how sweet it could have been, oh no~. gave me 2 different tears. after all these years. tears of joy, tears of pain. like sunshine and rain. so I hate you. (but the love you gave me was so so good). so I love you. (but the pain you gave me was so so bad). (uh~). (c'mere boy). (uh~). why do I still feel this way. when I know there's nothing left to say. shouldn't be(?) but I loved you in the first place. wanna erase you without a trace. try to tell myself that I need to hate you. with the pain that you put me thorough. but ah?. that's the reason why I still miss you no matter how hard I try. gave me 2 different tears (you gave me~). after all these years (years, yeah). tears of joy, tears of pain (pain!). like sunshine and rain. so I hate you. (but the love you gave me was so so good). so I love you. (but the pain you gave me was so so bad). gave me 2 different tears. after all these years. tears of joy, tears of pain. like sunshine and rain. so I hate you. (but the love you gave me was so so good). so I love you. (but the pain you gave me was so so bad)~"
ain't nobody (ye eun),"Ara sesangen cham yeppeun yeojadeuri manha. And how much I try amuri noryeokhaedo an doeneun ge itji. Ara neon geujeo hogisimi manha. Like butterfly hwaryeohan saekgame ikkeulligo mara. But u gotta know. Geu nugudo nacheoreom neol saranghajin motae. Geu nugudo namankeum neol ihaehajin motae. Ain't nobody nobody nobody gonna love you like I do. I do I do ain't nobody. Love you like I do. I know why amudo nege sarangeul allyeojuji anhatji. And how to love a girl neon modeun geon geimira yeogyeosseo. Jeormeumiran mugiwa gyeongheomiran. Byeonmyeong sok saeroum, seollemeul chaja. Eodum sogeul hemaeda geurigon neon jamsi nal jiwotgetji. Jjaritan jeonyuri neol gamssatgetji. Tell me who's the winner now. Ulgo inneun neo ulgo inneun na. Namgyeojin geon gotongppuninde. Tell me what we gonna do. Modeun ge muneojyeobeorin. Jigeumdo neol saranghaneunde. Ain't nobody"
back,"We Back Back Back. I'm Back Back Back. Backs on back, Backs on back. We have our backups behind us and we are back. We Back Back Back. I'm Back Back Back. B A C K back we back. We're back now so go back go pack. It's 2015 and I'm 24, as a flower, I'm a rising flower. I'm Hyelim, a Wonder Girl that's me. Have you missed me or dissed me?. If you don't listen, no kissy. Weren't you bored because we weren't here? The stage looked empty. As opposed to all the kids jumping around here, we have our own army (loyalty). People said they didn't know where we were cuz they couldn't see us. They think they're all that but you're mistaken. Words are a scary weapon, they can become a bomb so please stop. Calling me an idol? But hey, look. I'm no kid and I'm not a doll. You're not even half of me. We Back Back Back. I'm Back Back Back. Backs on back, Backs on back. We have our backups behind us and we are back. We Back Back Back. I'm Back Back Back. B A C K back we back. We're back now so go back go pack. Yeah ma back, I got my backups but not a bag. It's my own self, my self pack (it's me). It's not the kind of backup where people go easy on me cuz I know them (nope). They support me and prove that I'm real like a tag (yup). My stacked up filmography, overflowing trophies. Just one picture and I'm in the headlines, insta selfie. This isn't enough so in order to fill my desires. I'm back so prepare your white flag. Real back, a big experience, not fit for my age. No peace, I'll go for the challenge, for a bigger adventure. It's alright if I fail, I have my Jyp insurance. Listen to me, my advice is good. Your expensive bags at home is no good. You can't buy your backups with money. Bring it on, give me a price, I'll give you an estimate. If you don't like it, ask me, I'll give you an answer. We Back Back Back. I'm Back Back Back. Backs on back, Backs on back. We have our backups behind us and we are back. We Back Back Back. I'm Back Back Back. B A C K back we back. We're back now so go back go pack. The many thoughts cruelly wear out my lips, my heart freezes. Today's a new day, even if you step on me, I'm still ok (hahaha). I got my back, the haters have a sad look, haters watch your back. No matter what anyone says, I am myself, I protect myself, who else will?. For three years, there was an endless, dark break. Everyone asks, are you even gonna have a comeback?. Should I tell em that I'm dead? So they'll bow down to me. But we've become giants, what're you gonna do if you get stepped on?. I'm sick of it, my ears are about to scar. I'm a ripe fruit, attracting flies, I won't blame them though. What are you saying, stop barking, your mouth will hurt. I'm too busy to lash out anyway. We Back Back Back. I'm Back Back Back. Backs on back, Backs on back. We have our backups behind us and we are back. We Back Back Back. I'm Back Back Back. B A C K back we back. We're back now so go back go pack. B A C K if I'm not my own back, who has my back. P A C K it's time for you to pack, it's time for me to unpack. B A C K if I'm not my own back, who has my back. P A C K it's time for you to pack, it's time for me to unpack"
g.n.o,"G.N.O. Girls' night out. Girls' night out gonna burn. This house tonight. Girls' night out gonna burn. This house tonight. Girls' night out gonna burn. This house tonight. Girls' night out gonna burn. This house. Ttag bunneun black dress salchag bichineun. Shirts gill heel-s. Heonggeu-reojin wave ha-ir chokchokhan lip. Glosnmyeon we ready set go. Namjadeul nuneul mot tte nae darie boy. Nae heorie ni soneun jom tte. Chakka-geun jayu neoman changpihae. Cuz we just came to dance. We dance we dance. We dance like there. Was nobody there. We dance let's dance. Oneu-reun amu keokjeong mal-go. Girls' night out tonight. Ppeonhan namjadeul jibena ka. Keo-gi ni undong-hwahdo out. Jin-cha yeojadeulmanye bam. Gaseum teojil-deuthan sounde majchwo. Bounce don't stop. Girls' night out This is what. Girls' night out This is what. Girls' night out. We are gonna burn. This house tonight. Hey, you ready,. It's Girls' night out. Nal beorin exdo nolla neokshi ppajil. My move. Nae-ga dokseoshi-re kan juraneun. Namchine-gen sorry my bo-o. Yecheukhal su eom-neun gwahkamhan momjise. Modu clap clap clap clap. Salchag heu-llin nunuseume sangsangeun ma. Cuz we just came to dance. We dance, we dance. Nuga mwora-go hadeun don't care. We dance, let's dance. On momi buseojidorok. Girls' night out tonight. Ppeonhan namjadeul jibena ka. Keo-gi ni undong-hwahdo out. Jin-cha yeojadeulmanye bam. Gaseum teojil-deuthan sounde majchwo. Bounce don't stop. Girls' night out This is what. Girls' night out This is what. Girls' night out. We are gonna burn. This house tonight. Dress, gill heel-s, ha-ir. We ready set go. It's been a long time. Oneu-reun no-ra do-ra kwaehn-chanha. Ippeumyeon dwaeht-janha. Nan momi geunjil-keunjil keoryeo beol-sseo. Deul-sseokkeoryeo jom shwiiyeot-da-go nae shillyeok. Eodi- kajin anha ha. Now I'm getting on the flo-or. Bari buseojike ttwiiyeo nun-chi boji ma. Get real. Bokjabhan meorisso-geul biwo kwaehnhan geokjeongeun. Da jiwo G.N.O.. It's all about us Girls. Girls' night out tonight. Ppeonhan namjadeul jibena ka. Keo-gi ni undong-hwahdo out. Jin-cha yeojadeulmanye bam. Gaseum teojil-deuthan sounde majchwo. Bounce don't stop. Girls' night out This is what. Girls' night out This is what. Girls' night out. We are gonna burn. This house tonight. Tonight tonight. We are gonna burn. This house tonight. Tonight tonight"
girls girls,This song is for the girls. All around the world. Girlsi know what you got. Deep inside. And I just wanna say something. So listen. Hello hello ma-eumi ganeun daero. Ttara-ga neoye neukgimi maja. Wonhaneun gillo ni-ga paradeon gillo yeah. Hey buddy keureoda nohchillae. Shija-khae keureom gili tto yeollyeo. Hal su it-janha keudaero twehl su it-janha. Keureoji mothaesseo yonggi-ga eop-seoseo. Chajonshim ttae-mune hangsang mangseo-rideon nae-ga. But I say. Girls girls I'm a wonder girl. Can be the only one in the world. Chigeum ni ma-eum ijen marhae bwah. And I say you you. You you you you. Can be the best girl in the end. Neukgim keudaero irwojil keoya. Say hello meonjeo ma-reul keo-reo. Han geo-reum ni-ga meonjeo da-ga ka. Sangsang so-geuro hangsang kkumkkudeon nae-ge yeah. Hey miss gihwehka on geoya. Jaba bwah ijen nohchiji mal-go. Ha-go ship-janha neodo wonhaesseot-janha. Sol-jikhi marhal-ke duryeoum ttae-mune. Pyeongbeomham so-geseo mae-il banbokdwaeht-deon naldeul. But I say. Girls girls I'm a wonder girl. Can be the only one in the world. Chigeum ni ma-eum ijen marhae bwah. And I say you you. You you you you. Can be the best girl in the end. Neukgim keudaero irwojil keoya. Keujeo idaero pyeongbeomhi chinaegien ni-ga. Akkapda-go saenggakhaji anha keureoh-janha. Ha-go shipeun ge it-janha wonhaneun ge. It-janha. Keureohdamyeon chigeum baro go for it. Mangseo-rim no you'll be fine. Oneu-reun himdeul-ket-ji nae-I-reun imagine. Moduga neol hyang-hae clap clap clap. Mangseo-rim. But I say. Girls girls I'm a wonder girl. Can be the only one in the world. Chigeum ni ma-eum ijen marhae bwah. And I say you you. You you you you. Can be the best girl in the end. Neukgim keudaero irwojil keoya. And I say you you you. And I say you you you. And I say you you you. And I you you you you. And I you you you you. And I say you you you. And I say you you you. And I say you you you. And I you you you you you you
like money,"Ove me like, like like love me like.. money... Love me like... Aw,. Listen to me now. My, heart is streaming now , now. I'm trying to show you, how to touch me... I'm not just a girl, I more precious than pearls. And I diserve all you got babe.. So it you're gonna hold me.. Baby don't let got of me,. Give me all you've got I want everything,. My heart is a treasure,. One that can't be measured.. Let me teach you how to love me. Love me like money, love me like cars. Love me babe love me babe whatever you are,. Love be a close love me be from a fall.. Love me like money, love me like cars. Love me babe love me babe whatever you are,. Hold me like diamonds. Treat me like a star. Love me babe love me babe whatever you are,. Love me like money, love me like cars. Love me babe, love me babe , whatever you are,. How kind my goddes dreaming like a star. Love me babe, love me babe whatever you are.."
like money (feat. akon),"Love me like money. Listen to me now. My heart is screamin out. I'm tryin to show you how to touch me. I'm not just a girl. I'm more precious than pearls and. I deserve all you got baby. So if you're gonna hold me. Baby don't let go of me. Give me all of you got I want everything. My heart is a treasure. One that can't be measured. Let me teach you how to love me. Love me like money. Love me like cars. Love me babe, love me babe. Wherever you are. Love me up close. Love me from afar. Love me babe, love me babe. Wherever you are. Love me like money. Love me like cars. Love me babe love me babe. Wherever you are. Hold me like diamonds. Treat me like a star. Love me babe, love me babe. Wherever you are. Stop listening to your friends. They just want your man. Misery loves a little company. Dont feed into them lies. Want you by my side. Why is it so hard to trust me. Let go of ya fears girl. Promise I'll be here girl. I won't let ya heart skip a beat. I'll take care of you. If you take care of me girl. Won't ever leave you lonely. Love you like money. Love you like cars. Love you babe, love you babe. Wherever you are. Love you up close. Love you from afar. Love you babe, love you babe. Wherever you are. Love you like money. Love you like cars. Love you babe, love you babe. Wherever you are. Hold you like diamonds. Treat you like a star. Love you babe love you babe. Wherever you are. Look boy I been thru some things. Seen a little sunshine seen a little rain. My hearts been thru some pain. And I don't wanna go back thru it again. So I'm lettin you know upfront. If you plan on being in the one. Listen to my instructions. Cuz ima teach you how to love. (Love you like love you like). 100 dollars bills Brand new wheels. (Love me like love me like). A fresh new hair cut boy I need you to. (Love you like love you like). New pair of kicks Ice on ya risk. (Love me like love me like). Love me like money. Love me like cars. Love me babe love me babe. Wherever you are. Love me up close. Love me from afar. Love me babe love me babe. Wherever you are. Love me like money. Love me like cars. Love me babe, love me babe. Wherever you are. Hold me like diamonds. Treat me like a star. Love me babe love me babe. Wherever you are. Love me babe love me babe. Wherever you are. Love me babe love me babe. Wherever you are. Love me babe"
