here without you,"A hundred days have made me older,. Since the last time that I saw your pretty face. A thousand lies have made me colder. And I don't think I can look at this the same. But all the miles that separate. They disappear now when I'm dreaming of your face. I'm here without you baby. But you're still on my lonely mind. I think about you baby. And I dream about you all the time. I'm here without you baby. But you're still with me in my dreams. And tonight, it's only you and me. The miles just keep rolling. As the people leave their way to say hello. I've heard this life is overrated. But I hope that it. Gets better as we go. I'm here without you baby. But you're still on my lonely mind. I think about you baby. And I dream about you all the time. I'm here without you baby. But you're still with me in my dreams. And tonight, girl, it's only you and me. Everything I know, and anywhere I go. It gets hard but it won't take away my love. And when the last one falls, when it's all said and done. It gets hard but it won't take away my love. I'm here without you baby. But you're still on my lonely mind. I think about you baby. And I dream about you all the time. I'm here without you baby. But you're still with me in my dreams. And tonight, girl, it's only you and me"
when i'm gone,"There's another world inside of me that you may never see. There's secrets in this life that I can't hide. Somewhere in this darkness there's a light that I can't find. Maybe it's too far away, or maybe I'm just blind. Maybe I'm just blind. So hold me when I'm here. Right me when I'm wrong. Hold me when I'm scared. And love me when I'm gone. Everything I am and everything in me. Wants to be the one,be the one,you wanted me to be. I'll never let you down, even if I could. I'd give up everything if only for your good. So hold me when I'm here. Right me when I'm wrong. You can hold me when I'm scared. But you won't always be there. So love me when I'm gone. Love me when I'm gone. When your education x-ray cannot see. under my skin. I won't tell you a damn thing that I could not tell my friends. Now roaming through this darkness I'm alive but I'm alone. Part of me is fighting this but part of me is gone. So hold me when I'm here. Right me when I'm wrong. Hold me when I'm scared. And love me when I'm gone. Everything I am and everything in me. Wants to be the one,be the one,you wanted me to be. I'll never let you down even if I could. I'd give up everything if only for your good. So hold me when I'm here. Right me when I'm wrong. You can hold me when I'm scared. You won't always be there. So love me when I'm gone. Maybe I'm just blind. So hold me when I'm here. Right me when I'm wrong. Hold me when I'm scared. And love me when I'm gone. Everything I am and everything in me. Wants to be the one,be the one,you wanted me to be. I'll never let you down even if I could. I'd give up everything if only for your good. So hold me when I'm here. Right me when I'm wrong. You can hold me when I'm scared. You won't always be there. So love me when I'm gone. Love me when I'm gone"
kryptonite,"I took a walk around the world. To ease my troubled mind. I left my body laying somewhere. In the sands of time. I watched the world float. To the dark side of the moon. I feel there is nothing I can do, yeah. I watched the world float. To the dark side of the moon. After all I knew it had to be. Something to do with you. I really don't mind what happens now and then. As long as you'll be my friend at the end. If I go crazy then will you still. Call me Superman. If I'm alive and well, will you be. There holding my hand. I'll keep you by my side. With my superhuman might. Kryptonite. You called me strong, you called me weak,. But still your secrets I will keep. You took for granted all the times. I never let you down. You stumbled in and bumped your head,. If not for me then you would be dead. I picked you up and put you back. On solid ground. If I go crazy then will you still. Call me Superman. If I'm alive and well,. Will you be there holding my hand. I'll keep you by my side. With my superhuman might. Kryptonite. If I go crazy then will you still. Call me Superman. If I'm alive and well,. Will you be there holding my hand. I'll keep you by my side. With my superhuman might. Kryptonite. Yeah!!. If I go crazy then will you still. Call me Superman. If I'm alive and well, will you be there. Holding my hand. I'll keep you by my side. With my superhuman might. Kryptonite"
let me go,"One more kiss could be the best thing. one more lie could be the worst. and all these thoughts are never resting. and you're not something I deserve. In my head there's only you now. this world falls on me. in this world, there's real and make believe. this seems real to me. And you love me, but you don't know who I am. I'm torn between this life I lead. and where I stand. you love me, but you don't know who I am. so let me go. let me go. I dream ahead to what I hope for. and I turn my back on loving you. how could this love be a good thing. when I know what I'm going through. in my head there's only you now. this world falls on me. in this world, there's real and make believe. this seems real to me. And you love me, but you don't know who I am. I'm torn between this life I lead. and where I stand. you love me, but you don't know who I am. so let me go, just let me go. no matter how hard I try. I can't escape these things inside. I know, I know. but all the pieces fall apart. you will be the only one who knows. who knows. And you love me, but you don't know who I am. I'm torn between this life I lead. and where I stand,. you love me, but you don't know who I am. so let me go. just let me go. you love me, but you don't. you love me, but you don't. you love me, but you don't know who I am. you love me, but you don't. you love me, but you don't. you love me, but you don't know me..."
be like that,"He spends his nights in California,. Watching the stars on the big screen. Then he lies awake and he wonders,. Why can't that be me?. Cause in his life he's filled. with all these good intentions.. He's left a lot of things. he'd rather not mention right now.. Just before he says goodnight,. He looks up with a little smile at me and he says. If I could be like that (like that). I'd would give anything. Just to live one day. In those shoes.. If I could be like that (like that), what would I do?. What would I do? yeah. Now in dreams we run.. She spends her days up in the north park,. watching the people as they pass.. And all she wants is just a little piece of this dream,. is that too much to ask?. With a safe home, and a warm bed,. on a quiet little street.. All she wants is just that something to hold onto now,. that's all she needs. (all she needs). Yeah!. If I could be like that, I would give anything. Just to live one day, in those shoes.. If I could be like that, what would I do?. What would I do?. Yeahee yeah oh ohhh yeah. Falling into this, in dreams we run away.. If I could be like that, I would give anything. Just to live one day, in those shoes.. If I could be like that, what would I do?. What would I do?. If I could be like that, I would give anything. Just to live one day, in those shoes.. If I could be like that, what would I do?. What would I do?. If I could be like that, I would give anything. Just to live one day, in those shoes.. If I could be like that, what would I do?. Lord, What would I do? yeahe yeah. Falling in.. I feel I'm falling in to this again."
bad day,"Had a bad day again. She said i would not understand. She left a note and said i'm sorry I. I had a bad day again. She spilled her coffee broke a shoelace. Smeared the lipstick on her face. Slammed the door and said i'm sorry I. I had a bad day again. And she swears there's nothing wrong. I hear her playing that same old song. She puts me up and puts me on. And had a bad day again. She said i would not understand. She left a note and said i'm sorry i. I had a bad day again. ohh oh oh ohhhh. (Instrumental). And she swears theres nothing wrong. I hear her playing that same old song. She puts me up, and puts me on. Whoa and i've had a bad day again. She said i would not understand. She left a note and said i'm sorry I. I had a bad day again. Left a note and said i'm sorry I. I had a bad day....... oh oh oh oh. oh oh oh oh. oh oh oh oh. oh oh alright. ooooooo oh"
away from the sun,It's down to this. I've got to make this life make sense. Can anyone tell what I've done. I miss the life. I miss the colours of the world. Can anyone tell where I am. Cause now again I've found myself so far down. Away from the sun that shines into the darkest place. I'm so far down away from the sun again. Away from the sun again. I'm over this. I'm tired of livin' in the dark. Can anyone see me down here. The feeling's gone. There's nothing left to lift me up. Back into the world I know. And now again I've found myself so far down. Away from the sun that shines into the darkest place. I'm so far down away from the sun. That shines to light the way for me to find my way back. into the arms. That care about the ones like me. I'm so far down away from the sun again. It's down to this. I've got to make this life make sense. And now I can't tell what I've done. And now again I've found myself so far down. Away from the sun that shines to light the way for me. And now again I've found myself so far down. Away from the sun that shines into the darkest place. I'm so far down away from the sun. That shines to light the way for me to find my way back. into the arms. That care about the ones like me. I'm so far down away from the sun again
it's not my time,"Looking back at the beginning of this. And how life was. Just you and me and love and all of our friends. Living life like an ocean. Now the currents slowly pulling me down. It's getting harder to breath. It won't be too long and I'll be going under. Can you save me from this?. Cause it's not my time,. I'm not going. There's a fear in me. It's not showing. This could be the end of me. And everything I know. Oh, I won't go. I look ahead to all the plans that we made. And the dreams that we had. I'm in a world that tries to take them away. Oh, but I'm taking them back. All this time I've just been to blind to understand. What should matter to me. My friend, this life we live. Is not what we have, it's what we believe. It's not my time. I'm not going. There's a fear in me. It's not showing. This could be the end of me. And everything I know. Oh, It's not my time. I'm not going. There's a fear in me. Now I know that. This could be the end of me. And everything I know. Oh, I won't go. I won't go. There might be more than you believe (2x). There might be more than you can't see. It's not my time. I'm not going. There's a fear in me. It's not showing. This could be the end of me. And everything I know. It's not my time. I'm not going. There's a will in me. Now it's gonna show. This could be the end of me. And everything I know. I won't go. There might be more than you believe. There might be more than you can see. I won't go!. No I won't go down!"
time of my life,"Another day, in some other place. Can someone please remind me where the hell we are. Another night i feel it come to life. How could this go so far?. The life I love is the one I lead. It get's crazy but thats fine by me. Cause I dont see the day. When I run all night. But I've got to say theres no other way. Cause I'm having the time of my life. The words you say bring back memories. of so many days that have gone. I look back and smile at those forgotten miles. and laugh at all that went wrong. What I am is what I want. And I'll be this way 'til I'm dead and gone. Cause I dont see the day. When I run all night. But I've got to say theres no other way. Cause I'm having the time of my life. For me, that's all I need. To live the way. To live the way I please. The life I love is the one I lead. It get's crazy but thats fine by me. Cause I dont see the day. When I run all night. But I've got to say theres no other way. Cause I'm having the time of my life. There some things that I can't make right. And it's been so long since I've been home. But I'm having the time of my life. . (mandinhacolares)"
loser,"Breathe in right away, nothing seems. to fill this place. I need this every time, take your. lies get off my case. Someday I will find, a love that flows. Through me like this. This will fall away, this will fall away. You’re getting closer, to pushing me. Off of life’s little edge. Cause I’m a loser and sooner or later. You know I’ll be dead. You’re getting closer, you’re holding the. Rope and I'm taking the fall. Cause I’m a loser, I’m a loser, yeah. This is getting old, I can’t break these. Chains that I hold. My body’s growing cold, there’s nothin. Left of this mind or my soul. Addiction needs a pacifier, the buzz of. This poison is taking me higher. This will fall away, this will fall away. You’re getting closer, to pushing me. Off of life’s little edge. Cause I’m a loser and sooner or later. You know I’ll be dead. You’re getting closer, you’re holding. the rope and I’m taking the fall. Cause I’m a loser, I'm a loser!. You’re getting closer, to pushing me. Off of life’s little edge. Cause I’m a loser and sooner or later. You know I’ll be dead. You’re getting closer, you’re holding. the rope and I’m taking the fall. Cause I’m a loser!. You’re getting closer, to pushing me. Off of life’s little edge. Cause I’m a loser and sooner or later. You know I’ll be dead. You’re getting closer, you’re holding. the rope and I’m taking the fall. Cause I’m a loser!"
