love song,Whenever I’m alone with you. You make me feel like I’m home again. Whenever I’m alone with you. You make me feel like I’m whole again. Whenever I’m alone with you. You make me feel like I’m young again. Whenever I’m alone with you. You make me feel like I’m fun again. However far away I will always love you. However long I stay I will always love you. Whatever words I say. I will always love you I will always love you. Whenever I’m alone with you. You make me feel like I’m free again. Whenever I’m alone with you. You make me feel like I’m clean again. However far away I will always love you. However long I stay I will always love you. Whatever words I say. I will always love you I will always love you
amber,"Brainstorm, take me away from the norm. I got to tell you something. This phenomenon, I had to put it in a song. And it goes like. Chorus:. Whoa, amber is the color of your energy. Whoa, shades of gold displayed naturally. You ought to know what brings me here. You glide through my head blind to fear. And I know why. (Chorus 2x). You live too far away. Your voice rings like a bell anyway. Don't give up your independence. Unless it feels so right. Nothing good comes easily. Sometimes you gotta fight. (Chorus). Launched a thousand ships in my heart. So easy, still it's fine from afar. And you know that. Whoa, brainstorm take me away from the norm. Whoa, I got to tell you something."
beautiful disaster,"Today seems like a good day to burn a bridge or two. The one with old wood creaking that would burn away. right on cue. I try to be not like that but some people really suck. Some people need to get the axing chalk it up to bad. luck. I know a drugstore cowgirl so afraid of getting bored. She's always running from something so many things. ignored. I might do that stuff if it didn't make me feel like. shit. I'm on some old reality tip so many trips in it. Beautiful disaster. Flyin' down the street again. I tried to keep up. You wore me out and left me ate up. Now I wish you all the luck. You're a butterfly in the wind without a care. A pretty train crash to me and I can't care. I do I don't whatever. I know a drugstore cowgirl so afraid of getting bored. She's always running from something so many things. ignored. I try to be not like this but I thought it'd make a. good song. There's nothing to see, show's over people,. just move along. Beautiful disaster. Flyin' down the street again. I tried to keep up. You wore me out and left me ate up. Now I wish you all the luck. You're a butterfly in the wind without a care. A pretty train crash to me and I can't care. I do I don't whatever"
don't let me down,"Don't Let Me Down. Don't Let Me Down Again. Don't Let Me Down. Don't Let Me Down Again. Don't Let Me Down. Don't Let Me Down. Swelled up eye's oh my the girl got beat. And the stupid mother fucker who madeyou so. That punk is a coward let that be told I hear voices in the night thatare electric. He kicks the shit out of her because he's heartless. She won't leaveshe has low self esteem. He's got gravitational pull. Sucks her body till herheart and her limbs grow cold. Hang in there use your head. How can I love youafter you're dead. Hang in there keep trying. How can I love you after dying. Here's what you got to tell him I'm thinking of a picture that's keeping me institch. You're causing me a mental glitch. 'Cause jealousy is such a bitch Ihereby emancipate myself rom that. You can consider yourself free to flirt andchat. With whoever you want It should have always been that way. The way that youwant the way that you play. My mind is blank slate I'm pretending you're erased. You cannot let me down when I cannot see your face. Hang in there use your head. How can I love you after you're dead. Hang in there keep trying. How can I loveyou after dying. Ode to a beat up girl, I know you're out there. Stronger thanyou think, stand up if you care. Get up off the ground, don't let me down. Get upoff the ground, don't let me down. Hang in there use your head. How can I loveyou after you're dead. Hang in there keep trying. How can I love you after dying. And you, I'm a let you pass without kicking you're ass. Because I'm above it youhurt someone I love. It takes two to make a thing go right and that's trite. But one just to sneak and weasel through the night. If you hurt her again I'll fuckyou up. If you hurt her again I'll fuck you up, fuck you up. If you hurt her again I'll fuck you up. If you hurt her again I'll fuck you up, fuck you up"
too much to think,"Back again I'm holed up. In the waiting room again. Focused on the empty. Getting underneath my skin. How do I keep it?. How do I keep it here?. Look at how the time flies. Burning daylight to the ground. Wash away the ashes. Gonna quiet my head down. How do I keep it?. How do I keep it here?. 'Cause I wanna get high. But you're keeping me low. I don't got time to waste or time to kill. I've had too much to think. I wanna get high. But you're taking me down down down. Don't got time to waste or time to kill. I've had too much to think. Illuminate the shadow. And try to keep the light within (keep the light within). Avoid another battle. And forget what might have been. How do I keep it?. How do I keep it here?. 'Cause I wanna get high. But you're keeping me low. I don't got time to waste or time to kill. I've had too much to think. I wanna get high (I wanna get high). But you're taking me down down down. Don't got time to waste or time to kill. I've had too much to think. I've had too much to think. As I walk through the valley of the shadow of La. See the faces of the people as they run away. It's a permanent made distraction, the modern reaction. The people don't have to feel the dissatisfaction. It's a slow journey up but a quick ride on down. And nobody here knowing their way around. From the top of the world every which way is down. And who's gonna take the crown?. 'Cause I wanna get high (I wanna get high). But you're keeping me low (But you're keeping me low). I don't got time to waste or time to kill. I've had too much to think. I wanna get high (I wanna get high). But you're taking me down down down. Don't got time to waste or time to kill. I've had too much to think. I've had too much to think"
8:16 a.m.,Stranger flowers yet. There will never come a day that will ever regret. The hours days years and the minutes. The joy the pain the sunshine and rain in it. The drives on the coast to nowhere. Nothing to say just sit and stare. There's nothing like the comfort of a silence that's comfortable. Not talking small just skip the bull. Then I find myself in servility. Didn't think that was my ability. I go a yard and a mile to make you smile. But then I'm happy see. I got so many ways to make your gaze elliptical. Got a ways to go future's so. Criptical and I'm glad. Just another many things we've had. It's 8:16 A.M. will you wake up to me. The first thing that you see. My eyes open I'm just hopin' you feel the same as me. The day starts carefully. On the sidewalk with the dog. You're right last night I was a hog. Come on I'm sorry. It's 73 degrees. January easily glides. Stranger flowers still. If you're gonna wanna go another day I will. Like this make it a deal. Sealed with a kiss. Sealed with a fell of impermanent bliss. Today my love we shall let the world slide. Turn off the ringer and just glide. For we shall never be youger again than. What do you see. It's 8:16 A.M. will you wake up to me. The first thing that you see. My eyes open I'm just hopin' you feel the same as me. The day starts carefully. On the sidewalk with the dog. You're right last night I was a hog. Come on I'm sorry. Holiday on the radio. Billie knows that is the way to go. A place where we both can spend out saved time. Not collecting interest. Maybe the same reason we always find ourselved home bound. I've got to do some homework. The leave response we want to leave Wisconsin. For a new life a new trailer with an antenna and a porch. Of course we'll bring the dog. .
d'yer mak'er (led zeppelin cover),"Oh oh oh oh oh oh. You don't have to go oh oh oh oh oh. You don't have to go oh oh oh oh oh. You don't have to go. Ay ay ay ay ay ay. All those tears I cry ay ay ay ay ay. All those tears I cry ay ay ay ay ay. Baby please don't go.. When I read the letter you wrote. It made me mad mad mad. When I read the news that it brought me. It made me sad sad sad. But I still love you so, I can't let you go. I love you- ooh baby I love you. Oh oh oh oh oh oh. Every breath I take oh oh oh oh oh. Every move I make oh oh oh oh oh. Baby please don't go. Ay ay ay ay ay ay. You hurt me to my soul ay ay ay ay ay. You hurt me to my soul ay ay ay ay ay. Darling please don't go.. When I read the letter you sent me. It made me mad mad mad. When I read the news that it brought me. It made me sad sad sad. But I still love you so. And I can't let you go. I love you- ooh baby I love you. Whoa ho. Amber is the color of your energy. Whoa ho. Shades of colors blend naturally. Whoa ho. Amber is the color of your energy. Whoa ho. Shades of colors blend naturally. Oooooooh yeah yeah"
"1,2,3",Long time did I run down like that. I would have three years ago-today but not now. It's not like that. It's all right to feel good. It's all for nothing to be wrong. The deepest dream that we have. Could be tomorrow's song. Just what did he say stop. 1 and 2 and 3. Run up the hill do as you do. I'm going to chill you know you really. Ought to do the same. They wanna bug you. But I won't let them today. It's a sure shot to the bomb drop. Every single. You know you swing. it and you fling it. And you make some shit up but. It's just 123.
i'll be here awhile,"I'll be here a while, ain't going nowhere. I'll be here a while, ain't going nowhere. I'll be here a while, ain't going nowhere. I'll be here a while. Far is solace in the maddening pace. sad state written on my face. not a tight rope walk but dance. uncertain game of chance. but I'll see it through in time. I'll be here a while, ain't going nowhere. I'll be here a while, ain't going nowhere. I'll be here a while, ain't going nowhere. I'll be here a while. And if a person place or thing can deliver. I will quiver with delight. tempted by the hand that could. blind my vision and sight. but at twenty years of age. in frolic and in rage. I will see it through in time. I'll be here a while, ain't going nowhere. I'll be here a while, ain't going nowhere. I'll be here a while, ain't going nowhere. I'll be here a while. But the dawn has come into the endless night. and everything's going to be alright. but at thirty years of age. through frolic and in rage. all regressed and healed in time. I'll be here a while, ain't going nowhere. Said I, said I, said I, I will survive."
don't tread on me,"Before you're pointing at me,. There is a possibility,. You better turn that finger around. Defense comes easily. So don't you tread on me. Cause I will knock you down. Some days it seems it's not worth it. The fight in me is all gone. And I'm not trying to be perfect. To just get one damn thing done.. Before I lose control. I pick myself up off the floor.. Before you're pointing at me,. There is a possibility,. You better turn that finger around. Defense comes easily. So don't you tread on me. Cause I will knock you down. Never come a day that’ll solve you. Consequently I could never leave you. In the shadow of those living battleships, I love our canoe. I’m ready for the falls and the still waters we will find our true. Oh there’s a clock in my head. And despite what it said. Another one in the wall. We don’t agree at all. And this just gives ‘em to me. And despite what you see. You must see me as calm, but I don’t wanna give up.. Before you're pointing at me,. There is a possibility,. You better turn that finger around. Defense comes easily. So don't you tread on me. Cause I will knock you down. Woah. Ohh in the comfort of strangers. You don’t see the danger of just letting it flow. This I know.. Before you're pointing at me,. There is a possibility,. You better turn that finger around. Defense comes easily. So don't you tread on me. Cause I will knock you down"
down,"Chill light on my sight as my ego becomes. a funky child with some words on my tongue. be like intake of breath and my mouth gets loose. while I scatter my spit I dream of juice. Have you ever made out in dark hallways. displayed a kiss that made your day or say. played a track from your record collection. it's your mix congratulations. We've change a lot and then some- some. You know that we have always been down- down. and if I ever didn't thank you- you. then just let me do it now. I bet you light up when we start up the show. follow me now very closely 'cuz I told you so. you know we love, we love, we love to play. we be freaky and we wanna stay. We've changed a lot and then some- some. You know that we've always been down- down. and if I ever didn't thank you- you. then just let me do it now. Lightning strikes yo we be in that violent force of light. garanteed to turn it out as bad as dolemite. 'cuz we're dope kid change like a chameleon and the. channel whenever the wack show real world is on. you know we dazzle like ghetto box booming battles. rattle inside your head feel redeemed like cola bottles. fall in love with your teachers on the wax. we are self made check the technique, 311 in LA. We've changed a lot and then some- some. you know that we've always been down-down. and if I ever didn't thank you- you. then just let me do it now. keep my feet on the ground. keep my head in the clouds. electrified by the sound. comes from the down- and. chorus to end."
