if it means a lot to you,"Hey darling, I hope you're good tonight. And I know you don't feel right when I'm leaving. Yeah, I want it, but no, I don't need it. Tell me something sweet to get me by. Cause I can't come back home 'til they're singin'. La, la la la, la la la. 'Til everyone is singin'. If you can wait 'til I get home. Then I swear to you that we can make this last. If you can wait 'til I get home. Then I swear come tomorrow, this will all be in our past. It might be for the best. Hey sweetie, I need you here tonight. And I know that you don't wanna be leaving. Yeah, you want it but I can't help it. I just feel complete when you're by my side. But I know you can't come home 'til they're singin'. La, la la la, la la la. 'Til everyone is singin'. La, la la la, la la la. If you can wait 'til I get home. Then I swear to you that we can make this last. If you can wait 'til I get home. Then I swear come tomorrow, this will all be in our past. It might be for the best. You know you can't give me what I need. And even though you mean so much to me. I can wait through everything. Is this really happening?. I swear I'll never be happy again. And don't you dare say we can just be friends. I'm not some boy that you can sway. We knew it'd happen eventually. La, la la la, la la la. Now everybody's singin'. La, la la la, la la la. Now everybody's singin'. (If you can wait 'til I get home). La, la la la, la la la. Now everybody's singin'. (Then I swear we can make this last). La, la la la, la la la. Now everybody's singin'. If you can wait 'til I get home. Then I swear we can make this last"
all i want,"I'm always screaming my lungs out. Till my head starts spinning.. Playing my songs is the way i cope with life.. Won't keep my voice down.. Know the words I speak. Are the thoughts i think out loud.. I like to keep things honest.. I'm a safe bet like your life's staked on it.. For real. I'd hate to keep you all wondering.. I'm constant like the seasons,. And i will never be forgotten man.. Let's leave no words unspoken. And save regrets for the broken.. Will you even look back when you think of me?. All I want is a place to call my own,. To mend the hearts of everyone who feels alone. Whoa you know to keep your hopes up high. And your head down low.. Still got something left to prove.. It tends to keep things movin'.. While everyone around me says. My last days are looming overhead. But just what the hell do they think they know?. I keep my head above the water. While they drown in the undertow.. Let's leave no words unspoken. And save regrets for the broken.. Will you even look back when you think of me?. All I want is a place to call my own,. To mend the hearts of everyone who feels alone. Whoa you know to keep your hopes up high. And your head down low.. All I want is a place to call my own,. To mend the hearts of everyone who feels alone. Whoa you know to keep your hopes up high. And your head down low.. If you take it from me,. Live your life for yourself.. Cause when it's all said and done. You don't need anyone else.. So let's get back to when everything seemed perfect.. Not a worry in the world,. So tell me was this all worth it?. I get what I want, so everyone's always judging me.. I'm not afraid of anything,. And I've got the whole world in front of me.. All I want is a place to call my own,. To mend the hearts of everyone who feels alone. Whoa you know to keep your hopes up high. And your head down low.. All I want is a place to call my own,. To mend the hearts of everyone who feels alone. Whoa you know to keep your hopes up high. And your head down low.. Keep your heads down low. Keep your heads down low. Keep your hopes up high and your heads down low!"
homesick,"Everything around me seems so much different than where I'm from. And at this rate I think that my fate's been sealed. This life's so unpredectible,. we'll go continue to live a life that no one knows.. Where's this gonna go?. Right here right now, this is the beginning of the end,. and I won't sing one single thing till we can get this right.. we're moving on. I'm moving on. Hey mom I wrote you some soft songs,. and tell dad I'm just fine. We had to choose we made our moves,. and now we gotta go, go.. Everything about me seemed so much different when I was young. I couldn't wait to take my place, five years have passed,. good god have I been gone?. So wide that I've never felt more alone in my whole life.. Time's not on my side,. Right here right now, this is the beginning of the end,. and I Won't sing one single thing till we can get this right.. We're moving on. I'm moving on. Hey mom I wrote you some soft songs. and tell dad I'm just fine. We had to choose we made our moves. and now we gotta go, go.. So why does this make me so nervous?. Why does everything go wrong?. So why does this make me so nervous?. Why does everything go wrong?. I'm holding onto a fairytale. We're moving forward but were not there yet. I'm holding onto a fairytale. We're moving forward, we're moving forward. I'm holding onto a fairytale. We're moving forward but were not there yet. I'm holding onto a fairytale. We're moving forward, we're moving forward. Hey mom I wrote you some soft songs. and tell dad I'm just fine. We had to choose we made our moves. and now we gotta go, go.. So why does this make me so nervous?. (you make me so). Why does everything go wrong?. So why does this make me so nervous?. (you make me so). Why does everything go wrong?"
have faith in me,"Have faith in me. Cause there are things that I've seen I don't believe. So cling to what you know and never let go. You should know things. aren't always what they seem. I said I'd never let you go, and I never did. I said I'd never let you fall and I always meant it. If you didn't have this chance then I never did. You'll always find me right there, again. I've gone crazy. Cause there are things in the streets I don't believe. So we'll pretend it's alright and stay in for the night. What a world. I'll keep you safe here with me. I said I'd never let you go, and I never did. I said I'd never let you fall and I always meant it. If you didn't have this chance then I never did. You'll always find me right there, again. I said I'd never let you go, and I never did. I said I'd never let you fall and I always meant it. If you didn't have this chance then I never did. You'll always find me right there, again. They've got me on the outside, looking in. But I can't see at all. With the weight of the world on my shoulders,. They just wanna see me fall. They've got me on the outside, looking in. But I can't see at all. With the weight of the world on my shoulders,. They just wanna see me fall. Have faith in me. I said I'd never let you go, and I never did. I said I'd never let you fall and I always meant it. If you didn't have this chance then I never did. You'll always find me right there, again. I said I'd never let you go, and I never did. I said I'd never let you fall and I always meant it. If you didn't have this chance then I never did. You'll always find me right there, again. I said I'd never let you go, and I never did. I said I'd never let you go, and I never did. I said I'd never let you go, and I never did. I said I'd never let you go, and I never did"
since u been gone,"Here's the thing. We started out friends. It was cool, but it was all pretend. Yeah, yeah, since you been gone. You're dedicated, you took the time. Wasn't long 'til I called you mine. Yeah, yeah, since you been gone. And all you'd ever hear me say. Is how I picture me with you. That's all you'd ever hear me say. But since you been gone. I can breathe for the first time. I'm so movin' on, yeah yeah. Thanks to you, now I get what I want. Since you been gone. How can I put it, you put me on. I even fell for that stupid love song. Yeah, yeah, since you been gone. How come I'd never hear you say. I just wanna be with you. Guess you never felt that way. But since you been gone. I can breathe for the first time. I'm so movin' on, yeah, yeah. Thanks to you, now I get, I get what I want. Since you been gone. You had your chance, you blew it. Out of sight, out of mind. Shut your mouth, I just can't take it. Again and again and again and again. Since you been gone (since you been gone). I can breathe for the first time. I'm so movin' on, yeah yeah. Thanks to you (thanks to you). Now I get, I get what I want. I can breathe for the first time. I'm so movin' on, yeah yeah. Thanks to you (thanks to you). Now I get (I get). You should know (you should know) that I get. I get what I want. Since you been gone. Since you been gone. Since you been gone"
the downfall of us all,"Da da da de da da da. Da da da de da da da. Let's go. It's not easy making a name for yourself. Where do you draw the line?. I never thought I'd be in this far. Let's have some fun and never change that for anyone. Try not to miss me when I'm gone. Oooh. I sold my soul to the open road. I'll live my life alone. You won't find me in the same spot believe me. I could never stop, my life's turned upside down. Meet me out past the train tracks I'm leavin' and not coming back. You're right and I was wrong. This town will be the downfall of us all.. I'm gonna need you to try to follow along.. I did the best that I could to try to write you songs.. Now go tell them we sold out, like we're the ones who changed.. I write what I feel, I say what I mean. You can't buy sincerity. Oooh. I sold my soul to the open road. I'll live my life alone. You won't find me in the same spot believe me. I could never stop, my life's turned upside down. Meet me out past the train tracks I'm leavin' and not coming back. You're right and I was wrong. This town will be the downfall of us all.. Don't forget yourselves we made up our minds. We signed 3, 4, 5 on that dotted line X2. You won't find me in the same spot believe me. I could never stop, my life's turned upside down. Meet me out past the train tracks I'm leavin' and not coming back. You're right and I was wrong. You won't find me in the same spot believe me. I could never stop, my life's turned upside down. Meet me out past the train tracks I'm leavin' and not coming back. You're right and I was wrong. This town will be the downfall of us all, this town will be the downfall of us all.. DOWNFALL OF US ALL X4. alandub ;]"
"i'm made of wax, larry, what are you made of?","Don't blink, they won't even miss you at all,. And don't think that I'll always be gone,. You know I've got you like a puppet in the palm of my hand,. Don't you let me down!. So run like hell,. Sleep with one eye open,. I can't forgive, or forget you,. we'll tell everyone the damage done.. Deep down you can't stop me,. You can't stop me now.. I'll be there just to watch you fall,. So don't push me, I've got nothing to lose.. Don't blink, they won't even miss you at all,. And don't think that I'll always be gone,. You know I've got you like a puppet in the palm of my hand,. Don't you let me down.. Oops there I go again.,. I made it so damn hard to come back from the mess that you're in.. I need you to know, I told you so.. You're a snake and I'm cautious.. Just use your head.. I'll be there just to watch you fall,. so don't push me, I've got nothing to lose.. Don't blink, they wont even miss you at all,. And don't think that I'll always be gone,. You know I've got you like a puppet in the palm of my hand,. Don't you let me down.. Come on. Oooooh. Everybody's out to get me.. Any moment could be my last.. This is me you can take it or leave.. Right or wrong I will stand on my own two feet.. Just breathe.. Just breathe.. Don't blink, they wont even miss you at all,. And don't think that I'll always be gone,. You know I've got you like a puppet in the palm of my hand,. Don't you let me down.. Don't blink, they won't even miss you at all,. And don't think that I'll always be gone,. You know I've got you like a puppet in the palm of my hand.. Don't you let me down.. Oh!. by Dennys Andrade"
you had me at hello,"I'm missing you so much,. I'll see you die tonight. Just so I can get to you before the sun will rise. I know the signs are on and I feel this too. None of that ever seems to matter when I'm holding you. And I'm wasting away, away from you. What have I gotten into this time around. I know that I had sworn. I'd never trust anyone again. But I didn't have to. You had me at hello.. I've never seen a smile that can light the room like yours. It's simply radiant, I feel more with everyday that goes by. I watch the clock so I can make my timing just right. Would it be okay?. Would it be okay if I took your breath away?. And I'm wasting away, away from you.. What have I gotten into this time around. I know that I had sworn. I'd never trust anyone again. But I didn't have to. You had me at hello. You gave me butterflies at the mailbox,. You had me at hello"
all signs point to lauderdale,"I hate this town. It's so washed up. And all my friends don't give a fuck. Don't tell me that it's just bad luck. When will I find where I fit in?. 2,3,4!. Remember when I tried. I never strayed too far from you. Forever by your side. No matter what I was going through. But now I never know the things to say to you. That help me prove that I'm still on your side. I never show just what you do to me. Guess I was always wrong. I hate this town. It's so washed up. And all my friends don't give a fuck. Don't tell me that it's just bad luck. When will I find where I fit in?. I hate this town. Cause no one can understand, I just can't be dragged down. Nothing comes between me and my plans. So now I never know the things to say to you. That help me prove that I'm still on your side. I never show just what you do to me. Guess I was always wrong. I hate this town. It's so washed up. And all my friends don't give a fuck. Don't tell me that it's just bad luck. When will I find where I fit in?. And don't believe a word they're telling to you. Don't believe a word they're telling to you. They let me down. When will I find where I fit in?. I hate this town. what a world, come on never bring me down. Everything I had is turning back around. Cause our times were something. Bigger than both you and me. I can't live my life always backing down. I've gotta do this right and they can't make a sound. Cause I'm not here for nothing. ‘Least I can say I stand for something. You and me we stand for something. I hate this town. It's so washed up. And all my friends don't give a fuck. Don't tell me that it's just bad luck. When will I find where I fit in?. And don't believe a word they're telling to you. Don't believe a word they're telling to you. They let me down. When will I find where I fit in?. I hate this town. I hate this town (6x)"
paranoia,"Expect the worst of everyone I meet. Count the clock cause I can't fucking sleep. Soon you'll pay like a heart attack. Call my friends I might not make it back. The doctor says I'm heading for destruction. Somethings gotta give. I'm like a time bomb ticking in your head. Paranoia clouding your judgment. And no matter what you do about it. I'm still in your head. I stop and stare scared of the unknown. Unknown numbers been blowing up my phone. I'm hearing footsteps outside of my house. I'm afraid someones trying to take me out. The doctor says I'm heading for destruction. Can I fucking live. I'm like a time bomb ticking in your head. Paranoia clouding your judgment. And no matter what you do about it. I'm still in your head. I'm still in your head. I'm still in your head. I am your breaking point. You can't run, you can't hide. I'll be there when you close your eyes at night. I'm always watching you. The doctor says I'm heading for destruction. My time is wearing thin. I'm like a time bomb ticking in your head. Paranoia clouding your judgment. And no matter what you do about it. I'm still in your head"
