what goes around,"Hey girl, is he everything you wanted in a man?. You know I gave you the world. You had me in the palm of your hand. So why your love went away. I just can't seem to understand. Thought it was me and you babe. Me and you until the end. But I guess I was wrong. Don't want to talk about it. Don't want to think about it. I'm just so sick about it. Can't believe it's ending this way. Just so confused about it. Feeling the blues about it. I just can't do without ya. Tell me is this fair?. Is this the way it's really going down?. Is this how we say goodbye?. Should've known better when you came around. That you were gonna make me cry. It's breaking my heart to watch you run around. 'Cause I know that you're living a lie. That's okay baby 'cause in time you will find.... What goes around, goes around, goes around. Comes all the way back around. What goes around, goes around, goes around. Comes all the way back around. Now girl, I remember everything that you claimed. You said that you were moving on now. And maybe I should do the same. Funny thing about that is. I was ready to give you my name. Thought it was me and you, babe. And now, it's all just a shame. And I guess I was wrong. Don't want to talk about it. Don't want to think about it. I'm just so sick about it. Can't believe it's ending this way. Just so confused about it. Feeling the blues about it. I just can't do without ya. Can you tell me is this fair?. Is this the way it's really going down?. Is this how we say goodbye?. Should've known better when you came around. That you were going to make me cry. Now it's breaking my heart to watch you run around. 'Cause I know that you're living a lie. That's okay baby 'cause in time you will find. What goes around, goes around, goes around. Comes all the way back around. What goes around, goes around, goes around. Comes all the way back around. And now you want somebody. To cure the lonely nights. You wish you had somebody. That could come and make it right. But girl I ain't somebody with a lot of sympathy. You'll see. (What goes around comes back around). (What goes around comes back around). (What goes around comes back around). (What goes around comes back around). You spend your nights alone. And he never comes home. And every time you call him. All you get's a busy tone. I heard you found out. That he's doing to you. What you did to me. Ain't that the way it goes. When you cheated girl. My heart bleeded girl. So it goes without saying that you left me feeling. hurt. Just a classic case. A scenario. Tale as old as time. Girl you got what you deserved. I thought I told you, baby. (What goes around comes back around). I thought I told you, baby. (What goes around comes back around). I thought I told you, baby. (What goes around comes back around). I thought I told you, baby"
apology,Sweat drips in my eyes. Screams of lust we cry. Tonight you are everything. You?re everything. You?re everything to me no more. As i wake from this perfect dream. I?ll escape from eden?s walls. Can i not stay and live this lie?. Go away and i?ll think only of myself. And to think that you would not be scared or surprised if i?d severed all these ties. This is the end. I?ll lose myself in anguish for tonight. Help me get over you. One last false apology. Help me get over you. I feel so numb to see this bitter end of beautiful illusions. Would this be the same?. Broken pieces will not mend to save our past now. Go away. I?ll lose myself in anguish for tonight. Help me get over you. One last false apology. Help me get over you. Now we must let go. Urgency overwhelms me as i must restrain my flood of tears. I refuse to be slave to your false beauty again. I?ll lose myself in anguish for tonight. Help me get over you. One last false apology. Help me get over you. In my mind. Blood drips from your eyes. A beautiful last goodbye. One last false apology. Help me get over you. Now we must let go. Urgency overwhelms me as i must restrain my flood of tears. I refuse to be slave to your false beauty again. I'll lose myself in anguish for tonight. Help me get over you. One last false apology. Help me get over you
curse of the virgin canvas,"I am here to tell you a story. A story that will torture your thoughts by day and. poison your dreams by night. And though I will do my best,. There are no words that can be written. Nor brush strokes laid on canvas that can describe. This dark and utter horror of the night that annabel died. The emptiness will haunt you. This is a nightmare. Is my annabel really gone?. Why have I stopped my day oh,. I find it hard to breathe. Her body teases me. As the sun reveals the dawn. Her smile reflects the gold. I kissed a sharp painful lie. Baby lay in my arms. And cuddle me close. Soon this will be. Just an awful memory. (will I ever be able to sleep again?). My angel lie to me. And tell me I'm dreaming. (please wake me up, please wake me). A feel like you will always be. Such a tradgic part of me. (I'll watch to see you torture me). I watch the blood drip. From the corners of your mouth. The watch seems vicious for me. I'll frown and slit your throat. I'm starting to believe. What my eyes are seeing now. Eyes look so beautiful. And you know what I'll be now. Baby lay in my arms. And cuddle me close. Soon this will be. Just an awful memory. (will I ever be able to sleep again?). My angel lie to me. And tell me im dreaming. (please wake me up, please wake me). A feel like you will always be. Such a tradgic part of me. (I'll watch to see you torture me). Sweet, raffish. It will be. Mine. It will be. Done. Empty eyes accuse. A face so evil. I'm comming undone. The mirror says it all. Eclipse and story. Of innocence lost. Empty eyes accuse. A face so evil. I'm comming undone. I said look at me my real angel. Abyss, I know, I will speak against you. Fly forgive me. My one I see, never say you know. Never for me, though it was for you. Fly me monster. Such an awful memory. (will I ever be able to sleep again?). My angel lie to me. And tell me I'm dreaming. (please wake me up, please wake me). A feel like you will always be. Such a tragic part of me. (I'll watch to see you torture me). Sweet, raffish. It will be. Mine. It will be. Done. (a mirror never lies. They know, everybody knows. Do you not see what they see?. A mirror never lies. I see what they see. Everybody knows, everybody knows)"
lullaby of the crucified,"My angel close your eyes, I'll be your lover tonight.. Pitiful lullaby, I'll be your lover tonight.. My own misery is taunting me.. The air stings my lungs, I can barely see.. Wicked eyes surrounding me, the trees are watching silently.. I could try to run but baby what's the point?. I may never know. (I don't see the point.). why I let you go.. My body is aching.. I'm losing my mind!. There's nothing to hold onto.. My angel close your eyes, I'll be your lover tonight.. I'm tired of trying.. I'm sick of waiting!. If there's nothing that I can do.. A pitiful lullaby to sing the tortured to sleep. We could settle down and change the end.. Nothing but time, start over again.. All the little things you do that make me fall in love with you.. Have led me to this, a bittersweet abyss.. I may never know. (a vexatious kiss.). why I let you go.. My body is aching.. I'm losing my mind!. There's nothing to hold onto.. My angel close your eyes, I'll be your lover tonight.. I'm tired of trying.. I'm sick of waiting!. If there's nothing that I can do.. A pitiful lullaby to sing the tortured to sleep. I will follow you into the night my darling eyes.. I would do anything to be lying with you as I watch you dream.. I have been reborn!. I have broken free! I'm free! I'm free!. You can't deny me, do not defy me!. I'm drunk on lust and sovereignty!. Abandon all hope for beyond time I can stand!. I have been reborn!. Darling, tonight we say goodbye!. Sing a touching lullaby and we'll watch the angels cry.. @death_slytherin"
"oh, how the mighty have fallen","I'm having trouble breathing. And if I don't think fast. I'm likely to find myself here for good. Panic sets in as I start to question. Why I see you standing there beyond the glass. Who said that we never would touch the speed of light?. So far behind me, understanding. Stars become rivers flowing backwards, oh yea!. When did my heartbeat start to echo?. Why are my thoughts now fading, drifting, yea!. Twisting, yea! Tearing, yea! Bleeding, yea!. Excuse me, are you a maniac?. I am and I'm okay with that. My moon, my stars. One last night, one final kiss. Desire begging me not to go. Goodbye my everything. I'm terrified, I pull you near. Making sure that you are real. Open my eyes, it was all a dream. Goodbye my everything. An endless maze, a mobiüs labyrinth. Exodus, redemption, where have you gone!. And yet your gaze will not cease to burn into me!. So far removed, so mockingly you observe. Pariah, hypocrite! I will be free!. And yet you will remain. Excuse me, are you a maniac?. I am and I'm okay with that. My moon, my stars. One last night, one final kiss. Desire begging me not to go. Goodbye my everything. I'm terrified, I pull you near. Making sure that you are real. Open my eyes, it was all a dream. Goodbye my everything, goodbye my everything. No!. Futile screams go unheard. Incarcerated by so many walls. No!. Imprisoned and banished. Within a nexus of my own design. Don't go back, don't leave me. Hide from the world, let's not exist. Please God kill me!. Time is mocking me. And now I'm fighting gravity, yea. I'm destroying me. Colliding worlds will set you free. A straight line is not the shortest. Distance between two points!. I know that now! But I'm afraid it might be too late!. Will we come back from this?. Hold my hand, I'm blind!. Show me how, I'm lost!. My God it's beautiful. The portal opens, time is slowing, no turning back now, 'bel. My moon, my stars. One last night, one final kiss. Desire begging me not to go. Goodbye my everything. I'm terrified, I pull you near. Making sure that you are real. Open my eyes, it was all a dream. Goodbye my everything, goodbye my everything. No!. Futile screams go unheard. Incarcerated by so many walls. No!"
annabel,"How does the dagger feel now when you're on the. receiving end?. If this is what you call betrayal.. Then this is what I call revenge.. How could I be so blind?. I guess I fell in love too quickly.... But I'm fine.. Imagine where you'd be now if you only knew.. The one you love is the one who's killing you.. I trusted you too much.. I know now that I should have kept my eyes wide open.. The first time that we kissed.. I'll bury you for this.. Just say to me that this time is the last time.. And I'll pretend that somehow I know we'll be fine.. Years spent watching in silence as your illness. spilled onto page.. Those were the last days I spend with you.. Before you left, before he came.. How could I be so blind?. I guess I fell in love too quickly.... But I'm fine.. Imagine where you'd be now if you only knew.. The one you love is the one who's killing you.. I trusted you too much.. I know now that I should have kept my eyes wide open.. The first time that we kissed.. I'll bury you for this.. Just say to me that this time is the last time.. And I'll pretend that I'm fine.. It is my fault?. You fell into that illusion you've been living. discretely.. Should I blame you in the end?. Did you ever think the sketches would take over. completely?. Die!. Just die!. You are scum!. You are filth!. Choke on blood as your knife ends the show! Writhe in pain you thought you'd. Never know!. I don't think they dig graves close enough to hell for the likes of you!. I handed you a knife and my heart, and now the dream is over..."
the thespian,"Baby! Why are you doing this to me?. Sweetheart! Are those your eyes staring straight back at me?. Angel! I see your smile everywhere!. Darling! Stop! Night falls and I'm running in circles. I'm being chased by my imagination. Tell me I'm forgiven say you'll always be mine. Say that everything is over, tell me I'm fine.... No one deserves to live like this!. Tell me I'm forgiven say you'll always be mine. Say that everything is over, tell me I'm fine.... No one deserves to live like this!. I touch your lips and stare in your eyes. You smile and it makes me fly. You are the reason my heart beats. Tonight it's just you and me.... Night as dark as my thoughts sets the scene for my return. Lightning nips at my heels as I race home. Wearily I stagger towards the song of her pale voice. Demons jeer my attempt to be free. Tell me I'm forgiven say you'll always be mine. Say that everything is over, tell me I'm fine.... No one deserves to live like this!. Tell me I'm forgiven say you'll always be mine. Say that everything is over, tell me I'm fine.... No one deserves to live like this!. I touch your lips and stare in your eyes. You smile and it makes me fly. You are the reason my heart beats. Tonight it's just you and me.... Windows cast her gentle reflection. Her somber silhouette dances for me. Dear God, it's her!. Look at you, you miserable fool!. Get off your knees, your prayers fall upon deaf ears. Gods turned his back on you, heavens gates are shut. And now you're knocking on the devils door!. I've been expecting you for some time, sir. Allow me to introduce myself. I'm the one who pulls on all the strings, son. You're lucky I don't kill you where you stand. Tonight I raise my glass for I know it's time to move on. (This can't be real. There's nothing left.). My patience will not last, tomorrow I will be gone. (All hope has failed. I've lost my soul.)"
the last three letters,"dearest love,. I hope this message finds you well. as these endless thoughts drip from my soul. every single word secretly paints a fairytale. of when we will melt into one.. eyes forfeit sight to the pain. cold scalpel's steel whispers tear at my very core. as I cling to memories of you. I am so scared so scared...I need you with me. were the last words that I wrote for you enough to tell you. that in my death the light that shone through my painful darkness. was a blinding vision of your eternal smile?. it's me again,. is it me or am I wrong to be concerned?. will the beauty of your pen ever cross my eyes again?. was this all a lie? why?. were the last words that I wrote for you enough to tell you. that in my death the light that shone through my painful darkness. was a blinding vision of your eternal smile?. make it stop, make this pounding in my head stop. fill my lungs with air, give me one more day to make her dreams come true. she understands right? that I'm not coming back.. she understands right? that I'm not coming back.. make it stop, make the pounding stop. I'm not coming back, I'm not coming back, I'm not coming back.... I don't know what happened who would have thought my life would end up like this?. I didn't mean to hurt her, not hurt her like this I can't feel my legs. I can't feel my legs and I can't even cry how could somebody die like this?. if my words ever reach you I'll assume you don't care. never knew that silence could cut so deep or that you could twist the blade. now I curse all of your beautiful lies.. I love you and goodbye.. were the last words that I wrote for you enough to tell you. that in my death the light that shone through my painful darkness. was a blinding vision of your eternal smile?. cold scalpel's steel whispers tear at my very core. as I cling to my memories of you."
beautiful in blue,"Silence screams, ""you're just so beautiful in blue"". Breathless stares escape your undying eyes. Are you blind to my sorrow and sympathy?. A piece of me will die with your last breath.... This will all be over soon for you are so lost inside. Glazed eyes long for the waves' embrace. Drawn to an end so near.... Far away are days when you smiled just to hear my voice. Why are you trying to run away?. My love, i can't find the words to tell you.... Drown all of your fantasies with your final broken promise. Silent angel crashes through sky, having lost sight of the stars. Regail me with your tales of lonely, bittersweet loss. Giving up comes to easy when hope is gone. I'll walk away so you can choke on your dying breath. But if you side against me, to hell with you.... Far away are days when you smiled just to hear my voice. Why are you trying to run away?. My love, i can't find the words to tell you.... The fear has stolen her heart as she wakes from her dream. Treacherous ink finds her lungs, seizing her screams. Numb hands now reach too late to take back the light. Far away are days when you smiled just to hear my voice. Why are you trying to run away?. My love, i can't find the words to tell you.... Far away are days when you smiled.... Seas cry out butchering this tragic soul without hope. Their frailty is broken and now fades into the blue..."
deja vu all over again,"Let's raise our glass to rock and roll. May we live fast and you die old!. Every time I blink my eyes. I hardly realize how many things I've seen. I start remembering where I've been, where I'm going. The world goes racing by, my limit is the sky. Once a face in the crowd now I am facing the crowd. We are the music makers, the dreamers of dreams. Raise your glass!. Sing along to every single song. And dance around like you can almost taste the beat. Now shut your eyes tight and lose yourself in the night. And when the sweat drips we will make your heart skip. When you're down I pick you up. One drink should be enough. Brothers through everything and always remembering. Where we've been and where we're going. Remember all that fear? The late nights and the tears?. Trying to do what's right while never forgetting why?. Long drives home in the sun-drenched thoughts of that first kiss. Raise your glass!. Sing along to every single song. And dance around like you can almost taste the beat. Now shut your eyes tight and lose yourself in the night. And when the sweat drips we will make your heart skip. Sing along and if you're feeling reckless. Jump around like you can almost taste the beat. Now shut your eyes tight and lose yourself in the night. And when the sweat drips we will make your heart skip. Give yourself to music, let it control you. Give yourself to music and it will set you free. Here's to the bold. Let's raise our glass to rock and roll. May we live fast and you die slow!. A way of life that you will never understand. My heart it lives here but my home is on the road. Over and over and over again. You dream therefore I am. Raise your glass!. Sing along to every single song. And dance around like you can almost taste the beat. Now shut your eyes tight and lose yourself in the night. And when the sweat drips we will make your heart skip. Sing along and if you're feeling reckless. Jump around like you can almost taste the beat. Now shut your eyes tight and lose yourself in the night. And when the sweat drips we will make your heart skip. Give yourself to music, let it control you. Give yourself to music and it will set you free. Raise you're glass!"
