man in the box,"I'm the man in the box. Buried in my shit. Won't you come and save me. Save me. Feed my eyes. Can you sew them shut?. Jesus christ,. Deny your maker. He who tries. Will be wasted. Feed my eyes. Now you've sewn them shut. I'm the dog who gets beat. Shove my nose in shit. Won't you come and save me. Save me. Feed my eyes. Can you sew them shut?. Jesus christ. Deny your maker. He who tries. Will be wasted. Feed my eyes. Now you've sewn them shut. Feed my eyes. Can you sew them shut?. Jesus christ,. Deny your maker. He who tries. Will be wasted. Feed my eyes. Now you've sewn them shut"
would,"Know me broken by my master. Teach thee on, child, love hereafter. Into the flood again. Same old trip it was back then. So I made a big mistake. Try to see it once my way. Drifting body, its sole desertion. Flying, not yet quite the notion. Into the flood again. Same old trip it was back then. So I made a big mistake. Try to see it once my way. Into the flood again. Same old trip it was back then. So I made a big mistake. Try to see it once my way. Am I wrong?. Have I run too far to get home. Have I gone?. And left you here alone. Am I wrong?. Have I run too far to get home, yeah. Have I gone?. And left you here alone. If I would, could you?"
nutshell,We chase misprinted lies. We face the path of time. And yet I fight. And yet I fight. This battle all alone. No one to cry to. No place to call home. My gift of self is raped. My privacy is raked. And yet I find. And yet I find. Repeating in my head. If I can't be my own. I'd feel better dead
down in a hole,"Bury me softly in this womb. I give this part of me for you. Sand rains down and here I sit. Holding rare flowers. In a tomb... in bloom. Down in a hole and I don't know if I can be saved. See my heart I decorate it like a grave. You don't understand who they thought. I was supposed to be. Look at me now a man. Who won't let himself be. Down in a hole, losin' my soul. Down in a hole, losin' control. I'd like to fly. But my wings have been so denied. Down in a hole and they've put all. The stones in their place. I've eaten the sun so my tongue. Has been burned of taste. I have been guilty. Of kicking myself in the teeth. I will speak no more. of my feelings beneath. Down in a hole, feeling so small. Down in a hole, losin' my soul. I'd like to fly. But my wings have been so denied. Bury me softly in this womb. Oh I want to be inside of you. I give this part of me for you. Oh I want to be inside of you. Sand rains down and here I sit. Holding rare flowers in a tomb. (Oh I want to be inside of you). In bloom. Oh I want to be inside. Down in a hole, feelin' so small. Down in a hole, losin' my soul. Down in a hole, feelin' so small. Down in a hole, out of control. I'd like to fly. But my wings have been so denied"
no excuses,"It's alright. There comes a time. Got no patience to search. For peace of mind. Layin' low. Want to take it slow. No more hiding or. Disguising truths I've sold. Everyday it's something. Hits me all so cold. Find me sittin' by myself. No excuses, then I know. It's okay. Had a bad day. Hands are bruised from. Breaking rocks all day. Drained and blue. I bleed for you. You think it's funny, well. You're drowning in it too. Everyday it's something. Hits me all so cold. Find me sittin' by myself. No excuses, then I know. Yeah, it's fine. We'll walk down the line. Leave our rain, a cold. Trade for warm sunshine. You my friend. I will defend. And if we change, well I. Love you anyway. Everyday it's something. Hits me all so cold. Find me sittin' by myself. No excuses, then I know"
rooster,"Ain't found a way to kill me yet. Eyes burn with stinging sweat. Seems every path leads me to nowhere, Mmm. Wife and kids household pet. Army green was no safe bet. The bullets scream to me from somewhere, Mmm. Yeah they come to snuff the rooster. Yeah here come the rooster, yeah. You know he ain't gonna die. No, no, no oh, you know he ain't gonna die. (guitar solo). Yeah they come to snuff the rooster. Yeah here come the rooster, yeah. You know he ain't gonna die, oh. No, no, no oh, you know he ain't gonna die. Walkin' tall machine gun men. They spit on me in my home land. Gloria sent me pictures of my boy, Mmm. Got my pills 'gainst mosquito death. My buddy's breathing his dyin' breath. Oh god please won't you help me make it through. Repeat chorus"
them bones,"I believe them bones are me. Some say we're born into the grave. I feel so alone, gonna end up a. Big ole pile a them bones. Dust rise right on over my time. Empty fossil of the new scene. I feel so alone, gonna wind up a. Big ole pile a them bones. Toll due bad dream come true. I lie dead gone under red sky. I feel so alone, gonna end up a. Big ole pile a them.... I feel so alone, gonna end up a. Big ole pile a them.... I feel so alone, gonna end up a. Big ole pile a them bones."
never fade,"Silent grief suffocates the room. I feel my breathing speed up at the thought of you. My inner voice seems to want me dead. Only choice to vanish down the trail I bled. You're never far away, I always see you. And when it all goes dark you light my way through. Never fade. I know you think you're someone I forgot. Never fade. I'm everything you really think I'm not. Never fade. I know you think you're someone I forgot. Never fade, yeah. Growing cold, try to numb my feeling. Lose control, all my friends are leaving. Paid the price for all the lies I used to live. Sacrifice for all the love I tried to give. You're never far away, I always see you. And when it all goes dark you light my way through. Never fade. I know you think you're someone I forgot. Never fade. I'm everything you really think I'm not. Never fade. I know you think you're someone I forgot. Never fade. Never fade. I know you think you're someone I forgot. Never fade. I'm everything you really think I'm not. Never fade. I know you think you're someone I forgot. Never fade. I'm everything you really think I'm not. Never fade. Never fade. Never fade"
the one you know,"I'm a little alike. You before things had changed. In a compass, I ride. All this feels rearranged. Tell me, does it matter. If I'm still here, or I'm gone?. Shifting to the after. An impostor, I'm not the one you know. I look the same outside. Nearly me even though. I carry something I hide. Underneath the one you know. Tell me, does it matter. If I'm still here, or I'm gone?. Shifting to the after. An impostor, so disowned. Are you surprised black water flows. From wells run dry?. I'm not the one you know. Lay me out with our guilt. Watch the explosions fall, rain. Cannot live within this tilt. Carryin' over. I'm not the one you know. Tell me, does it matter. If I'm still here, or I'm gone?. Shifting to the after. An impostor, so disowned. Are you surprised black water flows. From wells run dry?. I'm not the one you know. I'm not the one you know"
heaven beside you,"Be what you wanna be. See what you came to see. Be what you wanna be. I don't like what I see. Like the coldest winter chill. Heaven beside you... Hell within. Like the coldest winter chill. Heaven beside you... Hell within. Like the coldest winter will. Heaven beside you... Hell within. And you think you have it still, heaven inside you. So there's problems in your life. That's fucked up, and I'm not blind. I'm just see through faded, super jaded. And out of my mind. Do what you wanna do. Go out and seek your truth. When I'm down and blue. Rather be me than you. Like the coldest winter chill. Heaven beside you... Hell within. Like the coldest winter chill. Heaven beside you... Hell within. Like the coldest winter will. Heaven beside you... Hell within. And you wish you had it still, heaven inside you. So there's problems in your life. That's fucked up, and I'm not blind. I'm just see through faded, super jaded. And out of my mind. Like the coldest winter chill. Heaven beside you... Hell within. Like the coldest winter chill. Heaven beside you... Hell within. Like the coldest winter will. Heaven beside you... Hell within. And you know you have it still, heaven inside you. So there's problems in your life. That's fucked up, but You're not blind. You're just see through faded, overrated. And out of your mind"
