remembering sunday,"He woke up from dreaming and put on his shoes. Started making his way past. Two in the morning. He hasn't been sober for days. Leaning now into the breeze. Remembering Sunday, he falls to his knees. They had breakfast together. But two eggs don't last. Like the feeling of what he needs. Now this place seems familiar to him. She pulled on his hand with a devilish grin. She led him upstairs. She led him upstairs. Left him dying to get in. Forgive me, I'm trying to find my calling. I'm calling at night. I don't mean to be a bother, but have you seen this girl?. She's been running through my dreams. And it's driving me crazy, it seems. I'm gonna ask her to marry me. Even though she doesn't believe in love. He's determined to call her bluff. Who could deny these butterflies?. They're filling his gut. Waking the neighbors, unfamiliar faces. He pleads though he tries. But he's only denied. Now he's dying to get inside. Forgive me, I'm trying to find my calling. I'm calling at night. I don't mean to be a bother, but have you seen this girl?. She's been running through my dreams. And it's driving me crazy, it seems. I'm gonna ask her to marry me. The neighbor said she moved away. Funny how it rained all day. I didn't think much of it then. But it's starting to all make sense. Oh, I can see now. That all of these clouds are following me. In my desperate endeavor. To find my whoever. Wherever she may be. I'm not coming back. I've done something so terrible. I'm terrified to speak. But you'd expect that from me. I'm mixed up, I'll be blunt. Now the rain is just washing you out of my hair. And out of my mind. Keeping an eye on the world. So many thousands of feet off the ground. I'm over you now. I'm at home in the clouds. Towering over your head. I guess I'll go home now. I guess I'll go home now. I guess I'll go home now. I guess I'll go home"
"dear maria, count me in","I got your picture. I'm coming with you. Dear Maria, count me in. There's a story at the bottom of this bottle. And I'm the pen. When the lights go off. I wanna watch the way you. Take the stage by storm. The way you wrap those boys around your finger. Go on and play the leader. 'Cause you know it's what you're good at. The low road for the fast track. Make every second last. 'Cause I got your picture. I'm coming with you. Dear Maria, count me in. There's a story at the bottom of this bottle. And I'm the pen. Make it count when I'm the one. Who's selling you out. 'Cause it feels like stealing hearts. Calling your name from the crowd. Live and let live, you'll be the showgirl of the home team. I'll be the narrator. Telling another tale of the American dream. I see your name in lights. We can make you a star. Girl, we'll take the world by storm. It isn't that hard. 'Cause I got your picture. I'm coming with you. Dear Maria, count me in. There's a story at the bottom of this bottle. And I'm the pen. Make it count when I'm the one. Who's selling you out. 'Cause it feels like stealing hearts. Calling your name from the crowd. Whoa.... Ha ha.... Take a breath, don't it sound so easy. Never had a doubt. Now I'm going crazy watching from the floor. Take a breath and let the rest come easy. Never settle down. 'Cause the cash flow leaves me always wanting more. 'Cause I got your picture. I'm coming with you. Dear Maria, count me in. There's a story at the bottom of this bottle. And I'm the pen. Make it count when I'm the one. Who's selling you out. 'Cause it feels like stealing hearts. Calling your name from the crowd. 'Cause I got your picture. I'm coming with you. Dear Maria, count me in. There's a story at the bottom of this bottle"
therapy,"My ship went down in a sea of sound. When I woke up alone, I had everything. A handful of moments. I wished I could change. And a tongue like a nightmare. That cut like a blade. In a city of fools. I was careful and cool,. But they tore me apart, like a hurricane. A handful of moments. I wished I could change. But I was carried away.... Give me therapy, I'm a walking travesty. But I'm smiling at everything. Therapy, you were never a friend to me. And you can keep all your misery. My lungs gave out. As I faced the crowd. I think that keeping this up. Could be dangerous. I'm flesh and bone. I'm a rolling stone. And the experts say I'm delirious. Give me therapy, I'm a walking travesty. But I'm smiling at everything. Therapy, you were never a friend to me. You can take back all your misery. Arrogant boy,. love yourself so no one has to. They're better off without you. Arrogant boy,. cause a scene like you're supposed to. They'll fall asleep without you. You're lucky if your memory remains. Give me therapy, I'm a walking travesty. But I'm smiling at everything. Therapy, you were never a friend to me. You can take back all your misery. Therapy, I'm a walking travesty. But I'm smiling at everything. Therapy, you were never a friend to me. You can choke on your misery"
missing you,"I heard that you've been. Self-medicating in the quiet of your room. A sweet suburban tomb. An if you need a friend. I'll help you stitch up your wounds. I heard that you've been. Having some trouble findind your place in the world. I know how much that hurts. But if you need a friend. Then please just say the word. You've come this far. You're all cleaned up. You've made a mess again. There is no more trying. Time to sort yourself out. Hold on tight. This ride is a wild one. Make no mistake. The day will come. When you can't cover up what you've done. Now don't lose your fight kid. It only takes a little push to pull on trough. There is so much left to do. You'll be missing out. And we'll be missing you. I heard that you've been. Having some trouble finding your place in the world. I know how much that hurts. And if you need a friend. Then please just say the word. You've come this far. You're all cleaned up. You've made a mess again. There is no more trying. Time to sort yourself out. Hold on tight. This ride is a wild one. Make no mistake. The day will come. When you can't cover up what you've done. Now don't lose your figh kid. It only takes a litlle push to pull on trought. With some much left to do. You'll be missing out. And we'll be missing you. Grit your teeth, comb your hair. Paint the walls black in scream. Fuck the world cos its is my life. I gonna take it back. And never for a second blame yourself. Hold on tight. This ride is a wild one. Make no mistake. The day will come. When you can't cover up what you've done. (No you can't cover up). (One, two, three, four). Hold on tight. This ride is a wild one. (This ride is a wild one). Make no mistake. The day will come. (The day will come). When you can't cover up what you've done. (What you've done). Now don't lose your fight kid. (Don't loose your fight kid). It only takes a litlle push to pull through. (Litlle push to pull on through). With so much left to do. You'll be missing out. And we'll be missing you"
weightless,"Manage me, I'm a mess.. Turn a page, I'm a book half unread.. I want to be laughed at, laughed with, just because. I want to feel weightless. and that should be enough.. But I'm stuck in this fucking rut,. Waiting on a second hand pick-me-up. And I'm over getting older. If I could just find the time. Then I would never let another day go by. I'm over getting old.. Maybe it's not my weekend, but it's gonna be my year.. I'm so sick of watching while the minutes pass. As I go nowhere. And this is my reaction. To everything I fear. 'Cause I've been going crazy,. I don't want to waste another minute here.. Make believe. That I impress. That every word. By design turns a head. I wanna feel reckless,. Wanna live it up,. Just because. I want to feel weightless,. 'Cause that would be enough.. If I could just find the time. Then I would never let another day go by. I'm over getting old. Maybe it's not my weekend,. But it's gonna be my year. I'm so sick of watching while the minutes pass. As I go nowhere,. And this is my reaction. To everything I fear. 'Cause I've been going crazy,. I don't want to waste another minute here. This could be all I've waited for. This could be everything and I don't want to dream anymore. Maybe it's not my weekend. But it's gonna be my year. And I've been going crazy. I'm stuck in here.... Maybe it's not my weekend,. But it's gonna be my year. I'm so sick of. Watching while the minutes pass. As I go nowhere. This is my reaction. To everything I fear. 'Cause I've been going crazy. I don't want to waste another minute here"
a love like war (feat. vic fuentes),"Make a wish on our sorry little hearts. Have a smoke, pour a drink, steal a kiss in the dark. Fingernails on my skin. Like the teeth of a shark. I'm intoxicated by the lie. In the chill of your stare I am painfully lost. Like a deer in the lights of an oncoming bus. For the thrill of your touch, I will shamefully lust. As you tell me we're nothing but trouble. Heart's on fire tonight. Feel my bones ignite. Feels like war, war. Feels like war, war. Heart's on fire tonight. Feel my bones ignite. Feels like war, war. Feels like war, war. We go together or we don't go down at all. We go together or we don't go down at all. We go together or we don't go down at all. Fail-safe trigger, lock-down call. Wipe the drive, clean-slate, quick, sound the alarm. No escape from the truth and the weight of it all. I am caught in the web of a lie. And the bitch of it all is that I'm running from. The desire of the people to whom I belong. At the end of the day you can tell me I'm wrong. Cause you went to all the trouble. Heart's on fire tonight. Feel my bones ignite. Feels like war, war. Feels like war, war. Heart's on fire tonight. Feel my bones ignite. Feels like war, war. Feels like war, war. We go together or we don't go down at all. We go together or we don't go down at all. We go together or we don't go down at all. Heart's on fire tonight. Feel my bones ignite. It feels like war. Love feels like war. Heart's on fire tonight. Feel my bones ignite. Feels like war, war. Feels like war, war. Heart's on fire tonight. Feel my bones ignite. Love feels like war, war. Feels like war, war. We go together or we don't go down at all. We go together or we don't go down at all. We go together or we don't go down at all. Don't go down at all. Is this the end of us. Or just a means to start again?"
birthday,"I got a lot of things on my mind right now. A million ways to think about you. I can't say I expected anything different. 'Cause the way you complicate me's simple, yeah. Ba da ba da ba, ba da ba da ba. She didn't stutter, my chest flutters. Cardiac attack in the cradle of the summer. Ba da ba da ba, ba da ba da ba. I'm superstitious, the kid's vicious. Bubblegum smile, taste the cherry on her lips. You know I want you in the worst way. I need you like cake on my birthday. The way you operate is so sweet. I need you like cake on my birthday. Ba da ba da ba, ba da ba da ba. I got a lot of long nights in my life right now. And a lot of spare time to waste with you. I can't say I expected something so visceral. But the way we complicate it's simple, oh yeah. Ba da ba da ba, ba da ba da ba. She didn't stutter, my chest flutters. Cardiac attack in the cradle of the summer. Ba da ba da ba, ba da ba da ba. I'm superstitious, the kid's vicious. Bubblegum smile, taste the cherry on her lips. You know I want you in the worst way. I need you like cake on my birthday. The way you operate is so sweet. I need you like cake on my birthday. Cardiac attack in the cradle of the summer. Ba da da da da da da da da. Cardiac attack in the cradle of the summer. You know I want you in the worst way. I need you like cake on my birthday. The way you operate is so sweet. I need you like cake on my birthday. Ba da ba da ba, ba da ba da ba. I need you like cake on my birthday. Ba da ba da ba, ba da ba da ba. I need you like cake on my birthday"
damned if i do ya (damned if i don't),"I fought it for a long time now. While drowning in a river of denial. I washed up, fixed up, picked up. All my broken things. 'Cause you left me. Police scene, chalk line. Tequila shots. In the dark scene of the crime. Suburban living with a feeling. That I'm giving up. Everything for you. (For you). Oh, oh, oh. How was I supposed to know. That you were oh, oh, over me?. I think that I should go. (Go!). Something's telling me to leave. But I won't. 'Cause I'm damned if I do ya. Damned if I don't. It took a lot to take you home. One stupid call. And I end up alone. You made up, dressed up, messed up. Plans I set in stone. But you made me do it. And I dont like dancing in the alley. With a streetrat night life. Can't keep living with a feeling. That I'm giving up. Everything for you. (For you). Oh, oh, oh. How was I supposed to know. That you were oh, oh, over me?. I think that I should go. (Go!). Something's telling me to leave. But I won't. 'Cause I'm damned if I do ya. Damned if I don't. Make a fool of myself. When you hang around. When you're gone. I'm a match that's burning out. Could've been, should've done. What I said I was going to. (Said that I was going to). But I never promised you. (But I never promised you). Promised you, promised you. Oh, oh, oh. How was I supposed to know. That you were oh, oh, over me?. I think that I should go. (Go!). It never took a fool. To see the things that I won't. 'Cause I'm damned if I do ya. Damned if I do ya. Oh, oh, oh. ('Cause you left me). How was I supposed to know. (Police scene, chalk line). That you were oh, oh, over me?. (Tequila shots in the dark scene of the crime). I think that I should go. Something's telling me to leave. But I won't. 'Cause I'm damned if I do ya. Damned if I do. Damned if I do ya. Damned if I don't"
elastic heart,"And another one bites the dust. Oh why can I not conquer love?. And I might have thought that we were one. Wanted to fight this war without weapons. And I wanted it, I wanted it so bad. But there were so many red flags. Now another one bites the dust. Yeah, let's be clear, I'll trust no one. You will not break me. I'm still fighting for peace. Well, I've got thick skin and an elastic heart. But your blade, it might be too sharp. I'm like a rubber band until you pull too hard. Yeah, I may snap and I move fast. But you won't see me fall apart. 'Cause I've got an elastic heart. I've got an elastic heart. And I will stay up through the night. Let's be clear, I won't close my eyes. And I know that I can survive. I'll walk through fire to save my life. And I want it, I want my life so bad. I'm doing everything I can. Then another one bites the dust. It's hard to lose a chosen one. You will not break me. I'm still fighting for peace. Well, I've got thick skin and an elastic heart. But your blade, it might be too sharp. I'm like a rubber band until you pull too hard. Yeah, I may snap and I move fast. But you won't see me fall apart. 'Cause I've got an elastic heart. 'Cause I've got thick skin and an elastic heart. But your blade, it might be too sharp. I'm like a rubber band until you pull too hard. Yeah, I may snap and I move fast. But you won't see me fall apart. 'Cause I've got an elastic heart. I've got thick skin and an elastic heart. But your blade, it might be too sharp. I'm like a rubber band until you pull too hard. Yeah, I may snap and I move fast. But you won't see me fall apart. 'Cause I've got an elastic heart. 'Cause I've got an elastic heart"
kids in the dark,"(The kids in the dark, the kids in the dark). (The kids in the dark, the kids in the dark). Here we are at the end of the road. A road that's quietly caving in. Come too far to pretend that we don't. We don't miss where we started. Looking back, I see a setting sun. And watch my shadow fade into the floor. I am left standing on the edge. Wondering how we got this far. How we got this far. They left us alone, the kids in the dark. To burn out forever or light up a spark. We come together, state of the art. We'll never surrender the kids in the dark. So let the world sing. What a shame, what a shame. Beautiful scars on critical veins. Come together, state of the art. We'll never surrender the kids in the dark. The kids in the dark. (The kids in the dark, the kids in the dark). Here we are at the top of a hill. A hill that's quietly crumbling. It's been awhile since you've dressed for the kill. The kill that sent me tumbling. Looking up, I see a falling star. And watch its fire burn into the floor. And I am left standing on the edge. Wondering why we fall so hard. Why we fall so hard. They left us alone, the kids in the dark. To burn out forever or light up a spark. We come together, state of the art. We'll never surrender the kids in the dark. So let the world sing. What a shame, what a shame. Beautiful scars on critical veins. Come together, state of the art. We'll never surrender the kids in the dark. The kids in the dark. Woohh. Wooahh (The kids in the dark). Wooahh. Wooahh. They left us alone, the kids in the dark. To burn out forever or light up a spark. We come together, state of the art. We'll never surrender the kids in the dark. So let the world sing. What a shame, what a shame. Beautiful scars on critical veins. Come together, state of the art. We'll never surrender the kids in the dark. The kids in the dark. The kids in the dark, the kids in the dark. We'll never surrender the kids in the dark. The kids in the dark"
