love exists,"It can be born anywhere. In the last place you'd expect. In a way you'd never dream. It can grow from nothing. And blossom in a second. A single glance is all it takes. To get inside you. Invading every thought. And every bit of your heart. Love can make you scream. and it can leave you speachless. Love has a thousand stems, but only one flower. It can grow alone till it turns into dust. It can tear your world apart. Or bind to you forever. It can grow in darkness, make its own light. Turn a curse into a kiss. change the meaning of your words. Love makes no sense, love has no name. Love drowns you in tears. And it sets your heart on fire. Love has no fear, love has no reason. So infinitely vast and we're standing on the edge. Take my hand and erase the past forever. My love is you, my love you are. Love makes no sense, love has no name. Love is never wrong and never needs a reason. I'm drowning in my tears. But my heart's on fire. It can make you better, it can change you slowly. And give you everything you want. Ask for nothing in return. In the blink of an eye, the hint of a smile. In the way you say goodbye. And everytime you find me. Love makes no sense, love has no name. Love drowns you in tears. And it sets your heart on fire. Love has no fear, love has no reason. Love makes no sense, love has no name. Love drowns you in tears. And it sets your heart on fire. Love has no fear, love has no reason. My love is you, my love you are. My love is you, my love you are"
broken,"I wanted you to know that I love the way you laugh. I wanna hold you high and steal your pain away. I keep your photograph and I know it serves me well. I wanna hold you high and steal your pain. Cause I'm broken when I'm lonesome. And I don't feel right when you're gone away. You've gone away. You don't feel me here, anymore. The worst is over now and we can breathe again. I wanna hold you high, you steal my pain away. There's so much left to learn, and no one left to fight. I wanna hold you high and steal your pain. 'Cause I'm broken when I'm open. And I don't feel like I am strong enough. 'Cause I'm broken when I'm lonesome. And I don't feel right when you're gone away '. 'Cause I'm broken when I'm open. And I don't feel like I am strong enough. 'Cause I'm broken when I'm lonesome. And I don't feel right when you're gone away '. 'Cause I'm broken when I'm lonesome. And I don't feel right when you're gone. You've gone away. You don't feel me here, anymore"
speak to me,"Be still, my love. I will return to you. However far you feel from me. You are not alone. I will always be waiting. and I'll always be watching you. Speak to me. Speak to me. Speak to me. I can't let go. You're every part of me. The space between is just a dream. You will never be alone. I will always be waiting. and I'll always be watching. We are one breath apart, my love. And I'll be holding it in till we're together. Hear me call your name. Just speak, Speak to me. Speak to me. Speak. I feel you rushing all through me. In these walls I still hear your heartbeat. And nothing in this world can hold me back. From waking through to you. We are one breath apart, my love. And I'll be holding it in till we're together. Hear me call your name. Just believe and speak, speak to me. Speak to me. Speak to me. Be still, my love. We will return to you"
with or without you,"See the stone set in your eyes. See the thorn twist in your side. I wait for you. Sleight of hand and twist of fate. On a bed of nails she makes me wait. And I wait for you. And I can't live. With or without you. With or without you. With or without you. Through the storm, we reach the shore. You gave it all but I want more. And I'm waiting for you. With or without you. With or without you. I can't live with or without you. With or without you. And you give yourself away. And you give yourself away. And you give, and you give. And you give yourself away. My hands are tied, my body bruised. She got me with nothing to win. And nothing left to lose. And you give yourself away. And you give yourself away. And you give, and you give. And you give, and you give. And I can't live. With or without you. With or without you. With or without you"
dream too much,"There's a monkey in my bed. The muffins are sleeping. And the tigers in the sand, oh no. Well, the grapes keep raining down. And everyone is eating. But another train is rolling into town. There's no way you can dream. Way you can dream. Way you can dream too much. There's no way you can dream. Way you can dream. Way you can dream too much. It's a very windy day. At the bottom of the ocean. And the sandwiches you made of flew away. But the jellyfish helped you build. A watermelon tower. And the station master smiled as if to say. There's no way you can dream. Way you can dream. Way you can dream too much. And dreams you can do anything you want to. In once in a while you'll have dreams that come true. Swim through the clouds till you land on the moon. When you do, dream of something new. Cause there's no way you can dream. Way you can dream. Way you can dream too much. There's no way you can dream. Way you can dream. Way you can dream too much. There's no way you can dream. Way you can dream. Way you can dream too much. There's no way you can dream. Way you can dream. Way you can dream too much. Keep on dreaming"
goodnight my love,"Goodnight, my love. Pleasant dreams, sleep tight, my love. May tomorrow be sunny and bright. And bring you closer to me. Before you go. Please remember I need you so. And this love that I have for you. Will never grow cold. If you should awake in the still of the night. Please have no fear. For I will be there,. darling you know I care. Please give your love to me dear, only. Goodnight, my love. Pleasant dreams, sleep tight, my love. May tomorrow be sunny and bright. And bring you closer to me. Before you go. Please remember I need you so. And this love that I have for you. Will never grow cold"
going to california,"Spent my days with a woman unkind. Smoked my stuff and drank, all my wine. Made up my mind to make a new start. Going to California with an aching, in my heart. Someone told me there's a girl out there. With love in her eyes and flowers in her hair. Took my chances on a big jet plane. Never let 'em tell you that they're all the same. The sea was red and the sky was grey. Wondered how tomorrow, could ever follow today. The mountains and the canyons start to tremble and shake. As the children of the sun began to awake. Seems that the wrath of the gods. Got a punch on the nose, and it started to flow. I think I might be sinking. Throw me a line, if I reach it in time. I'll meet you up there where the path. Runs straight and high. High. To find a queen without a king. They say she plays guitar and cries and she sings. Ride a white mare in the footsteps of dawn. Tryin' to find a woman who's never, never, never been born. Standing on a hill in my mountain of dreams. Telling to myself it's not as hard, as it seems"
it's a fire,"It's a fire. These dreams they pass me by. This salvation I desire. Keeps getting me down. 'Cause we need to. Recognise mistakes. For time and again. So let it be known for what we believe in. I can see no reason for it to fail. 'Cause this life is a farce. I can't breathe through this mask. Like a fool. So breathe on, sister breathe on. From this oneself. Testify or tell. It's fooling us now. So let it be known for what we believe in. I can see no reason for it to fail. 'Cause this life is a farce. I can't breathe through this mask. Like a fool. So breathe on, little sister, breathe on. Oh so breathe on, little sister, like a fool. Sister"
fall into you,Seems so far. That i have gone down this road. Only to find that it ends. But lookin' back. There is one thing that I know. I can't make it all alone again. 'Cause I'm too weak to stand on my own. But all I need is you. [Chorus]. So lead me. Guide me. Hold me. Hide me in love. With all that you are. and all that you do. Hear me. Take me. Mold me. Break me a God. Just fill all of me. As i fall Into you. Just catch me as I fall. But all this time. I have felt so alone. losing myself in my dispair. With loving arms. You were waiting for me to let go. With every step. you were there. 'Cause I'm too weak to stand on my own. When all i need is you. (chorus). Oh my child. How i have longed. You to come home. to where you belong. All of your life. If you could just see. All of my joy. When you are here with me (X2). Hear me Take me. mold me. break me a god. Just fill all of me. as I fall into you
if you're a star,"The stars are shining bright. And I'm wondering what they're seeing. Can they see me watching now?. Stars come out at night. I wonder if they're ever sleeping. I wonder if they're dreaming. How do you sleep at night. If you can never turn off your light?. How do you sleep at night. If you're a star?. The earth is beautiful at night. Fireflies are dancing. Listen to the crickets sing. Fireworks ignite. Exploding in a rainbow. Making all the trees glow. How do you sleep at night. With all the magical things inside?. How do you sleep at night. If you're a star?. We need stars to show us the way home. And help us to see in the dark. If you're feeling lonely. Just look up high. They're with you wherever you are. It's time to say goodnight. But the stars are busy listening. Cause everybody is wishing. I wish I may, I wish I might. That the stars will know I'm grateful. That's so very faithful. Thank you for all your light. And making the world so bright. But how do you sleep at night. If you're a star?"
