think higher,"Everyone pictures to become somebody. You know, I know. One of a few changes grime into honey. Guess how, guess how. Don't believe it's fate and fortune. Don't believe it's karma leading to. The end of the game. Think higher!. Believe in your desire. Define that you'll be strong. And nothing can go wrong. Think higher!. Kings have been conquered by bondsmen and servan. You know, I know. All is achieved by your own persuasion. That's shown, that's shown. All you need you'll find inside you. Use it and you'll make you way into. The gain of the game. Think higher!. Believe in your desire. Define that you'll be strong. And nothing can go wrong. Think Higher!. Obey you inner fire. Whatever you'll be through. The win belongs to you. Think Higher!. The gain belongs to you"
1000 years away,"A little manchild. High up at the window. His trembling feet at the line. Hey little manchild. Do you see the people?. From high above they're so kind. Do you see the ravens?. It's you whom they're calling. ""Come fly with me"". We keep on wandering. And all the sorrows. Are simply staying here!. Fly with me over all nights and days. To the eternal place. Thereto where all are going. 1000 years away. 1000 years away. A little manchild. Lies there on the road. Why in God's name?. Hey little manchild. Do you see the people?. From down below they're so plain. Do you hear the ravens?. It's you whom they're calling. ""Come fly with me. And all in morning all with be forgotten. And you were never here"". Fly with me over all nights and days. To the eternal place. Thereto where all are going. 1000 years away. You'll be seeing where it's all begun. Who makes the world go round. There where we all meet one day. 1000 years away. 1000 years away. On the 7th of December,1995,around 6.30pm,. Peter flew with the birds.. He was eleven years old.. In that same month, a further 3 children flew like Peter.. In the following year, 33 more followed.. Peter had many friends. In his last letter he said good-bye to all of them.. Also to his mother - but not to his father.... Due to the impact with the gound, ath the post-mortem,. Peter's body showed no sign of the terrible mistreatment he had suffered.. Later, in tears, his mother said that Peter - wherever he may now be -. need no longer live in fear of his drunken father.. Fly with me over all nights and days. To the eternal place. Thereto where all are going. 1000 years away. You'll be seeing where it's all begun. Who makes the world go round. There where we all meet one day. 1000 years away. 1000 years away"
a little bit more each day,It's like an open fire. Spreading out. Burning higher. IT's a game. You know the name. Still it goes the same. Like a guiding angel. White in white. Plain essential. For my life. For my mind. Still so much to find. I love you more than I can say. A little bit more each day. Hey I love you. A little bit more each day. I love you. A little bit more each day. It's like a giant cyclone. From a breeze we raised it to storm. And the rain was followed by. Royal in the sky. And it's like every hour. Without you is ache and sorrow. It's a game. You know the name. Still it goes the same. I love you more than I can say. A little bit more each day. Hey I love you. A little bit more each day. Hey I love you. A little bit more each day. I love you. A little bit more each day. I love you more than I can say. Before and after. I love you more than I can say. A little bit more each day. Hey I love you. A little bit more each day. I love you
are you metal?,"I love it loud, let's push it higher. Until the gain shows just red light. I love it true and played with fire. I enjoy a battle without fight. What I hear I adhere. Have no fear, say sincere. Are you metal. Are you metal. Are you. Are you. Are you metal. Heavy metal. Are you metal. Call me insane, call me hard wired. But it's the only noise I like. Believe in loud and fast and higher. I can tell the sound of wrong or right. What I hear I adhere. Have no fear, say sincere. Are you metal. Are you metal. Are you. Are you. Are you metal. Heavy metal. Are you metal"
back again,Life is what I'm bringing. Pain is what I'm killing. Hope is what you need to give me. Dust to dust and energy to energy. I'm gonna fill up your hearts. I'm gonna fill up your hearts. Now I'm back again. To make you see. Yes I'm back again. I walk on water where was sand. I'm back again. I hope I make you understand. I'm back again. For you. Death is your own decision. Once you dared a timeless mission. Lost in mind and mere forgotten. Sleeps the power you have gotten. I'm gonna fill up your hearts. I'm gonna fill up your hearts. Now I'm back again. To make you see. Yes I'm back again. I walk on water where was sand. I'm back again. I hope I make you understand. I'm back again
banker's delight (doa),"I don't care who your are. I don't care where you've been. I don (t care where you go to. What you've done or what you've seen. I don't care if you are frightened. If you're longing to be free. I don't care how much you're bleeding. Every single drop's for me. Yeah, yeah, yeah. I'm gonna get you. Yeah, yeah. Dead or alive. Dead or alive. Dead or alive. I don't care what you need. I just care for my meat. I don't care if you lose. As long as I will get my juice. I don't care about your dreams. But I prentend to as it seems. Just to make you feeling safe. But you're just a modern slave. Yeah yeah yeah. I'm gonna get you. Yeah, yeah. Dead or alive. Dead or alive. Dead or alive. My lies destory your fears. My lies wil dry your tears. I'll turn your hopes to shame. I'll make you play my game. My lies destory your fears. My lies wil dry your tears. I'll turn your hopes to shame. I'll make you play my game. Dead or alive. Dead or alive. Dead or alive. I'm gonna get you. I'll make you pay. Dead or alive. Dead or alive. Dead or alive"
behind dead eyes,Hey you!. Can you tell me how I achieved to end up here?. Hey you. Are you by my side 'cause you are what you appear. Listen. I don't know why but you still hold my sweet lime. Twisted. I'm feeling good and I don't prossess a dime. The Time Of My Life. Twist and turns like a knife. Turing all that was good into pieces. Skins me alive. The Time Of My Life. Twist and turns like a knife. Turing all that was good into pieces. Cutting all that was plain into pieces. Hello you time of my life. Yeah now. I remember who I most likely used to be. Damn. On my wedding-day I deidec just to flee. Sister. I have no clue who the flying fuck you are. But baby. You're looking good so let's see how cheap you are. The Time Of My Life. Twist and turns like a knife. Turing all that was good into pieces. Skins me alive. The Time Of My Life. Twist and turns like a knife. Turing all that was good into pieces. Cutting all that was plain into pieces. Hello you time of my life
blind,"Don't want to die to see. Nor want to live forever. But there is something I must find. I'm blind. I got a house and pool. Bulit on the isle of summer. I should be glad but still I whine. I'm blind. No better life. Without me breaking these chains. No better day to wake my mind. I'm blind. We are the ones. We are the children of change. But still behave like left behind. I'm blind. I guess I try to say. That we may own whatever. But we can't buy what we must find. I'm blind. No better life. Without me breaking these chains. No better day to wake my mind. I'm blind. We are the ones. We are the children of change. But still behave like left behind. I'm blind. I don't find my signs. I hide, I lied. Cannot break out. My mind is aching. My heart is breaking. I want to change now. But I don't know how. No. I don't believe fate is a thief. There must be more we're living for. We got to go. We got to see. We got to find. I'm blind. No better life. Without me breaking these chains. No better day to wake my mind. I'm blind. We are the ones. We are the children of change. But still behave like left behind. I'm blind"
child of my fear,All I had now is gone. Was not always alone. Not yet shed my last tear. For the child of my fear. What's true for my eyes. Could be all made up in disguise. Once out there now is here. It's the child of my fear. These words I'm singing. These days I'm giving. These tears I'm paying. But my child of fear is staying. On and on. It tells lies over me. Or I'm not what I think to be. Gave up all that was dear. For the child of my fear. Like a silent thief. Stole my faith my belief. What was doubt now is clear. I'm the child of my fear. These words I was singing. These days I was giving. These tears I was paying. But my child of fear was staying. These roads I'd taken. Seemed all mistaken. Now the truth was spoken. And I feel the spell is broken. Gone. Forever gone
cock,"First they feed us. Then let bleed us. Tell tale liars. Wake desires. Play their terror. Act like fellow allies. I'm not your brother, motherfucker. Hey deceiver. Make believer. I ain't your mother. Stick your cock into another. False reliever. Mess achiever. Tell your mother. Stick cock into another. Global raptor. Home corruptor. Politician. Vote tactician. Smile your smile. On Tv mission. Don't grin. I'm not your borther, mottherfucker. Hey deceiver. Make believer. I ain't your mother. Stick your cock into another. False reliever. Mess achiever. Tell your mother. Stick cock into another. We all have to die. We all have to die. We all have to die. We all have to die. Then you will face it. Your first will be the last. Us last will judge your past. Revelations. Congratulations. Revelations. Congratulations. Hey deceiver. Make believer. I ain't your mother. Stick your cock into another. False reliever. Mess achiever. Tell you mother. Stick cock into another. Hey food chaser. James George Frazer. Did your mother. Stick your cock into another. Hey deciever. Make beleiver. I ain't your mother. Stick your cock into another"
