rebirth,"Cooling breeze from the summer day. Hearing echoes from your heart. Learning how to recompose the words. Let time just fly. Joyful sea-gulls roaming on the shore. Not a single note will sound. Raise my head after I dry my face. Let time just fly. Recalling, retreating. Returning, retrieving. A small talk you're missing. More clever, but older now. A leader, a learner. A lawful beginner. A lodger of lunacy. So lucid in a jungle. A helper, a sinner. A scarecrow's agonizing smile. Oh Oh! Minutes go round and round. Inside my head. Oh Oh! My chest will now explode. Falling into pieces. Rain breaks on the ground! -blood. One minute forever. A sinner regreting. My vulgar misery ends. (And I) ride the winds of a brand new day. High where mountains stand. Found my hope and pride again. Rebirth of a man. Time to fly..."
nova era,"Somehow I know. That things are gonna change. New boundaries on the way. Like never were before. Find a meaning to your life. Hear the whispers of the angels. Bring the sunrise again. New day shines, fallen angels will arise. Nova Era brings the ashes back to life. All over now, all the pain and awful lies. Angels will arise. Back to life!. Fresh winds of hope. Has taken us ahead. Forever is a place. You have to keep in mind. No way to limit our goals. You'll find a reason to believe. Facing Nova Era. New day shines, fallen angels will arise. Nova Era brings the ashes back to life. All over now, all the pain and awful lies. Angels will arise. Back to life!. Oh! Come on! Arise!. Find a meaning to your life. No way to limit our goals. Hear the whispers of the angels. Bring the sunrise again!. New day shines, fallen angels will arise. Nova Era brings the ashes back to life. All over now, sores in pain and awful lies. Angels lead you through paradise. Nova Era is a passage to your mind. And forever you may find a better time. Nova Era brings the angels back to life...life"
black widow's web,"Let me tell a little tale. Maybe you have heard about. Black Widow spider is on the wall. Weaving a silken web. Patiently works her thread. Quiet she lies there waiting. for your time to fall. I was fooled by your false adulation. Just another bait that fell into your trap. Stop your whining of victimization. 'Cause You know well to differ crap from gold. The Black Widow's web. She silently waits for a chance. Once you're caught she gets hold of your life. You are mine. Then her poison will make you blind. The Black Widow's web. She'll be carefully spreading her net. You have nowhere to hide, she will find you. Better run from me. Tempting your worse desires. When I turned on my device of alienation. You were draining out all my identity. You're not obligated, social isolation. And you are trapped by your own vanity. The Black Widow's web. She silently waits for a chance. Once you're caught she gets hold of your life. Better run from me. Then her poison will make you blind. You can't hide. The Black Widow's web. She'll be carefully spreading her net. You have nowhere to hide, she will find you. You can't hide. Tempting your worse desires. 'Cause you're mine. Your need for attention made your blind. Now your identity is mine. She may look so innocent. You are fooled by charming eyes. Better face the consequence. From her reckless heart. Don't be frightened little one. I never meant to harm you. Trust me now come closer here. And taste my kiss of death. The Black Widow's web. She silently waits for a chance. Once you're caught she gets hold of your life. Better run from me. Then her poison will make you blind. You can't hide. You better face the fact. That no matter how fast you react. She will always be there to strike you. Enticing your worst desire. 'Cause you're mine. Black Widow spider is on the wall. Weaving a fragile web. Patiently works her thread. Quiet she lies there waiting. For your time to fall"
heroes of sand,"Sealing light. Nothing to see. Like a miracle life. Starts with the pain. Forever this will be. Close my eyes. Thunders won't cease. Crawling down to the edge. I break down and weep. Tears on the river deep. Oh! Back to the sea oh!. Shout loud. Moving ahead. Ride the horses of justice. Virtues of men, yawns!. Down and out. Losing my head. Like a dream you're returning. Back from the dead-awake!. Shadows will fade someday. All the heroes go down. Shed their blood on the land. Dreaming somehow. The divine will now stand. Heroes go down. With their hearts in their hands. Building (he is building). Their castles (building up). On the sand. Haunted by the heavy clouds. Thunder scaring away. Howling like a mountain wolf. Warriors like leading the way. All the heroes go down. Shed their blood on the land. Dreaming somehow. The divine will now stand. Heroes go down. With their hearts in their hands. Building their castles on the sand. On the sand... Heroes go down. On the sand... Heroes of the sand!. Hearts in their hands. In their hands... Oh woah oh!"
carry on,"Simple minded brain. for now you succumb. Nothing changes your way. This world insists to be the same. based on our mistakes. The flowers fade along the road. Don't blindfold your eyes,. so loneliness becomes the law. of a senseless life. Follow your steps and you will find. The unknown ways are on your mind. Need nothing else than just your pride. to get there...go!. Now we have to face another day. You won't be alone. This life is forcing us to stay. - For how long?. Cold is the wind and thunder struck. on a stormy night. But can't you see, I'm by your side. We are marching on!.... Follow your steps and you will find. The unknown ways are on your mind. Need nothing else than just your pride. to get there.... So, carry on,. There's a meaning to life. Which someday we may find.... Carry on, it's time to forget. The remains from the past, to carry on. Follow your steps and you will find. The unknown ways are on your mind. Need nothing else than just your pride. to get there.... So, carry on,. There's a meaning to life. Which someday we may find.... Carry on, it's time to forget. The remains from the past. So, carry on,. There's a meaning to life. Which someday we may find.... Carry on, it's time to forget. The remains from the past!. Carry on, it's time to forget. The remains from the past, to carry on. The remains from the past, to carry on. The remains from the past..."
nothing to say,"Long ago, the same sky above;. ""It's lonesome when the sun goes down"". A day had come when we were like one:. Weapons up, never surrender!. Oh, I saw the gleams of gold. We'd kill and die conquering a virgin world. The hold corrupted by the honour. Living forevermore, leaving today. Back to my place, I've got. Nothing to say!. Guilt and shame, it's all so insane. Pagan gods die with no defence. And we could go no further at all. Digging the graves of our conscience. Oh, the sounds, they still echoe. All of us drifting on seas of blood. The hope hidden behind the horror. Living forevermore, leaving today. Back from this land, I've got. Nothing to say!. Living forevermore, leaving today;. For all what remains I've got. Nothing to say!. Oh, how many years have gone. Every morning I bare myself from love. The love rising up from the sorrow. Living forevermore, leaving today. Back from this land I´ve got. Nothing to say!. Living forevermore, leaving today. For all what remains I've got. Nothing to say!. Living forevermore - Nothing to say!. Back to my place, I've got.... Living forevermore - Nothing to say!. For all what remains, I've got. Nothing to say!"
bleeding heart,"Now I know that the end comes. You knew since the beginning. Didn't want to believe it's true. You are alone again. My soul will be with you. Why's the clock even running. If my world isn't turning. Hear your voice in the doorway wind. You are alone again. I'm only waiting. You tear into pieces my heart. Before you leave with no repentance. I cried to you, my tears turning into blood. I'm ready to surrender. You say that I take it too hard. And all I ask is comprehension. Bring back to you a piece of my broken heart. I'm ready to surrender. I remember the moments. Life was short for the romance. Like a rose it will fade away. I'm leaving everything. No regrets, war is over. The return of a soldier. Put my hands on my bleeding heart. I'm leaving all behind. No longer waiting. You tear into pieces my heart. Before you leave with no repentance. I cried to you, my tears turning into blood. I'm ready to surrender. You say that I take it too hard. And all I ask is comprehension. Bring back to you a piece of my broken heart. I'm ready to surrender. I've waited for so long!. You tear into pieces my heart. Before you leave with no repentance. I cried to you, my tears turning into blood. I'm ready to surrender. You say that I take it too hard. And all I ask is comprehension. Bring back to you a piece of my broken heart. I'm ready to surrender. I'm ready to surrender"
wuthering heights,"Out on the wiley, windy moors. We'd roll and fall in green. You had a temper, like my jealousy. Too hot, too greedy. How could you leave me?. When I needed to possess you. I hated you, I loved you too. Bad dreams in the night. They told me I was going to lose the fight. Leave behind my wuthering, wuthering. Wuthering Heights.. Heathcliff, it's me, Cathy come home. I'm so cold, let me in-a-your window. Oh it gets dark, it gets lonely. On the other side from you. I pine alot, I find the lot. Falls through without you. I'm coming back love, cruel Heathcliff. My only one dream, my only master. Too long I roam in the night. I'm coming back to his side to put it right. I'm coming home to wuthering, wuthering. Wuthering Heights. Heathcliff, it's me, Cathy come home. I'm so cold, let me in-a-your window. Oh let me have it, let me grab your soul away. Oh let me have it, let me grab your soul away. You know it's me, Cathy. Heathcliff, it's me, Cathy come home. I'm so cold, let me in-a-your window. Heathcliff, it's me, Cathy come home. I'm so cold, let me in-a-your window. Heathcliff, it's me, Cathy come home. I'm so cold, let me in-a-your window. Heathcliff, it's me, Cathy come home. I'm so cold, let me in-a-your window"
angels cry,"Cry in the night of the angels. For their light will never shine. With their hearts so full of sorrow. Muddy waters all around. The curtain falls for helpless souls. How they suffer swept aside. And the raging streams are flowing. with so little hope inside. (Is like). Angels crying. Can't take no more. Angels dying. Capture their fall. Try to see this misery. your future is not what you wished it to be. So try to fly, the answer lies. in the angry darkened skies. (angry darkened skies). You just keep on standing in these fields all your life. You sow the seeds that never grow. No harvest comes such a strain to feed the few. Still you're waiting, it's in vain. The change must come right now!. Oh, see the sun in the sky. (From the dawn of destruction). Free, free this chain from my heart. (chain, chain, chain). Hear the cry of angels. from this life you cannot hide. 'Cause the change may come tomorrow. for the solemn weeping eyes. (Like). Angels crying. Can't take no more. Angels dying. Capture their fall. Try to see this misery. your future is not what you wished it to be. So try to fly, the answer lies. in the angry darkened skies. (angry darkened skies). You just keep on standing in these fields all your life. You sow the seeds that never grow. No harvest comes such a strain to feed the few. Still you're waiting, it's in vain. The change must come right now!. Angels are crying and dying. There must be some way. endless you stray, still you pray for a better life. Nobody sees when a glimpse. of your target lies behind you. Like steps of the pilgrims unshined!"
time,"This time I wanna know what life means.... ... to live it again. I'm looking forward, feel the light shine in my eyes. And now I know, my instincts were not wrong. And many things can be done. I don't believe now. That I'm dreaming alone. Oh, we're searching for the love. That everyone's got, but can't see. Oh, beyond the flesh and blood. There's so much hidden behind. As so much more we've gotta give.... Sanity brings up the sadness. That keeps your illusions locked in a little box. Fright comes, you find yourself lonely. In a cage of conclusions crowding your mind. You sit back bowing your head. Every answer - yes. Why don't you trust me and shed out your fears,. Running over the tears you've contained. Now cover up your eyes. - Is it good for you?. I will be here when fire burns!. Welcome on board. over here is the ship of your life. So rotten that will cast away. I'll be your sweet lullaby all the night. And if you get lost you can hold my hand.... And I'll be here when fire burns. (Inside your heart). Climb up the hills and mountains,. Don't forget what you've learned!. Life makes us feel the time we cannot hold. Time makes us live a tale already told. Time makes us heal a feeling inside. A feeling that lies in our heart. That we stole away.... And I'll be here when fire burns. (Inside your heart). Climb up the hills and mountains,. Don't forget what you've learned!. Life makes us feel (life makes us feel). The time we cannot hold. Time makes us live (time makes us live). A tale already told. Time makes us heal (time makes us heal). A feeling inside. A feeling that lies in our heart. That we stole away..."
