like a stone,On a cobweb afternoon. In a room full of emptiness. By a freeway I confess. I was lost in the pages. Of a book full of death. Reading how we'll die alone. And if we're good we'll lay to rest. Anywhere we want to go. In your house I long to be. Room by room patiently. I'll wait for you there. Like a stone I'll wait for you there. Alone. And on my deathbed I will pray. To the gods and the angels. Like a pagan to anyone. Who will take me to heaven. To a place I recall. I was there so long ago. The sky was bruised. The wine was bled. And there you led me on. In your house I long to be. Room by room patiently. I'll wait for you there. Like a stone I'll wait for you there. Alone alone. And on I read. Until the day was gone. And I sat in regret. Of all the things I've done. For all that I've blessed. And all that I've wronged. In dreams until my death. I will wander on. In your house I long to be. Room by room patiently. I'll wait for you there. Like a stone I'll wait for you there. Alone alone
be yourself,"Someone falls to pieces. Sleeping all alone. Someone kills the pain. Spinning in the silence. To finally drifts away. Someone gets excited. In a chapel yard. Catches a bouquet. Another lays a dozen. White roses on a grave. (yeah). And be yourself is all that you can do. (yeah). To be yourself is all that you can do. Someone finds salvation. in everyone. And another only pain. Someone tries to hide himself. Down inside himself he prays. Someone swears his true love. Until the end of time. Another runs away. Separate or united?. Healthy or insane?. And be yourself is all that you can do. (All that you can do). To be yourself is all that you can do. (All that you can do). To be yourself is all that you can do. (All that you can do). To be yourself is all that you can do. Even when you've paid enough,. Been pulled apart. Or been held up. With every single memory of. The good or bad. Faces of love. Don't lose any sleep tonight. I'm sure everything will end up alright. You may win or lose. But to be yourself is all that you can do. (Yeah). To be yourself is all that you can do. (Oh). To be yourself is all that you can do. (All that you can do). To be yourself is all that you can do. (All that you can do). To be yourself is all that you can. Be yourself is all that you can. Be yourself is all that you can do"
i am the highway,Pearls and swine bereft of me. Long and weary my road has been. I was lost in the cities. Alone in the hills. No sorrow or pity. For the leaving. I feel. I am not your rolling wheels. I am the highway. I am not your carpet ride. I am the sky. Friends and liars. Don't wait for me. Cause I'll get on. All by myself. I'll put millions of miles. Under my heels. And still too close to you. I feel. I am not your rolling wheels. I am the highway. I am not your carpet ride. I am the sky. I am not your blowing wind. I am the lightining. I am not your autumn moon. I am the night
show me how to live,"And with the early dawn. Moving right along. I couldn't buy an eyeful of sleep. And in the aching night, under satellites. I was not received. Built with stolen parts. A telephone in my heart. Someone get me a priest. To put my mind to bed. This ringing in my head. Is this a cure or is this a disease?. Nail in my hand. From my creator. You gave me life. Now show me how to live. Nail in my hand. From my creator. You gave me life. Now show me how to live. And in the after birth. On the quiet Earth. Let the stains remind you. You thought you made a man. You better think again. Before my role defines you. Nail in my hand. From my creator. You gave me life. Now show me how to live. Nail in my hand. From my creator. You gave me life. Now show me how to live. And in your waiting hands. I will land. And roll out of my skin. And in your finals hours I will stand. Ready to begin. Nail in my hand. From my creator. You gave me life. Now show me how to live. Nail in my hand. From my creator. You gave me life. Now show me how to live. Show me how to live. Show me how to live. Show me how to live. Show me how to live"
cochise,"I've been watching. While you've been coughing. I've been drinking life. While you've been nauseous. And so I drink to health. While you kill yourself. And I've got just one thing. That I can offer. Go on and save yourself. And take it out on me. Go on and save yourself. And take it out on me, yeah. I'm not a martyr. I'm not a prophet. And I won't preach to you. But here's a caution. You better understand. That I won't hold your hand. But if it helps you mend. Then I won't stop it. Go on and save yourself. And take it out on me. Go on and save yourself. And take it out on me. Go on and save yourself. And take it out on me. Go on and save yourself. And take it out on me, yeah. Drown if you want. And I'll see you at the bottom. Where you'll crawl on my skin. And put the blame on me. So you don't feel a thing. Go on and save yourself. And take it out on me. Go on and save yourself. And take it out on me. Go on and save yourself. And take it out on me. Go on and save yourself. And take it out on me, yeah"
doesn't remind me,I walk the streets of Japan till I get lost. Cause it doesn't remind me of anything. With a graveyard tan carrying a cross. Cause it doesn't remind me of anything. I like studying faces in a parking lot. Cause it doesn't remind me of anything. I like driving backwards in the fog. Cause it doesn't remind me of anything. Chorus. The things that I've loved the things that I've lost. The things I've held sacred that I've dropped. I won't lie no more you can bet. I don't want to learn what I'll need to forget. I like gypsy moths and radio talk. Cause it doesn't remind me of anything. I like gospel music and canned applause. Cause it doesn't remind me of anything. I like colorful clothing in the sun. Cause it doesn't remind me of anything. I like hammering nails and speaking in tongues. Cause it doesn't remind me of anything. Chorus. The things that I've loved the things that I've lost. The things I've held sacred that I've dropped. I won't lie no more you can bet. I don't want to learn what I'll need.... Bend and shape me. I love the way you are. Slow and sweetly. Like never before. Calm and sleeping. We won't stir up the past. So descretely. We won't look back. Chorus. The things that I've loved the things that I've lost. The things I've held sacred that I've dropped. I won't lie no more you can bet. I don't want to learn what I'll need to forget. I like throwing my voice and breaking guitars. Cause it doesn't remind me of anything. I like playing in the sand what's mine is ours. If it doesn't remind me of anything
shadow on the sun,Once upon a time I was of the mind. To lay your burden down. And leave you where you stood. And you believed I could. You'd seen it done before. I could read your thoughts. Tell you what you saw. And never say a word. Now all that is gone. Overwith and done - never to return. I can tell you why. People die alone. I can tell you I'm. A shadow on the sun. Staring at the loss. Looking for a cause. And never really sure. Nothing but a hole. To live without a soul. And nothing to be learned. I can tell you why. People go insane. I can show you how. You could do the same. I can tell you why. The end will never come. I can tell you I'm. A shadow on the sun. Shapes of every size. Move behind my eyes. Doors inside my head. Bolted from within. Every drop of flame. Lights a candle in. Memory of the one. Who lives inside my skin. I can tell you why. People go insane. I can show you how. You could do the same. I can tell you why. The end will never come. I can tell you I'm. A shadow on the sun
getaway car,"The first time I saw you, you were. Chasing down. A cyclone. All alone in a field. With rail yards and clovers. I kept rolling on. And never thought you'd wind up chasing me. Well settle down. I won't hesitate to hit the highway. Before you lay me to waste, no. Settle up and I'll help you find. Something to drive. Before you drive me insane. You're tired of walking, and you. Loathe the ground. The sidewalk will barely touch your feet. And life moves too slowly to. Hold you down. With ringing hands. You take it out on me. Well settle down. I won't hesitate to hit the highway. Before you leave me to waste, no. Settle up and I'll help you find. Something to drive. Before you drive me insane. So get yourself a car and drive it all alone. Get yourself a car. Ride it on the wind, ya. Get yourself a car and drive it all alone. Get yourself a car. And ride it on the wind. Settle down. I won't hesitate to hit the highway. Before you lay me to waste, no. Saddle up and I'll help you find. Something to drive. Before you drive me insane. So get yourself a car and drive it all alone. Get yourself a car. Ride it on the wind. Get yourself a car and drive it all alone. Get yourself a car. Ride it on the wind"
gasoline,"House is haunted. I just want to go for a ride. Out and on. Before I set this room alright. Left alone forever and for crimes unclear. With my patience gone. Someone take me far from here. Burning that gasoline. New day yawning another day of solitaire. House is honest. Clearly more than I can bear. Drag me off. Before I set my world on fire. Out and gone the sun will never. Set tonight. Burning that gasoline. Now what for's, only a can. Of Red says danger on it. I have found another way. Burning that gasoline. Burning that gasoline"
revelations,"You know what to do. You know what I did. Since you know everything. Just clue me in. I am such a wreck. I am such a mess. I know what I know why don't you fill in the rest. I will bring you down. I will make It bad. While you feeling proud why don't you help me?. (chorus). Such a shame that I wouldn't know by now. (your?) Revelations. Cut me in I don't want to live without. Your Revelations. (bridge) Revelations.... You know what to say. You know what I said. You know what I dream sleeping in my bed. You hold all the keys. You know all the roads. Why would you cut me in. If I'm such a lost soul. I'm spinin 'round. I will make you ill. Since I'm so broken down. Why don't you fix me?. Such a shame that I wouldn't know by now. (your?) Revelations. Cut me in I don't want to live without. Your Revelations. I am haunted when I am sleeping. Tried to give without receiving. It's in the apple bite ....apple bite. It's in the days and nights...days and nights. In the after life of me.... . (chorus). Such a shame that I wouldn't know by now. (your?) Revelations. Cut me in I don't want to live without. Your Revelations. Such a shame,Such a shame,. that I wouldn't know by now. Cut me in I don't want to live without. Your Revelations. Revelations.... by doo"
