so far away,"Never feared for anything. Never shamed but never free. A life to heal the broken heart with all that it could. Lived the life so endlessly. Saw beyond what others see. I tried to heal your broken heart. with all that I could. Will you stay?. Will you stay away forever?. How do I live without the ones I love?. Time still turns the pages of the book it's burned. Place and time always on my mind. I have so much to say but you're so far away. Plans of what our futures hold. Foolish lies of growing old. It seems we're so invincible. The truth is so cold. A final song, a last request. A perfect chapter to laid the rest. Now and then I try to find a place in my mind. Where you can stay. You can stay awake forever. How do I live without the ones I love?. Time still turns the pages of the book it's burned. Place and time always on my mind. I have so much to say but you're so far away. Sleep tight, I'm not afraid. The ones that we love are here with me. Lay away a place for me. Cause as soon as I'm done I'll be on my way. To live eternally. How do I live without the ones I love?. Time still turns the pages of the book it's burned. Place and time always on my mind. And the light you left remains but its so hard to stay. When I have so much to say and you're so far away..... I love you. You were ready. The pain is strong and urges rise. But I'll see you. When He lets me. Your pain is gone, your hands untied. So far away. And I needed to know. So far away. And I need you to. need you to know"
a little piece of heaven,"Before the story begins,. is it such a sin. for me to take what's mine. until the end of time. We were more than friends. before the story ends. And I will take what's mine,. create what God would never design. Our love had been so strong for far too long,. I was weak with fear that something would go wrong,. before the possibilities came true,. I took all possibility from you. Almost laughed myself to tears,. conjuring her deepest fears. Must have stabbed her fifty fucking times,. I can't believe it,. Ripped her heart out right before her eyes,. Eyes over easy, eat it eat it eat it. She was never this good in bed. even when she was sleepin'. now she's just so perfect I've never been quite so fucking deep in. it goes on and on and on,. I can keep you lookin' young and preserved forever,. with a fountain to spray on your youth whenever. 'Cause I really always knew that my little crime. would be cold that's why I got a heater for your thighs. and I know, I know it's not your time. but bye, bye. and a word to the wise when the fire dies. you think it's over but it's just begun. but baby don't cry. You had my heart, at least for the most part. 'cause everybody's gotta die sometime. we fell apart. let's make a new start. 'cause everybody's gotta die sometime yeah. but baby don't cry. Possibilities I'd never considered,. are occurring the likes of which I'd never heard,. Now an angry soul comes back from beyond the grave,. to repossess a body with which I'd misbehaved. Smiling right from ear to ear. Almost laughed herself to tears. Must have stabbed him fifty fuckin times. I can't believe it. Ripped his heart out right before his eyes. Eyes over easy. Eat it eat it eat it. Now that it's done I realize the error of my ways. I must venture back to apologize from somewhere far beyond the grave. I gotta make up for what I've done. 'Cause I was all up in a piece of heaven. while you burned in hell, no peace forever. 'Cause I really always knew that my little crime. would be cold that's why I got a heater for your thighs. and I know, I know it's not your time. but bye, bye. and a word to the wise when the fire dies. you think it's over but it's just begun. but baby don't cry. You had my heart, at least for the most part. 'Cause everybody's gotta die sometime,. we fell apart. Let's make a new start. 'Cause everybody's gotta die sometime yeah. But baby don't cry. I will suffer for so long. (What will you do, not long enough). To make it up to you. (I pray to God that you do). I'll do whatever you want me to do. (Well then I'll grant you one chance). And if it's not enough. (If it's not enough, If it's not enough). If it's not enough. (Not enough). Try again. (Try again). And again. (And again). Over and over again. We're coming back, coming back. We'll live forever, live forever. Let's have wedding, have a wedding. Let's start the killing, start the killing. Do you take this man in death for the rest of your unnatural life?. (Yes, I do.). Do you take this woman in death for the rest of your unnatural life?. (I do). I now pronounce you.... 'Cause I really always knew that my little crime. would be cold that's why I got a heater for your thighs. and I know, I know it's not your time. but bye, bye. And a word to the wise when the fire dies. you think it's over but it's just begun. but baby don't cry. You had my heart, at least for the most part. 'Cause everybody's gotta die sometime,. we fell apart. Let's make a new start. 'Cause everybody's gotta die sometime yeah. My baby don't cry"
dear god,"A lonely road, crossed another cold state line. Miles away from those I love,. purpose is hard to find. While I recall all the words you spoke to me. Can't help but wish that I was there. Back where I'd love to be, oh yeah. Dear God the only thing I ask of you is. to hold her when I'm not around,. when I'm much too far away. We all need that person who can be true to you. But I left her when I found her. And now I wish I'd stayed. 'Cause I'm lonely and I'm tired. I'm missing you again oh no. Once again. There's nothing here for me on this barren road. There's no one here while the city sleeps. and all the shops are closed. Can't help but think of the times I've had with you. Pictures and some memories will have to help me through, oh yeah. Dear God the only thing I ask of you is. to hold her when I'm not around,. when I'm much too far away. We all need that person who can be true to you. I left her when I found her. And now I wish I'd stayed. 'Cause I'm lonely and I'm tired. I'm missing you again oh no. Once again. Some search, never finding a way. Before long, they waste away. I found you, something told me to stay. I gave in, to selfish ways. And how I miss someone to hold. When hope begins to fade.... A lonely road, crossed another cold state line. Miles away from those I love. Purpose is hard to find. Dear God the only thing I ask of you is. To hold her when I'm not around,. when I'm much too far away. We all need the person who can be true to you. I left her when I found her. And now I wish I'd stayed. 'Cause I'm lonely and I'm tired. I'm missing you again oh no. Once again"
nightmare,"Nightmare!. (Now your nightmare comes to life). Dragged ya down below,. Down to the Devil's show,. To be his guest forever,. (Peace of mind is less than never!). Hate to twist your mind,. But God ain't on your side,. An old acquaintance severed,. (Burn the world your last endeavour!). Flesh is burning, you can smell it in the air,. 'cause men like you have such an easy soul to steal. So stand in line while they ink numbers in your head,. You're now a slave until the end of time,. And nothing stops the madness turning,. Haunting, yearning, pull the trigger!. You should have known, the price of evil,. And it hurts to know that you belong here, yeah. Ooooh it's your fucking nightmare!. (While your nightmare comes to life). Can't wake up in sweat,. 'cause it ain't over yet,. Still dancing with your demons,. (Victim of your own creation!). Beyond the will to fight,. Where all that's wrong is right.. Where hate don't need a reason,. (Loathing self-assassination!). You've been lied to just to rape you of your site,. And now they have the nerve to tell you how to feel. So sedated as they medicate your brain. And while you slowly go insane they tell you:. ""Give in with the best intentions help you with your. complications!"". You should have known the price of evil,. And it hurts to know that you belong here, yeah. No one to call,. Everybody to fear,. Your tragic fate is looking so clear, yeah.. Ooooh, it's your fucking nightmare, ha-ha-ha-ha!. Fight (fight),. Not to fail (fail),. Not to fall (fall),. Or you'll end up like the others. Die (die),. Die again (die),. Drenched in sin (sin),. With no respect for another. Down (down),. Feel the fire (fire),. Feel the hate (hate),. Your pain is what we desire. Lost (lost),. Hit the wall (wall),. Watch you crawl (crawl),. Such a replaceable liar. And I know you hear their voices. (calling from above),. And I know they may seem real. (these signals of love),. But our life's made up from choices. (some without appeal),. They took for granted your soul,. and it's ours now to steal. (As your nightmare comes to life!). You should have known the price of evil,. And it hurts to know that you belong here, yeah. No one to call, everybody to fear,. Your tragic fate is looking so clear, yeah.... Ooooh, it's your fucking nightmare!"
afterlife,"Like walking into a dream,. So unlike what you've seen. So unsure but it seems,. 'cause we've been waiting for you. Fallen into this place,. just giving you a small taste. Of your afterlife here so stay,. You'll be back here soon anyway. I see a distant light,. But girl this can't be right. Such a surreal place to see. So how did this come to be. Arrived too early. And when I think of all the places. I just don't belong. I've come to grips with life. And realize this is going too far. I don't belong here,. we gotta move on dear. Escape from this afterlife. 'Cause this time I'm right. to move on and on,. Far away from here!. A place of hope and no pain,. Perfect skies with no rain. Can leave this place but refrain,. 'Cause we've been waiting for you. Fallen into this place, just giving you a small taste. Of your afterlife here so stay,. You'll be back here soon anyway. This peace on earth's not right. (with my back against the wall). No pain or sign of time. (I'm much too young to fall). So out of place don't wanna stay,. I feel wrong and that's my sign. I've made up my mind. Gave me your hand but realize I just wanna say goodbye. Please understand I have to leave and carry on my own life. I don't belong here,. we gotta move on dear. Escape from this afterlife. 'Cause this time I'm right. to move on and on,. Far away from here!. Got nothing against you,. and surely I'll miss you. This place full of peace and light,. And I'd hope you might take me back inside. When the time is right. Loved ones back home all crying. 'cause they're already missing me. I pray by the grace of God. that there's somebody listening. (I am, unbroken). Give me a chance to be. (I'm chocking). the person I wanna be. (on this ecstasy!). (Unbreak me). Oh Lord, I'll try so hard. (Unchain me). but you gotta let go of me. (I need another chance to live!). I don't belong here,. we gotta move on dear. Escape from this afterlife. 'Cause this time I'm right. to move on and on,. Far away from here!. Got nothing against you,. and surely I'll miss you. This place full of peace and light,. And I'd hope you might take me back inside. When the time is right"
mad hatter,"From the manner of. Cutting whisper. Rising vapors through. Clouds of gold. Giving fire and. Change the demons. With undercurrents. Far too strong to haul. The sun burnt out today. Fools are dancin' in the rain. Stopped by the acid stain. And on the shelf, the jar that holds my brain. Nightfall hunts us all. From the shadows. Cynical beauty now. Lies the host. Before the flicker. There's only blackness. The end is coming. All my friends are dead. The sun burnt out today. Fools are dancin' in the rain. Stopped by the acid stain. And on the shelf, the jar that holds my brain. Rid by an empty world. Suffer the crushing weight. Madness will crawl inside. Alter the selfish stage. Feeding on the voices in my head. (Slowly we'll learn). (Slowly we'll learn). (Slowly we'll learn). (Slowly we'll learn). (Slowly we'll learn). The unruled hedges we. Turn to someone. All those weeping will. Go unheard. Up on that once green hill. Around the mazes. And seeing the darkness. The jaws will take it slowly. The sun burnt out today. Fools are dancin' in the rain. Stopped by the acid stain. And on the shelf, the jar that holds my brain. Rid by an empty world. Suffer the crushing weight. Madness will crawl inside. Alter the selfish stage. You're feeding all the voices in my head. You're feeding all the voices in my head. They're feeding all the voices in my head. They're feeding all the voices in my head"
seize the day,"Seize the day or die regretting the time you lost. It's empty and cold without you here,. Too many people to ache over. I see my vision burns,. I feel my memories fade with time. But I'm too young to worry. These streets we travel on. Will undergo our same lost past. I found you here, now please just stay for a while. I can move on with you around. I hand you my mortal life, but will it be forever?. I'd do anything for a smile,. Holding you 'til our time is done. We both know the day will come,. But I don't want to leave you. I see my vision burn,. I feel my memories fade with time. But I'm too young to worry. (a melody, a memory, or just one picture). Seize the day or die regretting the time you lost. It's empty and cold without you here,. Too many people to ache over. Newborn life replacing all of us,. Changing this fable we live in. No longer needed here so where should we go?. Will you take a journey tonight,. Follow me past the walls of death?. But girl, what if there is no eternal life?. I see my vision burn,. I feel my memories fade with time. But I'm too young to worry. (a melody, a memory, or just one picture). Seize the day or die regretting the time you lost. Its empty and cold without you here,. Too many people to ache over. Trails in life, questions of us existing here,. Don't wanna die alone without you here. Please tell me what we have is real. So, what if I never hold you, or kiss your lips again?. So I never want to leave you. And the memories for us to see. I beg don't leave me. Seize the day or die regretting the time you lost. Its empty and cold without you here,. Too many people to ache over. Trails in life, questions of us existing here,. Don't wanna die alone without you here. Please tell me what we have is real. (silence you lost me, no chance for one more day). I stand here alone. Falling away from you,. No chance to get back home"
buried alive,Take the time just to listen. When the voices screaming are much too loud. Take a look in the distance. Try and see it all. Chances are that you might find. That we share a common discomfort now. I feel I'm walking a fine line. Tell me only if it's real. Still I'm on my way (on and on it goes). Vacant hope to take. Hey!. I can't live in here for another day. Darkness. Has kept the light concealed. Grim as ever. Hold on. To faith as I dig another grave. Meanwhile. The mice endure the wheel. Real as ever. And it seems I've been buried alive. I walked the fields through the fire. Taking steps until I found solid ground. Followed dreams reaching higher. Couldn't survive the fall. Much has changed since the last time. And I feel a little less certain now. You know I jumped at the first sign. Tell me only if it's real. Memories seem to fade (on and on it goes). Wash my view away. Hey!. I can't live in here for another day. Darkness. Has kept the light concealed. Grim as ever. Hold on. To faith as I dig another grave. Meanwhile. The mice endure the wheel. Real as ever. And I'm chained like a slave. Trapped in the dark. Slammed all the locks. Death calls my name. And it seems I've been buried alive. Take you down now. Burn it all out. Throw you all around. Get your fucking. Hands off me!. What's it feel like?. Took the wrong route. Watch it fall apart. Now you're knocking. At the wrong gate!. For you to pay the toll. A price for you alone. The only deal you'll find. I'll gladly take your soul. While it seems sick. Sober up quick. Psycho lunatic. Crushing you with. Hands of fate!. Shame to find out. When it's too late. But you're all the same. Trapped inside. Inferno awaits!. Evil thoughts can hide. I'll help release the mind. I'll peel away the skin. Release the dark within. This is now your life. Strike you from the light. This is now your life. Die buried alive. This is now your life. Strike you from the light. This is now your life. Die buried alive. This is now your life. Die buried alive
the stage,"So I arrived, naked and cold. A welcomed change from the abeyance. Of a ghost town catacomb. No need for counsel I appreciate the time. I'm not alone. (why don't you get my lawyer on the phone). There were days, these child eyes. Would overlook the ugliness and fantasize. I found my heart for the first time. And I awakened in me. I left myself to navigate and oh I felt control. (It seems these sheep have quite an appetite). Who is the crowd. That peers through the cage. As we perform here, upon the stage. As the boy, became a man. In came a calm sophistication. I can hardly understand. So lost in ego. Didn't notice when the time had slipped away. (yeah, everybody's got a sob story). Jesus christ, was born to die. Leave it to man to levitate his own to idolize. We're simply sociopaths with no communication baby. I see your angle but we differ. From our points of view. (so tell me, what's your cross to bear). Who is the crowd that peers through the cage. As we perform here upon the stage. Tell me a lie in a beautiful way. I believe in answers just not today. Hope my wheels don't abandon me now. Seein' that I'm out here alone. I'm runnin' out of fight. And the wind speaks a comforting voice. Guiding me to her arms. Mother, I'm alright. It took the birth of sin. To snake-rattle the mind. Before a blow to the head. By the gavel of time to wake up. Won't you wake up?. When did the walking apes. Decide that nuclear war. Was the only solution. For them keeping the score. Just wake up. Can't you wake up?. (Do you know this is just a simulation don't you?). Who is the crowd that peers through the cage. As we perform here upon the stage. Tell me a lie in a beautiful way. I believe in answers just not today"
gunslinger,"Yeah, you've been alone. I've been gone for far too long. But with all that we've been through. After all this time I'm coming home to you. Never let it show. The pain I've grown to know. 'Cause with all these things we do. It don't matter when I'm coming home to you. I reach towards the sky I've said my goodbyes. My heart's always with you now. I won't question why so many have died. My prayers have made it through yeah. 'Cause with all these things we do. It don't matter when I'm coming home to you. Letters keep me warm. Helped me through the storm. But with all that we've been through. After all this time I'm coming home to you. I reach towards the sky I've said my goodbyes. My heart's always with you now. I won't question why so many have died. My prayers have made it through yeah. 'Cause with all these things we do. It don't matter when I'm coming home to you. I've always been true. I've waited so long just to come hold you. I'm making it through. It's been far too long, we've proven our. love over time's so strong, in all that we do. The stars in the night, they lend me their light. to bring me closer to heaven with you. (Bring me closer). But with all that we've been through. After all this time I'm coming home to you. I reach towards the sky I've said my goodbyes. My heart's always with you now. I won't question why so many have died. My prayers have made it through yeah. 'Cause with all these things we do. It don't matter when I'm coming home to you. And with all that we've been through. After all this time I'm coming home to you"
