complicated,"Uh huh, life's like this. Uh huh, uh huh, that's the way it is. Cause life's like this. Uh huh, uh huh that's the way it is. Chill out whatcha yelling for?. Lay back it's all been done before. And if you could only let it be. You will see. I like you the way you are. When we're driving in your car. And you're talking to me one on one. but you become. Somebody else round everyone else. You're watching your back like you can't relax. You're tryin' to be cool. you look like a fool to me. Tell me. Why'd you have to go and make things so. complicated?. I see the way you're acting like you're. somebody else. Gets me frustrated. Life's like this you. You fall and you crawl and you break. And you take what you get and you. turn it into honesty. you promise me I'm never gonna find you fake it. No no no. You come over unannounced. Dressed up like you're somethin' else. Where you are ain't where it's at you see. You're making me. Laugh out when you strike your pose. Take off all your preppy clothes. You know you're not fooling anyone. When you become. Somebody else round everyone else. Watching your back, like you can't relax. Trying to be cool. you look like a fool to me. Tell me. Why'd you have to go and make things so. complicated?. I see the way you're acting like you're. somebody else. Gets me frustrated. Life's like this you. You fall and you crawl and you break. And you take what you get and you. turn it into honesty. you promise me I'm never gonna find you fake it. No no no. Chill out whatcha yelling for?. Lay back, it's all been done before. And if you could only let it be. You will see. Somebody else round everyone else. Watching your back, like you can't relax. Trying to be cool. you look like a fool to me. Tell me. Why'd you have to go and make things so. complicated?. I see the way you're acting like you're. somebody else. Gets me frustrated. Life's like this you. You fall and you crawl and you break. And you take what you get and you. turn it into honesty. you promise me I'm never gonna find you fake it. No no. Why'd you have to go and make things so. complicated?. I see the way you're acting like you're. somebody else. Gets me frustrated. Life's like this you. You fall and you crawl and you break. And you take what you get and you. turn it into honesty. you promise me I'm never gonna find you fake it. No no no"
i'm with you,"I'm standing on the bridge. I'm waiting in the dark. I thought that you'd be here by now. There's nothing but the rain. No footsteps on the ground. I'm listening but there's no sound. Isn't anyone trying to find me?. Won't somebody come take me home?. It's a damn cold night. Trying to figure out this life. Won't you take me by the hand. Take me somewhere new?. I don't know who you are. But I, I'm with you. I'm with you. I'm looking for a place. I'm searching for a face. Is anybody here. I know. Cause nothing is going right. And everything's a mess. And no one likes to be alone. Isn't anyone trying to find me?. Won't somebody come take me home?. It's a damn cold night. Trying to figure out this life. Won't you take me by the hand. Take me somewhere new?. I don't know who you are. But I, I'm with you. I'm with you, yeah yeah yeah. Oh. Why is everything so confusing?. Maybe I'm just out of my mind. Yeah, yeah, yeah. Yeah, yeah. Yeah, yeah. Yeah, yeah. Yeaaahhh. It's a damn cold night. Trying to figure out this life. Won't you take me by the hand. Take me somewhere new?. I don't know who you are. But I, I'm with you. I'm with you. Take me by the hand. Take me somewhere new?. I don't know who you are. But I, I'm with you. I'm with you. Take me by the hand. Take me somewhere new?. I don't know who you are. But I, I'm with you. I'm with you, I'm with you"
wish you were here,"I can be tough. I can be strong. But with you, it's not like that at all. There's a girl. That gives a shit. Behind this wall. You've just walked through it. And I remember, all those crazy things you said. You left them running through my head. You're always there, you're everywhere. But right now I wish you were here.. All those crazy things we did. Didn't think about it, just went with it. You're always there, you're everywhere. But right now I wish you were here. Damn, damn, damn,. What I'd do to have you. Here, here, here. I wish you were here.. Damn, damn, damn. What I'd do to have you. Near, near, near. I wish you were here.. I love the way you are. It's who I am, don't have to try hard. We always say, say like it is. And the truth is that I really miss. All those crazy things you said. You left them running through my head. You're always there, you're everywhere. But right now I wish you were here.. All those crazy things we did. Didn't think about it, just went with it. You're always there, you're everywhere. But right now I wish you were here. Damn, damn, damn,. What I'd do to have you. Here, here, here. I wish you were here.. Damn, damn, damn. What I'd do to have you. Near, near, near. I wish you were here.. No, I don't wanna let go. I just wanna let you to know. That I never wanna let go. (let go let go let go let go). No, I don't wanna let go. I just wanna let you to know. That I never wanna let go. (let go let go let go let go let go let go let go). Damn, damn, damn,. What I'd do to have you. Here, here, here. I wish you were here (I wish you were). Damn, damn, damn. What I'd do to have you. Near, near, near. I wish you were here.. Damn, damn, damn,. What I'd do to have you. Here, here, here. I wish you were here.. Damn, damn, damn. What I'd do to have you. Near, near, near. I wish you were here."
when you're gone,I always needed time on my own. I never thought I'd need you there when I cry. And the days feel like years when I'm alone. And the bed where you lie. Is made up on your side. When you walk away I count the steps that you take. Do you see how much I need you right now?. When you're gone. The pieces of my heart are missing you. When you're gone. The face I came to know is missing too. When you're gone. The words I need to hear to always get me through the day. And make it ok. I miss you. I've never felt this way before. Everything that I do. Reminds me of you. And the clothes you left laid on the floor. And they smell just like you. I love the things that you do. When you walk away I count the steps that you take. Do you see how much I need you right now?. When you're gone. The pieces of my heart are missing you. When you're gone. The face I came to know is missing too. When you're gone. The words I need to hear to always get me through the day. And make it ok. I miss you. We were made for each other. I'll keep forever. I know we were. Yeah yeah !. All I ever wanted was for you to know. Everything I do I give my heart and soul. I can hardly breathe. I need to feel you here with me. yeah. When you're gone. The pieces of my heart are missing you. When you're gone. The face I came to know is missing too. When you're gone. The words I need to hear will always get me through the day. And make it ok. I miss you
head above water,I've gotta keep the calm before the storm. I don't want less. I don't want more. Must bar the windows and the doors. To keep me safe to keep me warm. Yeah my life is what I'm fighting for. Can't part the sea. Can't reach the shore. And my voice becomes the driving force. I won't let this pull me overboard. God keep my head above water. Don't let me drown. It gets harder. I'll meet you there at the altar. As I fall down to my knees. Don't let me drown. Don't let me drown. So pull me up from down below. ‘Cause I'm underneath the undertow. Come dry me off and hold me close. I need you now I need you most. God keep my head above water. Don't let me drown. It gets harder. I'll meet you there at the altar. As I fall down to my knees. Don't let me drown. Don't let me drown. Don't let me drown. Keep my head above water above water. And I can't see in the stormy weather. I can't seem to keep it all together. And I can't swim the ocean like this forever. And I can't breathe. God keep my head above water. I lose my breath at the bottom. Come rescue me. I'll be waiting. I'm too young to fall asleep. God keep my head above water. Don't let me drown. It gets harder. I'll meet you there at the altar. As I fall down to my knees. Don't let me drown. Don't let me drown. Don't let me drown. Keep my head above water above water
sk8er boi,"He was a boy, she was a girl. Can I make it any more obvious?. He was a punk, she did ballet. What more can I say?. He wanted her, she'd never tell. Secretly she wanted him as well. But all of her friends stuck up their nose. They had a problem with his baggy clothes. He was a skater boy, she said see you later boy. He wasn't good enough for her. She had a pretty face. But her head was up in space. She needed to come back down to earth. Five years from now, she sits at home. Feeding the baby, she's all alone. She turns on Tv, guess who she sees?. Skater boy rockin' up Mtv. She calls up her friends, they already know. And they've all got tickets to see his show. She tags along, stands in the crowd. Looks up at the man that she turned down. He was a skater boy, she said see you later boy. He wasn't good enough for her. Now he's a superstar, slammin' on his guitar. Does her pretty face see what's he's worth. He was a skater boy, she said see you later boy. He wasn't good enough for her. Now he's a superstar, slammin' on his guitar. Does her pretty face see what's he's worth. Sorry girl, but you missed out. Well tough luck that boy's mine now. We are more than just good friends. This is how the story ends. Too bad that you couldn't see. See the man that boy could be. There is more than meets the eye. I see the soul that is inside. He's just a boy, and I'm just a girl. Can I make it any more obvious?. We are in love. Haven't you heard how we rock each others world?. I'm with the skater boy, I said see you later boy. I'll be the backstage after the show. I'll be at the studio singing the song we wrote. About a girl he used to know. I'm with the skater boy, I said see you later boy. I'll be the backstage after the show. I'll be at the studio singing the song we wrote. About a girl he used to know"
my happy ending,"(Oh, oh, oh oh, oh oh...). So much for my happy ending. (Oh, oh, oh oh, oh oh...). So much for my happy ending. Oh, oh, oh oh, oh oh.... Let's talk this over. It's not like we're dead. Was it something I did?. Was it something you said?. Don't leave me hanging. In a city so dead. Held up so high. On such a breakable thread. You were all the things I thought I knew. And I thought we could be. You were everything, everything that I wanted. We were meant to be, supposed to be, but we lost it. All of our memories, so close to me. Just fade away. All this time you were pretending. So much for my happy ending. Chorus. (Oh, oh, oh oh, oh oh...). So much for my happy ending. (Oh, oh, oh oh, oh oh...). So much for my happy ending. Oh, oh, oh oh, oh oh.... You've got your dumb friends. I know what they say. They tell you I'm difficult. But so are they. But they don't know me. Do they even know you?. All the things you hide from me. All the shit that you do. You were all the things I thought I knew. And I thought we could be. You were everything, everything that I wanted. We were meant to be, supposed to be, but we lost it. All of our memories, so close to me. Just fade away. All this time you were pretending. So much for my happy ending. It's nice to know that you were there. Thanks for acting like you care. And making me feel like I was the only one. It's nice to know we had it all. Thanks for watching as I fall. And letting me know we were done. He was everything, everything that I wanted. We were meant to be, supposed to be, but we lost it. All of our memories, so close to me. Just fade away. All this time you were pretending. So much for my happy ending. You were everything, everything that I wanted. We were meant to be, supposed to be. But we lost it. All of our memories so close to me. Just fade away. All this time you were pretending. So much for my happy ending. Oh oh, oh oh, oh oh.... So much for my happy ending. Oh oh, oh oh, oh oh.... So much for my happy ending. Oh oh, oh oh, oh oh..."
girlfriend,"Hey hey you you. I don't like your girlfriend. No way no way. I think you need a new one. Hey hey you you. I could be your girlfriend. Hey hey you you. I know that you like me. No way no way. You know it's not a secret. Hey hey you you. I want to be your girlfriend. You're so fine. I want you mine. You're so delicious. I think about you all the time. You're so addictive. Don't you know what I can do to make you feel all right?. Don't pretend I think you know I'm damn precious. And how, yeah,. I'm the motherfucking princess. I can tell you like me too. And you know. I'm right. She's like so whatever. You can do so much better. I think we should get together now. And that's what everyone's talking about. Hey hey you you. I don't like your girlfriend. No way no way. I think you need a new one. Hey hey you you. I could be your girlfriend. Hey hey you you. I know that you like me. No way no way. You know it's not a secret. Hey hey you you. I want to be your girlfriend. I can see the way I see. The way you look at me. And even when you look away. I know you think of me. I know you talk about me all the time. Again and again. So come over here. Tell me what I wanna hear. Better yet, make your girlfriend disappear. I don't wanna hear you say her name ever again. And again and again and again cause. She's like so whatever. You can do so much better. I think we should get together now. And that's what everyone's talking about. Hey hey you you. I don't like your girlfriend. No way no way. I think you need a new one. Hey hey you you. I could be your girlfriend. Hey hey you you. I know that you like me. No way no way. You know it's not a secret. Hey hey you you. I want to be your girlfriend. Oh in a second. I'll have you wrapped around my finger. Cause I can. Cause I can do it better. There's no other. So when it's gonna sink in?. She's so stupid what the hell were you thinking?. Oh in a second. I'll have you wrapped around my finger. Cause I can. Cause I can do it better. There's no other. So when it's gonna sink in?. She's so stupid. What the hell were you thinking?. Hey hey you you. I don't like your girlfriend. No way no way. I think you need a new one. Hey hey you you. I could be your girlfriend. No way, no way. Hey hey you you. I know that you like me. No way no way. You know it's not a secret. Hey hey you you. I want to be your girlfriend. No way, no way. Hey hey you you. I don't like your girlfriend. No way no way. I think you need a new one. Hey hey you you. I could be your girlfriend. No way, no way. Hey you... no way... hey you.... No way no way hey hey!"
nobody's home,"I couldn't tell you. Why she felt that way. She felt it everyday. And I couldn't help her. I just watched her make the same mistakes again. What's wrong, what's wrong now?. Too many, too many problems. Don't know where she belongs, where she belongs. She wants to go home, but nobody's home. that's where she lies, broken inside. With no place to go, no place to go. To dry her eyes broken inside. Open your eyes. And look outside find the reasons why. You've been rejected. And now you can't find, what you left behind. Be strong, be strong now. Too many, too many problems. Don't know where she belongs, where she belongs. She wants to go home, but nobody's home. that's where she lies, broken inside. With no place to go, no place to go. To dry her eyes broken inside. Her feelings she hides. Her dreams she can't find. She's losing her mind. She's fallen behind. She can't find her place. She's losing her faith. She's fallen from grace. She's all over the place. She wants to go home, but nobody's home. that's where she lies, broken inside. With no place to go, no place to go. To dry her eyes broken inside. She's lost inside, lost inside... oh oh. She's lost inside, lost inside... oh oh yeah."
tell me it's over,"I ain't playing no games. 'Cause I've got nothing left to lose. I'm so tired of circular motions. They leave me dizzy and confused. My heart, oh no, is not your revolving door. I get stuck spinning and spinning and spinning. Oh, 'til I collapse on the floor. But every time that you touch me. I forget what we're fighting about. Oh, you come and you leave. Shame on me for believing. Every word out of your mouth. Tell me it's over. If it's really over. ‘Cause it don't feel like it's over. whenever you're closing the door, no. So tell me it's over. Darling you. Oh you taste so bittersweet. Can't get you off of my lips. You're dangerous when you take me like a thief. Oh and I. I should let this go. I try and I try, I try. But why won't you leave me alone?. Tell me it's over. If it's really over. ‘Cause it don't feel like it's over. whenever you're closing the door, no. So tell me it's over. If it's really over. 'Cause every time you come over. It doesn't feel over no more. So tell me it's over. I keep on leaving the light on. Hoping to find something else, oh. I've played the fool for the last time. I just can't do this myself. Tell me it's over. If it's really over. ‘Cause it don't feel like it's over. whenever you're closing the door, no. Tell me it's over. If it's really over. 'Cause every time you come over. it doesn't feel like it's over no more. So tell me it's over"
