baby blue,"Guess I got what I deserved. Kept you waiting there. Too long my love. All that time without a word. Didn't know you'd think,. That I'd forget. Or I'd regret. The special love I had for you. My baby blue. All the days became so long. Did you really think,. I'd do you wrong?. Dixie, when I let you go. Thought you'd realize that I would know. I would show. The special love I have for you. My baby blue. What can I do?. What can I say?. ""Cept I want you by my side. How can I show you,. Show me the way. Times you know,. The times I've tried. Guess that's all I have to say. ""Cept the feelin' just grows stronger,. Everyday. Just one thing before I go. Take good care baby,. Let me know. Let it grow. The special love you have for me. My dixie dear"
day after day,I remember finding out about you. ev'ry day my mind is all around you. looking out from my lonely room.. Day after day. bring it home. baby make it soon. I give my love to you.. I remember holding you while you sleep. ev'ry day I feel the tears that you weep.. Looking out from my lonely gloom. day after day.. Bring it home. baby make it soon. I give my love to you.. I remember finding out about you. ev'ry day my mind is all around you. looking out from my lonely room.. Day after day. bring it home. baby make it soon. I give my love to you.
no matter what,"No matter what you are. I will always be with you. Doesn't matter what you do girl, oh girl with you. No matter what you do. I will always be around. Won't you tell me what you found girl, oh girl won't you. Knock down the old brick wall, and be a part of it all. Nothing to say, nothing to see, nothing to do. If you would give me all, as I would give it to you. Nothing would be, nothing would be, nothing would be. No matter where you go. There will always be a place. Can't you see in my face girl, oh girl don't you. Knock down the old brick wall, and be a part of it all. Nothing to say, nothing to see, nothing to do. If you would give me all, as I would give it to you. Nothing would be, nothing would be, nothing would be. No matter what you are. I will always be with you. Doesn't matter what you do girl, oh girl want you. Oh girl, you girl, want you. Oh girl, you girl, want you"
your so fine,"Let me see your face. Let me see you smile. None can measure your love in miles. Only you can comfort me. You're so fine. You can take me up. You can bring me down. Put my feet back on the ground. Since you got a hold on me, I'm alive. I'm alive. Builds around me fences. Put my back against the wall. You broke into my world and made me crawl. Broken my defenses. Made me want you more and more. Came into my life. I asked for more, more and more. [guitar solo (Pete Ham)]. Can't get enough. Enough of your love. I've learned my lesson well. Now it's good enough. Maybe someday the world will come. I'm alive. I'm alive. Builds around me fences. Put my back against the wall. You broke into my world and made me crawl. Broken my defenses. Made me want you more and more. You came into my life. I asked for more, more and more."
better days,"I'm just a good boy, working hard to get my pay. A little time, a little trouble, a better day. I see no reason as for why it cannot be. A little time, a little trouble, a better day. You bury your head in the things you said, that's fine. But the days go by and you know it's getting dark at nine. You give all you want, but you take away what's mine. We can make it better, baby, so much better all the time. Just a good boy. Looking hard to see my way. A little time, a little trouble, a better day. [guitar solo (Pete Ham)]. I see no reason as for why it cannot be. A little time, a little trouble, a better day. Well, you bury your head in the things you said, that's fine. But the days go by and you know it's getting dark at nine. You give all you want, but you take away what's mine. We can make it better. Baby, so much better all the time. Just a good boy. Looking hard to see my way. A little time, a little trouble, better days.. Woooh, woooh, woooh, woooh, woooh, woooh, woooh, woooh. Woooh."
airwaves,Sometimes you make me. Sometimes you break me. I've got leaving on my mind. I wanna get back. I wanna get back. I need to get back on the airwaves.
and her daddy's a millionaire,"Priscilla Bagshot lives in a house with a hundred and twenty rooms. With butlers and bakers and candlestick vapors and horses and horses. grooms. People don`t like her, they say she`s a fool, but I know I disagree. I know her better, she`ll lend me ten-bob and I know she`s in love with me. Oh, oh, she`s a beautiful girl, she doesn`t have a care. Oh, oh, she`s a wonderful girl and her daddy`s a millionaire. I meet her on Sundays, we go for a ride and it means the world to me. She lets me take her out to the woods then back to her house for tea. People don`t like her, they say she`s a fool, but I know I disagree. I know her better, she`ll lend me ten-bob and I know she`s in love with me. Daddy`s a millionaire. Daddy`s a millionaire. Daddy`s a millionaire. Daddy`s a millionaire."
andy norris,"I've run out of money, run out us good. Run out of reasons and misunderstood. Run out of rhythm,. run out of rhyme. Right Out of feelings. And right out of time. Living in limbo, hanging around. Head on the ceiling. And mind in the clouds. Blind is the morning. But deaf is the night. Comes without warning. And leaves me in fright. I've been saving all my money, yeah. For the rainy days. I'm packing up my suitcase. Make it pay. I've run out of patience. I've run out of lies. Run Out of spaces and nowhere to hide. Living end loving is easy to get. But living is something. We haven't tried yet, yeah. I've been saving all my money, yeah. For the rainy days. I'm packing up my suitcase. Make it pay. I've run out of money, run out us good. Run out of reasons and misunderstood. Run out of rhythm,. run out of rhyme. Right Out of feelings. And right out of time. Blind is the morning. But deaf is the night. Comes without warning. And leaves me in fright. I've been saving all my money, yeah. For the rainy days. I'm packing up my suitcase. Make it pay"
angelique,"Angelique, your name is whispered by the passing breeze. Proclaims your beauty to the tallest trees. And you're mine, Angelique. Angelique, you stand alone 'cause none compares with you. So far from those who try to be with you. And you're mine, Angelique. Angelique, your kiss is only like the morning dew. You smile, the whole wide world, it smiles with you. And you're mine, Angelique. La la la, la la la la la la la, la-a. La la la la la la la, la-a. And you're mine, Angelique. I'll never be with you. Never, ever touch your hand. So I'll just dream of you. Lonely in my wonder land. Angelique, when will I ever meet a girl like you. And if I do, how will I know it's true. That you're mine, Angelique?"
apple of my eye,"Oh, I'm sorry, but it's time to move away. Though inside my heart, I really want to stay. Believe the love we have is so sincere. You know, the gift you have will always be. CHORUS:. You're the apple of my eye. You're the apple of my heart. But now, the time has come to part. Oh, I'm sorry, but it's time to make a stand. Though we never meant to bite the lovin' hand. And now, the time has come to walk alone. We were the children, now we've overgrown. CHORUS. [guitar solo]. REPEAT VERSE 1. CHORUS. Now, the time has come to part. Now, the time has come to part."
arthur,"Ah ah ah ah, ah ah ah ah Ah ah ah ah ah ah ah ahhh. Arthur loves his wife and children Arthur takes lunch everyday. Arthur likes it at the local Likes his pint at end of day. A-A--Arthur There's a problem becking 'round the corner. A-A-Arthur She's already had one owner. Arthur talks to sexy Frida Takes her milk there everyday. Frida's telling hungry Arthur of the debt she'd like to pay. But she hasn't got the money Arthur coughs to clear the air. Asks him in and calls him ""honey"" Up they toggle up the stairs. A-A--Arthur There's a problem becking 'round the corner. A-A-Arthur She's already had one owner. Arthur hates his wife and children Makes his own lunch everyday. Likes it down at sexy Frida's Frida takes a pint a day. A-A--Arthur There's a problem becking 'round the corner. A-A-Arthur She's already had one owner"
baby blue,"Guess I got what I deserved. Kept you waiting there. Too long my love. All that time without a word. Didn't know you'd think,. That I'd forget. Or I'd regret. The special love I had for you. My baby blue. All the days became so long. Did you really think,. I'd do you wrong?. Dixie, when I let you go. Thought you'd realize that I would know. I would show. The special love I have for you. My baby blue. What can I do?. What can I say?. ""Cept I want you by my side. How can I show you,. Show me the way. Times you know,. The times I've tried. Guess that's all I have to say. ""Cept the feelin' just grows stronger,. Everyday. Just one thing before I go. Take good care baby,. Let me know. Let it grow. The special love you have for me. My dixie dear"
"baby, please","She's a long, tall, skinny-minny, never says a word, but she knows. She never tells me why, she's clever and she lets it show. She's an all-around, bawdy-clawdy, everyday collector of dreams. But she never tells me why she's clever and she loves to please. . CHORUS:. Stay, baby, stay. Play, baby, play. Won't you please?. She's the old soul of Rock 'N' Roll, she's every kind of woman you see. She never tells me how, she's so clever as she has to be. She's an all-night, treat-me-right, answer to my lonely day. She never tells me why, she's clever and she always plays. CHORUS. Yeah [Joey]. Come on, please [Pete]. Please [Pete]. Stay [Joey]. [guitar solo (Pete Ham)]. CHORUS. [guitar solo (Pete Ham):. Please. Please, won't you please?. Won't you please?]."
back again,"Love me tonight, say you just might. Make me in the morning, take me without warning, please. Don't get uptight say it's alright. When the day is dawning. You can make the most out of me. But if you wake up and I'm gone. I'll be back again. You filled my nights with your love and played my games. Songs of the road See me alright. Take me where I'm going Say a little prayer for me. Doing what I like Tell me it's alright. See my disposition. Give me your prescription, please. And if you wake up and I'm gone I'll be back again. You filled my nights with your love. You played my games. And if you wake up and I'm gone I'll be back again. You filled my nights with your love. You played my games"
beautiful and blue,La la la la la la la la la la. She looks out of her window at the people passing by they look so happy make's her cry. She watches them laughing sees the lovers holding hands and everyone each others friends. Beautiful and blue they're not as good as you. Beautiful and blue they're lonely too. She feels so unhappy she no longer cares for life and is close to ending all her strives. The world doesn't know her it's so hard and cold and cruel she wonders why she's such a. fool. Beautiful and blue..... x2. La la la la la la la la la la
because i love you,"Because I love you You're always on my mind. I'm thinking of you Somehow life is fine today. Knowing you're here to stay Going together ways. Because you love me I'm never lonely now. You're thinking of me It keeps my heart from breaking, yeah. Knowing you love me too Letting me know it's true. Now my life has changed so many ways. But I sure don't miss the good old days. Because I love you I'll stop the world from turning. Because I love you I'll stop the sun from burning, yeah. Knowing you love me too Letting me know it's true. And I wouldn't change a minute Of all that we've been through. Because I love you. Because I love you. Because I love you. Knowing you love me too. Letting me know it's true. Because I love you. Because I love you. Because I love you. Oh, because I love you. Oh, because I love you. Oh, because I love you. Oh, because I love you. Oh, because I love you"
believe me,"Believe me, if I wanted. Spend the rest of my time with a mean, lean, woman like you. Would I?. If I needed, but I don't. Will I?. If you want me. Give you all the love in the world that a man could. Still I, if I needed, I could. Then I could cry your name and you would come. There'd be no need for me anymore, anymore!. Believe me, if I wanted. Spend the rest of my time with a mean, lean, woman like you. Would I, if I needed, but I don't"
better days,"I'm just a good boy, working hard to get my pay. A little time, a little trouble, a better day. I see no reason as for why it cannot be. A little time, a little trouble, a better day. You bury your head in the things you said, that's fine. But the days go by and you know it's getting dark at nine. You give all you want, but you take away what's mine. We can make it better, baby, so much better all the time. Just a good boy. Looking hard to see my way. A little time, a little trouble, a better day. [guitar solo (Pete Ham)]. I see no reason as for why it cannot be. A little time, a little trouble, a better day. Well, you bury your head in the things you said, that's fine. But the days go by and you know it's getting dark at nine. You give all you want, but you take away what's mine. We can make it better. Baby, so much better all the time. Just a good boy. Looking hard to see my way. A little time, a little trouble, better days.. Woooh, woooh, woooh, woooh, woooh, woooh, woooh, woooh. Woooh."
blind owl,"Lies, ties, mystical disguise. Hang it up. Get up on the road. Build driven skills. Weeping whiper-whils. Too much going 'round to get high. Look out for the blind owl. You can only find that you were wrong. No one else around me. Ever loved me like you do. So I'll be strong. Look out for the blind owl. You can only find that you were wrong. No one else around me. Ever loved me like you do. So I'll be strong. Daze, praise, interviewer's maze. Play the road. Sell your soul. Come your self. And you know who's never like. UUU never bli-i-ind"
blodwyn,"I put away the knife, the chisel, and the saw. I've locked away my life behind this old, oak door. To make a simple spoon, a token of my love. In hope that maybe soon, it's me you're thinking of. CHORUS:. So take my spoon, Blodwyn. Make it soon, Blodwyn. The valley knows the way I feel today. So take my spoon, Blodwyn. Make it soon, Blodwyn. Before some other spoon takes you away. My life may not be long, was working down below. For so much can go wrong, but what else do I know?. So take these precious years and make them precious too. And say you'll take from me what I will give to you. CHORUS. [guitar solo (Pete Ham)]. CHORUS."
