ain't no sunshine,Ain't no sunshine when she's gone. Its not warm when she away. Ain't no sunshine when she's gone. And shes always gone to long. Anytime she goes away. Wonder this time where she's gone. Wonder if she gonna stay. Ain't no sunshine when she gone. Cuz this house just ain't no home. Anytime she goes away.. And I know I know I know I know. I know I know I know I know I know. I know I know I know I know I know I know. I know I know I know I know I know I know. Ya I outta leave that young thing alone. But ain't no sunshine when shes gone. Only darkness everyday. Ain't no sunshine when shes gone. And this house just ain't no home. Anytime she goes away. Ain't no sunshine when she's gone. Its not warm when she away. Ain't no sunshine when she's gone. And shes always gone to long. Anytime she goes away. (I know I know I know I know I know). Anytime she goes away. (I know I know I know I know I know). Anytime she goes away. (I know I know I know I know I know). Anytime she goes away. (I know I know I know I know I know). Anytime she goes away. [x4]
diamonds on the inside,"I knew a girl. Her name was truth. She was a horrible liar.. She couldnt spend one day alone. But she couldnt be satisfied.. When you have everything,. You have everything to lose.. She made herself. A bed of nails. And shes plannin' on puttin' it to use.. Cause she has diamonds on the inside. She has diamonds on the inside. She has diamonds on the inside. Diamonds. A candle throws its light into the darkness. In a nasty world,so shines the good deed. Make sure the fortune, that you seek. Is the fortune that you need.. So tell me why,the first to ask,is the last to give,everytime. What you say and do not mean. Follow too close behind. Cause she has diamonds on the inside. She has diamonds on the inside. She wore diamonds on the inside. Diamonds. Like a soldier long standing under fire. Any change comes as a relief.. Let the giver's name remain unspoken. For she is just a generous thief.. But she has diamonds on the inside. Cos she has diamonds on the inside. She wore diamonds on the inside. She wore diamonds. Oh diamonds. She had diamonds. She wore diamonds. Diamonds"
waiting for you,I've been waiting for you (x2). Never found anything else to do. But waiting for you. I've been calling your name (x2). Never found anything else to say. Nothing to say. refrão:. You can kill a lot of time. If you really want to put your mind to it. Or leave it all behind. If you never want to go through it. I keep hearing your name (x2). Nothing else sounds the same. As hearing your name. refrão (x1). I've been hoping for you. Keep hoping for you. What else can i do. But to keep hoping for you. refrão (x1). What else can i do. Keep waiting for you
sexual healing,"Ooh, baby let's get down tonight. Baby I'm hot just like an oven. I need some lovin'. And baby, I can't hold it much longer. It's getting stronger and stronger. And when I get that feeling. I want Sexual Healing. Sexual Healing, baby. Makes me feel so fine. Helps to relieve my mind. Sexual Healing baby, is good for me. Sexual Healing is something that's good for me. Whenever blue tear drops are falling. And my emotional stability is leaving me. There is something I can do. I can get on the telephone and call you my baby, and. Honey I know you'll be there to relieve me. The love you give to me will free me. If you don't know the things you're dealing. I can tell you, darling, that it's Sexual Healing. Get up, Get up, Get up, Get up, let's make love tonight. Wake up, Wake up, Wake up, Wake up, 'cos you do it right. Baby I got sick this morning. A sea was storming inside of me. Baby I think I'm capsizing. The waves are rising and rising. And when I get that feeling. I want Sexual Healing. Sexual Healing is good for me. Makes me feel so fine, it's such a rush. Helps to relieve the mind, and it's good for us. Sexual Healing, baby, is good for me. Sexual Healing is something that's good for me. And it's good for me and it's good to me. My baby ohhh. Come take control, just grab a hold. Of my body and mind. Soon we'll be making it. Honey, oh we're feeling fine. You're my medicine open up and let me in. Darling, you're so great. I can't wait for you to operate. Get up get up get up get up. Let's make love tonight. Wake up wake up wake up wake up. Cause you do it right"
she's only happy in the sun,I know you may not want to see me. On your way down from the clouds. Would you hear me if I told you. That my heart is with you now. She's only happy in the sun. Did you find what you were after. The pain and the laughter brought. You to your knees. But if the sun sets you free. You'll be free indeed. She's only happy in the sun. Every time I hear you laughing. It makes me cry. Like the story of her life. Is hello and goodbye. She's only happy in the sun
in your eyes,"Love, I get so lost, sometimes. Days pass and this emptiness fills my heart. When I want to run away. I drive off in my car. But whichever way I choose. I come back to the place you are. And all my instincts, they return. And the grand facade, so soon will burn. Without a noise, without my pride. I reach out from the inside. In your eyes. The light, the heat. I am complete. I see the doorway. To a thousand churches. The resolution of all the fruitless searches. Oh, I see the light and the heat. Yes, I want to be that complete. I want to touch the light. The heat I see in your eyes. Love, I don't like to see so much pain. So much wasted and this moments keep slipping away. I get so tired, working so hard for my survival. I look to those times with you. To keep me awake and alive. And all my instincts, they return. And the grand facade, so soon will burn. Without a noise, without my pride. I reach out from the inside. In your eyes. The light and the heat. I am complete. I see the doorway to a thousand churches. And resolution of all the fruitless searches. Oh, I see the light and the heat. Yes, I want to be that complete. I want to touch the light. The heat I see in your eyes. In your eyes. In your eyes"
walk away,Oh no. Here comes that sun again. That means another day. Without you my friend. And it hurts me. To look into the mirror at myself. And it hurts even more. To have to be with somebody else. And it's so hard to do. And so easy to say. But sometimes. Sometimes you just have to walk away. Walk away. With so many people. To love in my life. Why do I worry. About one. But you put the happy. In my ness. You put the good times. Into my fun. And it's so hard to do. And so easy to say. But sometimes. Sometimes you just have to walk away. Walk away. And head for the door. We've tried the goodbye. So many days. We walk in the same direction. So that we could never stray. They say if you love somebody. Than you have got to set them free. But I would rather be locked to you. Than live in this pain and misery. They say time will. Make all this go away. But it's time that has taken my tomorrows. And turned them into yesterdays. And once again that rising sun. Is dropping on down. And once again you my friend. Are nowhere to be found. And it's so hard to do. And so easy to say. But sometimes. Sometimes you just have to walk away. Walk away. And head for the door. You just walk away. Walk away
excuse me mister,"Excuse me Mr, do you have the time?. Or are you so important that it stands still for you?. Excuse me Mr, won't you lend me your ears?. Or are you not only blind but do you not hear?. Excuse me Mr but isn't that your oil in the sea?. And the pollution in the air Mr, whose could that be?. So excuse me Mr, but I'm a Mr too. And you're giving Mr a bad name, Mr like you. So im taking the Mr from out infront of your name. Coz it's the Mr like you that puts the rest of us to shame. It's the Mr like you that puts the rest of us to shame. And I, I've seen enough. I've seen enough to know,. That I've seen too much. Excuse me Mr can't you see the children dying?. You say that you can help them Mr your not even trying. Excuse me Mr, wont you take a look around. Oh Mr, just look up and you will, you will see it coming now. Excuse me Mr but I'm a, I'm a Mr too,. Your giving Mr a bad name, Mr like you. So I'm taking the Mr from out infront of your name. Coz it's the Mr like you that puts the rest of us to shame. It's the Mr like you that puts the rest of us to shame. And I, I've seen enough, i've seen and i've seen and. I've seen enough to know that I've seen too much. I've seen enough, I have seen enough to know, that I have seen too much. See coz Mr when you're rattling on heavens gate. By then it's too late. Coz Mr when you get there they don't ask they don't ask. What you saved. All you wanna know, Mr is what you gave. So excuse me Mr, but I'm a Mr too,. And you're giving Mr a bad name Mr like you. So I'm taking the Mr from out infront of you're name. Coz it's the Mr, Mr like you that puts the rest of us to shame. It's the Mr like you that puts the rest of us to shame"
fly one time,inevitability. is pounding at my door. screaming for more. in a world that owes you nothing. you give everything. everything. now I'm caught in between. what i can't leave behind. and what i may never find. so fly one time. fly one time. standing. at the edge of your life. at the edge of our lives. don't hold on. there's no fighting back the years. it's so hard to unlearn fears. now you're caught between. what you can't leave behind. and all that you may never find. so fly. fly. just fly one time. i see you so clearly. so clearly. up so high. now you're caught in between. what you can't leave behind. and what we may never find. so fly. so fly. one time. so clearly. so clearly. so high. fly one time. just fly one time. if you'd fly one time
beautiful boy,"Close your eyes. Have no fear. The monster's gone. He's on the run and your daddy's here. Beautiful, beautiful, beautiful. Beautiful boy. Beautiful, beautiful, beautiful. Beautiful boy. Before you go to sleep. Say a little prayer. Every day in every way. It's getting better and better. Beautiful, beautiful, beautiful. Beautiful boy. Beautiful, beautiful, beautiful. Beautiful boy. Out on the ocean sailing away. I can hardly wait. To see you come of age. But I guess we'll both just have to be patient. 'Cause it's a long way to go. A hard row to hoe. Yes it's a long way to go. But in the meantime. Before you cross the street. Take my hand. Life is what happens to you. While you're busy making other plans. Beautiful, beautiful, beautiful. Beautiful boy. Beautiful, beautiful, beautiful. Beautiful boy. Before you go to sleep. Say a little prayer. Every day in every way. It's getting better and better. Beautiful, beautiful, beautiful. Beautiful boy. Darling, darling, darling. Darling Sean"
