believe what you say,"Written by Dorsey Burnette and Johnny Burnette.. . I believe what you say. When you say you're going steady with nobody else but me. I believe what you say when you say you don't kiss. Nobody else but me. I believe, do believe. I believe, yea believe pretty baby. Believe you're going steady with nobody else but me. Well there's one thing baby that I want you to know. When you rock with me don't rock too slow. Move on in and get toe to toe. We gonna rock 'till we can't rock no more. I believe, do believe. I believe, yea believe pretty baby. Believe you're going steady with nobody else but me. (solo). I believe what you say when you say you don't miss. Nobody else but me. I believe what you say when you say you don't kiss. Nobody else but me. I believe, do believe. I believe, yea believe pretty baby. Believe you're going steady with nobody else but me. When you kiss me baby and you roll your eyes. I get a funny feeling like I'm hypnotized. Chills run all up and down my spine. Lets me know that you're mine all mine. ."
whatcha gonna do when the sun goes down,Written by Billy Burnette and Mentor Williams.. . Whatcha gonna do when the sun. goes down. Hop in my back seat way out of town. I know a place we can't be found. Whatcha gonna do when the sun. goes down. I've been savin' my favorite shirt. Savin' it up for a Friday night. This time I'm gonna make it work. Gonna make it work with all my might. So whatcha gonna do when the sun. goes down. Hop in my back seat way out of town. I know a place we can't be found. Whatcha gonna do when the sun. goes down. Waxin' up my shiny car. Getting' ready for the weekend. Top down we can see the stars. Blowin' that summer wind. Whatcha gonna do when the sun. goes down. Hop in my back seat way out of town. I know a place we can't be found. Whatcha gonna do when the sun. goes down. Let's hide away and let the feelin' in. I wanna hear you say you love me. once again. Let's hide away and let the night begin. Oh-watcha gonna do when the sun. goes down. Hop in my back seat way out of town. I know a place we can't be found. Whatcha gonna do when the sun. goes down. .
just my love,Written by Billy Burnette.. . Just walk on out. And close the door. I don't wanna see you anymore. It was such a shock. Kind of cold conversation. To end such a long. Such a long relation. Plans we have made. Seem oh so beautiful. Now that we're apart. They wouldn't seem so suitable. Now what's this going on around here. Seems like its been going on for years. Now you tell me its time to go on. And leave me feeling all alone. .
(can't stop) got a little rock in my shoe,"Written by Billy Burnette and Kostas.. . (chorus). (Got a) rock in my shoe, a rock in my shoe. Driving me crazy. Won't come loose. Rattle and shake, blowing a fuse. Can't stop got a little rock in my shoe. When I was a baby, long ago. Mama would rock me to and fro'. Daddy would play that rock and roll. Hooked me then and never let me go. (repeat chorus). Couldn't sit still when I was in school. Didn't care much about the golden rule. They called me a rebel, called me a fool. They couldn't see I had a little rock in my shoe. (repeat chorus). Now if you got troubles, you got some blues. You think the world's coming down on you. Don't worry honey, here's some news. All you need's a little rock in your shoe. (repeat chorus). ."
always wondering bout you babe,"Written by Billy Burnette.. . I'm always wondering about you, babe. Bout all the times you've walked away. And I'll always miss you when you go. Cause the way I feel well you just don't know. Let's head on down the road together. Where the air id clean and there's love and sunny weather. We'll hide away in our fields of green by a winding stream. In our world of make believe. It's just that look that's in your eyes. Something about you I idealize. I feel as though I'm bout to lose my mind. Just trying to catch up but I'm so far behind. Although sometimes it seems so very hard. For someone like you and me. While I'm not knowing which way you are. You're too hung up in society. I'm not the way you want me to be. So I'll leave your way of living quietly. And forget all those things I can't give you-babe. ."
angeline,Written by Billy Burnette and Steven Soles.. . Angeline you talk about love but do. you know what you mean. Angeline you talk about love but you're. just sweet sixteen. Well you may be the hottest thing in. high school. And honey that's okay. But you need someone baby to show. you all the rules. Angeline won't you turn your love. my way. Angeline I should've pulled out but. baby I'm too far gone. Angeline deep in my heart you know it. can't be wrong. Well you may be the hottest thing in. high school. And honey that's okay. But you need someone baby to show. you all the rules. Angeline won't you turn your love. my way. Angeline you talk about love but do. you know what you mean. Angeline you talk about love but you're. just sweet sixteen. Well you may be the hottest thing in. high school. And honey that's okay. But you need someone baby to show. you all the rules. Angeline won't you turn your love. my way. Angeline won't you turn your love. my way. Angeline won't you turn your love. my way. .
are you with me baby,"Written by Billy Burnette and Rafe Van Hoy.. . Life's too short to go too long like this. Forget where you came from or came here with. Let's talk some serious business. Like just one kiss from your sweet lips. (chorus). Are you with me baby. We're waistin' precous time. Are you with me baby. Then put your little hand in mine. We're burning moonlight baby. Please don't let me down. Are you with me now. Don't wanna make a scene,. Don't wanna cause a big fuss. I got a little feeling 'bout the two of us. My heart's beatin' hard and it's about to bust. Let's leave this party in a cloud of dust?. (repeat chorus). (bridge). As far as I can see we got an open road. It can go on forever if we choose to go. It's not a dream if you believe it's so. There's just one thing that I need to know?. ."
believe what you say,"Written by Dorsey Burnette and Johnny Burnette.. . I believe what you say. When you say you're going steady with nobody else but me. I believe what you say when you say you don't kiss. Nobody else but me. I believe, do believe. I believe, yea believe pretty baby. Believe you're going steady with nobody else but me. Well there's one thing baby that I want you to know. When you rock with me don't rock too slow. Move on in and get toe to toe. We gonna rock 'till we can't rock no more. I believe, do believe. I believe, yea believe pretty baby. Believe you're going steady with nobody else but me. (solo). I believe what you say when you say you don't miss. Nobody else but me. I believe what you say when you say you don't kiss. Nobody else but me. I believe, do believe. I believe, yea believe pretty baby. Believe you're going steady with nobody else but me. When you kiss me baby and you roll your eyes. I get a funny feeling like I'm hypnotized. Chills run all up and down my spine. Lets me know that you're mine all mine. ."
can't get over you,Written by Billy Burnette and David Malloy.. . I've heard it said before. If you don't care no more. Got to pick up tracks. Don't look back. Walk on out that door. I tell my friends it's easy. She's never on my mind. My life is so much better. From the day I said goodbye. (chorus). When I tell myself I'm free. You know I'm only fooling me. 'Cause no matter what I do. I can't get over you. I can't get over you. I tried to hide my pain. With a taste of the fast lane. But no abuse will shake you loose. 'Cause I still feel the same. I thought I could forget you. But that was just a lie. I'm just not the same without you. Don't even want to try. (chorus). When I tell myself I'm free. You know I'm only fooling me. 'Cause no matter what I do. I can't get over you. I can't get over you. I don't know how it started. I don't know where I stand. I just want to be back. In your arms again. .
danger zone,"Written by Billy Burnette and Michael Smotherman.. . I was laughing at all these people, who. jump through hoops and loop de loop. in the name of love. I told all my friends this could never. happen to me. 'Cause bein' free was all this boy was. thinkn' of. Then one night I met this woman. Who set my soul on fire. Now I'm a liar. Well I can't control these crazy feelin's. I found my heart is not my own. I'm in the danger zone. I'm in the danger zone. I'm in the danger zone. You got me in the danger zone. Now bells are ringin'. And lights are flashin'. Danger - look out boy. 'Cause love is everywhere. Now all of my friends - now they're all. laughin'. I jump through hoops and loop de loop. but I don't care. 'Cause one night I met this woman. Who set my soul on fire. Now I'm a liar. Well I can't control these crazy feelin's. I found my heart is not my own. I'm in the danger zone. I'm in the danger zone. You got me in the danger zone. I'm in the danger zone. ."
