all that's sweet,I will strike the chord. That's honey to your ears. All that's sweet is yours. I will hum a verse. Of melodies rehearsed. And all that's sweet is yours. So here is my offering. Just a downbeat and a string. But to you it's a beautiful thing. And here is what I bring. Only downbeats and a string. And to you. It's beautiful. I will strike the chord. That's honey to your ears. All that's sweet is yours. Loveliness you bring. I can't help but sing. All that's sweet is yours. When it seems I've broken down. When these chords are frail. You look with a smile and you say it's beautiful.
the number one,If you wanna see some action. Gotta be the center of attraction. Make sure that they got their eyes on you. Like a face that you see on every magazine. Be the focus of attention. Be the name that everyone must mention. Come out from the shadows it's your time. 'cause tonight is the night for everyone to see. It's natural. You know that this is what you got to be. It must the your destiny. Sensational. And you believe that. This is what you've waited for and. It's you back way on the door. Baby now you feel like number one. Shining bright for everyone. Living out your fantasy. The brightest star for all to see. Now you feel like number one. Shining bright for everyone. Living out your fantasy. The brightest star that's ever been. Feel the heat that's all around you. Slashing like the next to cease around you. Everybody wants a piece of you. You're the queen of the scene living in a dream. It's natural. You know that this is what you got to do. It must be your destiny. Sensational. And you believe that. This is what you've waited for and. It's you back way on the door. Now you feel like number one. Shining bright for everyone. Living out your fantasy. The brightest star for all to see. This is what you've waited for and. It's you back way on the door. Now you feel like number one. Shining bright for everyone. Living out your fantasy. The brightest star for all to see. Now you feel like number one. Shining bright for everyone. Living out your fantasy. The brightest star that's ever been
epidermis girl,"Sweetness whispers nothings in my ear.. Nothing is exactly what I hear.. With a glaze she gazes into space.. Is there nothing more?. There must be something more.. I can see that beauty is more than skin.. My infatuation leads me to sin.. Give me vision past the epidermis girl.. Is there nothing more?. There must be something more.. Chorus: I find a want, I want a need, I need a deeper love. I find a want, I want a need, I need a deeper love.. Sweetness whispers nothings in my ear.. Nothing is exactly what I hear.. Give me vision past the epidermis girl.. Is there nothing more?. There must be something more.. Chorus (2x).."
all that's sweet,I will strike the chord. That's honey to your ears. All that's sweet is yours. I will hum a verse. Of melodies rehearsed. And all that's sweet is yours. So here is my offering. Just a downbeat and a string. But to you it's a beautiful thing. And here is what I bring. Only downbeats and a string. And to you. It's beautiful. I will strike the chord. That's honey to your ears. All that's sweet is yours. Loveliness you bring. I can't help but sing. All that's sweet is yours. When it seems I've broken down. When these chords are frail. You look with a smile and you say it's beautiful.
all to you,"I can't wait to get out of here. I can't fake through this pain I feel. It's been too long, that I've been gone. Now I'm coming back, I'm coming back. So long, itâ€™s gone. This burden that I carry. I'll give it all to You, to You. I wade out and the waves are bigger. I can't sort through all this junk so I surrender. I've gone on, way too long. Now I've had enough, I'll give it up to you. This storm is great, but You are so much greater. Chorus. I can't wait to see you standing there so bright and. special. And all the waves that crashed around my head. Fall silent at the whisper of your voice. Chorus out"
almost too late,"I'm scared I might be burning out. before you know it I'm gonna blow it. you say it might be turning around. before you know it, I'm gonna blow it. I guess you might be right. I think you could be, hey. It's almost too late. It's almost too late. It's almost too late. to do anything about it now. were kicked back were going way too slow. I guess we're laying way too low. bring back the good time, rock and roll.."
andy's doin' time,"oh no, andys doin' time. mike said his home schools fine. and jimmy, the job never ends. now you gotta start again. mom said that kathys great. look now, cause angies staying up late with journey. shari and jenn and I'm so glad they're friends. so I move on and on into the sun. you say I'm the lucky one. am I really the lucky one. hey josh, hows the service. all this talk of war makes me nervous. but deisel is comin' to the show. tell me something I don't know. I know that winstons the man. If you go in you better hide your hands. I bet that mamas been cookin' something good. I'd head home if I could. but I gotta move on and on into the sun. you say I'm the lucky one. am I really the lucky one. am I the lucky one. yea the lucky one. oh shack, I know moneys tight. but man don't give up the fight. cause we're moving on and on and on. we'll head out torwards the sun. cause we're the lucky ones. yea the lucky ones."
astronomy,"All I know. is that this falling star will die. for a moment light the sky. and lead me home. I don't know. why this task has been so hard. we've spent out time apart. but not alone. this is what I have been given. I hope that you can. i hope that you can. understand there are reasons beyond ours. the creator holds the stars up in the sky. But you are by far bright and shining star. in the sky tonite. this is what i have been given. the hardest part is living. with leaving you alone. alone alone, we're not alone. Just like all the rest of them. I can't bring you down. you're a million miles from here. but you are by far the brightest shining star. in my sky tonite. this is what i have been given. the hardest part is living. with leaving you alone."
baseline,"You got me dreamin' in color. I refuse to think any other way. Gotta get it straight. Before it gets too late. Bring back. Bring back the baseline. I think it's about that time. I cant afford to miss. I was made for this. And I can't wait for a change of pace, hey. If It's gonna be, It's gotta be sometime. Be sometime tonight. You break in. We break out. Let's break out. I know things have been changing. I guess worry's been invading me. I'm getting tired of being uninspired. So bring back, bring back the good times. I think that would be just fine. It's where I belong. So I'll just sing on. And I can't wait for this thing to break. If it's gonna be, It's gotta be sometime. Be sometime tonight. If it's gonna be, It's gotta be sometime. Be sometime tonight. bring back, bring back the baseline.."
breakthrough,"I got you. and that's enough. to get through. i found ways to second guess the best ones. doesn't have to go that far. doesn't have to go that far. finally feel like i've come clean. with myself. it's done. ready to forget all about. about what i've become. i know it's a breakthrough. to see what you've always wanted me to. i know it's a breakthrough. and i don't have to live like that anymore. you got me. just in time. i never knew. just how long it'd take. to get to this place. i can't believe it's been this hard. now i'm finally moving on. yeah, it's really coming true. i know it's a breakthrough. to see what you've always wanted me to. i know it's a breakthrough. and i don't have to live like this anymore. anymore, anymore. there's no way. i can live like this anymore. you know it's a breakthrough. to see what you've always wanted me to. and i don't have to live like this anymore."
breathe,Here I go on a whim. Giving in to the pressure. These things just keep dragging me down. All the stress I'm a mess. I confess I can't hide it. And I can't get myself off the ground. 'Cause these things just keep. Holding me down. {chorus}. So breathe Your breath on me. So breathe Your breath on me. Here I come back around. 'Cause I found that the pressure. Is nothing compared to Your plan. Here I am in Your hands. And it's clear that Your greatness. Will breathe new life in me again. And there's no turning back. not a chance.
broke in the head,You haven't said a single thing. the whole way home. the air is thick from akward silence. so you turn up the radio and I dont think I've got to tell you. I hope you already know. What you reap is what you sow. And so I gotta say something. I just cant leave it like this. No no. pretty soon we'll hit your driveway. And you'll escape off in your house. so maybe I'll just hit the highway. and maybe you'll open your mouth. and let it out. I gotta say something. I just cant leave it like this. hear you talking/ your excuses make me sic. It's getting old. is there anything that I couldve said. to help you fix. what you broke in your head. tell me now if I'm pushing you too hard..
